ID;RegioS;Inkomensbron;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
37;Drenthe (PV);Winst;20.6;35.8
38;Drenthe (PV);Werkloosheid,bijstand,arbeidsongeschikt;18.3;18.4
39;Drenthe (PV);Pensioen;55.4;22.4
40;Overijssel (PV);Totaal particulier huishouden;437.6;29.2
41;Overijssel (PV);Loon;237.5;32.5
42;Overijssel (PV);Winst;43.5;39.2
43;Overijssel (PV);Werkloosheid,bijstand,arbeidsongeschikt;41.4;18.1
44;Overijssel (PV);Pensioen;108.6;21.8
45;Flevoland (PV);Totaal particulier huishouden;141.7;30.0
46;Flevoland (PV);Loon;86.5;33.2
47;Flevoland (PV);Winst;15.2;35.0
48;Flevoland (PV);Werkloosheid,bijstand,arbeidsongeschikt;14.3;18.2
49;Flevoland (PV);Pensioen;23.9;22.1
50;Gelderland (PV);Totaal particulier huishouden;783.4;30.4
51;Gelderland (PV);Loon;427.8;33.8
52;Gelderland (PV);Winst;82.0;39.5
53;Gelderland (PV);Werkloosheid,bijstand,arbeidsongeschikt;68.2;18.2
54;Gelderland (PV);Pensioen;193.5;22.9
55;Utrecht (PV);Totaal particulier huishouden;478.1;32.7
56;Utrecht (PV);Loon;276.4;36.2
57;Utrecht (PV);Winst;48.7;41.9
58;Utrecht (PV);Werkloosheid,bijstand,arbeidsongeschikt;39.7;18.1
59;Utrecht (PV);Pensioen;105.4;24.5
60;Noord-Holland (PV);Totaal particulier huishouden;1142.5;30.3
61;Noord-Holland (PV);Loon;614.0;34.2
62;Noord-Holland (PV);Winst;127.7;37.6
63;Noord-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;126.0;16.9
64;Noord-Holland (PV);Pensioen;255.8;23.2
65;Zuid-Holland (PV);Totaal particulier huishouden;1458.2;30.2
66;Zuid-Holland (PV);Loon;806.7;34.2
67;Zuid-Holland (PV);Winst;129.6;39.5
68;Zuid-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;149.9;16.9
69;Zuid-Holland (PV);Pensioen;351.4;22.8
70;Zeeland (PV);Totaal particulier huishouden;160.0;29.1
71;Zeeland (PV);Loon;81.5;32.5
72;Zeeland (PV);Winst;18.0;38.3
73;Zeeland (PV);Werkloosheid,bijstand,arbeidsongeschikt;11.8;17.3
74;Zeeland (PV);Pensioen;46.1;22.0
75;Noord-Brabant (PV);Totaal particulier huishouden;975.9;30.9
76;Noord-Brabant (PV);Loon;538.8;34.6
77;Noord-Brabant (PV);Winst;99.3;39.2
78;Noord-Brabant (PV);Werkloosheid,bijstand,arbeidsongeschikt;85.5;18.5
79;Noord-Brabant (PV);Pensioen;239.5;22.9
80;Limburg (PV);Totaal particulier huishouden;474.9;28.6
81;Limburg (PV);Loon;244.5;33.1
82;Limburg (PV);Winst;41.2;37.0
83;Limburg (PV);Werkloosheid,bijstand,arbeidsongeschikt;54.6;18.0
84;Limburg (PV);Pensioen;127.7;21.9
85;Oost-Groningen (CR);Totaal particulier huishouden;64.7;25.8
86;Oost-Groningen (CR);Loon;31.7;30.3
87;Oost-Groningen (CR);Winst;5.8;32.8
88;Oost-Groningen (CR);Werkloosheid,bijstand,arbeidsongeschikt;7.6;18.1
89;Oost-Groningen (CR);Pensioen;18.5;19.3
90;Delfzijl en omgeving (CR);Totaal particulier huishouden;21.5;26.8
91;Delfzijl en omgeving (CR);Loon;10.6;30.7
92;Delfzijl en omgeving (CR);Winst;2.1;35.9
93;Delfzijl en omgeving (CR);Werkloosheid,bijstand,arbeidsongeschikt;2.4;17.3
94;Delfzijl en omgeving (CR);Pensioen;6.2;20.6
95;Overig Groningen (CR);Totaal particulier huishouden;153.5;26.7
96;Overig Groningen (CR);Loon;82.5;29.9
97;Overig Groningen (CR);Winst;14.9;34.9
98;Overig Groningen (CR);Werkloosheid,bijstand,arbeidsongeschikt;18.0;15.8
99;Overig Groningen (CR);Pensioen;35.1;21.4
100;Noord-Friesland (CR);Totaal particulier huishouden;135.5;27.0
101;Noord-Friesland (CR);Loon;69.5;30.2
102;Noord-Friesland (CR);Winst;15.9;35.3
103;Noord-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;14.1;16.9
104;Noord-Friesland (CR);Pensioen;34.0;21.0
105;Zuidwest-Friesland (CR);Totaal particulier huishouden;43.2;28.1
106;Zuidwest-Friesland (CR);Loon;21.2;31.0
107;Zuidwest-Friesland (CR);Winst;6.4;35.2
108;Zuidwest-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;3.6;17.2
109;Zuidwest-Friesland (CR);Pensioen;11.4;21.4
110;Zuidoost-Friesland (CR);Totaal particulier huishouden;84.3;27.9
111;Zuidoost-Friesland (CR);Loon;42.2;31.5
112;Zuidoost-Friesland (CR);Winst;9.8;35.6
113;Zuidoost-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;7.5;17.3
114;Zuidoost-Friesland (CR);Pensioen;23.4;21.7
115;Noord-Drenthe (CR);Totaal particulier huishouden;75.9;29.7
116;Noord-Drenthe (CR);Loon;39.8;33.2
117;Noord-Drenthe (CR);Winst;7.8;37.5
118;Noord-Drenthe (CR);Werkloosheid,bijstand,arbeidsongeschikt;6.1;18.5
119;Noord-Drenthe (CR);Pensioen;20.9;23.4
120;Zuidoost-Drenthe (CR);Totaal particulier huishouden;70.3;27.2
121;Zuidoost-Drenthe (CR);Loon;34.9;31.3
122;Zuidoost-Drenthe (CR);Winst;7.0;32.6
123;Zuidoost-Drenthe (CR);Werkloosheid,bijstand,arbeidsongeschikt;7.6;18.5
124;Zuidoost-Drenthe (CR);Pensioen;19.9;21.2
125;Zuidwest-Drenthe (CR);Totaal particulier huishouden;52.1;28.9
126;Zuidwest-Drenthe (CR);Loon;26.3;32.3
127;Zuidwest-Drenthe (CR);Winst;5.8;37.5
128;Zuidwest-Drenthe (CR);Werkloosheid,bijstand,arbeidsongeschikt;4.6;18.0
129;Zuidwest-Drenthe (CR);Pensioen;14.6;22.7
130;Noord-Overijssel (CR);Totaal particulier huishouden;133.9;29.8
131;Noord-Overijssel (CR);Loon;73.8;32.8
132;Noord-Overijssel (CR);Winst;15.0;39.6
133;Noord-Overijssel (CR);Werkloosheid,bijstand,arbeidsongeschikt;11.0;18.0
134;Noord-Overijssel (CR);Pensioen;32.2;22.0
135;Zuidwest-Overijssel (CR);Totaal particulier huishouden;60.2;29.2
136;Zuidwest-Overijssel (CR);Loon;34.2;32.3
137;Zuidwest-Overijssel (CR);Winst;5.5;39.8
138;Zuidwest-Overijssel (CR);Werkloosheid,bijstand,arbeidsongeschikt;5.4;18.4
139;Zuidwest-Overijssel (CR);Pensioen;14.2;22.1
140;Twente (CR);Totaal particulier huishouden;243.5;28.8
141;Twente (CR);Loon;129.5;32.4
142;Twente (CR);Winst;23.1;38.7
143;Twente (CR);Werkloosheid,bijstand,arbeidsongeschikt;25.0;18.1
144;Twente (CR);Pensioen;62.2;21.6
145;Veluwe (CR);Totaal particulier huishouden;247.0;31.5
146;Veluwe (CR);Loon;136.2;34.5
147;Veluwe (CR);Winst;25.4;42.0
148;Veluwe (CR);Werkloosheid,bijstand,arbeidsongeschikt;18.1;18.8
149;Veluwe (CR);Pensioen;63.3;23.9
150;Achterhoek (CR);Totaal particulier huishouden;159.8;30.0
151;Achterhoek (CR);Loon;83.9;33.4
152;Achterhoek (CR);Winst;18.4;39.3
153;Achterhoek (CR);Werkloosheid,bijstand,arbeidsongeschikt;12.6;19.0
154;Achterhoek (CR);Pensioen;42.7;22.1
155;Arnhem/Nijmegen (CR);Totaal particulier huishouden;288.8;29.0
156;Arnhem/Nijmegen (CR);Loon;158.3;32.8
157;Arnhem/Nijmegen (CR);Winst;26.1;36.5
158;Arnhem/Nijmegen (CR);Werkloosheid,bijstand,arbeidsongeschikt;31.9;17.2
159;Arnhem/Nijmegen (CR);Pensioen;68.1;22.8
160;Zuidwest-Gelderland (CR);Totaal particulier huishouden;87.9;32.6
161;Zuidwest-Gelderland (CR);Loon;49.4;36.1
162;Zuidwest-Gelderland (CR);Winst;12.1;41.0
163;Zuidwest-Gelderland (CR);Werkloosheid,bijstand,arbeidsongeschikt;5.6;19.7
164;Zuidwest-Gelderland (CR);Pensioen;19.4;21.5
165;Utrecht (CR);Totaal particulier huishouden;478.1;32.7
166;Utrecht (CR);Loon;276.4;36.2
167;Utrecht (CR);Winst;48.7;41.9
168;Utrecht (CR);Werkloosheid,bijstand,arbeidsongeschikt;39.7;18.1
169;Utrecht (CR);Pensioen;105.4;24.5
170;Kop van Noord-Holland (CR);Totaal particulier huishouden;148.7;30.0
171;Kop van Noord-Holland (CR);Loon;79.0;33.3
172;Kop van Noord-Holland (CR);Winst;19.3;38.0
173;Kop van Noord-Holland (CR);Werkloosheid,bijstand,arbeidsongeschikt;13.0;18.6
174;Kop van Noord-Holland (CR);Pensioen;35.3;21.9
175;Alkmaar en omgeving (CR);Totaal particulier huishouden;95.2;31.0
176;Alkmaar en omgeving (CR);Loon;52.8;34.2
177;Alkmaar en omgeving (CR);Winst;9.7;39.3
178;Alkmaar en omgeving (CR);Werkloosheid,bijstand,arbeidsongeschikt;8.3;18.0
179;Alkmaar en omgeving (CR);Pensioen;22.6;24.4
180;IJmond (CR);Totaal particulier huishouden;79.3;31.5
181;IJmond (CR);Loon;42.8;35.3
182;IJmond (CR);Winst;7.1;40.3
183;IJmond (CR);Werkloosheid,bijstand,arbeidsongeschikt;6.2;18.3
184;IJmond (CR);Pensioen;22.1;24.7
185;Agglomeratie Haarlem (CR);Totaal particulier huishouden;96.9;32.2
186;Agglomeratie Haarlem (CR);Loon;50.5;36.1
187;Agglomeratie Haarlem (CR);Winst;10.1;40.8
188;Agglomeratie Haarlem (CR);Werkloosheid,bijstand,arbeidsongeschikt;9.4;17.3
189;Agglomeratie Haarlem (CR);Pensioen;25.2;25.0
190;Zaanstreek (CR);Totaal particulier huishouden;65.4;29.9
191;Zaanstreek (CR);Loon;36.2;33.8
192;Zaanstreek (CR);Winst;5.6;39.0
193;Zaanstreek (CR);Werkloosheid,bijstand,arbeidsongeschikt;6.8;18.4
194;Zaanstreek (CR);Pensioen;15.9;22.4
195;Groot-Amsterdam (CR);Totaal particulier huishouden;552.7;29.0
196;Groot-Amsterdam (CR);Loon;299.9;33.2
197;Groot-Amsterdam (CR);Winst;63.1;35.1
198;Groot-Amsterdam (CR);Werkloosheid,bijstand,arbeidsongeschikt;74.4;16.1
199;Groot-Amsterdam (CR);Pensioen;106.5;22.0
200;Het Gooi en Vechtstreek (CR);Totaal particulier huishouden;104.4;35.2
201;Het Gooi en Vechtstreek (CR);Loon;52.7;39.4
202;Het Gooi en Vechtstreek (CR);Winst;12.8;43.6
203;Het Gooi en Vechtstreek (CR);Werkloosheid,bijstand,arbeidsongeschikt;8.0;18.5
204;Het Gooi en Vechtstreek (CR);Pensioen;28.2;26.3
205;Agglomeratie Leiden en Bollenstreek (CR);Totaal particulier huishouden;157.1;32.8
206;Agglomeratie Leiden en Bollenstreek (CR);Loon;91.4;36.2
207;Agglomeratie Leiden en Bollenstreek (CR);Winst;15.3;42.6
208;Agglomeratie Leiden en Bollenstreek (CR);Werkloosheid,bijstand,arbeidsongeschikt;10.7;17.6
209;Agglomeratie Leiden en Bollenstreek (CR);Pensioen;37.3;24.2
210;Agglomeratie 's-Gravenhage (CR);Totaal particulier huishouden;345.4;29.9
211;Agglomeratie 's-Gravenhage (CR);Loon;187.7;34.0
212;Agglomeratie 's-Gravenhage (CR);Winst;29.1;37.6
213;Agglomeratie 's-Gravenhage (CR);Werkloosheid,bijstand,arbeidsongeschikt;42.5;16.4
214;Agglomeratie 's-Gravenhage (CR);Pensioen;80.4;24.1
215;Delft en Westland (CR);Totaal particulier huishouden;84.6;31.0
216;Delft en Westland (CR);Loon;47.3;34.0
217;Delft en Westland (CR);Winst;9.6;40.4
218;Delft en Westland (CR);Werkloosheid,bijstand,arbeidsongeschikt;6.3;18.0
219;Delft en Westland (CR);Pensioen;19.9;23.0
220;Oost-Zuid-Holland (CR);Totaal particulier huishouden;125.8;33.4
221;Oost-Zuid-Holland (CR);Loon;73.4;36.5
222;Oost-Zuid-Holland (CR);Winst;14.4;42.6
223;Oost-Zuid-Holland (CR);Werkloosheid,bijstand,arbeidsongeschikt;7.5;19.5
224;Oost-Zuid-Holland (CR);Pensioen;29.0;23.4
225;Groot-Rijnmond (CR);Totaal particulier huishouden;583.6;28.8
226;Groot-Rijnmond (CR);Loon;316.0;33.3
227;Groot-Rijnmond (CR);Winst;46.8;37.9
228;Groot-Rijnmond (CR);Werkloosheid,bijstand,arbeidsongeschikt;70.1;16.5
229;Groot-Rijnmond (CR);Pensioen;143.1;21.7
230;Zuidoost-Zuid-Holland (CR);Totaal particulier huishouden;161.7;30.7
231;Zuidoost-Zuid-Holland (CR);Loon;91.0;34.4
232;Zuidoost-Zuid-Holland (CR);Winst;14.3;41.7
233;Zuidoost-Zuid-Holland (CR);Werkloosheid,bijstand,arbeidsongeschikt;12.8;17.7
234;Zuidoost-Zuid-Holland (CR);Pensioen;41.7;22.2
235;Zeeuwsch-Vlaanderen (CR);Totaal particulier huishouden;46.8;28.8
236;Zeeuwsch-Vlaanderen (CR);Loon;23.3;33.2
237;Zeeuwsch-Vlaanderen (CR);Winst;5.1;37.5
238;Zeeuwsch-Vlaanderen (CR);Werkloosheid,bijstand,arbeidsongeschikt;3.6;17.1
239;Zeeuwsch-Vlaanderen (CR);Pensioen;14.1;20.8
240;Overig Zeeland (CR);Totaal particulier huishouden;113.2;29.2
241;Overig Zeeland (CR);Loon;58.2;32.3
242;Overig Zeeland (CR);Winst;13.0;38.6
243;Overig Zeeland (CR);Werkloosheid,bijstand,arbeidsongeschikt;8.3;17.4
244;Overig Zeeland (CR);Pensioen;31.9;22.5
245;West-Noord-Brabant (CR);Totaal particulier huishouden;250.2;30.7
246;West-Noord-Brabant (CR);Loon;138.7;34.6
247;West-Noord-Brabant (CR);Winst;23.5;39.2
248;West-Noord-Brabant (CR);Werkloosheid,bijstand,arbeidsongeschikt;21.8;18.6
249;West-Noord-Brabant (CR);Pensioen;63.2;22.5
250;Midden-Noord-Brabant (CR);Totaal particulier huishouden;179.7;30.5
251;Midden-Noord-Brabant (CR);Loon;101.2;34.2
252;Midden-Noord-Brabant (CR);Winst;17.6;39.0
253;Midden-Noord-Brabant (CR);Werkloosheid,bijstand,arbeidsongeschikt;15.3;18.0
254;Midden-Noord-Brabant (CR);Pensioen;43.2;21.9
255;Noordoost-Noord-Brabant (CR);Totaal particulier huishouden;247.2;31.8
256;Noordoost-Noord-Brabant (CR);Loon;136.5;35.5
257;Noordoost-Noord-Brabant (CR);Winst;28.5;40.1
258;Noordoost-Noord-Brabant (CR);Werkloosheid,bijstand,arbeidsongeschikt;20.7;19.3
259;Noordoost-Noord-Brabant (CR);Pensioen;58.1;23.0
260;Zuidoost-Noord-Brabant (CR);Totaal particulier huishouden;298.7;30.7
261;Zuidoost-Noord-Brabant (CR);Loon;162.4;34.3
262;Zuidoost-Noord-Brabant (CR);Winst;29.7;38.6
263;Zuidoost-Noord-Brabant (CR);Werkloosheid,bijstand,arbeidsongeschikt;27.7;18.1
264;Zuidoost-Noord-Brabant (CR);Pensioen;75.1;23.8
265;Noord-Limburg (CR);Totaal particulier huishouden;111.2;29.9
266;Noord-Limburg (CR);Loon;61.4;33.3
267;Noord-Limburg (CR);Winst;11.0;38.9
268;Noord-Limburg (CR);Werkloosheid,bijstand,arbeidsongeschikt;9.8;19.0
269;Noord-Limburg (CR);Pensioen;27.4;22.0
270;Midden-Limburg (CR);Totaal particulier huishouden;95.4;29.9
271;Midden-Limburg (CR);Loon;50.3;34.2
272;Midden-Limburg (CR);Winst;9.3;38.3
273;Midden-Limburg (CR);Werkloosheid,bijstand,arbeidsongeschikt;9.6;19.2
274;Midden-Limburg (CR);Pensioen;24.9;21.9
275;Zuid-Limburg (CR);Totaal particulier huishouden;268.2;27.7
276;Zuid-Limburg (CR);Loon;132.9;32.5
277;Zuid-Limburg (CR);Winst;20.9;35.3
278;Zuid-Limburg (CR);Werkloosheid,bijstand,arbeidsongeschikt;35.2;17.4
279;Zuid-Limburg (CR);Pensioen;75.4;21.9
280;Flevoland (CR);Totaal particulier huishouden;141.7;30.0
281;Flevoland (CR);Loon;86.5;33.2
282;Flevoland (CR);Winst;15.2;35.0
283;Flevoland (CR);Werkloosheid,bijstand,arbeidsongeschikt;14.3;18.2
284;Flevoland (CR);Pensioen;23.9;22.1
285;Groningen (GA);Totaal particulier huishouden;86.4;25.6
286;Groningen (GA);Loon;47.6;28.6
287;Groningen (GA);Winst;6.8;34.7
288;Groningen (GA);Werkloosheid,bijstand,arbeidsongeschikt;11.9;14.8
289;Groningen (GA);Pensioen;18.3;21.9
290;Leeuwarden (GA);Totaal particulier huishouden;40.7;25.2
291;Leeuwarden (GA);Loon;20.9;28.4
292;Leeuwarden (GA);Winst;3.1;34.8
293;Leeuwarden (GA);Werkloosheid,bijstand,arbeidsongeschikt;6.1;15.1
294;Leeuwarden (GA);Pensioen;9.8;21.9
295;Zwolle (GA);Totaal particulier huishouden;47.5;29.0
296;Zwolle (GA);Loon;27.8;31.7
297;Zwolle (GA);Winst;3.3;41.8
298;Zwolle (GA);Werkloosheid,bijstand,arbeidsongeschikt;5.2;16.9
299;Zwolle (GA);Pensioen;10.3;23.4
300;Enschede (GA);Totaal particulier huishouden;63.5;25.7
301;Enschede (GA);Loon;32.7;29.4
302;Enschede (GA);Winst;4.5;33.9
303;Enschede (GA);Werkloosheid,bijstand,arbeidsongeschikt;9.6;16.9
304;Enschede (GA);Pensioen;15.4;20.6
305;Apeldoorn (GA);Totaal particulier huishouden;64.2;30.3
306;Apeldoorn (GA);Loon;35.9;33.8
307;Apeldoorn (GA);Winst;4.7;40.1
308;Apeldoorn (GA);Werkloosheid,bijstand,arbeidsongeschikt;5.6;18.4
309;Apeldoorn (GA);Pensioen;16.9;23.4
310;Arnhem (GA);Totaal particulier huishouden;64.3;26.3
311;Arnhem (GA);Loon;35.0;29.7
312;Arnhem (GA);Winst;5.2;33.5
313;Arnhem (GA);Werkloosheid,bijstand,arbeidsongeschikt;10.1;15.9
314;Arnhem (GA);Pensioen;12.8;22.5
315;Nijmegen (GA);Totaal particulier huishouden;68.7;26.6
316;Nijmegen (GA);Loon;37.3;30.1
317;Nijmegen (GA);Winst;5.6;34.8
318;Nijmegen (GA);Werkloosheid,bijstand,arbeidsongeschikt;9.9;16.5
319;Nijmegen (GA);Pensioen;14.8;21.7
320;Amersfoort (GA);Totaal particulier huishouden;67.7;32.5
321;Amersfoort (GA);Loon;40.5;36.1
322;Amersfoort (GA);Winst;6.0;41.4
323;Amersfoort (GA);Werkloosheid,bijstand,arbeidsongeschikt;6.1;17.7
324;Amersfoort (GA);Pensioen;14.1;24.3
325;Utrecht (GA);Totaal particulier huishouden;174.6;30.0
326;Utrecht (GA);Loon;105.8;33.4
327;Utrecht (GA);Winst;15.4;37.7
328;Utrecht (GA);Werkloosheid,bijstand,arbeidsongeschikt;18.9;17.1
329;Utrecht (GA);Pensioen;32.1;22.5
330;Amsterdam (GA);Totaal particulier huishouden;480.0;27.7
331;Amsterdam (GA);Loon;255.5;32.0
332;Amsterdam (GA);Winst;52.7;33.6
333;Amsterdam (GA);Werkloosheid,bijstand,arbeidsongeschikt;72.1;15.9
334;Amsterdam (GA);Pensioen;91.8;21.5
335;Haarlem (GA);Totaal particulier huishouden;84.8;32.0
336;Haarlem (GA);Loon;44.6;36.1
337;Haarlem (GA);Winst;8.7;40.8
338;Haarlem (GA);Werkloosheid,bijstand,arbeidsongeschikt;8.4;17.1
339;Haarlem (GA);Pensioen;21.7;24.9
340;Leiden (GA);Totaal particulier huishouden;102.1;32.3
341;Leiden (GA);Loon;60.1;35.6
342;Leiden (GA);Winst;8.9;42.6
343;Leiden (GA);Werkloosheid,bijstand,arbeidsongeschikt;8.0;17.2
344;Leiden (GA);Pensioen;23.6;24.5
345;'s-Gravenhage (GA);Totaal particulier huishouden;282.0;29.2
346;'s-Gravenhage (GA);Loon;148.1;33.3
347;'s-Gravenhage (GA);Winst;24.2;36.7
348;'s-Gravenhage (GA);Werkloosheid,bijstand,arbeidsongeschikt;37.5;16.0
349;'s-Gravenhage (GA);Pensioen;67.2;23.9
350;Rotterdam (GA);Totaal particulier huishouden;439.1;27.2
351;Rotterdam (GA);Loon;233.0;31.8
352;Rotterdam (GA);Winst;31.4;36.1
353;Rotterdam (GA);Werkloosheid,bijstand,arbeidsongeschikt;62.8;16.2
354;Rotterdam (GA);Pensioen;106.2;21.0
355;Dordrecht (GA);Totaal particulier huishouden;102.5;29.9
356;Dordrecht (GA);Loon;57.4;33.6
357;Dordrecht (GA);Winst;8.0;40.6
358;Dordrecht (GA);Werkloosheid,bijstand,arbeidsongeschikt;9.2;17.0
359;Dordrecht (GA);Pensioen;26.9;22.4
360;Breda (GA);Totaal particulier huishouden;72.0;30.2
361;Breda (GA);Loon;40.1;33.7
362;Breda (GA);Winst;6.2;40.1
363;Breda (GA);Werkloosheid,bijstand,arbeidsongeschikt;7.2;16.8
364;Breda (GA);Pensioen;17.4;23.6
365;Tilburg (GA);Totaal particulier huishouden;91.2;28.4
366;Tilburg (GA);Loon;52.2;32.2
367;Tilburg (GA);Winst;7.0;36.8
368;Tilburg (GA);Werkloosheid,bijstand,arbeidsongeschikt;9.8;17.0
369;Tilburg (GA);Pensioen;20.9;21.5
370;'s-Hertogenbosch (GA);Totaal particulier huishouden;68.0;30.8
371;'s-Hertogenbosch (GA);Loon;37.6;34.7
372;'s-Hertogenbosch (GA);Winst;6.7;37.7
373;'s-Hertogenbosch (GA);Werkloosheid,bijstand,arbeidsongeschikt;6.9;17.9
374;'s-Hertogenbosch (GA);Pensioen;15.7;23.8
375;Eindhoven (GA);Totaal particulier huishouden;140.1;29.5
376;Eindhoven (GA);Loon;76.1;33.0
377;Eindhoven (GA);Winst;11.0;35.3
378;Eindhoven (GA);Werkloosheid,bijstand,arbeidsongeschikt;14.4;17.1
379;Eindhoven (GA);Pensioen;36.5;24.6
380;Geleen/Sittard (GA);Totaal particulier huishouden;60.4;28.5
381;Geleen/Sittard (GA);Loon;30.5;33.6
382;Geleen/Sittard (GA);Winst;4.4;36.0
383;Geleen/Sittard (GA);Werkloosheid,bijstand,arbeidsongeschikt;7.8;18.0
384;Geleen/Sittard (GA);Pensioen;16.8;22.4
385;Heerlen (GA);Totaal particulier huishouden;95.1;25.6
386;Heerlen (GA);Loon;46.2;30.3
387;Heerlen (GA);Winst;5.9;33.2
388;Heerlen (GA);Werkloosheid,bijstand,arbeidsongeschikt;14.7;16.6
389;Heerlen (GA);Pensioen;26.9;21.0
390;Maastricht (GA);Totaal particulier huishouden;51.9;26.7
391;Maastricht (GA);Loon;25.5;31.3
392;Maastricht (GA);Winst;3.9;34.1
393;Maastricht (GA);Werkloosheid,bijstand,arbeidsongeschikt;7.3;16.9
394;Maastricht (GA);Pensioen;14.3;21.9
395;Groningen (SG);Totaal particulier huishouden;142.8;27.6
396;Groningen (SG);Loon;76.9;30.7
397;Groningen (SG);Winst;13.8;36.1
398;Groningen (SG);Werkloosheid,bijstand,arbeidsongeschikt;15.6;15.8
399;Groningen (SG);Pensioen;33.6;22.4
400;Leeuwarden (SG);Totaal particulier huishouden;67.3;26.8
401;Leeuwarden (SG);Loon;35.1;29.9
402;Leeuwarden (SG);Winst;6.3;36.1
403;Leeuwarden (SG);Werkloosheid,bijstand,arbeidsongeschikt;8.0;16.3
404;Leeuwarden (SG);Pensioen;16.7;21.7
405;Zwolle (SG);Totaal particulier huishouden;68.8;30.1
406;Zwolle (SG);Loon;39.3;32.7
407;Zwolle (SG);Winst;6.0;43.2
408;Zwolle (SG);Werkloosheid,bijstand,arbeidsongeschikt;6.4;17.8
409;Zwolle (SG);Pensioen;16.1;23.4
410;Enschede (SG);Totaal particulier huishouden;127.7;27.3
411;Enschede (SG);Loon;67.7;31.0
412;Enschede (SG);Winst;9.6;36.5
413;Enschede (SG);Werkloosheid,bijstand,arbeidsongeschikt;15.7;17.3
414;Enschede (SG);Pensioen;32.4;21.5
415;Apeldoorn (SG);Totaal particulier huishouden;86.2;30.6
416;Apeldoorn (SG);Loon;47.3;34.2
417;Apeldoorn (SG);Winst;7.1;40.1
418;Apeldoorn (SG);Werkloosheid,bijstand,arbeidsongeschikt;7.0;18.7
419;Apeldoorn (SG);Pensioen;23.4;23.5
420;Arnhem (SG);Totaal particulier huishouden;146.1;29.1
421;Arnhem (SG);Loon;79.2;32.9
422;Arnhem (SG);Winst;13.1;36.3
423;Arnhem (SG);Werkloosheid,bijstand,arbeidsongeschikt;16.1;17.0
424;Arnhem (SG);Pensioen;35.3;23.3
425;Nijmegen (SG);Totaal particulier huishouden;114.6;28.9
426;Nijmegen (SG);Loon;63.2;32.6
427;Nijmegen (SG);Winst;10.4;36.7
428;Nijmegen (SG);Werkloosheid,bijstand,arbeidsongeschikt;13.3;17.2
429;Nijmegen (SG);Pensioen;25.9;22.4
430;Amersfoort (SG);Totaal particulier huishouden;108.1;32.7
431;Amersfoort (SG);Loon;62.6;36.2
432;Amersfoort (SG);Winst;10.8;42.1
433;Amersfoort (SG);Werkloosheid,bijstand,arbeidsongeschikt;8.9;18.2
434;Amersfoort (SG);Pensioen;24.2;24.5
435;Utrecht (SG);Totaal particulier huishouden;239.3;31.6
436;Utrecht (SG);Loon;141.5;35.0
