ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;AccessToTheInternetAtHome_1;ADialUpConnection_2;ABroadbandConnection_3;MobileConnectionEGMobilePhone_4;k_3MonthsAgo_5;k_312MonthsAgo_6;k_1YearAgo_7;NeverUsedTheInternet_8;NearlyEveryDay_9;NotEveryDayAtLeastOnceAWeek_10;NotEveryWeekAtLeastOnceAMonth_11;LessThanOnceAMonth_12;AtHome_13;AtSomeoneElseSHome_14;AtWork_15;AtAnEducationalInstitute_16;SomewhereElse_17;ToSendReceiveEmails_18;PostMessagesOnChatSites_19;Weblogs_20;ExchangingTextMessages_21;ProfessionalNetworking_22;OtherSocialNetworkFacebookTwitter_23;PhoneCallsOverTheInternet_24;RadioTelevision_25;Newspapers_26;OnlineBanking_27;PlayOrDownloadGamesFilmsOrMusic_28;UploadPhotosMusicTextSoftware_29;DownloadSoftwareOtherThanForGames_30;OnlinePurchases_31
34;Sex: female;Percentage/average;Bonaire;2013;77.3;13.2;72.4;38.1;72.6;3.7;4.6;19.1;87.5;8.7;2.0;1.8;93.7;19.5;45.3;15.7;11.6;82.4;29.2;13.1;47.0;8.2;69.8;60.0;45.8;41.3;40.9;43.8;42.1;19.7;28.5
35;Sex: female;Percentage/average;Bonaire;2017/2018;86.2;;;;97.3;;;;97.2;2.8;;;;;;;;70.2;33.2;;94.4;9.3;78.9;82.3;63.3;38.9;59.0;47.2;46.1;19.7;35.9
36;Sex: female;Percentage/average;St. Eustatius;2013;69.4;;70.4;42.1;62.6;;;27.5;91.7;;;;84.9;14.5;51.1;12.2;14.0;85.2;43.4;13.5;45.3;;69.4;53.2;39.3;30.9;40.4;55.7;41.5;25.3;38.3
37;Sex: female;Percentage/average;St. Eustatius;2017/2018;81.6;;;;87.6;;;;80.4;17.7;;;;;;;;80.4;47.6;;81.5;14.1;65.5;70.4;76.5;46.4;49.3;46.2;44.9;14.6;54.0
38;Sex: female;Percentage/average;Saba;2013;87.0;15.9;77.9;25.2;88.5;;;10.0;87.0;11.7;;;93.7;10.7;42.6;30.3;;86.8;42.5;18.5;56.7;24.4;83.7;82.6;48.3;45.8;48.8;55.6;57.8;35.9;66.3
39;Sex: female;Percentage/average;Saba;2017/2018;89.6;;;;93.5;;;;96.0;4.0;;;;;;;;81.6;46.8;;91.2;21.4;82.2;73.5;79.2;43.2;59.2;54.0;68.5;27.1;59.0
40;Sex: female;Reliability margin;Caribbean Netherlands ;2013;3.7;3.3;4.5;4.9;3.9;1.6;1.8;3.5;3.4;3.0;1.2;1.3;2.7;3.9;5.1;3.9;3.3;3.9;4.8;3.6;5.2;3.1;4.7;5.0;5.2;5.1;5.1;5.2;5.1;4.3;4.9
41;Sex: female;Reliability margin;Caribbean Netherlands ;2017/2018;2.5;;;;1.7;;;;1.9;1.8;;;;;;;;3.4;3.8;;2.2;2.5;3.3;3.2;3.6;3.8;3.9;3.9;3.9;3.1;3.9
42;Sex: female;Reliability margin;Bonaire;2013;4.3;4.0;5.2;5.7;4.6;1.9;2.1;4.0;4.0;3.4;1.7;1.6;2.9;4.8;6.0;4.4;3.8;4.6;5.5;4.1;6.0;3.3;5.5;5.9;6.0;5.9;5.9;6.0;6.0;4.8;5.4
43;Sex: female;Reliability margin;Bonaire;2017/2018;3.1;;;;1.5;;;;1.6;1.6;;;;;;;;4.5;4.6;;2.3;2.8;4.0;3.7;4.7;4.8;4.8;4.9;4.9;3.9;4.7
44;Sex: female;Reliability margin;St. Eustatius;2013;11.9;;14.2;15.3;12.5;;;11.5;9.0;;;;11.7;11.5;16.4;10.7;11.3;11.6;16.2;11.2;16.3;;15.1;16.5;16.0;15.1;16.1;16.3;16.1;14.2;15.9
45;Sex: female;Reliability margin;St. Eustatius;2017/2018;5.6;;;;5.4;;;;6.9;6.6;;;;;;;;6.9;8.7;;6.8;6.1;8.3;7.9;7.4;8.7;8.7;8.7;8.7;6.2;8.7
46;Sex: female;Reliability margin;Saba;2013;7.7;9.1;10.3;10.8;7.3;;;6.9;8.2;7.8;;;5.9;7.5;12.0;11.2;;8.2;12.0;9.4;12.0;10.4;9.0;9.2;12.2;12.1;12.2;12.1;12.0;11.7;11.5
47;Sex: female;Reliability margin;Saba;2017/2018;5.4;;;;4.6;;;;3.8;3.8;;;;;;;;7.5;9.6;;5.4;7.9;7.4;8.5;7.8;9.5;9.5;9.6;9.0;8.6;9.6
48;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2013;84.2;10.7;71.5;42.7;85.8;2.3;4.8;7.2;87.9;9.7;1.5;1.0;92.1;21.3;45.5;22.7;12.2;79.4;39.6;18.3;56.9;13.1;77.1;59.7;51.8;39.3;35.5;56.9;50.8;28.8;37.4
49;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;92.0;;;;97.7;;;;95.0;4.5;;;;;;;;76.0;41.3;;93.3;12.0;84.0;80.6;75.6;39.7;53.1;61.4;60.6;31.2;48.6
50;Age: 15 to 44 years;Percentage/average;Bonaire;2013;86.0;10.9;71.0;47.2;86.8;1.8;4.6;6.7;88.6;9.1;1.5;;93.2;23.4;47.6;18.7;12.7;77.4;35.5;17.5;54.8;10.9;78.2;55.4;53.0;41.3;33.9;54.4;47.0;24.8;31.6
51;Age: 15 to 44 years;Percentage/average;Bonaire;2017/2018;91.8;;;;99.3;;;;97.4;2.4;;;;;;;;73.9;35.6;;94.8;10.2;86.4;87.0;69.3;36.8;54.6;59.2;58.3;27.9;40.9
52;Age: 15 to 44 years;Percentage/average;St. Eustatius;2013;73.0;9.0;71.2;31.0;73.9;;8.6;12.8;87.6;10.1;;;85.5;14.1;47.2;21.9;12.3;83.8;53.0;19.2;58.5;14.7;68.3;65.7;43.4;31.9;32.8;62.9;60.1;36.9;44.6
53;Age: 15 to 44 years;Percentage/average;St. Eustatius;2017/2018;87.8;;;;92.0;;;;86.1;12.6;;;;;;;;70.1;42.6;;87.0;12.7;73.0;66.3;84.1;39.7;42.7;61.1;52.2;25.1;56.6
54;Age: 15 to 44 years;Percentage/average;Saba;2013;88.8;11.3;75.3;28.9;96.7;;;;84.4;12.6;;;93.3;17.3;30.9;46.6;9.4;86.1;48.0;21.9;67.3;24.7;80.7;78.2;54.9;36.0;48.1;65.0;61.8;42.2;63.5
55;Age: 15 to 44 years;Percentage/average;Saba;2017/2018;97.8;;;;99.3;;;;96.8;;;;;;;;;88.6;57.5;;95.3;16.4;88.2;76.2;85.9;48.5;59.3;68.3;76.5;47.4;63.7
56;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2013;3.1;2.8;4.2;4.5;2.9;1.3;1.8;2.2;3.0;2.7;1.1;0.9;2.5;3.7;4.5;3.8;3.0;3.7;4.4;3.5;4.5;3.1;3.8;4.5;4.6;4.5;4.4;4.5;4.6;4.1;4.4
57;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;1.9;;;;1.1;;;;1.6;1.5;;;;;;;;3.1;3.6;;1.8;2.4;2.7;2.9;3.2;3.6;3.7;3.6;3.6;3.4;3.7
58;Age: 15 to 44 years;Reliability margin;Bonaire;2013;3.4;3.4;4.9;5.4;3.4;1.3;2.1;2.5;3.4;3.1;1.3;;2.7;4.5;5.3;4.2;3.5;4.5;5.1;4.1;5.3;3.3;4.4;5.3;5.4;5.3;5.1;5.4;5.4;4.6;5.0
59;Age: 15 to 44 years;Reliability margin;Bonaire;2017/2018;2.5;;;;0.8;;;;1.5;1.5;;;;;;;;4.2;4.6;;2.1;2.9;3.3;3.2;4.4;4.6;4.7;4.7;4.7;4.3;4.7
60;Age: 15 to 44 years;Reliability margin;St. Eustatius;2013;10.6;8.0;12.7;12.9;10.5;;6.7;8.0;9.2;8.4;;;9.8;9.7;13.9;11.5;9.1;10.3;13.9;11.0;13.7;9.8;12.9;13.7;13.8;13.0;13.1;13.4;13.6;13.4;14.2
61;Age: 15 to 44 years;Reliability margin;St. Eustatius;2017/2018;4.8;;;;4.3;;;;5.7;5.4;;;;;;;;7.5;8.1;;5.5;5.4;7.3;7.7;6.0;8.0;8.1;8.0;8.2;7.1;8.1
62;Age: 15 to 44 years;Reliability margin;Saba;2013;6.4;6.9;9.4;9.9;3.6;;;;7.5;6.8;;;5.2;7.8;9.5;10.3;6.0;7.2;10.4;8.6;9.8;9.0;8.2;8.5;10.4;10.0;10.4;9.9;10.1;10.3;9.9
63;Age: 15 to 44 years;Reliability margin;Saba;2017/2018;2.4;;;;1.3;;;;2.9;;;;;;;;;5.3;8.2;;3.5;6.2;5.4;7.1;5.8;8.3;8.2;7.7;7.1;8.3;8.1
64;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2013;64.6;13.0;78.8;26.7;53.9;3.0;5.8;37.3;83.0;12.8;2.4;1.9;94.1;6.0;43.3;3.7;8.8;86.7;23.7;9.3;32.5;9.3;54.4;62.2;38.3;48.5;48.0;32.1;34.8;21.8;31.2
65;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;77.9;;;;89.3;;;;90.6;8.3;;;;;;;;69.3;32.6;;85.7;14.7;60.4;72.9;62.6;44.2;52.3;33.5;34.5;15.5;37.5
66;Age: 45 years or older;Percentage/average;Bonaire;2013;64.2;14.9;79.0;26.4;53.9;3.3;6.5;36.3;82.5;12.8;3.1;;95.2;6.8;40.9;3.9;9.0;85.9;18.9;8.3;31.9;6.3;52.2;64.1;39.7;45.9;46.3;32.1;35.1;18.8;26.7
67;Age: 45 years or older;Percentage/average;Bonaire;2017/2018;79.8;;;;92.8;;;;95.3;4.0;;;;;;;;64.4;29.8;;90.6;11.8;64.7;75.6;57.4;39.0;50.6;35.4;35.2;15.6;30.9
68;Age: 45 years or older;Percentage/average;St. Eustatius;2013;62.8;;;;51.1;;;43.6;;;;;;;;;;;;;;;;;;;;;;;
69;Age: 45 years or older;Percentage/average;St. Eustatius;2017/2018;73.0;;;;83.4;;;;74.3;22.7;;;;;;;;78.5;38.5;;72.3;15.3;49.9;64.9;73.1;52.8;55.3;28.3;26.1;10.8;48.2
70;Age: 45 years or older;Percentage/average;Saba;2013;73.7;;;;60.5;;;33.3;;;;;;;;;;;;;;;;;;;;;;;
71;Age: 45 years or older;Percentage/average;Saba;2017/2018;78.0;;;;82.0;;;;92.6;7.4;;;;;;;;80.8;37.9;;81.4;30.1;54.8;71.3;73.1;58.3;56.1;32.3;44.9;23.1;56.0
72;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2013;4.1;3.6;4.4;4.8;4.3;1.5;2.0;4.2;4.4;3.9;1.8;1.6;2.8;2.8;5.8;2.2;3.3;4.0;5.0;3.4;5.5;3.4;5.9;5.7;5.7;5.9;5.9;5.5;5.6;4.9;5.4
73;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;2.8;;;;2.4;;;;2.4;2.3;;;;;;;;3.8;3.8;;2.9;2.9;4.0;3.6;4.0;4.1;4.1;3.9;3.9;3.0;4.0
74;Age: 45 years or older;Reliability margin;Bonaire;2013;4.8;4.4;5.1;5.5;5.0;1.8;2.5;4.8;5.2;4.5;2.4;;2.9;3.4;6.7;2.6;3.9;4.7;5.3;3.7;6.3;3.3;6.8;6.5;6.6;6.8;6.8;6.4;6.5;5.3;6.0
75;Age: 45 years or older;Reliability margin;Bonaire;2017/2018;3.4;;;;2.5;;;;2.1;2.0;;;;;;;;4.8;4.6;;2.9;3.2;4.8;4.3;4.9;4.9;5.0;4.8;4.8;3.6;4.6
76;Age: 45 years or older;Reliability margin;St. Eustatius;2013;11.9;;;;12.2;;;12.1;;;;;;;;;;;;;;;;;;;;;;;
77;Age: 45 years or older;Reliability margin;St. Eustatius;2017/2018;6.2;;;;6.1;;;;7.9;7.5;;;;;;;;7.4;8.8;;8.1;6.5;9.0;8.6;8.0;9.0;8.9;8.1;7.9;5.6;9.1
78;Age: 45 years or older;Reliability margin;Saba;2013;11.8;;;;13.1;;;12.6;;;;;;;;;;;;;;;;;;;;;;;
79;Age: 45 years or older;Reliability margin;Saba;2017/2018;7.8;;;;8.3;;;;6.3;6.3;;;;;;;;9.4;11.6;;9.3;11.0;11.9;10.9;10.6;11.8;11.9;11.2;11.9;10.1;12.0
80;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2013;89.8;13.0;74.1;39.2;92.9;2.5;3.1;;92.3;5.9;;;94.4;30.5;23.0;47.7;22.1;80.1;44.7;15.1;65.2;9.7;82.7;69.0;56.6;30.1;22.6;73.1;59.0;36.0;34.0
81;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2017/2018;91.9;;;;98.2;;;;95.5;4.0;;;;;;;;73.3;42.2;;94.4;7.1;87.1;78.1;78.7;35.8;36.9;75.0;70.4;36.7;45.2
82;Age: 15 to 24 years;Percentage/average;Bonaire;2013;92.3;12.9;71.7;44.9;92.9;;3.5;;94.1;4.3;;;94.7;33.3;24.2;47.4;22.7;76.4;41.4;12.3;62.1;7.0;86.7;58.4;54.3;31.6;16.6;70.1;53.4;28.6;24.1
83;Age: 15 to 24 years;Percentage/average;Bonaire;2017/2018;89.5;;;;99.2;;;;98.2;;;;;;;;;74.7;37.1;;94.7;5.1;89.1;86.3;73.2;34.4;38.0;72.4;64.3;30.8;37.3
84;Age: 15 to 24 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;Age: 15 to 24 years;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Age: 15 to 24 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Age: 15 to 24 years;Percentage/average;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2013;4.6;5.5;7.1;7.9;3.9;2.4;2.6;;4.2;3.7;;;3.6;7.3;6.7;7.9;6.6;6.4;7.9;5.7;7.6;4.7;6.0;7.4;7.9;7.3;6.6;7.1;7.8;7.6;7.6
89;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2017/2018;3.5;;;;1.8;;;;2.8;2.7;;;;;;;;6.1;6.8;;3.1;3.5;4.6;5.7;5.6;6.6;6.6;5.9;6.3;6.6;6.9
90;Age: 15 to 24 years;Reliability margin;Bonaire;2013;5.0;6.6;8.8;9.7;4.8;;3.4;;4.6;4.0;;;4.4;9.2;8.3;9.7;8.2;8.3;9.6;6.4;9.4;5.0;6.6;9.6;9.7;9.1;7.2;8.9;9.7;8.8;8.3
91;Age: 15 to 24 years;Reliability margin;Bonaire;2017/2018;5.2;;;;1.6;;;;2.4;;;;;;;;;7.8;8.7;;4.1;4.0;5.6;6.2;8.0;8.6;8.8;8.1;8.6;8.3;8.7
92;Age: 15 to 24 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Age: 15 to 24 years;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Age: 15 to 24 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Age: 15 to 24 years;Reliability margin;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2013;81.7;9.6;70.3;44.4;82.7;2.1;5.5;9.7;85.7;11.6;1.5;1.2;91.0;16.8;56.4;10.5;7.4;79.1;37.1;19.8;52.8;14.8;74.4;55.1;49.5;43.8;42.0;48.9;46.7;25.2;39.0
97;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;92.0;;;;97.5;;;;94.8;4.7;;;;;;;;77.1;41.0;;92.8;13.9;82.8;81.7;74.3;41.3;59.7;55.9;56.7;28.9;49.9
98;Age: 25 to 44 years;Percentage/average;Bonaire;2013;83.5;10.0;70.6;48.2;84.4;2.0;5.1;8.5;86.2;11.2;1.7;;92.6;19.2;57.8;6.3;8.3;77.8;33.0;19.8;51.6;12.6;74.5;54.2;52.5;45.6;41.6;47.4;44.2;23.1;34.8
99;Age: 25 to 44 years;Percentage/average;Bonaire;2017/2018;92.7;;;;99.3;;;;97.1;2.9;;;;;;;;73.6;34.9;;94.8;12.2;85.4;87.3;67.8;37.7;61.1;54.1;55.9;26.8;42.3
100;Age: 25 to 44 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Age: 25 to 44 years;Percentage/average;St. Eustatius;2017/2018;87.0;;;;91.7;;;;86.7;11.5;;;;;;;;74.3;47.3;;87.2;15.1;75.1;69.0;85.4;40.3;50.8;56.1;47.0;21.7;61.2
102;Age: 25 to 44 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Age: 25 to 44 years;Percentage/average;Saba;2017/2018;96.7;;;;99.0;;;;96.3;;;;;;;;;92.5;53.7;;92.8;18.2;83.2;77.8;83.2;54.4;65.4;61.4;70.4;44.7;62.3
104;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2013;3.9;3.3;5.1;5.5;3.8;1.5;2.3;3.0;3.9;3.5;1.4;1.2;3.2;4.1;5.5;3.4;2.9;4.5;5.3;4.4;5.5;3.9;4.8;5.5;5.6;5.5;5.5;5.6;5.6;4.9;5.4
105;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;2.3;;;;1.3;;;;1.9;1.9;;;;;;;;3.7;4.3;;2.3;3.0;3.3;3.4;3.8;4.3;4.3;4.3;4.3;4.0;4.4
106;Age: 25 to 44 years;Reliability margin;Bonaire;2013;4.4;3.9;5.9;6.4;4.3;1.6;2.6;3.3;4.4;4.0;1.7;;3.4;5.0;6.3;3.1;3.5;5.3;6.0;5.1;6.4;4.2;5.6;6.4;6.5;6.4;6.4;6.5;6.4;5.5;6.1
107;Age: 25 to 44 years;Reliability margin;Bonaire;2017/2018;2.8;;;;0.9;;;;1.9;1.9;;;;;;;;5.0;5.4;;2.5;3.7;4.0;3.7;5.3;5.4;5.5;5.6;5.6;5.0;5.6
108;Age: 25 to 44 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Age: 25 to 44 years;Reliability margin;St. Eustatius;2017/2018;5.7;;;;5.0;;;;6.5;6.1;;;;;;;;8.3;9.5;;6.4;6.8;8.2;8.8;6.7;9.3;9.5;9.4;9.5;7.8;9.3
