ID;Herkomst;Geslacht;Perioden;IvboVbo_1;VboMavo_2;MavoHavo_3;HavoVwo_4;UitvallerZonderDiploma_5;SchoolverlaterZonderStartkwalificatie_6;Overig_7;LagerOnderwijs_8;Avo1_9;Avo2_10;HboUniversiteit_11;Onbekend_12;DeVierGroteSteden_13;BuitenDeVierGroteSteden_14;Onbekend_15;Arbeider_16;Zelfstandige_17;LagerEmploye_18;MiddelbaarEmploye_19;HogerEmploye_20;OverigEnOnbekend_21;TotaalscoreToetsen_22;DeeltoetsTaal_23;DeeltoetsRekenen_24;DeeltoetsInformatieverwerking_25
10;Herkomst Autochtonen;Totaal jongens en meisjes;Cohort 1993;0;0;0;0;6.0;13.0;81.0;12.0;15.0;47.0;25.0;0.0;4.0;96.0;0.0;27.0;12.0;11.0;21.0;17.0;13.0;3.33;3.38;3.31;3.09
11;Herkomst Autochtonen;Totaal jongens en meisjes;Cohort 1999;9;27;25;39;1.0;;99.0;9.0;11.0;41.0;25.0;14.0;6.0;94.0;0.0;;;;;;;3.11;3.05;3.12;3.11
12;Herkomst Autochtonen;Jongens;Cohort 1989;0;0;0;0;9.0;26.0;65.0;13.0;28.0;38.0;21.0;0.0;4.0;95.0;1.0;28.0;10.0;10.0;21.0;15.0;16.0;3.44;3.19;3.34;3.16
13;Herkomst Autochtonen;Jongens;Cohort 1993;0;0;0;0;6.0;14.0;80.0;12.0;15.0;47.0;26.0;0.0;4.0;96.0;0.0;27.0;12.0;10.0;21.0;17.0;13.0;3.32;3.22;3.39;3.1
14;Herkomst Autochtonen;Jongens;Cohort 1999;0;0;0;0;1.0;;99.0;8.0;11.0;41.0;25.0;15.0;6.0;94.0;0.0;;;;;;;3.11;2.9;3.22;3.13
15;Herkomst Autochtonen;Meisjes;Cohort 1989;0;0;0;0;7.0;18.0;75.0;13.0;29.0;38.0;20.0;0.0;3.0;96.0;1.0;28.0;10.0;9.0;20.0;17.0;17.0;3.41;3.46;3.15;3.07
16;Herkomst Autochtonen;Meisjes;Cohort 1993;0;0;0;0;6.0;12.0;83.0;12.0;15.0;48.0;25.0;0.0;4.0;96.0;0.0;27.0;12.0;11.0;21.0;17.0;13.0;3.35;3.54;3.23;3.08
17;Herkomst Autochtonen;Meisjes;Cohort 1999;0;0;0;0;1.0;;99.0;9.0;11.0;41.0;25.0;14.0;6.0;94.0;0.0;;;;;;;3.11;3.2;3.02;3.09
18;Herkomst Antillen/Suriname;Totaal jongens en meisjes;Cohort 1989;0;0;0;0;21.0;28.0;51.0;38.0;23.0;22.0;16.0;0.0;34.0;66.0;0.0;21.0;1.0;10.0;12.0;8.0;48.0;3.09;3.06;2.95;2.6
19;Herkomst Antillen/Suriname;Totaal jongens en meisjes;Cohort 1993;0;0;0;0;18.0;20.0;62.0;30.0;16.0;36.0;17.0;2.0;41.0;59.0;0.0;23.0;2.0;12.0;17.0;6.0;40.0;2.86;3.04;2.88;2.62
20;Herkomst Antillen/Suriname;Totaal jongens en meisjes;Cohort 1999;12;32;21;35;3.0;;97.0;17.0;14.0;25.0;13.0;32.0;51.0;49.0;0.0;;;;;;;2.71;2.87;2.77;2.68
21;Herkomst Antillen/Suriname;Jongens;Cohort 1989;0;0;0;0;24.0;27.0;50.0;42.0;22.0;20.0;17.0;1.0;38.0;63.0;0.0;21.0;2.0;11.0;9.0;8.0;51.0;3.06;3.03;3.11;2.6
22;Herkomst Antillen/Suriname;Jongens;Cohort 1993;0;0;0;0;21.0;19.0;60.0;28.0;16.0;33.0;21.0;1.0;33.0;67.0;0.0;22.0;1.0;11.0;21.0;9.0;35.0;3.03;3.08;3.11;2.78
23;Herkomst Antillen/Suriname;Jongens;Cohort 1999;0;0;0;0;3.0;;97.0;16.0;15.0;26.0;9.0;33.0;53.0;47.0;0.0;;;;;;;2.61;2.61;2.8;2.68
24;Herkomst Antillen/Suriname;Meisjes;Cohort 1989;0;0;0;0;18.0;29.0;53.0;34.0;26.0;24.0;16.0;0.0;31.0;69.0;0.0;22.0;1.0;9.0;16.0;8.0;45.0;3.13;3.09;2.75;2.61
25;Herkomst Antillen/Suriname;Meisjes;Cohort 1993;0;0;0;0;15.0;20.0;64.0;31.0;15.0;39.0;13.0;2.0;48.0;52.0;0.0;23.0;3.0;13.0;13.0;3.0;44.0;2.7;2.99;2.68;2.47
26;Herkomst Antillen/Suriname;Meisjes;Cohort 1999;0;0;0;0;3.0;;97.0;17.0;14.0;23.0;16.0;30.0;50.0;50.0;0.0;;;;;;;2.8;3.09;2.74;2.68
27;Herkomst Marokko;Totaal jongens en meisjes;Cohort 1989;0;0;0;0;23.0;30.0;47.0;83.0;8.0;4.0;1.0;4.0;33.0;67.0;0.0;27.0;2.0;1.0;3.0;0.0;67.0;3.12;2.9;2.97;2.19
28;Herkomst Marokko;Totaal jongens en meisjes;Cohort 1993;0;0;0;0;18.0;18.0;64.0;84.0;7.0;4.0;2.0;3.0;26.0;74.0;0.0;27.0;1.0;1.0;2.0;1.0;69.0;2.53;2.71;2.62;2.23
29;Herkomst Marokko;Totaal jongens en meisjes;Cohort 1999;20;43;21;15;4.0;;96.0;46.0;4.0;3.0;2.0;45.0;47.0;53.0;0.0;;;;;;;2.29;2.42;2.47;2.36
30;Herkomst Marokko;Jongens;Cohort 1989;0;0;0;0;31.0;31.0;39.0;85.0;7.0;4.0;0.0;5.0;32.0;68.0;0.0;27.0;2.0;1.0;4.0;0.0;67.0;2.94;2.71;2.99;2.24
31;Herkomst Marokko;Jongens;Cohort 1993;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
32;Herkomst Marokko;Jongens;Cohort 1999;0;0;0;0;4.0;;96.0;41.0;4.0;4.0;2.0;49.0;43.0;57.0;0.0;;;;;;;2.28;2.28;2.5;2.38
33;Herkomst Marokko;Meisjes;Cohort 1989;0;0;0;0;15.0;30.0;55.0;81.0;10.0;5.0;2.0;3.0;34.0;66.0;1.0;27.0;1.0;1.0;3.0;0.0;67.0;3.32;3.12;2.94;2.12
34;Herkomst Marokko;Meisjes;Cohort 1993;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
35;Herkomst Marokko;Meisjes;Cohort 1999;0;0;0;0;4.0;;96.0;52.0;4.0;2.0;1.0;41.0;52.0;48.0;0.0;;;;;;;2.31;2.58;2.43;2.34
36;Herkomst Turkije;Totaal jongens en meisjes;Cohort 1989;0;0;0;0;19.0;30.0;51.0;85.0;9.0;3.0;2.0;2.0;22.0;78.0;0.0;31.0;1.0;0.0;2.0;1.0;64.0;2.76;2.69;2.74;2.13
37;Herkomst Turkije;Totaal jongens en meisjes;Cohort 1993;0;0;0;0;18.0;22.0;60.0;77.0;11.0;9.0;1.0;1.0;26.0;74.0;0.0;31.0;1.0;2.0;2.0;0.0;63.0;2.53;2.7;2.65;2.35
38;Herkomst Turkije;Totaal jongens en meisjes;Cohort 1999;18;41;23;19;5.0;;95.0;50.0;10.0;8.0;2.0;30.0;39.0;60.0;1.0;;;;;;;2.4;2.62;2.61;2.32
39;Herkomst Turkije;Jongens;Cohort 1989;0;0;0;0;21.0;30.0;49.0;83.0;9.0;4.0;3.0;1.0;20.0;80.0;0.0;32.0;1.0;0.0;3.0;1.0;62.0;2.9;2.72;2.87;2.19
40;Herkomst Turkije;Jongens;Cohort 1993;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
41;Herkomst Turkije;Jongens;Cohort 1999;0;0;0;0;4.0;;96.0;47.0;9.0;9.0;3.0;32.0;41.0;59.0;0.0;;;;;;;2.44;2.53;2.73;2.36
42;Herkomst Turkije;Meisjes;Cohort 1989;0;0;0;0;16.0;31.0;53.0;87.0;9.0;2.0;0.0;2.0;24.0;76.0;0.0;31.0;1.0;0.0;1.0;0.0;67.0;2.58;2.65;2.57;2.06
43;Herkomst Turkije;Meisjes;Cohort 1993;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
44;Herkomst Turkije;Meisjes;Cohort 1999;0;0;0;0;6.0;;94.0;53.0;11.0;7.0;2.0;28.0;38.0;62.0;1.0;;;;;;;2.36;2.72;2.47;2.28
45;Herkomst ander land;Totaal jongens en meisjes;Cohort 1989;0;0;0;0;14.0;21.0;65.0;21.0;22.0;31.0;26.0;1.0;11.0;89.0;0.0;28.0;6.0;9.0;16.0;16.0;26.0;3.46;3.38;3.34;3.02
46;Herkomst ander land;Totaal jongens en meisjes;Cohort 1993;0;0;0;0;11.0;15.0;75.0;22.0;12.0;35.0;30.0;1.0;9.0;91.0;1.0;24.0;8.0;8.0;19.0;15.0;25.0;3.4;3.47;3.4;3.08
47;Herkomst ander land;Totaal jongens en meisjes;Cohort 1999;9;28;24;38;3.0;;97.0;20.0;8.0;26.0;22.0;25.0;19.0;81.0;0.0;;;;;;;2.92;2.93;2.97;2.89
48;Herkomst ander land;Jongens;Cohort 1989;0;0;0;0;16.0;23.0;61.0;21.0;21.0;30.0;28.0;0.0;10.0;89.0;0.0;28.0;7.0;8.0;15.0;18.0;24.0;3.48;3.25;3.47;3.09
49;Herkomst ander land;Jongens;Cohort 1993;0;0;0;0;11.0;16.0;74.0;21.0;12.0;35.0;32.0;1.0;8.0;91.0;0.0;22.0;8.0;8.0;20.0;16.0;25.0;3.38;3.33;3.41;3.12
50;Herkomst ander land;Jongens;Cohort 1999;0;0;0;0;3.0;;97.0;18.0;8.0;27.0;22.0;25.0;19.0;81.0;0.0;;;;;;;2.95;2.81;3.12;2.95
51;Herkomst ander land;Meisjes;Cohort 1989;0;0;0;0;13.0;18.0;69.0;22.0;23.0;31.0;23.0;1.0;11.0;88.0;1.0;28.0;5.0;10.0;16.0;13.0;28.0;3.44;3.52;3.19;2.93
52;Herkomst ander land;Meisjes;Cohort 1993;0;0;0;0;11.0;13.0;76.0;24.0;12.0;35.0;29.0;1.0;9.0;91.0;1.0;26.0;9.0;8.0;18.0;14.0;25.0;3.42;3.61;3.38;3.04
53;Herkomst ander land;Meisjes;Cohort 1999;0;0;0;0;3.0;;97.0;22.0;7.0;25.0;22.0;24.0;19.0;81.0;0.0;;;;;;;2.88;3.06;2.84;2.83
54;Herkomst onbekend;Totaal jongens en meisjes;Cohort 1989;0;0;0;0;23.0;30.0;47.0;8.0;5.0;4.0;3.0;80.0;13.0;86.0;1.0;5.0;2.0;1.0;3.0;2.0;87.0;3.52;3.29;3.3;2.83
55;Herkomst onbekend;Totaal jongens en meisjes;Cohort 1993;0;0;0;0;19.0;20.0;60.0;2.0;1.0;2.0;1.0;94.0;16.0;84.0;0.0;2.0;1.0;1.0;1.0;1.0;95.0;3.65;3.76;3.67;2.7
56;Herkomst onbekend;Totaal jongens en meisjes;Cohort 1999;0;0;0;0;10.0;;90.0;14.0;11.0;27.0;17.0;32.0;16.0;82.0;2.0;;;;;;;2.81;2.86;2.8;2.82
57;Herkomst onbekend;Jongens;Cohort 1989;0;0;0;0;26.0;31.0;44.0;9.0;6.0;4.0;3.0;79.0;13.0;86.0;0.0;5.0;2.0;1.0;2.0;3.0;87.0;3.48;3.17;3.33;2.88
58;Herkomst onbekend;Jongens;Cohort 1993;0;0;0;0;21.0;20.0;60.0;2.0;1.0;2.0;1.0;94.0;15.0;85.0;0.0;2.0;1.0;1.0;1.0;1.0;95.0;3.71;3.7;3.82;2.76
59;Herkomst onbekend;Jongens;Cohort 1999;0;0;0;0;9.0;;91.0;13.0;10.0;27.0;16.0;34.0;18.0;80.0;2.0;;;;;;;2.84;2.77;2.94;2.83
60;Herkomst onbekend;Meisjes;Cohort 1989;0;0;0;0;21.0;30.0;50.0;8.0;4.0;4.0;3.0;81.0;13.0;87.0;1.0;4.0;2.0;1.0;4.0;2.0;87.0;3.55;3.41;3.27;2.78
61;Herkomst onbekend;Meisjes;Cohort 1993;0;0;0;0;18.0;21.0;61.0;1.0;1.0;2.0;1.0;94.0;16.0;83.0;0.0;1.0;1.0;1.0;1.0;1.0;96.0;3.58;3.82;3.5;2.65
62;Herkomst onbekend;Meisjes;Cohort 1999;0;0;0;0;10.0;;90.0;14.0;13.0;27.0;17.0;30.0;14.0;85.0;2.0;;;;;;;2.78;2.93;2.67;2.8
