ID;Geslacht;Kenmerken;Perioden;WerknemersMetKinderenTot8Jaar_1;WerknemersMetOuderschapsverlof_2;GeenOuderschapsverlofWelBehoefte_3;GeenOuderschapsverlofGeenBehoefte_4;OuderschapsverlofOnbekend_5
47;Mannen en vrouwen;Inkomen onbekend;2009;24.0;;3.0;19.0;
48;Mannen en vrouwen;Inkomen onbekend;2011;;;;;
49;Mannen en vrouwen;Inkomen onbekend;2013;;;;;
50;Mannen en vrouwen;Werkgever betaalt geheel;2005;14.0;14.0;;;
51;Mannen en vrouwen;Werkgever betaalt geheel;2007;11.0;11.0;;;
52;Mannen en vrouwen;Werkgever betaalt geheel;2009;11.0;11.0;;;
53;Mannen en vrouwen;Werkgever betaalt geheel;2011;15.0;15.0;;;
54;Mannen en vrouwen;Werkgever betaalt geheel;2013;13.0;13.0;;;
55;Mannen en vrouwen;Werkgever betaalt gedeeltelijk;2005;58.0;58.0;;;
56;Mannen en vrouwen;Werkgever betaalt gedeeltelijk;2007;51.0;51.0;;;
57;Mannen en vrouwen;Werkgever betaalt gedeeltelijk;2009;56.0;56.0;;;
58;Mannen en vrouwen;Werkgever betaalt gedeeltelijk;2011;62.0;62.0;;;
59;Mannen en vrouwen;Werkgever betaalt gedeeltelijk;2013;69.0;69.0;;;
60;Mannen en vrouwen;Werkgever betaalt niet;2005;47.0;47.0;;;
61;Mannen en vrouwen;Werkgever betaalt niet;2007;58.0;58.0;;;
62;Mannen en vrouwen;Werkgever betaalt niet;2009;57.0;57.0;;;
63;Mannen en vrouwen;Werkgever betaalt niet;2011;79.0;79.0;;;
64;Mannen en vrouwen;Werkgever betaalt niet;2013;93.0;93.0;;;
65;Mannen en vrouwen;Vergoeding te laag;2005;43.0;;43.0;;
66;Mannen en vrouwen;Vergoeding te laag;2007;51.0;;51.0;;
67;Mannen en vrouwen;Vergoeding te laag;2009;52.0;;52.0;;
68;Mannen en vrouwen;Vergoeding te laag;2011;31.0;;31.0;;
69;Mannen en vrouwen;Vergoeding te laag;2013;37.0;;37.0;;
70;Mannen en vrouwen;Voldoende kinderopvang;2005;7.0;;7.0;;
71;Mannen en vrouwen;Voldoende kinderopvang;2007;5.0;;5.0;;
72;Mannen en vrouwen;Voldoende kinderopvang;2009;4.0;;4.0;;
73;Mannen en vrouwen;Voldoende kinderopvang;2011;4.0;;4.0;;
74;Mannen en vrouwen;Voldoende kinderopvang;2013;3.0;;3.0;;
75;Mannen en vrouwen;Te weinig keuze of vrijheid bij bepalen;2005;4.0;;4.0;;
76;Mannen en vrouwen;Te weinig keuze of vrijheid bij bepalen;2007;3.0;;3.0;;
77;Mannen en vrouwen;Te weinig keuze of vrijheid bij bepalen;2009;2.0;;2.0;;
78;Mannen en vrouwen;Te weinig keuze of vrijheid bij bepalen;2011;2.0;;2.0;;
79;Mannen en vrouwen;Te weinig keuze of vrijheid bij bepalen;2013;3.0;;3.0;;
80;Mannen en vrouwen;Ongunstig voor carrière;2005;38.0;;38.0;;
81;Mannen en vrouwen;Ongunstig voor carrière;2007;50.0;;50.0;;
82;Mannen en vrouwen;Ongunstig voor carrière;2009;40.0;;40.0;;
83;Mannen en vrouwen;Ongunstig voor carrière;2011;29.0;;29.0;;
84;Mannen en vrouwen;Ongunstig voor carrière;2013;31.0;;31.0;;
85;Mannen en vrouwen;Niet bekend met regeling;2005;8.0;;8.0;;
86;Mannen en vrouwen;Niet bekend met regeling;2007;13.0;;13.0;;
87;Mannen en vrouwen;Niet bekend met regeling;2009;13.0;;13.0;;
88;Mannen en vrouwen;Niet bekend met regeling;2011;7.0;;7.0;;
89;Mannen en vrouwen;Niet bekend met regeling;2013;8.0;;8.0;;
90;Mannen en vrouwen;Partner gestopt met werk of werkt niet;2005;3.0;;3.0;;
91;Mannen en vrouwen;Partner gestopt met werk of werkt niet;2007;;;;;
92;Mannen en vrouwen;Partner gestopt met werk of werkt niet;2009;2.0;;2.0;;
93;Mannen en vrouwen;Partner gestopt met werk of werkt niet;2011;2.0;;2.0;;
94;Mannen en vrouwen;Partner gestopt met werk of werkt niet;2013;2.0;;2.0;;
95;Mannen en vrouwen;Werkt in deeltijd en wil niet nog minder;2005;3.0;;3.0;;
96;Mannen en vrouwen;Werkt in deeltijd en wil niet nog minder;2007;3.0;;3.0;;
97;Mannen en vrouwen;Werkt in deeltijd en wil niet nog minder;2009;;;;;
98;Mannen en vrouwen;Werkt in deeltijd en wil niet nog minder;2011;2.0;;2.0;;
99;Mannen en vrouwen;Werkt in deeltijd en wil niet nog minder;2013;2.0;;2.0;;
100;Mannen en vrouwen;Andere reden geen ouderschapsverlof;2005;35.0;;35.0;;
101;Mannen en vrouwen;Andere reden geen ouderschapsverlof;2007;34.0;;34.0;;
102;Mannen en vrouwen;Andere reden geen ouderschapsverlof;2009;33.0;;33.0;;
103;Mannen en vrouwen;Andere reden geen ouderschapsverlof;2011;34.0;;34.0;;
104;Mannen en vrouwen;Andere reden geen ouderschapsverlof;2013;23.0;;23.0;;
105;Mannen;Totaal kenmerken;2005;773.0;44.0;86.0;606.0;37.0
106;Mannen;Totaal kenmerken;2007;750.0;48.0;94.0;566.0;41.0
107;Mannen;Totaal kenmerken;2009;714.0;46.0;85.0;545.0;38.0
108;Mannen;Totaal kenmerken;2011;689.0;63.0;63.0;521.0;41.0
109;Mannen;Totaal kenmerken;2013;644.0;60.0;67.0;480.0;37.0
110;Mannen;Arbeidsduur: 12 tot 24 uur per week;2005;16.0;;;12.0;2.0
111;Mannen;Arbeidsduur: 12 tot 24 uur per week;2007;9.0;;;8.0;
112;Mannen;Arbeidsduur: 12 tot 24 uur per week;2009;9.0;;;8.0;
113;Mannen;Arbeidsduur: 12 tot 24 uur per week;2011;9.0;;;7.0;
114;Mannen;Arbeidsduur: 12 tot 24 uur per week;2013;9.0;;;8.0;
115;Mannen;Arbeidsduur: 24 tot 35 uur per week;2005;85.0;9.0;9.0;61.0;7.0
116;Mannen;Arbeidsduur: 24 tot 35 uur per week;2007;76.0;8.0;8.0;49.0;10.0
117;Mannen;Arbeidsduur: 24 tot 35 uur per week;2009;75.0;10.0;9.0;47.0;9.0
118;Mannen;Arbeidsduur: 24 tot 35 uur per week;2011;77.0;13.0;6.0;48.0;9.0
119;Mannen;Arbeidsduur: 24 tot 35 uur per week;2013;70.0;12.0;6.0;46.0;7.0
120;Mannen;Arbeidsduur: 35 uur of meer per week;2005;672.0;35.0;76.0;534.0;27.0
121;Mannen;Arbeidsduur: 35 uur of meer per week;2007;665.0;40.0;86.0;510.0;30.0
122;Mannen;Arbeidsduur: 35 uur of meer per week;2009;630.0;36.0;75.0;490.0;28.0
123;Mannen;Arbeidsduur: 35 uur of meer per week;2011;603.0;50.0;56.0;466.0;31.0
124;Mannen;Arbeidsduur: 35 uur of meer per week;2013;564.0;47.0;61.0;427.0;29.0
125;Mannen;Inkomen: tot  20 000 euro;2005;36.0;2.0;6.0;26.0;2.0
126;Mannen;Inkomen: tot  20 000 euro;2007;14.0;;2.0;11.0;
127;Mannen;Inkomen: tot  20 000 euro;2009;12.0;;;11.0;
128;Mannen;Inkomen: tot  20 000 euro;2011;;;;;
129;Mannen;Inkomen: tot  20 000 euro;2013;;;;;
130;Mannen;Inkomen: 20 000 tot  30 000 euro;2005;256.0;9.0;20.0;218.0;8.0
131;Mannen;Inkomen: 20 000 tot  30 000 euro;2007;163.0;6.0;20.0;133.0;5.0
132;Mannen;Inkomen: 20 000 tot  30 000 euro;2009;110.0;3.0;14.0;90.0;3.0
133;Mannen;Inkomen: 20 000 tot  30 000 euro;2011;;;;;
134;Mannen;Inkomen: 20 000 tot  30 000 euro;2013;;;;;
135;Mannen;Inkomen: 30 000 tot  40 000 euro;2005;270.0;15.0;32.0;209.0;13.0
136;Mannen;Inkomen: 30 000 tot  40 000 euro;2007;282.0;16.0;38.0;213.0;14.0
137;Mannen;Inkomen: 30 000 tot  40 000 euro;2009;239.0;12.0;30.0;186.0;12.0
138;Mannen;Inkomen: 30 000 tot  40 000 euro;2011;;;;;
139;Mannen;Inkomen: 30 000 tot  40 000 euro;2013;;;;;
140;Mannen;Inkomen: 40 000 tot  50 000 euro;2005;113.0;10.0;15.0;79.0;9.0
141;Mannen;Inkomen: 40 000 tot  50 000 euro;2007;148.0;12.0;17.0;106.0;13.0
142;Mannen;Inkomen: 40 000 tot  50 000 euro;2009;164.0;13.0;18.0;121.0;12.0
143;Mannen;Inkomen: 40 000 tot  50 000 euro;2011;;;;;
144;Mannen;Inkomen: 40 000 tot  50 000 euro;2013;;;;;
145;Mannen;Inkomen: 50 000 euro en meer;2005;95.0;8.0;13.0;71.0;4.0
146;Mannen;Inkomen: 50 000 euro en meer;2007;138.0;13.0;17.0;99.0;9.0
147;Mannen;Inkomen: 50 000 euro en meer;2009;176.0;18.0;21.0;127.0;11.0
148;Mannen;Inkomen: 50 000 euro en meer;2011;;;;;
149;Mannen;Inkomen: 50 000 euro en meer;2013;;;;;
150;Mannen;Inkomen onbekend;2005;4.0;;;3.0;
151;Mannen;Inkomen onbekend;2007;5.0;;;4.0;
152;Mannen;Inkomen onbekend;2009;13.0;;;11.0;
153;Mannen;Inkomen onbekend;2011;;;;;
154;Mannen;Inkomen onbekend;2013;;;;;
155;Mannen;Werkgever betaalt geheel;2005;5.0;5.0;;;
156;Mannen;Werkgever betaalt geheel;2007;3.0;3.0;;;
157;Mannen;Werkgever betaalt geheel;2009;3.0;3.0;;;
158;Mannen;Werkgever betaalt geheel;2011;6.0;6.0;;;
159;Mannen;Werkgever betaalt geheel;2013;3.0;3.0;;;
160;Mannen;Werkgever betaalt gedeeltelijk;2005;22.0;22.0;;;
161;Mannen;Werkgever betaalt gedeeltelijk;2007;20.0;20.0;;;
162;Mannen;Werkgever betaalt gedeeltelijk;2009;21.0;21.0;;;
163;Mannen;Werkgever betaalt gedeeltelijk;2011;25.0;25.0;;;
164;Mannen;Werkgever betaalt gedeeltelijk;2013;22.0;22.0;;;
165;Mannen;Werkgever betaalt niet;2005;17.0;17.0;;;
166;Mannen;Werkgever betaalt niet;2007;25.0;25.0;;;
167;Mannen;Werkgever betaalt niet;2009;21.0;21.0;;;
168;Mannen;Werkgever betaalt niet;2011;32.0;32.0;;;
169;Mannen;Werkgever betaalt niet;2013;33.0;33.0;;;
170;Mannen;Vergoeding te laag;2005;26.0;;26.0;;
171;Mannen;Vergoeding te laag;2007;26.0;;26.0;;
172;Mannen;Vergoeding te laag;2009;28.0;;28.0;;
173;Mannen;Vergoeding te laag;2011;16.0;;16.0;;
174;Mannen;Vergoeding te laag;2013;20.0;;20.0;;
175;Mannen;Voldoende kinderopvang;2005;3.0;;3.0;;
176;Mannen;Voldoende kinderopvang;2007;2.0;;2.0;;
177;Mannen;Voldoende kinderopvang;2009;2.0;;2.0;;
178;Mannen;Voldoende kinderopvang;2011;2.0;;2.0;;
179;Mannen;Voldoende kinderopvang;2013;;;;;
180;Mannen;Te weinig keuze of vrijheid bij bepalen;2005;2.0;;2.0;;
181;Mannen;Te weinig keuze of vrijheid bij bepalen;2007;2.0;;2.0;;
182;Mannen;Te weinig keuze of vrijheid bij bepalen;2009;;;;;
183;Mannen;Te weinig keuze of vrijheid bij bepalen;2011;;;;;
184;Mannen;Te weinig keuze of vrijheid bij bepalen;2013;;;;;
185;Mannen;Ongunstig voor carrière;2005;28.0;;28.0;;
186;Mannen;Ongunstig voor carrière;2007;37.0;;37.0;;
187;Mannen;Ongunstig voor carrière;2009;28.0;;28.0;;
188;Mannen;Ongunstig voor carrière;2011;20.0;;20.0;;
189;Mannen;Ongunstig voor carrière;2013;23.0;;23.0;;
190;Mannen;Niet bekend met regeling;2005;5.0;;5.0;;
191;Mannen;Niet bekend met regeling;2007;6.0;;6.0;;
192;Mannen;Niet bekend met regeling;2009;7.0;;7.0;;
193;Mannen;Niet bekend met regeling;2011;4.0;;4.0;;
194;Mannen;Niet bekend met regeling;2013;4.0;;4.0;;
195;Mannen;Partner gestopt met werk of werkt niet;2005;2.0;;2.0;;
196;Mannen;Partner gestopt met werk of werkt niet;2007;;;;;
197;Mannen;Partner gestopt met werk of werkt niet;2009;2.0;;2.0;;
198;Mannen;Partner gestopt met werk of werkt niet;2011;;;;;
199;Mannen;Partner gestopt met werk of werkt niet;2013;2.0;;2.0;;
200;Mannen;Werkt in deeltijd en wil niet nog minder;2005;;;;;
201;Mannen;Werkt in deeltijd en wil niet nog minder;2007;;;;;
202;Mannen;Werkt in deeltijd en wil niet nog minder;2009;;;;;
203;Mannen;Werkt in deeltijd en wil niet nog minder;2011;;;;;
204;Mannen;Werkt in deeltijd en wil niet nog minder;2013;;;;;
205;Mannen;Andere reden geen ouderschapsverlof;2005;19.0;;19.0;;
206;Mannen;Andere reden geen ouderschapsverlof;2007;19.0;;19.0;;
207;Mannen;Andere reden geen ouderschapsverlof;2009;16.0;;16.0;;
208;Mannen;Andere reden geen ouderschapsverlof;2011;19.0;;19.0;;
209;Mannen;Andere reden geen ouderschapsverlof;2013;14.0;;14.0;;
210;Vrouwen;Totaal kenmerken;2005;593.0;76.0;54.0;387.0;76.0
211;Vrouwen;Totaal kenmerken;2007;642.0;74.0;66.0;413.0;89.0
212;Vrouwen;Totaal kenmerken;2009;657.0;79.0;63.0;425.0;89.0
213;Vrouwen;Totaal kenmerken;2011;640.0;96.0;48.0;411.0;84.0
214;Vrouwen;Totaal kenmerken;2013;616.0;123.0;42.0;359.0;92.0
215;Vrouwen;Arbeidsduur: 12 tot 24 uur per week;2005;296.0;29.0;20.0;211.0;36.0
216;Vrouwen;Arbeidsduur: 12 tot 24 uur per week;2007;290.0;21.0;22.0;205.0;43.0
217;Vrouwen;Arbeidsduur: 12 tot 24 uur per week;2009;266.0;18.0;19.0;192.0;37.0
218;Vrouwen;Arbeidsduur: 12 tot 24 uur per week;2011;239.0;23.0;15.0;174.0;27.0
219;Vrouwen;Arbeidsduur: 12 tot 24 uur per week;2013;194.0;21.0;9.0;134.0;30.0
220;Vrouwen;Arbeidsduur: 24 tot 35 uur per week;2005;241.0;37.0;29.0;140.0;35.0
221;Vrouwen;Arbeidsduur: 24 tot 35 uur per week;2007;287.0;39.0;36.0;172.0;39.0
222;Vrouwen;Arbeidsduur: 24 tot 35 uur per week;2009;316.0;46.0;36.0;191.0;43.0
223;Vrouwen;Arbeidsduur: 24 tot 35 uur per week;2011;324.0;56.0;26.0;194.0;48.0
224;Vrouwen;Arbeidsduur: 24 tot 35 uur per week;2013;340.0;78.0;26.0;187.0;50.0
225;Vrouwen;Arbeidsduur: 35 uur of meer per week;2005;56.0;11.0;5.0;35.0;5.0
226;Vrouwen;Arbeidsduur: 35 uur of meer per week;2007;65.0;14.0;9.0;36.0;7.0
227;Vrouwen;Arbeidsduur: 35 uur of meer per week;2009;76.0;15.0;8.0;43.0;10.0
228;Vrouwen;Arbeidsduur: 35 uur of meer per week;2011;76.0;18.0;7.0;42.0;9.0
229;Vrouwen;Arbeidsduur: 35 uur of meer per week;2013;82.0;24.0;7.0;38.0;12.0
230;Vrouwen;Inkomen: tot  20 000 euro;2005;46.0;3.0;5.0;32.0;5.0
231;Vrouwen;Inkomen: tot  20 000 euro;2007;32.0;;4.0;22.0;4.0
232;Vrouwen;Inkomen: tot  20 000 euro;2009;27.0;;3.0;19.0;3.0
233;Vrouwen;Inkomen: tot  20 000 euro;2011;;;;;
234;Vrouwen;Inkomen: tot  20 000 euro;2013;;;;;
235;Vrouwen;Inkomen: 20 000 tot  30 000 euro;2005;144.0;11.0;13.0;107.0;13.0
236;Vrouwen;Inkomen: 20 000 tot  30 000 euro;2007;95.0;5.0;12.0;67.0;12.0
237;Vrouwen;Inkomen: 20 000 tot  30 000 euro;2009;79.0;5.0;9.0;55.0;10.0
238;Vrouwen;Inkomen: 20 000 tot  30 000 euro;2011;;;;;
239;Vrouwen;Inkomen: 20 000 tot  30 000 euro;2013;;;;;
240;Vrouwen;Inkomen: 30 000 tot  40 000 euro;2005;220.0;29.0;19.0;143.0;28.0
241;Vrouwen;Inkomen: 30 000 tot  40 000 euro;2007;233.0;27.0;25.0;153.0;29.0
242;Vrouwen;Inkomen: 30 000 tot  40 000 euro;2009;199.0;18.0;22.0;138.0;20.0
243;Vrouwen;Inkomen: 30 000 tot  40 000 euro;2011;;;;;
244;Vrouwen;Inkomen: 30 000 tot  40 000 euro;2013;;;;;
245;Vrouwen;Inkomen: 40 000 tot  50 000 euro;2005;97.0;13.0;9.0;58.0;18.0
246;Vrouwen;Inkomen: 40 000 tot  50 000 euro;2007;137.0;18.0;14.0;85.0;21.0
247;Vrouwen;Inkomen: 40 000 tot  50 000 euro;2009;162.0;21.0;13.0;103.0;26.0
248;Vrouwen;Inkomen: 40 000 tot  50 000 euro;2011;;;;;
249;Vrouwen;Inkomen: 40 000 tot  50 000 euro;2013;;;;;
250;Vrouwen;Inkomen: 50 000 euro en meer;2005;83.0;19.0;7.0;45.0;11.0
251;Vrouwen;Inkomen: 50 000 euro en meer;2007;140.0;23.0;11.0;84.0;22.0
252;Vrouwen;Inkomen: 50 000 euro en meer;2009;180.0;33.0;15.0;102.0;30.0
253;Vrouwen;Inkomen: 50 000 euro en meer;2011;;;;;
254;Vrouwen;Inkomen: 50 000 euro en meer;2013;;;;;
255;Vrouwen;Inkomen onbekend;2005;3.0;;;2.0;
256;Vrouwen;Inkomen onbekend;2007;4.0;;;3.0;
257;Vrouwen;Inkomen onbekend;2009;11.0;;2.0;8.0;
258;Vrouwen;Inkomen onbekend;2011;;;;;
259;Vrouwen;Inkomen onbekend;2013;;;;;
260;Vrouwen;Werkgever betaalt geheel;2005;9.0;9.0;;;
261;Vrouwen;Werkgever betaalt geheel;2007;8.0;8.0;;;
262;Vrouwen;Werkgever betaalt geheel;2009;7.0;7.0;;;
263;Vrouwen;Werkgever betaalt geheel;2011;9.0;9.0;;;
264;Vrouwen;Werkgever betaalt geheel;2013;10.0;10.0;;;
265;Vrouwen;Werkgever betaalt gedeeltelijk;2005;35.0;35.0;;;
266;Vrouwen;Werkgever betaalt gedeeltelijk;2007;32.0;32.0;;;
267;Vrouwen;Werkgever betaalt gedeeltelijk;2009;35.0;35.0;;;
268;Vrouwen;Werkgever betaalt gedeeltelijk;2011;37.0;37.0;;;
269;Vrouwen;Werkgever betaalt gedeeltelijk;2013;47.0;47.0;;;
270;Vrouwen;Werkgever betaalt niet;2005;31.0;31.0;;;
271;Vrouwen;Werkgever betaalt niet;2007;34.0;34.0;;;
272;Vrouwen;Werkgever betaalt niet;2009;36.0;36.0;;;
273;Vrouwen;Werkgever betaalt niet;2011;47.0;47.0;;;
274;Vrouwen;Werkgever betaalt niet;2013;60.0;60.0;;;
275;Vrouwen;Vergoeding te laag;2005;18.0;;18.0;;
276;Vrouwen;Vergoeding te laag;2007;25.0;;25.0;;
277;Vrouwen;Vergoeding te laag;2009;24.0;;24.0;;
278;Vrouwen;Vergoeding te laag;2011;15.0;;15.0;;
279;Vrouwen;Vergoeding te laag;2013;17.0;;17.0;;
280;Vrouwen;Voldoende kinderopvang;2005;3.0;;3.0;;
281;Vrouwen;Voldoende kinderopvang;2007;2.0;;2.0;;
282;Vrouwen;Voldoende kinderopvang;2009;2.0;;2.0;;
283;Vrouwen;Voldoende kinderopvang;2011;2.0;;2.0;;
284;Vrouwen;Voldoende kinderopvang;2013;2.0;;2.0;;
285;Vrouwen;Te weinig keuze of vrijheid bij bepalen;2005;2.0;;2.0;;
286;Vrouwen;Te weinig keuze of vrijheid bij bepalen;2007;;;;;
287;Vrouwen;Te weinig keuze of vrijheid bij bepalen;2009;;;;;
288;Vrouwen;Te weinig keuze of vrijheid bij bepalen;2011;;;;;
289;Vrouwen;Te weinig keuze of vrijheid bij bepalen;2013;2.0;;2.0;;
290;Vrouwen;Ongunstig voor carrière;2005;10.0;;10.0;;
291;Vrouwen;Ongunstig voor carrière;2007;13.0;;13.0;;
292;Vrouwen;Ongunstig voor carrière;2009;12.0;;12.0;;
293;Vrouwen;Ongunstig voor carrière;2011;9.0;;9.0;;
294;Vrouwen;Ongunstig voor carrière;2013;8.0;;8.0;;
295;Vrouwen;Niet bekend met regeling;2005;3.0;;3.0;;
296;Vrouwen;Niet bekend met regeling;2007;7.0;;7.0;;
297;Vrouwen;Niet bekend met regeling;2009;6.0;;6.0;;
298;Vrouwen;Niet bekend met regeling;2011;4.0;;4.0;;
299;Vrouwen;Niet bekend met regeling;2013;4.0;;4.0;;
300;Vrouwen;Partner gestopt met werk of werkt niet;2005;;;;;
301;Vrouwen;Partner gestopt met werk of werkt niet;2007;;;;;
302;Vrouwen;Partner gestopt met werk of werkt niet;2009;;;;;
303;Vrouwen;Partner gestopt met werk of werkt niet;2011;;;;;
304;Vrouwen;Partner gestopt met werk of werkt niet;2013;;;;;
305;Vrouwen;Werkt in deeltijd en wil niet nog minder;2005;2.0;;2.0;;
306;Vrouwen;Werkt in deeltijd en wil niet nog minder;2007;2.0;;2.0;;
307;Vrouwen;Werkt in deeltijd en wil niet nog minder;2009;;;;;
308;Vrouwen;Werkt in deeltijd en wil niet nog minder;2011;;;;;
309;Vrouwen;Werkt in deeltijd en wil niet nog minder;2013;;;;;
310;Vrouwen;Andere reden geen ouderschapsverlof;2005;15.0;;15.0;;
311;Vrouwen;Andere reden geen ouderschapsverlof;2007;15.0;;15.0;;
312;Vrouwen;Andere reden geen ouderschapsverlof;2009;16.0;;16.0;;
313;Vrouwen;Andere reden geen ouderschapsverlof;2011;15.0;;15.0;;
314;Vrouwen;Andere reden geen ouderschapsverlof;2013;8.0;;8.0;;
