ID;Periods;ConsumerConfidence_1;EconomicClimate_2;WillingnessToBuy_3;EconomicSituationLast12Months_4;EconomicSituationNext12Months_5;FinancialSituationLast12Months_6;FinancialSituationNext12Months_7;RightTimeToMakeLargePurchases_8;Total_9;GotALotBetter_10;GotALittleBetter_11;StayedTheSame_12;GotALittleWorse_13;GotALotWorse_14;DoNotKnow_15;Total_16;GotALotBetter_17;GotALittleBetter_18;StayedTheSame_19;GotALittleWorse_20;GotALotWorse_21;DoNotKnow_22;Total_23;GotALotBetter_24;GotALittleBetter_25;StayedTheSame_26;GotALittleWorse_27;GotALotWorse_28;DoNotKnow_29;Total_30;GotALotBetter_31;GotALittleBetter_32;StayedTheSame_33;GotALittleWorse_34;GotALotWorse_35;DoNotKnow_36;Total_37;YesItIsTheRightMomentNow_38;ItIsNeitherTheRightMomentNorTheW_39;NoItIsNotTheRightMomentNow_40;DoNotKnow_41;Total_42;RisenALot_43;RisenModerately_44;RisenSlightly_45;StayedAboutTheSame_46;Fallen_47;DonTKnow_48;Total_49;IncreaseMoreRapidly_50;IncreaseAtTheSameRate_51;IncreaseAtASlowerRate_52;StayAboutTheSame_53;Fall_54;DoNotKnow_55;Total_56;IncreaseSharply_57;IncreaseSlightly_58;RemainTheSame_59;FallSlightly_60;FallSharply_61;DoNotKnow_62;Total_63;RunningIntoDebt_64;HavingToDrawOnOurSavings_65;JustManagingToMakeEndsMeet_66;SavingALittle_67;SavingALot_68;DoNotKnow_69;Total_70;VeryLikely_71;FairlyLikely_72;NotLikely_73;NotAtAllLikely_74;DoNotKnow_75;Total_76;AVeryGoodMomentToSave_77;AFairlyGoodMomentToSave_78;NotAGoodMomentToSave_79;AVeryBadMomentToSave_80;DoNotKnow_81;Total_82;MuchMore_83;ALittleMore_84;AboutTheSame_85;ALittleLess_86;MuchLess_87;DoNotKnow_88;Total_89;VeryLikely_90;FairlyLikely_91;NotLikely_92;NotAtAllLikely_93;DoNotKnow_94;Total_95;YesDefinitely_96;Possibly_97;ProbablyNot_98;NoCertainlyNot_99;DoNotKnow_100;Total_101;VeryLikely_102;FairlyLikely_103;NotLikely_104;NotAtAllLikely_105;DoNotKnow_106;Total_107;FoodBeveragesTobacco_108;ClothingAndFootwear_109;CarAndTransportation_110;VacationCityTrips_111;CateringEntertainmentMembershipsCu_112;HousingEnergyInternetTelephone_113;EconomiseOnNothingParticularWillNo_114;DoNotKnow_115
10;2017 September;22;43;8;49;38;-2;6;18;100;13;47;25;8;4;4;100;8;43;31;9;4;6;100;4;20;48;20;6;1;100;4;20;54;16;2;3;100;30;53;11;6;100;18;41;18;18;0;5;100;28;41;6;19;1;6;100;4;11;23;49;8;5;100;4;11;26;44;9;6;100;18;38;26;12;6;100;4;31;43;14;9;100;2;15;48;10;18;6;100;8;19;34;36;3;100;3;7;17;72;1;100;9;18;24;48;1;100;8;7;4;22;5;6;42;6
11;2017 3rd quarter;25;47;11;52;43;3;10;19;100;12;50;24;7;3;4;100;7;45;32;8;3;5;100;5;22;48;18;6;1;100;3;22;55;14;2;3;100;31;52;11;6;100;14;40;18;23;0;5;100;25;38;6;23;1;7;100;4;12;23;49;8;4;100;3;11;25;46;10;5;100;19;40;25;11;5;100;3;32;42;15;7;100;3;13;49;13;16;5;100;8;20;35;35;3;100;3;7;18;70;2;100;9;17;25;47;2;100;8;7;5;22;6;6;41;5
12;2017 October;22;42;9;45;39;0;9;18;100;11;48;25;10;4;3;100;6;46;31;9;3;5;100;5;20;50;19;5;0;100;4;23;54;16;1;3;100;30;53;12;6;100;14;39;18;25;0;3;100;38;35;3;17;3;4;100;2;10;24;53;8;3;100;3;10;28;43;12;3;100;19;38;27;11;5;100;3;34;41;16;6;100;4;13;50;13;16;5;100;9;19;37;33;3;100;5;7;16;71;2;100;10;17;22;49;2;100;7;6;4;24;5;7;40;6
13;2017 November;20;37;8;41;32;-2;9;18;100;10;45;29;11;2;4;100;5;42;32;13;3;5;100;4;20;48;21;5;1;100;3;23;53;15;2;4;100;29;53;12;6;100;15;39;23;19;0;5;100;45;33;4;11;1;5;100;2;12;25;50;8;3;100;4;11;26;46;8;5;100;17;40;27;11;5;100;3;32;43;16;6;100;3;12;48;15;16;6;100;7;18;35;35;4;100;3;7;16;71;3;100;10;18;23;47;2;100;9;8;4;22;7;6;40;4
14;2017 December;23;43;10;50;35;0;8;22;100;14;48;24;8;3;4;100;8;41;32;10;4;6;100;5;20;48;20;6;1;100;4;24;51;17;3;2;100;33;51;11;6;100;16;44;19;17;0;4;100;34;39;5;16;1;5;100;2;9;23;50;11;4;100;4;11;28;44;9;5;100;19;38;26;12;5;100;2;32;42;17;8;100;4;12;48;13;17;5;100;8;18;37;34;3;100;3;7;16;71;3;100;10;16;23;51;2;100;7;9;4;21;6;6;44;4
15;2017 4th quarter;22;41;9;46;36;-1;9;19;100;11;47;26;9;3;4;100;6;43;32;11;3;5;100;5;20;49;20;5;1;100;3;23;53;16;2;3;100;30;52;11;6;100;15;41;20;20;0;4;100;39;36;4;15;2;5;100;2;10;24;51;9;4;100;4;10;27;45;10;4;100;18;39;27;11;5;100;3;33;42;16;7;100;4;12;49;14;16;5;100;8;18;36;34;3;100;4;7;16;71;3;100;10;17;22;49;2;100;8;8;4;22;6;6;41;5
16;2017;24;45;10;48;41;1;10;18;100;11;49;25;9;3;4;100;7;45;32;9;2;5;100;5;21;48;19;6;1;100;4;23;55;14;2;3;100;30;53;11;6;100;13;39;20;23;0;4;100;26;38;7;22;2;6;100;3;12;23;50;7;4;100;4;10;26;45;9;5;100;19;40;26;11;5;100;3;33;41;16;7;100;4;13;48;14;16;6;100;8;19;36;35;3;100;3;7;16;71;2;100;10;17;24;48;2;100;8;7;5;23;6;6;41;5
17;2018 January;27;48;13;49;46;3;12;23;100;13;48;24;8;3;4;100;8;46;34;6;2;4;100;4;23;46;19;5;2;100;4;24;54;14;2;3;100;32;52;9;6;100;14;44;18;19;0;4;100;35;39;3;18;1;4;100;2;9;20;54;10;4;100;3;10;25;47;9;6;100;20;40;23;11;6;100;2;32;42;15;9;100;3;13;49;14;14;6;100;10;19;34;33;4;100;4;7;19;67;3;100;11;19;21;48;2;100;9;7;4;20;4;6;43;5
18;2018 February;23;43;9;46;40;-1;7;22;100;11;47;28;8;3;4;100;7;43;35;8;2;4;100;4;22;45;22;6;1;100;3;22;54;16;2;3;100;32;52;11;5;100;15;45;18;18;0;3;100;27;38;6;20;1;7;100;2;9;23;52;10;5;100;3;10;27;46;9;5;100;19;38;27;11;5;100;3;33;42;17;6;100;3;12;50;14;16;5;100;6;17;38;35;4;100;4;8;17;70;2;100;9;18;24;48;2;100;8;7;3;24;5;6;42;5
19;2018 March;24;45;10;48;41;-2;13;20;100;12;46;26;8;3;4;100;7;44;34;9;1;5;100;3;20;48;19;7;2;100;4;22;55;12;2;4;100;31;53;10;6;100;16;46;17;16;0;5;100;21;43;6;21;2;6;100;1;10;22;52;11;4;100;3;9;26;48;9;5;100;17;42;25;10;6;100;4;37;36;14;9;100;3;12;51;12;15;6;100;7;19;36;35;3;100;4;6;18;70;2;100;9;19;23;47;2;100;8;8;4;21;5;5;42;6
20;2018 1st quarter;24;45;11;48;42;0;11;22;100;12;47;26;8;3;4;100;7;44;34;8;2;4;100;4;22;47;20;6;1;100;4;23;54;14;2;3;100;32;52;10;6;100;15;45;18;18;0;4;100;28;40;5;20;1;6;100;2;9;22;52;10;4;100;3;10;26;47;9;5;100;19;40;25;11;5;100;3;34;40;15;8;100;3;13;50;13;15;6;100;8;18;36;34;4;100;4;7;18;69;2;100;10;18;22;47;2;100;8;7;4;22;5;6;42;6
21;2018 April;26;47;12;54;41;1;12;23;100;14;50;24;8;2;3;100;8;43;36;8;2;4;100;4;22;49;19;5;1;100;3;23;57;12;2;2;100;32;54;9;5;100;18;44;16;17;0;4;100;25;42;6;18;2;7;100;3;8;22;55;8;4;100;4;8;27;50;8;4;100;17;43;24;11;5;100;3;39;39;13;6;100;3;13;52;14;14;5;100;9;19;36;34;3;100;4;6;18;71;1;100;12;18;20;49;1;100;8;8;4;23;5;5;42;5
22;2018 May;22;42;8;50;33;-2;9;17;100;14;46;24;7;3;5;100;6;40;37;10;2;5;100;4;21;45;23;5;2;100;3;21;57;14;1;4;100;28;55;10;6;100;21;43;17;15;0;4;100;22;42;7;20;1;7;100;2;11;26;49;9;4;100;3;11;27;43;10;6;100;20;37;24;12;6;100;4;40;39;10;8;100;3;11;49;14;15;8;100;8;17;36;35;5;100;4;7;18;70;2;100;10;18;23;47;2;100;8;8;4;23;5;6;39;6
23;2018 June;24;44;10;51;36;1;10;20;100;15;48;22;9;3;3;100;6;41;36;10;2;4;100;5;21;48;19;6;1;100;5;20;58;12;3;3;100;30;55;11;5;100;25;41;18;11;0;5;100;24;44;8;16;2;7;100;2;10;24;51;9;4;100;3;8;26;49;8;6;100;18;43;25;10;5;100;4;40;36;12;8;100;3;12;50;13;15;6;100;6;19;36;35;4;100;4;6;18;70;2;100;9;20;23;46;2;100;9;6;4;22;7;5;43;5
24;2018 2nd quarter;24;44;10;52;37;0;10;20;100;14;48;23;8;3;4;100;7;41;36;9;2;5;100;4;21;47;20;5;1;100;3;22;57;13;2;3;100;30;55;10;5;100;21;43;17;14;0;4;100;24;43;7;18;2;7;100;2;9;24;52;9;4;100;3;9;27;47;8;5;100;18;41;24;11;5;100;4;40;38;11;7;100;3;12;50;14;15;6;100;8;18;36;35;4;100;4;6;18;70;2;100;10;19;22;48;2;100;8;7;4;23;6;6;41;5
25;2018 July;24;44;11;53;36;3;10;19;100;13;48;25;7;2;4;100;7;40;37;10;1;5;100;6;21;49;19;5;1;100;4;20;59;12;2;4;100;29;55;10;6;100;20;47;15;13;0;4;100;24;43;8;17;2;6;100;1;11;25;49;9;3;100;2;10;27;46;10;5;100;20;40;24;11;6;100;4;42;36;12;7;100;3;13;50;15;12;6;100;8;20;35;34;3;100;5;7;20;67;2;100;10;20;21;48;2;100;8;7;4;23;6;6;40;5
26;2018 August;23;42;11;51;32;3;11;19;100;16;47;22;10;3;3;100;6;40;37;11;2;5;100;4;24;45;20;5;1;100;4;24;54;13;3;3;100;31;53;12;5;100;24;45;15;12;0;4;100;34;40;5;13;2;5;100;2;10;25;49;10;4;100;3;10;25;48;9;5;100;17;45;22;11;5;100;4;38;35;14;8;100;3;10;50;15;16;6;100;8;19;35;34;4;100;3;6;17;71;3;100;9;20;22;47;2;100;7;7;4;24;7;5;41;5
27;2018 September;19;36;7;42;29;-1;5;18;100;12;43;26;10;3;5;100;5;38;38;11;3;5;100;5;21;48;21;5;1;100;3;20;55;16;2;4;100;28;56;10;7;100;23;44;16;13;0;4;100;35;41;5;13;1;5;100;1;10;28;47;9;5;100;3;10;27;47;8;6;100;16;41;26;11;6;100;5;38;36;14;7;100;3;12;48;14;17;6;100;8;17;35;36;4;100;4;6;17;70;2;100;9;16;25;47;2;100;7;6;4;23;7;5;45;4
28;2018 3rd quarter;22;41;10;49;32;2;9;19;100;14;46;24;9;3;4;100;6;39;37;10;2;5;100;5;22;47;20;5;1;100;4;21;56;14;2;3;100;29;54;11;6;100;22;45;15;13;0;4;100;31;41;6;15;1;6;100;2;10;26;48;9;4;100;3;10;26;47;9;5;100;18;42;24;11;5;100;4;39;36;13;7;100;3;12;50;15;15;6;100;8;19;35;35;3;100;4;7;18;69;2;100;9;19;23;47;2;100;7;7;4;23;7;5;42;5
29;2018 October;11;24;3;36;12;-4;1;11;100;9;41;30;12;3;5;100;4;31;37;20;4;5;100;4;19;50;22;5;1;100;3;21;51;20;3;2;100;25;55;14;5;100;23;44;17;12;0;4;100;44;36;4;11;0;4;100;2;11;34;43;5;5;100;4;8;27;47;9;5;100;17;40;27;10;6;100;4;40;35;13;8;100;3;12;48;14;17;6;100;8;17;36;37;3;100;3;7;19;70;2;100;10;19;22;47;2;100;8;7;5;22;5;6;43;5
30;2018 November;11;22;4;30;13;-6;3;14;100;10;40;27;14;5;4;100;4;34;35;19;5;3;100;4;20;46;23;7;0;100;3;23;51;19;3;1;100;28;55;13;4;100;22;46;17;13;0;2;100;44;38;4;9;1;4;100;2;11;31;45;6;5;100;4;12;25;46;9;3;100;17;40;24;14;4;100;6;36;39;13;7;100;3;12;47;14;19;5;100;8;17;36;37;2;100;4;6;16;72;2;100;8;19;24;46;2;100;8;7;4;27;5;5;39;4
31;2018 December;5;12;0;25;-2;-7;-2;9;100;8;38;31;16;5;3;100;4;23;40;22;7;5;100;3;20;45;24;6;1;100;4;21;46;23;3;3;100;23;57;14;7;100;23;45;17;13;0;3;100;41;37;5;12;1;4;100;2;16;32;42;3;5;100;3;12;27;44;8;6;100;18;38;26;11;7;100;4;37;38;15;7;100;3;13;44;15;18;6;100;8;17;34;38;4;100;3;6;19;70;2;100;9;18;23;48;2;100;8;8;3;26;4;6;40;5
32;2018 4th quarter;9;19;2;30;8;-6;1;11;100;9;40;29;14;4;4;100;4;29;38;20;5;4;100;4;20;47;23;6;1;100;3;22;50;21;3;2;100;25;55;14;5;100;23;45;17;13;0;3;100;43;37;5;11;1;4;100;2;13;32;44;5;5;100;4;11;26;46;9;5;100;17;40;26;12;6;100;5;37;37;13;7;100;3;12;46;14;18;6;100;8;17;36;37;3;100;3;6;18;70;2;100;9;19;23;47;2;100;8;8;4;25;5;6;40;4
33;2018;20;37;8;45;30;-1;8;18;100;12;45;26;10;3;4;100;6;39;36;12;3;5;100;4;21;47;21;6;1;100;3;22;54;15;2;3;100;29;54;11;6;100;20;45;17;14;0;4;100;31;40;6;16;1;6;100;2;10;26;49;8;4;100;3;10;26;47;9;5;100;18;41;25;11;5;100;4;38;38;13;7;100;3;12;49;14;16;6;100;8;18;36;35;3;100;4;7;18;70;2;100;10;19;22;47;2;100;8;7;4;23;6;6;41;5
34;2019 January;0;2;0;15;-12;-2;-4;5;100;6;35;29;20;6;4;100;2;21;37;27;8;4;100;5;19;47;21;6;1;100;4;19;48;22;4;2;100;23;54;18;6;100;21;43;21;13;1;3;100;61;26;4;6;1;2;100;3;12;40;38;2;4;100;4;10;27;44;10;4;100;17;40;26;13;3;100;5;36;39;13;8;100;4;11;46;15;18;7;100;7;17;35;38;4;100;4;7;17;70;2;100;10;20;21;47;2;100;9;7;5;22;4;6;42;4
35;2019 February;0;3;-2;15;-9;-8;2;1;100;7;34;28;20;6;5;100;2;24;35;28;7;4;100;5;21;40;28;5;1;100;3;21;51;19;4;1;100;19;57;18;6;100;30;46;15;8;0;1;100;31;38;10;18;1;3;100;2;15;37;38;4;3;100;3;11;25;44;11;4;100;18;42;26;11;4;100;5;39;36;12;8;100;3;11;46;19;16;5;100;8;17;35;37;2;100;4;7;17;70;2;100;10;17;22;50;2;100;9;7;4;23;8;5;41;4
36;2019 March;-2;-2;-3;7;-11;-9;-1;1;100;6;31;30;23;6;3;100;3;21;37;27;8;3;100;5;20;40;27;7;1;100;5;19;49;21;3;2;100;20;56;18;6;100;37;42;14;6;0;1;100;22;41;12;21;1;3;100;2;13;38;38;3;6;100;3;13;29;43;8;4;100;17;37;29;10;7;100;4;40;35;14;8;100;3;10;46;17;20;5;100;9;17;35;36;4;100;4;6;16;72;2;100;10;18;23;47;1;100;8;7;4;25;7;4;40;4
37;2019 1st quarter;-1;1;-2;13;-11;-6;-1;2;100;6;34;29;21;6;4;100;3;22;36;27;8;4;100;5;20;42;25;6;1;100;4;20;50;21;4;2;100;20;56;18;6;100;29;43;17;9;0;2;100;38;35;8;15;1;3;100;2;14;38;38;3;4;100;3;12;27;44;10;4;100;17;40;27;11;5;100;5;38;36;13;8;100;3;11;46;17;18;5;100;8;17;35;37;3;100;4;7;17;71;2;100;10;18;22;48;2;100;8;7;4;23;7;5;41;4
38;2019 April;0;0;-1;8;-7;-8;1;5;100;5;31;33;21;7;3;100;2;22;41;27;5;3;100;5;20;42;26;6;1;100;3;20;54;18;3;2;100;21;57;17;5;100;37;42;13;5;0;3;100;19;40;16;19;1;4;100;3;16;38;37;4;4;100;3;11;28;45;11;3;100;18;41;25;12;5;100;5;40;34;14;7;100;4;11;47;15;18;6;100;7;17;34;39;3;100;4;7;16;72;2;100;10;18;23;48;1;100;8;6;5;22;5;6;43;5
39;2019 May;-1;2;-3;9;-5;-12;0;3;100;5;33;29;23;6;4;100;3;19;44;23;5;6;100;4;19;41;26;8;1;100;4;19;52;20;4;2;100;20;57;17;5;100;40;43;11;5;0;2;100;19;42;13;19;2;4;100;2;13;36;42;2;5;100;3;13;28;44;8;3;100;16;41;26;12;4;100;4;39;37;13;7;100;4;13;41;19;19;5;100;8;16;34;38;3;100;3;6;16;73;2;100;9;17;21;51;2;100;9;8;5;23;6;6;40;5
40;2019 June;2;5;1;13;-3;-6;3;5;100;6;31;33;20;4;5;100;3;22;40;23;6;6;100;6;20;41;25;7;2;100;3;20;54;18;2;3;100;21;58;15;6;100;36;42;13;7;0;2;100;18;44;13;18;1;6;100;2;12;38;40;3;5;100;3;10;27;44;11;5;100;19;40;25;10;5;100;5;41;34;13;7;100;3;12;46;16;16;6;100;6;15;36;39;4;100;3;6;18;70;3;100;11;14;22;50;3;100;7;7;5;22;5;6;42;6
41;2019 2nd quarter;0;2;-1;10;-5;-9;1;4;100;6;31;32;22;6;4;100;3;21;42;24;5;5;100;5;20;41;26;7;1;100;3;20;53;19;3;2;100;21;58;16;6;100;38;42;12;6;0;2;100;19;42;14;19;1;5;100;2;14;37;39;3;5;100;3;11;27;44;10;4;100;17;41;26;12;5;100;5;40;35;13;7;100;4;12;45;16;18;6;100;7;16;35;38;4;100;4;6;16;72;2;100;10;16;22;50;2;100;8;7;5;22;6;6;41;5
42;2019 July;3;7;1;13;1;-5;1;6;100;6;31;35;19;6;4;100;3;24;43;22;4;4;100;4;22;41;25;7;2;100;4;19;53;19;3;2;100;22;57;16;5;100;40;39;12;7;0;3;100;22;42;12;17;1;5;100;3;14;39;36;4;5;100;4;9;25;46;11;5;100;18;41;25;12;4;100;5;37;37;14;7;100;3;11;48;16;16;7;100;7;18;36;37;3;100;4;6;19;70;2;100;9;17;23;49;2;100;7;6;4;23;6;5;43;6
43;2019 August;0;-2;2;10;-14;-3;0;9;100;5;30;35;21;4;5;100;3;19;38;29;6;5;100;4;22;44;24;5;1;100;3;19;54;19;2;3;100;24;53;15;7;100;37;40;13;7;0;3;100;22;43;12;17;2;4;100;3;19;37;31;2;7;100;2;13;24;46;9;6;100;19;40;25;11;6;100;6;36;36;14;8;100;2;12;48;16;15;7;100;10;18;29;39;3;100;3;6;16;74;2;100;10;17;21;50;2;100;8;7;3;21;7;5;44;5
44;2019 September;-2;-1;-2;11;-14;-10;0;4;100;5;32;32;20;6;5;100;3;18;39;28;8;6;100;4;18;43;26;6;2;100;3;20;52;19;3;3;100;21;57;17;5;100;37;39;14;7;0;3;100;19;47;13;14;1;5;100;2;19;39;32;2;6;100;5;9;28;46;9;4;100;18;39;26;11;6;100;5;28;39;21;6;100;3;10;47;18;15;7;100;7;17;34;38;4;100;4;6;18;70;2;100;8;19;22;48;2;100;10;6;3;23;6;5;42;6
45;2019 3rd quarter;1;1;0;11;-9;-6;1;6;100;5;31;34;20;5;4;100;3;20;40;26;6;5;100;4;21;43;25;6;2;100;3;19;53;19;3;3;100;22;56;16;6;100;38;39;13;7;0;3;100;21;44;13;16;1;5;100;3;17;38;33;3;6;100;4;10;25;46;10;5;100;18;40;25;11;5;100;5;34;38;16;7;100;3;11;48;17;15;7;100;8;18;33;38;4;100;4;6;17;71;2;100;9;18;22;49;2;100;8;6;3;22;7;5;43;6
46;2019 October;-2;-6;1;5;-18;-6;1;7;100;4;28;37;22;4;5;100;3;17;36;32;6;6;100;4;20;46;25;5;1;100;4;20;51;19;3;4;100;21;59;15;5;100;32;43;14;8;0;3;100;27;43;9;13;1;6;100;3;22;38;28;2;6;100;3;11;25;46;9;6;100;17;40;25;13;5;100;4;27;42;20;8;100;3;13;46;14;18;6;100;7;18;34;38;3;100;3;6;17;72;2;100;10;19;23;46;2;100;6;8;5;23;6;5;41;6
47;2019 November;-5;-10;-1;3;-22;-6;0;2;100;4;27;36;21;8;5;100;2;16;35;32;9;5;100;4;21;41;26;6;2;100;4;17;55;17;3;4;100;20;56;18;7;100;30;40;16;9;1;4;100;25;46;7;15;1;6;100;8;28;33;23;2;6;100;4;10;25;47;9;5;100;16;37;28;13;6;100;4;30;38;21;7;100;4;14;44;16;15;7;100;7;17;36;36;4;100;4;7;15;71;3;100;9;20;20;47;4;100;8;7;4;22;5;4;44;6
