ID;Bedrijfsomvang;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
72;Totaal 1 of meer werkzame personen;350400;2006 3e kwartaal;90.2;5.1
73;Totaal 1 of meer werkzame personen;350400;2006 4e kwartaal;124.7;9.1
74;Totaal 1 of meer werkzame personen;350400;2006;101.8;8.3
75;Totaal 1 of meer werkzame personen;350400;2007 1e kwartaal;94.5;13.3
76;Totaal 1 of meer werkzame personen;350400;2007 2e kwartaal;119.3;9.4
77;Totaal 1 of meer werkzame personen;350400;2007 3e kwartaal;100.2;11.2
78;Totaal 1 of meer werkzame personen;350400;2007 4e kwartaal;135.0;8.3
79;Totaal 1 of meer werkzame personen;350400;2007;112.3;10.3
80;Totaal 1 of meer werkzame personen;350400;2008 1e kwartaal;108.2;14.4
81;Totaal 1 of meer werkzame personen;350400;2008 2e kwartaal;132.5;11.1
82;Totaal 1 of meer werkzame personen;350400;2008 3e kwartaal;111.3;11.0
83;Totaal 1 of meer werkzame personen;350400;2008 4e kwartaal;143.7;6.4
84;Totaal 1 of meer werkzame personen;350400;2008;123.9;10.4
85;Totaal 1 of meer werkzame personen;350400;2009 1e kwartaal;106.6;-1.4
86;Totaal 1 of meer werkzame personen;350400;2009 2e kwartaal;124.5;-6.1
87;Totaal 1 of meer werkzame personen;350400;2009 3e kwartaal;102.4;-8.0
88;Totaal 1 of meer werkzame personen;350400;2009 4e kwartaal;121.3;-15.6
89;Totaal 1 of meer werkzame personen;350400;2009;113.7;-8.2
90;Totaal 1 of meer werkzame personen;350400;2010 1e kwartaal;84.0;-21.2
91;Totaal 1 of meer werkzame personen;350400;2010 2e kwartaal;110.2;-11.4
92;Totaal 1 of meer werkzame personen;350400;2010 3e kwartaal;92.2;-9.9
93;Totaal 1 of meer werkzame personen;350400;2010 4e kwartaal;113.5;-6.4
94;Totaal 1 of meer werkzame personen;350400;2010;100.0;-12.1
95;Totaal 1 of meer werkzame personen;350400;2011 1e kwartaal;92.1;9.7
96;Totaal 1 of meer werkzame personen;350400;2011 2e kwartaal;110.9;0.6
97;Totaal 1 of meer werkzame personen;350400;2011 3e kwartaal;95.5;3.6
98;Totaal 1 of meer werkzame personen;350400;2011 4e kwartaal;113.3;-0.2
99;Totaal 1 of meer werkzame personen;350400;2011;103.0;3.0
100;Totaal 1 of meer werkzame personen;350400;2012 1e kwartaal;81.1;-11.9
101;Totaal 1 of meer werkzame personen;350400;2012 2e kwartaal;100.3;-9.6
102;Totaal 1 of meer werkzame personen;350400;2012 3e kwartaal;90.3;-5.4
103;Totaal 1 of meer werkzame personen;350400;2012 4e kwartaal;98.4;-13.1
104;Totaal 1 of meer werkzame personen;350400;2012;92.5;-10.1
105;Totaal 1 of meer werkzame personen;350400;2013 1e kwartaal;70.9;-12.6
106;Totaal 1 of meer werkzame personen;350400;2013 2e kwartaal;90.0;-10.2
107;Totaal 1 of meer werkzame personen;350400;2013 3e kwartaal;80.6;-10.8
108;Totaal 1 of meer werkzame personen;350400;2013 4e kwartaal;100.2;1.8
109;Totaal 1 of meer werkzame personen;350400;2013;85.4;-7.7
110;Totaal 1 of meer werkzame personen;350400;2014 1e kwartaal;71.6;1.0
111;Totaal 1 of meer werkzame personen;350400;2014 2e kwartaal;86.3;-4.1
112;Totaal 1 of meer werkzame personen;350400;2014 3e kwartaal;77.0;-4.5
113;Totaal 1 of meer werkzame personen;350400;2014 4e kwartaal;103.4;3.2
114;Totaal 1 of meer werkzame personen;350400;2014;84.6;-1.0
115;Totaal 1 of meer werkzame personen;350400;2015 1e kwartaal;78.5;9.5
116;Totaal 1 of meer werkzame personen;350400;2015 2e kwartaal;100.0;15.8
117;Totaal 1 of meer werkzame personen;350400;2015 3e kwartaal;83.9;8.9
118;Totaal 1 of meer werkzame personen;350400;2015 4e kwartaal;109.4;5.7
119;Totaal 1 of meer werkzame personen;350400;2015;92.9;9.8
120;Totaal 1 of meer werkzame personen;350400;2016 1e kwartaal;84.8;8.1
121;Totaal 1 of meer werkzame personen;350400;2016 2e kwartaal;103.4;3.4
122;Totaal 1 of meer werkzame personen;350400;2016 3e kwartaal;94.6;12.8
123;Totaal 1 of meer werkzame personen;350400;2016 4e kwartaal;123.1;12.5
124;Totaal 1 of meer werkzame personen;350400;2016;101.4;9.2
125;Totaal 1 of meer werkzame personen;350400;2017 1e kwartaal;92.9;9.6
126;Totaal 1 of meer werkzame personen;350400;2017 2e kwartaal;114.7;10.9
127;Totaal 1 of meer werkzame personen;350400;2017 3e kwartaal;102.4;8.3
128;Totaal 1 of meer werkzame personen;350400;2017 4e kwartaal;135.6;10.2
129;Totaal 1 of meer werkzame personen;350400;2017;111.4;9.8
130;Totaal 1 of meer werkzame personen;350600;2005 1e kwartaal;57.4;3.0
131;Totaal 1 of meer werkzame personen;350600;2005 2e kwartaal;85.9;10.6
132;Totaal 1 of meer werkzame personen;350600;2005 3e kwartaal;82.4;14.4
133;Totaal 1 of meer werkzame personen;350600;2005 4e kwartaal;112.8;3.9
134;Totaal 1 of meer werkzame personen;350600;2005;84.6;7.8
135;Totaal 1 of meer werkzame personen;350600;2006 1e kwartaal;61.6;7.3
136;Totaal 1 of meer werkzame personen;350600;2006 2e kwartaal;93.6;8.9
137;Totaal 1 of meer werkzame personen;350600;2006 3e kwartaal;92.0;11.7
138;Totaal 1 of meer werkzame personen;350600;2006 4e kwartaal;127.4;13.0
139;Totaal 1 of meer werkzame personen;350600;2006;93.7;10.7
140;Totaal 1 of meer werkzame personen;350600;2007 1e kwartaal;71.6;16.2
141;Totaal 1 of meer werkzame personen;350600;2007 2e kwartaal;98.8;5.7
142;Totaal 1 of meer werkzame personen;350600;2007 3e kwartaal;93.2;1.3
143;Totaal 1 of meer werkzame personen;350600;2007 4e kwartaal;130.7;2.5
144;Totaal 1 of meer werkzame personen;350600;2007;98.6;5.3
145;Totaal 1 of meer werkzame personen;350600;2008 1e kwartaal;76.6;7.0
146;Totaal 1 of meer werkzame personen;350600;2008 2e kwartaal;108.1;9.3
147;Totaal 1 of meer werkzame personen;350600;2008 3e kwartaal;100.0;7.3
148;Totaal 1 of meer werkzame personen;350600;2008 4e kwartaal;130.5;-0.1
149;Totaal 1 of meer werkzame personen;350600;2008;103.8;5.3
150;Totaal 1 of meer werkzame personen;350600;2009 1e kwartaal;81.4;6.2
151;Totaal 1 of meer werkzame personen;350600;2009 2e kwartaal;109.2;1.0
152;Totaal 1 of meer werkzame personen;350600;2009 3e kwartaal;105.8;5.8
153;Totaal 1 of meer werkzame personen;350600;2009 4e kwartaal;132.6;1.6
154;Totaal 1 of meer werkzame personen;350600;2009;107.2;3.3
155;Totaal 1 of meer werkzame personen;350600;2010 1e kwartaal;68.9;-15.4
156;Totaal 1 of meer werkzame personen;350600;2010 2e kwartaal;105.4;-3.5
157;Totaal 1 of meer werkzame personen;350600;2010 3e kwartaal;97.6;-7.8
158;Totaal 1 of meer werkzame personen;350600;2010 4e kwartaal;128.1;-3.4
159;Totaal 1 of meer werkzame personen;350600;2010;100.0;-6.8
160;Totaal 1 of meer werkzame personen;350600;2011 1e kwartaal;77.2;12.2
161;Totaal 1 of meer werkzame personen;350600;2011 2e kwartaal;108.5;3.0
162;Totaal 1 of meer werkzame personen;350600;2011 3e kwartaal;101.8;4.3
163;Totaal 1 of meer werkzame personen;350600;2011 4e kwartaal;137.3;7.1
164;Totaal 1 of meer werkzame personen;350600;2011;106.2;6.2
165;Totaal 1 of meer werkzame personen;350600;2012 1e kwartaal;76.4;-1.1
166;Totaal 1 of meer werkzame personen;350600;2012 2e kwartaal;112.8;3.9
167;Totaal 1 of meer werkzame personen;350600;2012 3e kwartaal;103.8;2.0
168;Totaal 1 of meer werkzame personen;350600;2012 4e kwartaal;138.6;1.0
169;Totaal 1 of meer werkzame personen;350600;2012;107.9;1.6
170;Totaal 1 of meer werkzame personen;350600;2013 1e kwartaal;75.3;-1.4
171;Totaal 1 of meer werkzame personen;350600;2013 2e kwartaal;110.0;-2.5
172;Totaal 1 of meer werkzame personen;350600;2013 3e kwartaal;104.9;1.0
173;Totaal 1 of meer werkzame personen;350600;2013 4e kwartaal;131.7;-5.0
174;Totaal 1 of meer werkzame personen;350600;2013;105.5;-2.3
175;Totaal 1 of meer werkzame personen;350600;2014 1e kwartaal;78.6;4.3
176;Totaal 1 of meer werkzame personen;350600;2014 2e kwartaal;109.1;-0.8
177;Totaal 1 of meer werkzame personen;350600;2014 3e kwartaal;104.9;0.1
178;Totaal 1 of meer werkzame personen;350600;2014 4e kwartaal;146.9;11.6
179;Totaal 1 of meer werkzame personen;350600;2014;109.9;4.2
180;Totaal 1 of meer werkzame personen;350600;2015 1e kwartaal;78.3;-0.3
181;Totaal 1 of meer werkzame personen;350600;2015 2e kwartaal;107.1;-1.8
182;Totaal 1 of meer werkzame personen;350600;2015 3e kwartaal;113.8;8.5
183;Totaal 1 of meer werkzame personen;350600;2015 4e kwartaal;139.5;-5.1
184;Totaal 1 of meer werkzame personen;350600;2015;109.7;-0.2
185;Totaal 1 of meer werkzame personen;350600;2016 1e kwartaal;78.8;0.7
186;Totaal 1 of meer werkzame personen;350600;2016 2e kwartaal;107.1;-0.1
187;Totaal 1 of meer werkzame personen;350600;2016 3e kwartaal;108.9;-4.3
188;Totaal 1 of meer werkzame personen;350600;2016 4e kwartaal;139.3;-0.1
189;Totaal 1 of meer werkzame personen;350600;2016;108.5;-1.0
190;Totaal 1 of meer werkzame personen;350600;2017 1e kwartaal;82.5;4.6
191;Totaal 1 of meer werkzame personen;350600;2017 2e kwartaal;111.9;4.5
192;Totaal 1 of meer werkzame personen;350600;2017 3e kwartaal;112.8;3.6
193;Totaal 1 of meer werkzame personen;350600;2017 4e kwartaal;144.7;3.9
194;Totaal 1 of meer werkzame personen;350600;2017;113.0;4.1
195;Totaal 1 of meer werkzame personen;351900;2005 1e kwartaal;69.6;-1.4
196;Totaal 1 of meer werkzame personen;351900;2005 2e kwartaal;88.7;9.1
197;Totaal 1 of meer werkzame personen;351900;2005 3e kwartaal;80.6;8.7
198;Totaal 1 of meer werkzame personen;351900;2005 4e kwartaal;101.3;7.1
199;Totaal 1 of meer werkzame personen;351900;2005;85.0;6.1
200;Totaal 1 of meer werkzame personen;351900;2006 1e kwartaal;76.9;10.5
201;Totaal 1 of meer werkzame personen;351900;2006 2e kwartaal;93.4;5.3
202;Totaal 1 of meer werkzame personen;351900;2006 3e kwartaal;85.4;6.0
203;Totaal 1 of meer werkzame personen;351900;2006 4e kwartaal;110.0;8.6
204;Totaal 1 of meer werkzame personen;351900;2006;91.4;7.5
205;Totaal 1 of meer werkzame personen;351900;2007 1e kwartaal;87.6;14.0
206;Totaal 1 of meer werkzame personen;351900;2007 2e kwartaal;103.8;11.1
207;Totaal 1 of meer werkzame personen;351900;2007 3e kwartaal;94.3;10.4
208;Totaal 1 of meer werkzame personen;351900;2007 4e kwartaal;119.9;9.0
209;Totaal 1 of meer werkzame personen;351900;2007;101.4;10.9
210;Totaal 1 of meer werkzame personen;351900;2008 1e kwartaal;97.5;11.3
211;Totaal 1 of meer werkzame personen;351900;2008 2e kwartaal;117.6;13.3
212;Totaal 1 of meer werkzame personen;351900;2008 3e kwartaal;105.8;12.2
213;Totaal 1 of meer werkzame personen;351900;2008 4e kwartaal;127.7;6.5
214;Totaal 1 of meer werkzame personen;351900;2008;112.2;10.6
215;Totaal 1 of meer werkzame personen;351900;2009 1e kwartaal;99.6;2.2
216;Totaal 1 of meer werkzame personen;351900;2009 2e kwartaal;112.9;-4.0
217;Totaal 1 of meer werkzame personen;351900;2009 3e kwartaal;99.6;-5.8
218;Totaal 1 of meer werkzame personen;351900;2009 4e kwartaal;116.9;-8.5
219;Totaal 1 of meer werkzame personen;351900;2009;107.3;-4.3
220;Totaal 1 of meer werkzame personen;351900;2010 1e kwartaal;85.7;-14.0
221;Totaal 1 of meer werkzame personen;351900;2010 2e kwartaal;105.2;-6.9
222;Totaal 1 of meer werkzame personen;351900;2010 3e kwartaal;95.8;-3.9
223;Totaal 1 of meer werkzame personen;351900;2010 4e kwartaal;113.4;-3.0
224;Totaal 1 of meer werkzame personen;351900;2010;100.0;-6.8
225;Totaal 1 of meer werkzame personen;351900;2011 1e kwartaal;92.3;7.8
226;Totaal 1 of meer werkzame personen;351900;2011 2e kwartaal;110.2;4.8
227;Totaal 1 of meer werkzame personen;351900;2011 3e kwartaal;99.0;3.3
228;Totaal 1 of meer werkzame personen;351900;2011 4e kwartaal;116.6;2.8
229;Totaal 1 of meer werkzame personen;351900;2011;104.5;4.5
230;Totaal 1 of meer werkzame personen;351900;2012 1e kwartaal;85.3;-7.6
231;Totaal 1 of meer werkzame personen;351900;2012 2e kwartaal;100.6;-8.7
232;Totaal 1 of meer werkzame personen;351900;2012 3e kwartaal;93.0;-6.1
233;Totaal 1 of meer werkzame personen;351900;2012 4e kwartaal;106.0;-9.1
234;Totaal 1 of meer werkzame personen;351900;2012;96.2;-7.9
235;Totaal 1 of meer werkzame personen;351900;2013 1e kwartaal;77.6;-9.1
236;Totaal 1 of meer werkzame personen;351900;2013 2e kwartaal;95.9;-4.7
237;Totaal 1 of meer werkzame personen;351900;2013 3e kwartaal;91.0;-2.1
238;Totaal 1 of meer werkzame personen;351900;2013 4e kwartaal;109.8;3.5
239;Totaal 1 of meer werkzame personen;351900;2013;93.5;-2.8
240;Totaal 1 of meer werkzame personen;351900;2014 1e kwartaal;83.6;7.7
241;Totaal 1 of meer werkzame personen;351900;2014 2e kwartaal;95.4;-0.5
242;Totaal 1 of meer werkzame personen;351900;2014 3e kwartaal;90.5;-0.5
243;Totaal 1 of meer werkzame personen;351900;2014 4e kwartaal;113.2;3.1
244;Totaal 1 of meer werkzame personen;351900;2014;95.7;2.3
245;Totaal 1 of meer werkzame personen;351900;2015 1e kwartaal;87.1;4.3
246;Totaal 1 of meer werkzame personen;351900;2015 2e kwartaal;105.2;10.2
247;Totaal 1 of meer werkzame personen;351900;2015 3e kwartaal;94.5;4.3
248;Totaal 1 of meer werkzame personen;351900;2015 4e kwartaal;115.2;1.8
249;Totaal 1 of meer werkzame personen;351900;2015;100.5;5.0
250;Totaal 1 of meer werkzame personen;351900;2016 1e kwartaal;93.0;6.8
251;Totaal 1 of meer werkzame personen;351900;2016 2e kwartaal;110.4;4.9
252;Totaal 1 of meer werkzame personen;351900;2016 3e kwartaal;105.4;11.6
253;Totaal 1 of meer werkzame personen;351900;2016 4e kwartaal;124.9;8.4
254;Totaal 1 of meer werkzame personen;351900;2016;108.4;7.9
255;Totaal 1 of meer werkzame personen;351900;2017 1e kwartaal;96.5;3.8
256;Totaal 1 of meer werkzame personen;351900;2017 2e kwartaal;114.0;3.3
257;Totaal 1 of meer werkzame personen;351900;2017 3e kwartaal;105.6;0.2
258;Totaal 1 of meer werkzame personen;351900;2017 4e kwartaal;131.2;5.0
259;Totaal 1 of meer werkzame personen;351900;2017;111.8;3.1
260;1 tot 10 werkzame personen;900063;2005 1e kwartaal;55.8;-0.7
261;1 tot 10 werkzame personen;900063;2005 2e kwartaal;76.2;8.3
262;1 tot 10 werkzame personen;900063;2005 3e kwartaal;69.5;10.6
263;1 tot 10 werkzame personen;900063;2005 4e kwartaal;89.2;9.1
264;1 tot 10 werkzame personen;900063;2005;72.7;7.2
265;1 tot 10 werkzame personen;900063;2006 1e kwartaal;63.9;14.4
266;1 tot 10 werkzame personen;900063;2006 2e kwartaal;84.7;11.2
267;1 tot 10 werkzame personen;900063;2006 3e kwartaal;77.3;11.2
268;1 tot 10 werkzame personen;900063;2006 4e kwartaal;102.3;14.7
269;1 tot 10 werkzame personen;900063;2006;82.1;12.9
270;1 tot 10 werkzame personen;900063;2007 1e kwartaal;74.0;15.8
271;1 tot 10 werkzame personen;900063;2007 2e kwartaal;93.8;10.8
272;1 tot 10 werkzame personen;900063;2007 3e kwartaal;85.4;10.4
273;1 tot 10 werkzame personen;900063;2007 4e kwartaal;109.1;6.6
274;1 tot 10 werkzame personen;900063;2007;90.6;10.4
275;1 tot 10 werkzame personen;900063;2008 1e kwartaal;88.8;20.0
276;1 tot 10 werkzame personen;900063;2008 2e kwartaal;109.4;16.6
277;1 tot 10 werkzame personen;900063;2008 3e kwartaal;99.0;15.9
278;1 tot 10 werkzame personen;900063;2008 4e kwartaal;122.8;12.6
279;1 tot 10 werkzame personen;900063;2008;105.0;16.0
280;1 tot 10 werkzame personen;900063;2009 1e kwartaal;93.2;4.9
281;1 tot 10 werkzame personen;900063;2009 2e kwartaal;111.3;1.7
282;1 tot 10 werkzame personen;900063;2009 3e kwartaal;97.9;-1.1
283;1 tot 10 werkzame personen;900063;2009 4e kwartaal;117.6;-4.2
284;1 tot 10 werkzame personen;900063;2009;105.0;0.0
285;1 tot 10 werkzame personen;900063;2010 1e kwartaal;81.0;-13.1
286;1 tot 10 werkzame personen;900063;2010 2e kwartaal;106.1;-4.7
287;1 tot 10 werkzame personen;900063;2010 3e kwartaal;95.9;-2.1
288;1 tot 10 werkzame personen;900063;2010 4e kwartaal;117.1;-0.4
289;1 tot 10 werkzame personen;900063;2010;100.0;-4.8
290;1 tot 10 werkzame personen;900063;2011 1e kwartaal;92.0;13.6
291;1 tot 10 werkzame personen;900063;2011 2e kwartaal;115.8;9.1
292;1 tot 10 werkzame personen;900063;2011 3e kwartaal;103.8;8.3
293;1 tot 10 werkzame personen;900063;2011 4e kwartaal;117.4;0.3
294;1 tot 10 werkzame personen;900063;2011;107.2;7.2
295;1 tot 10 werkzame personen;900063;2012 1e kwartaal;84.4;-8.2
296;1 tot 10 werkzame personen;900063;2012 2e kwartaal;104.7;-9.5
297;1 tot 10 werkzame personen;900063;2012 3e kwartaal;100.4;-3.3
298;1 tot 10 werkzame personen;900063;2012 4e kwartaal;103.7;-11.7
299;1 tot 10 werkzame personen;900063;2012;98.3;-8.3
300;1 tot 10 werkzame personen;900063;2013 1e kwartaal;76.3;-9.6
301;1 tot 10 werkzame personen;900063;2013 2e kwartaal;101.1;-3.5
302;1 tot 10 werkzame personen;900063;2013 3e kwartaal;98.8;-1.6
303;1 tot 10 werkzame personen;900063;2013 4e kwartaal;119.2;15.0
304;1 tot 10 werkzame personen;900063;2013;98.8;0.6
305;1 tot 10 werkzame personen;900063;2014 1e kwartaal;85.9;12.5
306;1 tot 10 werkzame personen;900063;2014 2e kwartaal;104.1;2.9
307;1 tot 10 werkzame personen;900063;2014 3e kwartaal;98.7;-0.1
308;1 tot 10 werkzame personen;900063;2014 4e kwartaal;128.0;7.3
309;1 tot 10 werkzame personen;900063;2014;104.1;5.4
310;1 tot 10 werkzame personen;900063;2015 1e kwartaal;97.0;13.0
311;1 tot 10 werkzame personen;900063;2015 2e kwartaal;128.5;23.5
312;1 tot 10 werkzame personen;900063;2015 3e kwartaal;105.2;6.7
313;1 tot 10 werkzame personen;900063;2015 4e kwartaal;133.7;4.5
314;1 tot 10 werkzame personen;900063;2015;116.1;11.5
315;1 tot 10 werkzame personen;900063;2016 1e kwartaal;104.8;8.1
316;1 tot 10 werkzame personen;900063;2016 2e kwartaal;128.2;-0.3
317;1 tot 10 werkzame personen;900063;2016 3e kwartaal;121.3;15.3
318;1 tot 10 werkzame personen;900063;2016 4e kwartaal;150.1;12.2
319;1 tot 10 werkzame personen;900063;2016;126.1;8.6
320;1 tot 10 werkzame personen;900063;2017 1e kwartaal;112.7;7.6
321;1 tot 10 werkzame personen;900063;2017 2e kwartaal;140.1;9.3
322;1 tot 10 werkzame personen;900063;2017 3e kwartaal;130.7;7.7
323;1 tot 10 werkzame personen;900063;2017 4e kwartaal;162.9;8.5
324;1 tot 10 werkzame personen;900063;2017;136.6;8.3
325;1 tot 10 werkzame personen;350400;2005 1e kwartaal;52.8;-2.3
326;1 tot 10 werkzame personen;350400;2005 2e kwartaal;73.9;7.5
327;1 tot 10 werkzame personen;350400;2005 3e kwartaal;66.1;10.4
328;1 tot 10 werkzame personen;350400;2005 4e kwartaal;86.0;9.6
329;1 tot 10 werkzame personen;350400;2005;69.7;6.8
330;1 tot 10 werkzame personen;350400;2006 1e kwartaal;61.3;16.1
331;1 tot 10 werkzame personen;350400;2006 2e kwartaal;83.0;12.3
332;1 tot 10 werkzame personen;350400;2006 3e kwartaal;73.4;10.9
333;1 tot 10 werkzame personen;350400;2006 4e kwartaal;100.1;16.4
334;1 tot 10 werkzame personen;350400;2006;79.4;13.9
335;1 tot 10 werkzame personen;350400;2007 1e kwartaal;71.5;16.8
336;1 tot 10 werkzame personen;350400;2007 2e kwartaal;91.0;9.6
337;1 tot 10 werkzame personen;350400;2007 3e kwartaal;82.0;11.7
338;1 tot 10 werkzame personen;350400;2007 4e kwartaal;106.6;6.4
339;1 tot 10 werkzame personen;350400;2007;87.8;10.5
340;1 tot 10 werkzame personen;350400;2008 1e kwartaal;87.0;21.6
341;1 tot 10 werkzame personen;350400;2008 2e kwartaal;107.1;17.7
342;1 tot 10 werkzame personen;350400;2008 3e kwartaal;95.5;16.5
343;1 tot 10 werkzame personen;350400;2008 4e kwartaal;119.7;12.4
344;1 tot 10 werkzame personen;350400;2008;102.3;16.6
345;1 tot 10 werkzame personen;350400;2009 1e kwartaal;95.7;10.1
346;1 tot 10 werkzame personen;350400;2009 2e kwartaal;114.5;6.8
347;1 tot 10 werkzame personen;350400;2009 3e kwartaal;96.8;1.4
348;1 tot 10 werkzame personen;350400;2009 4e kwartaal;116.6;-2.6
349;1 tot 10 werkzame personen;350400;2009;105.9;3.5
350;1 tot 10 werkzame personen;350400;2010 1e kwartaal;81.5;-14.9
351;1 tot 10 werkzame personen;350400;2010 2e kwartaal;106.4;-7.0
352;1 tot 10 werkzame personen;350400;2010 3e kwartaal;94.0;-2.9
353;1 tot 10 werkzame personen;350400;2010 4e kwartaal;118.1;1.3
354;1 tot 10 werkzame personen;350400;2010;100.0;-5.6
355;1 tot 10 werkzame personen;350400;2011 1e kwartaal;93.8;15.1
