ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
46;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2007;145735;0.87
47;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2008;147900;0.88
48;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2009;149050;0.89
49;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2010;154710;0.91
50;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2011;96590;0.57
51;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2012;38160;0.22
52;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2013;37720;0.22
53;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2014;38925;0.23
54;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2015;38365;0.22
55;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2016;38155;0.22
56;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2017;36165;0.21
57;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2018;35780;0.2
58;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2019;43930;0.25
59;Total male and female;10000;Total background and generation;A01A Stomatological preparations;2020;45190;0.25
60;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2006;1717060;10.32
61;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2007;1932975;11.59
62;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2008;2153940;12.85
63;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2009;2355645;13.99
64;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2010;2558270;15.11
65;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2011;2746955;16.14
66;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2012;1822580;10.67
67;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2013;1917420;11.19
68;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2014;2025395;11.78
69;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2015;2103755;12.17
70;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2016;2176235;12.52
71;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2017;2204900;12.61
72;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2018;2230140;12.67
73;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2019;2265425;12.78
74;Total male and female;10000;Total background and generation;A02 Drugs for acid related disorders;2020;2271760;12.76
75;Total male and female;10000;Total background and generation;A02A Antacids;2006;3380;0.02
76;Total male and female;10000;Total background and generation;A02A Antacids;2007;1785;0.01
77;Total male and female;10000;Total background and generation;A02A Antacids;2008;970;0.01
78;Total male and female;10000;Total background and generation;A02A Antacids;2009;570;0.0
79;Total male and female;10000;Total background and generation;A02A Antacids;2010;495;0.0
80;Total male and female;10000;Total background and generation;A02A Antacids;2011;395;0.0
81;Total male and female;10000;Total background and generation;A02A Antacids;2012;305;0.0
82;Total male and female;10000;Total background and generation;A02A Antacids;2013;480;0.0
83;Total male and female;10000;Total background and generation;A02A Antacids;2014;290;0.0
84;Total male and female;10000;Total background and generation;A02A Antacids;2015;210;0.0
85;Total male and female;10000;Total background and generation;A02A Antacids;2016;185;0.0
86;Total male and female;10000;Total background and generation;A02A Antacids;2017;125;0.0
87;Total male and female;10000;Total background and generation;A02A Antacids;2018;85;0.0
88;Total male and female;10000;Total background and generation;A02A Antacids;2019;95;0.0
89;Total male and female;10000;Total background and generation;A02A Antacids;2020;85;0.0
90;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2006;1715100;10.31
91;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2007;1931970;11.58
92;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2008;2153395;12.85
93;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2009;2355320;13.99
94;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2010;2557990;15.11
95;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2011;2746750;16.14
96;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2012;1822400;10.67
97;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2013;1917165;11.19
98;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2014;2025265;11.78
99;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2015;2103665;12.17
100;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2016;2176150;12.51
101;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2017;2204845;12.61
102;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2018;2230105;12.67
103;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2019;2265380;12.78
104;Total male and female;10000;Total background and generation;A02B Drugs for peptic ulcer and gord;2020;2271720;12.76
105;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2006;0;0.0
106;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2007;0;0.0
107;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2008;0;0.0
108;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2009;0;0.0
109;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2010;0;0.0
110;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2011;0;0.0
111;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2012;0;0.0
112;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2013;0;0.0
113;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2014;0;0.0
114;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2015;0;0.0
115;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2016;0;0.0
116;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2017;0;0.0
117;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2018;0;0.0
118;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2019;0;0.0
119;Total male and female;10000;Total background and generation;A02X Oth. drugs for acid related disord.;2020;0;0.0
120;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2006;346270;2.08
121;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2007;361875;2.17
122;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2008;360570;2.15
123;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2009;366475;2.18
124;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2010;372355;2.2
125;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2011;382420;2.25
126;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2012;369020;2.16
127;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2013;348950;2.04
128;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2014;368575;2.14
129;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2015;406800;2.35
130;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2016;407125;2.34
131;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2017;400305;2.29
132;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2018;405705;2.31
133;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2019;391785;2.21
134;Total male and female;10000;Total background and generation;A03 Drugs for funct.gastrointest.disord.;2020;371205;2.09
135;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2006;129905;0.78
136;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2007;132655;0.8
137;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2008;131630;0.79
138;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2009;132045;0.78
139;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2010;131210;0.77
140;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2011;131325;0.77
141;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2012;128535;0.75
142;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2013;119550;0.7
143;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2014;117065;0.68
144;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2015;110675;0.64
145;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2016;107915;0.62
146;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2017;105930;0.61
147;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2018;104195;0.59
148;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2019;101390;0.57
149;Total male and female;10000;Total background and generation;A03A Drugs for functional bowel disord.;2020;94720;0.53
150;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2006;4250;0.03
151;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2007;4065;0.02
152;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2008;3865;0.02
153;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2009;3900;0.02
154;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2010;4265;0.03
155;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2011;4895;0.03
156;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2012;4600;0.03
157;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2013;4555;0.03
158;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2014;4800;0.03
159;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2015;4655;0.03
160;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2016;4940;0.03
161;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2017;4970;0.03
162;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2018;5070;0.03
163;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2019;5055;0.03
164;Total male and female;10000;Total background and generation;A03B Belladonna and derivatives, plain;2020;4530;0.03
165;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2006;0;0.0
166;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2007;0;0.0
167;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2008;0;0.0
168;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2009;0;0.0
169;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2010;0;0.0
170;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2011;0;0.0
171;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2012;0;0.0
172;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2013;0;0.0
173;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2014;0;0.0
174;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2015;0;0.0
175;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2016;0;0.0
176;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2017;0;0.0
177;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2018;0;0.0
178;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2019;0;0.0
179;Total male and female;10000;Total background and generation;A03C Antispasmodics with psycholeptics;2020;0;0.0
180;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2006;0;0.0
181;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2007;0;0.0
182;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2008;0;0.0
183;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2009;0;0.0
184;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2010;0;0.0
185;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2011;0;0.0
186;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2012;0;0.0
187;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2013;0;0.0
188;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2014;0;0.0
189;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2015;0;0.0
190;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2016;0;0.0
191;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2017;0;0.0
192;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2018;0;0.0
193;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2019;0;0.0
194;Total male and female;10000;Total background and generation;A03D Antispasmodics with analgesics;2020;0;0.0
195;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2006;0;0.0
196;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2007;0;0.0
197;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2008;0;0.0
198;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2009;0;0.0
199;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2010;0;0.0
200;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2011;0;0.0
201;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2012;0;0.0
202;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2013;0;0.0
203;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2014;0;0.0
204;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2015;0;0.0
205;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2016;0;0.0
206;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2017;0;0.0
207;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2018;0;0.0
208;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2019;0;0.0
209;Total male and female;10000;Total background and generation;A03E Antispasmodics and anticholinergics;2020;0;0.0
210;Total male and female;10000;Total background and generation;A03F Propulsives;2006;223060;1.34
211;Total male and female;10000;Total background and generation;A03F Propulsives;2007;236790;1.42
212;Total male and female;10000;Total background and generation;A03F Propulsives;2008;236685;1.41
213;Total male and female;10000;Total background and generation;A03F Propulsives;2009;242165;1.44
214;Total male and female;10000;Total background and generation;A03F Propulsives;2010;249015;1.47
215;Total male and female;10000;Total background and generation;A03F Propulsives;2011;258965;1.52
216;Total male and female;10000;Total background and generation;A03F Propulsives;2012;247900;1.45
217;Total male and female;10000;Total background and generation;A03F Propulsives;2013;235635;1.38
218;Total male and female;10000;Total background and generation;A03F Propulsives;2014;258230;1.5
219;Total male and female;10000;Total background and generation;A03F Propulsives;2015;304255;1.76
220;Total male and female;10000;Total background and generation;A03F Propulsives;2016;306805;1.76
221;Total male and female;10000;Total background and generation;A03F Propulsives;2017;301525;1.72
222;Total male and female;10000;Total background and generation;A03F Propulsives;2018;308350;1.75
223;Total male and female;10000;Total background and generation;A03F Propulsives;2019;296735;1.67
224;Total male and female;10000;Total background and generation;A03F Propulsives;2020;282425;1.59
225;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2006;35620;0.21
226;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2007;39910;0.24
227;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2008;42765;0.26
228;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2009;45555;0.27
229;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2010;48425;0.29
230;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2011;51960;0.31
231;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2012;52820;0.31
232;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2013;55085;0.32
233;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2014;56855;0.33
234;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2015;62365;0.36
235;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2016;67625;0.39
236;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2017;72455;0.41
237;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2018;83510;0.47
238;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2019;90095;0.51
239;Total male and female;10000;Total background and generation;A04 Antiemetics and antinauseants;2020;81110;0.46
240;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2006;35620;0.21
241;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2007;39910;0.24
242;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2008;42765;0.26
243;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2009;45555;0.27
244;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2010;48425;0.29
245;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2011;51960;0.31
246;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2012;52820;0.31
247;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2013;55085;0.32
248;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2014;56855;0.33
249;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2015;62365;0.36
250;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2016;67625;0.39
251;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2017;72455;0.41
252;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2018;83510;0.47
253;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2019;90095;0.51
254;Total male and female;10000;Total background and generation;A04A Antiemetics and antinauseants;2020;81110;0.46
255;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2006;8670;0.05
256;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2007;9370;0.06
257;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2008;9970;0.06
258;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2009;10665;0.06
259;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2010;11075;0.07
260;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2011;11615;0.07
261;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2012;12035;0.07
262;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2013;12800;0.07
263;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2014;13380;0.08
264;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2015;13890;0.08
265;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2016;14395;0.08
266;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2017;15030;0.09
267;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2018;15560;0.09
268;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2019;16140;0.09
269;Total male and female;10000;Total background and generation;A05 Bile and liver therapy;2020;15810;0.09
270;Total male and female;10000;Total background and generation;A05A Bile therapy;2006;8670;0.05
271;Total male and female;10000;Total background and generation;A05A Bile therapy;2007;9370;0.06
272;Total male and female;10000;Total background and generation;A05A Bile therapy;2008;9970;0.06
273;Total male and female;10000;Total background and generation;A05A Bile therapy;2009;10665;0.06
274;Total male and female;10000;Total background and generation;A05A Bile therapy;2010;11075;0.07
275;Total male and female;10000;Total background and generation;A05A Bile therapy;2011;11615;0.07
276;Total male and female;10000;Total background and generation;A05A Bile therapy;2012;12035;0.07
277;Total male and female;10000;Total background and generation;A05A Bile therapy;2013;12800;0.07
278;Total male and female;10000;Total background and generation;A05A Bile therapy;2014;13380;0.08
279;Total male and female;10000;Total background and generation;A05A Bile therapy;2015;13890;0.08
280;Total male and female;10000;Total background and generation;A05A Bile therapy;2016;14395;0.08
281;Total male and female;10000;Total background and generation;A05A Bile therapy;2017;15030;0.09
282;Total male and female;10000;Total background and generation;A05A Bile therapy;2018;15560;0.09
283;Total male and female;10000;Total background and generation;A05A Bile therapy;2019;16140;0.09
284;Total male and female;10000;Total background and generation;A05A Bile therapy;2020;15810;0.09
285;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2006;0;0.0
286;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2007;0;0.0
287;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2008;0;0.0
288;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2009;0;0.0
289;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2010;0;0.0
290;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2011;0;0.0
291;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2012;0;0.0
292;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2013;0;0.0
293;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2014;0;0.0
294;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2015;0;0.0
295;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2016;0;0.0
296;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2017;0;0.0
297;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2018;0;0.0
298;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2019;0;0.0
299;Total male and female;10000;Total background and generation;A05B Liver therapy, lipotropics;2020;0;0.0
300;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2006;0;0.0
301;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2007;0;0.0
302;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2008;0;0.0
303;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2009;0;0.0
304;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2010;0;0.0
305;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2011;0;0.0
306;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2012;0;0.0
307;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2013;0;0.0
308;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2014;0;0.0
309;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2015;0;0.0
310;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2016;0;0.0
311;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2017;0;0.0
312;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2018;0;0.0
313;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2019;0;0.0
314;Total male and female;10000;Total background and generation;A05C Bile therapy drugs and lipotropics;2020;0;0.0
315;Total male and female;10000;Total background and generation;A06 Laxatives;2006;787295;4.73
316;Total male and female;10000;Total background and generation;A06 Laxatives;2007;855930;5.13
317;Total male and female;10000;Total background and generation;A06 Laxatives;2008;909225;5.42
318;Total male and female;10000;Total background and generation;A06 Laxatives;2009;975410;5.79
319;Total male and female;10000;Total background and generation;A06 Laxatives;2010;1054600;6.23
320;Total male and female;10000;Total background and generation;A06 Laxatives;2011;1144755;6.73
321;Total male and female;10000;Total background and generation;A06 Laxatives;2012;1156485;6.77
322;Total male and female;10000;Total background and generation;A06 Laxatives;2013;1152965;6.73
323;Total male and female;10000;Total background and generation;A06 Laxatives;2014;1208195;7.02
324;Total male and female;10000;Total background and generation;A06 Laxatives;2015;1281735;7.41
325;Total male and female;10000;Total background and generation;A06 Laxatives;2016;1358175;7.81
326;Total male and female;10000;Total background and generation;A06 Laxatives;2017;1420150;8.12
