ID;Geslacht;Niveau;Leerweg;Migratieachtergrond;Perioden;GediplomeerdenMbo_1
59;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2016/'17;8898
60;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2017/'18;8764
61;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2018/'19;8499
62;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2019/'20;8721
63;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Westerse migratieachtergrond;2020/'21;9034
64;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2005/'06;25115
65;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2006/'07;26673
66;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2007/'08;28654
67;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2008/'09;29647
68;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2009/'10;32895
69;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2010/'11;33046
70;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2011/'12;33963
71;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2012/'13;34844
72;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2013/'14;35500
73;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2014/'15;33418
74;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2015/'16;30896
75;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2016/'17;31200
76;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2017/'18;31605
77;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2018/'19;33669
78;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2019/'20;34600
79;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Niet-westerse migratieachtergrond;2020/'21;36333
80;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2005/'06;5069
81;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2006/'07;5780
82;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2007/'08;6159
83;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2008/'09;6664
84;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2009/'10;7643
85;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2010/'11;7646
86;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2011/'12;7733
87;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2012/'13;7873
88;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2013/'14;7916
89;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2014/'15;7407
90;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2015/'16;6696
91;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2016/'17;6593
92;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2017/'18;6423
93;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2018/'19;6420
94;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2019/'20;6371
95;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Turkije;2020/'21;6221
96;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2005/'06;4878
97;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2006/'07;5239
98;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2007/'08;5737
99;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2008/'09;5849
100;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2009/'10;6342
101;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2010/'11;6270
102;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2011/'12;6607
103;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2012/'13;6559
104;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2013/'14;6663
105;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2014/'15;6222
106;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2015/'16;5789
107;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2016/'17;5826
108;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2017/'18;5747
109;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2018/'19;5948
110;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2019/'20;5792
111;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Marokko;2020/'21;6267
112;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2005/'06;5045
113;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2006/'07;5130
114;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2007/'08;5569
115;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2008/'09;5764
116;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2009/'10;6268
117;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2010/'11;6127
118;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2011/'12;6271
119;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2012/'13;6241
120;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2013/'14;6212
121;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2014/'15;5622
122;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2015/'16;5180
123;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2016/'17;4992
124;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2017/'18;4868
125;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2018/'19;4745
126;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2019/'20;4725
127;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Suriname;2020/'21;4710
128;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2005/'06;2424
129;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2006/'07;2532
130;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2007/'08;2578
131;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2008/'09;2582
132;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2009/'10;3011
133;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2010/'11;3178
134;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2011/'12;3228
135;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2012/'13;3596
136;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2013/'14;3441
137;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2014/'15;3466
138;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2015/'16;3261
139;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2016/'17;3147
140;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2017/'18;3014
141;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2018/'19;2978
142;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2019/'20;3059
143;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);(voormalige) Nederlandse Antillen, Aruba;2020/'21;3214
144;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2005/'06;7699
145;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2006/'07;7992
146;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2007/'08;8611
147;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2008/'09;8788
148;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2009/'10;9631
149;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2010/'11;9825
150;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2011/'12;10124
151;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2012/'13;10575
152;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2013/'14;11268
153;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2014/'15;10701
154;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2015/'16;9970
155;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2016/'17;10642
156;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2017/'18;11553
157;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2018/'19;13578
158;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2019/'20;14653
159;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Overige niet-westerse migratieachterg...;2020/'21;15921
160;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2005/'06;332
161;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2006/'07;227
162;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2007/'08;293
163;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2008/'09;353
164;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2009/'10;566
165;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2010/'11;628
166;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2011/'12;718
167;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2012/'13;1149
168;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2013/'14;1201
169;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2014/'15;262
170;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2015/'16;245
171;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2016/'17;169
172;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2017/'18;117
173;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2018/'19;72
174;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2019/'20;86
175;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl extranei);Onbekende migratieachtergrond;2020/'21;49
176;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2005/'06;132506
177;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2006/'07;133525
178;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2007/'08;137995
179;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2008/'09;141533
180;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2009/'10;148682
181;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2010/'11;148471
182;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2011/'12;151700
183;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2012/'13;154912
184;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2013/'14;153776
185;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2014/'15;148439
186;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2015/'16;139501
187;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2016/'17;142214
188;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2017/'18;137150
189;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2018/'19;139051
190;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2019/'20;140334
191;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Totaal;2020/'21;142328
192;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2005/'06;101489
193;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2006/'07;101607
194;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2007/'08;104153
195;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2008/'09;107002
196;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2009/'10;112467
197;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2010/'11;111451
198;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2011/'12;113787
199;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2012/'13;115613
200;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2013/'14;113587
201;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2014/'15;110399
202;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2015/'16;103607
203;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2016/'17;106231
204;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2017/'18;100783
205;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2018/'19;101397
206;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2019/'20;101465
207;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Nederlandse achtergrond;2020/'21;101647
208;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2005/'06;30764
209;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2006/'07;31729
210;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2007/'08;33587
211;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2008/'09;34257
212;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2009/'10;35826
213;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2010/'11;36523
214;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2011/'12;37318
215;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2012/'13;38412
216;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2013/'14;39288
217;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2014/'15;37830
218;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2015/'16;35689
219;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2016/'17;35839
220;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2017/'18;36264
221;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2018/'19;37593
222;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2019/'20;38796
223;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Met migratieachtergrond;2020/'21;40653
224;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2005/'06;7911
225;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2006/'07;7797
226;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2007/'08;8432
227;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2008/'09;8553
228;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2009/'10;9051
229;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2010/'11;8952
230;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2011/'12;9039
231;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2012/'13;9476
232;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2013/'14;9379
233;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2014/'15;8864
234;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2015/'16;8352
235;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2016/'17;8026
236;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2017/'18;7859
237;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2018/'19;7575
238;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2019/'20;7754
239;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Westerse migratieachtergrond;2020/'21;8031
240;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2005/'06;22853
241;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2006/'07;23932
242;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2007/'08;25155
243;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2008/'09;25704
244;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2009/'10;26775
245;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2010/'11;27571
246;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2011/'12;28279
247;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2012/'13;28936
248;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2013/'14;29909
249;Totaal mannen en vrouwen;Totaal;Totaal mbo (excl. extranei);Niet-westerse migratieachtergrond;2014/'15;28966
