ID;TotaalHerkomstgroeperingen;Leeftijdsgroepen;Geslacht;Perioden;Vermogensmisdrijven_1;VernielingEnOpenbareOrde_2;Geweldsmisdrijven_3;Verkeersmisdrijven_4;OverigeMisdrijven_5;Firstoffender_6;Meerpleger_7;Veelpleger_8;EnkelsoortigeVerdachte_9;TweesoortigeVerdachte_10;MeersoortigeVerdachte_11;Vermogensmisdrijven_12;VernielingEnOpenbareOrde_13;Geweldsmisdrijven_14;Verkeersmisdrijven_15;OverigeMisdrijven_16;Firstoffender_17;Meerpleger_18;Veelpleger_19;EnkelsoortigeVerdachte_20;TweesoortigeVerdachte_21;MeersoortigeVerdachte_22
78;Totaal allochtonen;45 tot 80 jaar;Totaal mannen en vrouwen;2005;29.5;11.6;28.6;26.7;18.2;39.2;42.8;18.0;87.5;10.6;1.9;30.1;11.5;28.9;26.0;17.9;39.4;43.5;17.1;87.5;10.6;1.8
79;Totaal allochtonen;45 tot 80 jaar;Totaal mannen en vrouwen;2006*;30.3;10.9;29.8;26.2;17.1;37.4;43.8;18.7;87.8;10.2;1.9;31.0;11.0;30.1;25.5;16.9;37.8;44.3;17.9;87.8;10.3;2.0
80;Totaal allochtonen;45 tot 80 jaar;Mannen;1999;30.4;12.5;19.7;36.5;15.2;42.6;38.8;18.6;87.5;10.9;1.6;31.5;12.3;20.4;35.2;15.6;41.4;39.9;18.8;86.8;11.5;1.6
81;Totaal allochtonen;45 tot 80 jaar;Mannen;2000;29.2;12.4;22.4;35.4;15.0;42.9;38.7;18.4;87.4;10.9;1.7;29.8;12.4;22.8;34.8;15.0;42.5;39.2;18.3;87.0;11.3;1.8
82;Totaal allochtonen;45 tot 80 jaar;Mannen;2001;27.9;12.0;25.4;34.2;15.4;40.2;40.3;19.5;87.5;10.4;2.1;29.1;11.8;25.5;33.3;15.1;39.6;41.3;19.1;87.5;10.3;2.1
83;Totaal allochtonen;45 tot 80 jaar;Mannen;2002;27.2;12.4;25.9;34.5;16.0;37.9;41.8;20.4;87.0;10.4;2.6;28.4;12.5;26.0;33.8;15.8;37.4;42.8;19.8;86.6;10.7;2.7
84;Totaal allochtonen;45 tot 80 jaar;Mannen;2003;25.3;12.2;29.1;31.9;18.0;38.1;42.5;19.4;86.5;11.0;2.6;25.9;12.4;29.5;31.0;18.1;37.8;43.6;18.6;86.1;11.2;2.7
85;Totaal allochtonen;45 tot 80 jaar;Mannen;2004;24.2;12.3;29.2;31.3;19.1;36.5;43.2;20.3;86.9;10.6;2.5;25.2;12.2;29.9;30.3;18.6;36.2;44.2;19.6;86.7;10.7;2.5
86;Totaal allochtonen;45 tot 80 jaar;Mannen;2005;24.4;12.0;31.3;29.2;18.8;35.2;45.0;19.8;86.7;11.2;2.1;25.0;11.9;31.6;28.6;18.5;35.5;45.7;18.9;86.7;11.2;2.1
87;Totaal allochtonen;45 tot 80 jaar;Mannen;2006*;25.5;11.2;32.3;28.8;17.6;33.7;45.6;20.7;86.9;10.9;2.2;26.2;11.3;32.6;28.1;17.3;34.0;46.1;19.8;86.9;10.8;2.2
88;Totaal allochtonen;45 tot 80 jaar;Vrouwen;1999;67.8;5.7;9.9;13.4;10.4;62.3;30.2;7.5;93.5;6.0;;68.8;5.6;10.2;11.3;11.5;60.9;31.5;7.6;93.3;6.2;
89;Totaal allochtonen;45 tot 80 jaar;Vrouwen;2000;63.3;8.3;10.4;14.8;11.5;60.1;32.2;7.7;92.1;7.5;;65.6;8.6;10.6;12.6;11.9;60.9;31.5;7.6;91.0;8.6;
90;Totaal allochtonen;45 tot 80 jaar;Vrouwen;2001;63.1;6.1;12.0;13.9;11.5;54.7;35.8;9.5;94.0;5.4;;64.5;5.9;12.9;11.3;11.6;54.5;36.5;9.0;94.2;5.3;
91;Totaal allochtonen;45 tot 80 jaar;Vrouwen;2002;61.8;7.1;12.4;14.0;13.1;54.1;35.4;10.4;92.5;6.6;;61.8;7.4;13.1;12.3;13.9;54.8;35.8;9.4;92.4;6.5;
92;Totaal allochtonen;45 tot 80 jaar;Vrouwen;2003;55.9;9.1;14.3;14.5;13.7;55.4;34.7;9.9;93.3;5.9;;56.0;9.4;14.5;13.5;13.7;55.9;35.2;8.9;93.7;5.5;
93;Totaal allochtonen;45 tot 80 jaar;Vrouwen;2004;52.0;9.3;15.7;15.5;14.6;56.0;34.5;9.6;93.7;5.5;0.8;53.9;9.4;16.6;13.0;14.2;57.3;33.7;9.0;93.5;5.8;0.7
94;Totaal allochtonen;45 tot 80 jaar;Vrouwen;2005;52.4;9.8;16.3;15.7;15.3;57.1;32.8;10.1;91.4;7.7;0.9;53.8;9.6;16.8;13.8;15.3;57.6;33.5;8.9;91.5;7.8;0.7
95;Totaal allochtonen;45 tot 80 jaar;Vrouwen;2006*;51.4;9.6;18.5;14.7;14.9;53.7;36.0;10.3;91.8;7.3;0.8;52.2;9.5;18.8;13.8;15.1;54.6;36.3;9.2;91.5;7.7;0.8
96;Totaal allochtonen;12 tot 80 jaar;Totaal mannen en vrouwen;1999;42.9;16.0;26.9;22.3;16.7;35.3;47.7;17.0;80.3;15.3;4.4;43.1;15.8;26.7;22.1;16.2;36.9;46.3;16.8;80.8;15.0;4.1
97;Totaal allochtonen;12 tot 80 jaar;Totaal mannen en vrouwen;2000;40.0;16.0;28.1;22.4;16.1;36.6;46.7;16.7;81.7;14.5;3.8;40.5;16.0;27.8;22.3;15.5;38.2;45.3;16.4;82.1;14.2;3.6
98;Totaal allochtonen;12 tot 80 jaar;Totaal mannen en vrouwen;2001;39.1;15.6;29.0;22.2;15.5;36.6;46.9;16.5;82.7;13.8;3.6;39.9;15.5;29.0;21.7;14.9;37.8;45.9;16.2;83.0;13.6;3.4
99;Totaal allochtonen;12 tot 80 jaar;Totaal mannen en vrouwen;2002;37.7;16.3;30.2;22.3;16.9;36.6;47.1;16.3;81.5;14.4;4.1;38.4;16.5;29.9;21.9;16.4;37.6;46.3;16.1;81.7;14.3;4.0
100;Totaal allochtonen;12 tot 80 jaar;Totaal mannen en vrouwen;2003;35.0;15.9;31.6;22.5;17.7;36.3;48.1;15.6;81.9;14.0;4.1;35.8;16.2;31.4;21.7;17.3;37.6;47.2;15.2;82.1;13.9;3.9
101;Totaal allochtonen;12 tot 80 jaar;Totaal mannen en vrouwen;2004;34.1;16.4;32.9;21.0;18.8;35.4;49.0;15.6;81.6;14.3;4.1;35.1;16.7;32.5;20.1;18.4;36.9;47.9;15.1;81.8;14.2;4.0
102;Totaal allochtonen;12 tot 80 jaar;Totaal mannen en vrouwen;2005;33.3;16.3;34.0;20.7;17.9;35.1;49.2;15.7;82.0;14.3;3.7;34.7;17.1;33.8;19.4;17.4;36.9;48.1;15.0;81.9;14.4;3.7
103;Totaal allochtonen;12 tot 80 jaar;Totaal mannen en vrouwen;2006*;33.2;16.0;33.9;21.7;16.8;34.2;49.9;15.9;82.6;13.9;3.5;34.9;17.0;33.7;20.1;16.3;35.8;48.9;15.2;82.2;14.1;3.7
104;Totaal allochtonen;12 tot 80 jaar;Mannen;1999;37.6;17.5;29.4;25.0;17.9;31.5;49.6;19.0;78.5;16.6;5.0;38.0;17.3;29.0;24.9;17.2;33.1;48.2;18.7;79.1;16.2;4.7
105;Totaal allochtonen;12 tot 80 jaar;Mannen;2000;35.1;17.2;30.7;25.0;17.0;32.9;48.6;18.5;80.0;15.6;4.3;35.6;17.3;30.3;24.8;16.3;34.6;47.2;18.2;80.5;15.3;4.2
106;Totaal allochtonen;12 tot 80 jaar;Mannen;2001;34.0;16.9;31.5;24.9;16.6;32.7;48.8;18.5;80.8;15.1;4.1;34.9;16.7;31.4;24.3;16.0;34.1;47.8;18.1;81.2;14.9;3.9
107;Totaal allochtonen;12 tot 80 jaar;Mannen;2002;32.7;17.7;32.8;24.9;17.8;33.0;48.7;18.3;79.6;15.7;4.7;33.6;17.8;32.3;24.5;17.3;34.1;47.9;18.0;79.8;15.6;4.6
108;Totaal allochtonen;12 tot 80 jaar;Mannen;2003;30.6;17.0;34.3;24.8;18.6;32.6;50.0;17.4;80.1;15.3;4.6;31.7;17.1;33.9;23.9;18.2;34.0;49.2;16.9;80.3;15.2;4.5
