ID;Geslacht;Migratieachtergrond;Onderwijssoort;Opleidingsfase;Opleidingsvorm;Perioden;TotaalIngeschrevenen_1
29;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2007/'08;500344
30;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2008/'09;516729
31;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2009/'10;546187
32;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2010/'11;568647
33;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2011/'12;585183
34;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2012/'13;589167
35;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2013/'14;619885
36;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2014/'15;636213
37;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2015/'16;640023
38;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2016/'17;651714
39;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2017/'18;668121
40;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2018/'19;683351
41;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2019/'20;699011
42;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2020/'21;743412
43;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Voltijd;2021/'22;754790
44;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2000/'01;72989
45;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2001/'02;78737
46;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2002/'03;78416
47;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2003/'04;80717
48;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2004/'05;79581
49;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2005/'06;77095
50;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2006/'07;74606
51;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2007/'08;72964
52;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2008/'09;72820
53;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2009/'10;75238
54;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2010/'11;74834
55;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2011/'12;69232
56;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2012/'13;59960
57;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2013/'14;57077
58;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2014/'15;53052
59;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2015/'16;51053
60;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2016/'17;50398
61;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2017/'18;51615
62;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2018/'19;53289
63;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2019/'20;56431
64;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2020/'21;60616
65;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Deeltijd;2021/'22;64411
66;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2000/'01;7088
67;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2001/'02;9115
68;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2002/'03;10456
69;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2003/'04;11843
70;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2004/'05;11713
71;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2005/'06;12056
72;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2006/'07;12130
73;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2007/'08;12104
74;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2008/'09;12552
75;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2009/'10;12715
76;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2010/'11;13225
77;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2011/'12;12779
78;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2012/'13;11995
79;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2013/'14;11229
80;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2014/'15;10307
81;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2015/'16;10042
82;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2016/'17;10001
83;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2017/'18;10410
84;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2018/'19;11201
85;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2019/'20;12135
86;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2020/'21;13243
87;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Opleidingsfase totaal;Duaal;2021/'22;13520
88;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2000/'01;463947
89;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2001/'02;477951
90;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2002/'03;482457
91;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2003/'04;499365
92;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2004/'05;512380
93;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2005/'06;515727
94;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2006/'07;514709
95;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2007/'08;516923
96;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2008/'09;526797
97;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2009/'10;550237
98;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2010/'11;563863
99;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2011/'12;573523
100;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2012/'13;564781
101;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2013/'14;585740
102;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2014/'15;593796
103;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2015/'16;590191
104;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2016/'17;598439
105;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2017/'18;613033
106;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2018/'19;626420
107;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2019/'20;642488
108;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2020/'21;681408
109;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Totaal opleidingsvorm;2021/'22;689838
110;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2000/'01;391390
111;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2001/'02;398900
112;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2002/'03;402457
113;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2003/'04;416687
114;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2004/'05;432459
115;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2005/'06;439824
116;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2006/'07;442402
117;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2007/'08;446730
118;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2008/'09;456808
119;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2009/'10;479281
120;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2010/'11;493499
121;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2011/'12;507114
122;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2012/'13;506600
123;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2013/'14;531450
124;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2014/'15;544301
125;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2015/'16;543010
126;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2016/'17;551548
127;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2017/'18;563996
128;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2018/'19;575086
129;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2019/'20;587298
130;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2020/'21;621118
131;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Voltijd;2021/'22;626245
132;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2000/'01;65473
133;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2001/'02;69939
134;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2002/'03;69550
135;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2003/'04;70902
136;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2004/'05;68588
137;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2005/'06;64594
138;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2006/'07;61128
139;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2007/'08;59162
140;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2008/'09;58636
141;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2009/'10;59512
142;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2010/'11;58562
143;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2011/'12;55127
144;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2012/'13;47760
145;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2013/'14;44643
146;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2014/'15;40768
147;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2015/'16;38774
148;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2016/'17;38688
149;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2017/'18;40647
150;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2018/'19;42382
151;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2019/'20;45526
152;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2020/'21;49638
153;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Deeltijd;2021/'22;52643
154;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2000/'01;7084
155;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2001/'02;9112
156;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2002/'03;10450
157;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2003/'04;11776
158;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2004/'05;11333
159;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2005/'06;11309
160;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2006/'07;11179
161;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2007/'08;11031
162;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2008/'09;11353
163;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2009/'10;11444
164;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2010/'11;11802
165;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2011/'12;11282
166;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2012/'13;10421
167;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2013/'14;9647
168;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2014/'15;8727
169;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2015/'16;8407
170;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2016/'17;8203
171;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2017/'18;8390
172;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2018/'19;8952
173;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2019/'20;9664
174;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2020/'21;10652
175;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Bachelor- en doctoraalopleidingen;Duaal;2021/'22;10950
176;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2000/'01;12750
177;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2001/'02;14193
178;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2002/'03;18244
179;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2003/'04;23548
180;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2004/'05;31489
181;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2005/'06;44655
182;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2006/'07;58222
183;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2007/'08;68489
184;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2008/'09;75304
185;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2009/'10;83903
186;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2010/'11;92843
187;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2011/'12;93671
188;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2012/'13;96341
189;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2013/'14;102451
190;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2014/'15;105776
191;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2015/'16;110927
192;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2016/'17;113674
193;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2017/'18;117113
194;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2018/'19;121421
195;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2019/'20;125089
196;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2020/'21;135863
197;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Totaal opleidingsvorm;2021/'22;142883
198;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2000/'01;5230
199;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2001/'02;5392
200;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2002/'03;9372
201;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2003/'04;13666
202;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2004/'05;20116
203;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2005/'06;31407
204;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2006/'07;43793
205;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2007/'08;53614
206;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2008/'09;59921
207;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2009/'10;66906
208;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2010/'11;75148
209;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2011/'12;78069
210;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2012/'13;82567
211;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2013/'14;88435
212;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2014/'15;91912
213;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2015/'16;97013
214;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2016/'17;100166
215;Totaal mannen en vrouwen;Totaal ;Hoger onderwijs;Master- en vervolgopleidingen;Voltijd;2017/'18;104125
