ID;SBI93;Perioden;Productie_1;GemiddeldeDagproductie_2;DagproductieSeizoengecorrigeerd_3;OntwikkelingProductie_4;OntwikkelingGemiddeldeDagproductie_5;OntwikkelingSeizoengecorDagproductie_6;KortetermijnOntwikkelingGemDag_7;KortetermijnOntwikkelingSeizGecor_8;TotaleOmzet_9;OmzetBinnenland_10;OmzetBuitenland_11;TotaleOrderontvangst_12;OrderontvangstBinnenland_13;OrderontvangstBuitenland_14
19;C-E: Nijverheid (geen bouwnijverheid);1996 maart;97.8;100.0;92.3;-0.2;5.1;1.3;;;;;;;;
20;C-E: Nijverheid (geen bouwnijverheid);1996 1e kwartaal;96.7;96.0;91.4;3.5;3.5;1.3;;;;;;;;
21;C-E: Nijverheid (geen bouwnijverheid);1996 april;86.9;87.7;90.3;5.7;4.0;-2.1;;;;;;;;
22;C-E: Nijverheid (geen bouwnijverheid);1996 mei;89.1;87.1;90.5;2.6;2.6;0.2;;;;;;;;
23;C-E: Nijverheid (geen bouwnijverheid);1996 juni;83.8;86.2;89.8;-1.3;2.7;-0.7;;;;;;;;
24;C-E: Nijverheid (geen bouwnijverheid);1996 2e kwartaal;86.6;87.0;90.2;2.3;3.1;-1.3;;;;;;;;
25;C-E: Nijverheid (geen bouwnijverheid);1996 juli;81.9;81.6;91.3;8.8;4.2;1.7;;;;;;;;
26;C-E: Nijverheid (geen bouwnijverheid);1996 augustus;79.5;78.8;91.0;0.2;2.1;-0.4;;;;;;;;
27;C-E: Nijverheid (geen bouwnijverheid);1996 september;88.3;89.3;91.5;1.9;2.5;0.5;;;;;;;;
28;C-E: Nijverheid (geen bouwnijverheid);1996 3e kwartaal;83.2;83.2;91.3;3.5;2.9;1.2;;;;;;;;
29;C-E: Nijverheid (geen bouwnijverheid);1996 oktober;98.8;96.5;90.8;4.9;1.6;-0.8;;;;;;;;
30;C-E: Nijverheid (geen bouwnijverheid);1996 november;96.7;97.5;89.7;-2.5;0.2;-1.1;;;;;;;;
31;C-E: Nijverheid (geen bouwnijverheid);1996 december;95.2;97.5;91.2;-0.7;-0.9;1.6;;;;;;;;
32;C-E: Nijverheid (geen bouwnijverheid);1996 4e kwartaal;96.9;97.2;90.6;0.5;0.3;-0.8;;;;;;;;
33;C-E: Nijverheid (geen bouwnijverheid);1996;90.9;90.9;90.9;2.4;2.4;2.4;;;;;;;;
34;C-E: Nijverheid (geen bouwnijverheid);1997 januari;99.3;96.9;91.2;1.6;0.4;0.0;;;;;;;;
35;C-E: Nijverheid (geen bouwnijverheid);1997 februari;88.4;89.2;88.6;-6.5;-2.6;-2.8;;;;;;;;
36;C-E: Nijverheid (geen bouwnijverheid);1997 maart;90.4;94.1;86.7;-7.5;-5.9;-2.2;;;;;;;;
37;C-E: Nijverheid (geen bouwnijverheid);1997 1e kwartaal;92.7;93.4;88.8;-4.1;-2.7;-1.9;;;;;;;;
38;C-E: Nijverheid (geen bouwnijverheid);1997 april;91.0;89.1;91.7;4.7;1.6;5.8;;;;;;;;
39;C-E: Nijverheid (geen bouwnijverheid);1997 mei;85.7;86.1;89.3;-3.9;-1.2;-2.6;;;;;;;;
40;C-E: Nijverheid (geen bouwnijverheid);1997 juni;85.5;86.2;90.0;2.0;0.1;0.8;;;;;;;;
41;C-E: Nijverheid (geen bouwnijverheid);1997 2e kwartaal;87.4;87.1;90.3;0.9;0.2;1.7;;;;;;;;
42;C-E: Nijverheid (geen bouwnijverheid);1997 juli;83.0;81.1;90.5;1.3;-0.6;0.6;;;;;;;;
43;C-E: Nijverheid (geen bouwnijverheid);1997 augustus;77.1;79.2;91.4;-3.0;0.5;0.9;;;;;;;;
44;C-E: Nijverheid (geen bouwnijverheid);1997 september;90.4;89.7;91.9;2.4;0.5;0.5;;;;;;;;
45;C-E: Nijverheid (geen bouwnijverheid);1997 3e kwartaal;83.5;83.3;91.3;0.3;0.1;1.0;;;;;;;;
46;C-E: Nijverheid (geen bouwnijverheid);1997 oktober;100.0;97.2;91.4;1.3;0.7;-0.5;;;;;;;;
47;C-E: Nijverheid (geen bouwnijverheid);1997 november;97.4;100.7;92.7;0.7;3.2;1.4;;;;;;;;
48;C-E: Nijverheid (geen bouwnijverheid);1997 december;96.7;95.4;89.4;1.6;-2.1;-3.6;;;;;;;;
49;C-E: Nijverheid (geen bouwnijverheid);1997 4e kwartaal;98.0;97.7;91.2;1.2;0.6;-0.1;;;;;;;;
50;C-E: Nijverheid (geen bouwnijverheid);1997;90.4;90.4;90.4;-0.5;-0.5;-0.5;;;;;;;;
51;C-E: Nijverheid (geen bouwnijverheid);1998 januari;97.5;97.8;92.1;-1.8;0.9;3.0;;;;;;;;
52;C-E: Nijverheid (geen bouwnijverheid);1998 februari;90.8;91.5;90.8;2.6;2.6;-1.3;;;;;;;;
53;C-E: Nijverheid (geen bouwnijverheid);1998 maart;98.3;99.1;91.2;8.7;5.3;0.4;;;;;;;;
54;C-E: Nijverheid (geen bouwnijverheid);1998 1e kwartaal;95.5;96.1;91.4;3.0;2.9;0.2;;;;;;;;
55;C-E: Nijverheid (geen bouwnijverheid);1998 april;90.8;89.5;92.2;-0.1;0.4;1.0;;;;;;;;
56;C-E: Nijverheid (geen bouwnijverheid);1998 mei;87.2;89.8;93.1;1.8;4.3;1.0;;;;;;;;
57;C-E: Nijverheid (geen bouwnijverheid);1998 juni;87.6;87.6;91.6;2.4;1.6;-1.6;;;;;;;;
58;C-E: Nijverheid (geen bouwnijverheid);1998 2e kwartaal;88.6;88.9;92.3;1.3;2.1;1.0;;;;;;;;
59;C-E: Nijverheid (geen bouwnijverheid);1998 juli;86.9;83.5;93.0;4.7;2.9;1.5;;;;;;;;
60;C-E: Nijverheid (geen bouwnijverheid);1998 augustus;76.7;79.6;91.9;-0.5;0.5;-1.2;;;;;;;;
61;C-E: Nijverheid (geen bouwnijverheid);1998 september;91.0;90.3;92.4;0.7;0.6;0.6;;;;;;;;
62;C-E: Nijverheid (geen bouwnijverheid);1998 3e kwartaal;84.9;84.4;92.4;1.6;1.3;0.2;;;;;;;;
63;C-E: Nijverheid (geen bouwnijverheid);1998 oktober;99.6;99.5;93.6;-0.4;2.3;1.3;;;;;;;;
64;C-E: Nijverheid (geen bouwnijverheid);1998 november;100.8;102.2;94.3;3.6;1.5;0.7;;;;;;;;
65;C-E: Nijverheid (geen bouwnijverheid);1998 december;98.1;95.1;89.4;1.5;-0.2;-5.2;;;;;;;;
66;C-E: Nijverheid (geen bouwnijverheid);1998 4e kwartaal;99.5;98.9;92.4;1.5;1.2;0.0;;;;;;;;
67;C-E: Nijverheid (geen bouwnijverheid);1998;92.1;92.1;92.1;1.9;1.9;1.9;;;;;;;;
68;C-E: Nijverheid (geen bouwnijverheid);1999 januari;95.9;98.8;93.1;-1.6;1.0;4.2;;;;;;;;
69;C-E: Nijverheid (geen bouwnijverheid);1999 februari;93.6;94.5;93.7;3.1;3.3;0.6;;;;;;;;
70;C-E: Nijverheid (geen bouwnijverheid);1999 maart;104.5;102.9;94.7;6.4;3.9;1.1;;;;;;;;
71;C-E: Nijverheid (geen bouwnijverheid);1999 1e kwartaal;98.0;98.7;93.8;2.6;2.7;1.5;;;;;;;;
72;C-E: Nijverheid (geen bouwnijverheid);1999 april;91.3;90.3;93.0;0.6;0.9;-1.8;;;;;;;;
73;C-E: Nijverheid (geen bouwnijverheid);1999 mei;86.3;89.6;92.9;-1.1;-0.2;-0.1;;;;;;;;
74;C-E: Nijverheid (geen bouwnijverheid);1999 juni;93.2;91.7;95.9;6.4;4.6;3.2;;;;;;;;
75;C-E: Nijverheid (geen bouwnijverheid);1999 2e kwartaal;90.3;90.5;93.9;1.9;1.8;0.1;;;;;;;;
76;C-E: Nijverheid (geen bouwnijverheid);1999 juli;86.6;86.1;95.7;-0.4;3.1;-0.2;;;;;;;;
77;C-E: Nijverheid (geen bouwnijverheid);1999 augustus;80.9;82.5;95.3;5.5;3.7;-0.4;;;;;;;;
78;C-E: Nijverheid (geen bouwnijverheid);1999 september;94.1;92.6;94.8;3.4;2.6;-0.5;;;;;;;;
79;C-E: Nijverheid (geen bouwnijverheid);1999 3e kwartaal;87.2;87.1;95.3;2.7;3.1;1.4;;;;;;;;
80;C-E: Nijverheid (geen bouwnijverheid);1999 oktober;98.7;101.2;95.4;-0.9;1.8;0.6;;;;;;;;
81;C-E: Nijverheid (geen bouwnijverheid);1999 november;105.6;105.3;97.2;4.8;3.0;1.8;;;;;;;;
82;C-E: Nijverheid (geen bouwnijverheid);1999 december;107.7;103.0;96.9;9.8;8.2;-0.3;;;;;;;;
83;C-E: Nijverheid (geen bouwnijverheid);1999 4e kwartaal;104.0;103.2;96.5;4.5;4.3;1.3;;;;;;;;
84;C-E: Nijverheid (geen bouwnijverheid);1999;94.9;94.9;94.9;3.0;3.0;3.0;;;;;;;;
85;C-E: Nijverheid (geen bouwnijverheid);2000 januari;101.4;103.8;98.0;5.7;5.1;1.1;;;;;;;;
86;C-E: Nijverheid (geen bouwnijverheid);2000 februari;102.7;100.1;98.9;9.8;5.9;0.9;;;;;;;;
87;C-E: Nijverheid (geen bouwnijverheid);2000 maart;111.1;108.0;99.2;6.2;4.9;0.3;;;;;;;;
88;C-E: Nijverheid (geen bouwnijverheid);2000 1e kwartaal;105.0;104.0;98.7;7.2;5.3;2.3;;;;;;;;
89;C-E: Nijverheid (geen bouwnijverheid);2000 april;94.2;96.8;99.6;3.1;7.2;0.4;;;;;;;;
90;C-E: Nijverheid (geen bouwnijverheid);2000 mei;101.8;97.5;101.0;18.0;8.8;1.5;;;;;;;;
91;C-E: Nijverheid (geen bouwnijverheid);2000 juni;94.4;95.5;99.8;1.3;4.2;-1.3;;;;;;;;
92;C-E: Nijverheid (geen bouwnijverheid);2000 2e kwartaal;96.8;96.6;100.1;7.3;6.7;1.5;;;;;;;;
93;C-E: Nijverheid (geen bouwnijverheid);2000 juli;88.1;91.4;101.5;1.8;6.2;1.7;;;;;;;;
94;C-E: Nijverheid (geen bouwnijverheid);2000 augustus;89.6;87.4;101.0;10.8;6.0;-0.4;;;;;;;;
95;C-E: Nijverheid (geen bouwnijverheid);2000 september;96.8;97.6;99.9;2.9;5.4;-1.2;;;;;;;;
96;C-E: Nijverheid (geen bouwnijverheid);2000 3e kwartaal;91.5;92.1;100.8;5.0;5.8;0.7;;;;;;;;
97;C-E: Nijverheid (geen bouwnijverheid);2000 oktober;106.1;107.3;101.2;7.6;6.0;1.3;;;;;;;;
98;C-E: Nijverheid (geen bouwnijverheid);2000 november;111.0;109.1;100.6;5.1;3.6;-0.6;;;;;;;;
99;C-E: Nijverheid (geen bouwnijverheid);2000 december;102.7;105.6;99.5;-4.7;2.5;-1.1;;;;;;;;
100;C-E: Nijverheid (geen bouwnijverheid);2000 4e kwartaal;106.6;107.3;100.4;2.5;4.0;-0.4;;;;;;;;
101;C-E: Nijverheid (geen bouwnijverheid);2000;100.0;100.0;100.0;5.4;5.4;5.4;;;;;;;;
102;C-E: Nijverheid (geen bouwnijverheid);2001 januari;107.8;106.1;100.4;6.3;2.2;0.9;;;;;;;;
103;C-E: Nijverheid (geen bouwnijverheid);2001 februari;101.7;102.2;100.7;-1.0;2.2;0.3;;;;;;;;
104;C-E: Nijverheid (geen bouwnijverheid);2001 maart;111.5;110.9;101.9;0.4;2.7;1.2;;;;;;;;
105;C-E: Nijverheid (geen bouwnijverheid);2001 1e kwartaal;107.0;106.4;101.0;1.9;2.4;0.6;;;;;;;;
106;C-E: Nijverheid (geen bouwnijverheid);2001 april;99.2;100.7;103.6;5.3;4.1;1.6;;;;;;;;
107;C-E: Nijverheid (geen bouwnijverheid);2001 mei;102.5;99.2;102.9;0.6;1.7;-0.7;;;;;;;;
108;C-E: Nijverheid (geen bouwnijverheid);2001 juni;95.8;96.8;101.0;1.4;1.4;-1.9;;;;;;;;
109;C-E: Nijverheid (geen bouwnijverheid);2001 2e kwartaal;99.2;98.9;102.5;2.4;2.4;1.5;;;;;;;;
110;C-E: Nijverheid (geen bouwnijverheid);2001 juli;89.5;91.3;101.3;1.6;-0.1;0.3;;;;;;;;
111;C-E: Nijverheid (geen bouwnijverheid);2001 augustus;90.6;87.0;100.6;1.1;-0.5;-0.7;;;;;;;;
112;C-E: Nijverheid (geen bouwnijverheid);2001 september;95.6;98.4;100.8;-1.3;0.8;0.2;;;;;;;;
113;C-E: Nijverheid (geen bouwnijverheid);2001 3e kwartaal;91.9;92.2;100.9;0.4;0.1;-1.6;;;;;;;;
114;C-E: Nijverheid (geen bouwnijverheid);2001 oktober;104.7;102.7;97.0;-1.4;-4.2;-3.7;;;;;;;;
115;C-E: Nijverheid (geen bouwnijverheid);2001 november;110.1;107.8;99.4;-0.8;-1.1;2.4;;;;;;;;
116;C-E: Nijverheid (geen bouwnijverheid);2001 december;103.4;108.9;102.7;0.7;3.1;3.3;;;;;;;;
117;C-E: Nijverheid (geen bouwnijverheid);2001 4e kwartaal;106.1;106.5;99.7;-0.5;-0.8;-1.2;;;;;;;;
118;C-E: Nijverheid (geen bouwnijverheid);2001;101.0;101.0;101.0;1.0;1.0;1.0;;;;;;;;
119;C-E: Nijverheid (geen bouwnijverheid);2002 januari;109.0;106.6;101.0;1.1;0.4;-1.6;;;;;;;;
120;C-E: Nijverheid (geen bouwnijverheid);2002 februari;100.8;101.3;99.4;-0.9;-0.9;-1.6;;;;;;;;
121;C-E: Nijverheid (geen bouwnijverheid);2002 maart;107.9;110.0;101.0;-3.2;-0.8;1.7;;;;;;;;
122;C-E: Nijverheid (geen bouwnijverheid);2002 1e kwartaal;105.9;106.0;100.5;-1.0;-0.4;0.8;;;;;;;;
123;C-E: Nijverheid (geen bouwnijverheid);2002 april;99.7;100.4;103.1;0.5;-0.3;2.1;;;;;;;;
124;C-E: Nijverheid (geen bouwnijverheid);2002 mei;101.2;98.5;102.2;-1.3;-0.7;-0.9;;;;;;;;
125;C-E: Nijverheid (geen bouwnijverheid);2002 juni;97.1;99.5;103.5;1.4;2.7;1.3;;;;;;;;
126;C-E: Nijverheid (geen bouwnijverheid);2002 2e kwartaal;99.3;99.4;102.9;0.2;0.5;2.4;;;;;;;;
127;C-E: Nijverheid (geen bouwnijverheid);2002 juli;93.7;92.9;103.1;4.7;1.8;-0.3;;;;;;;;
128;C-E: Nijverheid (geen bouwnijverheid);2002 augustus;89.3;88.2;102.0;-1.4;1.4;-1.1;;;;;;;;
129;C-E: Nijverheid (geen bouwnijverheid);2002 september;100.0;100.9;103.5;4.6;2.6;1.4;;;;;;;;
130;C-E: Nijverheid (geen bouwnijverheid);2002 3e kwartaal;94.4;94.0;102.9;2.7;2.0;0.0;;;;;;;;
131;C-E: Nijverheid (geen bouwnijverheid);2002 oktober;111.8;109.1;103.2;6.8;6.2;-0.3;;;;;;;;
132;C-E: Nijverheid (geen bouwnijverheid);2002 november;108.6;109.2;100.6;-1.3;1.3;-2.5;;;;;;;;
133;C-E: Nijverheid (geen bouwnijverheid);2002 december;104.3;106.4;100.4;0.9;-2.2;-0.2;;;;;;;;
134;C-E: Nijverheid (geen bouwnijverheid);2002 4e kwartaal;108.3;108.2;101.4;2.1;1.7;-1.5;;;;;;;;
135;C-E: Nijverheid (geen bouwnijverheid);2002;102.0;102.0;102.0;0.9;0.9;0.9;;;;;;;;
136;C-E: Nijverheid (geen bouwnijverheid);2003 januari;109.0;106.3;101.1;0.0;-0.3;0.7;;;;;;;;
137;C-E: Nijverheid (geen bouwnijverheid);2003 februari;106.0;106.9;104.6;5.2;5.5;3.5;;;;;;;;
138;C-E: Nijverheid (geen bouwnijverheid);2003 maart;106.1;109.1;100.3;-1.7;-0.8;-4.1;;;;;;;;
139;C-E: Nijverheid (geen bouwnijverheid);2003 1e kwartaal;107.0;107.4;102.0;1.1;1.4;0.6;;;;;;;;
140;C-E: Nijverheid (geen bouwnijverheid);2003 april;98.0;97.1;99.8;-1.7;-3.3;-0.5;;;;;;;;
141;C-E: Nijverheid (geen bouwnijverheid);2003 mei;95.6;94.9;98.6;-5.5;-3.7;-1.2;;;;;;;;
142;C-E: Nijverheid (geen bouwnijverheid);2003 juni;92.4;94.2;98.0;-4.8;-5.3;-0.6;;;;;;;;
143;C-E: Nijverheid (geen bouwnijverheid);2003 2e kwartaal;95.3;95.4;98.8;-4.0;-4.1;-3.1;;;;;;;;
144;C-E: Nijverheid (geen bouwnijverheid);2003 juli;90.2;88.5;98.4;-3.7;-4.7;0.4;;;;;;;;
145;C-E: Nijverheid (geen bouwnijverheid);2003 augustus;84.8;86.7;100.4;-5.1;-1.7;2.0;;;;;;;;
146;C-E: Nijverheid (geen bouwnijverheid);2003 september;99.2;98.5;101.2;-0.8;-2.4;0.7;;;;;;;;
147;C-E: Nijverheid (geen bouwnijverheid);2003 3e kwartaal;91.4;91.3;100.0;-3.1;-2.9;1.2;;;;;;;;
148;C-E: Nijverheid (geen bouwnijverheid);2003 oktober;111.6;108.5;102.9;-0.3;-0.6;1.7;;;;;;;;
149;C-E: Nijverheid (geen bouwnijverheid);2003 november;106.5;110.0;101.5;-2.0;0.8;-1.4;;;;;;;;
150;C-E: Nijverheid (geen bouwnijverheid);2003 december;106.6;105.1;99.2;2.2;-1.3;-2.3;;;;;;;;
151;C-E: Nijverheid (geen bouwnijverheid);2003 4e kwartaal;108.2;107.9;101.2;0.0;-0.3;1.2;;;;;;;;
152;C-E: Nijverheid (geen bouwnijverheid);2003;100.5;100.5;100.5;-1.4;-1.4;-1.4;;;;;;;;
153;C-E: Nijverheid (geen bouwnijverheid);2004 januari;108.0;108.9;103.6;-0.9;2.4;4.5;;;;;;;;
154;C-E: Nijverheid (geen bouwnijverheid);2004 februari;106.3;106.0;103.5;0.3;-0.8;-0.1;;;;;;;;
155;C-E: Nijverheid (geen bouwnijverheid);2004 maart;115.4;113.9;104.6;8.8;4.4;1.1;;;;;;;;
156;C-E: Nijverheid (geen bouwnijverheid);2004 1e kwartaal;109.9;109.6;103.9;2.7;2.0;2.7;;;;;;;;
157;C-E: Nijverheid (geen bouwnijverheid);2004 april;100.9;100.1;102.7;2.9;3.1;-1.8;;;;;;;;
158;C-E: Nijverheid (geen bouwnijverheid);2004 mei;96.1;100.0;104.1;0.6;5.4;1.3;;;;;;;;
159;C-E: Nijverheid (geen bouwnijverheid);2004 juni;102.8;101.4;105.2;11.3;7.6;1.1;;;;;;;;
160;C-E: Nijverheid (geen bouwnijverheid);2004 2e kwartaal;99.9;100.5;104.0;4.9;5.4;0.1;;;;;;;;
161;C-E: Nijverheid (geen bouwnijverheid);2004 juli;94.6;94.1;104.6;4.9;6.2;-0.6;;;;;;;;
162;C-E: Nijverheid (geen bouwnijverheid);2004 augustus;89.1;91.3;105.7;5.1;5.3;1.0;;;;;;;;
163;C-E: Nijverheid (geen bouwnijverheid);2004 september;104.5;103.6;106.3;5.4;5.2;0.6;;;;;;;;
164;C-E: Nijverheid (geen bouwnijverheid);2004 3e kwartaal;96.1;96.3;105.5;5.1;5.6;1.5;;;;;;;;
165;C-E: Nijverheid (geen bouwnijverheid);2004 oktober;107.6;110.9;105.2;-3.6;2.2;-1.0;;;;;;;;
166;C-E: Nijverheid (geen bouwnijverheid);2004 november;114.4;114.4;105.4;7.5;3.9;0.2;;;;;;;;
167;C-E: Nijverheid (geen bouwnijverheid);2004 december;115.9;111.0;104.5;8.7;5.6;-0.8;;;;;;;;
168;C-E: Nijverheid (geen bouwnijverheid);2004 4e kwartaal;112.6;112.1;105.1;4.1;3.9;-0.5;;;;;;;;
169;C-E: Nijverheid (geen bouwnijverheid);2004;104.6;104.6;104.6;4.1;4.1;4.1;;;;;;;;
170;C-E: Nijverheid (geen bouwnijverheid);2005 januari;106.3;108.7;104.0;-1.5;-0.1;-0.5;;;;;;;;
171;C-E: Nijverheid (geen bouwnijverheid);2005 februari;107.7;108.5;106.1;1.3;2.3;1.9;;;;;;;;
172;C-E: Nijverheid (geen bouwnijverheid);2005 maart;114.4;112.8;103.7;-0.8;-1.0;-2.2;;;;;;;;
173;C-E: Nijverheid (geen bouwnijverheid);2005 1e kwartaal;109.5;110.0;104.6;-0.4;0.4;-0.4;;;;;;;;
174;C-E: Nijverheid (geen bouwnijverheid);2005 april;103.5;102.4;105.5;2.6;2.3;1.7;;;;;;;;
175;C-E: Nijverheid (geen bouwnijverheid);2005 mei;99.4;100.9;105.7;3.4;0.9;0.2;;;;;;;;
176;C-E: Nijverheid (geen bouwnijverheid);2005 juni;105.2;102.8;106.1;2.3;1.3;0.4;;;;;;;;
177;C-E: Nijverheid (geen bouwnijverheid);2005 2e kwartaal;102.7;102.0;105.8;2.8;1.5;1.1;;;;;;;;
178;C-E: Nijverheid (geen bouwnijverheid);2005 juli;93.0;95.1;105.5;-1.7;1.1;-0.5;;;;;;;;
179;C-E: Nijverheid (geen bouwnijverheid);2005 augustus;91.5;90.5;104.6;2.7;-0.9;-0.9;;;;;;;;
180;C-E: Nijverheid (geen bouwnijverheid);2005 september;104.0;102.3;104.4;-0.5;-1.3;-0.2;;;;;;;;
181;C-E: Nijverheid (geen bouwnijverheid);2005 3e kwartaal;96.2;96.0;104.9;0.1;-0.4;-0.9;;;;;;;;
182;C-E: Nijverheid (geen bouwnijverheid);2005 oktober;105.4;108.7;103.0;-2.0;-1.9;-1.3;;;;;;;;
183;C-E: Nijverheid (geen bouwnijverheid);2005 november;116.1;114.7;105.2;1.5;0.3;2.1;;;;;;;;
184;C-E: Nijverheid (geen bouwnijverheid);2005 december;114.4;113.2;106.7;-1.3;2.0;1.4;;;;;;;;
185;C-E: Nijverheid (geen bouwnijverheid);2005 4e kwartaal;112.0;112.2;105.0;-0.6;0.1;0.1;;;;;;;;
186;C-E: Nijverheid (geen bouwnijverheid);2005;105.1;105.1;105.1;0.4;0.4;0.4;;;;;;;;
187;C-E: Nijverheid (geen bouwnijverheid);2006 januari;111.3;111.8;107.2;4.7;2.8;0.5;;;;;;;;
188;C-E: Nijverheid (geen bouwnijverheid);2006 februari;109.8;110.6;108.0;2.0;1.9;0.8;;;;;;;;
189;C-E: Nijverheid (geen bouwnijverheid);2006 maart;121.8;118.0;108.6;6.4;4.7;0.5;;;;;;;;
190;C-E: Nijverheid (geen bouwnijverheid);2006 1e kwartaal;114.3;113.4;107.9;4.4;3.1;2.8;;;;;;;;
191;C-E: Nijverheid (geen bouwnijverheid);2006 april;101.1;103.6;106.8;-2.3;1.2;-1.6;;;;;;;;
192;C-E: Nijverheid (geen bouwnijverheid);2006 mei;103.1;100.9;106.0;3.7;0.0;-0.8;;;;;;;;
193;C-E: Nijverheid (geen bouwnijverheid);2006 juni;106.0;104.6;107.8;0.7;1.8;1.7;;;;;;;;
194;C-E: Nijverheid (geen bouwnijverheid);2006 2e kwartaal;103.4;103.0;106.9;0.7;1.0;-1.0;;;;;;;;
195;C-E: Nijverheid (geen bouwnijverheid);2006 juli;92.6;96.2;106.8;-0.4;1.2;-0.9;;;;;;;;
196;C-E: Nijverheid (geen bouwnijverheid);2006 augustus;93.8;91.2;105.5;2.5;0.8;-1.3;;;;;;;;
197;C-E: Nijverheid (geen bouwnijverheid);2006 september;101.8;102.4;104.5;-2.1;0.1;-0.9;;;;;;;;
198;C-E: Nijverheid (geen bouwnijverheid);2006 3e kwartaal;96.1;96.6;105.6;-0.1;0.7;-1.2;;;;;;;;
199;C-E: Nijverheid (geen bouwnijverheid);2006 oktober;108.6;109.9;104.3;3.0;1.1;-0.2;;;;;;;;
200;C-E: Nijverheid (geen bouwnijverheid);2006 november;117.0;114.8;105.2;0.8;0.1;0.9;;;;;;;;
201;C-E: Nijverheid (geen bouwnijverheid);2006 december;111.4;114.1;107.4;-2.6;0.8;2.1;;;;;;;;
202;C-E: Nijverheid (geen bouwnijverheid);2006 4e kwartaal;112.3;112.9;105.6;0.3;0.6;0.0;;;;;;;;
203;C-E: Nijverheid (geen bouwnijverheid);2006;106.5;106.5;106.5;1.4;1.4;1.4;;;;;;;;
204;C-E: Nijverheid (geen bouwnijverheid);2007 januari;108.6;107.1;102.9;-2.5;-4.2;-4.2;;;;;;;;
205;C-E: Nijverheid (geen bouwnijverheid);2007 februari;107.1;107.5;105.0;-2.5;-2.7;2.0;;;;;;;;
206;C-E: Nijverheid (geen bouwnijverheid);2007 maart;114.0;113.1;103.9;-6.4;-4.2;-1.0;;;;;;;;
207;C-E: Nijverheid (geen bouwnijverheid);2007 1e kwartaal;109.9;109.2;103.9;-3.9;-3.7;-1.6;;;;;;;;
208;C-E: Nijverheid (geen bouwnijverheid);2007 april;99.8;101.3;104.6;-1.3;-2.2;0.7;;;;;;;;
209;C-E: Nijverheid (geen bouwnijverheid);2007 mei;103.4;101.3;106.6;0.3;0.4;1.8;;;;;;;;
210;C-E: Nijverheid (geen bouwnijverheid);2007 juni;106.7;106.6;109.4;0.7;1.9;2.6;;;;;;;;
211;C-E: Nijverheid (geen bouwnijverheid);2007 2e kwartaal;103.3;103.1;106.8;-0.1;0.0;2.8;;;;;;;;
212;C-E: Nijverheid (geen bouwnijverheid);2007 juli;97.0;98.9;109.9;4.7;2.7;0.5;;;;;;;;
