ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
117;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2015;92989
118;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2016;93824
119;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2017;97597
120;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2018;101804
121;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2019;107194
122;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2020;117189
123;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2021;126448
124;Total financ schemes health,social care;Total revenues care financing schemes;Total health, social care and welfare;2022;130155
125;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;1998;29954
126;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;1999;33798
127;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2000;36222
128;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2001;36949
129;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2002;39840
130;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2003;46997
131;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2004;49076
132;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2005;50047
133;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2006;51529
134;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2007;55090
135;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2008;60485
136;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2009;59434
137;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2010;62403
138;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2011;67525
139;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2012;69909
140;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2013;73425
141;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2014;69542
142;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2015;71988
143;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2016;72338
144;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2017;75403
145;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2018;78481
146;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2019;82566
147;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2020;90346
148;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2021;98550
149;Total financ schemes health,social care;Total revenues care financing schemes;Total current expenditure on healthcare;2022;99462
150;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;1998;3136
151;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;1999;3635
152;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2000;3772
153;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2001;3631
154;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2002;4089
155;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2003;5609
156;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2004;6153
157;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2005;6393
158;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2006;6122
159;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2007;6563
160;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2008;6143
161;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2009;6616
162;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2010;7400
163;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2011;7872
164;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2012;7645
165;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2013;8087
166;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2014;7390
167;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2015;9497
168;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2016;9074
169;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2017;9369
170;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2018;9897
171;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2019;10196
172;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2020;11285
173;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2021;11476
174;Total financ schemes health,social care;Total revenues care financing schemes;Total health related expenditure;2022;12073
175;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;1998;5294
176;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;1999;6023
177;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2000;6688
178;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2001;7552
179;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2002;8257
180;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2003;8950
181;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2004;8970
182;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2005;9045
183;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2006;9068
184;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2007;9991
185;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2008;11065
186;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2009;12228
187;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2010;12602
188;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2011;13023
189;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2012;12875
190;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2013;12549
191;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2014;12226
192;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2015;11504
193;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2016;12411
194;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2017;12825
195;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2018;13428
196;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2019;14433
197;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2020;15557
198;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2021;16423
199;Total financ schemes health,social care;Total revenues care financing schemes;Other goods and services;2022;18620
200;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;1998;9076
201;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;1999;9825
202;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2000;10424
203;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2001;13150
204;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2002;14583
205;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2003;16250
206;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2004;17546
207;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2005;18047
208;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2006;19488
209;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2007;22757
210;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2008;25201
211;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2009;27151
212;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2010;28208
213;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2011;29430
214;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2012;28776
215;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2013;27128
216;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2014;25721
217;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2015;30674
218;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2016;31115
219;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2017;31226
220;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2018;32628
221;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2019;36045
222;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2020;46538
223;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2021;51917
224;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health, social care and welfare;2022;51441
225;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;1998;4937
226;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;1999;5126
227;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2000;5390
228;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2001;6972
229;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2002;7956
230;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2003;8908
231;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2004;10084
232;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2005;10091
233;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2006;11439
234;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2007;12147
235;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2008;13551
236;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2009;14186
237;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2010;14795
238;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2011;16009
239;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2012;16048
240;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2013;16111
241;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2014;14839
242;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2015;16929
243;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2016;16723
244;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2017;16334
245;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2018;16901
246;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2019;18985
247;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2020;26940
248;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2021;31842
249;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total current expenditure on healthcare;2022;29684
250;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;1998;147
251;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;1999;188
252;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2000;146
253;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2001;627
254;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2002;843
255;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2003;1305
256;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2004;1609
257;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2005;1671
258;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2006;1661
259;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2007;2360
260;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2008;2388
261;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2009;2647
262;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2010;2881
263;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2011;3040
264;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2012;2945
265;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2013;2506
266;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2014;2545
267;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2015;5557
268;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2016;5403
269;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2017;5604
270;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2018;5995
271;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2019;6617
272;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2020;7808
273;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2021;7724
274;Total financ schemes health,social care;FS.1 Transfers from government domest...;Total health related expenditure;2022;7926
275;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;1998;3992
276;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;1999;4510
277;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2000;4888
278;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2001;5551
279;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2002;5784
280;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2003;6037
281;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2004;5853
282;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2005;6285
283;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2006;6389
284;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2007;8249
285;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2008;9263
286;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2009;10318
287;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2010;10532
288;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2011;10382
289;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2012;9783
290;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2013;8511
291;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2014;8337
292;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2015;8189
293;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2016;8989
294;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2017;9288
295;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2018;9732
296;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2019;10443
297;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2020;11791
298;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2021;12351
299;Total financ schemes health,social care;FS.1 Transfers from government domest...;Other goods and services;2022;13832
300;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;1998;5481
301;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;1999;6132
302;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2000;6604
303;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2001;7516
304;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2002;8060
305;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2003;8380
306;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2004;8136
307;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2005;8934
308;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2006;9327
309;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2007;12519
310;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2008;13639
311;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2009;14974
312;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2010;15393
313;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2011;15260
314;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2012;14674
315;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2013;13078
316;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2014;12944
317;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2015;17159
318;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2016;17935
319;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2017;18478
320;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2018;19647
321;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2019;21082
322;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2020;27366
323;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2021;30357
324;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total health, social care and welfare;2022;28007
325;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;1998;1450
326;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;1999;1565
327;Total financ schemes health,social care;FS.1.1  Internal transfers and grants;Total current expenditure on healthcare;2000;1656
