ID;Perioden;TypeEffectEmissie_1;Emittent_2;TypeUitgifte_3;Inschrijvingsdatum_4;Stortingsdatum_5;GemiddeldeLooptijdObligaties_6;RentevergoedingObligaties_7;KoersVanUitgifteObligaties_8;KoersVanUitgifteAandelen_9;NominaalBedragEmissie_10;ValutaEmissie_11;EmissieRendementObligaties_12;EmissieBedrag_13
42;2001 maart 20-01;"Obligatie; Overige Obligaties                          ";NIB Capital Bank                        ;emissie             ;15 maart            ;20 maart            ;5.0;0.0;100.0;;5.0;EUR  ;;5
43;2001 maart 20-02;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;1 maart             ;20 maart            ;2.0;13.25;102.0;;50.0;EUR  ;;51
44;2001 maart 21-01;"Obligatie; Reverse Convertible Bonds                   ";Fortis Bank Nederland                   ;emissie             ;19 maart            ;21 maart            ;2.0;10.5;102.0;;50.0;EUR  ;;52
45;2001 maart 29-01;Aandelen                                               ;Postbank Duurzaam Aandelenfonds         ;emissie             ;5 maart             ;29 maart            ;;;;25.0;;     ;;8
46;2001 maart 30-01;Aandelen                                               ;Buhrmann                                ;emissie             ;13 maart            ;30 maart            ;;;;25.0;;     ;;600
47;2001 april 02-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;15 maart            ;2 april             ;2.0;10.25;102.0;;50.0;EUR  ;;52
48;2001 april 02-02;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;12 maart            ;2 april             ;2.0;10.5;102.0;;50.0;EUR  ;;52
49;2001 april 05-01;Aandelen                                               ;ING Bank Europe Growth Fund             ;emissie             ;16 maart            ;5 april             ;;;;25.0;;     ;;8
50;2001 april 05-02;Aandelen                                               ;ING Bank Global Growth Fund             ;emissie             ;16 maart            ;5 april             ;;;;25.0;;     ;;6
51;2001 april 05-03;Aandelen                                               ;ING Bank North America Growth Fund      ;emissie             ;16 maart            ;5 april             ;;;;25.0;;     ;;5
52;2001 april 09-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Agaathbank                     ;emissie             ;6 april             ;9 april             ;1.3;10.13;91.0;;100.0;EUR  ;;91
53;2001 april 12-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;9 april             ;12 april            ;10.2;5.0;100.87;;2515.0;EUR  ;4.88;2515
54;2001 april 17-01;"Obligatie; Overige Obligaties                          ";ABN AMRO Bank                           ;emissie             ;19 maart            ;17 april            ;5.0;0.0;112.0;;200.0;EUR  ;;224
55;2001 april 19-01;"Obligatie; Euro Obligaties                             ";Nederlandse Waterschapsbank             ;emissie             ;17 april            ;19 april            ;10.0;5.13;100.0;;1000.0;EUR  ;;1000
56;2001 april 19-02;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;12 april            ;19 april            ;1.5;14.0;67.0;;15.0;EUR  ;;10
57;2001 april 19-03;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;12 april            ;19 april            ;1.8;11.0;93.0;;25.0;EUR  ;;23
58;2001 april 19-04;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;12 april            ;19 april            ;1.3;9.75;103.0;;50.0;EUR  ;;51
59;2001 april 23-01;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;2 april             ;23 april            ;2.0;10.0;102.0;;25.0;EUR  ;;26
60;2001 april 24-01;"Obligatie; Reverse Convertible Bonds                   ";Fortis Bank Nederland                   ;emissie             ;19 maart            ;24 april            ;2.0;10.0;102.0;;25.0;EUR  ;;26
61;2001 april 25-01;"Obligatie; Reverse Convertible Bonds                   ";Fortis Bank Nederland                   ;emissie             ;2 april             ;25 april            ;2.0;10.25;102.0;;25.0;EUR  ;;26
62;2001 april 30-01;"Obligatie; Eeuwigdurend achtergestelde obligaties      ";ABN AMRO Bank                           ;emissie             ;19 april            ;30 april            ;;6.5;100.5;;350.0;EUR  ;;352
63;2001 mei 02-01;"Obligatie; Euro Obligaties                             ";Rabobank Nederland                      ;emissie             ;27 april            ;2 mei               ;4.0;4.75;101.55;;300.0;EUR  ;4.32;305
64;2001 mei 02-02;"Obligatie; Asset Backed Securities                     ";Dutch  MBS 01-1                         ;emissie             ;2 mei               ;2 mei               ;72.0;7.82;100.0;;2.0;EUR  ;7.82;2
65;2001 mei 02-03;"Obligatie; Asset Backed Securities                     ";Dutch  MBS 01-1                         ;emissie             ;2 mei               ;2 mei               ;72.0;6.17;100.0;;8.0;EUR  ;6.17;8
66;2001 mei 02-04;"Obligatie; Asset Backed Securities                     ";Dutch  MBS 01-1                         ;emissie             ;2 mei               ;2 mei               ;72.0;5.47;100.0;;20.0;EUR  ;5.47;20
67;2001 mei 02-05;"Obligatie; Asset Backed Securities                     ";Dutch  MBS 01-1                         ;emissie             ;2 mei               ;2 mei               ;72.0;5.06;100.0;;718.0;EUR  ;5.06;718
68;2001 mei 02-06;"Obligatie; Reverse Convertible Bonds                   ";Fortis Bank Nederland (Holding)         ;emissie             ;17 april            ;2 mei               ;2.0;10.0;102.0;;25.0;EUR  ;;26
69;2001 mei 02-07;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;18 april            ;2 mei               ;2.0;10.25;102.0;;25.0;EUR  ;;26
70;2001 mei 02-08;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;18 april            ;2 mei               ;2.0;10.0;102.0;;25.0;EUR  ;;26
71;2001 mei 02-09;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;18 april            ;2 mei               ;2.0;10.75;102.0;;25.0;EUR  ;;26
72;2001 mei 02-10;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;18 april            ;2 mei               ;2.0;10.25;102.0;;25.0;EUR  ;;26
73;2001 mei 02-11;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;18 april            ;2 mei               ;2.0;11.25;102.0;;25.0;EUR  ;;26
74;2001 mei 02-12;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Holding                        ;emissie             ;3 april             ;2 mei               ;2.0;10.5;102.0;;50.0;EUR  ;;51
75;2001 mei 03-01;"Obligatie; Euro Obligaties                             ";ING Groep                               ;emissie             ;18 april            ;3 mei               ;5.0;5.0;101.0;;1000.0;EUR  ;4.77;1010
76;2001 mei 07-01;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;17 april            ;7 mei               ;2.0;12.25;102.0;;25.0;EUR  ;;26
77;2001 mei 11-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;8 mei               ;11 mei              ;2.7;5.75;102.93;;1785.0;EUR  ;4.55;1837
78;2001 mei 14-01;"Obligatie; Eeuwigdurend achtergestelde obligaties      ";Wolters-Kluwer                          ;emissie             ;17 april            ;14 mei              ;;6.88;100.0;;225.0;EUR  ;;225
79;2001 mei 16-01;"Obligatie; Euro Obligaties                             ";ABN AMRO Bouwfonds Ned. Gemeenten       ;emissie             ;14 mei              ;16 mei              ;10.0;5.63;101.6;;500.0;EUR  ;;508
80;2001 mei 16-02;"Obligatie; Euro Obligaties                             ";Kon. Philips Electronics                ;emissie             ;14 mei              ;16 mei              ;10.0;6.13;99.74;;750.0;EUR  ;;748
81;2001 mei 16-03;"Obligatie; Euro Obligaties                             ";Kon. Philips Electronics                ;emissie             ;14 mei              ;16 mei              ;10.0;5.75;99.97;;1500.0;EUR  ;;1500
82;2001 mei 18-01;"Obligatie; Converteerbare Obligaties                   ";VNU                                     ;emissie             ;15 mei              ;18 mei              ;5.0;1.75;100.0;;1150.0;EUR  ;;1150
83;2001 mei 18-02;"Obligatie; Overige Obligaties                          ";Achmea Hypotheekbank                    ;emissie             ;16 mei              ;18 mei              ;5.0;;100.0;;500.0;EUR  ;;500
84;2001 mei 21-01;"Obligatie; Euro Obligaties                             ";Achmea Hypotheekbank                    ;emissie             ;17 mei              ;21 mei              ;7.0;5.38;99.61;;500.0;EUR  ;5.44;498
85;2001 mei 23-01;Aandelen                                               ;Vedior                                  ;emissie             ;7 mei               ;23 mei              ;;;;13.0;;     ;;702
86;2001 mei 28-01;"Obligatie; Euro Obligaties                             ";SNS Reaal Groep                         ;emissie             ;28 mei              ;28 mei              ;3.0;5.0;99.68;;500.0;EUR  ;5.12;498
87;2001 mei 30-01;"Obligatie; Reverse Convertible Bonds                   ";Fortis Bank Nederland                   ;emissie             ;7 mei               ;30 mei              ;2.0;10.0;102.0;;25.0;EUR  ;;26
88;2001 mei 30-02;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;10 mei              ;30 mei              ;2.0;11.75;102.0;;50.0;EUR  ;;51
89;2001 juni 05-01;"Obligatie; Euro Obligaties                             ";Luchthaven Schiphol                     ;emissie             ;5 juni              ;5 juni              ;1.0;4.5;100.0;;100.0;EUR  ;4.58;100
90;2001 juni 05-02;"Obligatie; Floating Rate Notes                         ";Luchthaven Schiphol                     ;emissie             ;1 juni              ;6 juni              ;2.0;4.5;99.93;;100.0;EUR  ;;100
91;2001 juni 05-03;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;14 mei              ;5 juni              ;2.0;10.0;102.0;;25.0;EUR  ;;26
92;2001 juni 07-01;"Obligatie; Euro Obligaties                             ";Unilever                                ;emissie             ;5 juni              ;7 juni              ;3.0;4.75;99.71;;1000.0;EUR  ;;997
93;2001 juni 07-02;"Obligatie; Euro Obligaties                             ";Unilever                                ;emissie             ;5 juni              ;7 juni              ;5.0;5.13;99.85;;1000.0;EUR  ;;998
94;2001 juni 08-01;"Obligatie; Eeuwigdurend achtergestelde obligaties      ";Fortis Finance                          ;emissie             ;4 mei               ;8 juni              ;;6.63;100.0;;450.0;EUR  ;;450
95;2001 juni 11-01;"Obligatie; Knock-in Reverse Convertible Notes          ";ABN AMRO Bank                           ;emissie             ;28 mei              ;11 juni             ;2.0;20.0;101.0;;25.0;EUR  ;;25
96;2001 juni 11-02;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;28 mei              ;11 juni             ;2.0;10.0;101.0;;25.0;EUR  ;;25
97;2001 juni 15-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;12 juni             ;15 juni             ;10.3;5.0;98.39;;2025.0;EUR  ;5.2;1992
98;2001 juni 20-01;"Obligatie; Knock-in Reverse Convertible Notes          ";Fortis Bank Nederland                   ;emissie             ;5 juni              ;20 juni             ;2.0;13.5;102.0;;25.0;EUR  ;;26
99;2001 juni 21-01;"Obligatie; Overige Obligaties                          ";ING Verzekeringen                       ;emissie             ;19 juni             ;21 juni             ;20.0;6.25;99.53;;1250.0;EUR  ;;1244
100;2001 juni 22-01;"Obligatie; Floating Rate Notes                         ";WUH                                     ;emissie             ;19 juni             ;22 juni             ;10.0;4.76;100.0;;15.0;EUR  ;;15
101;2001 juni 25-01;"Obligatie; Mortgage Backed Notes                       ";Delphinus 2001-1                        ;emissie             ;25 juni             ;25 juni             ;65.0;8.43;100.0;;5.0;EUR  ;;5
102;2001 juni 25-02;"Obligatie; Mortgage Backed Notes                       ";Delphinus 2001-1                        ;emissie             ;25 juni             ;25 juni             ;65.0;6.75;100.0;;12.0;EUR  ;;12
103;2001 juni 25-03;"Obligatie; Mortgage Backed Notes                       ";Delphinus 2001-1                        ;emissie             ;25 juni             ;25 juni             ;65.0;6.13;100.0;;41.0;EUR  ;;41
104;2001 juni 25-04;"Obligatie; Mortgage Backed Notes                       ";Delphinus 2001-1                        ;emissie             ;25 juni             ;25 juni             ;65.0;5.72;100.0;;200.0;EUR  ;;200
105;2001 juni 25-05;"Obligatie; Mortgage Backed Notes                       ";Delphinus 2001-1                        ;emissie             ;25 juni             ;25 juni             ;65.0;4.7;100.0;;703.0;EUR  ;;703
106;2001 juni 28-01;"Obligatie; Mortgage Backed Notes                       ";Hermes III                              ;emissie             ;26 juni             ;28 juni             ;32.0;5.69;100.0;;19.0;EUR  ;;19
107;2001 juni 28-02;"Obligatie; Mortgage Backed Notes                       ";Hermes III                              ;emissie             ;26 juni             ;28 juni             ;32.0;5.04;100.0;;50.0;EUR  ;;50
108;2001 juni 28-03;"Obligatie; Mortgage Backed Notes                       ";Hermes III                              ;emissie             ;26 juni             ;28 juni             ;32.0;4.63;100.0;;832.0;EUR  ;;832
109;2001 juni 28-04;"Obligatie; Euro Obligaties                             ";ING Bank                                ;emissie             ;28 juni             ;28 juni             ;9.6;5.88;101.4;;250.0;EUR  ;;254
110;2001 juni 29-01;"Obligatie; Floating Rate Notes                         ";Rabobank Nederland                      ;emissie             ;11 juni             ;29 juni             ;6.0;4.43;100.0;;10.0;EUR  ;;10
111;2001 juli 02-01;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;11 juni             ;2 juli              ;2.0;9.75;102.0;;50.0;EUR  ;;51
112;2001 juli 02-02;"Obligatie; Knock-in Reverse Convertible Notes          ";Rabo Securities                         ;emissie             ;13 juni             ;2juli               ;2.0;15.0;102.0;;25.0;EUR  ;;26
113;2001 juli 02-03;"Obligatie; Knock-in Reverse Convertible Notes          ";Rabo Securities                         ;emissie             ;13 juni             ;2juli               ;2.0;10.0;102.0;;25.0;EUR  ;;26
114;2001 juli 02-04;"Obligatie; Knock-in Reverse Convertible Notes          ";Rabo Securities                         ;emissie             ;13 juni             ;2juli               ;2.0;8.5;102.0;;25.0;EUR  ;;26
115;2001 juli 02-05;"Obligatie; Knock-in Reverse Convertible Notes          ";Rabo Securities                         ;emissie             ;13 juni             ;2juli               ;2.0;14.0;102.0;;25.0;EUR  ;;26
116;2001 juli 02-06;"Obligatie; Knock-in Reverse Convertible Notes          ";Rabo Securities                         ;emissie             ;13 juni             ;2juli               ;2.0;14.0;102.0;;25.0;EUR  ;;26
117;2001 juli 02-07;"Obligatie; Knock-out Reverse Convertible Notes         ";ABN AMRO Bank                           ;emissie             ;14 juni             ;2 juli              ;2.0;10.0;102.0;;50.0;EUR  ;;51
118;2001 juli 04-01;Aandelen                                               ;ABN AMRO Funds Model Fund 1             ;emissie             ;5 juni              ;4 juli              ;;;;50.0;;     ;;10
119;2001 juli 04-02;Aandelen                                               ;ABN AMRO Funds Model Fund 2             ;emissie             ;5 juni              ;4 juli              ;;;;50.0;;     ;;19
120;2001 juli 04-03;Aandelen                                               ;ABN AMRO Funds Model Fund 3             ;emissie             ;5 juni              ;4 juli              ;;;;50.0;;     ;;43
121;2001 juli 04-04;Aandelen                                               ;ABN AMRO Funds Model Fund 4             ;emissie             ;5 juni              ;4 juli              ;;;;50.0;;     ;;43
122;2001 juli 04-05;Aandelen                                               ;ABN AMRO Funds Model Fund 5             ;emissie             ;5 juni              ;4 juli              ;;;;50.0;;     ;;17
123;2001 juli 04-06;Aandelen                                               ;ABN AMRO Funds Model Fund 6             ;emissie             ;5 juni              ;4 juli              ;;;;50.0;;     ;;8
124;2001 juli 05-01;Aandelen                                               ;ASN Milieufonds                         ;emissie             ;5 juni              ;5 juli              ;;;;50.0;;     ;;6
125;2001 juli 10-01;Aandelen                                               ;Ducatus                                 ;emissie             ;2 juli              ;10 juli             ;;;;50.0;;     ;;155
126;2001 juli 16-01;"Obligatie; Reverse Convertible Bonds                   ";ING Bank                                ;emissie             ;25 juni             ;16 juli             ;2.0;11.0;102.0;;25.0;EUR  ;;26
127;2001 juli 18-01;"Obligatie; Knock-in Reverse Convertible Notes          ";Fortis Bank Nederland                   ;emissie             ;2 juli              ;18 juli             ;2.0;11.0;102.0;;25.0;EUR  ;;26
128;2001 juli 18-02;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;2 juli              ;18 juli             ;1.0;12.75;101.0;;25.0;EUR  ;;25
129;2001 juli 19-01;"Obligatie; Mortgage Backed Notes                       ";ARENA 2001-1                            ;emissie             ;19 juli             ;19 juli             ;52.0;5.78;100.0;;5.0;EUR  ;;5
130;2001 juli 19-02;"Obligatie; Mortgage Backed Notes                       ";ARENA 2001-1                            ;emissie             ;19 juli             ;19 juli             ;52.0;6.48;99.97;;21.0;EUR  ;;21
131;2001 juli 19-03;"Obligatie; Mortgage Backed Notes                       ";ARENA 2001-1                            ;emissie             ;19 juli             ;19 juli             ;52.0;5.78;99.97;;32.0;EUR  ;;32
132;2001 juli 19-04;"Obligatie; Mortgage Backed Notes                       ";ARENA 2001-1                            ;emissie             ;19 juli             ;19 juli             ;52.0;5.46;99.97;;427.0;EUR  ;;427
133;2001 juli 19-05;"Obligatie; Mortgage Backed Notes                       ";ARENA 2001-1                            ;emissie             ;19 juli             ;19 juli             ;52.0;4.72;100.0;;520.0;EUR  ;;520
134;2001 juli 19-06;"Obligatie; Mortgage Backed Notes                       ";Dutch MBS IX                            ;emissie             ;19 juli             ;19 juli             ;76.0;8.38;99.85;;11.0;EUR  ;;11
135;2001 juli 19-07;"Obligatie; Mortgage Backed Notes                       ";Dutch MBS IX                            ;emissie             ;19 juli             ;19 juli             ;76.0;5.82;100.0;;19.0;EUR  ;;19
136;2001 juli 19-08;"Obligatie; Mortgage Backed Notes                       ";Dutch MBS IX                            ;emissie             ;19 juli             ;19 juli             ;76.0;5.12;100.0;;48.0;EUR  ;;48
137;2001 juli 19-09;"Obligatie; Mortgage Backed Notes                       ";Dutch MBS IX                            ;emissie             ;19 juli             ;19 juli             ;76.0;4.77;100.0;;814.0;EUR  ;;814
138;2001 juli 27-01;Aandelen                                               ;Robeco Private Equity                   ;emissie             ;23 juni             ;27 juli             ;;;;100.0;;     ;;155
139;2001 juli 30-01;"Obligatie; Euro Obligaties                             ";Koninklijke Philips Electronics         ;emissie             ;30 juli             ;30 juli             ;3.0;5.13;100.0;;1000.0;EUR  ;;1000
140;2001 juli 30-02;"Obligatie; Floating Rate Notes                         ";Koninklijke Philips Electronics         ;emissie             ;30 juli             ;30 juli             ;3.0;4.98;100.0;;1000.0;EUR  ;;1000
141;2001 juli 13-01;"Obligatie; Euro Obligaties                             ";Staat der Nederlanden                   ;emissie             ;10 juli             ;13 juli             ;10.0;5.0;98.0;;2505.0;EUR  ;5.26;2478
142;2001 juli 09-01;Aandelen                                               ;Fugro                                   ;emissie             ;2 juli              ;9 juli              ;;;;66.85;;     ;;84
143;2001 augustus 01-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;16 juli             ;1 augustus          ;1.0;10.0;101.0;;25.0;EUR  ;;26
144;2001 augustus 03-01;"Obligatie; Overige Obligaties                          ";Rabobank Nederland                      ;emissie             ;7 juli              ;3 augustus          ;8.0;0.0;102.5;;100.0;EUR  ;;103
145;2001 augustus 22-01;"Obligatie; Knock-in Reverse Convertible Notes          ";Fortis Bank Nederland                   ;emissie             ;6 augustus          ;22 augustus         ;2.0;11.0;102.0;;25.0;EUR  ;;26
146;2001 augustus 28-01;"Obligatie; Euro Obligaties                             ";BNG                                     ;emissie             ;24 augustus         ;28 augustus         ;4.5;4.75;100.9;;500.0;EUR  ;4.52;505
147;2001 augustus 29-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;2 augustus          ;29 augustus         ;2.0;10.0;102.0;;64.0;EUR  ;;65
148;2001 september 04-01;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;24 augustus         ;4 september         ;2.0;11.0;101.0;;25.0;EUR  ;;25
149;2001 september 04-02;"Obligatie; Reverse Convertible Bonds                   ";Rabo Securities                         ;emissie             ;24 augustus         ;4 september         ;2.0;12.5;101.0;;25.0;EUR  ;;25
150;2001 september 06-01;"Obligatie; Reverse Convertible Bonds                   ";ABN AMRO Bank                           ;emissie             ;3 september         ;6 september         ;2.0;13.38;100.0;;25.0;EUR  ;;25
151;2001 september 07-01;"Obligatie; Eeuwigdurend achtergestelde obligaties      ";Fortis Finance                          ;emissie             ;10 augustus         ;7 september         ;;6.63;101.75;;260.0;EUR  ;;265
