ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;PersonenautoSTotaal_5;PersonenautoSJongerDan6Jaar_6;PersonenautoS6JaarEnOuder_7;PersonenautoSBrandstofBenzine_8;PersonenautoSOverigeBrandstof_9;PersonenautoSPerHuishouden_10;PersonenautoSNaarOppervlakte_11;MotorfietsenVanParticulieren_12;VoertuigMetBromfietskentekenVanPart_13
34;Wijk 11 Annerveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168011  ;1;255;65;190;195;60;1.5;79.0;45;20
35;Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801100;1;255;65;190;195;60;1.5;435.0;45;20
36;Verspreide huizen Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801109;1;0;0;0;0;0;;;0;0
37;Wijk 12 Eexterveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168012  ;1;145;25;120;105;40;1.2;52.0;25;20
38;Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801200;1;135;25;110;95;35;1.2;222.0;25;20
39;Verspreide huizen Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801209;1;10;0;10;10;0;;;0;0
40;Wijk 13 Eexterzandvoort;Aa en Hunze                             ;Wijk      ;WK168013  ;1;85;25;60;60;20;1.4;13.0;5;5
41;Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801300;1;70;20;55;55;20;;;5;5
42;Verspreide huizen Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801309;1;10;5;5;10;5;;;0;0
43;Wijk 14 Gasselte;Aa en Hunze                             ;Wijk      ;WK168014  ;1;1065;295;770;805;260;1.2;55.0;110;95
44;Gasselte;Aa en Hunze                             ;Buurt     ;BU16801400;1;870;235;635;665;205;1.3;261.0;95;75
45;Kostvlies;Aa en Hunze                             ;Buurt     ;BU16801401;1;90;25;65;60;30;1.5;164.0;10;5
46;Verspreide huizen Gasselte;Aa en Hunze                             ;Buurt     ;BU16801409;1;105;35;75;80;25;0.9;7.0;5;15
47;Wijk 15 Gasselternijveen;Aa en Hunze                             ;Wijk      ;WK168015  ;1;935;200;735;730;205;1.2;159.0;135;120
48;Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801500;1;915;200;715;715;195;1.2;461.0;125;115
49;Gasselterboerveen;Aa en Hunze                             ;Buurt     ;BU16801501;1;20;0;20;15;10;;;10;5
50;Verspreide huizen Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801509;1;0;0;0;0;0;;;0;0
51;Wijk 16 Gasselternijveenschemond;Aa en Hunze                             ;Wijk      ;WK168016  ;1;390;85;305;300;90;1.4;34.0;60;50
52;Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801600;1;360;80;275;275;80;1.3;157.0;55;45
53;Gasselterboerveenschemond;Aa en Hunze                             ;Buurt     ;BU16801601;1;25;0;25;20;10;;;5;5
54;Verspr.h. Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801609;1;5;0;5;5;0;;;0;0
55;Wijk 17 Gieten;Aa en Hunze                             ;Wijk      ;WK168017  ;1;2610;840;1770;2015;590;1.2;106.0;255;260
56;Gieten;Aa en Hunze                             ;Buurt     ;BU16801700;1;2495;815;1685;1950;550;1.2;614.0;240;245
57;Verspreide huizen Gieten;Aa en Hunze                             ;Buurt     ;BU16801709;1;115;25;90;70;45;1.6;5.0;15;15
58;Wijk 18 Gieterveen;Aa en Hunze                             ;Wijk      ;WK168018  ;1;715;180;535;530;185;1.4;42.0;105;65
59;Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801800;1;385;100;285;290;90;1.4;578.0;70;40
60;Bonnerveen;Aa en Hunze                             ;Buurt     ;BU16801801;1;55;15;40;40;15;;;5;5
61;Nieuwediep;Aa en Hunze                             ;Buurt     ;BU16801802;1;155;30;125;115;40;1.5;146.0;20;15
62;Verspreide huizen Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801809;1;125;35;90;85;40;1.4;9.0;15;5
63;Wijk 19 Rolde;Aa en Hunze                             ;Wijk      ;WK168019  ;1;2330;685;1645;1830;505;1.2;67.0;215;165
64;Rolde;Aa en Hunze                             ;Buurt     ;BU16801900;1;1995;600;1400;1585;410;1.2;599.0;185;130
65;Ballo;Aa en Hunze                             ;Buurt     ;BU16801901;1;70;20;50;50;20;1.0;138.0;10;10
66;Nijlande;Aa en Hunze                             ;Buurt     ;BU16801902;1;50;15;35;40;10;;;5;5
67;Deurze;Aa en Hunze                             ;Buurt     ;BU16801903;1;50;10;40;40;10;;;5;5
68;Verspreide huizen Nooitgedacht;Aa en Hunze                             ;Buurt     ;BU16801908;1;90;25;60;60;30;1.2;10.0;5;10
69;Verspreide huizen Rolde;Aa en Hunze                             ;Buurt     ;BU16801909;1;80;15;65;55;25;1.4;4.0;10;5
70;Wijk 20 Grolloo;Aa en Hunze                             ;Wijk      ;WK168020  ;1;660;190;465;455;205;1.3;13.0;140;75
71;Grolloo;Aa en Hunze                             ;Buurt     ;BU16802000;1;380;100;280;270;110;1.4;500.0;80;50
72;Schoonloo;Aa en Hunze                             ;Buurt     ;BU16802001;1;110;45;65;80;30;1.2;149.0;30;5
73;Verspreide huizen Papenvoort;Aa en Hunze                             ;Buurt     ;BU16802008;1;35;5;30;20;15;;;0;5
74;Verspreide huizen Grolloo;Aa en Hunze                             ;Buurt     ;BU16802009;1;135;40;90;85;50;1.2;3.0;30;15
75;Wijk 21 Ekehaar;Aa en Hunze                             ;Wijk      ;WK168021  ;1;255;75;180;180;75;1.3;13.0;30;50
76;Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802100;1;135;45;90;100;35;1.2;361.0;20;20
77;Amen;Aa en Hunze                             ;Buurt     ;BU16802101;1;50;15;35;35;15;;;5;20
78;Verspreide huizen Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802109;1;70;15;55;45;25;;;5;10
79;Aalburg;Aalburg                                 ;Gemeente  ;GM0738    ;.;6430;1635;4795;4895;1535;1.3;128.0;480;990
80;Niet nader toe te delen;Aalburg                                 ;          ;          ; ;0;0;0;0;0;;;0;0
81;Wel nader toe te delen;Aalburg                                 ;          ;          ; ;6430;1635;4795;4895;1535;;;480;990
82;Wijk 00 Wijk en Aalburg;Aalburg                                 ;Wijk      ;WK073800  ;1;2975;765;2210;2285;690;1.3;240.0;200;430
83;Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380000;1;2420;630;1790;1880;535;1.3;1070.0;155;350
84;Spijk;Aalburg                                 ;Buurt     ;BU07380001;1;405;100;305;300;110;1.5;158.0;30;55
85;Verspreide huizen Wijk en Aalburg;Aalburg                                 ;Buurt     ;BU07380009;1;150;35;115;105;45;1.9;20.0;10;20
86;Wijk 01 Veen;Aalburg                                 ;Wijk      ;WK073801  ;1;1255;275;980;950;305;1.3;271.0;85;270
87;Veen;Aalburg                                 ;Buurt     ;BU07380100;1;1225;270;955;930;295;1.3;828.0;85;270
88;Verspreide huizen Veen;Aalburg                                 ;Buurt     ;BU07380109;1;30;5;25;20;10;;;0;0
89;Wijk 02 Genderen;Aalburg                                 ;Wijk      ;WK073802  ;1;900;255;645;685;215;1.4;139.0;55;105
90;Genderen;Aalburg                                 ;Buurt     ;BU07380200;1;855;245;610;655;200;1.4;561.0;55;105
91;Verspreide huizen Genderen;Aalburg                                 ;Buurt     ;BU07380209;1;40;10;30;30;15;;;5;5
92;Wijk 03 Eethen;Aalburg                                 ;Wijk      ;WK073803  ;1;425;125;300;320;105;1.3;56.0;40;70
93;Eethen;Aalburg                                 ;Buurt     ;BU07380300;1;380;115;265;285;100;1.5;999.0;40;70
94;Verspreide huizen Eethen;Aalburg                                 ;Buurt     ;BU07380309;1;45;10;35;40;5;0.6;6.0;0;0
95;Wijk 04 Meeuwen;Aalburg                                 ;Wijk      ;WK073804  ;1;425;105;325;330;95;1.5;74.0;40;75
96;Meeuwen;Aalburg                                 ;Buurt     ;BU07380400;1;390;95;295;305;85;1.6;777.0;40;70
97;Verspreide huizen Meeuwen;Aalburg                                 ;Buurt     ;BU07380409;1;40;10;30;25;15;;;0;5
98;Wijk 05 Drongelen;Aalburg                                 ;Wijk      ;WK073805  ;1;210;55;150;160;50;1.4;39.0;40;25
99;Drongelen;Aalburg                                 ;Buurt     ;BU07380500;1;145;35;110;100;40;1.5;463.0;25;20
100;Verspreide huizen Drongelen;Aalburg                                 ;Buurt     ;BU07380509;1;65;25;40;55;10;1.2;13.0;15;5
101;Wijk 06 Babyloniënbroek;Aalburg                                 ;Wijk      ;WK073806  ;1;240;50;185;165;75;1.5;29.0;20;15
102;Babyloniënbroek;Aalburg                                 ;Buurt     ;BU07380600;1;210;45;165;145;70;1.6;160.0;20;15
103;Verspreide huizen Babyloniënbroek;Aalburg                                 ;Buurt     ;BU07380609;1;25;5;20;20;5;;;0;0
104;Aalsmeer;Aalsmeer                                ;Gemeente  ;GM0358    ;.;14355;4620;9735;12970;1385;1.1;704.0;1390;3130
105;Niet nader toe te delen;Aalsmeer                                ;          ;          ; ;20;0;15;15;0;;;0;0
106;Wel nader toe te delen;Aalsmeer                                ;          ;          ; ;14340;4620;9720;12955;1385;;;1390;3130
107;Wijk 00 Aalsmeer;Aalsmeer                                ;Wijk      ;WK035800  ;1;5450;1690;3760;4950;500;1.0;756.0;465;1055
108;Centrum;Aalsmeer                                ;Buurt     ;BU03580000;1;960;365;595;875;85;0.9;1790.0;95;185
109;Stommeer;Aalsmeer                                ;Buurt     ;BU03580001;1;2780;810;1970;2530;250;1.0;1512.0;245;535
110;Hornmeer;Aalsmeer                                ;Buurt     ;BU03580004;1;1170;345;825;1070;95;1.1;445.0;75;200
111;Uiterweg;Aalsmeer                                ;Buurt     ;BU03580005;1;540;175;370;475;65;1.4;245.0;50;130
112;Wijk 01 Kudelstraat en Kalslagen;Aalsmeer                                ;Wijk      ;WK035801  ;1;4350;1400;2950;3965;380;1.2;999.0;410;850
113;Kudelstaart;Aalsmeer                                ;Buurt     ;BU03580100;1;4350;1400;2950;3965;380;1.2;999.0;410;850
114;Wijk 02 Oosteinde;Aalsmeer                                ;Wijk      ;WK035802  ;1;4545;1535;3010;4040;505;1.2;514.0;515;1225
115;Bovenlanden;Aalsmeer                                ;Buurt     ;BU03580200;1;545;130;415;495;50;1.3;353.0;75;235
116;Greenpark;Aalsmeer                                ;Buurt     ;BU03580201;1;415;95;320;370;45;1.4;195.0;60;115
117;Oosteinde;Aalsmeer                                ;Buurt     ;BU03580205;1;3350;1240;2110;2970;380;1.2;1236.0;335;815
118;Schinkelpolder;Aalsmeer                                ;Buurt     ;BU03580206;1;235;65;170;205;30;1.4;96.0;50;60
119;Aalten;Aalten                                  ;Gemeente  ;GM0197    ;.;12770;2425;10345;11010;1760;1.1;132.0;1400;1265
120;Niet nader toe te delen;Aalten                                  ;          ;          ; ;5;0;5;5;0;;;0;0
121;Wel nader toe te delen;Aalten                                  ;          ;          ; ;12765;2425;10340;11005;1760;;;1400;1260
122;Wijk 01 Buitengebied Aalten;Aalten                                  ;Wijk      ;WK019701  ;1;2060;330;1730;1670;385;1.4;30.0;280;220
123;Barlo-Kern;Aalten                                  ;Buurt     ;BU01970101;1;60;15;45;45;15;;;10;10
124;Verspreide huizen Barlo;Aalten                                  ;Buurt     ;BU01970102;1;240;30;210;190;55;1.4;32.0;40;40
125;Verspreide huizen Heurne;Aalten                                  ;Buurt     ;BU01970103;1;170;25;145;140;35;1.3;23.0;25;25
126;Verspreide huizen IJzerlo;Aalten                                  ;Buurt     ;BU01970104;1;235;45;190;200;35;1.4;26.0;35;15
127;Ijzerlo-kern;Aalten                                  ;Buurt     ;BU01970105;1;80;15;70;65;15;1.5;768.0;10;5
128;Lintelo-kern;Aalten                                  ;Buurt     ;BU01970106;1;90;15;75;70;20;1.5;882.0;10;10
129;Verspreide huizen ten westen van Aalten;Aalten                                  ;Buurt     ;BU01970107;1;110;15;95;90;20;1.1;23.0;15;10
130;Verspreide huizen Lintelo;Aalten                                  ;Buurt     ;BU01970108;1;345;45;300;275;75;1.5;26.0;45;35
131;Verspreide huizen Dalese Veld;Aalten                                  ;Buurt     ;BU01970109;1;40;10;30;30;10;;;5;10
132;Verspreide huizen Dale;Aalten                                  ;Buurt     ;BU01970110;1;355;65;290;295;55;1.5;47.0;60;35
133;Verspreide huizen Haart;Aalten                                  ;Buurt     ;BU01970111;1;285;50;235;245;40;1.3;25.0;25;20
134;Haart-kern;Aalten                                  ;Buurt     ;BU01970112;1;45;5;40;35;5;;;5;10
135;Wijk 02 Bredevoort;Aalten                                  ;Wijk      ;WK019702  ;1;940;155;790;810;130;1.2;95.0;115;145
136;Verspreide huizen Bredevoort;Aalten                                  ;Buurt     ;BU01970201;1;120;20;95;100;20;1.5;20.0;15;15
137;Verspreide huizen Hollenberg;Aalten                                  ;Buurt     ;BU01970202;1;115;15;100;100;10;1.3;84.0;15;30
138;Verspreide huizen Het Zwanenbroek;Aalten                                  ;Buurt     ;BU01970203;1;50;5;45;40;10;;;5;5
139;Bredevoort;Aalten                                  ;Buurt     ;BU01970204;1;660;110;550;570;90;1.1;1154.0;80;95
140;Wijk 03 Aalten Kern;Aalten                                  ;Wijk      ;WK019703  ;1;5725;1120;4605;4945;785;1.1;1121.0;620;555
141;Aalten-kern West;Aalten                                  ;Buurt     ;BU01970301;1;945;185;765;850;95;1.1;1767.0;95;85
142;Aalten-kern Zuid 1;Aalten                                  ;Buurt     ;BU01970302;1;1100;175;925;930;170;1.1;682.0;150;145
143;Aalten-kern Zuid 2;Aalten                                  ;Buurt     ;BU01970303;1;695;150;545;600;100;1.3;1078.0;55;55
144;Aalten-kern Noord/Noordoost;Aalten                                  ;Buurt     ;BU01970304;1;1230;240;990;1070;160;1.0;1385.0;135;105
145;Aalten Kern 't Kobus;Aalten                                  ;Buurt     ;BU01970305;1;315;90;230;245;70;1.3;753.0;25;5
146;Aalten-kern Oost;Aalten                                  ;Buurt     ;BU01970306;1;460;65;395;400;60;1.1;1476.0;65;45
147;Aalten-kern Centrum;Aalten                                  ;Buurt     ;BU01970307;1;975;215;760;850;125;0.9;1407.0;90;115
148;Wijk 04 Dinxperlo;Aalten                                  ;Wijk      ;WK019704  ;1;4040;820;3215;3580;460;1.1;295.0;385;340
149;Dinxperlo Centrum/Oost;Aalten                                  ;Buurt     ;BU01970400;1;1285;250;1035;1160;125;1.0;1483.0;130;110
150;Dinxperlo Noord;Aalten                                  ;Buurt     ;BU01970401;1;925;220;705;820;105;1.2;1523.0;95;55
151;Dinxperlo West;Aalten                                  ;Buurt     ;BU01970402;1;1235;240;990;1105;130;1.2;980.0;85;90
152;De Heurne-kern;Aalten                                  ;Buurt     ;BU01970403;1;160;40;120;140;20;1.3;713.0;20;15
153;Verspreide huizen Dinxperlo;Aalten                                  ;Buurt     ;BU01970408;1;100;15;85;85;15;1.1;60.0;20;35
154;Verspreide huizen De Heurne;Aalten                                  ;Buurt     ;BU01970409;1;335;55;275;270;60;1.3;37.0;35;40
155;Achtkarspelen;Achtkarspelen                           ;Gemeente  ;GM0059    ;.;13535;2655;10880;9760;3775;1.2;132.0;1160;2255
156;Niet nader toe te delen;Achtkarspelen                           ;          ;          ; ;5;0;0;5;0;;;0;0
157;Wel nader toe te delen;Achtkarspelen                           ;          ;          ; ;13530;2650;10880;9755;3775;;;1160;2250
158;Wijk 00 Noord;Achtkarspelen                           ;Wijk      ;WK005900  ;1;5740;1130;4615;4130;1615;1.2;124.0;475;900
159;Buitenpost;Achtkarspelen                           ;Buurt     ;BU00590000;1;2250;590;1655;1665;585;1.0;903.0;195;235
160;Twijzel;Achtkarspelen                           ;Buurt     ;BU00590001;1;550;90;460;405;140;1.3;294.0;50;110
161;Kootstertille;Achtkarspelen                           ;Buurt     ;BU00590002;1;1050;170;880;745;305;1.2;839.0;85;180
162;Twijzelerheide;Achtkarspelen                           ;Buurt     ;BU00590003;1;790;110;685;580;210;1.3;628.0;70;220
163;Gerkesklooster;Achtkarspelen                           ;Buurt     ;BU00590004;1;390;55;335;270;125;1.3;632.0;30;65
164;Verspreide huizen Buitenpost;Achtkarspelen                           ;Buurt     ;BU00590005;1;330;55;275;215;115;1.3;21.0;20;25
165;Verspreide huizen Twijzel;Achtkarspelen                           ;Buurt     ;BU00590006;1;55;5;50;30;25;;;0;10
166;Verspreide huizen Kootstertille;Achtkarspelen                           ;Buurt     ;BU00590007;1;185;30;155;120;60;1.5;30.0;10;25
167;Verspreide huizen Twijzelerheide;Achtkarspelen                           ;Buurt     ;BU00590008;1;110;20;90;75;35;1.1;23.0;10;20
168;Verspreide huizen Gerkesklooster;Achtkarspelen                           ;Buurt     ;BU00590009;1;40;5;35;30;10;;;0;10
169;Wijk 01 Centrum;Achtkarspelen                           ;Wijk      ;WK005901  ;1;1700;265;1430;1205;495;1.3;85.0;160;365
170;Stroobos;Achtkarspelen                           ;Buurt     ;BU00590100;1;115;15;100;80;30;1.1;377.0;15;35
171;Drogeham;Achtkarspelen                           ;Buurt     ;BU00590102;1;755;125;630;575;180;1.2;615.0;65;180
172;Augustinusga;Achtkarspelen                           ;Buurt     ;BU00590103;1;585;80;505;400;185;1.4;581.0;50;95
173;Verspreide huizen Stroobos;Achtkarspelen                           ;Buurt     ;BU00590107;1;45;5;40;25;20;;;5;25
174;Verspreide huizen Drogeham;Achtkarspelen                           ;Buurt     ;BU00590108;1;95;15;80;55;40;1.3;11.0;25;20
175;Verspreide huizen Augustinusga;Achtkarspelen                           ;Buurt     ;BU00590109;1;105;25;80;65;40;1.5;17.0;5;10
176;Wijk 02 Zuid;Achtkarspelen                           ;Wijk      ;WK005902  ;1;6090;1255;4835;4425;1665;1.1;169.0;525;985
177;Surhuisterveen;Achtkarspelen                           ;Buurt     ;BU00590200;1;2650;590;2060;1980;670;1.1;841.0;215;305
178;Harkema;Achtkarspelen                           ;Buurt     ;BU00590201;1;1780;360;1420;1340;435;1.1;716.0;135;390
179;Surhuizum;Achtkarspelen                           ;Buurt     ;BU00590202;1;470;75;400;315;155;1.3;485.0;65;95
180;Boelenslaan;Achtkarspelen                           ;Buurt     ;BU00590203;1;380;60;320;265;110;1.3;570.0;35;65
181;Verspreide huizen Surhuisterveen;Achtkarspelen                           ;Buurt     ;BU00590206;1;205;40;165;130;75;1.5;46.0;20;30
182;Verspreide huizen Harkema;Achtkarspelen                           ;Buurt     ;BU00590207;1;140;40;100;90;50;1.4;35.0;10;35
183;Verspreide huizen Surhuizum;Achtkarspelen                           ;Buurt     ;BU00590208;1;230;40;190;145;80;1.5;16.0;20;20
184;Verspreide huizen Boelenslaan;Achtkarspelen                           ;Buurt     ;BU00590209;1;235;55;180;155;85;1.3;37.0;25;45
185;Alblasserdam;Alblasserdam                            ;Gemeente  ;GM0482    ;.;7875;2440;5440;6900;975;1.0;898.0;535;980
186;Niet nader toe te delen;Alblasserdam                            ;          ;          ; ;0;0;0;0;0;;;0;0
187;Wel nader toe te delen;Alblasserdam                            ;          ;          ; ;7875;2440;5435;6900;975;;;535;980
188;Wijk 01 Centrum;Alblasserdam                            ;Wijk      ;WK048201  ;1;1870;590;1280;1635;240;1.0;2052.0;145;210
189;Cortgene;Alblasserdam                            ;Buurt     ;BU04820101;1;380;135;245;330;50;1.0;1787.0;30;35
190;Redersbuurt;Alblasserdam                            ;Buurt     ;BU04820102;1;185;35;150;165;20;0.5;1899.0;15;40
191;kerkbuurt;Alblasserdam                            ;Buurt     ;BU04820103;1;620;160;460;540;80;1.0;2747.0;50;65
192;Polderbuurt;Alblasserdam                            ;Buurt     ;BU04820104;1;255;50;205;220;35;1.3;1749.0;30;45
193;De Werven;Alblasserdam                            ;Buurt     ;BU04820105;1;435;210;225;380;55;1.1;1877.0;20;25
194;Wijk 02 Kinderdijk;Alblasserdam                            ;Wijk      ;WK048202  ;1;1510;435;1080;1305;205;1.0;1587.0;130;215
195;Dijk;Alblasserdam                            ;Buurt     ;BU04820201;1;265;65;200;215;50;1.2;876.0;40;35
196;Vogelbuurt;Alblasserdam                            ;Buurt     ;BU04820202;1;515;145;365;450;60;0.9;3379.0;35;65
197;Waterland;Alblasserdam                            ;Buurt     ;BU04820203;1;200;80;120;175;25;1.2;2226.0;10;15
198;Groene Long;Alblasserdam                            ;Buurt     ;BU04820204;1;0;0;0;0;0;;;0;0
199;Rivierenbuurt;Alblasserdam                            ;Buurt     ;BU04820205;1;325;80;245;285;40;0.8;2776.0;25;55
200;Nieuw Kinderdijk;Alblasserdam                            ;Buurt     ;BU04820206;1;210;60;150;180;30;1.1;2336.0;20;45
201;Wijk 03 Blokweer;Alblasserdam                            ;Wijk      ;WK048203  ;1;3035;950;2085;2680;350;1.0;3491.0;195;360
202;Zeelt;Alblasserdam                            ;Buurt     ;BU04820301;1;460;170;290;400;60;1.3;3572.0;35;30
203;Middelland;Alblasserdam                            ;Buurt     ;BU04820302;1;255;100;160;220;35;1.2;3008.0;20;20
204;Blokweer Noord;Alblasserdam                            ;Buurt     ;BU04820303;1;460;175;290;410;50;1.2;4529.0;40;45
205;Blokweer Zuid;Alblasserdam                            ;Buurt     ;BU04820304;1;270;90;180;250;20;1.1;2629.0;15;15
206;Drentsebuurt;Alblasserdam                            ;Buurt     ;BU04820305;1;380;110;270;335;50;1.0;3341.0;15;85
207;Florabuurt;Alblasserdam                            ;Buurt     ;BU04820306;1;550;135;415;490;60;0.9;3160.0;30;75
208;Staatsliedenbuurt;Alblasserdam                            ;Buurt     ;BU04820307;1;650;170;485;580;75;0.9;4034.0;40;95
209;Wijk 04 Souburgh;Alblasserdam                            ;Wijk      ;WK048204  ;1;1375;435;940;1210;160;0.9;2594.0;60;175
210;Schildersbuurt;Alblasserdam                            ;Buurt     ;BU04820401;1;550;175;375;485;65;1.0;3213.0;20;55
211;Schrijversbuurt;Alblasserdam                            ;Buurt     ;BU04820402;1;590;180;410;520;70;0.9;3089.0;35;85
212;Klein Alblas;Alblasserdam                            ;Buurt     ;BU04820403;1;80;35;40;60;15;1.3;703.0;5;10
213;Oranjebuurt;Alblasserdam                            ;Buurt     ;BU04820404;1;155;45;115;145;15;0.7;2760.0;0;25
214;Wijk 05 Bedrijventerrein;Alblasserdam                            ;Wijk      ;WK048205  ;1;55;15;40;45;15;;;5;15
215;Vinkenwaard;Alblasserdam                            ;Buurt     ;BU04820501;1;10;0;5;10;0;;;0;0
216;Hoogendijk;Alblasserdam                            ;Buurt     ;BU04820502;1;20;0;15;10;5;;;0;5
217;Nieuwland;Alblasserdam                            ;Buurt     ;BU04820503;1;30;10;15;25;5;;;5;10
218;Wijk 06 Landelijk gebied;Alblasserdam                            ;Wijk      ;WK048206  ;1;30;15;15;25;5;;;0;5
219;Polder Blokweer;Alblasserdam                            ;Buurt     ;BU04820601;1;0;0;0;0;0;;;0;0
220;Polder Kortland;Alblasserdam                            ;Buurt     ;BU04820602;1;20;10;10;20;0;;;0;5
221;Polder Souburgh;Alblasserdam                            ;Buurt     ;BU04820603;1;5;0;5;5;0;;;0;0
222;Polder Vinkenwaard;Alblasserdam                            ;Buurt     ;BU04820604;1;0;0;0;0;0;;;0;0
