ID;Populatie;Percentielen;Perioden;PercentielGestandaardiseerdInkomen_1;PercentielBesteedbaarInkomen_2;PercentielPrimairInkomen_3;PercentielBrutoInkomen_4;PercentielVermogen_5
119;Particuliere huishoudens excl. studenten;10e percentiel;2013;13.4;14.9;;;
120;Particuliere huishoudens excl. studenten;10e percentiel;2014;13.9;15.5;;;
121;Particuliere huishoudens excl. studenten;10e percentiel;2015;14.1;15.7;;;
122;Particuliere huishoudens excl. studenten;10e percentiel;2016;14.4;16.1;;;
123;Particuliere huishoudens excl. studenten;10e percentiel;2017;14.8;16.4;;;
124;Particuliere huishoudens excl. studenten;10e percentiel;2018;15.1;16.8;;;
125;Particuliere huishoudens excl. studenten;10e percentiel;2019;15.6;17.5;;;
126;Particuliere huishoudens excl. studenten;10e percentiel;2020;16.1;18.0;;;
127;Particuliere huishoudens excl. studenten;10e percentiel;2021;16.6;18.7;;;
128;Particuliere huishoudens excl. studenten;10e percentiel;2022;18.4;20.3;;;
129;Particuliere huishoudens excl. studenten;10e percentiel;2023;19.8;21.8;;;
130;Particuliere huishoudens excl. studenten;20e percentiel;2011;16.2;19.0;;;
131;Particuliere huishoudens excl. studenten;20e percentiel;2012;16.2;19.1;;;
132;Particuliere huishoudens excl. studenten;20e percentiel;2013;16.3;19.1;;;
133;Particuliere huishoudens excl. studenten;20e percentiel;2014;16.7;19.6;;;
134;Particuliere huishoudens excl. studenten;20e percentiel;2015;17.0;19.8;;;
135;Particuliere huishoudens excl. studenten;20e percentiel;2016;17.4;20.3;;;
136;Particuliere huishoudens excl. studenten;20e percentiel;2017;17.9;20.6;;;
137;Particuliere huishoudens excl. studenten;20e percentiel;2018;18.2;21.1;;;
138;Particuliere huishoudens excl. studenten;20e percentiel;2019;19.0;21.9;;;
139;Particuliere huishoudens excl. studenten;20e percentiel;2020;19.6;22.7;;;
140;Particuliere huishoudens excl. studenten;20e percentiel;2021;20.4;23.5;;;
141;Particuliere huishoudens excl. studenten;20e percentiel;2022;21.8;25.0;;;
142;Particuliere huishoudens excl. studenten;20e percentiel;2023;23.6;27.0;;;
143;Particuliere huishoudens excl. studenten;30e percentiel;2011;18.4;23.0;;;
144;Particuliere huishoudens excl. studenten;30e percentiel;2012;18.6;23.1;;;
145;Particuliere huishoudens excl. studenten;30e percentiel;2013;18.6;23.2;;;
146;Particuliere huishoudens excl. studenten;30e percentiel;2014;19.1;23.8;;;
147;Particuliere huishoudens excl. studenten;30e percentiel;2015;19.3;24.1;;;
148;Particuliere huishoudens excl. studenten;30e percentiel;2016;19.9;24.7;;;
149;Particuliere huishoudens excl. studenten;30e percentiel;2017;20.3;25.1;;;
150;Particuliere huishoudens excl. studenten;30e percentiel;2018;20.7;25.7;;;
151;Particuliere huishoudens excl. studenten;30e percentiel;2019;21.7;26.7;;;
152;Particuliere huishoudens excl. studenten;30e percentiel;2020;22.5;27.7;;;
153;Particuliere huishoudens excl. studenten;30e percentiel;2021;23.4;28.7;;;
154;Particuliere huishoudens excl. studenten;30e percentiel;2022;24.8;30.2;;;
155;Particuliere huishoudens excl. studenten;30e percentiel;2023;27.0;32.4;;;
156;Particuliere huishoudens excl. studenten;40e percentiel;2011;20.8;27.2;;;
157;Particuliere huishoudens excl. studenten;40e percentiel;2012;21.0;27.3;;;
158;Particuliere huishoudens excl. studenten;40e percentiel;2013;21.1;27.3;;;
159;Particuliere huishoudens excl. studenten;40e percentiel;2014;21.7;28.0;;;
160;Particuliere huishoudens excl. studenten;40e percentiel;2015;22.0;28.3;;;
161;Particuliere huishoudens excl. studenten;40e percentiel;2016;22.7;29.1;;;
162;Particuliere huishoudens excl. studenten;40e percentiel;2017;23.2;29.6;;;
163;Particuliere huishoudens excl. studenten;40e percentiel;2018;23.7;30.3;;;
164;Particuliere huishoudens excl. studenten;40e percentiel;2019;24.8;31.7;;;
165;Particuliere huishoudens excl. studenten;40e percentiel;2020;25.8;32.8;;;
166;Particuliere huishoudens excl. studenten;40e percentiel;2021;26.9;34.1;;;
167;Particuliere huishoudens excl. studenten;40e percentiel;2022;28.5;35.9;;;
168;Particuliere huishoudens excl. studenten;40e percentiel;2023;30.7;38.3;;;
169;Particuliere huishoudens excl. studenten;50e percentiel;2011;23.2;32.1;;;
170;Particuliere huishoudens excl. studenten;50e percentiel;2012;23.4;32.2;;;
171;Particuliere huishoudens excl. studenten;50e percentiel;2013;23.6;32.2;;;
172;Particuliere huishoudens excl. studenten;50e percentiel;2014;24.3;33.0;;;
173;Particuliere huishoudens excl. studenten;50e percentiel;2015;24.7;33.4;;;
174;Particuliere huishoudens excl. studenten;50e percentiel;2016;25.7;34.3;;;
175;Particuliere huishoudens excl. studenten;50e percentiel;2017;26.2;35.0;;;
176;Particuliere huishoudens excl. studenten;50e percentiel;2018;26.7;35.9;;;
177;Particuliere huishoudens excl. studenten;50e percentiel;2019;28.0;37.6;;;
178;Particuliere huishoudens excl. studenten;50e percentiel;2020;29.1;38.9;;;
179;Particuliere huishoudens excl. studenten;50e percentiel;2021;30.4;40.6;;;
180;Particuliere huishoudens excl. studenten;50e percentiel;2022;32.1;42.7;;;
181;Particuliere huishoudens excl. studenten;50e percentiel;2023;34.5;45.6;;;
182;Particuliere huishoudens excl. studenten;60e percentiel;2011;25.9;37.5;;;
183;Particuliere huishoudens excl. studenten;60e percentiel;2012;26.1;37.6;;;
184;Particuliere huishoudens excl. studenten;60e percentiel;2013;26.4;37.8;;;
185;Particuliere huishoudens excl. studenten;60e percentiel;2014;27.2;38.9;;;
186;Particuliere huishoudens excl. studenten;60e percentiel;2015;27.7;39.4;;;
187;Particuliere huishoudens excl. studenten;60e percentiel;2016;28.8;40.7;;;
188;Particuliere huishoudens excl. studenten;60e percentiel;2017;29.4;41.6;;;
189;Particuliere huishoudens excl. studenten;60e percentiel;2018;29.9;42.8;;;
190;Particuliere huishoudens excl. studenten;60e percentiel;2019;31.3;44.8;;;
191;Particuliere huishoudens excl. studenten;60e percentiel;2020;32.6;46.6;;;
192;Particuliere huishoudens excl. studenten;60e percentiel;2021;34.1;48.6;;;
193;Particuliere huishoudens excl. studenten;60e percentiel;2022;35.9;51.1;;;
194;Particuliere huishoudens excl. studenten;60e percentiel;2023;38.5;54.6;;;
195;Particuliere huishoudens excl. studenten;70e percentiel;2011;29.1;43.5;;;
196;Particuliere huishoudens excl. studenten;70e percentiel;2012;29.3;43.7;;;
197;Particuliere huishoudens excl. studenten;70e percentiel;2013;29.7;44.1;;;
198;Particuliere huishoudens excl. studenten;70e percentiel;2014;30.6;45.5;;;
199;Particuliere huishoudens excl. studenten;70e percentiel;2015;31.2;46.2;;;
200;Particuliere huishoudens excl. studenten;70e percentiel;2016;32.3;48.0;;;
201;Particuliere huishoudens excl. studenten;70e percentiel;2017;33.0;49.1;;;
202;Particuliere huishoudens excl. studenten;70e percentiel;2018;33.5;50.5;;;
203;Particuliere huishoudens excl. studenten;70e percentiel;2019;35.1;52.9;;;
204;Particuliere huishoudens excl. studenten;70e percentiel;2020;36.5;55.1;;;
205;Particuliere huishoudens excl. studenten;70e percentiel;2021;38.2;57.5;;;
206;Particuliere huishoudens excl. studenten;70e percentiel;2022;40.2;60.6;;;
207;Particuliere huishoudens excl. studenten;70e percentiel;2023;43.0;64.9;;;
208;Particuliere huishoudens excl. studenten;80e percentiel;2011;33.3;51.3;;;
209;Particuliere huishoudens excl. studenten;80e percentiel;2012;33.5;51.5;;;
210;Particuliere huishoudens excl. studenten;80e percentiel;2013;33.9;52.1;;;
211;Particuliere huishoudens excl. studenten;80e percentiel;2014;35.0;53.7;;;
212;Particuliere huishoudens excl. studenten;80e percentiel;2015;35.6;54.6;;;
213;Particuliere huishoudens excl. studenten;80e percentiel;2016;36.9;56.9;;;
214;Particuliere huishoudens excl. studenten;80e percentiel;2017;37.7;58.2;;;
215;Particuliere huishoudens excl. studenten;80e percentiel;2018;38.1;59.8;;;
216;Particuliere huishoudens excl. studenten;80e percentiel;2019;40.0;62.7;;;
217;Particuliere huishoudens excl. studenten;80e percentiel;2020;41.6;65.3;;;
218;Particuliere huishoudens excl. studenten;80e percentiel;2021;43.5;68.3;;;
219;Particuliere huishoudens excl. studenten;80e percentiel;2022;45.7;71.9;;;
220;Particuliere huishoudens excl. studenten;80e percentiel;2023;48.8;76.9;;;
221;Particuliere huishoudens excl. studenten;90e percentiel;2011;40.5;64.0;;;
222;Particuliere huishoudens excl. studenten;90e percentiel;2012;40.7;64.3;;;
223;Particuliere huishoudens excl. studenten;90e percentiel;2013;41.3;65.1;;;
224;Particuliere huishoudens excl. studenten;90e percentiel;2014;42.6;67.3;;;
225;Particuliere huishoudens excl. studenten;90e percentiel;2015;43.2;68.2;;;
226;Particuliere huishoudens excl. studenten;90e percentiel;2016;44.7;71.0;;;
227;Particuliere huishoudens excl. studenten;90e percentiel;2017;45.8;73.0;;;
228;Particuliere huishoudens excl. studenten;90e percentiel;2018;46.1;74.9;;;
229;Particuliere huishoudens excl. studenten;90e percentiel;2019;48.4;78.8;;;
230;Particuliere huishoudens excl. studenten;90e percentiel;2020;50.1;81.8;;;
231;Particuliere huishoudens excl. studenten;90e percentiel;2021;52.6;85.8;;;
232;Particuliere huishoudens excl. studenten;90e percentiel;2022;55.1;90.1;;;
233;Particuliere huishoudens excl. studenten;90e percentiel;2023;58.4;96.1;;;
