ID;HouseholdCharacteristics;ComponentsOfWealth;Periods;NumberOfPrivateHouseholds_1;TotalWealth_2;MeanWealth_3;MedianWealth_4
63;Private households;1.1.1 Bank and savings credits;2015;7381.0;295.1;40.0;12.2
64;Private households;1.1.1 Bank and savings credits;2016;7422.8;296.5;39.9;12.4
65;Private households;1.1.1 Bank and savings credits;2017;7509.6;302.3;40.3;13.0
66;Private households;1.1.1 Bank and savings credits;2018;7575.7;308.1;40.7;13.3
67;Private households;1.1.1 Bank and savings credits;2019;7643.7;314.0;41.1;13.9
68;Private households;1.1.1 Bank and savings credits;2020;7724.6;329.9;42.7;14.9
69;Private households;1.1.1 Bank and savings credits;2021;7816.7;369.2;47.2;18.4
70;Private households;1.1.1 Bank and savings credits;2022;7903.0;398.3;50.4;20.3
71;Private households;1.1.1 Bank and savings credits;2023;8008.9;419.3;52.3;21.1
72;Private households;1.1.2 Securities;2006;1854.2;150.1;81.0;14.2
73;Private households;1.1.2 Securities;2007;1800.2;162.1;90.0;16.5
74;Private households;1.1.2 Securities;2008;1722.7;156.8;91.0;16.0
75;Private households;1.1.2 Securities;2009;1642.5;106.1;64.6;10.9
76;Private households;1.1.2 Securities;2010;1655.1;120.6;72.9;12.5
77;Private households;1.1.2 Securities;2011;1608.9;121.5;75.5;11.9
78;Private households;1.1.2 Securities;2012;1508.1;108.0;71.6;11.0
79;Private households;1.1.2 Securities;2013;1396.8;111.7;80.0;12.2
80;Private households;1.1.2 Securities;2014;1311.3;117.0;89.2;13.9
81;Private households;1.1.2 Securities;2015;1254.4;123.6;98.5;15.6
82;Private households;1.1.2 Securities;2016;1214.5;127.8;105.2;17.2
83;Private households;1.1.2 Securities;2017;1179.8;130.5;110.6;18.1
84;Private households;1.1.2 Securities;2018;1166.8;138.4;118.6;19.7
85;Private households;1.1.2 Securities;2019;1189.2;128.8;108.3;17.6
86;Private households;1.1.2 Securities;2020;1220.3;144.4;118.3;18.8
87;Private households;1.1.2 Securities;2021;1343.1;151.8;113.0;16.4
88;Private households;1.1.2 Securities;2022;1507.7;183.2;121.5;15.5
89;Private households;1.1.2 Securities;2023;1570.7;169.6;108.0;13.2
90;Private households;1.2 Real estate;2006;3790.0;1113.0;293.7;235.7
91;Private households;1.2 Real estate;2007;3880.6;1205.4;310.6;250.6
92;Private households;1.2 Real estate;2008;4049.3;1319.3;325.8;260.8
93;Private households;1.2 Real estate;2009;4115.5;1337.2;324.9;257.9
94;Private households;1.2 Real estate;2010;4167.6;1283.7;308.0;241.3
95;Private households;1.2 Real estate;2011;4200.0;1300.2;309.6;244.0
96;Private households;1.2 Real estate;2012;4236.3;1255.7;296.4;233.2
97;Private households;1.2 Real estate;2013;4270.2;1147.3;268.7;210.0
98;Private households;1.2 Real estate;2014;4306.6;1149.2;266.8;209.3
99;Private households;1.2 Real estate;2015;4343.8;1183.5;272.5;213.9
100;Private households;1.2 Real estate;2016;4386.0;1239.9;282.7;222.4
101;Private households;1.2 Real estate;2017;4427.7;1331.3;300.7;237.3
102;Private households;1.2 Real estate;2018;4470.2;1451.8;324.8;256.5
103;Private households;1.2 Real estate;2019;4509.8;1592.8;353.2;279.9
104;Private households;1.2 Real estate;2020;4541.3;1715.1;377.7;300.0
105;Private households;1.2 Real estate;2021;4570.0;1896.2;414.9;332.4
106;Private households;1.2 Real estate;2022;4621.1;2296.8;497.0;406.1
107;Private households;1.2 Real estate;2023;4640.3;2348.2;506.1;412.6
108;Private households;1.2.1 Principal residence;2006;3749.8;1032.0;275.2;233.4
109;Private households;1.2.1 Principal residence;2007;3841.6;1119.6;291.5;247.0
110;Private households;1.2.1 Principal residence;2008;4018.5;1220.7;303.8;257.4
111;Private households;1.2.1 Principal residence;2009;4084.4;1231.6;301.5;254.7
112;Private households;1.2.1 Principal residence;2010;4134.1;1167.2;282.3;238.5
113;Private households;1.2.1 Principal residence;2011;4160.8;1180.9;283.8;241.1
114;Private households;1.2.1 Principal residence;2012;4195.2;1135.7;270.7;229.3
115;Private households;1.2.1 Principal residence;2013;4226.7;1028.4;243.3;207.3
116;Private households;1.2.1 Principal residence;2014;4254.4;1030.3;242.2;206.4
117;Private households;1.2.1 Principal residence;2015;4287.0;1062.1;247.8;211.0
118;Private households;1.2.1 Principal residence;2016;4327.4;1114.5;257.5;219.3
119;Private households;1.2.1 Principal residence;2017;4369.3;1201.1;274.9;234.2
120;Private households;1.2.1 Principal residence;2018;4415.7;1313.0;297.3;252.2
121;Private households;1.2.1 Principal residence;2019;4456.2;1441.9;323.6;275.6
122;Private households;1.2.1 Principal residence;2020;4487.2;1551.2;345.7;295.5
123;Private households;1.2.1 Principal residence;2021;4514.5;1719.1;380.8;328.1
124;Private households;1.2.1 Principal residence;2022;4566.1;2107.0;461.4;400.1
125;Private households;1.2.1 Principal residence;2023;4583.6;2141.4;467.2;406.4
126;Private households;1.2.2 Other real estate;2006;342.3;81.1;236.9;114.5
127;Private households;1.2.2 Other real estate;2007;350.4;85.8;244.8;119.5
128;Private households;1.2.2 Other real estate;2008;366.4;98.5;269.0;128.8
129;Private households;1.2.2 Other real estate;2009;380.7;105.6;277.5;134.5
130;Private households;1.2.2 Other real estate;2010;398.0;116.6;292.9;141.0
131;Private households;1.2.2 Other real estate;2011;410.1;119.3;290.9;138.9
132;Private households;1.2.2 Other real estate;2012;420.6;120.0;285.3;137.5
133;Private households;1.2.2 Other real estate;2013;430.0;118.9;276.5;133.8
134;Private households;1.2.2 Other real estate;2014;477.8;118.8;248.7;117.0
135;Private households;1.2.2 Other real estate;2015;501.5;121.4;242.1;113.2
136;Private households;1.2.2 Other real estate;2016;512.1;125.4;244.9;115.0
137;Private households;1.2.2 Other real estate;2017;514.3;130.2;253.1;117.0
138;Private households;1.2.2 Other real estate;2018;517.0;138.9;268.6;123.0
139;Private households;1.2.2 Other real estate;2019;528.2;150.9;285.7;130.7
140;Private households;1.2.2 Other real estate;2020;538.7;164.0;304.3;140.0
141;Private households;1.2.2 Other real estate;2021;555.8;177.1;318.7;149.5
142;Private households;1.2.2 Other real estate;2022;564.2;189.7;336.3;159.0
143;Private households;1.2.2 Other real estate;2023;567.6;206.8;364.4;183.9
144;Private households;1.3 Enterprise capital;2006;603.9;33.3;55.2;12.1
145;Private households;1.3 Enterprise capital;2007;634.0;34.8;54.9;12.2
146;Private households;1.3 Enterprise capital;2008;636.4;36.2;56.9;13.2
147;Private households;1.3 Enterprise capital;2009;677.5;37.8;55.7;12.3
148;Private households;1.3 Enterprise capital;2010;727.4;39.6;54.4;10.3
149;Private households;1.3 Enterprise capital;2011;737.1;42.0;57.0;10.2
150;Private households;1.3 Enterprise capital;2012;760.2;45.7;60.1;10.1
151;Private households;1.3 Enterprise capital;2013;773.1;49.2;63.7;9.8
152;Private households;1.3 Enterprise capital;2014;793.3;52.5;66.2;9.8
153;Private households;1.3 Enterprise capital;2015;810.5;54.9;67.7;10.2
154;Private households;1.3 Enterprise capital;2016;847.6;60.6;71.5;10.8
155;Private households;1.3 Enterprise capital;2017;870.0;65.7;75.5;11.8
156;Private households;1.3 Enterprise capital;2018;894.9;70.2;78.4;12.5
157;Private households;1.3 Enterprise capital;2019;920.2;75.5;82.0;13.5
158;Private households;1.3 Enterprise capital;2020;946.0;80.0;84.6;14.2
159;Private households;1.3 Enterprise capital;2021;964.4;83.4;86.5;15.3
160;Private households;1.3 Enterprise capital;2022;989.3;90.2;91.2;16.7
161;Private households;1.3 Enterprise capital;2023;1014.7;97.3;95.9;17.8
162;Private households;1.4 Substantial interest;2006;280.8;155.3;553.1;78.2
163;Private households;1.4 Substantial interest;2007;280.6;154.8;551.6;78.2
164;Private households;1.4 Substantial interest;2008;289.8;154.8;534.1;73.2
165;Private households;1.4 Substantial interest;2009;314.9;175.4;557.0;78.9
166;Private households;1.4 Substantial interest;2010;336.0;205.6;611.9;79.5
167;Private households;1.4 Substantial interest;2011;350.9;216.5;616.9;77.6
168;Private households;1.4 Substantial interest;2012;365.2;228.3;625.1;79.5
169;Private households;1.4 Substantial interest;2013;375.7;279.1;742.9;86.6
170;Private households;1.4 Substantial interest;2014;390.9;274.7;702.8;74.7
171;Private households;1.4 Substantial interest;2015;398.6;298.9;749.7;81.5
172;Private households;1.4 Substantial interest;2016;403.1;299.6;743.2;87.0
173;Private households;1.4 Substantial interest;2017;415.4;332.3;799.9;101.8
174;Private households;1.4 Substantial interest;2018;421.6;361.8;858.1;116.7
175;Private households;1.4 Substantial interest;2019;431.7;390.1;903.7;135.2
176;Private households;1.4 Substantial interest;2020;440.9;430.8;977.0;151.7
177;Private households;1.4 Substantial interest;2021;454.9;399.7;878.7;148.4
178;Private households;1.4 Substantial interest;2022;470.2;491.6;1045.4;174.5
179;Private households;1.4 Substantial interest;2023;499.4;523.4;1048.1;177.4
180;Private households;1.5 Other assets;2006;315.1;24.2;76.7;21.7
181;Private households;1.5 Other assets;2007;326.1;26.1;80.0;24.1
182;Private households;1.5 Other assets;2008;340.7;30.5;89.5;26.8
183;Private households;1.5 Other assets;2009;347.3;32.6;93.8;30.0
184;Private households;1.5 Other assets;2010;359.0;35.6;99.1;33.9
185;Private households;1.5 Other assets;2011;349.0;41.7;119.4;44.2
186;Private households;1.5 Other assets;2012;342.6;41.4;120.9;45.0
187;Private households;1.5 Other assets;2013;346.4;42.0;121.2;45.8
188;Private households;1.5 Other assets;2014;376.4;42.6;113.3;41.1
189;Private households;1.5 Other assets;2015;384.0;43.3;112.7;40.0
190;Private households;1.5 Other assets;2016;384.0;43.9;114.2;40.0
191;Private households;1.5 Other assets;2017;397.0;53.3;134.2;40.1
192;Private households;1.5 Other assets;2018;400.4;52.7;131.6;43.3
193;Private households;1.5 Other assets;2019;405.8;52.7;130.0;41.4
194;Private households;1.5 Other assets;2020;429.1;57.1;133.1;40.0
195;Private households;1.5 Other assets;2021;452.2;60.4;133.5;39.0
196;Private households;1.5 Other assets;2022;470.7;67.2;142.9;38.9
197;Private households;1.5 Other assets;2023;448.3;65.3;145.7;40.8
198;Private households;2 Liabilities;2006;3395.8;546.5;160.9;125.5
199;Private households;2 Liabilities;2007;3474.0;595.5;171.4;135.6
200;Private households;2 Liabilities;2008;3558.9;648.9;182.3;143.7
201;Private households;2 Liabilities;2009;3595.6;690.0;191.9;150.2
202;Private households;2 Liabilities;2010;3634.4;721.0;198.4;155.0
203;Private households;2 Liabilities;2011;5196.3;757.6;145.8;103.2
204;Private households;2 Liabilities;2012;5263.2;786.9;149.5;107.7
205;Private households;2 Liabilities;2013;5416.7;793.8;146.5;104.8
206;Private households;2 Liabilities;2014;5349.1;792.7;148.2;108.3
207;Private households;2 Liabilities;2015;5353.9;785.0;146.6;107.3
208;Private households;2 Liabilities;2016;5466.6;796.7;145.7;105.8
209;Private households;2 Liabilities;2017;5444.4;810.4;148.9;109.4
210;Private households;2 Liabilities;2018;5541.3;831.4;150.0;108.8
211;Private households;2 Liabilities;2019;5482.5;856.6;156.2;113.4
212;Private households;2 Liabilities;2020;5482.9;869.3;158.6;114.4
213;Private households;2 Liabilities;2021;5540.4;897.1;161.9;114.0
214;Private households;2 Liabilities;2022;5782.3;955.7;165.3;110.0
215;Private households;2 Liabilities;2023;5932.1;989.0;166.7;107.5
216;Private households;2.1 Principal residence loans;2006;3255.4;485.6;149.2;124.8
217;Private households;2.1 Principal residence loans;2007;3329.8;528.1;158.6;134.4
218;Private households;2.1 Principal residence loans;2008;3411.5;573.3;168.0;142.0
219;Private households;2.1 Principal residence loans;2009;3440.6;607.6;176.6;150.0
220;Private households;2.1 Principal residence loans;2010;3475.2;628.3;180.8;154.0
221;Private households;2.1 Principal residence loans;2011;3549.7;648.4;182.7;155.5
222;Private households;2.1 Principal residence loans;2012;3616.6;671.7;185.7;158.8
223;Private households;2.1 Principal residence loans;2013;3654.2;679.3;185.9;159.0
224;Private households;2.1 Principal residence loans;2014;3647.3;673.7;184.7;158.5
225;Private households;2.1 Principal residence loans;2015;3626.1;666.5;183.8;157.6
226;Private households;2.1 Principal residence loans;2016;3670.0;674.1;183.7;157.1
227;Private households;2.1 Principal residence loans;2017;3696.9;683.4;184.9;157.6
228;Private households;2.1 Principal residence loans;2018;3725.2;698.9;187.6;158.9
229;Private households;2.1 Principal residence loans;2019;3757.9;715.4;190.4;159.6
230;Private households;2.1 Principal residence loans;2020;3760.7;721.9;192.0;160.3
231;Private households;2.1 Principal residence loans;2021;3775.6;739.0;195.7;162.5
232;Private households;2.1 Principal residence loans;2022;3802.2;763.5;200.8;165.5
233;Private households;2.1 Principal residence loans;2023;3830.6;790.4;206.3;169.1
234;Private households;2.2 Education loans;2006;;;;
235;Private households;2.2 Education loans;2007;;;;
236;Private households;2.2 Education loans;2008;;;;
237;Private households;2.2 Education loans;2009;;;;
238;Private households;2.2 Education loans;2010;;;;
239;Private households;2.2 Education loans;2011;673.8;9.5;14.1;8.0
240;Private households;2.2 Education loans;2012;767.8;10.2;13.3;7.2
241;Private households;2.2 Education loans;2013;808.7;10.9;13.5;7.4
242;Private households;2.2 Education loans;2014;853.7;11.8;13.8;7.5
243;Private households;2.2 Education loans;2015;902.1;12.7;14.1;7.7
244;Private households;2.2 Education loans;2016;993.4;13.9;14.0;7.4
245;Private households;2.2 Education loans;2017;1079.0;15.4;14.3;8.0
246;Private households;2.2 Education loans;2018;1171.0;17.5;14.9;8.7
247;Private households;2.2 Education loans;2019;1236.3;20.6;16.7;10.2
248;Private households;2.2 Education loans;2020;1289.0;23.1;17.9;11.0
249;Private households;2.2 Education loans;2021;1368.6;25.0;18.3;10.6
250;Private households;2.2 Education loans;2022;1377.0;26.5;19.2;11.2
251;Private households;2.2 Education loans;2023;1395.1;28.0;20.1;11.6
252;Private households;2.3 Other loans;2006;562.1;61.0;108.4;27.4
253;Private households;2.3 Other loans;2007;595.4;67.4;113.2;29.0
254;Private households;2.3 Other loans;2008;612.7;75.6;123.4;30.2
255;Private households;2.3 Other loans;2009;631.6;82.4;130.4;32.0
256;Private households;2.3 Other loans;2010;633.5;92.7;146.3;36.8
257;Private households;2.3 Other loans;2011;3073.4;99.7;32.4;1.3
258;Private households;2.3 Other loans;2012;3053.8;105.0;34.4;1.4
259;Private households;2.3 Other loans;2013;3258.0;103.6;31.8;1.2
260;Private households;2.3 Other loans;2014;3075.2;107.3;34.9;1.6
261;Private households;2.3 Other loans;2015;3020.5;105.7;35.0;1.7
262;Private households;2.3 Other loans;2016;3105.8;108.6;35.0;1.7
263;Private households;2.3 Other loans;2017;2882.7;111.6;38.7;1.7
264;Private households;2.3 Other loans;2018;2955.4;115.0;38.9;1.4
265;Private households;2.3 Other loans;2019;2736.4;120.6;44.1;1.7
266;Private households;2.3 Other loans;2020;2662.7;124.4;46.7;1.8
267;Private households;2.3 Other loans;2021;2645.2;133.1;50.3;1.6
268;Private households;2.3 Other loans;2022;3358.8;165.7;49.3;1.1
269;Private households;2.3 Other loans;2023;3979.0;170.5;42.9;0.9
270;Private households;Wealth excluding principal residence;2006;7024.5;600.0;85.4;13.4
271;Private households;Wealth excluding principal residence;2007;7081.5;631.4;89.2;13.4
272;Private households;Wealth excluding principal residence;2008;7146.0;661.9;92.6;14.1
273;Private households;Wealth excluding principal residence;2009;7214.8;650.9;90.2;14.0
274;Private households;Wealth excluding principal residence;2010;7281.3;714.1;98.1;14.9
275;Private households;Wealth excluding principal residence;2011;7347.6;707.8;96.3;13.5
276;Private households;Wealth excluding principal residence;2012;7412.1;710.7;95.9;12.5
277;Private households;Wealth excluding principal residence;2013;7467.8;773.9;103.6;10.8
278;Private households;Wealth excluding principal residence;2014;7496.4;774.5;103.3;10.9
279;Private households;Wealth excluding principal residence;2015;7568.5;818.6;108.2;12.9
280;Private households;Wealth excluding principal residence;2016;7623.2;831.2;109.0;13.0
281;Private households;Wealth excluding principal residence;2017;7694.9;887.3;115.3;13.7
282;Private households;Wealth excluding principal residence;2018;7760.6;937.5;120.8;14.1
283;Private households;Wealth excluding principal residence;2019;7827.4;970.8;124.0;14.6
284;Private households;Wealth excluding principal residence;2020;7894.5;1058.8;134.1;15.7
285;Private households;Wealth excluding principal residence;2021;7951.4;1083.4;136.3;19.7
286;Private households;Wealth excluding principal residence;2022;8041.4;1228.1;152.7;21.3
287;Private households;Wealth excluding principal residence;2023;8156.9;1283.2;157.3;22.0
288;Type: Single person household;Wealth;2006;2427.9;218.7;90.1;8.3
289;Type: Single person household;Wealth;2007;2471.9;235.6;95.3;8.8
290;Type: Single person household;Wealth;2008;2515.8;256.9;102.1;10.0
291;Type: Single person household;Wealth;2009;2559.5;251.4;98.2;9.4
292;Type: Single person household;Wealth;2010;2586.4;253.2;97.9;8.9
293;Type: Single person household;Wealth;2011;2623.5;258.6;98.6;8.4
294;Type: Single person household;Wealth;2012;2673.3;249.2;93.2;7.0
295;Type: Single person household;Wealth;2013;2713.4;238.4;87.8;4.7
296;Type: Single person household;Wealth;2014;2721.7;249.6;91.7;4.7
297;Type: Single person household;Wealth;2015;2782.7;256.8;92.3;6.5
298;Type: Single person household;Wealth;2016;2820.4;272.2;96.5;7.0
299;Type: Single person household;Wealth;2017;2872.5;295.7;102.9;8.3
300;Type: Single person household;Wealth;2018;2910.1;327.5;112.5;9.7
301;Type: Single person household;Wealth;2019;2949.8;357.9;121.3;11.2
302;Type: Single person household;Wealth;2020;2985.9;396.1;132.7;12.6
303;Type: Single person household;Wealth;2021;3014.0;434.4;144.1;15.7
304;Type: Single person household;Wealth;2022;3085.0;537.1;174.1;18.0
305;Type: Single person household;Wealth;2023;3164.0;548.4;173.3;17.7
306;Type: Single person household;1 Assets;2006;2427.9;294.8;121.4;12.1
307;Type: Single person household;1 Assets;2007;2471.9;320.5;129.7;12.8
308;Type: Single person household;1 Assets;2008;2515.8;351.4;139.7;14.8
309;Type: Single person household;1 Assets;2009;2559.5;353.0;137.9;15.4
310;Type: Single person household;1 Assets;2010;2586.4;358.6;138.6;16.5
311;Type: Single person household;1 Assets;2011;2623.5;374.9;142.9;16.9
312;Type: Single person household;1 Assets;2012;2673.3;371.5;139.0;15.7
313;Type: Single person household;1 Assets;2013;2713.4;362.6;133.6;14.2
314;Type: Single person household;1 Assets;2014;2721.7;374.5;137.6;14.2
315;Type: Single person household;1 Assets;2015;2782.7;380.6;136.8;15.5
316;Type: Single person household;1 Assets;2016;2820.4;399.2;141.5;15.2
317;Type: Single person household;1 Assets;2017;2872.5;424.8;147.9;15.5
318;Type: Single person household;1 Assets;2018;2910.1;459.7;158.0;15.6
319;Type: Single person household;1 Assets;2019;2949.8;495.0;167.8;16.1
320;Type: Single person household;1 Assets;2020;2985.9;536.1;179.5;17.0
321;Type: Single person household;1 Assets;2021;3014.0;579.0;192.1;19.8
322;Type: Single person household;1 Assets;2022;3085.0;693.6;224.8;21.5
323;Type: Single person household;1 Assets;2023;3164.0;711.1;224.8;21.6
324;Type: Single person household;1.1 Financial assets;2006;1933.5;86.7;44.8;10.7
325;Type: Single person household;1.1 Financial assets;2007;1963.1;91.9;46.8;10.8
326;Type: Single person household;1.1 Financial assets;2008;2033.6;97.0;47.7;11.0
327;Type: Single person household;1.1 Financial assets;2009;2079.9;89.2;42.9;10.7
328;Type: Single person household;1.1 Financial assets;2010;2266.8;96.4;42.5;9.3
329;Type: Single person household;1.1 Financial assets;2011;2432.1;102.4;42.1;8.1
330;Type: Single person household;1.1 Financial assets;2012;2505.3;102.0;40.7;7.0
331;Type: Single person household;1.1 Financial assets;2013;2528.6;104.8;41.4;5.9
332;Type: Single person household;1.1 Financial assets;2014;2545.9;105.7;41.5;5.8
333;Type: Single person household;1.1 Financial assets;2015;2644.6;109.1;41.2;6.8
334;Type: Single person household;1.1 Financial assets;2016;2673.6;110.2;41.2;6.9
335;Type: Single person household;1.1 Financial assets;2017;2735.4;113.2;41.4;7.1
336;Type: Single person household;1.1 Financial assets;2018;2773.2;116.1;41.9;7.2
337;Type: Single person household;1.1 Financial assets;2019;2812.4;115.7;41.1;7.5
338;Type: Single person household;1.1 Financial assets;2020;2857.2;123.6;43.3;8.0
339;Type: Single person household;1.1 Financial assets;2021;2909.8;133.5;45.9;9.8
340;Type: Single person household;1.1 Financial assets;2022;2976.7;148.1;49.8;10.8
341;Type: Single person household;1.1 Financial assets;2023;3046.7;150.9;49.5;11.3
342;Type: Single person household;1.1.1 Bank and savings credits;2006;1916.1;51.3;26.8;9.1
343;Type: Single person household;1.1.1 Bank and savings credits;2007;1944.8;53.9;27.7;9.2
344;Type: Single person household;1.1.1 Bank and savings credits;2008;2019.7;59.8;29.6;9.6
345;Type: Single person household;1.1.1 Bank and savings credits;2009;2067.2;63.5;30.7;9.7
346;Type: Single person household;1.1.1 Bank and savings credits;2010;2260.3;66.8;29.6;8.3
347;Type: Single person household;1.1.1 Bank and savings credits;2011;2428.8;70.8;29.2;7.2
348;Type: Single person household;1.1.1 Bank and savings credits;2012;2503.0;73.4;29.3;6.5
349;Type: Single person household;1.1.1 Bank and savings credits;2013;2526.4;74.6;29.5;5.4
350;Type: Single person household;1.1.1 Bank and savings credits;2014;2544.1;74.4;29.3;5.3
351;Type: Single person household;1.1.1 Bank and savings credits;2015;2643.4;76.3;28.8;6.3
352;Type: Single person household;1.1.1 Bank and savings credits;2016;2672.3;76.6;28.7;6.3
353;Type: Single person household;1.1.1 Bank and savings credits;2017;2734.4;78.4;28.7;6.6
354;Type: Single person household;1.1.1 Bank and savings credits;2018;2772.0;79.6;28.7;6.7
355;Type: Single person household;1.1.1 Bank and savings credits;2019;2811.2;81.3;28.9;7.0
356;Type: Single person household;1.1.1 Bank and savings credits;2020;2855.8;84.9;29.7;7.4
357;Type: Single person household;1.1.1 Bank and savings credits;2021;2908.1;93.4;32.1;9.1
358;Type: Single person household;1.1.1 Bank and savings credits;2022;2974.7;100.5;33.8;9.9
359;Type: Single person household;1.1.1 Bank and savings credits;2023;3044.9;106.7;35.1;10.4
360;Type: Single person household;1.1.2 Securities;2006;430.1;35.4;82.3;14.2
361;Type: Single person household;1.1.2 Securities;2007;422.5;38.0;89.9;15.4
362;Type: Single person household;1.1.2 Securities;2008;408.2;37.2;91.1;15.3
363;Type: Single person household;1.1.2 Securities;2009;390.5;25.7;65.8;11.0
364;Type: Single person household;1.1.2 Securities;2010;393.5;29.6;75.1;12.6
365;Type: Single person household;1.1.2 Securities;2011;384.7;31.6;82.0;13.1
366;Type: Single person household;1.1.2 Securities;2012;365.1;28.6;78.3;12.6
367;Type: Single person household;1.1.2 Securities;2013;341.4;30.2;88.4;13.9
368;Type: Single person household;1.1.2 Securities;2014;319.6;31.3;97.8;15.5
369;Type: Single person household;1.1.2 Securities;2015;308.5;32.8;106.3;17.4
370;Type: Single person household;1.1.2 Securities;2016;301.8;33.6;111.2;19.0
371;Type: Single person household;1.1.2 Securities;2017;295.9;34.8;117.7;20.0
372;Type: Single person household;1.1.2 Securities;2018;294.1;36.5;124.1;21.2
373;Type: Single person household;1.1.2 Securities;2019;301.7;34.4;113.8;19.4
374;Type: Single person household;1.1.2 Securities;2020;312.9;38.7;123.8;20.3
375;Type: Single person household;1.1.2 Securities;2021;345.6;40.1;116.0;17.8
376;Type: Single person household;1.1.2 Securities;2022;392.7;47.6;121.3;16.1
377;Type: Single person household;1.1.2 Securities;2023;409.2;44.1;107.9;13.7
