ID;Geslacht;Nationaliteit;Perioden;InternationaleStudenten_1
178;Totaal mannen en vrouwen;Albanees;2023/'24;250.0
179;Totaal mannen en vrouwen;Albanees;2024/'25;220.0
180;Totaal mannen en vrouwen;Algerijns;2005/'06;20.0
181;Totaal mannen en vrouwen;Algerijns;2006/'07;10.0
182;Totaal mannen en vrouwen;Algerijns;2007/'08;10.0
183;Totaal mannen en vrouwen;Algerijns;2008/'09;20.0
184;Totaal mannen en vrouwen;Algerijns;2009/'10;10.0
185;Totaal mannen en vrouwen;Algerijns;2010/'11;10.0
186;Totaal mannen en vrouwen;Algerijns;2011/'12;10.0
187;Totaal mannen en vrouwen;Algerijns;2012/'13;10.0
188;Totaal mannen en vrouwen;Algerijns;2013/'14;10.0
189;Totaal mannen en vrouwen;Algerijns;2014/'15;10.0
190;Totaal mannen en vrouwen;Algerijns;2015/'16;10.0
191;Totaal mannen en vrouwen;Algerijns;2016/'17;10.0
192;Totaal mannen en vrouwen;Algerijns;2017/'18;10.0
193;Totaal mannen en vrouwen;Algerijns;2018/'19;10.0
194;Totaal mannen en vrouwen;Algerijns;2019/'20;10.0
195;Totaal mannen en vrouwen;Algerijns;2020/'21;20.0
196;Totaal mannen en vrouwen;Algerijns;2021/'22;20.0
197;Totaal mannen en vrouwen;Algerijns;2022/'23;20.0
198;Totaal mannen en vrouwen;Algerijns;2023/'24;20.0
199;Totaal mannen en vrouwen;Algerijns;2024/'25;20.0
200;Totaal mannen en vrouwen;Amerikaans;2005/'06;430.0
201;Totaal mannen en vrouwen;Amerikaans;2006/'07;430.0
202;Totaal mannen en vrouwen;Amerikaans;2007/'08;460.0
203;Totaal mannen en vrouwen;Amerikaans;2008/'09;460.0
204;Totaal mannen en vrouwen;Amerikaans;2009/'10;480.0
205;Totaal mannen en vrouwen;Amerikaans;2010/'11;480.0
206;Totaal mannen en vrouwen;Amerikaans;2011/'12;560.0
207;Totaal mannen en vrouwen;Amerikaans;2012/'13;530.0
208;Totaal mannen en vrouwen;Amerikaans;2013/'14;530.0
209;Totaal mannen en vrouwen;Amerikaans;2014/'15;580.0
210;Totaal mannen en vrouwen;Amerikaans;2015/'16;660.0
211;Totaal mannen en vrouwen;Amerikaans;2016/'17;820.0
212;Totaal mannen en vrouwen;Amerikaans;2017/'18;1090.0
213;Totaal mannen en vrouwen;Amerikaans;2018/'19;1290.0
214;Totaal mannen en vrouwen;Amerikaans;2019/'20;1450.0
215;Totaal mannen en vrouwen;Amerikaans;2020/'21;1600.0
216;Totaal mannen en vrouwen;Amerikaans;2021/'22;1850.0
217;Totaal mannen en vrouwen;Amerikaans;2022/'23;1880.0
218;Totaal mannen en vrouwen;Amerikaans;2023/'24;2000.0
219;Totaal mannen en vrouwen;Amerikaans;2024/'25;1950.0
220;Totaal mannen en vrouwen;Andorrees;2005/'06;0.0
221;Totaal mannen en vrouwen;Andorrees;2006/'07;0.0
222;Totaal mannen en vrouwen;Andorrees;2007/'08;0.0
223;Totaal mannen en vrouwen;Andorrees;2008/'09;0.0
224;Totaal mannen en vrouwen;Andorrees;2009/'10;0.0
225;Totaal mannen en vrouwen;Andorrees;2010/'11;0.0
226;Totaal mannen en vrouwen;Andorrees;2011/'12;0.0
227;Totaal mannen en vrouwen;Andorrees;2012/'13;0.0
228;Totaal mannen en vrouwen;Andorrees;2013/'14;0.0
229;Totaal mannen en vrouwen;Andorrees;2014/'15;0.0
230;Totaal mannen en vrouwen;Andorrees;2015/'16;0.0
231;Totaal mannen en vrouwen;Andorrees;2016/'17;0.0
232;Totaal mannen en vrouwen;Andorrees;2017/'18;0.0
233;Totaal mannen en vrouwen;Andorrees;2018/'19;0.0
234;Totaal mannen en vrouwen;Andorrees;2019/'20;0.0
235;Totaal mannen en vrouwen;Andorrees;2020/'21;0.0
236;Totaal mannen en vrouwen;Andorrees;2021/'22;0.0
237;Totaal mannen en vrouwen;Andorrees;2022/'23;0.0
238;Totaal mannen en vrouwen;Andorrees;2023/'24;0.0
239;Totaal mannen en vrouwen;Andorrees;2024/'25;0.0
240;Totaal mannen en vrouwen;Angolees;2005/'06;10.0
241;Totaal mannen en vrouwen;Angolees;2006/'07;10.0
242;Totaal mannen en vrouwen;Angolees;2007/'08;10.0
243;Totaal mannen en vrouwen;Angolees;2008/'09;10.0
244;Totaal mannen en vrouwen;Angolees;2009/'10;10.0
245;Totaal mannen en vrouwen;Angolees;2010/'11;10.0
246;Totaal mannen en vrouwen;Angolees;2011/'12;10.0
247;Totaal mannen en vrouwen;Angolees;2012/'13;10.0
248;Totaal mannen en vrouwen;Angolees;2013/'14;10.0
249;Totaal mannen en vrouwen;Angolees;2014/'15;10.0
250;Totaal mannen en vrouwen;Angolees;2015/'16;0.0
251;Totaal mannen en vrouwen;Angolees;2016/'17;0.0
252;Totaal mannen en vrouwen;Angolees;2017/'18;0.0
253;Totaal mannen en vrouwen;Angolees;2018/'19;0.0
254;Totaal mannen en vrouwen;Angolees;2019/'20;0.0
255;Totaal mannen en vrouwen;Angolees;2020/'21;0.0
256;Totaal mannen en vrouwen;Angolees;2021/'22;0.0
257;Totaal mannen en vrouwen;Angolees;2022/'23;0.0
258;Totaal mannen en vrouwen;Angolees;2023/'24;0.0
259;Totaal mannen en vrouwen;Angolees;2024/'25;10.0
260;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2005/'06;0.0
261;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2006/'07;0.0
262;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2007/'08;0.0
263;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2008/'09;0.0
264;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2009/'10;0.0
265;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2010/'11;0.0
266;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2011/'12;0.0
267;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2012/'13;0.0
268;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2013/'14;0.0
269;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2014/'15;0.0
270;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2015/'16;0.0
271;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2016/'17;0.0
272;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2017/'18;0.0
273;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2018/'19;0.0
274;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2019/'20;0.0
275;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2020/'21;0.0
276;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2021/'22;0.0
277;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2022/'23;0.0
278;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2023/'24;0.0
279;Totaal mannen en vrouwen;Burger van Antigua en Barbuda;2024/'25;0.0
280;Totaal mannen en vrouwen;Argentijns;2005/'06;30.0
281;Totaal mannen en vrouwen;Argentijns;2006/'07;20.0
282;Totaal mannen en vrouwen;Argentijns;2007/'08;20.0
283;Totaal mannen en vrouwen;Argentijns;2008/'09;20.0
284;Totaal mannen en vrouwen;Argentijns;2009/'10;20.0
285;Totaal mannen en vrouwen;Argentijns;2010/'11;20.0
286;Totaal mannen en vrouwen;Argentijns;2011/'12;20.0
287;Totaal mannen en vrouwen;Argentijns;2012/'13;20.0
288;Totaal mannen en vrouwen;Argentijns;2013/'14;20.0
289;Totaal mannen en vrouwen;Argentijns;2014/'15;30.0
290;Totaal mannen en vrouwen;Argentijns;2015/'16;30.0
291;Totaal mannen en vrouwen;Argentijns;2016/'17;30.0
292;Totaal mannen en vrouwen;Argentijns;2017/'18;30.0
293;Totaal mannen en vrouwen;Argentijns;2018/'19;40.0
294;Totaal mannen en vrouwen;Argentijns;2019/'20;40.0
295;Totaal mannen en vrouwen;Argentijns;2020/'21;50.0
296;Totaal mannen en vrouwen;Argentijns;2021/'22;60.0
297;Totaal mannen en vrouwen;Argentijns;2022/'23;50.0
298;Totaal mannen en vrouwen;Argentijns;2023/'24;40.0
299;Totaal mannen en vrouwen;Argentijns;2024/'25;40.0
300;Totaal mannen en vrouwen;Armeens;2005/'06;10.0
301;Totaal mannen en vrouwen;Armeens;2006/'07;20.0
302;Totaal mannen en vrouwen;Armeens;2007/'08;20.0
303;Totaal mannen en vrouwen;Armeens;2008/'09;30.0
304;Totaal mannen en vrouwen;Armeens;2009/'10;30.0
305;Totaal mannen en vrouwen;Armeens;2010/'11;30.0
306;Totaal mannen en vrouwen;Armeens;2011/'12;30.0
307;Totaal mannen en vrouwen;Armeens;2012/'13;30.0
308;Totaal mannen en vrouwen;Armeens;2013/'14;30.0
309;Totaal mannen en vrouwen;Armeens;2014/'15;40.0
310;Totaal mannen en vrouwen;Armeens;2015/'16;40.0
311;Totaal mannen en vrouwen;Armeens;2016/'17;40.0
312;Totaal mannen en vrouwen;Armeens;2017/'18;30.0
313;Totaal mannen en vrouwen;Armeens;2018/'19;40.0
314;Totaal mannen en vrouwen;Armeens;2019/'20;40.0
315;Totaal mannen en vrouwen;Armeens;2020/'21;50.0
316;Totaal mannen en vrouwen;Armeens;2021/'22;60.0
317;Totaal mannen en vrouwen;Armeens;2022/'23;70.0
318;Totaal mannen en vrouwen;Armeens;2023/'24;70.0
319;Totaal mannen en vrouwen;Armeens;2024/'25;80.0
320;Totaal mannen en vrouwen;Australisch;2005/'06;50.0
321;Totaal mannen en vrouwen;Australisch;2006/'07;40.0
322;Totaal mannen en vrouwen;Australisch;2007/'08;60.0
323;Totaal mannen en vrouwen;Australisch;2008/'09;60.0
324;Totaal mannen en vrouwen;Australisch;2009/'10;60.0
325;Totaal mannen en vrouwen;Australisch;2010/'11;50.0
326;Totaal mannen en vrouwen;Australisch;2011/'12;50.0
327;Totaal mannen en vrouwen;Australisch;2012/'13;60.0
328;Totaal mannen en vrouwen;Australisch;2013/'14;70.0
329;Totaal mannen en vrouwen;Australisch;2014/'15;80.0
330;Totaal mannen en vrouwen;Australisch;2015/'16;80.0
331;Totaal mannen en vrouwen;Australisch;2016/'17;100.0
332;Totaal mannen en vrouwen;Australisch;2017/'18;90.0
333;Totaal mannen en vrouwen;Australisch;2018/'19;120.0
334;Totaal mannen en vrouwen;Australisch;2019/'20;120.0
335;Totaal mannen en vrouwen;Australisch;2020/'21;130.0
336;Totaal mannen en vrouwen;Australisch;2021/'22;120.0
337;Totaal mannen en vrouwen;Australisch;2022/'23;120.0
338;Totaal mannen en vrouwen;Australisch;2023/'24;160.0
339;Totaal mannen en vrouwen;Australisch;2024/'25;160.0
340;Totaal mannen en vrouwen;Azerbeidzjaans;2005/'06;20.0
341;Totaal mannen en vrouwen;Azerbeidzjaans;2006/'07;20.0
342;Totaal mannen en vrouwen;Azerbeidzjaans;2007/'08;20.0
343;Totaal mannen en vrouwen;Azerbeidzjaans;2008/'09;30.0
344;Totaal mannen en vrouwen;Azerbeidzjaans;2009/'10;30.0
345;Totaal mannen en vrouwen;Azerbeidzjaans;2010/'11;40.0
346;Totaal mannen en vrouwen;Azerbeidzjaans;2011/'12;50.0
347;Totaal mannen en vrouwen;Azerbeidzjaans;2012/'13;70.0
348;Totaal mannen en vrouwen;Azerbeidzjaans;2013/'14;70.0
349;Totaal mannen en vrouwen;Azerbeidzjaans;2014/'15;80.0
350;Totaal mannen en vrouwen;Azerbeidzjaans;2015/'16;100.0
351;Totaal mannen en vrouwen;Azerbeidzjaans;2016/'17;110.0
352;Totaal mannen en vrouwen;Azerbeidzjaans;2017/'18;100.0
353;Totaal mannen en vrouwen;Azerbeidzjaans;2018/'19;100.0
354;Totaal mannen en vrouwen;Azerbeidzjaans;2019/'20;130.0
355;Totaal mannen en vrouwen;Azerbeidzjaans;2020/'21;170.0
356;Totaal mannen en vrouwen;Azerbeidzjaans;2021/'22;170.0
357;Totaal mannen en vrouwen;Azerbeidzjaans;2022/'23;190.0
358;Totaal mannen en vrouwen;Azerbeidzjaans;2023/'24;210.0
359;Totaal mannen en vrouwen;Azerbeidzjaans;2024/'25;240.0
360;Totaal mannen en vrouwen;Bahamaans;2005/'06;0.0
361;Totaal mannen en vrouwen;Bahamaans;2006/'07;0.0
362;Totaal mannen en vrouwen;Bahamaans;2007/'08;0.0
363;Totaal mannen en vrouwen;Bahamaans;2008/'09;0.0
364;Totaal mannen en vrouwen;Bahamaans;2009/'10;0.0
365;Totaal mannen en vrouwen;Bahamaans;2010/'11;0.0
366;Totaal mannen en vrouwen;Bahamaans;2011/'12;0.0
367;Totaal mannen en vrouwen;Bahamaans;2012/'13;0.0
368;Totaal mannen en vrouwen;Bahamaans;2013/'14;0.0
369;Totaal mannen en vrouwen;Bahamaans;2014/'15;0.0
370;Totaal mannen en vrouwen;Bahamaans;2015/'16;0.0
371;Totaal mannen en vrouwen;Bahamaans;2016/'17;0.0
372;Totaal mannen en vrouwen;Bahamaans;2017/'18;0.0
373;Totaal mannen en vrouwen;Bahamaans;2018/'19;0.0
374;Totaal mannen en vrouwen;Bahamaans;2019/'20;0.0
375;Totaal mannen en vrouwen;Bahamaans;2020/'21;10.0
376;Totaal mannen en vrouwen;Bahamaans;2021/'22;10.0
377;Totaal mannen en vrouwen;Bahamaans;2022/'23;10.0
378;Totaal mannen en vrouwen;Bahamaans;2023/'24;10.0
379;Totaal mannen en vrouwen;Bahamaans;2024/'25;0.0
380;Totaal mannen en vrouwen;Bahreins;2005/'06;0.0
381;Totaal mannen en vrouwen;Bahreins;2006/'07;0.0
382;Totaal mannen en vrouwen;Bahreins;2007/'08;0.0
383;Totaal mannen en vrouwen;Bahreins;2008/'09;0.0
384;Totaal mannen en vrouwen;Bahreins;2009/'10;0.0
385;Totaal mannen en vrouwen;Bahreins;2010/'11;0.0
386;Totaal mannen en vrouwen;Bahreins;2011/'12;0.0
387;Totaal mannen en vrouwen;Bahreins;2012/'13;0.0
388;Totaal mannen en vrouwen;Bahreins;2013/'14;0.0
389;Totaal mannen en vrouwen;Bahreins;2014/'15;0.0
390;Totaal mannen en vrouwen;Bahreins;2015/'16;10.0
391;Totaal mannen en vrouwen;Bahreins;2016/'17;10.0
392;Totaal mannen en vrouwen;Bahreins;2017/'18;10.0
393;Totaal mannen en vrouwen;Bahreins;2018/'19;20.0
394;Totaal mannen en vrouwen;Bahreins;2019/'20;10.0
395;Totaal mannen en vrouwen;Bahreins;2020/'21;10.0
396;Totaal mannen en vrouwen;Bahreins;2021/'22;10.0
397;Totaal mannen en vrouwen;Bahreins;2022/'23;10.0
398;Totaal mannen en vrouwen;Bahreins;2023/'24;10.0
399;Totaal mannen en vrouwen;Bahreins;2024/'25;20.0
400;Totaal mannen en vrouwen;Barbadaans;2005/'06;0.0
401;Totaal mannen en vrouwen;Barbadaans;2006/'07;0.0
402;Totaal mannen en vrouwen;Barbadaans;2007/'08;0.0
403;Totaal mannen en vrouwen;Barbadaans;2008/'09;0.0
404;Totaal mannen en vrouwen;Barbadaans;2009/'10;0.0
405;Totaal mannen en vrouwen;Barbadaans;2010/'11;0.0
406;Totaal mannen en vrouwen;Barbadaans;2011/'12;0.0
407;Totaal mannen en vrouwen;Barbadaans;2012/'13;0.0
408;Totaal mannen en vrouwen;Barbadaans;2013/'14;0.0
