ID;GeboortelandMoeder;HerkomstlandMoeder;Perioden;LevendGeborenKinderen_1;NietGestandaardiseerd_2;Gestandaardiseerd_3;NietGestandaardiseerd_4;Gestandaardiseerd_5;GemiddeldKindertalPerVrouw_6
53;Moeder geboren in Nederland;Europa (exclusief Nederland);2023;3582.0;34.32;38.67;31.4;32.0;1.306
54;Moeder geboren in Nederland;België;2022;576.0;44.24;44.66;31.5;31.9;1.508
55;Moeder geboren in Nederland;België;2023;511.0;38.86;39.38;31.2;31.6;1.312
56;Moeder geboren in Nederland;Duitsland;2022;967.0;34.54;39.09;31.6;31.9;1.324
57;Moeder geboren in Nederland;Duitsland;2023;943.0;33.9;37.84;31.5;31.9;1.269
58;Moeder geboren in Nederland;Polen;2022;155.0;31.5;36.46;;;
59;Moeder geboren in Nederland;Polen;2023;172.0;31.81;38.39;31.2;32.5;1.383
60;Moeder geboren in Nederland;Overig Europa;2022;1914.0;33.62;38.94;31.4;32.2;1.336
61;Moeder geboren in Nederland;Overig Europa;2023;1956.0;33.72;38.92;31.4;32.2;1.325
62;Moeder geboren in Nederland;Buiten Europa;2022;19142.0;48.08;47.34;31.1;31.7;1.601
63;Moeder geboren in Nederland;Buiten Europa;2023;18940.0;46.4;46.1;31.2;31.8;1.549
64;Moeder geboren in Nederland;Indonesië;2022;1875.0;40.29;43.89;34.1;32.6;1.381
65;Moeder geboren in Nederland;Indonesië;2023;1675.0;37.79;42.37;34.2;32.5;1.331
66;Moeder geboren in Nederland;Marokko;2022;4835.0;60.84;60.25;30.5;31.5;2.028
67;Moeder geboren in Nederland;Marokko;2023;4805.0;58.1;58.17;30.7;31.7;1.955
68;Moeder geboren in Nederland;Nederlandse Cariben;2022;1170.0;49.48;48.54;29.8;30.9;1.603
69;Moeder geboren in Nederland;Nederlandse Cariben;2023;1199.0;48.89;48.52;29.9;31.0;1.594
70;Moeder geboren in Nederland;Suriname;2022;3241.0;48.35;43.0;31.3;31.4;1.459
71;Moeder geboren in Nederland;Suriname;2023;3191.0;46.82;42.47;31.6;31.7;1.437
72;Moeder geboren in Nederland;Turkije;2022;4154.0;52.77;47.98;30.6;31.4;1.598
73;Moeder geboren in Nederland;Turkije;2023;4146.0;51.34;46.64;30.7;31.4;1.538
74;Moeder geboren in Nederland;Afrika (exclusief Marokko);2022;1240.0;38.1;41.49;30.4;32.3;1.458
75;Moeder geboren in Nederland;Afrika (exclusief Marokko);2023;1236.0;36.06;38.97;30.6;32.3;1.355
76;Moeder geboren in Nederland;Amerika en Oceanië (ex. Suriname en N...;2022;1245.0;46.08;41.89;31.5;32.3;1.447
77;Moeder geboren in Nederland;Amerika en Oceanië (ex. Suriname en N...;2023;1219.0;43.53;40.1;31.5;32.3;1.367
78;Moeder geboren in Nederland;Azië (exclusief Indonesië en Turkije);2022;1382.0;32.04;38.7;31.5;33.0;1.443
79;Moeder geboren in Nederland;Azië (exclusief Indonesië en Turkije);2023;1469.0;32.29;38.77;31.4;33.0;1.425
80;Moeder geboren in Nederland;Afrika;2022;6075.0;54.23;55.16;30.5;31.7;1.868
81;Moeder geboren in Nederland;Afrika;2023;6041.0;51.65;52.84;30.7;31.9;1.784
82;Moeder geboren in Nederland;Amerika;2022;5338.0;47.72;44.06;31.0;31.5;1.49
83;Moeder geboren in Nederland;Amerika;2023;5267.0;45.89;43.1;31.2;31.7;1.453
84;Moeder geboren in Nederland;Azië;2022;7411.0;44.01;44.91;31.7;32.0;1.523
85;Moeder geboren in Nederland;Azië;2023;7290.0;42.74;43.83;31.7;32.0;1.475
86;Moeder geboren in Nederland;Oceanië;2022;318.0;54.48;39.57;31.7;32.0;1.323
87;Moeder geboren in Nederland;Oceanië;2023;342.0;57.92;42.58;31.9;31.8;1.391
88;Moeder geboren in Nederland;Europese Unie (exclusief Nederland);2022;2827.0;36.12;40.06;31.6;32.0;1.364
89;Moeder geboren in Nederland;Europese Unie (exclusief Nederland);2023;2762.0;34.93;38.72;31.6;32.1;1.305
90;Moeder geboren in Nederland;Onbekend herkomstland;2022;0.0;0.0;0.0;0.0;0.0;0.0
91;Moeder geboren in Nederland;Onbekend herkomstland;2023;0.0;0.0;0.0;0.0;0.0;0.0
92;Moeder geboren buiten Nederland;Totaal;2022;34819.0;43.97;40.16;32.3;31.6;1.378
93;Moeder geboren buiten Nederland;Totaal;2023;35007.0;41.18;37.86;32.3;31.8;1.287
94;Moeder geboren buiten Nederland;Nederland;2022;;;;;;
95;Moeder geboren buiten Nederland;Nederland;2023;;;;;;
96;Moeder geboren buiten Nederland;Buiten Nederland;2022;34819.0;43.97;40.16;32.3;31.6;1.378
97;Moeder geboren buiten Nederland;Buiten Nederland;2023;35007.0;41.18;37.86;32.3;31.8;1.287
98;Moeder geboren buiten Nederland;Europa (exclusief Nederland);2022;11677.0;36.07;31.66;32.3;32.2;1.093
99;Moeder geboren buiten Nederland;Europa (exclusief Nederland);2023;11885.0;33.02;29.61;32.4;32.3;1.01
100;Moeder geboren buiten Nederland;België;2022;593.0;37.47;40.22;31.6;31.7;1.363
101;Moeder geboren buiten Nederland;België;2023;585.0;36.33;39.13;31.6;31.8;1.315
102;Moeder geboren buiten Nederland;Duitsland;2022;1152.0;32.83;32.17;33.4;33.7;1.154
103;Moeder geboren buiten Nederland;Duitsland;2023;1138.0;32.66;31.6;33.6;34.0;1.123
104;Moeder geboren buiten Nederland;Polen;2022;2943.0;41.28;32.4;31.7;30.8;1.155
105;Moeder geboren buiten Nederland;Polen;2023;2862.0;38.78;31.48;31.6;30.7;1.116
106;Moeder geboren buiten Nederland;Overig Europa;2022;6989.0;34.68;30.73;32.4;32.4;1.072
107;Moeder geboren buiten Nederland;Overig Europa;2023;7300.0;31.04;28.13;32.6;32.6;0.967
108;Moeder geboren buiten Nederland;Buiten Europa;2022;23142.0;49.43;46.44;32.2;31.1;1.62
109;Moeder geboren buiten Nederland;Buiten Europa;2023;23122.0;47.17;44.2;32.3;31.3;1.527
110;Moeder geboren buiten Nederland;Indonesië;2022;380.0;34.73;40.91;33.9;32.8;1.313
111;Moeder geboren buiten Nederland;Indonesië;2023;304.0;27.15;31.47;34.5;33.7;1.002
112;Moeder geboren buiten Nederland;Marokko;2022;2496.0;59.05;75.59;33.5;30.2;2.843
113;Moeder geboren buiten Nederland;Marokko;2023;2213.0;54.11;70.64;33.7;30.6;2.535
114;Moeder geboren buiten Nederland;Nederlandse Cariben;2022;1296.0;46.66;41.19;30.7;30.6;1.414
115;Moeder geboren buiten Nederland;Nederlandse Cariben;2023;1342.0;47.46;42.0;31.1;30.8;1.456
116;Moeder geboren buiten Nederland;Suriname;2022;1009.0;36.16;45.17;33.1;30.7;1.611
117;Moeder geboren buiten Nederland;Suriname;2023;902.0;34.12;41.96;33.1;30.7;1.489
118;Moeder geboren buiten Nederland;Turkije;2022;1746.0;36.95;42.7;32.9;30.5;1.556
119;Moeder geboren buiten Nederland;Turkije;2023;1677.0;34.96;38.99;32.9;30.9;1.376
120;Moeder geboren buiten Nederland;Afrika (exclusief Marokko);2022;4344.0;66.98;61.48;31.5;30.7;2.172
121;Moeder geboren buiten Nederland;Afrika (exclusief Marokko);2023;4469.0;64.94;59.97;31.5;30.8;2.094
122;Moeder geboren buiten Nederland;Amerika en Oceanië (ex. Suriname en N...;2022;2520.0;40.29;34.3;33.9;33.4;1.158
123;Moeder geboren buiten Nederland;Amerika en Oceanië (ex. Suriname en N...;2023;2555.0;38.45;32.8;34.0;33.6;1.1
124;Moeder geboren buiten Nederland;Azië (exclusief Indonesië en Turkije);2022;9351.0;50.66;43.06;31.8;30.9;1.521
125;Moeder geboren buiten Nederland;Azië (exclusief Indonesië en Turkije);2023;9660.0;48.27;41.4;31.8;31.0;1.448
126;Moeder geboren buiten Nederland;Afrika;2022;6840.0;63.85;65.98;32.2;30.6;2.347
127;Moeder geboren buiten Nederland;Afrika;2023;6682.0;60.91;63.13;32.3;30.8;2.209
128;Moeder geboren buiten Nederland;Amerika;2022;4698.0;40.93;38.15;32.8;32.0;1.301
129;Moeder geboren buiten Nederland;Amerika;2023;4671.0;39.77;36.78;33.0;32.1;1.249
130;Moeder geboren buiten Nederland;Azië;2022;11477.0;47.27;42.93;32.0;30.9;1.511
131;Moeder geboren buiten Nederland;Azië;2023;11641.0;44.89;40.7;32.0;31.1;1.418
132;Moeder geboren buiten Nederland;Oceanië;2022;127.0;36.86;30.94;;;
133;Moeder geboren buiten Nederland;Oceanië;2023;128.0;34.63;29.51;34.5;34.7;0.992
134;Moeder geboren buiten Nederland;Europese Unie (exclusief Nederland);2022;9071.0;36.12;31.71;32.1;32.1;1.101
135;Moeder geboren buiten Nederland;Europese Unie (exclusief Nederland);2023;9085.0;34.37;30.7;32.2;32.3;1.057
136;Moeder geboren buiten Nederland;Onbekend herkomstland;2022;0.0;0.0;0.0;0.0;0.0;0.0
137;Moeder geboren buiten Nederland;Onbekend herkomstland;2023;0.0;0.0;0.0;0.0;0.0;0.0
