ID;Feedstocks;Destination;Periods;TotalSupply_1;IndigenousProduction_2;ProductionFromOtherSources_3;Imports_4;Exports_5;StockChange_6;TotalConsumption_7;Processing_8;FinalConsumption_9;OpeningStock_10;ClosingStock_11;StockChange_12
665;Crude oil;Total for processing and transit;1976;;1371.0;;;;;;;;;;
666;Crude oil;Total for processing and transit;1977;;1382.0;;;;;;;;;;
667;Crude oil;Total for processing and transit;1978;;1402.0;;98119.0;43382.0;;56427.0;56427.0;;;;
668;Crude oil;Total for processing and transit;1979;;1316.0;;112847.0;55030.0;;59070.0;59070.0;;;;
669;Crude oil;Total for processing and transit;1980;50081.0;1280.0;;100443.0;50310.0;-1333.0;50081.0;50081.0;;7287.0;8619.0;-1333.0
670;Crude oil;Total for processing and transit;1981;40388.0;1348.0;;81551.0;43929.0;1418.0;40388.0;40388.0;;7921.0;6504.0;1418.0
671;Crude oil;Total for processing and transit;1982;38372.0;1637.0;;75626.0;39985.0;1093.0;38372.0;38372.0;;6504.0;5410.0;1093.0
672;Crude oil;Total for processing and transit;1983;41623.0;2589.0;;69105.0;31307.0;1235.0;41623.0;41623.0;;5410.0;4175.0;1235.0
673;Crude oil;Total for processing and transit;1984;45394.0;3102.0;;73776.0;31113.0;-371.0;45394.0;45394.0;;4175.0;4546.0;-371.0
674;Crude oil;Total for processing and transit;1985;39869.0;3728.0;;65953.0;28399.0;-1413.0;39869.0;39869.0;;4546.0;5960.0;-1413.0
675;Crude oil;Total for processing and transit;1986;47252.0;4628.0;;72467.0;29801.0;-42.0;47252.0;47252.0;;5960.0;6002.0;-42.0
676;Crude oil;Total for processing and transit;1987;47833.0;4291.0;;71815.0;27345.0;-929.0;47833.0;47833.0;;6002.0;6930.0;-929.0
677;Crude oil;Total for processing and transit;1988;50813.0;3909.0;;78577.0;32640.0;967.0;50813.0;50813.0;;6930.0;5963.0;967.0
678;Crude oil;Total for processing and transit;1989;50583.0;3391.0;;81995.0;34255.0;-548.0;50583.0;50583.0;;5963.0;6511.0;-548.0
679;Crude oil;Total for processing and transit;1990;47759.0;3533.0;;81633.0;37408.0;-39.0;47759.0;47759.0;;5877.0;5916.0;-39.0
680;Crude oil;Total for processing and transit;1991;51739.0;3258.0;;92671.0;44750.0;558.0;51739.0;51739.0;;5916.0;5358.0;558.0
681;Crude oil;Total for processing and transit;1992;53737.0;2845.0;;95220.0;43187.0;-1155.0;53737.0;53737.0;;5358.0;6513.0;-1155.0
682;Crude oil;Total for processing and transit;1993;54255.0;2672.0;;95194.0;44285.0;665.0;54255.0;54255.0;;6513.0;5848.0;665.0
683;Crude oil;Total for processing and transit;1994;53731.0;3437.0;;94682.0;44254.0;-164.0;53731.0;53731.0;;5848.0;6012.0;-164.0
684;Crude oil;Total for processing and transit;1995;56311.0;2721.0;;93716.0;40157.0;35.0;56311.0;56311.0;;6012.0;5977.0;35.0
685;Crude oil;Total for processing and transit;1996;57258.0;2221.0;;99505.0;44410.0;-58.0;57258.0;57258.0;;5977.0;6034.0;-58.0
686;Crude oil;Total for processing and transit;1997;57217.0;2069.0;;99856.0;44493.0;-216.0;57217.0;57217.0;;6034.0;6250.0;-216.0
687;Crude oil;Total for processing and transit;1998;58868.0;1715.0;;102782.0;44723.0;-907.0;58868.0;58810.0;58.0;6250.0;7157.0;-907.0
688;Crude oil;Total for processing and transit;1999;54948.0;1594.0;;95884.0;43746.0;1216.0;54948.0;54919.0;29.0;7157.0;5940.0;1216.0
689;Crude oil;Total for processing and transit;2000;54994.0;1443.0;;97347.0;43167.0;-630.0;54994.0;54976.0;18.0;5940.0;6570.0;-630.0
690;Crude oil;Total for processing and transit;2001;54676.0;1370.0;;95850.0;41854.0;-690.0;54676.0;54676.0;;6570.0;7260.0;-690.0
691;Crude oil;Total for processing and transit;2002;48284.0;2232.0;;91368.0;45983.0;667.0;48284.0;48284.0;;7260.0;6594.0;667.0
692;Crude oil;Total for processing and transit;2003;50500.0;2304.0;;94748.0;47658.0;1105.0;50500.0;50500.0;;6594.0;5489.0;1105.0
693;Crude oil;Total for processing and transit;2004;52799.0;2106.0;;98059.0;46897.0;-469.0;52799.0;52799.0;;5489.0;5958.0;-469.0
694;Crude oil;Total for processing and transit;2005;52546.0;1492.0;;96667.0;45150.0;-462.0;52546.0;52546.0;;5958.0;6420.0;-462.0
695;Crude oil;Total for processing and transit;2006;48874.0;1348.0;;92216.0;44026.0;-664.0;48874.0;48874.0;;6420.0;7085.0;-664.0
696;Crude oil;Total for processing and transit;2007;49875.0;2068.0;;92495.0;44371.0;-317.0;49875.0;49875.0;;7085.0;7402.0;-317.0
697;Crude oil;Total for processing and transit;2008;50297.0;1731.0;;94898.0;46571.0;240.0;50297.0;50297.0;;7402.0;7162.0;240.0
698;Crude oil;Total for processing and transit;2009;48122.0;1312.0;;88893.0;41766.0;-317.0;48122.0;48122.0;;7162.0;7479.0;-317.0
699;Crude oil;Total for processing and transit;2010;51844.0;1020.0;;93809.0;43307.0;321.0;51844.0;51844.0;;7479.0;7158.0;321.0
700;Crude oil;Total for processing and transit;2011;50263.0;1081.0;;87639.0;40261.0;1805.0;50263.0;50263.0;;7158.0;5353.0;1805.0
701;Crude oil;Total for processing and transit;2012;50348.0;1111.0;;94440.0;43721.0;-1482.0;50348.0;50348.0;;5353.0;6835.0;-1482.0
702;Crude oil;Total for processing and transit;2013;47708.0;1122.0;;85306.0;38825.0;106.0;47708.0;47708.0;;6835.0;6729.0;106.0
703;Crude oil;Total for processing and transit;2014;49780.0;1525.0;;91894.0;43349.0;-290.0;49780.0;49780.0;;6729.0;7019.0;-290.0
704;Crude oil;Total for processing and transit;2015;52787.0;1396.0;;96288.0;44038.0;-860.0;52787.0;52787.0;;7019.0;7879.0;-860.0
705;Crude oil;Total for processing and transit;2016;54391.0;957.0;;96061.0;43134.0;508.0;54391.0;54391.0;;7879.0;7372.0;508.0
706;Crude oil;Total for processing and transit;2017;53525.0;952.0;;97782.0;45186.0;-22.0;53525.0;53525.0;;7372.0;7394.0;-22.0
707;Crude oil;Total for processing and transit;2018;54942.0;901.0;;94972.0;40767.0;-164.0;54942.0;54942.0;;7394.0;7557.0;-164.0
708;Crude oil;Total for processing and transit;2019;56847.0;747.0;;101321.0;44519.0;-701.0;56847.0;56847.0;;7557.0;8258.0;-701.0
709;Crude oil;Total for processing and transit;2020;50402.0;737.0;;88935.0;39710.0;440.0;50402.0;50402.0;;8258.0;7818.0;440.0
710;Crude oil;Total for processing and transit;2021;;;;;;;;;;;;
711;Crude oil;Total for processing and transit;2013 January;4309.0;100.0;;7687.0;3760.0;282.0;4309.0;4309.0;;6835.0;6553.0;282.0
712;Crude oil;Total for processing and transit;2013 February;3824.0;93.0;;7268.0;3275.0;-262.0;3824.0;3824.0;;6553.0;6815.0;-262.0
713;Crude oil;Total for processing and transit;2013 March;3955.0;111.0;;7733.0;3508.0;-382.0;3955.0;3955.0;;6815.0;7197.0;-382.0
714;Crude oil;Total for processing and transit;2013 1st quarter;12087.0;304.0;;22688.0;10542.0;-363.0;12087.0;12087.0;;6835.0;7197.0;-363.0
715;Crude oil;Total for processing and transit;2013 April;4206.0;98.0;;6846.0;3011.0;273.0;4206.0;4206.0;;7197.0;6924.0;273.0
716;Crude oil;Total for processing and transit;2013 May;4168.0;98.0;;6709.0;3137.0;497.0;4168.0;4168.0;;6924.0;6427.0;497.0
717;Crude oil;Total for processing and transit;2013 June;4031.0;89.0;;7666.0;3230.0;-494.0;4031.0;4031.0;;6427.0;6921.0;-494.0
718;Crude oil;Total for processing and transit;2013 2nd quarter;12405.0;286.0;;21220.0;9378.0;277.0;12405.0;12405.0;;7197.0;6921.0;277.0
719;Crude oil;Total for processing and transit;2013 July;4177.0;80.0;;7901.0;3597.0;-207.0;4177.0;4177.0;;6921.0;7128.0;-207.0
720;Crude oil;Total for processing and transit;2013 August;4274.0;85.0;;6988.0;3407.0;608.0;4274.0;4274.0;;7128.0;6519.0;608.0
721;Crude oil;Total for processing and transit;2013 September;3707.0;79.0;;7217.0;3240.0;-349.0;3707.0;3707.0;;6519.0;6869.0;-349.0
722;Crude oil;Total for processing and transit;2013 3rd quarter;12158.0;244.0;;22106.0;10244.0;52.0;12158.0;12158.0;;6921.0;6869.0;52.0
723;Crude oil;Total for processing and transit;2013 October;3218.0;94.0;;5902.0;2631.0;-147.0;3218.0;3218.0;;6869.0;7016.0;-147.0
724;Crude oil;Total for processing and transit;2013 November;3757.0;102.0;;6905.0;2653.0;-597.0;3757.0;3757.0;;7016.0;7612.0;-597.0
725;Crude oil;Total for processing and transit;2013 December;4083.0;92.0;;6484.0;3377.0;883.0;4083.0;4083.0;;7612.0;6729.0;883.0
726;Crude oil;Total for processing and transit;2013 4th quarter;11058.0;288.0;;19291.0;8661.0;140.0;11058.0;11058.0;;6869.0;6729.0;140.0
727;Crude oil;Total for processing and transit;2014 January;4199.0;99.0;;6425.0;3005.0;679.0;4199.0;4199.0;;6729.0;6050.0;679.0
728;Crude oil;Total for processing and transit;2014 February;3975.0;89.0;;7382.0;3188.0;-308.0;3975.0;3975.0;;6050.0;6358.0;-308.0
729;Crude oil;Total for processing and transit;2014 March;4140.0;122.0;;8461.0;3856.0;-587.0;4140.0;4140.0;;6358.0;6945.0;-587.0
730;Crude oil;Total for processing and transit;2014 1st quarter;12314.0;311.0;;22268.0;10048.0;-216.0;12314.0;12314.0;;6729.0;6945.0;-216.0
731;Crude oil;Total for processing and transit;2014 April;4129.0;129.0;;7640.0;4111.0;471.0;4129.0;4129.0;;6945.0;6474.0;471.0
732;Crude oil;Total for processing and transit;2014 May;4141.0;140.0;;8004.0;3590.0;-413.0;4141.0;4141.0;;6474.0;6888.0;-413.0
733;Crude oil;Total for processing and transit;2014 June;3684.0;103.0;;7295.0;3707.0;-8.0;3684.0;3684.0;;6888.0;6895.0;-8.0
734;Crude oil;Total for processing and transit;2014 2nd quarter;11954.0;372.0;;22940.0;11408.0;50.0;11954.0;11954.0;;6945.0;6895.0;50.0
735;Crude oil;Total for processing and transit;2014 July;4012.0;113.0;;7714.0;3887.0;73.0;4012.0;4012.0;;6895.0;6822.0;73.0
736;Crude oil;Total for processing and transit;2014 August;4120.0;145.0;;7747.0;3889.0;116.0;4120.0;4120.0;;6822.0;6706.0;116.0
737;Crude oil;Total for processing and transit;2014 September;4264.0;142.0;;7171.0;3372.0;324.0;4264.0;4264.0;;6706.0;6382.0;324.0
738;Crude oil;Total for processing and transit;2014 3rd quarter;12397.0;400.0;;22632.0;11148.0;513.0;12397.0;12397.0;;6895.0;6382.0;513.0
739;Crude oil;Total for processing and transit;2014 October;4676.0;148.0;;8340.0;3630.0;-182.0;4676.0;4676.0;;6382.0;6564.0;-182.0
740;Crude oil;Total for processing and transit;2014 November;4270.0;146.0;;7437.0;3413.0;100.0;4270.0;4270.0;;6564.0;6464.0;100.0
741;Crude oil;Total for processing and transit;2014 December;4170.0;149.0;;8278.0;3702.0;-555.0;4170.0;4170.0;;6464.0;7019.0;-555.0
742;Crude oil;Total for processing and transit;2014 4th quarter;13115.0;442.0;;24055.0;10745.0;-637.0;13115.0;13115.0;;6382.0;7019.0;-637.0
743;Crude oil;Total for processing and transit;2015 January;4580.0;133.0;;7707.0;3640.0;380.0;4580.0;4580.0;;7019.0;6640.0;380.0
744;Crude oil;Total for processing and transit;2015 February;4273.0;128.0;;7884.0;3348.0;-390.0;4273.0;4273.0;;6640.0;7029.0;-390.0
745;Crude oil;Total for processing and transit;2015 March;4011.0;146.0;;7689.0;3889.0;66.0;4011.0;4011.0;;7029.0;6963.0;66.0
746;Crude oil;Total for processing and transit;2015 1st quarter;12865.0;406.0;;23280.0;10877.0;56.0;12865.0;12865.0;;7019.0;6963.0;56.0
747;Crude oil;Total for processing and transit;2015 April;4031.0;118.0;;8058.0;3747.0;-399.0;4031.0;4031.0;;6963.0;7362.0;-399.0
748;Crude oil;Total for processing and transit;2015 May;4667.0;120.0;;8691.0;3922.0;-223.0;4667.0;4667.0;;7362.0;7585.0;-223.0
749;Crude oil;Total for processing and transit;2015 June;4405.0;95.0;;8088.0;3528.0;-250.0;4405.0;4405.0;;7585.0;7835.0;-250.0
750;Crude oil;Total for processing and transit;2015 2nd quarter;13103.0;334.0;;24837.0;11197.0;-872.0;13103.0;13103.0;;6963.0;7835.0;-872.0
751;Crude oil;Total for processing and transit;2015 July;4483.0;106.0;;7775.0;3712.0;314.0;4483.0;4483.0;;7835.0;7521.0;314.0
752;Crude oil;Total for processing and transit;2015 August;4500.0;114.0;;8403.0;3603.0;-414.0;4500.0;4500.0;;7521.0;7935.0;-414.0
753;Crude oil;Total for processing and transit;2015 September;4480.0;100.0;;7822.0;3711.0;270.0;4480.0;4480.0;;7935.0;7665.0;270.0
754;Crude oil;Total for processing and transit;2015 3rd quarter;13463.0;320.0;;23999.0;11026.0;169.0;13463.0;13463.0;;7835.0;7665.0;169.0
755;Crude oil;Total for processing and transit;2015 October;4775.0;101.0;;8115.0;3468.0;28.0;4775.0;4775.0;;7665.0;7638.0;28.0
756;Crude oil;Total for processing and transit;2015 November;3934.0;128.0;;7361.0;3419.0;-136.0;3934.0;3934.0;;7638.0;7774.0;-136.0
757;Crude oil;Total for processing and transit;2015 December;4646.0;107.0;;8696.0;4051.0;-105.0;4646.0;4646.0;;7774.0;7879.0;-105.0
758;Crude oil;Total for processing and transit;2015 4th quarter;13356.0;336.0;;24172.0;10939.0;-214.0;13356.0;13356.0;;7665.0;7879.0;-214.0
759;Crude oil;Total for processing and transit;2016 January;4690.0;102.0;;8574.0;4006.0;21.0;4690.0;4690.0;;7879.0;7859.0;21.0
760;Crude oil;Total for processing and transit;2016 February;4271.0;87.0;;7400.0;3425.0;209.0;4271.0;4271.0;;7859.0;7650.0;209.0
761;Crude oil;Total for processing and transit;2016 March;4384.0;95.0;;7756.0;3630.0;163.0;4384.0;4384.0;;7650.0;7487.0;163.0
762;Crude oil;Total for processing and transit;2016 1st quarter;13346.0;285.0;;23730.0;11061.0;393.0;13346.0;13346.0;;7879.0;7487.0;393.0
763;Crude oil;Total for processing and transit;2016 April;4387.0;83.0;;7621.0;3448.0;132.0;4387.0;4387.0;;7487.0;7355.0;132.0
764;Crude oil;Total for processing and transit;2016 May;4480.0;81.0;;8074.0;3674.0;-2.0;4480.0;4480.0;;7355.0;7358.0;-2.0
765;Crude oil;Total for processing and transit;2016 June;4475.0;44.0;;8315.0;3515.0;-368.0;4475.0;4475.0;;7358.0;7726.0;-368.0
766;Crude oil;Total for processing and transit;2016 2nd quarter;13342.0;208.0;;24010.0;10637.0;-239.0;13342.0;13342.0;;7487.0;7726.0;-239.0
767;Crude oil;Total for processing and transit;2016 July;4395.0;77.0;;8585.0;3677.0;-590.0;4395.0;4395.0;;7726.0;8316.0;-590.0
768;Crude oil;Total for processing and transit;2016 August;4634.0;71.0;;7980.0;3683.0;267.0;4634.0;4634.0;;8316.0;8049.0;267.0
769;Crude oil;Total for processing and transit;2016 September;4631.0;63.0;;7900.0;3552.0;220.0;4631.0;4631.0;;8049.0;7829.0;220.0
770;Crude oil;Total for processing and transit;2016 3rd quarter;13661.0;212.0;;24465.0;10913.0;-103.0;13661.0;13661.0;;7726.0;7829.0;-103.0
771;Crude oil;Total for processing and transit;2016 October;4638.0;85.0;;8183.0;3452.0;-179.0;4638.0;4638.0;;7829.0;8008.0;-179.0
772;Crude oil;Total for processing and transit;2016 November;4732.0;77.0;;7694.0;3237.0;198.0;4732.0;4732.0;;8008.0;7809.0;198.0
773;Crude oil;Total for processing and transit;2016 December;4673.0;91.0;;7979.0;3834.0;438.0;4673.0;4673.0;;7809.0;7372.0;438.0
774;Crude oil;Total for processing and transit;2016 4th quarter;14043.0;252.0;;23857.0;10523.0;457.0;14043.0;14043.0;;7829.0;7372.0;457.0
775;Crude oil;Total for processing and transit;2017 January;4696.0;93.0;;8592.0;3745.0;-244.0;4696.0;4696.0;;7372.0;7616.0;-244.0
776;Crude oil;Total for processing and transit;2017 February;4276.0;80.0;;7800.0;3347.0;-257.0;4276.0;4276.0;;7616.0;7873.0;-257.0
777;Crude oil;Total for processing and transit;2017 March;4785.0;91.0;;7941.0;3804.0;558.0;4785.0;4785.0;;7873.0;7315.0;558.0
778;Crude oil;Total for processing and transit;2017 1st quarter;13758.0;264.0;;24332.0;10896.0;57.0;13758.0;13758.0;;7372.0;7315.0;57.0
779;Crude oil;Total for processing and transit;2017 April;4870.0;88.0;;9029.0;3724.0;-522.0;4870.0;4870.0;;7315.0;7837.0;-522.0
780;Crude oil;Total for processing and transit;2017 May;4755.0;89.0;;8680.0;3707.0;-308.0;4755.0;4755.0;;7837.0;8145.0;-308.0
781;Crude oil;Total for processing and transit;2017 June;4608.0;56.0;;8655.0;3838.0;-265.0;4608.0;4608.0;;8145.0;8410.0;-265.0
782;Crude oil;Total for processing and transit;2017 2nd quarter;14233.0;233.0;;26363.0;11268.0;-1095.0;14233.0;14233.0;;7315.0;8410.0;-1095.0
783;Crude oil;Total for processing and transit;2017 July;4663.0;63.0;;8334.0;4023.0;288.0;4663.0;4663.0;;8410.0;8122.0;288.0
784;Crude oil;Total for processing and transit;2017 August;3933.0;75.0;;7325.0;4033.0;566.0;3933.0;3933.0;;8122.0;7556.0;566.0
785;Crude oil;Total for processing and transit;2017 September;4246.0;74.0;;7274.0;3876.0;775.0;4246.0;4246.0;;7556.0;6781.0;775.0
786;Crude oil;Total for processing and transit;2017 3rd quarter;12842.0;212.0;;22933.0;11932.0;1629.0;12842.0;12842.0;;8410.0;6781.0;1629.0
787;Crude oil;Total for processing and transit;2017 October;4103.0;76.0;;8311.0;3555.0;-728.0;4103.0;4103.0;;6781.0;7509.0;-728.0
788;Crude oil;Total for processing and transit;2017 November;4209.0;79.0;;7675.0;3655.0;109.0;4209.0;4209.0;;7509.0;7400.0;109.0
789;Crude oil;Total for processing and transit;2017 December;4381.0;88.0;;8167.0;3881.0;6.0;4381.0;4381.0;;7400.0;7394.0;6.0
790;Crude oil;Total for processing and transit;2017 4th quarter;12693.0;243.0;;24153.0;11091.0;-613.0;12693.0;12693.0;;6781.0;7394.0;-613.0
791;Crude oil;Total for processing and transit;2018 January;5031.0;90.0;;8652.0;3714.0;3.0;5031.0;5031.0;;7394.0;7391.0;3.0
792;Crude oil;Total for processing and transit;2018 February;4594.0;87.0;;8116.0;3447.0;-162.0;4594.0;4594.0;;7391.0;7553.0;-162.0
793;Crude oil;Total for processing and transit;2018 March;4482.0;80.0;;7583.0;3244.0;63.0;4482.0;4482.0;;7553.0;7489.0;63.0
794;Crude oil;Total for processing and transit;2018 1st quarter;14107.0;257.0;;24351.0;10406.0;-96.0;14107.0;14107.0;;7394.0;7489.0;-96.0
795;Crude oil;Total for processing and transit;2018 April;4579.0;80.0;;7960.0;2902.0;-560.0;4579.0;4579.0;;7489.0;8049.0;-560.0
796;Crude oil;Total for processing and transit;2018 May;4707.0;89.0;;8539.0;2971.0;-950.0;4707.0;4707.0;;8049.0;8999.0;-950.0
797;Crude oil;Total for processing and transit;2018 June;4403.0;68.0;;7553.0;3528.0;310.0;4403.0;4403.0;;8999.0;8690.0;310.0
798;Crude oil;Total for processing and transit;2018 2nd quarter;13689.0;237.0;;24053.0;9401.0;-1200.0;13689.0;13689.0;;7489.0;8690.0;-1200.0
799;Crude oil;Total for processing and transit;2018 July;4546.0;67.0;;7139.0;3673.0;1013.0;4546.0;4546.0;;8690.0;7677.0;1013.0
800;Crude oil;Total for processing and transit;2018 August;4820.0;68.0;;8753.0;3786.0;-216.0;4820.0;4820.0;;7677.0;7893.0;-216.0
801;Crude oil;Total for processing and transit;2018 September;4097.0;68.0;;6962.0;3300.0;367.0;4097.0;4097.0;;7893.0;7526.0;367.0
802;Crude oil;Total for processing and transit;2018 3rd quarter;13462.0;204.0;;22854.0;10758.0;1163.0;13462.0;13462.0;;8690.0;7526.0;1163.0
803;Crude oil;Total for processing and transit;2018 October;4373.0;70.0;;7739.0;3505.0;69.0;4373.0;4373.0;;7526.0;7457.0;69.0
804;Crude oil;Total for processing and transit;2018 November;4218.0;71.0;;7793.0;3470.0;-175.0;4218.0;4218.0;;7457.0;7632.0;-175.0
805;Crude oil;Total for processing and transit;2018 December;5092.0;62.0;;8182.0;3227.0;75.0;5092.0;5092.0;;7632.0;7557.0;75.0
806;Crude oil;Total for processing and transit;2018 4th quarter;13683.0;203.0;;23714.0;10202.0;-31.0;13683.0;13683.0;;7526.0;7557.0;-31.0
807;Crude oil;Total for processing and transit;2019 January;5089.0;68.0;;9773.0;4727.0;-26.0;5089.0;5089.0;;7557.0;7583.0;-26.0
808;Crude oil;Total for processing and transit;2019 February;4332.0;56.0;;8689.0;4001.0;-412.0;4332.0;4332.0;;7583.0;7995.0;-412.0
809;Crude oil;Total for processing and transit;2019 March;4939.0;95.0;;8797.0;3560.0;-392.0;4939.0;4939.0;;7995.0;8387.0;-392.0
810;Crude oil;Total for processing and transit;2019 1st quarter;14360.0;219.0;;27260.0;12289.0;-830.0;14360.0;14360.0;;7557.0;8387.0;-830.0
811;Crude oil;Total for processing and transit;2019 April;4533.0;60.0;;7362.0;3321.0;432.0;4533.0;4533.0;;8387.0;7955.0;432.0
812;Crude oil;Total for processing and transit;2019 May;4472.0;58.0;;8175.0;3863.0;103.0;4472.0;4472.0;;7955.0;7853.0;103.0
813;Crude oil;Total for processing and transit;2019 June;3974.0;55.0;;7504.0;3634.0;49.0;3974.0;3974.0;;7853.0;7804.0;49.0
814;Crude oil;Total for processing and transit;2019 2nd quarter;12979.0;174.0;;23040.0;10819.0;583.0;12979.0;12979.0;;8387.0;7804.0;583.0
815;Crude oil;Total for processing and transit;2019 July;5006.0;51.0;;8171.0;2853.0;-363.0;5006.0;5006.0;;7804.0;8167.0;-363.0
816;Crude oil;Total for processing and transit;2019 August;4997.0;55.0;;9059.0;4220.0;103.0;4997.0;4997.0;;8167.0;8064.0;103.0
817;Crude oil;Total for processing and transit;2019 September;4885.0;52.0;;8374.0;3435.0;-106.0;4885.0;4885.0;;8064.0;8170.0;-106.0
818;Crude oil;Total for processing and transit;2019 3rd quarter;14888.0;158.0;;25604.0;10509.0;-365.0;14888.0;14888.0;;7804.0;8170.0;-365.0
819;Crude oil;Total for processing and transit;2019 October;5071.0;69.0;;7580.0;3485.0;907.0;5071.0;5071.0;;8170.0;7262.0;907.0
820;Crude oil;Total for processing and transit;2019 November;4620.0;70.0;;9303.0;3488.0;-1266.0;4620.0;4620.0;;7262.0;8528.0;-1266.0
821;Crude oil;Total for processing and transit;2019 December;4931.0;57.0;;8533.0;3930.0;270.0;4931.0;4931.0;;8528.0;8258.0;270.0
822;Crude oil;Total for processing and transit;2019 4th quarter;14621.0;196.0;;25416.0;10902.0;-88.0;14621.0;14621.0;;8170.0;8258.0;-88.0
823;Crude oil;Total for processing and transit;2020 January;5413.0;64.0;;8704.0;3809.0;453.0;5413.0;5413.0;;8258.0;7805.0;453.0
824;Crude oil;Total for processing and transit;2020 February;4652.0;60.0;;7977.0;3763.0;378.0;4652.0;4652.0;;7805.0;7426.0;378.0
825;Crude oil;Total for processing and transit;2020 March;4527.0;65.0;;8490.0;3902.0;-126.0;4527.0;4527.0;;7426.0;7553.0;-126.0
826;Crude oil;Total for processing and transit;2020 1st quarter;14543.0;190.0;;25122.0;11474.0;705.0;14543.0;14543.0;;8258.0;7553.0;705.0
827;Crude oil;Total for processing and transit;2020 April;4240.0;64.0;;7388.0;3162.0;-50.0;4240.0;4240.0;;7553.0;7603.0;-50.0
828;Crude oil;Total for processing and transit;2020 May;3746.0;49.0;;8308.0;2605.0;-2006.0;3746.0;3746.0;;7603.0;9609.0;-2006.0
829;Crude oil;Total for processing and transit;2020 June;3294.0;55.0;;6128.0;4087.0;1199.0;3294.0;3294.0;;9609.0;8410.0;1199.0
830;Crude oil;Total for processing and transit;2020 2nd quarter;11281.0;168.0;;21825.0;9855.0;-858.0;11281.0;11281.0;;7553.0;8410.0;-858.0
831;Crude oil;Total for processing and transit;2020 July;3671.0;62.0;;6186.0;3185.0;608.0;3671.0;3671.0;;8410.0;7803.0;608.0
832;Crude oil;Total for processing and transit;2020 August;3904.0;61.0;;7310.0;3325.0;-142.0;3904.0;3904.0;;7803.0;7945.0;-142.0
833;Crude oil;Total for processing and transit;2020 September;4144.0;53.0;;7268.0;3073.0;-104.0;4144.0;4144.0;;7945.0;8049.0;-104.0
834;Crude oil;Total for processing and transit;2020 3rd quarter;11719.0;176.0;;20764.0;9583.0;362.0;11719.0;11719.0;;8410.0;8049.0;362.0
835;Crude oil;Total for processing and transit;2020 October;4058.0;60.0;;6012.0;2158.0;144.0;4058.0;4058.0;;8049.0;7905.0;144.0
836;Crude oil;Total for processing and transit;2020 November;4445.0;66.0;;6921.0;2985.0;443.0;4445.0;4445.0;;7905.0;7462.0;443.0
837;Crude oil;Total for processing and transit;2020 December;4356.0;77.0;;8291.0;3656.0;-356.0;4356.0;4356.0;;7462.0;7818.0;-356.0
838;Crude oil;Total for processing and transit;2020 4th quarter;12859.0;203.0;;21224.0;8798.0;231.0;12859.0;12859.0;;8049.0;7818.0;231.0
839;Crude oil;Total for processing and transit;2021 January;4060.0;75.0;;7720.0;3646.0;-88.0;4060.0;4060.0;;7818.0;7906.0;-88.0
840;Crude oil;Total for processing and transit;2021 February;4740.0;68.0;;8187.0;3184.0;-330.0;4740.0;4740.0;;7906.0;8236.0;-330.0
841;Crude oil;Total for processing and transit;2021 March;4807.0;71.0;;8185.0;3752.0;303.0;4807.0;4807.0;;8236.0;7933.0;303.0
842;Crude oil;Total for processing and transit;2021 1st quater;13607.0;213.0;;24092.0;10583.0;-115.0;13607.0;13607.0;;7818.0;7933.0;-115.0
843;Crude oil;Total for processing and transit;2021 April;4517.0;87.0;;7777.0;3347.0;0.0;4517.0;4517.0;;7933.0;7933.0;0.0
844;Crude oil;Destined for processing the Netherlands;1944;;2.0;;;;;;;;;;
845;Crude oil;Destined for processing the Netherlands;1945;;6.0;;;;;;;;;;
846;Crude oil;Destined for processing the Netherlands;1946;;63.0;;;;;437.0;437.0;;;;
847;Crude oil;Destined for processing the Netherlands;1947;;213.0;;;;;1198.0;1198.0;;;;
848;Crude oil;Destined for processing the Netherlands;1948;;496.0;;;;;1663.0;1663.0;;;;
849;Crude oil;Destined for processing the Netherlands;1949;;621.0;;;;;3093.0;3093.0;;;;
850;Crude oil;Destined for processing the Netherlands;1950;;705.0;;5132.0;;;5778.0;5778.0;;;;
851;Crude oil;Destined for processing the Netherlands;1951;;714.0;;6419.0;;;7174.0;7174.0;;;;
852;Crude oil;Destined for processing the Netherlands;1952;;715.0;;7468.0;;;8039.0;8039.0;;;;
853;Crude oil;Destined for processing the Netherlands;1953;;820.0;;8690.0;;;9364.0;9364.0;;;;
854;Crude oil;Destined for processing the Netherlands;1954;;939.0;;10321.0;;;11378.0;11378.0;;;;
855;Crude oil;Destined for processing the Netherlands;1955;;1024.0;;11779.0;;;12884.0;12884.0;;;;
856;Crude oil;Destined for processing the Netherlands;1956;;1097.0;;13672.0;;;14562.0;14562.0;;;;
857;Crude oil;Destined for processing the Netherlands;1957;;1523.0;;14007.0;;;15334.0;15334.0;;;;
858;Crude oil;Destined for processing the Netherlands;1958;;1621.0;;14272.0;;;16107.0;16107.0;;;;
859;Crude oil;Destined for processing the Netherlands;1959;;1773.0;;14874.0;;;16621.0;16621.0;;;;
860;Crude oil;Destined for processing the Netherlands;1960;;1918.0;;17288.0;1.0;;18952.0;18952.0;;;;
861;Crude oil;Destined for processing the Netherlands;1961;;2047.0;;18185.0;18.0;;20330.0;20330.0;;;;
862;Crude oil;Destined for processing the Netherlands;1962;;2157.0;;20741.0;;;22722.0;22722.0;;;;
