ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
139;General government;Government debt (EMU);Total all sectors;Market value;1999 2nd quarter;276244.0;
140;General government;Government debt (EMU);Total all sectors;Market value;1999 3rd quarter;262355.0;
141;General government;Government debt (EMU);Total all sectors;Market value;1999 4th quarter;260971.0;
142;General government;Government debt (EMU);Total all sectors;Market value;1999;260971.0;
143;General government;Government debt (EMU);Total all sectors;Market value;2000 1st quarter;267297.0;
144;General government;Government debt (EMU);Total all sectors;Market value;2000 2nd quarter;260947.0;
145;General government;Government debt (EMU);Total all sectors;Market value;2000 3rd quarter;256180.0;
146;General government;Government debt (EMU);Total all sectors;Market value;2000 4th quarter;252109.0;
147;General government;Government debt (EMU);Total all sectors;Market value;2000;252109.0;
148;General government;Government debt (EMU);Total all sectors;Market value;2001 1st quarter;251826.0;
149;General government;Government debt (EMU);Total all sectors;Market value;2001 2nd quarter;262024.0;
150;General government;Government debt (EMU);Total all sectors;Market value;2001 3rd quarter;256800.0;
151;General government;Government debt (EMU);Total all sectors;Market value;2001 4th quarter;253803.0;
152;General government;Government debt (EMU);Total all sectors;Market value;2001;253803.0;
153;General government;Government debt (EMU);Total all sectors;Market value;2002 1st quarter;254026.0;
154;General government;Government debt (EMU);Total all sectors;Market value;2002 2nd quarter;261942.0;
155;General government;Government debt (EMU);Total all sectors;Market value;2002 3rd quarter;262555.0;
156;General government;Government debt (EMU);Total all sectors;Market value;2002 4th quarter;265782.0;
157;General government;Government debt (EMU);Total all sectors;Market value;2002;265782.0;
158;General government;Government debt (EMU);Total all sectors;Market value;2003 1st quarter;271647.0;
159;General government;Government debt (EMU);Total all sectors;Market value;2003 2nd quarter;274724.0;
160;General government;Government debt (EMU);Total all sectors;Market value;2003 3rd quarter;274809.0;
161;General government;Government debt (EMU);Total all sectors;Market value;2003 4th quarter;274045.0;
162;General government;Government debt (EMU);Total all sectors;Market value;2003;274045.0;
163;General government;Government debt (EMU);Total all sectors;Market value;2004 1st quarter;281339.0;
164;General government;Government debt (EMU);Total all sectors;Market value;2004 2nd quarter;283735.0;
165;General government;Government debt (EMU);Total all sectors;Market value;2004 3rd quarter;286602.0;
166;General government;Government debt (EMU);Total all sectors;Market value;2004 4th quarter;286691.0;
167;General government;Government debt (EMU);Total all sectors;Market value;2004;286691.0;
168;General government;Government debt (EMU);Total all sectors;Market value;2005 1st quarter;285839.0;
169;General government;Government debt (EMU);Total all sectors;Market value;2005 2nd quarter;307532.0;
170;General government;Government debt (EMU);Total all sectors;Market value;2005 3rd quarter;296998.0;
171;General government;Government debt (EMU);Total all sectors;Market value;2005 4th quarter;295217.0;
172;General government;Government debt (EMU);Total all sectors;Market value;2005;295217.0;
173;General government;Government debt (EMU);Total all sectors;Market value;2006 1st quarter;288714.0;
174;General government;Government debt (EMU);Total all sectors;Market value;2006 2nd quarter;287253.0;
175;General government;Government debt (EMU);Total all sectors;Market value;2006 3rd quarter;284565.0;
176;General government;Government debt (EMU);Total all sectors;Market value;2006 4th quarter;275289.0;
177;General government;Government debt (EMU);Total all sectors;Market value;2006;275289.0;
178;General government;Government debt (EMU);Total all sectors;Market value;2007 1st quarter;277107.0;
179;General government;Government debt (EMU);Total all sectors;Market value;2007 2nd quarter;279211.0;
180;General government;Government debt (EMU);Total all sectors;Market value;2007 3rd quarter;276498.0;
181;General government;Government debt (EMU);Total all sectors;Market value;2007 4th quarter;272647.0;
182;General government;Government debt (EMU);Total all sectors;Market value;2007;272647.0;
183;General government;Government debt (EMU);Total all sectors;Market value;2008 1st quarter;282729.0;
184;General government;Government debt (EMU);Total all sectors;Market value;2008 2nd quarter;287892.0;
185;General government;Government debt (EMU);Total all sectors;Market value;2008 3rd quarter;295691.0;
186;General government;Government debt (EMU);Total all sectors;Market value;2008 4th quarter;370372.0;
187;General government;Government debt (EMU);Total all sectors;Market value;2008;370372.0;
188;General government;Government debt (EMU);Total all sectors;Market value;2009 1st quarter;385024.0;
189;General government;Government debt (EMU);Total all sectors;Market value;2009 2nd quarter;377198.0;
190;General government;Government debt (EMU);Total all sectors;Market value;2009 3rd quarter;376323.0;
191;General government;Government debt (EMU);Total all sectors;Market value;2009 4th quarter;373257.0;
192;General government;Government debt (EMU);Total all sectors;Market value;2009;373257.0;
193;General government;Government debt (EMU);Total all sectors;Market value;2010 1st quarter;379365.0;
194;General government;Government debt (EMU);Total all sectors;Market value;2010 2nd quarter;402394.0;
195;General government;Government debt (EMU);Total all sectors;Market value;2010 3rd quarter;403409.0;
196;General government;Government debt (EMU);Total all sectors;Market value;2010 4th quarter;403740.0;
197;General government;Government debt (EMU);Total all sectors;Market value;2010;403740.0;
198;General government;Government debt (EMU);Total all sectors;Market value;2011 1st quarter;397995.0;
199;General government;Government debt (EMU);Total all sectors;Market value;2011 2nd quarter;411037.0;
200;General government;Government debt (EMU);Total all sectors;Market value;2011 3rd quarter;430844.0;
201;General government;Government debt (EMU);Total all sectors;Market value;2011 4th quarter;440914.0;
202;General government;Government debt (EMU);Total all sectors;Market value;2011;440914.0;
203;General government;Government debt (EMU);Total all sectors;Market value;2012 1st quarter;441319.0;
204;General government;Government debt (EMU);Total all sectors;Market value;2012 2nd quarter;457448.0;
205;General government;Government debt (EMU);Total all sectors;Market value;2012 3rd quarter;465589.0;
206;General government;Government debt (EMU);Total all sectors;Market value;2012 4th quarter;479807.0;
207;General government;Government debt (EMU);Total all sectors;Market value;2012;479807.0;
208;General government;Government debt (EMU);Total all sectors;Market value;2013 1st quarter;477279.0;
209;General government;Government debt (EMU);Total all sectors;Market value;2013 2nd quarter;484322.0;
210;General government;Government debt (EMU);Total all sectors;Market value;2013 3rd quarter;476884.0;
211;General government;Government debt (EMU);Total all sectors;Market value;2013 4th quarter;478008.0;
212;General government;Government debt (EMU);Total all sectors;Market value;2013;478008.0;
213;General government;Government debt (EMU);Total all sectors;Market value;2014 1st quarter;481033.0;
214;General government;Government debt (EMU);Total all sectors;Market value;2014 2nd quarter;500042.0;
215;General government;Government debt (EMU);Total all sectors;Market value;2014 3rd quarter;503481.0;
216;General government;Government debt (EMU);Total all sectors;Market value;2014 4th quarter;516062.0;
217;General government;Government debt (EMU);Total all sectors;Market value;2014;516062.0;
218;General government;Government debt (EMU);Total all sectors;Market value;2015 1st quarter;534649.0;
219;General government;Government debt (EMU);Total all sectors;Market value;2015 2nd quarter;505983.0;
220;General government;Government debt (EMU);Total all sectors;Market value;2015 3rd quarter;504539.0;
221;General government;Government debt (EMU);Total all sectors;Market value;2015 4th quarter;501703.0;
222;General government;Government debt (EMU);Total all sectors;Market value;2015;501703.0;
223;General government;Government debt (EMU);Total all sectors;Market value;2016 1st quarter;510963.0;
224;General government;Government debt (EMU);Total all sectors;Market value;2016 2nd quarter;516926.0;
225;General government;Government debt (EMU);Total all sectors;Market value;2016 3rd quarter;504896.0;
226;General government;Government debt (EMU);Total all sectors;Market value;2016 4th quarter;501679.0;
227;General government;Government debt (EMU);Total all sectors;Market value;2016;501679.0;
228;General government;Government debt (EMU);Total all sectors;Market value;2017 1st quarter;482252.0;
229;General government;Government debt (EMU);Total all sectors;Market value;2017 2nd quarter;481821.0;
230;General government;Government debt (EMU);Total all sectors;Market value;2017 3rd quarter;470219.0;
231;General government;Government debt (EMU);Total all sectors;Market value;2017 4th quarter;473667.0;
232;General government;Government debt (EMU);Total all sectors;Market value;2017;473667.0;
233;General government;Government debt (EMU);Total all sectors;Market value;2018 1st quarter;461963.0;
234;General government;Government debt (EMU);Total all sectors;Market value;2018 2nd quarter;462135.0;
235;General government;Government debt (EMU);Total all sectors;Market value;2018 3rd quarter;454713.0;
236;General government;Government debt (EMU);Total all sectors;Market value;2018 4th quarter;459700.0;
237;General government;Government debt (EMU);Total all sectors;Market value;2018;459700.0;
238;General government;Government debt (EMU);Total all sectors;Market value;2019 1st quarter;455766.0;
239;General government;Government debt (EMU);Total all sectors;Market value;2019 2nd quarter;468606.0;
240;General government;Government debt (EMU);Total all sectors;Market value;2019 3rd quarter;466647.0;
241;General government;Government debt (EMU);Total all sectors;Market value;2019 4th quarter;457583.0;
242;General government;Government debt (EMU);Total all sectors;Market value;2019;457583.0;
243;General government;Government debt (EMU);Total all sectors;Market value;2020 1st quarter;466729.0;
244;General government;Government debt (EMU);Total all sectors;Market value;2020 2nd quarter;507343.0;
245;General government;Government debt (EMU);Total all sectors;Market value;2020 3rd quarter;508169.0;
246;General government;Government debt (EMU);Total all sectors;Market value;2020 4th quarter;503968.0;
247;General government;Government debt (EMU);Total all sectors;Market value;2020;503968.0;
248;General government;Government debt (EMU);Total all sectors;Market value;2021 1st quarter;496116.0;
249;General government;Government debt (EMU);Total all sectors;Market value;2021 2nd quarter;505620.0;
250;General government;Government debt (EMU);Total all sectors;Market value;2021 3rd quarter;500602.0;
251;General government;Government debt (EMU);Total all sectors;Market value;2021 4th quarter;508592.0;
252;General government;Government debt (EMU);Total all sectors;Market value;2021;508592.0;
253;General government;Government debt (EMU);Total all sectors;Market value;2022 1st quarter;478040.0;
254;General government;Government debt (EMU);Total all sectors;Market value;2022 2nd quarter;460666.0;
255;General government;Government debt (EMU);Total all sectors;Market value;2022 3rd quarter;435552.0;
256;General government;Government debt (EMU);Total all sectors;Market value;2022 4th quarter;457337.0;
257;General government;Government debt (EMU);Total all sectors;Market value;2022;457337.0;
258;General government;Government debt (EMU);Total all sectors;Market value;2023 1st quarter;447423.0;
259;General government;Government debt (EMU);Total all sectors;Market value;2023 2nd quarter;441894.0;
260;General government;Government debt (EMU);Total all sectors;Market value;2023 3rd quarter;430598.0;
261;General government;Government debt (EMU);Total all sectors;Market value;2023 4th quarter;468914.0;
262;General government;Government debt (EMU);Total all sectors;Market value;2023;468914.0;
263;General government;Government debt (EMU);Total all sectors;Market value;2024 1st quarter;453197.0;
264;General government;Government debt (EMU);Total all sectors;Market value;2024 2nd quarter;447231.0;
265;General government;Government debt (EMU);Total all sectors;Market value;2024 3rd quarter;450127.0;
266;General government;Government debt (EMU);Total all sectors;Market value;2024 4th quarter;470799.0;
267;General government;Government debt (EMU);Total all sectors;Market value;2024;470799.0;
268;General government;Government debt (EMU);Total domestic sectors;Face value;1995;179790.0;
269;General government;Government debt (EMU);Total domestic sectors;Face value;1996;189565.0;
270;General government;Government debt (EMU);Total domestic sectors;Face value;1997;185938.0;
271;General government;Government debt (EMU);Total domestic sectors;Face value;1998;179340.0;
272;General government;Government debt (EMU);Total domestic sectors;Face value;1999 1st quarter;;
273;General government;Government debt (EMU);Total domestic sectors;Face value;1999 2nd quarter;;
274;General government;Government debt (EMU);Total domestic sectors;Face value;1999 3rd quarter;;
275;General government;Government debt (EMU);Total domestic sectors;Face value;1999 4th quarter;157089.0;
276;General government;Government debt (EMU);Total domestic sectors;Face value;1999;157089.0;
277;General government;Government debt (EMU);Total domestic sectors;Face value;2000 1st quarter;;
278;General government;Government debt (EMU);Total domestic sectors;Face value;2000 2nd quarter;;
279;General government;Government debt (EMU);Total domestic sectors;Face value;2000 3rd quarter;;
280;General government;Government debt (EMU);Total domestic sectors;Face value;2000 4th quarter;135936.0;
281;General government;Government debt (EMU);Total domestic sectors;Face value;2000;135936.0;
282;General government;Government debt (EMU);Total domestic sectors;Face value;2001 1st quarter;;
283;General government;Government debt (EMU);Total domestic sectors;Face value;2001 2nd quarter;;
284;General government;Government debt (EMU);Total domestic sectors;Face value;2001 3rd quarter;;
285;General government;Government debt (EMU);Total domestic sectors;Face value;2001 4th quarter;122931.0;
286;General government;Government debt (EMU);Total domestic sectors;Face value;2001;122931.0;
287;General government;Government debt (EMU);Total domestic sectors;Face value;2002 1st quarter;;
288;General government;Government debt (EMU);Total domestic sectors;Face value;2002 2nd quarter;;
289;General government;Government debt (EMU);Total domestic sectors;Face value;2002 3rd quarter;;
290;General government;Government debt (EMU);Total domestic sectors;Face value;2002 4th quarter;115611.0;
291;General government;Government debt (EMU);Total domestic sectors;Face value;2002;115611.0;
292;General government;Government debt (EMU);Total domestic sectors;Face value;2003 1st quarter;;
293;General government;Government debt (EMU);Total domestic sectors;Face value;2003 2nd quarter;;
294;General government;Government debt (EMU);Total domestic sectors;Face value;2003 3rd quarter;;
295;General government;Government debt (EMU);Total domestic sectors;Face value;2003 4th quarter;115493.0;
296;General government;Government debt (EMU);Total domestic sectors;Face value;2003;115493.0;
297;General government;Government debt (EMU);Total domestic sectors;Face value;2004 1st quarter;;
298;General government;Government debt (EMU);Total domestic sectors;Face value;2004 2nd quarter;;
299;General government;Government debt (EMU);Total domestic sectors;Face value;2004 3rd quarter;;
300;General government;Government debt (EMU);Total domestic sectors;Face value;2004 4th quarter;110749.0;
301;General government;Government debt (EMU);Total domestic sectors;Face value;2004;110749.0;
302;General government;Government debt (EMU);Total domestic sectors;Face value;2005 1st quarter;;
303;General government;Government debt (EMU);Total domestic sectors;Face value;2005 2nd quarter;;
304;General government;Government debt (EMU);Total domestic sectors;Face value;2005 3rd quarter;;
305;General government;Government debt (EMU);Total domestic sectors;Face value;2005 4th quarter;102040.0;
306;General government;Government debt (EMU);Total domestic sectors;Face value;2005;102040.0;
307;General government;Government debt (EMU);Total domestic sectors;Face value;2006 1st quarter;;
308;General government;Government debt (EMU);Total domestic sectors;Face value;2006 2nd quarter;;
309;General government;Government debt (EMU);Total domestic sectors;Face value;2006 3rd quarter;;
310;General government;Government debt (EMU);Total domestic sectors;Face value;2006 4th quarter;96498.0;
311;General government;Government debt (EMU);Total domestic sectors;Face value;2006;96498.0;
312;General government;Government debt (EMU);Total domestic sectors;Face value;2007 1st quarter;;
313;General government;Government debt (EMU);Total domestic sectors;Face value;2007 2nd quarter;;
314;General government;Government debt (EMU);Total domestic sectors;Face value;2007 3rd quarter;;
315;General government;Government debt (EMU);Total domestic sectors;Face value;2007 4th quarter;97746.0;
316;General government;Government debt (EMU);Total domestic sectors;Face value;2007;97746.0;
317;General government;Government debt (EMU);Total domestic sectors;Face value;2008 1st quarter;101201.0;
318;General government;Government debt (EMU);Total domestic sectors;Face value;2008 2nd quarter;97806.0;
319;General government;Government debt (EMU);Total domestic sectors;Face value;2008 3rd quarter;94831.0;
320;General government;Government debt (EMU);Total domestic sectors;Face value;2008 4th quarter;102814.0;
321;General government;Government debt (EMU);Total domestic sectors;Face value;2008;102814.0;
322;General government;Government debt (EMU);Total domestic sectors;Face value;2009 1st quarter;102488.0;
323;General government;Government debt (EMU);Total domestic sectors;Face value;2009 2nd quarter;113973.0;
324;General government;Government debt (EMU);Total domestic sectors;Face value;2009 3rd quarter;108290.0;
325;General government;Government debt (EMU);Total domestic sectors;Face value;2009 4th quarter;106816.0;
326;General government;Government debt (EMU);Total domestic sectors;Face value;2009;106816.0;
327;General government;Government debt (EMU);Total domestic sectors;Face value;2010 1st quarter;118572.0;
328;General government;Government debt (EMU);Total domestic sectors;Face value;2010 2nd quarter;130027.0;
329;General government;Government debt (EMU);Total domestic sectors;Face value;2010 3rd quarter;136960.0;
330;General government;Government debt (EMU);Total domestic sectors;Face value;2010 4th quarter;139112.0;
331;General government;Government debt (EMU);Total domestic sectors;Face value;2010;139112.0;
332;General government;Government debt (EMU);Total domestic sectors;Face value;2011 1st quarter;146761.0;
333;General government;Government debt (EMU);Total domestic sectors;Face value;2011 2nd quarter;150287.0;
334;General government;Government debt (EMU);Total domestic sectors;Face value;2011 3rd quarter;156842.0;
335;General government;Government debt (EMU);Total domestic sectors;Face value;2011 4th quarter;164254.0;
336;General government;Government debt (EMU);Total domestic sectors;Face value;2011;164254.0;
337;General government;Government debt (EMU);Total domestic sectors;Face value;2012 1st quarter;176316.0;
338;General government;Government debt (EMU);Total domestic sectors;Face value;2012 2nd quarter;178442.0;
339;General government;Government debt (EMU);Total domestic sectors;Face value;2012 3rd quarter;181426.0;
340;General government;Government debt (EMU);Total domestic sectors;Face value;2012 4th quarter;189869.0;
341;General government;Government debt (EMU);Total domestic sectors;Face value;2012;189869.0;
342;General government;Government debt (EMU);Total domestic sectors;Face value;2013 1st quarter;186588.0;
343;General government;Government debt (EMU);Total domestic sectors;Face value;2013 2nd quarter;191455.0;
344;General government;Government debt (EMU);Total domestic sectors;Face value;2013 3rd quarter;190750.0;
345;General government;Government debt (EMU);Total domestic sectors;Face value;2013 4th quarter;200011.0;
