ID;Geslacht;Leeftijd;ZorgvormZvwZorgkosten;Perioden;PersonenMetZvwZorgkostenRelatief_1;GemiddeldeZorgkostenAllePersonen_2;GemiddeldeZorgkostenGebruikers_3;Zorgkosten50ePercentielGebruikers_4;Zorgkosten95ePercentielGebruikers_5;Zorgkosten99ePercentielGebruikers_6
46;Totaal mannen en vrouwen;10000;Eerstelijnsverblijf;2021;0.2;19.0;7823.0;5577.0;22246.0;38891.0
47;Totaal mannen en vrouwen;10000;Eerstelijnsverblijf;2022;0.2;17.0;7988.0;5486.0;23295.0;41652.0
48;Totaal mannen en vrouwen;10000;Generalistische basis GGZ;2020;1.3;14.0;1061.0;1207.0;1464.0;2581.0
49;Totaal mannen en vrouwen;10000;Generalistische basis GGZ;2021;1.3;12.0;911.0;872.0;1469.0;2227.0
50;Totaal mannen en vrouwen;10000;Generalistische basis GGZ;2022;;;;;;
51;Totaal mannen en vrouwen;10000;Gespecialiseerde GGZ;2020;3.0;228.0;7259.0;2723.0;26137.0;80176.0
52;Totaal mannen en vrouwen;10000;Gespecialiseerde GGZ;2021;2.9;154.0;5103.0;2467.0;18493.0;59221.0
53;Totaal mannen en vrouwen;10000;Gespecialiseerde GGZ;2022;;;;;;
54;Totaal mannen en vrouwen;10000;Overige zorgvormen;2020;2.4;8.0;300.0;107.0;839.0;2300.0
55;Totaal mannen en vrouwen;10000;Overige zorgvormen;2021;2.8;13.0;388.0;108.0;900.0;4153.0
56;Totaal mannen en vrouwen;10000;Overige zorgvormen;2022;2.9;10.0;360.0;107.0;750.0;4480.0
57;Totaal mannen en vrouwen;80000;Totaal alle zorgvormen;2020;99.2;1205.0;1228.0;353.0;3388.0;13339.0
58;Totaal mannen en vrouwen;80000;Totaal alle zorgvormen;2021;99.2;1319.0;1337.0;410.0;3761.0;14522.0
59;Totaal mannen en vrouwen;80000;Totaal alle zorgvormen;2022;99.1;1405.0;1431.0;444.0;4014.0;15145.0
60;Totaal mannen en vrouwen;80000;Huisartsenzorg;2020;98.4;139.0;144.0;113.0;327.0;536.0
61;Totaal mannen en vrouwen;80000;Huisartsenzorg;2021;98.4;157.0;159.0;123.0;359.0;601.0
62;Totaal mannen en vrouwen;80000;Huisartsenzorg;2022;98.3;166.0;168.0;130.0;374.0;617.0
63;Totaal mannen en vrouwen;80000;Multidisciplinaire zorg;2020;53.7;9.0;16.0;11.0;39.0;71.0
64;Totaal mannen en vrouwen;80000;Multidisciplinaire zorg;2021;54.5;9.0;16.0;11.0;40.0;74.0
65;Totaal mannen en vrouwen;80000;Multidisciplinaire zorg;2022;60.5;11.0;18.0;15.0;39.0;76.0
66;Totaal mannen en vrouwen;80000;Ziekenhuiszorg;2020;34.1;615.0;1828.0;410.0;5713.0;20419.0
67;Totaal mannen en vrouwen;80000;Ziekenhuiszorg;2021;36.2;686.0;1907.0;435.0;5984.0;21801.0
68;Totaal mannen en vrouwen;80000;Ziekenhuiszorg;2022;38.5;728.0;1911.0;441.0;5906.0;20926.0
69;Totaal mannen en vrouwen;80000;Farmacie;2020;45.0;83.0;192.0;40.0;428.0;1871.0
70;Totaal mannen en vrouwen;80000;Farmacie;2021;46.3;81.0;186.0;44.0;440.0;1868.0
71;Totaal mannen en vrouwen;80000;Farmacie;2022;49.0;93.0;203.0;45.0;448.0;1872.0
72;Totaal mannen en vrouwen;80000;Mondzorg;2020;66.2;118.0;178.0;112.0;526.0;1114.0
73;Totaal mannen en vrouwen;80000;Mondzorg;2021;68.6;137.0;200.0;131.0;581.0;1245.0
74;Totaal mannen en vrouwen;80000;Mondzorg;2022;69.0;142.0;206.0;136.0;593.0;1251.0
75;Totaal mannen en vrouwen;80000;Geboortezorg;2020;0.1;1.0;1585.0;1208.0;4506.0;6698.0
76;Totaal mannen en vrouwen;80000;Geboortezorg;2021;0.1;1.0;1330.0;973.0;3955.0;5775.0
77;Totaal mannen en vrouwen;80000;Geboortezorg;2022;0.1;1.0;1291.0;860.0;4021.0;5811.0
78;Totaal mannen en vrouwen;80000;Paramedische zorg;2020;17.6;80.0;456.0;272.0;1431.0;2482.0
79;Totaal mannen en vrouwen;80000;Paramedische zorg;2021;18.6;92.0;493.0;303.0;1514.0;2613.0
80;Totaal mannen en vrouwen;80000;Paramedische zorg;2022;19.1;95.0;496.0;299.0;1544.0;2604.0
81;Totaal mannen en vrouwen;80000;Hulpmiddelen;2020;5.5;31.0;566.0;38.0;3287.0;7814.0
82;Totaal mannen en vrouwen;80000;Hulpmiddelen;2021;6.5;35.0;540.0;37.0;3097.0;8786.0
83;Totaal mannen en vrouwen;80000;Hulpmiddelen;2022;6.6;36.0;546.0;37.0;3266.0;8590.0
84;Totaal mannen en vrouwen;80000;Ziekenvervoer;2020;1.0;11.0;1017.0;783.0;2273.0;5494.0
85;Totaal mannen en vrouwen;80000;Ziekenvervoer;2021;1.2;13.0;1068.0;810.0;2364.0;5860.0
86;Totaal mannen en vrouwen;80000;Ziekenvervoer;2022;1.3;14.0;1078.0;834.0;2399.0;5485.0
87;Totaal mannen en vrouwen;80000;Buitenland;2020;0.5;3.0;607.0;120.0;2101.0;8021.0
88;Totaal mannen en vrouwen;80000;Buitenland;2021;0.7;4.0;535.0;105.0;1716.0;6830.0
89;Totaal mannen en vrouwen;80000;Buitenland;2022;1.2;7.0;543.0;121.0;1706.0;6924.0
90;Totaal mannen en vrouwen;80000;Geriatrische revalidatiezorg;2020;0.0;;;;;
91;Totaal mannen en vrouwen;80000;Geriatrische revalidatiezorg;2021;0.0;0.0;;;;
92;Totaal mannen en vrouwen;80000;Geriatrische revalidatiezorg;2022;0.0;0.0;;;;
93;Totaal mannen en vrouwen;80000;Geestelijke gezondheidszorg-ZPM;2020;;;;;;
94;Totaal mannen en vrouwen;80000;Geestelijke gezondheidszorg-ZPM;2021;;;;;;
95;Totaal mannen en vrouwen;80000;Geestelijke gezondheidszorg-ZPM;2022;0.8;38.0;4659.0;1732.0;15858.0;54492.0
96;Totaal mannen en vrouwen;80000;Verpleging en verzorging;2020;0.3;31.0;10545.0;1593.0;47813.0;156312.0
97;Totaal mannen en vrouwen;80000;Verpleging en verzorging;2021;0.3;29.0;9390.0;1492.0;41324.0;148961.0
98;Totaal mannen en vrouwen;80000;Verpleging en verzorging;2022;0.3;29.0;8852.0;1329.0;38783.0;141914.0
99;Totaal mannen en vrouwen;80000;Zorg zintuiglijk gehandicapten;2020;0.4;37.0;9669.0;4663.0;34552.0;44430.0
100;Totaal mannen en vrouwen;80000;Zorg zintuiglijk gehandicapten;2021;0.4;40.0;9896.0;4694.0;35087.0;48502.0
101;Totaal mannen en vrouwen;80000;Zorg zintuiglijk gehandicapten;2022;0.4;41.0;9724.0;4685.0;34114.0;47145.0
102;Totaal mannen en vrouwen;80000;Eerstelijnsverblijf;2020;0.0;;;;;
103;Totaal mannen en vrouwen;80000;Eerstelijnsverblijf;2021;0.0;0.0;;;;
104;Totaal mannen en vrouwen;80000;Eerstelijnsverblijf;2022;0.0;;;;;
105;Totaal mannen en vrouwen;80000;Generalistische basis GGZ;2020;0.2;2.0;1041.0;1192.0;1425.0;2387.0
106;Totaal mannen en vrouwen;80000;Generalistische basis GGZ;2021;0.2;2.0;904.0;872.0;1462.0;2031.0
107;Totaal mannen en vrouwen;80000;Generalistische basis GGZ;2022;;;;;;
108;Totaal mannen en vrouwen;80000;Gespecialiseerde GGZ;2020;0.5;41.0;8320.0;3978.0;30539.0;87638.0
109;Totaal mannen en vrouwen;80000;Gespecialiseerde GGZ;2021;0.5;27.0;5398.0;2580.0;18275.0;59048.0
110;Totaal mannen en vrouwen;80000;Gespecialiseerde GGZ;2022;;;;;;
111;Totaal mannen en vrouwen;80000;Overige zorgvormen;2020;4.7;6.0;105.0;74.0;205.0;309.0
112;Totaal mannen en vrouwen;80000;Overige zorgvormen;2021;5.2;8.0;114.0;75.0;209.0;316.0
113;Totaal mannen en vrouwen;80000;Overige zorgvormen;2022;5.4;6.0;113.0;78.0;215.0;296.0
114;Totaal mannen en vrouwen;70501;Totaal alle zorgvormen;2020;97.1;1630.0;1673.0;251.0;7338.0;18758.0
115;Totaal mannen en vrouwen;70501;Totaal alle zorgvormen;2021;97.1;1606.0;1658.0;283.0;7251.0;17771.0
116;Totaal mannen en vrouwen;70501;Totaal alle zorgvormen;2022;96.7;1806.0;1874.0;310.0;7976.0;20157.0
117;Totaal mannen en vrouwen;70501;Huisartsenzorg;2020;96.6;152.0;159.0;122.0;363.0;623.0
118;Totaal mannen en vrouwen;70501;Huisartsenzorg;2021;96.7;166.0;171.0;132.0;383.0;642.0
119;Totaal mannen en vrouwen;70501;Huisartsenzorg;2022;96.3;171.0;177.0;137.0;391.0;643.0
120;Totaal mannen en vrouwen;70501;Multidisciplinaire zorg;2020;53.1;14.0;26.0;12.0;60.0;364.0
121;Totaal mannen en vrouwen;70501;Multidisciplinaire zorg;2021;54.2;14.0;25.0;12.0;65.0;365.0
122;Totaal mannen en vrouwen;70501;Multidisciplinaire zorg;2022;59.4;15.0;25.0;16.0;59.0;278.0
123;Totaal mannen en vrouwen;70501;Ziekenhuiszorg;2020;44.7;659.0;1497.0;382.0;5770.0;15065.0
124;Totaal mannen en vrouwen;70501;Ziekenhuiszorg;2021;46.9;734.0;1578.0;407.0;6062.0;15788.0
125;Totaal mannen en vrouwen;70501;Ziekenhuiszorg;2022;48.0;751.0;1585.0;401.0;6204.0;15927.0
126;Totaal mannen en vrouwen;70501;Farmacie;2020;54.5;130.0;250.0;52.0;641.0;2535.0
127;Totaal mannen en vrouwen;70501;Farmacie;2021;55.2;127.0;244.0;55.0;646.0;2538.0
128;Totaal mannen en vrouwen;70501;Farmacie;2022;56.1;145.0;277.0;57.0;670.0;2638.0
129;Totaal mannen en vrouwen;70501;Mondzorg;2020;0.7;5.0;791.0;503.0;2444.0;4784.0
130;Totaal mannen en vrouwen;70501;Mondzorg;2021;0.7;6.0;854.0;546.0;2724.0;5069.0
131;Totaal mannen en vrouwen;70501;Mondzorg;2022;0.7;6.0;847.0;553.0;2649.0;5028.0
132;Totaal mannen en vrouwen;70501;Geboortezorg;2020;6.6;146.0;2188.0;1955.0;4825.0;7102.0
133;Totaal mannen en vrouwen;70501;Geboortezorg;2021;6.7;153.0;2268.0;2050.0;5008.0;7380.0
134;Totaal mannen en vrouwen;70501;Geboortezorg;2022;6.4;143.0;2241.0;2034.0;5026.0;7451.0
135;Totaal mannen en vrouwen;70501;Paramedische zorg;2020;3.3;12.0;364.0;154.0;1599.0;3031.0
136;Totaal mannen en vrouwen;70501;Paramedische zorg;2021;4.0;17.0;435.0;177.0;1873.0;3343.0
137;Totaal mannen en vrouwen;70501;Paramedische zorg;2022;4.2;19.0;455.0;192.0;1899.0;3382.0
138;Totaal mannen en vrouwen;70501;Hulpmiddelen;2020;6.7;34.0;513.0;103.0;2538.0;6171.0
139;Totaal mannen en vrouwen;70501;Hulpmiddelen;2021;7.0;38.0;551.0;103.0;2683.0;7281.0
140;Totaal mannen en vrouwen;70501;Hulpmiddelen;2022;6.9;39.0;577.0;100.0;2882.0;7323.0
141;Totaal mannen en vrouwen;70501;Ziekenvervoer;2020;1.5;15.0;1021.0;779.0;2284.0;5647.0
142;Totaal mannen en vrouwen;70501;Ziekenvervoer;2021;1.6;18.0;1077.0;810.0;2428.0;6142.0
143;Totaal mannen en vrouwen;70501;Ziekenvervoer;2022;1.7;18.0;1097.0;829.0;2435.0;6045.0
144;Totaal mannen en vrouwen;70501;Buitenland;2020;0.8;7.0;893.0;162.0;4293.0;10979.0
145;Totaal mannen en vrouwen;70501;Buitenland;2021;0.9;8.0;915.0;150.0;4345.0;11413.0
146;Totaal mannen en vrouwen;70501;Buitenland;2022;1.4;12.0;814.0;163.0;3683.0;10992.0
147;Totaal mannen en vrouwen;70501;Geriatrische revalidatiezorg;2020;0.0;0.0;;;;
148;Totaal mannen en vrouwen;70501;Geriatrische revalidatiezorg;2021;0.0;0.0;;;;
149;Totaal mannen en vrouwen;70501;Geriatrische revalidatiezorg;2022;0.0;0.0;;;;
150;Totaal mannen en vrouwen;70501;Geestelijke gezondheidszorg-ZPM;2020;;;;;;
151;Totaal mannen en vrouwen;70501;Geestelijke gezondheidszorg-ZPM;2021;;;;;;
152;Totaal mannen en vrouwen;70501;Geestelijke gezondheidszorg-ZPM;2022;9.5;469.0;4806.0;1867.0;16122.0;54732.0
153;Totaal mannen en vrouwen;70501;Verpleging en verzorging;2020;0.3;13.0;4748.0;966.0;23577.0;47425.0
154;Totaal mannen en vrouwen;70501;Verpleging en verzorging;2021;0.3;12.0;4336.0;931.0;21083.0;46271.0
155;Totaal mannen en vrouwen;70501;Verpleging en verzorging;2022;0.3;11.0;4203.0;925.0;20138.0;46257.0
156;Totaal mannen en vrouwen;70501;Zorg zintuiglijk gehandicapten;2020;0.0;2.0;4106.0;1095.0;14186.0;66908.0
157;Totaal mannen en vrouwen;70501;Zorg zintuiglijk gehandicapten;2021;0.0;2.0;3895.0;1129.0;11905.0;73960.0
158;Totaal mannen en vrouwen;70501;Zorg zintuiglijk gehandicapten;2022;0.1;2.0;3944.0;1126.0;13295.0;65352.0
159;Totaal mannen en vrouwen;70501;Eerstelijnsverblijf;2020;0.0;0.0;;;;
160;Totaal mannen en vrouwen;70501;Eerstelijnsverblijf;2021;0.0;0.0;;;;
161;Totaal mannen en vrouwen;70501;Eerstelijnsverblijf;2022;0.0;0.0;;;;
162;Totaal mannen en vrouwen;70501;Generalistische basis GGZ;2020;2.4;27.0;1064.0;1193.0;1522.0;2601.0
163;Totaal mannen en vrouwen;70501;Generalistische basis GGZ;2021;2.5;24.0;942.0;885.0;1469.0;2281.0
164;Totaal mannen en vrouwen;70501;Generalistische basis GGZ;2022;;;;;;
165;Totaal mannen en vrouwen;70501;Gespecialiseerde GGZ;2020;5.2;406.0;7383.0;3118.0;25373.0;77650.0
166;Totaal mannen en vrouwen;70501;Gespecialiseerde GGZ;2021;5.3;277.0;5155.0;2543.0;18229.0;56640.0
167;Totaal mannen en vrouwen;70501;Gespecialiseerde GGZ;2022;;;;;;
168;Totaal mannen en vrouwen;70501;Overige zorgvormen;2020;0.5;7.0;1279.0;280.0;2332.0;2714.0
169;Totaal mannen en vrouwen;70501;Overige zorgvormen;2021;0.5;9.0;1315.0;142.0;2755.0;14798.0
170;Totaal mannen en vrouwen;70501;Overige zorgvormen;2022;0.5;5.0;1103.0;81.0;3646.0;19861.0
171;Totaal mannen en vrouwen;70502;Totaal alle zorgvormen;2020;98.9;2092.0;2129.0;376.0;8643.0;29015.0
172;Totaal mannen en vrouwen;70502;Totaal alle zorgvormen;2021;98.9;2150.0;2191.0;418.0;8792.0;29019.0
173;Totaal mannen en vrouwen;70502;Totaal alle zorgvormen;2022;98.8;2306.0;2360.0;449.0;9617.0;30622.0
174;Totaal mannen en vrouwen;70502;Huisartsenzorg;2020;98.5;160.0;164.0;124.0;370.0;648.0
175;Totaal mannen en vrouwen;70502;Huisartsenzorg;2021;98.5;174.0;175.0;135.0;389.0;663.0
176;Totaal mannen en vrouwen;70502;Huisartsenzorg;2022;98.4;179.0;181.0;140.0;397.0;662.0
177;Totaal mannen en vrouwen;70502;Multidisciplinaire zorg;2020;59.1;33.0;56.0;14.0;314.0;501.0
178;Totaal mannen en vrouwen;70502;Multidisciplinaire zorg;2021;59.9;33.0;56.0;14.0;305.0;519.0
179;Totaal mannen en vrouwen;70502;Multidisciplinaire zorg;2022;65.4;34.0;53.0;17.0;278.0;453.0
180;Totaal mannen en vrouwen;70502;Ziekenhuiszorg;2020;54.5;1102.0;2053.0;447.0;8168.0;27887.0
181;Totaal mannen en vrouwen;70502;Ziekenhuiszorg;2021;57.0;1225.0;2165.0;478.0;8672.0;28897.0
182;Totaal mannen en vrouwen;70502;Ziekenhuiszorg;2022;58.0;1240.0;2164.0;488.0;8804.0;28459.0
183;Totaal mannen en vrouwen;70502;Farmacie;2020;66.6;263.0;413.0;97.0;1380.0;5330.0
184;Totaal mannen en vrouwen;70502;Farmacie;2021;66.6;258.0;410.0;100.0;1397.0;5306.0
185;Totaal mannen en vrouwen;70502;Farmacie;2022;67.3;273.0;435.0;102.0;1474.0;5636.0
186;Totaal mannen en vrouwen;70502;Mondzorg;2020;1.9;14.0;752.0;434.0;2838.0;4970.0
187;Totaal mannen en vrouwen;70502;Mondzorg;2021;2.0;16.0;806.0;461.0;3061.0;5135.0
188;Totaal mannen en vrouwen;70502;Mondzorg;2022;1.9;15.0;801.0;458.0;2975.0;5199.0
189;Totaal mannen en vrouwen;70502;Geboortezorg;2020;0.3;6.0;1766.0;1639.0;4514.0;6912.0
190;Totaal mannen en vrouwen;70502;Geboortezorg;2021;0.3;6.0;1822.0;1682.0;4717.0;7366.0
191;Totaal mannen en vrouwen;70502;Geboortezorg;2022;0.3;6.0;1774.0;1539.0;4751.0;7347.0
192;Totaal mannen en vrouwen;70502;Paramedische zorg;2020;5.1;24.0;465.0;185.0;1879.0;3345.0
193;Totaal mannen en vrouwen;70502;Paramedische zorg;2021;6.3;37.0;581.0;220.0;2235.0;3742.0
194;Totaal mannen en vrouwen;70502;Paramedische zorg;2022;6.6;39.0;578.0;233.0;2234.0;3761.0
195;Totaal mannen en vrouwen;70502;Hulpmiddelen;2020;10.8;70.0;645.0;218.0;2649.0;6324.0
196;Totaal mannen en vrouwen;70502;Hulpmiddelen;2021;11.0;74.0;676.0;230.0;2737.0;6912.0
197;Totaal mannen en vrouwen;70502;Hulpmiddelen;2022;11.3;76.0;682.0;231.0;2765.0;6936.0
198;Totaal mannen en vrouwen;70502;Ziekenvervoer;2020;2.7;29.0;1100.0;792.0;2707.0;6028.0
199;Totaal mannen en vrouwen;70502;Ziekenvervoer;2021;2.8;33.0;1152.0;819.0;2854.0;6330.0
200;Totaal mannen en vrouwen;70502;Ziekenvervoer;2022;2.8;32.0;1160.0;838.0;2799.0;6360.0
201;Totaal mannen en vrouwen;70502;Buitenland;2020;0.8;12.0;1403.0;186.0;6163.0;20576.0
202;Totaal mannen en vrouwen;70502;Buitenland;2021;0.9;12.0;1304.0;161.0;6065.0;19306.0
203;Totaal mannen en vrouwen;70502;Buitenland;2022;1.4;16.0;1155.0;173.0;5232.0;16389.0
204;Totaal mannen en vrouwen;70502;Geriatrische revalidatiezorg;2020;0.0;6.0;15308.0;11999.0;36114.0;56444.0
205;Totaal mannen en vrouwen;70502;Geriatrische revalidatiezorg;2021;0.0;7.0;15595.0;12751.0;37407.0;60118.0
206;Totaal mannen en vrouwen;70502;Geriatrische revalidatiezorg;2022;0.0;7.0;15719.0;12362.0;38494.0;52740.0
207;Totaal mannen en vrouwen;70502;Geestelijke gezondheidszorg-ZPM;2020;;;;;;
208;Totaal mannen en vrouwen;70502;Geestelijke gezondheidszorg-ZPM;2021;;;;;;
209;Totaal mannen en vrouwen;70502;Geestelijke gezondheidszorg-ZPM;2022;6.4;326.0;4937.0;1873.0;17224.0;55956.0
210;Totaal mannen en vrouwen;70502;Verpleging en verzorging;2020;1.1;55.0;5117.0;1362.0;22720.0;46187.0
211;Totaal mannen en vrouwen;70502;Verpleging en verzorging;2021;1.1;53.0;4872.0;1301.0;21556.0;44273.0
212;Totaal mannen en vrouwen;70502;Verpleging en verzorging;2022;1.0;50.0;4793.0;1303.0;20907.0;43546.0
213;Totaal mannen en vrouwen;70502;Zorg zintuiglijk gehandicapten;2020;0.1;2.0;2779.0;1093.0;8650.0;22804.0
214;Totaal mannen en vrouwen;70502;Zorg zintuiglijk gehandicapten;2021;0.1;3.0;2865.0;969.0;8043.0;24382.0
215;Totaal mannen en vrouwen;70502;Zorg zintuiglijk gehandicapten;2022;0.1;2.0;2722.0;1027.0;8054.0;21623.0
216;Totaal mannen en vrouwen;70502;Eerstelijnsverblijf;2020;0.0;3.0;8179.0;4917.0;25876.0;49344.0
217;Totaal mannen en vrouwen;70502;Eerstelijnsverblijf;2021;0.0;4.0;8743.0;5126.0;28564.0;50804.0
218;Totaal mannen en vrouwen;70502;Eerstelijnsverblijf;2022;0.0;4.0;9820.0;5469.0;33049.0;58349.0
219;Totaal mannen en vrouwen;70502;Generalistische basis GGZ;2020;1.6;18.0;1076.0;1231.0;1464.0;2606.0
220;Totaal mannen en vrouwen;70502;Generalistische basis GGZ;2021;1.6;15.0;900.0;868.0;1469.0;2250.0
221;Totaal mannen en vrouwen;70502;Generalistische basis GGZ;2022;;;;;;
222;Totaal mannen en vrouwen;70502;Gespecialiseerde GGZ;2020;3.9;290.0;6973.0;2720.0;23993.0;73823.0
223;Totaal mannen en vrouwen;70502;Gespecialiseerde GGZ;2021;3.8;192.0;4901.0;2421.0;18102.0;54377.0
224;Totaal mannen en vrouwen;70502;Gespecialiseerde GGZ;2022;;;;;;
225;Totaal mannen en vrouwen;70502;Overige zorgvormen;2020;0.9;6.0;560.0;196.0;2210.0;2459.0
226;Totaal mannen en vrouwen;70502;Overige zorgvormen;2021;1.0;8.0;731.0;130.0;2416.0;11448.0
227;Totaal mannen en vrouwen;70502;Overige zorgvormen;2022;1.0;6.0;646.0;102.0;1500.0;12742.0
228;Totaal mannen en vrouwen;53986;Totaal alle zorgvormen;2020;99.4;4299.0;4382.0;1187.0;18566.0;54315.0
229;Totaal mannen en vrouwen;53986;Totaal alle zorgvormen;2021;99.4;4550.0;4623.0;1286.0;19411.0;56118.0
230;Totaal mannen en vrouwen;53986;Totaal alle zorgvormen;2022;99.4;4725.0;4817.0;1382.0;20106.0;56338.0
231;Totaal mannen en vrouwen;53986;Huisartsenzorg;2020;98.9;207.0;212.0;158.0;488.0;972.0
232;Totaal mannen en vrouwen;53986;Huisartsenzorg;2021;98.9;226.0;227.0;173.0;509.0;984.0
233;Totaal mannen en vrouwen;53986;Huisartsenzorg;2022;98.9;236.0;237.0;181.0;532.0;986.0
234;Totaal mannen en vrouwen;53986;Multidisciplinaire zorg;2020;70.5;85.0;123.0;62.0;384.0;580.0
235;Totaal mannen en vrouwen;53986;Multidisciplinaire zorg;2021;71.5;88.0;124.0;65.0;389.0;603.0
