ID;Bedrijfskenmerken;Marges;Perioden;AandeelWerknemersDatHeeftVerzuimd_1;GemiddeldeVerzuimfrequentie_2;GemiddeldeVerzuimduur_3;k_1Tot5Werkdagen_4;k_5Tot20Werkdagen_5;k_20Tot210Werkdagen_6;k_210WerkdagenOfMeer_7;JaHoofdzakelijkGevolgVanMijnWerk_8;JaVoorEenDeelGevolgVanMijnWerk_9;NeeGeenGevolgVanMijnWerk_10;WeetNiet_11
24;A-U Alle economische activiteiten;Bovengrens 95%-interval;2018;48.4;1.3;7.8;68.6;19.7;11.8;1.2;9.7;15.3;70.6;5.7
25;A-U Alle economische activiteiten;Bovengrens 95%-interval;2019;47.3;1.3;8.1;68.9;18.8;12.3;1.4;9.5;15.4;70.0;6.5
26;A-U Alle economische activiteiten;Bovengrens 95%-interval;2020;44.0;1.2;7.7;65.4;22.0;12.6;1.3;9.4;14.2;70.7;7.1
27;A-U Alle economische activiteiten;Bovengrens 95%-interval;2021;44.1;1.2;8.3;63.1;22.9;13.9;1.6;10.2;15.0;68.6;7.7
28;A-U Alle economische activiteiten;Bovengrens 95%-interval;2022;58.0;1.6;9.3;64.5;26.4;9.2;1.1;7.5;12.0;74.4;7.3
29;A-U Alle economische activiteiten;Bovengrens 95%-interval;2023;51.2;1.4;8.4;69.4;21.1;9.5;1.2;7.4;12.6;74.2;7.1
30;A Landbouw, bosbouw en visserij;Waarde;2014;31.0;1.3;4.9;73.0;17.3;8.3;1.3;12.5;12.0;68.9;6.6
31;A Landbouw, bosbouw en visserij;Waarde;2015;30.1;0.8;4.3;66.5;19.7;12.9;0.9;10.5;11.7;69.5;8.2
32;A Landbouw, bosbouw en visserij;Waarde;2016;32.6;1.0;5.1;66.8;21.8;11.2;0.2;13.1;13.2;67.3;6.4
33;A Landbouw, bosbouw en visserij;Waarde;2017;31.8;0.9;4.3;73.0;17.2;9.1;0.6;12.3;14.9;64.5;8.3
34;A Landbouw, bosbouw en visserij;Waarde;2018;37.2;1.1;4.8;68.0;20.2;11.1;0.7;11.2;15.8;65.9;7.0
35;A Landbouw, bosbouw en visserij;Waarde;2019;34.2;0.9;5.4;67.4;17.4;14.8;0.4;7.6;15.4;67.0;10.1
36;A Landbouw, bosbouw en visserij;Waarde;2020;29.4;0.7;5.0;70.5;15.3;13.4;0.8;9.7;11.4;69.0;9.8
37;A Landbouw, bosbouw en visserij;Waarde;2021;31.5;0.8;4.6;68.4;19.9;10.5;1.2;9.9;10.6;69.7;9.8
38;A Landbouw, bosbouw en visserij;Waarde;2022;38.9;0.9;4.5;64.9;26.7;8.3;0.2;6.6;9.8;75.8;7.7
39;A Landbouw, bosbouw en visserij;Waarde;2023;38.5;1.3;5.2;68.1;24.3;7.1;0.5;7.3;10.8;72.9;9.0
40;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2014;26.4;0.5;2.0;66.5;12.8;5.1;0.5;8.9;8.3;62.6;4.1
41;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2015;25.9;0.5;2.7;60.7;15.4;9.5;0.3;7.4;8.4;63.8;5.6
42;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2016;28.3;0.6;3.3;61.0;17.3;8.0;0.0;9.6;9.7;61.5;3.9
43;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2017;27.6;0.6;2.7;67.8;13.3;6.6;0.2;8.9;11.3;58.7;5.3
44;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2018;33.2;0.8;3.3;62.7;16.2;8.1;0.2;8.4;12.3;60.8;4.7
45;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2019;30.2;0.7;3.7;62.1;13.6;11.4;0.1;5.1;11.9;61.6;7.0
46;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2020;25.7;0.5;3.3;65.0;11.6;10.0;0.3;6.9;8.3;63.6;6.8
47;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2021;27.5;0.6;2.8;62.9;15.9;7.4;0.4;6.9;7.7;64.2;6.8
48;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2022;34.8;0.7;3.2;59.9;22.4;5.9;0.0;4.5;7.4;71.3;5.3
49;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2023;34.8;0.9;3.5;63.5;20.5;5.0;0.2;5.2;8.3;68.5;6.5
50;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2014;36.1;2.1;7.8;78.7;23.0;13.4;3.6;17.3;16.9;74.5;10.5
51;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2015;34.6;1.0;5.9;71.9;24.8;17.4;2.8;14.9;16.1;74.7;11.9
52;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2016;37.2;1.3;6.8;72.1;27.1;15.4;1.7;17.6;17.6;72.6;10.4
53;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2017;36.3;1.2;5.8;77.7;22.0;12.5;2.0;16.8;19.4;69.8;12.8
54;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2018;41.4;1.4;6.3;72.8;24.9;15.0;2.1;14.9;20.1;70.7;10.3
55;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2019;38.4;1.2;7.0;72.3;22.0;19.0;1.7;11.1;19.6;71.9;14.4
56;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2020;33.4;0.8;6.7;75.4;19.8;17.8;2.7;13.6;15.5;74.0;13.9
57;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2021;35.8;1.1;6.4;73.4;24.7;14.6;3.1;14.0;14.6;74.6;13.9
58;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2022;43.2;1.2;5.8;69.6;31.4;11.4;1.1;9.7;13.1;79.9;11.1
59;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2023;42.4;1.6;6.9;72.3;28.6;9.9;1.7;10.1;14.0;76.9;12.4
60;B Delfstoffenwinning;Waarde;2014;;;;;;;;;;;
61;B Delfstoffenwinning;Waarde;2015;36.9;0.6;4.9;65.5;20.6;13.6;0.3;2.2;13.7;78.5;5.6
62;B Delfstoffenwinning;Waarde;2016;41.3;1.0;4.4;74.9;16.5;8.2;0.4;4.8;12.2;77.8;5.1
63;B Delfstoffenwinning;Waarde;2017;32.0;0.6;6.1;66.0;24.1;8.9;0.9;7.1;8.1;75.5;9.3
64;B Delfstoffenwinning;Waarde;2018;48.2;0.9;7.3;67.7;17.8;13.2;1.3;8.2;12.9;74.8;4.2
65;B Delfstoffenwinning;Waarde;2019;41.3;0.7;9.8;64.5;18.6;16.9;0.0;7.5;19.7;67.2;5.5
66;B Delfstoffenwinning;Waarde;2020;31.4;0.6;7.0;65.7;25.5;7.4;1.3;5.2;19.7;70.2;4.8
67;B Delfstoffenwinning;Waarde;2021;26.2;0.4;5.7;64.6;23.9;9.5;2.0;9.4;14.3;73.1;3.3
68;B Delfstoffenwinning;Waarde;2022;43.0;1.2;5.2;66.0;18.8;14.9;0.3;7.0;11.6;77.6;3.8
69;B Delfstoffenwinning;Waarde;2023;40.9;1.0;9.3;56.6;33.1;10.0;0.3;8.9;6.2;79.5;5.4
70;B Delfstoffenwinning;Ondergrens 95%-interval;2014;;;;;;;;;;;
71;B Delfstoffenwinning;Ondergrens 95%-interval;2015;29.8;0.4;2.5;55.8;13.1;9.0;0.0;0.9;8.3;69.7;2.3
72;B Delfstoffenwinning;Ondergrens 95%-interval;2016;33.9;0.6;2.4;67.3;11.5;4.9;0.1;2.5;7.6;69.6;2.1
73;B Delfstoffenwinning;Ondergrens 95%-interval;2017;25.5;0.4;3.1;57.1;16.9;5.5;0.2;3.7;4.9;67.3;4.9
74;B Delfstoffenwinning;Ondergrens 95%-interval;2018;39.9;0.6;4.6;59.2;12.4;8.7;0.5;5.0;7.9;66.6;1.8
75;B Delfstoffenwinning;Ondergrens 95%-interval;2019;32.9;0.5;4.1;53.0;12.2;9.2;0.0;3.4;11.9;56.2;2.8
76;B Delfstoffenwinning;Ondergrens 95%-interval;2020;24.8;0.4;3.3;56.0;17.8;4.4;0.5;3.0;11.8;59.6;2.0
77;B Delfstoffenwinning;Ondergrens 95%-interval;2021;19.7;0.3;1.8;53.0;14.7;5.5;0.6;3.8;8.5;61.9;1.3
78;B Delfstoffenwinning;Ondergrens 95%-interval;2022;35.6;0.8;3.4;57.8;14.4;9.1;0.0;3.4;6.5;68.9;2.0
79;B Delfstoffenwinning;Ondergrens 95%-interval;2023;33.0;0.7;5.6;46.9;24.4;6.3;0.0;4.4;3.7;70.9;2.4
80;B Delfstoffenwinning;Bovengrens 95%-interval;2014;;;;;;;;;;;
81;B Delfstoffenwinning;Bovengrens 95%-interval;2015;44.5;0.7;7.4;74.0;30.9;20.0;2.1;5.0;21.8;85.3;12.7
82;B Delfstoffenwinning;Bovengrens 95%-interval;2016;49.2;1.5;6.3;81.2;23.3;13.5;2.9;9.2;19.2;84.2;12.0
83;B Delfstoffenwinning;Bovengrens 95%-interval;2017;39.2;0.9;9.1;74.0;33.2;14.2;3.6;12.9;13.1;82.3;16.9
84;B Delfstoffenwinning;Bovengrens 95%-interval;2018;56.6;1.1;10.0;75.1;24.9;19.6;3.7;13.1;20.3;81.5;9.1
85;B Delfstoffenwinning;Bovengrens 95%-interval;2019;50.1;1.0;15.6;74.5;27.3;29.0;;15.6;30.8;76.6;10.5
86;B Delfstoffenwinning;Bovengrens 95%-interval;2020;38.8;0.8;10.6;74.2;35.2;12.2;3.7;8.9;31.2;79.1;11.1
87;B Delfstoffenwinning;Bovengrens 95%-interval;2021;33.8;0.5;9.6;74.8;36.4;16.0;6.1;21.4;23.0;81.9;7.9
88;B Delfstoffenwinning;Bovengrens 95%-interval;2022;50.7;1.6;7.0;73.3;24.1;23.5;2.2;13.8;20.0;84.4;6.9
89;B Delfstoffenwinning;Bovengrens 95%-interval;2023;49.4;1.4;12.9;65.7;43.1;15.7;2.3;17.4;10.2;86.1;11.7
90;B-E Nijverheid (geen bouw) en energie;Waarde;2014;43.2;1.0;8.1;61.7;26.0;11.1;1.2;10.3;14.1;69.2;6.4
91;B-E Nijverheid (geen bouw) en energie;Waarde;2015;46.9;1.1;8.6;59.8;26.5;12.8;0.9;9.7;14.6;69.2;6.5
92;B-E Nijverheid (geen bouw) en energie;Waarde;2016;46.6;1.1;8.4;60.1;25.2;13.6;1.1;11.1;14.6;68.3;6.0
93;B-E Nijverheid (geen bouw) en energie;Waarde;2017;45.2;1.0;8.0;63.2;24.0;12.0;0.9;10.1;13.4;69.1;7.5
94;B-E Nijverheid (geen bouw) en energie;Waarde;2018;49.5;1.3;8.8;62.3;24.9;11.7;1.0;10.8;14.4;68.4;6.4
95;B-E Nijverheid (geen bouw) en energie;Waarde;2019;47.7;1.3;9.5;61.8;24.3;12.5;1.4;10.4;14.9;66.8;7.9
96;B-E Nijverheid (geen bouw) en energie;Waarde;2020;44.3;1.2;9.4;57.0;29.0;12.7;1.4;9.8;13.5;69.0;7.7
97;B-E Nijverheid (geen bouw) en energie;Waarde;2021;44.9;1.2;9.6;56.7;27.6;14.1;1.6;10.8;14.4;66.9;7.8
98;B-E Nijverheid (geen bouw) en energie;Waarde;2022;56.7;1.5;9.9;56.1;32.5;10.3;1.1;6.8;10.6;75.9;6.8
99;B-E Nijverheid (geen bouw) en energie;Waarde;2023;50.7;1.4;9.4;61.0;27.3;10.4;1.3;7.6;10.5;75.3;6.6
100;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2014;41.8;0.9;7.3;60.1;24.6;10.1;0.9;9.3;13.0;67.6;5.6
101;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2015;45.5;1.0;7.9;58.2;25.1;11.8;0.7;8.8;13.5;67.8;5.7
102;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2016;45.3;1.0;7.7;58.6;23.9;12.6;0.8;10.2;13.5;66.9;5.3
103;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2017;43.8;0.9;7.3;61.7;22.6;11.0;0.6;9.2;12.3;67.6;6.7
104;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2018;48.3;1.2;8.2;61.0;23.8;10.9;0.8;10.0;13.5;67.2;5.7
105;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2019;46.5;1.2;8.8;60.4;23.1;11.5;1.1;9.5;13.9;65.5;7.2
106;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2020;43.0;1.1;8.7;55.5;27.6;11.7;1.1;8.9;12.6;67.6;6.9
107;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2021;43.5;1.1;8.8;55.1;26.2;13.1;1.2;9.8;13.3;65.4;7.0
108;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2022;55.4;1.4;9.2;54.7;31.2;9.5;0.8;6.1;9.7;74.6;6.1
109;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2023;49.4;1.3;8.7;59.6;26.1;9.6;1.0;6.9;9.6;74.0;5.9
110;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2014;44.7;1.0;8.9;63.3;27.5;12.1;1.7;11.3;15.3;70.7;7.4
111;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2015;48.3;1.1;9.3;61.3;27.9;13.8;1.3;10.7;15.7;70.7;7.3
112;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2016;47.9;1.1;9.1;61.6;26.5;14.7;1.4;12.1;15.7;69.7;6.8
113;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2017;46.6;1.1;8.7;64.7;25.3;13.0;1.2;11.1;14.5;70.5;8.3
114;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2018;50.7;1.4;9.4;63.6;26.1;12.6;1.3;11.6;15.4;69.6;7.1
115;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2019;49.0;1.4;10.2;63.3;25.6;13.5;1.8;11.3;15.9;68.2;8.8
116;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2020;45.6;1.3;10.2;58.5;30.4;13.7;1.8;10.7;14.6;70.4;8.6
117;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2021;46.3;1.3;10.4;58.3;29.1;15.3;2.0;11.8;15.6;68.4;8.8
118;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2022;58.0;1.5;10.6;57.5;33.9;11.2;1.4;7.6;11.5;77.1;7.5
119;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2023;52.0;1.5;10.1;62.3;28.6;11.3;1.6;8.4;11.4;76.5;7.4
120;B-F Nijverheid en energie;Waarde;2014;42.2;0.9;7.8;61.3;25.8;11.6;1.3;11.0;14.3;68.4;6.2
121;B-F Nijverheid en energie;Waarde;2015;45.9;1.0;8.8;58.7;26.6;13.6;1.1;11.0;14.7;68.1;6.2
122;B-F Nijverheid en energie;Waarde;2016;45.3;1.0;8.2;59.7;25.4;13.9;1.1;11.2;15.1;67.5;6.2
123;B-F Nijverheid en energie;Waarde;2017;44.0;1.0;8.0;62.4;24.3;12.3;0.9;11.3;13.7;67.9;7.0
124;B-F Nijverheid en energie;Waarde;2018;48.2;1.3;8.5;61.7;24.9;12.4;1.1;11.5;14.7;67.7;6.1
125;B-F Nijverheid en energie;Waarde;2019;46.6;1.2;9.3;61.1;24.6;12.9;1.4;11.4;15.1;65.8;7.7
126;B-F Nijverheid en energie;Waarde;2020;43.3;1.1;9.1;56.9;28.3;13.4;1.4;10.9;13.5;68.0;7.7
127;B-F Nijverheid en energie;Waarde;2021;43.5;1.1;9.2;56.3;28.2;13.9;1.6;11.1;15.0;66.2;7.7
128;B-F Nijverheid en energie;Waarde;2022;55.6;1.4;9.8;56.2;32.3;10.4;1.1;7.6;10.5;75.3;6.6
129;B-F Nijverheid en energie;Waarde;2023;49.1;1.3;9.3;61.0;27.3;10.3;1.5;7.8;10.8;74.6;6.8
130;B-F Nijverheid en energie;Ondergrens 95%-interval;2014;41.0;0.8;7.1;59.9;24.6;10.8;1.0;10.2;13.3;67.1;5.5
131;B-F Nijverheid en energie;Ondergrens 95%-interval;2015;44.7;1.0;8.1;57.4;25.4;12.7;0.8;10.2;13.8;66.8;5.6
132;B-F Nijverheid en energie;Ondergrens 95%-interval;2016;44.1;1.0;7.6;58.4;24.2;13.0;0.8;10.4;14.2;66.2;5.6
133;B-F Nijverheid en energie;Ondergrens 95%-interval;2017;42.8;0.9;7.4;61.1;23.1;11.5;0.7;10.5;12.8;66.7;6.4
134;B-F Nijverheid en energie;Ondergrens 95%-interval;2018;47.1;1.2;7.9;60.5;23.9;11.6;0.9;10.8;13.9;66.6;5.6
135;B-F Nijverheid en energie;Ondergrens 95%-interval;2019;45.5;1.1;8.7;59.9;23.5;12.1;1.1;10.6;14.3;64.6;7.1
136;B-F Nijverheid en energie;Ondergrens 95%-interval;2020;42.1;1.1;8.4;55.6;27.1;12.5;1.2;10.1;12.6;66.8;7.0
137;B-F Nijverheid en energie;Ondergrens 95%-interval;2021;42.3;1.0;8.5;54.9;27.0;13.0;1.3;10.3;14.1;64.9;6.9
138;B-F Nijverheid en energie;Ondergrens 95%-interval;2022;54.5;1.3;9.2;55.0;31.2;9.7;0.9;6.9;9.8;74.3;6.0
139;B-F Nijverheid en energie;Ondergrens 95%-interval;2023;48.0;1.2;8.6;59.8;26.2;9.6;1.2;7.1;10.1;73.6;6.2
140;B-F Nijverheid en energie;Bovengrens 95%-interval;2014;43.5;1.0;8.4;62.7;27.1;12.6;1.7;12.0;15.3;69.7;7.0
141;B-F Nijverheid en energie;Bovengrens 95%-interval;2015;47.1;1.1;9.4;60.0;27.8;14.5;1.4;11.9;15.7;69.4;6.9
142;B-F Nijverheid en energie;Bovengrens 95%-interval;2016;46.5;1.1;8.8;61.0;26.5;14.8;1.4;12.0;16.1;68.7;6.9
143;B-F Nijverheid en energie;Bovengrens 95%-interval;2017;45.2;1.1;8.7;63.7;25.5;13.3;1.2;12.2;14.7;69.2;7.8
144;B-F Nijverheid en energie;Bovengrens 95%-interval;2018;49.2;1.3;9.0;62.8;25.9;13.1;1.3;12.3;15.5;68.8;6.7
145;B-F Nijverheid en energie;Bovengrens 95%-interval;2019;47.7;1.3;9.9;62.3;25.7;13.8;1.7;12.2;16.0;66.9;8.4
146;B-F Nijverheid en energie;Bovengrens 95%-interval;2020;44.4;1.2;9.7;58.2;29.5;14.3;1.8;11.7;14.3;69.2;8.4
147;B-F Nijverheid en energie;Bovengrens 95%-interval;2021;44.7;1.2;9.9;57.7;29.5;14.8;2.0;12.0;16.0;67.5;8.5
148;B-F Nijverheid en energie;Bovengrens 95%-interval;2022;56.7;1.5;10.4;57.4;33.5;11.1;1.4;8.2;11.3;76.3;7.2
149;B-F Nijverheid en energie;Bovengrens 95%-interval;2023;50.2;1.4;9.9;62.2;28.4;11.0;1.8;8.4;11.6;75.7;7.5
150;C Industrie;Waarde;2014;43.4;1.0;8.4;61.4;25.8;11.4;1.3;10.6;14.0;68.8;6.6
151;C Industrie;Waarde;2015;46.9;1.1;8.7;59.7;26.4;12.9;0.9;9.9;14.6;68.9;6.6
152;C Industrie;Waarde;2016;46.4;1.1;8.5;60.2;24.9;13.8;1.1;11.2;14.6;68.0;6.1
153;C Industrie;Waarde;2017;44.9;1.0;8.0;63.1;24.1;12.0;0.8;9.9;13.6;68.9;7.7
154;C Industrie;Waarde;2018;49.7;1.3;8.7;61.8;25.5;11.7;1.0;10.9;14.3;68.2;6.5
155;C Industrie;Waarde;2019;47.7;1.3;9.6;61.4;24.7;12.6;1.4;10.6;14.8;66.5;8.1
156;C Industrie;Waarde;2020;44.9;1.2;9.5;56.8;29.1;12.7;1.4;9.7;13.5;69.1;7.8
157;C Industrie;Waarde;2021;45.2;1.3;9.7;56.5;27.8;14.2;1.5;10.8;14.7;66.4;8.1
158;C Industrie;Waarde;2022;57.0;1.5;10.1;55.7;32.9;10.4;1.1;6.9;10.6;75.7;6.8
159;C Industrie;Waarde;2023;51.3;1.4;9.3;60.8;27.6;10.4;1.3;7.8;10.4;74.9;6.9
160;C Industrie;Ondergrens 95%-interval;2014;41.9;0.9;7.5;59.7;24.4;10.4;0.9;9.6;12.8;67.1;5.7
161;C Industrie;Ondergrens 95%-interval;2015;45.5;1.0;7.9;58.1;25.0;11.9;0.6;9.0;13.4;67.3;5.8
162;C Industrie;Ondergrens 95%-interval;2016;45.0;1.0;7.8;58.6;23.6;12.8;0.8;10.3;13.5;66.5;5.4
163;C Industrie;Ondergrens 95%-interval;2017;43.4;0.9;7.2;61.5;22.7;11.0;0.6;8.9;12.5;67.3;6.8
164;C Industrie;Ondergrens 95%-interval;2018;48.4;1.3;8.1;60.4;24.2;10.8;0.8;10.1;13.4;66.9;5.9
165;C Industrie;Ondergrens 95%-interval;2019;46.3;1.2;8.8;59.9;23.3;11.6;1.1;9.7;13.8;65.1;7.3
166;C Industrie;Ondergrens 95%-interval;2020;43.5;1.1;8.6;55.2;27.7;11.7;1.0;8.8;12.4;67.6;6.9
167;C Industrie;Ondergrens 95%-interval;2021;43.7;1.2;8.8;54.8;26.3;13.1;1.2;9.8;13.5;64.8;7.2
168;C Industrie;Ondergrens 95%-interval;2022;55.6;1.4;9.3;54.2;31.4;9.5;0.8;6.1;9.7;74.3;6.1
169;C Industrie;Ondergrens 95%-interval;2023;49.9;1.3;8.6;59.3;26.2;9.5;1.0;7.0;9.5;73.6;6.1
170;C Industrie;Bovengrens 95%-interval;2014;44.9;1.1;9.2;63.1;27.4;12.5;1.8;11.8;15.2;70.4;7.6
171;C Industrie;Bovengrens 95%-interval;2015;48.4;1.2;9.4;61.3;27.9;14.1;1.2;11.0;15.8;70.4;7.5
172;C Industrie;Bovengrens 95%-interval;2016;47.8;1.1;9.3;61.7;26.3;14.9;1.4;12.3;15.8;69.5;7.0
173;C Industrie;Bovengrens 95%-interval;2017;46.3;1.1;8.7;64.7;25.5;13.1;1.2;10.9;14.7;70.4;8.6
174;C Industrie;Bovengrens 95%-interval;2018;50.9;1.4;9.4;63.2;26.7;12.6;1.3;11.9;15.4;69.5;7.3
175;C Industrie;Bovengrens 95%-interval;2019;49.0;1.4;10.4;62.9;26.0;13.6;1.8;11.5;16.0;67.9;9.0
176;C Industrie;Bovengrens 95%-interval;2020;46.2;1.3;10.3;58.4;30.6;13.8;1.8;10.7;14.6;70.5;8.7
177;C Industrie;Bovengrens 95%-interval;2021;46.6;1.4;10.5;58.1;29.4;15.4;2.0;11.9;15.9;68.0;9.1
178;C Industrie;Bovengrens 95%-interval;2022;58.4;1.6;10.9;57.2;34.3;11.3;1.4;7.7;11.6;77.0;7.7
179;C Industrie;Bovengrens 95%-interval;2023;52.7;1.5;10.1;62.3;28.9;11.3;1.6;8.6;11.4;76.2;7.8
180;D Energievoorziening;Waarde;2014;45.9;0.7;5.3;69.3;26.5;4.2;0.0;6.6;11.5;79.2;2.7
181;D Energievoorziening;Waarde;2015;51.7;1.0;10.1;63.7;23.6;10.8;1.9;7.3;13.3;74.2;5.2
182;D Energievoorziening;Waarde;2016;47.4;1.1;6.5;62.4;26.1;10.0;1.5;4.2;12.7;77.3;5.7
183;D Energievoorziening;Waarde;2017;49.9;0.8;8.0;68.1;18.5;12.2;1.2;9.1;11.7;74.7;4.5
184;D Energievoorziening;Waarde;2018;49.1;0.9;7.7;71.3;18.5;9.5;0.6;8.0;11.3;75.4;5.2
185;D Energievoorziening;Waarde;2019;49.7;1.1;5.9;69.5;20.1;9.3;1.1;7.8;12.5;72.4;7.2
186;D Energievoorziening;Waarde;2020;43.7;0.8;10.7;63.5;24.8;10.0;1.7;8.2;11.0;73.6;7.1
