ID;Geslacht;Leeftijd;KenmerkenPersonen;Marges;Perioden;Rokers_1;ExRokers_2;NooitRokers_3;Drinkers_4;ExDrinkers_5;NooitDrinkers_6;ZwareDrinkersOnderDrinkers_7;OvermatigeDrinkersOnderDrinkers_8;GlazenAlcoholPerDag_9;Maximaal1GlasPerDagOnderBevolking_10;RichtlijnAlcoholgebruik12JrOfOuder_11;AfgelopenMaand_12;AfgelopenJaar_13;Ooit_14;AfgelopenMaand_15;AfgelopenJaar_16;Ooit_17;AgelopenMaand_18;AfgelopenJaar_19;Ooit_20;AfgelopenMaand_21;AfgelopenJaar_22;Ooit_23;AfgelopenMaand_24;AfgelopenJaar_25;Ooit_26;AfgelopenMaand_27;AfgelopenJaar_28;Ooit_29;AfgelopenMaand_30;AfgelopenJaar_31;Ooit_32;OpgegevenLengte18JaarOfOuder_33;OpgegevenGewicht18JaarOfOuder_34;Ondergewicht_35;NormaalGewicht_36;Overgewicht_37;MatigOvergewicht_38;ErnstigOvergewicht_39;VoldoetAanBeweegrichtlijn_40;VoldoendeMatigIntensieveInspanning_41;VoldoendeBotSpierversterkActiviteit_42;WekelijkseSporters_43;AbonnementSportaanbieder_44;LidSportvereniging_45;Inactief_46;SemiActief_47;Normactief_48;Inactief_49;SemiActief_50;Normactief_51;VoldoenAanCombinorm_52;WekelijkseSporters_53;HeeftRisicovolleSeksGehad_54;RisicoOngeplandeZwangerschap1649Jr_55;HivTest_56;SoaTestExclHivTest_57;AnticonceptiegebruikInclPil1649_58;GebruikAnticonceptiepil1649Jaar_59;k_7DagenPerWeekVoldoendeFruit_60;Minimaal5DagenPWVoldoendeFruit_61;k_7DagenPerWeekVoldoendeGroente_62;Minimaal5DagenPWVoldoendeGroente_63;Minimaal1DagPerWeek_64;Min2DagenPWWaarvan1XVetteVis_65;InDeAfgelopen5Jaar_66;LangerDan5JaarGeleden_67;Nooit_68;WeetNiet_69;InDeAfgelopen2Jaar_70;LangerDan2JaarGeleden_71;Nooit_72;WeetNiet_73;InDeAfgelopen5Jaar_74;NietInDeAfgelopen5Jaar_75;WeetNiet_76;InDeAfgelopen12Maanden_77;LangerDan12MaandenGeleden_78;Nooit_79;WeetNiet_80;InDeAfgelopen12Maanden_81;LangerDan12MaandenGeleden_82;Nooit_83;WeetNiet_84;InDeAfgelopen12Maanden_85;LangerDan12MaandenGeleden_86;Nooit_87;WeetNiet_88;InDeAfgelopen2Jaar_89;LangerDan2JaarGeleden_90;Nooit_91;WeetNiet_92;InDeAfgelopen12Maanden_93;LangerDan12MaandenGeleden_94;Nooit_95;WeetNiet_96;Griepprik16JaarOfOuder_97;Bloeddonoren18Tot70Jaar_98;Mantelzorger_99;UrenMantelzorgPerWeek_100;ZwaarBelasteMantelzorgers_101
10;Totaal mannen en vrouwen;Totaal;Totaal ;Bovengrens 95%-interval;2018/2019;21.3;31.1;49.7;76.4;11.7;13.5;11.5;10.8;1.2;44.5;43.6;4.9;7.6;22.6;2.2;4.4;11.2;0.6;1.5;4.5;1.2;3.1;8.3;0.8;1.8;5.3;0.8;1.7;6.5;5.9;9.6;24.3;174.4;78.3;2.5;54.4;44.7;31.9;13.3;48.6;54.1;81.9;54.3;24.0;24.2;;;;;;;;;3.1;;4.2;5.4;74.3;37.6;29.9;39.8;20.7;42.6;56.9;16.8;49.5;25.1;24.3;4.5;37.8;19.2;44.7;1.6;;;;51.3;38.5;6.9;5.5;34.1;25.8;31.3;11.4;35.5;27.5;27.0;12.7;23.3;7.0;64.7;7.1;3.7;15.8;79.8;2.3;23.6;;15.4;11.3;15.2
11;Totaal mannen en vrouwen;Totaal;Totaal ;Bovengrens 95%-interval;2020/2021;19.9;31.3;51.1;74.6;13.6;13.8;11.1;9.7;1.1;48.0;47.2;5.3;8.3;23.3;2.1;5.0;12.7;0.6;1.5;5.0;1.0;3.3;9.6;0.8;2.0;5.9;0.9;2.2;7.8;6.4;10.5;25.1;174.4;78.3;2.6;54.0;45.3;32.9;12.9;50.8;55.5;84.8;55.2;22.8;24.2;;;;;;;;;3.1;8.2;3.0;4.6;75.2;34.0;29.3;40.5;21.7;44.1;57.0;16.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.3;;12.9;13.5;15.4
12;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Waarde;2014/2015;28.5;37.4;34.1;70.1;16.4;13.5;10.9;12.0;1.4;49.9;49.9;;;;;;;;;;;;;;;;;;;;;;170.8;77.7;1.2;38.5;60.4;41.0;19.3;;;;;;;16.6;26.7;56.7;59.5;14.6;25.9;58.3;31.5;1.2;23.2;2.7;2.6;64.5;32.3;31.5;38.8;26.7;52.1;56.3;14.0;44.7;38.4;11.4;5.4;51.3;27.2;19.9;1.6;23.6;68.5;8.0;63.3;30.2;3.3;3.2;44.5;25.0;22.5;7.9;45.4;22.9;21.8;9.8;12.8;6.5;74.8;5.9;4.6;18.8;73.9;2.6;41.7;2.8;;;
13;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Waarde;2016/2017;27.1;37.6;35.3;68.0;17.7;14.3;11.4;12.2;1.3;52.9;52.9;3.2;4.1;11.4;0.9;1.9;5.5;0.3;0.6;2.8;0.3;1.0;3.5;0.5;1.0;3.5;0.4;0.6;3.0;3.6;4.7;12.5;170.9;78.5;1.4;36.3;62.3;40.8;21.5;33.8;42.5;66.2;31.1;11.9;11.5;16.2;26.6;57.1;60.0;13.6;26.4;58.8;34.0;1.2;;2.9;2.8;60.6;30.0;32.1;39.9;12.9;31.5;57.8;14.7;44.0;39.7;12.4;3.8;49.8;28.5;20.7;1.1;24.6;69.7;5.7;65.1;29.3;3.2;2.4;47.6;24.4;21.2;6.8;47.2;23.8;20.4;8.6;24.7;7.2;63.3;4.7;4.6;19.8;73.7;1.9;40.6;;13.9;16.3;12.2
14;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Waarde;2018/2019;26.2;39.4;34.4;66.0;19.0;15.0;11.7;12.2;1.3;54.8;54.8;3.8;4.9;12.3;1.3;2.1;6.2;0.4;0.7;2.8;0.3;0.8;3.9;0.5;0.9;3.6;0.5;0.8;3.6;4.4;5.8;13.7;170.8;78.6;1.4;36.4;62.2;40.5;21.7;35.4;42.9;68.4;29.9;14.3;10.2;;;;;;;;;1.7;;2.2;2.4;68.6;32.4;30.7;40.2;14.6;31.6;57.7;15.4;38.9;42.5;12.3;6.4;50.3;27.8;20.1;1.8;;;;67.8;26.3;3.1;2.9;52.5;21.8;17.5;8.2;51.0;20.7;17.9;10.3;34.9;8.7;49.8;6.7;5.7;22.0;69.5;2.7;38.7;;14.5;15.0;13.2
15;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Waarde;2020/2021;23.6;39.9;36.5;63.9;20.5;15.6;9.7;10.7;1.2;57.2;57.2;3.4;4.2;11.2;1.1;1.4;6.5;0.3;0.7;2.7;0.2;0.6;4.2;0.5;0.6;3.6;0.3;0.6;3.5;3.9;4.9;12.5;170.7;78.0;1.7;37.5;60.8;41.0;19.8;38.5;46.3;72.3;30.0;12.6;9.7;;;;;;;;;1.2;8.2;1.1;1.3;64.3;25.5;30.8;41.0;14.0;32.4;57.6;14.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.2;;13.2;16.2;14.6
16;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Ondergrens 95%-interval;2014/2015;27.0;35.9;32.6;68.7;15.3;12.4;9.7;10.8;1.3;48.4;48.4;;;;;;;;;;;;;;;;;;;;;;170.5;77.2;0.8;36.9;58.8;39.5;18.1;;;;;;;15.4;25.3;55.1;57.9;13.5;24.5;56.7;30.0;0.8;19.3;2.1;2.0;59.7;28.3;30.0;37.2;25.3;50.6;54.7;12.9;42.7;36.4;10.1;4.5;49.2;25.3;18.2;1.1;21.3;66.0;6.5;61.8;28.8;2.7;2.6;43.0;23.7;21.2;7.1;43.9;21.6;20.5;8.9;11.8;5.7;73.4;5.2;4.0;17.6;72.6;2.1;40.1;2.2;;;
17;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Ondergrens 95%-interval;2016/2017;25.7;36.1;33.7;66.5;16.5;13.2;10.2;10.9;1.2;51.4;51.4;2.6;3.4;10.4;0.6;1.4;4.8;0.1;0.4;2.3;0.1;0.7;2.9;0.3;0.7;2.9;0.2;0.3;2.5;3.0;4.1;11.4;170.6;78.0;1.1;34.7;60.7;39.2;20.2;32.2;40.9;64.7;29.6;10.9;10.5;15.0;25.2;55.5;58.4;12.5;25.0;57.3;32.5;0.8;;2.3;2.2;55.3;25.7;30.6;38.3;11.8;30.1;56.3;13.6;41.9;37.7;11.0;3.0;47.7;26.6;19.0;0.6;22.3;67.3;4.5;63.6;27.9;2.6;1.9;46.0;23.0;19.9;6.0;45.6;22.4;19.2;7.7;23.3;6.4;61.8;4.0;4.0;18.5;72.3;1.4;39.0;;12.8;13.8;9.4
18;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Ondergrens 95%-interval;2018/2019;24.8;37.9;32.9;64.5;17.8;13.8;10.5;10.9;1.2;53.2;53.2;3.2;4.2;11.3;0.9;1.7;5.4;0.2;0.4;2.2;0.2;0.5;3.2;0.3;0.6;3.0;0.2;0.5;3.0;3.7;5.1;12.6;170.5;78.1;1.0;34.8;60.7;38.9;20.4;33.8;41.3;66.9;28.4;13.2;9.3;;;;;;;;;1.2;;1.7;1.9;63.5;27.4;29.2;38.6;13.5;30.2;56.1;14.3;36.8;40.4;10.9;5.3;48.2;25.9;18.4;1.2;;;;66.3;24.9;2.5;2.4;51.0;20.5;16.3;7.3;49.4;19.4;16.7;9.3;33.4;7.8;48.2;5.9;5.0;20.7;68.1;2.2;37.1;;13.4;12.6;10.4
19;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Ondergrens 95%-interval;2020/2021;21.9;38.1;34.7;62.0;19.0;14.2;8.3;9.3;1.1;55.4;55.4;2.6;3.4;9.9;0.7;1.0;5.6;0.1;0.4;2.1;0.1;0.3;3.5;0.2;0.3;2.9;0.1;0.4;2.8;3.1;4.1;11.2;170.3;77.4;1.2;35.7;58.9;39.1;18.3;36.7;44.3;70.5;28.3;11.4;8.7;;;;;;;;;0.8;5.0;0.7;0.9;56.5;20.5;29.1;39.1;12.7;30.7;55.7;13.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.4;;12.0;13.5;11.2
20;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Bovengrens 95%-interval;2014/2015;29.9;39.0;35.6;71.6;17.6;14.5;12.1;13.3;1.5;51.5;51.5;;;;;;;;;;;;;;;;;;;;;;171.1;78.2;1.5;40.0;61.9;42.6;20.6;;;;;;;17.8;28.1;58.3;61.1;15.7;27.3;59.8;33.0;1.6;27.1;3.2;3.1;69.3;36.3;32.9;40.3;28.0;53.7;57.9;15.1;46.8;40.4;12.7;6.4;53.4;29.0;21.5;2.2;25.9;71.0;9.4;64.9;31.7;3.8;3.7;46.1;26.4;23.8;8.8;47.0;24.3;23.1;10.7;13.9;7.2;76.1;6.7;5.3;20.1;75.3;3.1;43.3;3.4;;;
21;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Bovengrens 95%-interval;2016/2017;28.5;39.2;36.8;69.4;18.9;15.4;12.6;13.4;1.4;54.5;54.5;3.7;4.7;12.4;1.2;2.3;6.3;0.5;0.8;3.4;0.4;1.3;4.1;0.7;1.4;4.0;0.6;0.8;3.6;4.1;5.4;13.5;171.2;79.0;1.8;37.8;63.8;42.4;22.8;35.3;44.1;67.8;32.6;12.9;12.5;17.4;28.1;58.7;61.6;14.7;27.8;60.4;35.5;1.6;;3.5;3.4;65.8;34.4;33.6;41.4;14.0;33.0;59.4;15.8;46.1;41.8;13.8;4.6;51.9;30.4;22.4;1.5;26.9;72.2;6.9;66.6;30.8;3.8;2.9;49.1;25.7;22.6;7.6;48.8;25.2;21.7;9.4;26.1;8.1;64.9;5.4;5.3;21.1;75.1;2.3;42.1;;15.0;18.9;15.0
22;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Bovengrens 95%-interval;2018/2019;27.6;41.0;35.9;67.5;20.3;16.1;13.0;13.5;1.3;56.4;56.4;4.4;5.6;13.4;1.7;2.6;7.0;0.6;1.0;3.3;0.5;1.1;4.5;0.7;1.1;4.2;0.7;1.0;4.2;5.0;6.6;14.8;171.2;79.1;1.8;37.9;63.8;42.1;23.0;36.9;44.5;69.9;31.4;15.4;11.2;;;;;;;;;2.2;;2.7;2.9;73.6;37.4;32.1;41.8;15.8;33.1;59.3;16.6;40.9;44.6;13.7;7.4;52.5;29.7;21.8;2.3;;;;69.3;27.7;3.6;3.4;54.1;23.1;18.7;9.0;52.6;22.0;19.2;11.3;36.4;9.6;51.4;7.5;6.5;23.4;71.0;3.2;40.2;;15.7;17.4;16.0
23;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 1 laag;Bovengrens 95%-interval;2020/2021;25.4;41.7;38.4;65.7;22.2;17.1;11.2;12.3;1.3;59.1;59.1;4.3;5.2;12.5;1.6;2.1;7.6;0.6;1.2;3.5;0.5;1.0;5.2;0.9;1.1;4.4;0.6;1.1;4.4;4.9;6.0;13.9;171.1;78.6;2.3;39.4;62.7;42.9;21.4;40.4;48.2;74.0;31.8;13.8;10.8;;;;;;;;;1.9;13.1;1.6;1.9;71.5;31.1;32.6;42.9;15.4;34.2;59.5;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.0;;14.5;19.0;18.8
24;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 2 middelbaar;Waarde;2014/2015;26.8;35.3;37.9;82.9;11.3;5.9;10.5;11.8;1.3;37.3;37.3;;;;;;;;;;;;;;;;;;;;;;174.6;79.2;1.1;44.5;54.4;39.7;14.7;;;;;;;8.3;32.6;59.0;57.1;19.1;23.8;60.7;49.2;1.9;22.0;4.5;4.8;67.0;31.0;27.3;37.6;28.5;55.8;56.4;15.5;65.5;20.5;12.4;1.6;41.1;17.9;40.3;0.6;24.4;70.2;5.4;50.8;42.3;4.1;2.9;33.2;29.8;29.4;7.6;34.5;30.4;26.0;9.1;9.1;6.2;80.0;4.7;3.2;14.7;80.8;1.3;24.0;4.3;;;
25;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 2 middelbaar;Waarde;2016/2017;25.7;35.2;39.1;81.4;11.4;7.3;9.8;10.6;1.3;38.6;38.6;3.6;5.1;18.8;1.2;2.6;9.0;0.3;0.9;4.3;0.4;1.4;6.0;0.6;1.3;4.8;0.3;0.8;5.0;4.5;6.5;20.2;174.8;79.5;1.0;45.4;53.6;38.2;15.4;44.2;52.5;74.2;47.4;21.1;17.1;8.7;32.0;59.3;58.0;18.2;23.9;60.8;49.6;2.1;;4.4;5.2;67.3;30.5;30.0;39.9;17.1;38.8;58.6;17.6;62.2;21.6;13.9;2.2;41.5;20.2;37.6;0.8;24.1;72.6;3.4;53.0;40.8;3.8;2.5;35.0;29.6;28.8;6.5;36.6;30.8;24.3;8.3;18.1;6.8;71.8;3.3;3.4;16.8;78.8;1.0;21.9;;18.3;10.0;14.2
26;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 2 middelbaar;Waarde;2018/2019;24.3;35.9;39.8;81.8;10.8;7.4;9.2;9.7;1.2;39.4;39.4;4.3;5.7;21.4;1.6;3.1;10.8;0.5;1.0;4.7;0.7;2.1;8.1;0.8;1.5;5.6;0.7;1.3;6.3;4.9;7.1;23.0;174.6;80.2;1.0;42.5;56.5;39.4;17.1;46.6;53.5;78.3;48.0;23.3;17.2;;;;;;;;;2.6;;3.5;4.2;66.2;29.2;28.8;39.6;17.2;38.3;57.2;18.1;59.5;23.7;14.2;2.5;42.0;19.2;38.2;0.7;;;;52.8;40.5;3.1;3.6;36.0;28.3;27.1;8.7;37.2;29.5;22.5;10.8;24.0;7.1;63.3;5.6;3.7;16.2;78.9;1.2;22.5;;18.7;9.9;13.0
27;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: 2 middelbaar;Waarde;2020/2021;23.1;37.8;39.1;79.2;14.0;6.8;9.9;9.3;1.1;42.9;42.9;4.4;6.5;22.5;1.9;3.9;12.4;0.5;1.1;5.3;0.8;2.2;9.6;0.4;1.5;6.2;0.8;1.6;7.7;5.7;8.6;24.2;174.5;80.3;1.2;41.8;56.9;39.9;17.0;48.2;55.2;79.3;47.5;21.7;16.5;;;;;;;;;2.3;9.2;2.4;3.4;68.9;27.9;27.4;38.2;17.2;38.9;56.0;17.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.9;;15.9;12.9;13.8
