ID;InstitutioneleBeleggers;Perioden;BeleggingBuitenlandTotaal_1;DirectVastgoed_2;AandelenEnOverigeDeelnemingen_3;Schuldbewijzen_4;LanglopendeLeningen_5;OverigeBeleggingen_6
21;Totaal institutionele beleggers;2001;442.7;23.2;234.2;177.6;5.1;2.6
22;Totaal institutionele beleggers;2002;406.8;15.7;181.8;202.1;4.0;3.3
23;Totaal institutionele beleggers;2003;473.0;14.9;221.1;230.7;2.8;3.5
24;Totaal institutionele beleggers;2004;556.2;13.6;251.6;281.9;2.0;7.1
25;Totaal institutionele beleggers;2005 1e kwartaal;590.6;14.2;278.2;288.3;2.2;7.6
26;Totaal institutionele beleggers;2005 2e kwartaal;635.7;14.9;303.3;309.9;2.2;5.4
27;Totaal institutionele beleggers;2005 3e kwartaal;667.9;15.4;324.0;318.7;2.2;7.6
28;Totaal institutionele beleggers;2005 4e kwartaal;688.8;16.4;336.7;325.8;1.5;8.5
29;Totaal institutionele beleggers;2005;688.8;16.4;336.7;325.8;1.5;8.5
30;Totaal institutionele beleggers;2006 1e kwartaal;712.4;17.2;345.2;326.9;1.9;21.1
31;Totaal institutionele beleggers;2006 2e kwartaal;704.0;17.9;328.1;331.5;1.8;24.7
32;Totaal institutionele beleggers;2006 3e kwartaal;742.8;18.6;348.7;348.1;1.9;25.5
33;Totaal institutionele beleggers;2006 4e kwartaal;770.3;19.3;369.5;352.3;1.8;27.4
34;Totaal institutionele beleggers;2006;770.3;19.3;369.5;352.3;1.8;27.4
35;Totaal institutionele beleggers;2007 1e kwartaal;786.8;19.0;378.9;360.0;2.5;26.3
36;Totaal institutionele beleggers;2007 2e kwartaal;790.7;12.1;397.0;357.5;2.4;21.6
37;Totaal institutionele beleggers;2007 3e kwartaal;796.7;12.5;408.3;353.8;2.6;19.5
38;Totaal institutionele beleggers;2007 4e kwartaal;805.9;13.8;409.9;359.8;3.4;19.0
39;Totaal institutionele beleggers;2007;805.9;13.8;409.9;359.8;3.4;19.0
40;Totaal institutionele beleggers;2008 1e kwartaal;773.0;13.9;375.8;345.9;6.8;30.7
41;Totaal institutionele beleggers;2008 2e kwartaal;769.2;13.8;383.5;347.0;3.0;22.1
42;Totaal institutionele beleggers;2008 3e kwartaal;764.2;13.9;359.6;370.6;3.1;17.0
43;Totaal institutionele beleggers;2008 4e kwartaal voor revisie;687.0;14.0;289.2;349.4;4.2;30.2
44;Totaal institutionele beleggers;2008 4e kwartaal na revisie;749.2;1.2;296.9;406.2;6.8;38.2
45;Totaal institutionele beleggers;2008 voor revisie;687.0;14.0;289.2;349.4;4.2;30.2
46;Totaal institutionele beleggers;2008 na revisie;749.2;1.2;296.9;406.2;6.8;38.2
47;Totaal institutionele beleggers;2009 1e kwartaal;807.7;1.0;345.2;424.7;7.2;29.6
48;Totaal institutionele beleggers;2009 2e kwartaal;827.2;1.0;368.5;421.1;6.9;29.6
49;Totaal institutionele beleggers;2009 3e kwartaal;827.2;1.0;368.5;421.1;6.9;29.6
50;Totaal institutionele beleggers;2009 4e kwartaal;827.2;1.0;368.5;421.1;6.9;29.6
51;Totaal institutionele beleggers;2009;827.2;1.0;368.5;421.1;6.9;29.6
52;Totaal institutionele beleggers;2010 1e kwartaal;855.9;1.1;393.1;428.2;7.7;25.7
53;Totaal institutionele beleggers;2010 2e kwartaal;837.4;1.2;379.9;425.6;8.4;22.3
54;Totaal institutionele beleggers;2010 3e kwartaal;864.1;1.2;391.6;435.1;8.7;27.4
55;Totaal institutionele beleggers;2010 4e kwartaal;861.6;1.2;416.7;413.9;9.9;20.0
56;Totaal institutionele beleggers;2010;861.6;1.2;416.7;413.9;9.9;20.0
57;Totaal institutionele beleggers;2011 1e kwartaal;858.3;1.2;410.6;416.3;10.2;20.1
58;Totaal institutionele beleggers;2011 2e kwartaal;860.3;1.1;412.0;417.6;10.2;19.3
59;Totaal institutionele beleggers;2011 3e kwartaal;841.4;1.2;388.1;422.6;10.4;19.1
60;Totaal institutionele beleggers;2011 4e kwartaal;868.0;1.2;414.4;426.1;10.4;15.9
61;Totaal institutionele beleggers;2011;868.0;1.2;414.4;426.1;10.4;15.9
62;Totaal institutionele beleggers;2012 1e kwartaal;921.3;1.1;443.5;445.4;13.8;17.5
63;Totaal institutionele beleggers;2012 2e kwartaal;943.1;1.1;447.7;458.5;14.1;21.8
64;Totaal institutionele beleggers;2012 3e kwartaal;983.1;1.1;467.2;480.4;15.1;19.3
65;Totaal institutionele beleggers;2012 4e kwartaal;1007.6;1.0;471.7;501.8;15.2;17.9
66;Totaal institutionele beleggers;2012;1007.6;1.0;471.7;501.8;15.2;17.9
67;Totaal institutionele beleggers;2013 1e kwartaal;1046.6;0.8;508.5;502.5;15.8;19.0
68;Totaal institutionele beleggers;2013 2e kwartaal;1021.4;0.8;487.0;498.9;15.8;18.9
69;Totaal institutionele beleggers;2013 3e kwartaal;1030.8;0.8;496.0;500.4;16.2;17.3
70;Totaal institutionele beleggers;2013 4e kwartaal;1046.2;0.8;508.7;504.0;15.3;17.4
71;Totaal institutionele beleggers;2013;1046.2;0.8;508.7;504.0;15.3;17.4
72;Totaal institutionele beleggers;2014 1e kwartaal;1089.5;0.8;529.9;526.4;16.0;16.5
73;Totaal institutionele beleggers;2014 2e kwartaal;1146.8;0.8;561.8;549.4;16.3;18.5
74;Totaal institutionele beleggers;2014 3e kwartaal;1206.5;0.8;593.8;577.9;17.2;16.8
75;Totaal institutionele beleggers;2014 4e kwartaal;1251.8;0.8;618.3;594.5;17.4;20.8
76;Totaal institutionele beleggers;2014;1251.8;0.8;618.3;594.5;17.4;20.8
77;Totaal institutionele beleggers;2015 1e kwartaal;1368.1;0.8;675.8;651.8;15.8;23.9
78;Totaal institutionele beleggers;2015 2e kwartaal;1293.7;0.8;638.6;616.5;15.8;22.1
79;Totaal institutionele beleggers;2015 3e kwartaal;1249.4;0.9;594.1;618.9;15.0;20.6
80;Totaal institutionele beleggers;2015 4e kwartaal;1279.4;0.9;622.6;621.6;14.8;19.5
81;Totaal institutionele beleggers;2015;1279.4;0.9;622.6;621.6;14.8;19.5
82;Totaal institutionele beleggers;2016 1e kwartaal;1300.1;0.8;612.5;651.4;14.9;20.5
83;Totaal institutionele beleggers;2016 2e kwartaal;1346.3;0.8;636.7;673.7;14.5;20.6
84;Totaal institutionele beleggers;2016 3e kwartaal;1374.4;0.8;665.0;673.9;14.5;20.2
85;Totaal institutionele beleggers;2016 4e kwartaal;1378.5;0.8;693.5;652.8;14.9;16.5
86;Totaal institutionele beleggers;2016;1378.5;0.8;693.5;652.8;14.9;16.5
87;Totaal institutionele beleggers;2017 1e kwartaal;1389.6;0.8;710.6;644.6;14.3;19.3
88;Totaal institutionele beleggers;2017 2e kwartaal;1382.4;0.8;698.6;649.0;14.2;19.7
89;Totaal institutionele beleggers;2017 3e kwartaal;1404.3;0.8;713.5;656.5;13.9;19.5
90;Totaal institutionele beleggers;2017 4e kwartaal;1435.7;0.8;741.0;657.4;13.1;23.4
91;Totaal institutionele beleggers;2017;1435.7;0.8;741.0;657.4;13.1;23.4
92;Pensioenfondsen;1980;3.0;0.7;0.9;0.7;0.7;0.0
93;Pensioenfondsen;1981;3.6;0.8;0.9;1.0;0.9;0.1
94;Pensioenfondsen;1982;4.9;0.9;1.3;1.5;1.2;0.0
95;Pensioenfondsen;1983;6.8;1.2;2.1;1.8;1.6;0.1
96;Pensioenfondsen;1984;8.6;1.3;2.4;2.7;2.1;0.2
97;Pensioenfondsen;1985;10.6;1.4;3.1;3.4;2.5;0.1
98;Pensioenfondsen;1986;14.5;1.6;4.7;5.4;2.7;0.1
99;Pensioenfondsen;1987;15.9;1.8;4.9;6.3;2.7;0.2
100;Pensioenfondsen;1988;20.0;2.2;7.8;7.1;2.7;0.3
101;Pensioenfondsen;1989;21.8;2.3;11.0;5.6;2.6;0.3
102;Pensioenfondsen;1990;21.3;2.1;10.4;5.5;2.6;0.6
103;Pensioenfondsen;1991;29.1;4.2;15.3;6.5;2.6;0.5
104;Pensioenfondsen;1992;32.6;4.3;17.5;7.7;2.6;0.5
105;Pensioenfondsen;1993;43.3;4.4;25.9;9.6;2.7;0.6
106;Pensioenfondsen;1994;47.0;4.2;29.0;10.9;2.3;0.6
107;Pensioenfondsen;1995;60.5;4.0;38.1;15.8;2.4;0.3
108;Pensioenfondsen;1996;76.7;4.1;49.0;21.1;2.1;0.3
109;Pensioenfondsen;1997;111.6;3.6;67.7;36.8;2.5;1.0
110;Pensioenfondsen;1998;156.9;3.0;90.5;60.4;2.3;0.8
111;Pensioenfondsen;1999;253.5;3.1;164.0;83.6;2.1;0.8
112;Pensioenfondsen;2000;276.1;3.1;164.0;106.8;1.6;0.7
113;Pensioenfondsen;2001;296.3;2.7;172.1;118.7;1.8;0.9
114;Pensioenfondsen;2002;276.8;1.6;135.7;136.3;1.2;1.9
115;Pensioenfondsen;2003;325.3;0.7;172.3;149.4;1.0;1.9
116;Pensioenfondsen;2004;388.9;0.9;200.6;181.1;0.9;5.4
117;Pensioenfondsen;2005 1e kwartaal;410.8;0.9;222.1;180.5;0.9;6.4
118;Pensioenfondsen;2005 2e kwartaal;447.3;0.9;243.3;198.0;0.9;4.1
119;Pensioenfondsen;2005 3e kwartaal;479.0;0.8;262.2;208.7;0.7;6.6
120;Pensioenfondsen;2005 4e kwartaal;497.6;0.8;272.4;216.4;0.7;7.2
121;Pensioenfondsen;2005;497.6;0.8;272.4;216.4;0.7;7.2
122;Pensioenfondsen;2006 1e kwartaal;522.0;0.8;280.3;220.5;1.0;19.4
123;Pensioenfondsen;2006 2e kwartaal;515.9;0.9;263.7;226.9;0.8;23.6
124;Pensioenfondsen;2006 3e kwartaal;546.2;0.9;279.3;240.6;0.9;24.5
125;Pensioenfondsen;2006 4e kwartaal;568.8;0.9;296.8;243.7;1.0;26.4
126;Pensioenfondsen;2006;568.8;0.9;296.8;243.7;1.0;26.4
127;Pensioenfondsen;2007 1e kwartaal;579.5;0.4;305.1;247.2;1.8;25.0
128;Pensioenfondsen;2007 2e kwartaal;591.5;0.4;322.7;245.5;2.0;20.8
129;Pensioenfondsen;2007 3e kwartaal;591.9;0.4;325.8;244.3;2.4;19.0
130;Pensioenfondsen;2007 4e kwartaal;586.5;0.4;317.5;247.8;2.9;17.9
131;Pensioenfondsen;2007;586.5;0.4;317.5;247.8;2.9;17.9
132;Pensioenfondsen;2008 1e kwartaal;558.6;0.4;289.3;233.8;6.3;28.8
133;Pensioenfondsen;2008 2e kwartaal;551.9;0.2;293.7;236.1;2.6;19.2
134;Pensioenfondsen;2008 3e kwartaal;545.9;0.2;272.9;255.6;2.8;14.4
135;Pensioenfondsen;2008 4e kwartaal voor revisie;474.6;0.2;211.5;231.3;3.9;27.7
136;Pensioenfondsen;2008 4e kwartaal na revisie;472.9;0.2;210.1;227.5;3.5;31.7
137;Pensioenfondsen;2008 voor revisie;474.6;0.2;211.5;231.3;3.9;27.7
138;Pensioenfondsen;2008 na revisie;472.9;0.2;210.1;227.5;3.5;31.7
139;Pensioenfondsen;2009 1e kwartaal;339.6;0.1;158.0;159.1;2.7;19.7
140;Pensioenfondsen;2009 2e kwartaal;337.1;0.1;160.1;155.6;2.9;18.4
141;Pensioenfondsen;2009 3e kwartaal;337.1;0.1;160.1;155.6;2.9;18.4
142;Pensioenfondsen;2009 4e kwartaal;337.1;0.1;160.1;155.6;2.9;18.4
143;Pensioenfondsen;2009;337.1;0.1;160.1;155.6;2.9;18.4
144;Pensioenfondsen;2010 1e kwartaal;327.6;0.1;158.2;153.7;2.5;13.0
145;Pensioenfondsen;2010 2e kwartaal;326.6;0.2;159.1;156.0;2.8;8.6
146;Pensioenfondsen;2010 3e kwartaal;338.8;0.2;163.6;157.1;2.8;15.1
147;Pensioenfondsen;2010 4e kwartaal;332.9;0.2;171.8;149.6;2.8;8.3
148;Pensioenfondsen;2010;332.9;0.2;171.8;149.6;2.8;8.3
149;Pensioenfondsen;2011 1e kwartaal;327.7;0.2;164.2;151.9;2.6;8.7
150;Pensioenfondsen;2011 2e kwartaal;327.6;0.2;166.0;150.5;2.5;8.3
151;Pensioenfondsen;2011 3e kwartaal;315.0;0.2;154.3;150.4;2.1;8.1
152;Pensioenfondsen;2011 4e kwartaal;326.6;0.2;161.8;156.5;2.1;5.9
153;Pensioenfondsen;2011;326.6;0.2;161.8;156.5;2.1;5.9
154;Pensioenfondsen;2012 1e kwartaal;345.1;0.2;172.9;162.6;2.1;7.2
155;Pensioenfondsen;2012 2e kwartaal;355.4;0.2;174.2;169.6;2.1;9.3
156;Pensioenfondsen;2012 3e kwartaal;368.3;0.2;181.4;176.6;2.2;7.9
157;Pensioenfondsen;2012 4e kwartaal;374.9;0.1;181.9;183.3;2.2;7.4
158;Pensioenfondsen;2012;374.9;0.1;181.9;183.3;2.2;7.4
159;Pensioenfondsen;2013 1e kwartaal;388.3;0.1;192.7;185.5;2.2;7.9
160;Pensioenfondsen;2013 2e kwartaal;374.3;0.1;183.0;182.6;2.1;6.5
161;Pensioenfondsen;2013 3e kwartaal;377.4;0.1;185.2;184.2;2.1;5.8
162;Pensioenfondsen;2013 4e kwartaal;385.0;0.1;189.1;187.3;1.8;6.6
163;Pensioenfondsen;2013;385.0;0.1;189.1;187.3;1.8;6.6
164;Pensioenfondsen;2014 1e kwartaal;403.9;0.1;192.7;203.9;1.8;5.4
165;Pensioenfondsen;2014 2e kwartaal;423.4;0.1;202.3;212.8;1.7;6.5
166;Pensioenfondsen;2014 3e kwartaal;445.5;0.1;214.4;224.7;1.7;4.7
167;Pensioenfondsen;2014 4e kwartaal;474.6;0.1;228.8;236.4;1.7;7.7
168;Pensioenfondsen;2014;474.6;0.1;228.8;236.4;1.7;7.7
169;Pensioenfondsen;2015 1e kwartaal;526.8;0.1;252.1;263.7;1.5;9.5
170;Pensioenfondsen;2015 2e kwartaal;499.5;0.1;239.3;251.4;1.4;7.3
171;Pensioenfondsen;2015 3e kwartaal;484.4;0.1;224.7;251.4;1.2;7.0
172;Pensioenfondsen;2015 4e kwartaal;495.1;0.1;233.6;253.5;1.3;6.6
173;Pensioenfondsen;2015;495.1;0.1;233.6;253.5;1.3;6.6
174;Pensioenfondsen;2016 1e kwartaal;506.9;0.0;230.3;267.8;1.2;7.6
175;Pensioenfondsen;2016 2e kwartaal;524.8;0.0;235.8;279.6;1.2;8.1
176;Pensioenfondsen;2016 3e kwartaal;534.6;0.0;244.7;281.8;1.2;7.0
177;Pensioenfondsen;2016 4e kwartaal;533.4;0.0;253.2;272.9;1.2;6.0
178;Pensioenfondsen;2016;533.4;0.0;253.2;272.9;1.2;6.0
179;Pensioenfondsen;2017 1e kwartaal;540.0;0.0;257.3;274.1;1.0;7.5
180;Pensioenfondsen;2017 2e kwartaal;538.1;0.0;250.8;279.8;0.9;6.5
181;Pensioenfondsen;2017 3e kwartaal;542.9;0.0;251.4;284.5;0.8;6.1
182;Pensioenfondsen;2017 4e kwartaal;580.9;0.0;255.7;314.1;0.8;10.3
183;Pensioenfondsen;2017;580.9;0.0;255.7;314.1;0.8;10.3
184;Verzekeringsinstellingen;1980;0.9;0.1;0.1;0.1;0.4;0.0
185;Verzekeringsinstellingen;1981;1.0;0.1;0.2;0.2;0.4;0.0
186;Verzekeringsinstellingen;1982;1.4;0.1;0.2;0.4;0.7;0.0
187;Verzekeringsinstellingen;1983;2.3;0.1;0.7;0.6;0.8;0.1
188;Verzekeringsinstellingen;1984;3.0;0.1;0.9;1.0;1.0;0.0
189;Verzekeringsinstellingen;1985;4.0;0.1;1.3;1.2;1.3;0.1
190;Verzekeringsinstellingen;1986;4.7;0.1;1.4;1.6;1.4;0.1
191;Verzekeringsinstellingen;1987;4.8;0.1;1.4;1.8;1.4;0.1
192;Verzekeringsinstellingen;1988;5.7;0.1;1.7;2.4;1.3;0.1
193;Verzekeringsinstellingen;1989;5.7;0.2;2.1;2.1;1.3;0.1
194;Verzekeringsinstellingen;1990;5.3;0.2;1.6;2.1;1.3;0.1
195;Verzekeringsinstellingen;1991;6.5;0.3;2.1;2.5;1.4;0.1
196;Verzekeringsinstellingen;1992;8.2;0.4;2.4;3.8;1.5;0.0
197;Verzekeringsinstellingen;1993;12.8;0.3;4.4;6.3;1.7;0.1
198;Verzekeringsinstellingen;1994;12.5;0.3;4.4;6.1;1.5;0.2
199;Verzekeringsinstellingen;1995;17.6;0.3;5.9;9.5;1.9;0.1
200;Verzekeringsinstellingen;1996;23.1;0.2;7.5;13.4;1.9;0.1
201;Verzekeringsinstellingen;1997;32.5;0.2;11.5;18.8;1.9;0.1
202;Verzekeringsinstellingen;1998;39.8;0.2;16.7;20.4;2.3;0.2
203;Verzekeringsinstellingen;1999;55.8;0.2;25.1;27.0;3.3;0.3
204;Verzekeringsinstellingen;2000;63.7;0.3;27.7;32.3;3.2;0.2
205;Verzekeringsinstellingen;2001;75.9;0.4;24.2;48.1;3.1;0.2
206;Verzekeringsinstellingen;2002;77.1;0.2;20.8;53.5;2.6;0.2
207;Verzekeringsinstellingen;2003;89.3;0.1;20.5;67.0;1.6;0.1
208;Verzekeringsinstellingen;2004;111.3;1.1;23.2;85.5;1.1;0.5
209;Verzekeringsinstellingen;2005 1e kwartaal;121.2;1.1;25.3;93.2;1.3;0.3
210;Verzekeringsinstellingen;2005 2e kwartaal;129.6;1.2;29.5;97.1;1.3;0.5
211;Verzekeringsinstellingen;2005 3e kwartaal;130.5;1.2;30.7;96.8;1.4;0.4
212;Verzekeringsinstellingen;2005 4e kwartaal;129.3;1.3;30.8;95.9;0.8;0.4
213;Verzekeringsinstellingen;2005;129.3;1.3;30.8;95.9;0.8;0.4
214;Verzekeringsinstellingen;2006 1e kwartaal;128.7;1.6;31.8;93.9;1.0;0.5
215;Verzekeringsinstellingen;2006 2e kwartaal;124.2;1.6;28.4;92.8;1.0;0.5
216;Verzekeringsinstellingen;2006 3e kwartaal;131.5;1.6;33.2;95.1;1.0;0.5
217;Verzekeringsinstellingen;2006 4e kwartaal;133.8;1.7;34.6;96.3;0.8;0.4
218;Verzekeringsinstellingen;2006;133.8;1.7;34.6;96.3;0.8;0.4
219;Verzekeringsinstellingen;2007 1e kwartaal;141.7;1.7;38.8;100.1;0.6;0.5
220;Verzekeringsinstellingen;2007 2e kwartaal;145.3;1.7;43.6;99.3;0.4;0.3
221;Verzekeringsinstellingen;2007 3e kwartaal;151.9;1.7;50.1;99.5;0.3;0.3
222;Verzekeringsinstellingen;2007 4e kwartaal;157.0;1.7;53.1;101.2;0.5;0.5
223;Verzekeringsinstellingen;2007;157.0;1.7;53.1;101.2;0.5;0.5
224;Verzekeringsinstellingen;2008 1e kwartaal;158.0;1.7;54.0;101.1;0.4;0.8
225;Verzekeringsinstellingen;2008 2e kwartaal;160.8;1.7;57.6;100.4;0.4;0.7
226;Verzekeringsinstellingen;2008 3e kwartaal;166.6;1.7;59.9;104.0;0.4;0.7
227;Verzekeringsinstellingen;2008 4e kwartaal voor revisie;166.4;1.7;56.9;106.7;0.3;0.8
228;Verzekeringsinstellingen;2008 4e kwartaal na revisie;157.1;0.1;29.9;122.2;2.0;2.9
229;Verzekeringsinstellingen;2008 voor revisie;166.4;1.7;56.9;106.7;0.3;0.8
230;Verzekeringsinstellingen;2008 na revisie;157.1;0.1;29.9;122.2;2.0;2.9
231;Verzekeringsinstellingen;2009 1e kwartaal;160.8;0.1;29.1;127.1;2.3;2.2
232;Verzekeringsinstellingen;2009 2e kwartaal;160.5;0.1;30.1;125.8;2.3;2.2
233;Verzekeringsinstellingen;2009 3e kwartaal;160.5;0.1;30.1;125.8;2.3;2.2
234;Verzekeringsinstellingen;2009 4e kwartaal;160.5;0.1;30.1;125.8;2.3;2.2
235;Verzekeringsinstellingen;2009;160.5;0.1;30.1;125.8;2.3;2.2
236;Verzekeringsinstellingen;2010 1e kwartaal;163.8;0.1;30.4;128.2;2.5;2.6
237;Verzekeringsinstellingen;2010 2e kwartaal;160.8;0.1;29.6;125.8;2.6;2.7
238;Verzekeringsinstellingen;2010 3e kwartaal;167.9;0.0;30.5;132.4;2.6;2.3
239;Verzekeringsinstellingen;2010 4e kwartaal;161.0;0.0;31.2;125.1;2.7;2.1
240;Verzekeringsinstellingen;2010;161.0;0.0;31.2;125.1;2.7;2.1
241;Verzekeringsinstellingen;2011 1e kwartaal;158.3;0.0;31.0;121.8;2.7;2.7
242;Verzekeringsinstellingen;2011 2e kwartaal;154.8;0.0;28.1;120.9;2.8;3.1
243;Verzekeringsinstellingen;2011 3e kwartaal;154.2;0.0;25.0;123.9;2.8;2.5
244;Verzekeringsinstellingen;2011 4e kwartaal;153.4;0.0;27.2;120.8;2.7;2.8
245;Verzekeringsinstellingen;2011;153.4;0.0;27.2;120.8;2.7;2.8
246;Verzekeringsinstellingen;2012 1e kwartaal;160.7;0.0;29.4;125.6;2.8;2.9
247;Verzekeringsinstellingen;2012 2e kwartaal;165.7;0.0;29.4;129.9;2.7;3.6
248;Verzekeringsinstellingen;2012 3e kwartaal;171.8;0.0;30.2;135.3;2.7;3.5
249;Verzekeringsinstellingen;2012 4e kwartaal;179.2;0.0;30.5;142.7;2.7;3.4
250;Verzekeringsinstellingen;2012;179.2;0.0;30.5;142.7;2.7;3.4
251;Verzekeringsinstellingen;2013 1e kwartaal;179.7;0.0;31.9;142.0;2.6;3.3
252;Verzekeringsinstellingen;2013 2e kwartaal;178.7;0.0;31.4;140.7;2.7;3.8
253;Verzekeringsinstellingen;2013 3e kwartaal;167.5;0.0;30.8;130.3;2.7;3.6
254;Verzekeringsinstellingen;2013 4e kwartaal;162.2;0.0;28.8;127.8;2.4;3.1
255;Verzekeringsinstellingen;2013;162.2;0.0;28.8;127.8;2.4;3.1
256;Verzekeringsinstellingen;2014 1e kwartaal;165.2;0.0;28.9;130.5;2.4;3.3
257;Verzekeringsinstellingen;2014 2e kwartaal;171.2;0.0;28.9;136.1;2.5;3.7
258;Verzekeringsinstellingen;2014 3e kwartaal;177.7;0.0;29.0;142.1;3.0;3.6
259;Verzekeringsinstellingen;2014 4e kwartaal;174.2;0.0;22.2;145.9;2.9;3.2
260;Verzekeringsinstellingen;2014;174.2;0.0;22.2;145.9;2.9;3.2
261;Verzekeringsinstellingen;2015 1e kwartaal;190.7;0.0;24.2;159.9;3.2;3.4
262;Verzekeringsinstellingen;2015 2e kwartaal;174.0;0.0;22.5;145.0;3.1;3.4
263;Verzekeringsinstellingen;2015 3e kwartaal;174.7;0.0;21.9;146.3;3.2;3.2
264;Verzekeringsinstellingen;2015 4e kwartaal;173.9;0.0;23.3;144.0;3.5;3.1
265;Verzekeringsinstellingen;2015;173.9;0.0;23.3;144.0;3.5;3.1
266;Verzekeringsinstellingen;2016 1e kwartaal;182.3;0.0;22.8;152.8;3.4;3.2
267;Verzekeringsinstellingen;2016 2e kwartaal;186.9;0.0;23.0;157.4;3.4;3.1
268;Verzekeringsinstellingen;2016 3e kwartaal;185.9;0.0;24.4;154.7;3.3;3.4
269;Verzekeringsinstellingen;2016 4e kwartaal;179.1;0.0;24.6;148.6;3.3;2.5
270;Verzekeringsinstellingen;2016;179.1;0.0;24.6;148.6;3.3;2.5
271;Verzekeringsinstellingen;2017 1e kwartaal;177.6;0.0;25.4;145.5;3.4;3.3
272;Verzekeringsinstellingen;2017 2e kwartaal;176.5;0.0;25.9;142.4;3.4;4.8
273;Verzekeringsinstellingen;2017 3e kwartaal;175.9;0.0;25.3;141.9;3.5;5.1
274;Verzekeringsinstellingen;2017 4e kwartaal;172.7;0.0;25.7;140.2;3.3;3.5
275;Verzekeringsinstellingen;2017;172.7;0.0;25.7;140.2;3.3;3.5
276;Beleggingsfondsen m.u.v.geldmarktfondsen;1980;4.8;0.9;3.0;0.6;0.0;0.2
277;Beleggingsfondsen m.u.v.geldmarktfondsen;1981;5.2;1.0;3.3;0.6;0.0;0.3
278;Beleggingsfondsen m.u.v.geldmarktfondsen;1982;6.2;1.1;3.0;1.3;0.0;0.7
279;Beleggingsfondsen m.u.v.geldmarktfondsen;1983;8.3;1.3;4.5;1.6;0.1;0.8
280;Beleggingsfondsen m.u.v.geldmarktfondsen;1984;9.2;1.6;4.7;1.6;0.2;1.1
281;Beleggingsfondsen m.u.v.geldmarktfondsen;1985;10.3;1.6;5.1;2.1;0.3;1.2
282;Beleggingsfondsen m.u.v.geldmarktfondsen;1986;11.7;2.1;6.3;2.3;0.2;0.8
283;Beleggingsfondsen m.u.v.geldmarktfondsen;1987;12.6;2.7;5.7;2.3;0.1;1.8
284;Beleggingsfondsen m.u.v.geldmarktfondsen;1988;15.9;3.6;7.3;2.4;0.1;2.5
285;Beleggingsfondsen m.u.v.geldmarktfondsen;1989;17.9;5.0;9.0;3.2;0.1;0.6
286;Beleggingsfondsen m.u.v.geldmarktfondsen;1990;15.4;5.2;7.0;3.0;0.0;0.2
287;Beleggingsfondsen m.u.v.geldmarktfondsen;1991;15.9;4.3;8.4;3.1;0.0;0.0
288;Beleggingsfondsen m.u.v.geldmarktfondsen;1992;14.6;3.7;7.9;2.0;0.0;1.0
289;Beleggingsfondsen m.u.v.geldmarktfondsen;1993;23.2;3.7;12.1;5.0;0.0;2.4
290;Beleggingsfondsen m.u.v.geldmarktfondsen;1994;20.7;4.3;11.8;3.8;0.0;0.8
291;Beleggingsfondsen m.u.v.geldmarktfondsen;1995;20.5;4.7;11.7;3.8;0.0;0.3
292;Beleggingsfondsen m.u.v.geldmarktfondsen;1996;25.8;6.3;13.6;5.4;0.1;0.3
293;Beleggingsfondsen m.u.v.geldmarktfondsen;1997;31.3;8.3;18.1;4.2;0.3;0.5
294;Beleggingsfondsen m.u.v.geldmarktfondsen;1998;38.3;9.8;23.2;4.6;0.2;0.5
295;Beleggingsfondsen m.u.v.geldmarktfondsen;1999;60.8;11.9;41.3;5.8;0.2;1.5
