ID;Overheidslaag;Perioden;ActivaTotaal_1;ImmaterieleVasteActiva_2;MaterieleVasteActiva_3;LeaseActiva_4;AanOverheden_5;AanWoningcorporaties_6;AanOverigeInstellingen_7;EigenDienstonderdeelAndereSector_8;PrivaatrechtelijkeOndernemingen_9;DeelnemingenCrossBorderLease_10;GeactiveerdeTekorten_11;Voorraden_12;OpEigenDienstAndereSector_13;OpDerdenNietFinancieleInstelling_14;Kasgeldleningen_15;LiquideMiddelen_16;OverigeVorderingen_17;PassivaTotaal_18;AlgemeneReserveSaldo_19;Bestemmingsreserve_20;Voorzieningen_21;LanglopendeSchuldenOG_22;LanglopendeSchuldenRijk_23;Leaseverplichtingen_24;VerplichtingenCrossBorderLease_25;BijEigenDienstAndereSector_26;BijDerdenNietFinancieleInstelling_27;BijFinancieleInstellingen_28;BelegdeReservesEigenBedrijfsmatige_29;Kasgeldleningen_30;OverigeSchulden_31
12;Provincies;1998;4.0;0.3;1.6;0.0;0.0;0.0;0.4;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.4;0.7;0.3;4.0;0.6;1.2;0.1;0.8;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.3;0.7
13;Provincies;1999;5.0;0.3;1.6;0.0;0.0;0.0;0.5;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.7;1.0;0.6;5.0;0.8;1.3;0.5;0.8;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.7;0.9
14;Provincies;2000;5.4;0.4;1.5;0.0;0.0;0.0;0.9;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.6;1.2;0.5;5.4;1.2;1.4;0.6;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.9
15;Provincies;2001;5.1;0.4;1.6;0.0;0.0;0.0;0.7;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.4;1.3;0.6;5.1;1.1;1.8;0.4;0.7;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.9
16;Provincies;2002;5.2;0.5;1.6;0.0;0.0;0.0;0.9;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.3;1.0;0.7;5.2;1.1;2.0;0.4;0.6;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;1.0
17;Provincies;2003;5.7;0.6;1.6;0.0;0.0;0.0;1.1;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3;1.2;0.7;5.7;1.4;2.2;0.3;0.5;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;1.0
18;Waterschappen;1998;6.5;0.1;3.3;0.7;0.0;0.0;0.0;0.0;0.2;1.6;0.0;0.0;0.0;0.0;0.0;0.1;0.5;6.5;0.3;0.5;0.3;2.8;0.0;0.4;1.6;0.0;0.0;0.2;0.0;0.0;0.4
19;Waterschappen;1999;6.9;0.1;3.4;0.8;0.0;0.0;0.0;0.0;0.2;1.9;0.0;0.0;0.0;0.0;0.0;0.1;0.4;6.9;0.3;0.5;0.4;2.8;0.0;0.4;1.9;0.0;0.0;0.3;0.0;0.0;0.4
20;Waterschappen;2000;7.5;0.1;3.6;0.9;0.0;0.0;0.0;0.0;0.2;2.1;0.0;0.0;0.0;0.0;0.0;0.1;0.5;7.5;0.3;0.5;0.4;3.1;0.0;0.5;2.1;0.0;0.0;0.2;0.0;0.0;0.5
21;Waterschappen;2001;7.6;0.1;3.8;0.9;0.0;0.0;0.0;0.0;0.2;2.2;0.0;0.0;0.0;0.0;0.0;0.1;0.4;7.6;0.3;0.6;0.3;3.2;0.0;0.4;2.2;0.0;0.0;0.2;0.0;0.0;0.4
22;Waterschappen;2002;7.6;0.1;3.9;0.9;0.0;0.0;0.0;0.0;0.2;1.9;0.0;0.0;0.0;0.0;0.0;0.1;0.4;7.6;0.3;0.6;0.3;3.3;0.0;0.5;1.9;0.0;0.0;0.2;0.0;0.0;0.4
23;Waterschappen;2003;7.6;0.1;4.1;0.9;0.0;0.0;0.0;0.0;0.2;1.7;0.0;0.0;0.0;0.0;0.0;0.1;0.4;7.6;0.3;0.6;0.3;3.5;0.0;0.5;1.7;0.0;0.0;0.2;0.0;0.0;0.5
24;Gemeenschappelijke Regelingen;1998;3.9;0.0;1.1;0.0;0.0;0.0;0.3;0.0;0.1;0.0;0.0;0.2;0.0;0.1;0.0;0.7;1.4;3.9;0.2;0.5;0.7;0.9;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.1;1.4
25;Gemeenschappelijke Regelingen;1999;3.9;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.1;0.0;0.0;0.1;0.0;0.1;0.0;0.8;1.3;3.9;0.2;0.7;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;1.2
26;Gemeenschappelijke Regelingen;2000;4.3;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.1;0.0;0.0;0.1;0.0;0.1;0.0;1.0;1.4;4.3;0.2;1.0;0.9;0.7;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;1.3
27;Gemeenschappelijke Regelingen;2001;4.1;0.0;0.9;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.1;0.0;0.1;0.0;1.3;1.1;4.1;0.2;1.2;0.6;0.7;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;1.2
28;Gemeenschappelijke Regelingen;2002;4.3;0.0;1.0;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.2;0.0;1.3;1.4;4.3;0.2;1.3;0.6;0.7;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;1.4
29;Gemeenschappelijke Regelingen;2003;4.4;0.0;1.0;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.1;0.2;0.0;1.3;1.3;4.4;0.3;1.3;0.7;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3
