ID;Functions;Financing;Periods;HealthCareExpenditure_1
119;Total current health expenditure;HF121a: Long-term care insurance;2017;14986.0
120;Total current health expenditure;HF121a: Long-term care insurance;2018;15801.0
121;Total current health expenditure;HF121a: Long-term care insurance;2019;17741.0
122;Total current health expenditure;HF121a: Long-term care insurance;2020;19566.0
123;Total current health expenditure;HF121a: Long-term care insurance;2021;21069.0
124;Total current health expenditure;HF121a: Long-term care insurance;2022;22334.0
125;Total current health expenditure;HF121b: Health Insurance Fund;1998;11287.0
126;Total current health expenditure;HF121b: Health Insurance Fund;1999;11768.0
127;Total current health expenditure;HF121b: Health Insurance Fund;2000;12533.0
128;Total current health expenditure;HF121b: Health Insurance Fund;2001;14091.0
129;Total current health expenditure;HF121b: Health Insurance Fund;2002;15521.0
130;Total current health expenditure;HF121b: Health Insurance Fund;2003;16556.0
131;Total current health expenditure;HF121b: Health Insurance Fund;2004;16645.0
132;Total current health expenditure;HF121b: Health Insurance Fund;2005;17130.0
133;Total current health expenditure;HF121b: Health Insurance Fund;2006;
134;Total current health expenditure;HF121b: Health Insurance Fund;2007;
135;Total current health expenditure;HF121b: Health Insurance Fund;2008;
136;Total current health expenditure;HF121b: Health Insurance Fund;2009;
137;Total current health expenditure;HF121b: Health Insurance Fund;2010;
138;Total current health expenditure;HF121b: Health Insurance Fund;2011;
139;Total current health expenditure;HF121b: Health Insurance Fund;2012;
140;Total current health expenditure;HF121b: Health Insurance Fund;2013;
141;Total current health expenditure;HF121b: Health Insurance Fund;2014;
142;Total current health expenditure;HF121b: Health Insurance Fund;2015;
143;Total current health expenditure;HF121b: Health Insurance Fund;2016;
144;Total current health expenditure;HF121b: Health Insurance Fund;2017;
145;Total current health expenditure;HF121b: Health Insurance Fund;2018;
146;Total current health expenditure;HF121b: Health Insurance Fund;2019;
147;Total current health expenditure;HF121b: Health Insurance Fund;2020;
148;Total current health expenditure;HF121b: Health Insurance Fund;2021;
149;Total current health expenditure;HF121b: Health Insurance Fund;2022;
150;Total current health expenditure;HF122: Compulsory private insurance;1998;
151;Total current health expenditure;HF122: Compulsory private insurance;1999;
152;Total current health expenditure;HF122: Compulsory private insurance;2000;
153;Total current health expenditure;HF122: Compulsory private insurance;2001;
154;Total current health expenditure;HF122: Compulsory private insurance;2002;
155;Total current health expenditure;HF122: Compulsory private insurance;2003;
156;Total current health expenditure;HF122: Compulsory private insurance;2004;
157;Total current health expenditure;HF122: Compulsory private insurance;2005;
158;Total current health expenditure;HF122: Compulsory private insurance;2006;25953.0
159;Total current health expenditure;HF122: Compulsory private insurance;2007;27605.0
160;Total current health expenditure;HF122: Compulsory private insurance;2008;31120.0
161;Total current health expenditure;HF122: Compulsory private insurance;2009;32815.0
162;Total current health expenditure;HF122: Compulsory private insurance;2010;34340.0
163;Total current health expenditure;HF122: Compulsory private insurance;2011;34609.0
164;Total current health expenditure;HF122: Compulsory private insurance;2012;34149.0
165;Total current health expenditure;HF122: Compulsory private insurance;2013;34709.0
166;Total current health expenditure;HF122: Compulsory private insurance;2014;35376.0
167;Total current health expenditure;HF122: Compulsory private insurance;2015;39260.0
168;Total current health expenditure;HF122: Compulsory private insurance;2016;40240.0
169;Total current health expenditure;HF122: Compulsory private insurance;2017;41364.0
170;Total current health expenditure;HF122: Compulsory private insurance;2018;42931.0
171;Total current health expenditure;HF122: Compulsory private insurance;2019;45133.0
172;Total current health expenditure;HF122: Compulsory private insurance;2020;46548.0
173;Total current health expenditure;HF122: Compulsory private insurance;2021;48286.0
174;Total current health expenditure;HF122: Compulsory private insurance;2022;49997.0
175;Total current health expenditure;Voluntary schemes (incl. OOP);1998;9452.0
176;Total current health expenditure;Voluntary schemes (incl. OOP);1999;10321.0
177;Total current health expenditure;Voluntary schemes (incl. OOP);2000;10785.0
178;Total current health expenditure;Voluntary schemes (incl. OOP);2001;11794.0
179;Total current health expenditure;Voluntary schemes (incl. OOP);2002;13012.0
180;Total current health expenditure;Voluntary schemes (incl. OOP);2003;13857.0
181;Total current health expenditure;Voluntary schemes (incl. OOP);2004;15143.0
182;Total current health expenditure;Voluntary schemes (incl. OOP);2005;15824.0
183;Total current health expenditure;Voluntary schemes (incl. OOP);2006;8626.0
184;Total current health expenditure;Voluntary schemes (incl. OOP);2007;8927.0
185;Total current health expenditure;Voluntary schemes (incl. OOP);2008;10402.0
186;Total current health expenditure;Voluntary schemes (incl. OOP);2009;10503.0
187;Total current health expenditure;Voluntary schemes (incl. OOP);2010;10791.0
188;Total current health expenditure;Voluntary schemes (incl. OOP);2011;11539.0
189;Total current health expenditure;Voluntary schemes (incl. OOP);2012;12310.0
190;Total current health expenditure;Voluntary schemes (incl. OOP);2013;13178.0
191;Total current health expenditure;Voluntary schemes (incl. OOP);2014;13427.0
192;Total current health expenditure;Voluntary schemes (incl. OOP);2015;13264.0
193;Total current health expenditure;Voluntary schemes (incl. OOP);2016;13717.0
194;Total current health expenditure;Voluntary schemes (incl. OOP);2017;13663.0
195;Total current health expenditure;Voluntary schemes (incl. OOP);2018;13878.0
196;Total current health expenditure;Voluntary schemes (incl. OOP);2019;14180.0
197;Total current health expenditure;Voluntary schemes (incl. OOP);2020;13441.0
198;Total current health expenditure;Voluntary schemes (incl. OOP);2021;14600.0
199;Total current health expenditure;Voluntary schemes (incl. OOP);2022;15268.0
200;Total current health expenditure;HF2: Voluntary schemes;1998;6018.0
201;Total current health expenditure;HF2: Voluntary schemes;1999;6676.0
202;Total current health expenditure;HF2: Voluntary schemes;2000;6942.0
203;Total current health expenditure;HF2: Voluntary schemes;2001;7730.0
204;Total current health expenditure;HF2: Voluntary schemes;2002;8758.0
205;Total current health expenditure;HF2: Voluntary schemes;2003;9396.0
206;Total current health expenditure;HF2: Voluntary schemes;2004;10339.0
207;Total current health expenditure;HF2: Voluntary schemes;2005;10871.0
208;Total current health expenditure;HF2: Voluntary schemes;2006;4206.0
209;Total current health expenditure;HF2: Voluntary schemes;2007;4505.0
210;Total current health expenditure;HF2: Voluntary schemes;2008;4444.0
211;Total current health expenditure;HF2: Voluntary schemes;2009;4840.0
212;Total current health expenditure;HF2: Voluntary schemes;2010;4887.0
213;Total current health expenditure;HF2: Voluntary schemes;2011;5228.0
214;Total current health expenditure;HF2: Voluntary schemes;2012;5366.0
215;Total current health expenditure;HF2: Voluntary schemes;2013;5116.0
216;Total current health expenditure;HF2: Voluntary schemes;2014;5204.0
217;Total current health expenditure;HF2: Voluntary schemes;2015;5223.0
218;Total current health expenditure;HF2: Voluntary schemes;2016;5495.0
219;Total current health expenditure;HF2: Voluntary schemes;2017;5419.0
220;Total current health expenditure;HF2: Voluntary schemes;2018;5509.0
221;Total current health expenditure;HF2: Voluntary schemes;2019;5586.0
222;Total current health expenditure;HF2: Voluntary schemes;2020;5144.0
223;Total current health expenditure;HF2: Voluntary schemes;2021;5526.0
224;Total current health expenditure;HF2: Voluntary schemes;2022;5564.0
225;Total current health expenditure;HF21: Voluntary health insurance schemes;1998;5353.0
226;Total current health expenditure;HF21: Voluntary health insurance schemes;1999;5906.0
227;Total current health expenditure;HF21: Voluntary health insurance schemes;2000;6163.0
228;Total current health expenditure;HF21: Voluntary health insurance schemes;2001;6901.0
229;Total current health expenditure;HF21: Voluntary health insurance schemes;2002;7913.0
230;Total current health expenditure;HF21: Voluntary health insurance schemes;2003;8541.0
231;Total current health expenditure;HF21: Voluntary health insurance schemes;2004;9490.0
232;Total current health expenditure;HF21: Voluntary health insurance schemes;2005;9990.0
233;Total current health expenditure;HF21: Voluntary health insurance schemes;2006;3407.0
234;Total current health expenditure;HF21: Voluntary health insurance schemes;2007;3656.0
235;Total current health expenditure;HF21: Voluntary health insurance schemes;2008;3668.0
236;Total current health expenditure;HF21: Voluntary health insurance schemes;2009;3943.0
237;Total current health expenditure;HF21: Voluntary health insurance schemes;2010;3986.0
238;Total current health expenditure;HF21: Voluntary health insurance schemes;2011;4337.0
239;Total current health expenditure;HF21: Voluntary health insurance schemes;2012;4452.0
240;Total current health expenditure;HF21: Voluntary health insurance schemes;2013;4251.0
241;Total current health expenditure;HF21: Voluntary health insurance schemes;2014;4303.0
242;Total current health expenditure;HF21: Voluntary health insurance schemes;2015;4225.0
243;Total current health expenditure;HF21: Voluntary health insurance schemes;2016;4464.0
244;Total current health expenditure;HF21: Voluntary health insurance schemes;2017;4356.0
245;Total current health expenditure;HF21: Voluntary health insurance schemes;2018;4360.0
246;Total current health expenditure;HF21: Voluntary health insurance schemes;2019;4357.0
247;Total current health expenditure;HF21: Voluntary health insurance schemes;2020;3848.0
248;Total current health expenditure;HF21: Voluntary health insurance schemes;2021;4120.0
249;Total current health expenditure;HF21: Voluntary health insurance schemes;2022;4130.0
250;Total current health expenditure;HF22: Financing schemes NPISH;1998;0.0
251;Total current health expenditure;HF22: Financing schemes NPISH;1999;0.0
252;Total current health expenditure;HF22: Financing schemes NPISH;2000;0.0
253;Total current health expenditure;HF22: Financing schemes NPISH;2001;0.0
254;Total current health expenditure;HF22: Financing schemes NPISH;2002;0.0
255;Total current health expenditure;HF22: Financing schemes NPISH;2003;0.0
256;Total current health expenditure;HF22: Financing schemes NPISH;2004;0.0
257;Total current health expenditure;HF22: Financing schemes NPISH;2005;0.0
258;Total current health expenditure;HF22: Financing schemes NPISH;2006;0.0
259;Total current health expenditure;HF22: Financing schemes NPISH;2007;0.0
260;Total current health expenditure;HF22: Financing schemes NPISH;2008;0.0
261;Total current health expenditure;HF22: Financing schemes NPISH;2009;0.0
262;Total current health expenditure;HF22: Financing schemes NPISH;2010;0.0
263;Total current health expenditure;HF22: Financing schemes NPISH;2011;0.0
264;Total current health expenditure;HF22: Financing schemes NPISH;2012;0.0
265;Total current health expenditure;HF22: Financing schemes NPISH;2013;0.0
266;Total current health expenditure;HF22: Financing schemes NPISH;2014;0.0
267;Total current health expenditure;HF22: Financing schemes NPISH;2015;0.0
268;Total current health expenditure;HF22: Financing schemes NPISH;2016;0.0
269;Total current health expenditure;HF22: Financing schemes NPISH;2017;0.0
270;Total current health expenditure;HF22: Financing schemes NPISH;2018;0.0
271;Total current health expenditure;HF22: Financing schemes NPISH;2019;0.0
272;Total current health expenditure;HF22: Financing schemes NPISH;2020;0.0
273;Total current health expenditure;HF22: Financing schemes NPISH;2021;0.0
274;Total current health expenditure;HF22: Financing schemes NPISH;2022;0.0
275;Total current health expenditure;HF23: Enterprise financing schemes;1998;665.0
276;Total current health expenditure;HF23: Enterprise financing schemes;1999;770.0
277;Total current health expenditure;HF23: Enterprise financing schemes;2000;779.0
278;Total current health expenditure;HF23: Enterprise financing schemes;2001;829.0
279;Total current health expenditure;HF23: Enterprise financing schemes;2002;845.0
280;Total current health expenditure;HF23: Enterprise financing schemes;2003;855.0
281;Total current health expenditure;HF23: Enterprise financing schemes;2004;850.0
282;Total current health expenditure;HF23: Enterprise financing schemes;2005;881.0
283;Total current health expenditure;HF23: Enterprise financing schemes;2006;799.0
284;Total current health expenditure;HF23: Enterprise financing schemes;2007;849.0
285;Total current health expenditure;HF23: Enterprise financing schemes;2008;775.0
286;Total current health expenditure;HF23: Enterprise financing schemes;2009;897.0
287;Total current health expenditure;HF23: Enterprise financing schemes;2010;901.0
288;Total current health expenditure;HF23: Enterprise financing schemes;2011;890.0
289;Total current health expenditure;HF23: Enterprise financing schemes;2012;914.0
290;Total current health expenditure;HF23: Enterprise financing schemes;2013;865.0
291;Total current health expenditure;HF23: Enterprise financing schemes;2014;901.0
292;Total current health expenditure;HF23: Enterprise financing schemes;2015;999.0
293;Total current health expenditure;HF23: Enterprise financing schemes;2016;1031.0
294;Total current health expenditure;HF23: Enterprise financing schemes;2017;1063.0
295;Total current health expenditure;HF23: Enterprise financing schemes;2018;1149.0
296;Total current health expenditure;HF23: Enterprise financing schemes;2019;1229.0
297;Total current health expenditure;HF23: Enterprise financing schemes;2020;1296.0
298;Total current health expenditure;HF23: Enterprise financing schemes;2021;1406.0
299;Total current health expenditure;HF23: Enterprise financing schemes;2022;1435.0
300;Total current health expenditure;HF3: Household out-of-pocket payments;1998;3434.0
301;Total current health expenditure;HF3: Household out-of-pocket payments;1999;3645.0
302;Total current health expenditure;HF3: Household out-of-pocket payments;2000;3843.0
303;Total current health expenditure;HF3: Household out-of-pocket payments;2001;4065.0
304;Total current health expenditure;HF3: Household out-of-pocket payments;2002;4253.0
305;Total current health expenditure;HF3: Household out-of-pocket payments;2003;4461.0
306;Total current health expenditure;HF3: Household out-of-pocket payments;2004;4803.0
307;Total current health expenditure;HF3: Household out-of-pocket payments;2005;4954.0
308;Total current health expenditure;HF3: Household out-of-pocket payments;2006;4420.0
309;Total current health expenditure;HF3: Household out-of-pocket payments;2007;4422.0
310;Total current health expenditure;HF3: Household out-of-pocket payments;2008;5958.0
311;Total current health expenditure;HF3: Household out-of-pocket payments;2009;5663.0
312;Total current health expenditure;HF3: Household out-of-pocket payments;2010;5904.0
313;Total current health expenditure;HF3: Household out-of-pocket payments;2011;6311.0
314;Total current health expenditure;HF3: Household out-of-pocket payments;2012;6944.0
315;Total current health expenditure;HF3: Household out-of-pocket payments;2013;8063.0
316;Total current health expenditure;HF3: Household out-of-pocket payments;2014;8223.0
317;Total current health expenditure;HF3: Household out-of-pocket payments;2015;8040.0
318;Total current health expenditure;HF3: Household out-of-pocket payments;2016;8222.0
319;Total current health expenditure;HF3: Household out-of-pocket payments;2017;8244.0
320;Total current health expenditure;HF3: Household out-of-pocket payments;2018;8369.0
321;Total current health expenditure;HF3: Household out-of-pocket payments;2019;8594.0
322;Total current health expenditure;HF3: Household out-of-pocket payments;2020;8297.0
323;Total current health expenditure;HF3: Household out-of-pocket payments;2021;9075.0
324;Total current health expenditure;HF3: Household out-of-pocket payments;2022;9704.0
325;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;1998;2150.0
326;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;1999;2307.0
327;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2000;2491.0
328;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2001;2686.0
329;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2002;2829.0
330;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2003;3038.0
331;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2004;3270.0
332;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2005;3383.0
333;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2006;2828.0
334;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2007;2981.0
335;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2008;3164.0
336;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2009;2729.0
337;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2010;2924.0
338;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2011;3169.0
339;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2012;3381.0
340;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2013;3402.0
341;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2014;3420.0
342;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2015;3574.0
343;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2016;3619.0
344;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2017;3624.0
345;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2018;3764.0
346;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2019;3894.0
347;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2020;3683.0
348;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2021;4269.0
349;Total current health expenditure;HF31: Out-of-pocket excl cost sharing;2022;4691.0
350;Total current health expenditure;HF32: Cost sharing;1998;1284.0
351;Total current health expenditure;HF32: Cost sharing;1999;1338.0
352;Total current health expenditure;HF32: Cost sharing;2000;1352.0
353;Total current health expenditure;HF32: Cost sharing;2001;1379.0
354;Total current health expenditure;HF32: Cost sharing;2002;1425.0
355;Total current health expenditure;HF32: Cost sharing;2003;1423.0
356;Total current health expenditure;HF32: Cost sharing;2004;1533.0
357;Total current health expenditure;HF32: Cost sharing;2005;1571.0
358;Total current health expenditure;HF32: Cost sharing;2006;1592.0
359;Total current health expenditure;HF32: Cost sharing;2007;1441.0
360;Total current health expenditure;HF32: Cost sharing;2008;2794.0
361;Total current health expenditure;HF32: Cost sharing;2009;2934.0
362;Total current health expenditure;HF32: Cost sharing;2010;2980.0
363;Total current health expenditure;HF32: Cost sharing;2011;3142.0
364;Total current health expenditure;HF32: Cost sharing;2012;3563.0
365;Total current health expenditure;HF32: Cost sharing;2013;4660.0
366;Total current health expenditure;HF32: Cost sharing;2014;4803.0
367;Total current health expenditure;HF32: Cost sharing;2015;4467.0
368;Total current health expenditure;HF32: Cost sharing;2016;4604.0
369;Total current health expenditure;HF32: Cost sharing;2017;4620.0
370;Total current health expenditure;HF32: Cost sharing;2018;4605.0
371;Total current health expenditure;HF32: Cost sharing;2019;4700.0
372;Total current health expenditure;HF32: Cost sharing;2020;4614.0
373;Total current health expenditure;HF32: Cost sharing;2021;4806.0
374;Total current health expenditure;HF32: Cost sharing;2022;5013.0
375;HC1: Services of curative care;Total financing of residents;1998;12765.0
376;HC1: Services of curative care;Total financing of residents;1999;13444.0
377;HC1: Services of curative care;Total financing of residents;2000;14263.0
378;HC1: Services of curative care;Total financing of residents;2001;16040.0
379;HC1: Services of curative care;Total financing of residents;2002;18089.0
380;HC1: Services of curative care;Total financing of residents;2003;19487.0
381;HC1: Services of curative care;Total financing of residents;2004;20775.0
382;HC1: Services of curative care;Total financing of residents;2005;21546.0
383;HC1: Services of curative care;Total financing of residents;2006;22756.0
384;HC1: Services of curative care;Total financing of residents;2007;24259.0
385;HC1: Services of curative care;Total financing of residents;2008;26649.0
386;HC1: Services of curative care;Total financing of residents;2009;28156.0
387;HC1: Services of curative care;Total financing of residents;2010;29528.0
388;HC1: Services of curative care;Total financing of residents;2011;29755.0
389;HC1: Services of curative care;Total financing of residents;2012;30544.0
390;HC1: Services of curative care;Total financing of residents;2013;31482.0
391;HC1: Services of curative care;Total financing of residents;2014;31992.0
392;HC1: Services of curative care;Total financing of residents;2015;33320.0
393;HC1: Services of curative care;Total financing of residents;2016;34616.0
394;HC1: Services of curative care;Total financing of residents;2017;35336.0
395;HC1: Services of curative care;Total financing of residents;2018;36718.0
396;HC1: Services of curative care;Total financing of residents;2019;38695.0
397;HC1: Services of curative care;Total financing of residents;2020;40241.0
398;HC1: Services of curative care;Total financing of residents;2021;41844.0
399;HC1: Services of curative care;Total financing of residents;2022;43410.0
400;HC1: Services of curative care;HF1: Government, comp. contr. schemes;1998;8787.0
401;HC1: Services of curative care;HF1: Government, comp. contr. schemes;1999;9073.0
402;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2000;9676.0
403;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2001;10895.0
404;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2002;12144.0
405;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2003;13015.0
406;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2004;13684.0
407;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2005;14141.0
408;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2006;20053.0
409;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2007;21312.0
410;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2008;22919.0
411;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2009;24295.0
412;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2010;25527.0
413;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2011;25525.0
414;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2012;25926.0
415;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2013;26419.0
416;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2014;26797.0
417;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2015;28026.0
418;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2016;28980.0
419;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2017;29693.0
420;HC1: Services of curative care;HF1: Government, comp. contr. schemes;2018;30987.0
