ID;Aanbieders;Perioden;ZorguitgavenInclusiefWelzijn_1;UitgavenVoorGezondheidszorgIntDef_2;UitgavenOgvVerplichteVerzekeringen_3
51;GLZ: Ziekenhuizen, specialistenpraktijk.;2011;23018;20895;19756
52;GLZ: Ziekenhuizen, specialistenpraktijk.;2012;24344;21939;20512
53;GLZ: Ziekenhuizen, specialistenpraktijk.;2013;25404;23046;22200
54;GLZ: Ziekenhuizen, specialistenpraktijk.;2014;25546;23081;21857
55;GLZ: Ziekenhuizen, specialistenpraktijk.;2015;26427;23905;22061
56;GLZ: Ziekenhuizen, specialistenpraktijk.;2016;27152;24675;22807
57;GLZ: Geestelijke gezondheidszorg;1998;2435;2224;2081
58;GLZ: Geestelijke gezondheidszorg;1999;2635;2407;2233
59;GLZ: Geestelijke gezondheidszorg;2000;2769;2520;2346
60;GLZ: Geestelijke gezondheidszorg;2001;3068;2764;2491
61;GLZ: Geestelijke gezondheidszorg;2002;3444;3067;2788
62;GLZ: Geestelijke gezondheidszorg;2003;3862;3389;3192
63;GLZ: Geestelijke gezondheidszorg;2004;4134;3608;3429
64;GLZ: Geestelijke gezondheidszorg;2005;4465;3878;3653
65;GLZ: Geestelijke gezondheidszorg;2006;4701;4066;3714
66;GLZ: Geestelijke gezondheidszorg;2007;5118;4370;4046
67;GLZ: Geestelijke gezondheidszorg;2008;5480;4520;4259
68;GLZ: Geestelijke gezondheidszorg;2009;5928;4816;4692
69;GLZ: Geestelijke gezondheidszorg;2010;6063;4833;4770
70;GLZ: Geestelijke gezondheidszorg;2011;6330;5033;4988
71;GLZ: Geestelijke gezondheidszorg;2012;6551;5222;5196
72;GLZ: Geestelijke gezondheidszorg;2013;6623;5303;5146
73;GLZ: Geestelijke gezondheidszorg;2014;6665;5351;5208
74;GLZ: Geestelijke gezondheidszorg;2015;6593;5184;3098
75;GLZ: Geestelijke gezondheidszorg;2016;6617;5295;3092
76;GLZ: Huisartsenpraktijken;1998;1318;1314;885
77;GLZ: Huisartsenpraktijken;1999;1383;1379;921
78;GLZ: Huisartsenpraktijken;2000;1504;1499;1026
79;GLZ: Huisartsenpraktijken;2001;1627;1621;1088
80;GLZ: Huisartsenpraktijken;2002;1864;1858;1244
81;GLZ: Huisartsenpraktijken;2003;2045;2038;1330
82;GLZ: Huisartsenpraktijken;2004;2022;2015;1311
83;GLZ: Huisartsenpraktijken;2005;2020;2012;1293
84;GLZ: Huisartsenpraktijken;2006;2273;2265;2198
85;GLZ: Huisartsenpraktijken;2007;2418;2410;2340
86;GLZ: Huisartsenpraktijken;2008;2434;2425;2326
87;GLZ: Huisartsenpraktijken;2009;2460;2452;2345
88;GLZ: Huisartsenpraktijken;2010;2482;2472;2360
89;GLZ: Huisartsenpraktijken;2011;2687;2676;2559
90;GLZ: Huisartsenpraktijken;2012;2612;2602;2485
91;GLZ: Huisartsenpraktijken;2013;2638;2627;2501
92;GLZ: Huisartsenpraktijken;2014;2804;2792;2665
93;GLZ: Huisartsenpraktijken;2015;2819;2806;2686
94;GLZ: Huisartsenpraktijken;2016;2945;2932;2813
95;GLZ: Tandartsenpraktijken;1998;1191;1187;331
96;GLZ: Tandartsenpraktijken;1999;1256;1252;342
97;GLZ: Tandartsenpraktijken;2000;1364;1359;368
98;GLZ: Tandartsenpraktijken;2001;1519;1513;393
99;GLZ: Tandartsenpraktijken;2002;1746;1740;456
100;GLZ: Tandartsenpraktijken;2003;1914;1908;477
101;GLZ: Tandartsenpraktijken;2004;1971;1965;347
102;GLZ: Tandartsenpraktijken;2005;1942;1935;346
103;GLZ: Tandartsenpraktijken;2006;2025;2018;524
104;GLZ: Tandartsenpraktijken;2007;2207;2200;568
105;GLZ: Tandartsenpraktijken;2008;2376;2368;633
106;GLZ: Tandartsenpraktijken;2009;2511;2504;694
107;GLZ: Tandartsenpraktijken;2010;2613;2603;731
108;GLZ: Tandartsenpraktijken;2011;2682;2672;682
109;GLZ: Tandartsenpraktijken;2012;2791;2780;703
110;GLZ: Tandartsenpraktijken;2013;2673;2662;671
111;GLZ: Tandartsenpraktijken;2014;2741;2730;706
112;GLZ: Tandartsenpraktijken;2015;2736;2724;712
113;GLZ: Tandartsenpraktijken;2016;2877;2865;737
114;GLZ: Paramedische praktijken;1998;965;965;574
115;GLZ: Paramedische praktijken;1999;1062;1062;594
116;GLZ: Paramedische praktijken;2000;1138;1138;695
117;GLZ: Paramedische praktijken;2001;1255;1255;768
118;GLZ: Paramedische praktijken;2002;1349;1349;809
119;GLZ: Paramedische praktijken;2003;1480;1480;871
120;GLZ: Paramedische praktijken;2004;1476;1476;549
121;GLZ: Paramedische praktijken;2005;1526;1526;547
122;GLZ: Paramedische praktijken;2006;1706;1706;828
123;GLZ: Paramedische praktijken;2007;1832;1832;900
124;GLZ: Paramedische praktijken;2008;1971;1971;976
125;GLZ: Paramedische praktijken;2009;2105;2105;1075
126;GLZ: Paramedische praktijken;2010;2183;2183;1160
127;GLZ: Paramedische praktijken;2011;2303;2303;1178
128;GLZ: Paramedische praktijken;2012;2316;2316;1121
129;GLZ: Paramedische praktijken;2013;2256;2256;1061
130;GLZ: Paramedische praktijken;2014;2331;2331;1111
131;GLZ: Paramedische praktijken;2015;2363;2363;1134
132;GLZ: Paramedische praktijken;2016;2531;2531;1184
133;GLZ: Ouderenzorg;1998;7527;5594;6269
134;GLZ: Ouderenzorg;1999;7914;5933;6598
135;GLZ: Ouderenzorg;2000;8506;6322;7142
136;GLZ: Ouderenzorg;2001;9649;7154;8224
137;GLZ: Ouderenzorg;2002;11031;8181;9448
138;GLZ: Ouderenzorg;2003;11942;8661;10316
139;GLZ: Ouderenzorg;2004;12089;8839;10332
140;GLZ: Ouderenzorg;2005;12455;9061;10610
141;GLZ: Ouderenzorg;2006;13187;9716;11407
142;GLZ: Ouderenzorg;2007;13623;10932;10757
143;GLZ: Ouderenzorg;2008;14348;11623;11463
144;GLZ: Ouderenzorg;2009;14771;11800;11925
145;GLZ: Ouderenzorg;2010;15246;12201;12338
146;GLZ: Ouderenzorg;2011;15854;12648;12870
147;GLZ: Ouderenzorg;2012;17239;13954;14214
148;GLZ: Ouderenzorg;2013;17200;13948;14043
149;GLZ: Ouderenzorg;2014;17617;13874;14294
150;GLZ: Ouderenzorg;2015;16939;12914;13174
151;GLZ: Ouderenzorg;2016;17242;13157;13438
152;GLZ: Gehandicaptenzorg;1998;3429;1616;2550
153;GLZ: Gehandicaptenzorg;1999;3685;1742;2773
154;GLZ: Gehandicaptenzorg;2000;3912;1858;3025
155;GLZ: Gehandicaptenzorg;2001;4314;2029;3300
156;GLZ: Gehandicaptenzorg;2002;5062;2361;3926
157;GLZ: Gehandicaptenzorg;2003;5575;2589;4369
158;GLZ: Gehandicaptenzorg;2004;5867;2712;4677
159;GLZ: Gehandicaptenzorg;2005;6120;2861;4886
160;GLZ: Gehandicaptenzorg;2006;6398;2929;5074
161;GLZ: Gehandicaptenzorg;2007;6792;3154;5509
162;GLZ: Gehandicaptenzorg;2008;7368;3389;6077
163;GLZ: Gehandicaptenzorg;2009;8066;3720;6683
164;GLZ: Gehandicaptenzorg;2010;8398;3864;6973
165;GLZ: Gehandicaptenzorg;2011;8624;4022;7200
166;GLZ: Gehandicaptenzorg;2012;9532;4539;8177
167;GLZ: Gehandicaptenzorg;2013;9555;4629;8240
168;GLZ: Gehandicaptenzorg;2014;9787;4880;8495
169;GLZ: Gehandicaptenzorg;2015;9355;4927;6888
170;GLZ: Gehandicaptenzorg;2016;9753;5019;7158
171;GLZO: Totaal overige aanbieders;1998;7558;7399;2974
172;GLZO: Totaal overige aanbieders;1999;8247;8005;3184
173;GLZO: Totaal overige aanbieders;2000;8827;8451;3371
174;GLZO: Totaal overige aanbieders;2001;9819;9311;3751
175;GLZO: Totaal overige aanbieders;2002;10877;10069;4043
176;GLZO: Totaal overige aanbieders;2003;11581;10654;4418
177;GLZO: Totaal overige aanbieders;2004;11813;10915;4461
178;GLZO: Totaal overige aanbieders;2005;12200;11364;4646
179;GLZO: Totaal overige aanbieders;2006;12360;11609;6725
180;GLZO: Totaal overige aanbieders;2007;13253;12453;7258
181;GLZO: Totaal overige aanbieders;2008;13927;12996;6965
182;GLZO: Totaal overige aanbieders;2009;14021;13129;7203
183;GLZO: Totaal overige aanbieders;2010;14666;13651;7504
184;GLZO: Totaal overige aanbieders;2011;14992;14048;7658
185;GLZO: Totaal overige aanbieders;2012;14490;13593;7056
186;GLZO: Totaal overige aanbieders;2013;14057;13183;6578
187;GLZO: Totaal overige aanbieders;2014;14270;13354;6717
188;GLZO: Totaal overige aanbieders;2015;14589;13678;6851
189;GLZO: Totaal overige aanbieders;2016;14669;13717;6879
190;GLZO: GGD-en;1998;354;354;72
191;GLZO: GGD-en;1999;370;370;72
192;GLZO: GGD-en;2000;399;399;76
193;GLZO: GGD-en;2001;463;463;90
194;GLZO: GGD-en;2002;525;525;88
195;GLZO: GGD-en;2003;572;572;96
196;GLZO: GGD-en;2004;581;581;92
197;GLZO: GGD-en;2005;589;589;92
198;GLZO: GGD-en;2006;612;612;99
199;GLZO: GGD-en;2007;642;642;100
200;GLZO: GGD-en;2008;617;617;89
201;GLZO: GGD-en;2009;642;642;88
202;GLZO: GGD-en;2010;694;694;98
203;GLZO: GGD-en;2011;710;710;95
204;GLZO: GGD-en;2012;727;727;82
205;GLZO: GGD-en;2013;737;737;85
206;GLZO: GGD-en;2014;767;767;88
207;GLZO: GGD-en;2015;766;766;86
208;GLZO: GGD-en;2016;769;769;90
209;GLZO: Arbo en re-integratie;1998;742;742;0
210;GLZO: Arbo en re-integratie;1999;837;854;0
211;GLZO: Arbo en re-integratie;2000;953;866;0
212;GLZO: Arbo en re-integratie;2001;1037;876;0
213;GLZO: Arbo en re-integratie;2002;1230;848;0
214;GLZO: Arbo en re-integratie;2003;1361;861;0
215;GLZO: Arbo en re-integratie;2004;1315;861;0
216;GLZO: Arbo en re-integratie;2005;1245;861;0
217;GLZO: Arbo en re-integratie;2006;1094;746;0
218;GLZO: Arbo en re-integratie;2007;1177;802;0
219;GLZO: Arbo en re-integratie;2008;1224;709;0
220;GLZO: Arbo en re-integratie;2009;1260;792;0
221;GLZO: Arbo en re-integratie;2010;1279;802;0
222;GLZO: Arbo en re-integratie;2011;1190;744;0
223;GLZO: Arbo en re-integratie;2012;1096;686;0
224;GLZO: Arbo en re-integratie;2013;1021;639;0
225;GLZO: Arbo en re-integratie;2014;996;624;0
226;GLZO: Arbo en re-integratie;2015;950;595;0
227;GLZO: Arbo en re-integratie;2016;993;622;0
228;GLZO: Geneesmiddelen;1998;3365;3345;1913
229;GLZO: Geneesmiddelen;1999;3670;3660;2084
230;GLZO: Geneesmiddelen;2000;3911;3896;2225
231;GLZO: Geneesmiddelen;2001;4323;4308;2482
232;GLZO: Geneesmiddelen;2002;4665;4649;2666
233;GLZO: Geneesmiddelen;2003;5002;4984;2883
234;GLZO: Geneesmiddelen;2004;4995;4976;2841
235;GLZO: Geneesmiddelen;2005;5233;5212;2987
236;GLZO: Geneesmiddelen;2006;5358;5337;4381
237;GLZO: Geneesmiddelen;2007;5799;5778;4765
238;GLZO: Geneesmiddelen;2008;5859;5838;4344
239;GLZO: Geneesmiddelen;2009;5926;5907;4353
240;GLZO: Geneesmiddelen;2010;6063;6038;4433
241;GLZO: Geneesmiddelen;2011;6054;6030;4409
242;GLZO: Geneesmiddelen;2012;5457;5433;3758
243;GLZO: Geneesmiddelen;2013;5190;5165;3345
244;GLZO: Geneesmiddelen;2014;5193;5167;3353
245;GLZO: Geneesmiddelen;2015;5369;5342;3463
246;GLZO: Geneesmiddelen;2016;5499;5472;3556
247;GLZO: Therapeutische middelen;1998;1638;1638;544
248;GLZO: Therapeutische middelen;1999;1732;1648;556
249;GLZO: Therapeutische middelen;2000;1832;1743;572
250;GLZO: Therapeutische middelen;2001;1993;1893;615
251;GLZO: Therapeutische middelen;2002;2102;1992;668
252;GLZO: Therapeutische middelen;2003;2272;2149;739
253;GLZO: Therapeutische middelen;2004;2412;2291;807
254;GLZO: Therapeutische middelen;2005;2452;2334;797
255;GLZO: Therapeutische middelen;2006;2535;2411;1085
256;GLZO: Therapeutische middelen;2007;2630;2500;1152
257;GLZO: Therapeutische middelen;2008;2923;2786;1135
258;GLZO: Therapeutische middelen;2009;2664;2520;1204
259;GLZO: Therapeutische middelen;2010;2821;2671;1235
260;GLZO: Therapeutische middelen;2011;3066;2908;1270
261;GLZO: Therapeutische middelen;2012;3218;3052;1300
262;GLZO: Therapeutische middelen;2013;3098;2932;1214
263;GLZO: Therapeutische middelen;2014;3149;2979;1241
264;GLZO: Therapeutische middelen;2015;3179;3009;1244
265;GLZO: Therapeutische middelen;2016;3063;2893;1158
266;GLZO: Ondersteunende diensten;1998;396;260;88
267;GLZO: Ondersteunende diensten;1999;504;341;94
268;GLZO: Ondersteunende diensten;2000;521;338;98
269;GLZO: Ondersteunende diensten;2001;678;448;125
270;GLZO: Ondersteunende diensten;2002;902;605;130
271;GLZO: Ondersteunende diensten;2003;781;496;144
272;GLZO: Ondersteunende diensten;2004;852;550;167
273;GLZO: Ondersteunende diensten;2005;936;627;195
274;GLZO: Ondersteunende diensten;2006;904;650;315
275;GLZO: Ondersteunende diensten;2007;1042;772;367
276;GLZO: Ondersteunende diensten;2008;1239;985;483
277;GLZO: Ondersteunende diensten;2009;1383;1124;592
278;GLZO: Ondersteunende diensten;2010;1602;1242;718
279;GLZO: Ondersteunende diensten;2011;1702;1387;808
280;GLZO: Ondersteunende diensten;2012;1715;1419;855
281;GLZO: Ondersteunende diensten;2013;1753;1455;891
282;GLZO: Ondersteunende diensten;2014;1896;1552;986
283;GLZO: Ondersteunende diensten;2015;2025;1670;1012
284;GLZO: Ondersteunende diensten;2016;2053;1673;1024
285;GLZO: Overige geneesk., langdurige zorg;1998;1063;1060;357
286;GLZO: Overige geneesk., langdurige zorg;1999;1134;1132;379
287;GLZO: Overige geneesk., langdurige zorg;2000;1212;1210;400
288;GLZO: Overige geneesk., langdurige zorg;2001;1326;1324;440
289;GLZO: Overige geneesk., langdurige zorg;2002;1453;1451;491
290;GLZO: Overige geneesk., langdurige zorg;2003;1594;1592;557
291;GLZO: Overige geneesk., langdurige zorg;2004;1659;1656;554
292;GLZO: Overige geneesk., langdurige zorg;2005;1745;1742;576
293;GLZO: Overige geneesk., langdurige zorg;2006;1858;1854;846
294;GLZO: Overige geneesk., langdurige zorg;2007;1962;1958;875
295;GLZO: Overige geneesk., langdurige zorg;2008;2065;2062;913
296;GLZO: Overige geneesk., langdurige zorg;2009;2146;2144;965
297;GLZO: Overige geneesk., langdurige zorg;2010;2207;2204;1020
298;GLZO: Overige geneesk., langdurige zorg;2011;2270;2268;1076
299;GLZO: Overige geneesk., langdurige zorg;2012;2277;2275;1062
300;GLZO: Overige geneesk., langdurige zorg;2013;2258;2255;1044
301;GLZO: Overige geneesk., langdurige zorg;2014;2269;2266;1049
302;GLZO: Overige geneesk., langdurige zorg;2015;2299;2295;1046
303;GLZO: Overige geneesk., langdurige zorg;2016;2292;2288;1051
304;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;1998;4228;64;0
305;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;1999;4858;72;0
306;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2000;5419;76;0
307;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2001;6069;85;5
308;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2002;6357;95;10
309;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2003;6724;105;20
310;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2004;6696;120;30
311;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2005;6900;134;50
312;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2006;7182;193;255
313;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2007;7707;221;288
314;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2008;8345;286;326
315;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2009;9420;334;367
316;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2010;9812;376;410
317;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2011;9901;385;426
318;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2012;9842;480;545
319;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2013;9402;493;500
320;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2014;9289;497;504
321;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2015;9355;495;205
322;WJK: Totaal Welzijn,jeugdzorg,kinderopv.;2016;9664;516;219
323;WJK: Kinderopvang;1998;1176;0;0
324;WJK: Kinderopvang;1999;1348;0;0
325;WJK: Kinderopvang;2000;1621;0;0
326;WJK: Kinderopvang;2001;1829;0;0
327;WJK: Kinderopvang;2002;2066;0;0
328;WJK: Kinderopvang;2003;2332;0;0
329;WJK: Kinderopvang;2004;2661;0;0
330;WJK: Kinderopvang;2005;2826;0;0
331;WJK: Kinderopvang;2006;3122;0;0
332;WJK: Kinderopvang;2007;3384;0;0
333;WJK: Kinderopvang;2008;3863;0;0
334;WJK: Kinderopvang;2009;4279;0;0
335;WJK: Kinderopvang;2010;4452;0;0
336;WJK: Kinderopvang;2011;4690;0;0
337;WJK: Kinderopvang;2012;4618;0;0
338;WJK: Kinderopvang;2013;4212;0;0
339;WJK: Kinderopvang;2014;4027;0;0
340;WJK: Kinderopvang;2015;3969;0;0
341;WJK: Kinderopvang;2016;4081;0;0
342;WJK: Jeugdzorg;1998;824;0;0
343;WJK: Jeugdzorg;1999;949;0;0
344;WJK: Jeugdzorg;2000;1063;0;0
345;WJK: Jeugdzorg;2001;1203;0;0
346;WJK: Jeugdzorg;2002;1159;0;0
347;WJK: Jeugdzorg;2003;1178;0;0
348;WJK: Jeugdzorg;2004;1170;0;0
349;WJK: Jeugdzorg;2005;1180;0;0
350;WJK: Jeugdzorg;2006;1244;20;24
351;WJK: Jeugdzorg;2007;1368;25;30
352;WJK: Jeugdzorg;2008;1432;35;45
353;WJK: Jeugdzorg;2009;1807;39;49
354;WJK: Jeugdzorg;2010;1922;44;55
355;WJK: Jeugdzorg;2011;1905;53;68
356;WJK: Jeugdzorg;2012;2009;90;124
357;WJK: Jeugdzorg;2013;2010;93;127
358;WJK: Jeugdzorg;2014;2009;87;121
359;WJK: Jeugdzorg;2015;1808;78;43
360;WJK: Jeugdzorg;2016;1685;73;40
361;WJK: Overige aanbieders;1998;2228;64;0
362;WJK: Overige aanbieders;1999;2561;72;0
363;WJK: Overige aanbieders;2000;2735;76;0
364;WJK: Overige aanbieders;2001;3038;85;5
365;WJK: Overige aanbieders;2002;3132;95;10
366;WJK: Overige aanbieders;2003;3214;105;20
367;WJK: Overige aanbieders;2004;2866;120;30
368;WJK: Overige aanbieders;2005;2894;134;50
369;WJK: Overige aanbieders;2006;2816;173;231
370;WJK: Overige aanbieders;2007;2955;196;258
371;WJK: Overige aanbieders;2008;3049;251;281
372;WJK: Overige aanbieders;2009;3334;295;318
373;WJK: Overige aanbieders;2010;3439;332;355
374;WJK: Overige aanbieders;2011;3306;332;358
375;WJK: Overige aanbieders;2012;3215;390;421
376;WJK: Overige aanbieders;2013;3180;400;373
377;WJK: Overige aanbieders;2014;3253;411;383
378;WJK: Overige aanbieders;2015;3577;417;162
379;WJK: Overige aanbieders;2016;3897;443;180
380;Beleids- en beheerorganisaties;1998;1762;1590;573
381;Beleids- en beheerorganisaties;1999;1873;1688;595
382;Beleids- en beheerorganisaties;2000;1963;1770;624
383;Beleids- en beheerorganisaties;2001;2128;1923;678
384;Beleids- en beheerorganisaties;2002;2275;2032;667
385;Beleids- en beheerorganisaties;2003;2348;2095;696
386;Beleids- en beheerorganisaties;2004;2424;2187;704
387;Beleids- en beheerorganisaties;2005;2799;2536;756
388;Beleids- en beheerorganisaties;2006;3044;2773;1531
389;Beleids- en beheerorganisaties;2007;3197;2914;1403
390;Beleids- en beheerorganisaties;2008;3102;2828;1290
391;Beleids- en beheerorganisaties;2009;3131;2825;1200
392;Beleids- en beheerorganisaties;2010;3129;2813;1211
393;Beleids- en beheerorganisaties;2011;3286;2957;1323
394;Beleids- en beheerorganisaties;2012;3226;2921;1341
395;Beleids- en beheerorganisaties;2013;3292;2985;1387
396;Beleids- en beheerorganisaties;2014;3403;3104;1471
397;Beleids- en beheerorganisaties;2015;3318;3019;1462
398;Beleids- en beheerorganisaties;2016;3261;2962;1402
