ID;Sex;Age;MaritalStatus;CounrtyOfBirth;Periods;Immigration_1;EmigrationIncludingAdministrativeC_2;NetMigrationIncludingAdministrativ_3;AdministrativeEntries_4;AdministrativeRemoval_5;NetAdministrativeCorrections_6
46;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2015;126126.0;111090.0;15036.0;23683.0;38877.0;-15194.0
47;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2016;135603.0;113288.0;22315.0;21297.0;37608.0;-16311.0
48;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2017;147854.0;116102.0;31752.0;21658.0;39647.0;-17989.0
49;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2018;158757.0;119415.0;39342.0;19578.0;35420.0;-15842.0
50;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2019;173331.0;122952.0;50379.0;17688.0;33535.0;-15847.0
51;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2020;151536.0;116774.0;34762.0;15365.0;29383.0;-14018.0
52;Total male and female;Total;Total marital status;Non-western countries of birth;1995;39676.0;20506.0;19170.0;3970.0;12478.0;-8508.0
53;Total male and female;Total;Total marital status;Non-western countries of birth;1996;50259.0;24033.0;26226.0;4885.0;16938.0;-12053.0
54;Total male and female;Total;Total marital status;Non-western countries of birth;1997;52124.0;20129.0;31995.0;5324.0;13640.0;-8316.0
55;Total male and female;Total;Total marital status;Non-western countries of birth;1998;58951.0;18910.0;40041.0;5697.0;13392.0;-7695.0
56;Total male and female;Total;Total marital status;Non-western countries of birth;1999;54037.0;18798.0;35239.0;5649.0;13716.0;-8067.0
57;Total male and female;Total;Total marital status;Non-western countries of birth;2000;62465.0;17250.0;45215.0;6547.0;13374.0;-6827.0
58;Total male and female;Total;Total marital status;Non-western countries of birth;2001;64894.0;19177.0;45717.0;6381.0;13661.0;-7280.0
59;Total male and female;Total;Total marital status;Non-western countries of birth;2002;59450.0;24715.0;34735.0;7087.0;19358.0;-12271.0
60;Total male and female;Total;Total marital status;Non-western countries of birth;2003;48836.0;29590.0;19246.0;8164.0;23068.0;-14904.0
61;Total male and female;Total;Total marital status;Non-western countries of birth;2004;37313.0;31949.0;5364.0;8792.0;23268.0;-14476.0
62;Total male and female;Total;Total marital status;Non-western countries of birth;2005;34112.0;35368.0;-1256.0;9050.0;25890.0;-16840.0
63;Total male and female;Total;Total marital status;Non-western countries of birth;2006;34492.0;37636.0;-3144.0;10619.0;27939.0;-17320.0
64;Total male and female;Total;Total marital status;Non-western countries of birth;2007;36822.0;31894.0;4928.0;12186.0;23586.0;-11400.0
65;Total male and female;Total;Total marital status;Non-western countries of birth;2008;48597.0;29050.0;19547.0;13326.0;22878.0;-9552.0
66;Total male and female;Total;Total marital status;Non-western countries of birth;2009;52711.0;28864.0;23847.0;12328.0;21151.0;-8823.0
67;Total male and female;Total;Total marital status;Non-western countries of birth;2010;52809.0;34045.0;18764.0;11606.0;23047.0;-11441.0
68;Total male and female;Total;Total marital status;Non-western countries of birth;2011;52211.0;35538.0;16673.0;10981.0;21093.0;-10112.0
69;Total male and female;Total;Total marital status;Non-western countries of birth;2012;47469.0;38509.0;8960.0;10686.0;22116.0;-11430.0
70;Total male and female;Total;Total marital status;Non-western countries of birth;2013;52046.0;38749.0;13297.0;10752.0;20636.0;-9884.0
71;Total male and female;Total;Total marital status;Non-western countries of birth;2014;60071.0;38056.0;22015.0;9638.0;17545.0;-7907.0
72;Total male and female;Total;Total marital status;Non-western countries of birth;2015;78489.0;38419.0;40070.0;8820.0;16251.0;-7431.0
73;Total male and female;Total;Total marital status;Non-western countries of birth;2016;95136.0;38257.0;56879.0;7718.0;15632.0;-7914.0
74;Total male and female;Total;Total marital status;Non-western countries of birth;2017;87103.0;38190.0;48913.0;7896.0;16747.0;-8851.0
75;Total male and female;Total;Total marital status;Non-western countries of birth;2018;84980.0;37951.0;47029.0;7183.0;13910.0;-6727.0
76;Total male and female;Total;Total marital status;Non-western countries of birth;2019;95733.0;38077.0;57656.0;6684.0;12710.0;-6026.0
77;Total male and female;Total;Total marital status;Non-western countries of birth;2020;69317.0;35720.0;33597.0;5902.0;11217.0;-5315.0
78;Total male and female;Total;Total marital status;Unknown country of birth;1995;172.0;-13.0;185.0;17.0;1.0;16.0
79;Total male and female;Total;Total marital status;Unknown country of birth;1996;0.0;0.0;0.0;0.0;0.0;0.0
80;Total male and female;Total;Total marital status;Unknown country of birth;1997;0.0;-15.0;15.0;15.0;0.0;15.0
81;Total male and female;Total;Total marital status;Unknown country of birth;1998;0.0;7.0;-7.0;8.0;15.0;-7.0
82;Total male and female;Total;Total marital status;Unknown country of birth;1999;1.0;2.0;-1.0;0.0;0.0;0.0
83;Total male and female;Total;Total marital status;Unknown country of birth;2000;0.0;0.0;0.0;0.0;0.0;0.0
84;Total male and female;Total;Total marital status;Unknown country of birth;2001;0.0;0.0;0.0;0.0;0.0;0.0
85;Total male and female;Total;Total marital status;Unknown country of birth;2002;0.0;0.0;0.0;0.0;0.0;0.0
86;Total male and female;Total;Total marital status;Unknown country of birth;2003;0.0;0.0;0.0;0.0;0.0;0.0
87;Total male and female;Total;Total marital status;Unknown country of birth;2004;0.0;0.0;0.0;0.0;0.0;0.0
88;Total male and female;Total;Total marital status;Unknown country of birth;2005;0.0;0.0;0.0;0.0;0.0;0.0
89;Total male and female;Total;Total marital status;Unknown country of birth;2006;0.0;0.0;0.0;0.0;0.0;0.0
90;Total male and female;Total;Total marital status;Unknown country of birth;2007;0.0;0.0;0.0;0.0;0.0;0.0
91;Total male and female;Total;Total marital status;Unknown country of birth;2008;0.0;0.0;0.0;0.0;0.0;0.0
92;Total male and female;Total;Total marital status;Unknown country of birth;2009;0.0;0.0;0.0;0.0;0.0;0.0
93;Total male and female;Total;Total marital status;Unknown country of birth;2010;0.0;0.0;0.0;0.0;0.0;0.0
94;Total male and female;Total;Total marital status;Unknown country of birth;2011;0.0;0.0;0.0;0.0;0.0;0.0
95;Total male and female;Total;Total marital status;Unknown country of birth;2012;0.0;0.0;0.0;0.0;0.0;0.0
96;Total male and female;Total;Total marital status;Unknown country of birth;2013;0.0;0.0;0.0;0.0;0.0;0.0
97;Total male and female;Total;Total marital status;Unknown country of birth;2014;0.0;0.0;0.0;0.0;0.0;0.0
98;Total male and female;Total;Total marital status;Unknown country of birth;2015;0.0;0.0;0.0;0.0;0.0;0.0
99;Total male and female;Total;Total marital status;Unknown country of birth;2016;0.0;0.0;0.0;0.0;0.0;0.0
100;Total male and female;Total;Total marital status;Unknown country of birth;2017;0.0;0.0;0.0;0.0;0.0;0.0
101;Total male and female;Total;Total marital status;Unknown country of birth;2018;0.0;0.0;0.0;0.0;0.0;0.0
102;Total male and female;Total;Total marital status;Unknown country of birth;2019;0.0;0.0;0.0;0.0;0.0;0.0
103;Total male and female;Total;Total marital status;Unknown country of birth;2020;0.0;0.0;0.0;0.0;0.0;0.0
104;Total male and female;Total;Total marital status;Africa;1995;12693.0;5891.0;6802.0;1333.0;4300.0;-2967.0
105;Total male and female;Total;Total marital status;Africa;1996;15228.0;7380.0;7848.0;1727.0;6160.0;-4433.0
106;Total male and female;Total;Total marital status;Africa;1997;14527.0;6089.0;8438.0;1820.0;4881.0;-3061.0
107;Total male and female;Total;Total marital status;Africa;1998;16044.0;5834.0;10210.0;1930.0;4950.0;-3020.0
108;Total male and female;Total;Total marital status;Africa;1999;14920.0;5997.0;8923.0;1862.0;4849.0;-2987.0
109;Total male and female;Total;Total marital status;Africa;2000;17823.0;5935.0;11888.0;2195.0;5043.0;-2848.0
110;Total male and female;Total;Total marital status;Africa;2001;20853.0;6922.0;13931.0;2188.0;5168.0;-2980.0
111;Total male and female;Total;Total marital status;Africa;2002;21410.0;8463.0;12947.0;2533.0;7496.0;-4963.0
112;Total male and female;Total;Total marital status;Africa;2003;14939.0;10801.0;4138.0;2785.0;9522.0;-6737.0
113;Total male and female;Total;Total marital status;Africa;2004;10759.0;11790.0;-1031.0;2944.0;9827.0;-6883.0
114;Total male and female;Total;Total marital status;Africa;2005;9299.0;12335.0;-3036.0;2985.0;10427.0;-7442.0
115;Total male and female;Total;Total marital status;Africa;2006;8702.0;12293.0;-3591.0;3456.0;10232.0;-6776.0
116;Total male and female;Total;Total marital status;Africa;2007;9088.0;9750.0;-662.0;3853.0;8214.0;-4361.0
117;Total male and female;Total;Total marital status;Africa;2008;12066.0;7993.0;4073.0;4561.0;7690.0;-3129.0
118;Total male and female;Total;Total marital status;Africa;2009;15796.0;7359.0;8437.0;4078.0;6895.0;-2817.0
119;Total male and female;Total;Total marital status;Africa;2010;14362.0;8818.0;5544.0;3760.0;7680.0;-3920.0
120;Total male and female;Total;Total marital status;Africa;2011;12802.0;8628.0;4174.0;3531.0;6717.0;-3186.0
121;Total male and female;Total;Total marital status;Africa;2012;10038.0;9086.0;952.0;3500.0;7091.0;-3591.0
122;Total male and female;Total;Total marital status;Africa;2013;12613.0;8659.0;3954.0;3435.0;6549.0;-3114.0
123;Total male and female;Total;Total marital status;Africa;2014;14048.0;8223.0;5825.0;2939.0;5451.0;-2512.0
124;Total male and female;Total;Total marital status;Africa;2015;15911.0;8266.0;7645.0;2723.0;4912.0;-2189.0
125;Total male and female;Total;Total marital status;Africa;2016;16764.0;8393.0;8371.0;2427.0;4649.0;-2222.0
126;Total male and female;Total;Total marital status;Africa;2017;16123.0;7580.0;8543.0;2480.0;4662.0;-2182.0
127;Total male and female;Total;Total marital status;Africa;2018;18212.0;7063.0;11149.0;2331.0;3957.0;-1626.0
128;Total male and female;Total;Total marital status;Africa;2019;19977.0;6631.0;13346.0;2147.0;3638.0;-1491.0
129;Total male and female;Total;Total marital status;Africa;2020;14707.0;5841.0;8866.0;1799.0;3027.0;-1228.0
130;Total male and female;Total;Total marital status;America;1995;11386.0;10138.0;1248.0;1647.0;4615.0;-2968.0
131;Total male and female;Total;Total marital status;America;1996;14682.0;10594.0;4088.0;2065.0;5812.0;-3747.0
132;Total male and female;Total;Total marital status;America;1997;15736.0;9701.0;6035.0;2258.0;5200.0;-2942.0
133;Total male and female;Total;Total marital status;America;1998;20504.0;8948.0;11556.0;2595.0;5104.0;-2509.0
134;Total male and female;Total;Total marital status;America;1999;19946.0;9055.0;10891.0;2715.0;5522.0;-2807.0
135;Total male and female;Total;Total marital status;America;2000;22428.0;8333.0;14095.0;2928.0;5288.0;-2360.0
136;Total male and female;Total;Total marital status;America;2001;20331.0;8673.0;11658.0;2851.0;5198.0;-2347.0
137;Total male and female;Total;Total marital status;America;2002;18023.0;10702.0;7321.0;3103.0;6439.0;-3336.0
138;Total male and female;Total;Total marital status;America;2003;15537.0;11773.0;3764.0;3498.0;7299.0;-3801.0
139;Total male and female;Total;Total marital status;America;2004;12964.0;11904.0;1060.0;3915.0;7286.0;-3371.0
140;Total male and female;Total;Total marital status;America;2005;12174.0;12738.0;-564.0;3968.0;7967.0;-3999.0
141;Total male and female;Total;Total marital status;America;2006;12866.0;13533.0;-667.0;4564.0;9355.0;-4791.0
142;Total male and female;Total;Total marital status;America;2007;13584.0;12113.0;1471.0;5003.0;8672.0;-3669.0
143;Total male and female;Total;Total marital status;America;2008;16064.0;11320.0;4744.0;5109.0;8531.0;-3422.0
144;Total male and female;Total;Total marital status;America;2009;15797.0;10776.0;5021.0;5327.0;8003.0;-2676.0
145;Total male and female;Total;Total marital status;America;2010;17114.0;11859.0;5255.0;5090.0;7956.0;-2866.0
146;Total male and female;Total;Total marital status;America;2011;17053.0;12734.0;4319.0;4658.0;7319.0;-2661.0
147;Total male and female;Total;Total marital status;America;2012;16570.0;14062.0;2508.0;4529.0;7814.0;-3285.0
148;Total male and female;Total;Total marital status;America;2013;16568.0;14621.0;1947.0;4587.0;7543.0;-2956.0
149;Total male and female;Total;Total marital status;America;2014;16946.0;13471.0;3475.0;4206.0;6366.0;-2160.0
150;Total male and female;Total;Total marital status;America;2015;18818.0;13825.0;4993.0;3795.0;5541.0;-1746.0
151;Total male and female;Total;Total marital status;America;2016;19495.0;13994.0;5501.0;3215.0;5317.0;-2102.0
152;Total male and female;Total;Total marital status;America;2017;23264.0;13570.0;9694.0;3311.0;5727.0;-2416.0
153;Total male and female;Total;Total marital status;America;2018;26672.0;14039.0;12633.0;2917.0;4780.0;-1863.0
154;Total male and female;Total;Total marital status;America;2019;28701.0;13931.0;14770.0;2648.0;4179.0;-1531.0
155;Total male and female;Total;Total marital status;America;2020;22482.0;13175.0;9307.0;2492.0;3762.0;-1270.0
156;Total male and female;Total;Total marital status;Asia;1995;16330.0;6363.0;9967.0;500.0;2647.0;-2147.0
157;Total male and female;Total;Total marital status;Asia;1996;20722.0;7605.0;13117.0;604.0;3650.0;-3046.0
158;Total male and female;Total;Total marital status;Asia;1997;22016.0;6889.0;15127.0;763.0;2907.0;-2144.0
159;Total male and female;Total;Total marital status;Asia;1998;24116.0;7065.0;17051.0;821.0;3250.0;-2429.0
160;Total male and female;Total;Total marital status;Asia;1999;21557.0;7054.0;14503.0;711.0;3285.0;-2574.0
161;Total male and female;Total;Total marital status;Asia;2000;24340.0;6834.0;17506.0;796.0;3368.0;-2572.0
162;Total male and female;Total;Total marital status;Asia;2001;25046.0;7229.0;17817.0;901.0;3633.0;-2732.0
163;Total male and female;Total;Total marital status;Asia;2002;21013.0;9684.0;11329.0;1061.0;5712.0;-4651.0
164;Total male and female;Total;Total marital status;Asia;2003;18039.0;10530.0;7509.0;1387.0;6382.0;-4995.0
165;Total male and female;Total;Total marital status;Asia;2004;14849.0;10837.0;4012.0;1377.0;6126.0;-4749.0
166;Total male and female;Total;Total marital status;Asia;2005;15130.0;13093.0;2037.0;1498.0;7393.0;-5895.0
167;Total male and female;Total;Total marital status;Asia;2006;16342.0;15021.0;1321.0;1848.0;8283.0;-6435.0
168;Total male and female;Total;Total marital status;Asia;2007;18261.0;13679.0;4582.0;2341.0;6659.0;-4318.0
169;Total male and female;Total;Total marital status;Asia;2008;23891.0;13175.0;10716.0;2616.0;6682.0;-4066.0
170;Total male and female;Total;Total marital status;Asia;2009;23780.0;14810.0;8970.0;1999.0;6474.0;-4475.0
171;Total male and female;Total;Total marital status;Asia;2010;24131.0;16419.0;7712.0;1829.0;7168.0;-5339.0
172;Total male and female;Total;Total marital status;Asia;2011;26189.0;17519.0;8670.0;1824.0;6897.0;-5073.0
173;Total male and female;Total;Total marital status;Asia;2012;24806.0;18062.0;6744.0;1743.0;6700.0;-4957.0
174;Total male and female;Total;Total marital status;Asia;2013;26775.0;18147.0;8628.0;1865.0;6226.0;-4361.0
175;Total male and female;Total;Total marital status;Asia;2014;33725.0;17684.0;16041.0;1655.0;5112.0;-3457.0
176;Total male and female;Total;Total marital status;Asia;2015;49364.0;18800.0;30564.0;1575.0;5310.0;-3735.0
177;Total male and female;Total;Total marital status;Asia;2016;64545.0;19531.0;45014.0;1495.0;5505.0;-4010.0
178;Total male and female;Total;Total marital status;Asia;2017;52715.0;21302.0;31413.0;1473.0;6350.0;-4877.0
179;Total male and female;Total;Total marital status;Asia;2018;44964.0;21932.0;23032.0;1465.0;5300.0;-3835.0
180;Total male and female;Total;Total marital status;Asia;2019;50921.0;22627.0;28294.0;1376.0;4758.0;-3382.0
181;Total male and female;Total;Total marital status;Asia;2020;34161.0;21961.0;12200.0;1203.0;4565.0;-3362.0
182;Total male and female;Total;Total marital status;Europe (incl The Netherlands);1995;54820.0;59063.0;-4243.0;8649.0;19297.0;-10648.0
183;Total male and female;Total;Total marital status;Europe (incl The Netherlands);1996;57251.0;65420.0;-8169.0;9762.0;24850.0;-15088.0
184;Total male and female;Total;Total marital status;Europe (incl The Netherlands);1997;56719.0;58535.0;-1816.0;9985.0;21417.0;-11432.0
185;Total male and female;Total;Total marital status;Europe (incl The Netherlands);1998;60703.0;56718.0;3985.0;10997.0;21668.0;-10671.0
186;Total male and female;Total;Total marital status;Europe (incl The Netherlands);1999;61523.0;55853.0;5670.0;11923.0;23124.0;-11201.0
187;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2000;66921.0;57041.0;9880.0;12759.0;22554.0;-9795.0
188;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2001;65715.0;58881.0;6834.0;13186.0;24137.0;-10951.0
189;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2002;59500.0;67008.0;-7508.0;15013.0;31879.0;-16866.0
190;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2003;54892.0;70654.0;-15762.0;17168.0;37237.0;-20069.0
191;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2004;54461.0;74651.0;-20190.0;19679.0;39515.0;-19836.0
192;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2005;54652.0;80400.0;-25748.0;21996.0;40602.0;-18606.0
193;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2006;62106.0;90346.0;-28240.0;24338.0;47265.0;-22927.0
194;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2007;74644.0;85759.0;-11115.0;27486.0;45945.0;-18459.0
195;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2008;90131.0;84004.0;6127.0;29922.0;46598.0;-16676.0
196;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2009;89754.0;77723.0;12031.0;30198.0;46417.0;-16219.0
197;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2010;97464.0;83033.0;14431.0;29241.0;46730.0;-17489.0
198;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2011;105501.0;92981.0;12520.0;28255.0;44032.0;-15777.0
199;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2012;105657.0;102001.0;3656.0;28876.0;50852.0;-21976.0
200;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2013;107404.0;102975.0;4429.0;27925.0;45727.0;-17802.0
201;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2014;116745.0;107228.0;9517.0;26113.0;43354.0;-17241.0
202;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2015;118734.0;107392.0;11342.0;24385.0;39143.0;-14758.0
203;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2016;127960.0;108219.0;19741.0;21853.0;37520.0;-15667.0
204;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2017;140779.0;110268.0;30511.0;22263.0;39327.0;-17064.0
205;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2018;151680.0;112659.0;39021.0;20020.0;35019.0;-14999.0
206;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2019;167182.0;116145.0;51037.0;18175.0;33453.0;-15278.0
207;Total male and female;Total;Total marital status;Europe (incl The Netherlands);2020;148096.0;109821.0;38275.0;15755.0;29008.0;-13253.0
208;Total male and female;Total;Total marital status;GIPS countries (European Union);1995;2466.0;2396.0;70.0;113.0;966.0;-853.0
209;Total male and female;Total;Total marital status;GIPS countries (European Union);1996;3074.0;2843.0;231.0;165.0;1339.0;-1174.0
210;Total male and female;Total;Total marital status;GIPS countries (European Union);1997;3513.0;2482.0;1031.0;162.0;1028.0;-866.0
211;Total male and female;Total;Total marital status;GIPS countries (European Union);1998;3739.0;2582.0;1157.0;139.0;1005.0;-866.0
212;Total male and female;Total;Total marital status;GIPS countries (European Union);1999;4136.0;2657.0;1479.0;160.0;1134.0;-974.0
213;Total male and female;Total;Total marital status;GIPS countries (European Union);2000;4395.0;2713.0;1682.0;205.0;1094.0;-889.0
214;Total male and female;Total;Total marital status;GIPS countries (European Union);2001;4672.0;2750.0;1922.0;155.0;1110.0;-955.0
215;Total male and female;Total;Total marital status;GIPS countries (European Union);2002;4623.0;3409.0;1214.0;259.0;1638.0;-1379.0
216;Total male and female;Total;Total marital status;GIPS countries (European Union);2003;4256.0;3665.0;591.0;298.0;1772.0;-1474.0
217;Total male and female;Total;Total marital status;GIPS countries (European Union);2004;4034.0;3966.0;68.0;307.0;2121.0;-1814.0
218;Total male and female;Total;Total marital status;GIPS countries (European Union);2005;4037.0;3777.0;260.0;297.0;1828.0;-1531.0
219;Total male and female;Total;Total marital status;GIPS countries (European Union);2006;4819.0;4626.0;193.0;348.0;2473.0;-2125.0
220;Total male and female;Total;Total marital status;GIPS countries (European Union);2007;5551.0;3994.0;1557.0;415.0;1969.0;-1554.0
221;Total male and female;Total;Total marital status;GIPS countries (European Union);2008;7632.0;4245.0;3387.0;441.0;2068.0;-1627.0
222;Total male and female;Total;Total marital status;GIPS countries (European Union);2009;7824.0;5136.0;2688.0;508.0;2471.0;-1963.0
223;Total male and female;Total;Total marital status;GIPS countries (European Union);2010;8462.0;5635.0;2827.0;451.0;2293.0;-1842.0
224;Total male and female;Total;Total marital status;GIPS countries (European Union);2011;10129.0;6445.0;3684.0;399.0;2307.0;-1908.0
225;Total male and female;Total;Total marital status;GIPS countries (European Union);2012;12440.0;7585.0;4855.0;475.0;2855.0;-2380.0
226;Total male and female;Total;Total marital status;GIPS countries (European Union);2013;13179.0;8414.0;4765.0;450.0;2751.0;-2301.0
227;Total male and female;Total;Total marital status;GIPS countries (European Union);2014;13116.0;8953.0;4163.0;491.0;2532.0;-2041.0
228;Total male and female;Total;Total marital status;GIPS countries (European Union);2015;13598.0;9007.0;4591.0;450.0;2219.0;-1769.0
229;Total male and female;Total;Total marital status;GIPS countries (European Union);2016;14882.0;9353.0;5529.0;449.0;2052.0;-1603.0
230;Total male and female;Total;Total marital status;GIPS countries (European Union);2017;16875.0;10303.0;6572.0;480.0;2395.0;-1915.0
231;Total male and female;Total;Total marital status;GIPS countries (European Union);2018;18538.0;11189.0;7349.0;408.0;2076.0;-1668.0
232;Total male and female;Total;Total marital status;GIPS countries (European Union);2019;21095.0;12202.0;8893.0;385.0;2115.0;-1730.0
233;Total male and female;Total;Total marital status;GIPS countries (European Union);2020;16474.0;13049.0;3425.0;385.0;1971.0;-1586.0
234;Total male and female;Total;Total marital status;Middle and Eastern European EU countries;1995;0.0;0.0;0.0;0.0;0.0;0.0
235;Total male and female;Total;Total marital status;Middle and Eastern European EU countries;1996;0.0;0.0;0.0;0.0;0.0;0.0
236;Total male and female;Total;Total marital status;Middle and Eastern European EU countries;1997;0.0;0.0;0.0;0.0;0.0;0.0
