ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
72;Total;Total;Cao-sector: private companies;Total employed persons;2016;5561;4143;21.45;2420;2378;33370;29040;4330;540;29.6;29.1;1330;1785
73;Total;Total;Cao-sector: private companies;Total employed persons;2017;5735;4279;21.57;2441;2397;33660;29290;4370;550;29.6;29.1;1334;1788
74;Total;Total;Cao-sector: private companies;Total employed persons;2018;5919;4436;22.0;2490;2446;34300;29880;4410;580;29.8;29.3;1335;1781
75;Total;Total;Cao-sector: private companies;Total employed persons;2019;6030;4532;22.46;2561;2519;35280;30730;4550;610;29.9;29.4;1345;1790
76;Total;Total;Cao-sector: private companies;Total employed persons;2020;5880;4479;23.36;2689;2650;36980;32270;4720;650;30.3;29.8;1362;1788
77;Total;Total;Cao-sector: private companies;Total employed persons;2021;5984;4575;23.71;2757;2716;38230;33080;5150;660;30.3;29.9;1374;1798
78;Total;Total;Cao-sector: private companies;Total employed persons;2022;6233;4746;24.57;2845;2805;39680;34140;5540;670;30.2;29.8;1370;1799
79;Total;Total;Cao-sector: private companies;Total employed persons;2023;6294;4805;26.3;3035;2996;42110;36420;5690;730;30.2;29.9;1367;1790
80;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2009;1149;791;19.33;1964;1949;25620;23570;2050;900;26.6;26.4;1210;1757
81;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2010 before change of method;1126;770;19.51;1959;1942;25600;23510;2090;810;26.3;26.1;1194;1747
82;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2010 after change of method;1175;804;19.69;1985;1968;25910;23820;2090;870;26.4;26.2;1200;1753
83;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2011;1137;767;20.04;2006;1991;26210;24080;2130;830;26.0;25.8;1193;1768
84;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2012;1122;753;20.51;2029;2014;26380;24350;2040;820;26.0;25.8;1179;1756
85;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2013;1104;740;20.74;2052;2038;26960;24620;2340;790;26.1;25.9;1179;1760
86;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2014;1116;741;20.7;2047;2033;26730;24560;2170;720;25.9;25.7;1178;1775
87;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2015;1120;743;20.94;2066;2052;26970;24790;2180;680;26.0;25.8;1176;1772
88;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2016;1146;762;20.99;2090;2076;27270;25080;2190;670;26.1;25.9;1187;1786
89;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2017;1169;779;21.36;2134;2120;27990;25610;2380;700;26.2;26.0;1191;1786
90;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2018;1173;784;21.88;2188;2173;28520;26260;2270;750;26.3;26.1;1192;1782
91;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2019;1184;792;22.37;2251;2236;29330;27010;2320;800;26.4;26.2;1200;1793
92;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2020;1144;775;22.99;2340;2327;30550;28080;2470;850;26.8;26.6;1215;1794
93;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2021;1195;812;23.34;2401;2387;31460;28820;2640;850;26.8;26.7;1227;1805
94;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2022;1224;830;24.4;2501;2487;32730;30010;2720;900;26.7;26.6;1223;1805
95;Total;Total;Cao-sector: private companies;0 to 9 employed persons;2023;1226;831;26.03;2657;2645;34620;31890;2740;980;26.7;26.6;1219;1798
96;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2009;1777;1372;18.4;2167;2113;29350;26000;3350;700;30.7;30.1;1378;1785
97;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2010 before change of method;1675;1301;18.77;2214;2158;29990;26570;3420;700;30.9;30.1;1380;1776
98;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2010 after change of method;1687;1310;18.79;2217;2160;30050;26600;3450;710;30.9;30.1;1379;1777
99;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2011;1732;1336;18.94;2237;2180;30320;26850;3480;670;30.6;29.9;1382;1792
100;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2012;1692;1302;19.44;2273;2218;30750;27270;3480;670;30.6;29.9;1369;1778
101;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2013;1637;1261;19.65;2301;2246;31180;27620;3560;650;30.8;30.1;1372;1781
102;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2014;1622;1249;19.69;2318;2262;31420;27820;3600;610;30.8;30.1;1379;1790
103;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2015;1645;1266;20.02;2347;2290;31840;28170;3670;560;30.8;30.1;1372;1783
104;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2016;1675;1291;20.07;2368;2310;32150;28410;3740;540;30.8;30.2;1381;1792
105;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2017;1731;1337;20.34;2406;2348;32680;28870;3810;560;30.9;30.2;1385;1793
106;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2018;1784;1381;20.72;2445;2388;33280;29340;3940;590;31.0;30.3;1383;1786
107;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2019;1818;1406;21.21;2509;2456;34120;30110;4010;620;30.9;30.3;1390;1797
108;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2020;1782;1393;21.93;2609;2560;35450;31300;4150;660;31.2;30.7;1401;1792
109;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2021;1803;1415;22.27;2681;2629;36760;32170;4590;670;31.4;30.8;1417;1805
110;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2022;1904;1471;23.1;2733;2684;37600;32800;4800;660;30.8;30.3;1394;1805
111;Total;Total;Cao-sector: private companies;10 to 99 employed persons;2023;1894;1458;24.66;2890;2841;39580;34680;4890;710;30.7;30.2;1383;1795
112;Total;Total;Cao-sector: private companies;100 or more employed persons;2009;2552;1970;20.66;2398;2358;33810;28780;5030;650;30.5;29.9;1369;1774
113;Total;Total;Cao-sector: private companies;100 or more employed persons;2010 before change of method;2561;1977;20.91;2422;2379;34090;29070;5030;640;30.4;29.9;1366;1768
114;Total;Total;Cao-sector: private companies;100 or more employed persons;2010 after change of method;2566;1977;20.92;2419;2377;34150;29030;5120;640;30.4;29.8;1363;1769
115;Total;Total;Cao-sector: private companies;100 or more employed persons;2011;2598;1986;21.2;2451;2406;34720;29410;5310;610;30.1;29.6;1362;1781
116;Total;Total;Cao-sector: private companies;100 or more employed persons;2012;2611;1990;21.7;2485;2441;35020;29830;5190;620;30.1;29.5;1350;1771
117;Total;Total;Cao-sector: private companies;100 or more employed persons;2013;2592;1972;21.96;2518;2473;35840;30220;5620;600;30.3;29.7;1351;1776
118;Total;Total;Cao-sector: private companies;100 or more employed persons;2014;2598;1972;22.16;2546;2500;35930;30550;5380;560;30.2;29.6;1354;1784
119;Total;Total;Cao-sector: private companies;100 or more employed persons;2015;2674;2022;22.64;2580;2533;36370;30960;5410;490;30.1;29.5;1343;1775
120;Total;Total;Cao-sector: private companies;100 or more employed persons;2016;2740;2090;22.47;2591;2545;36670;31090;5590;480;30.3;29.7;1359;1782
121;Total;Total;Cao-sector: private companies;100 or more employed persons;2017;2835;2162;22.4;2589;2542;36610;31070;5540;490;30.3;29.7;1362;1786
122;Total;Total;Cao-sector: private companies;100 or more employed persons;2018;2963;2271;22.82;2637;2589;37190;31650;5550;510;30.4;29.9;1362;1777
123;Total;Total;Cao-sector: private companies;100 or more employed persons;2019;3028;2334;23.26;2713;2667;38310;32560;5750;530;30.6;30.1;1376;1785
124;Total;Total;Cao-sector: private companies;100 or more employed persons;2020;2954;2312;24.34;2873;2830;40400;34470;5930;570;31.0;30.6;1395;1783
125;Total;Total;Cao-sector: private companies;100 or more employed persons;2021;2987;2348;24.72;2945;2899;41830;35340;6500;570;31.1;30.6;1408;1791
126;Total;Total;Cao-sector: private companies;100 or more employed persons;2022;3104;2445;25.52;3048;3004;43700;36580;7110;580;31.2;30.7;1412;1793
127;Total;Total;Cao-sector: private companies;100 or more employed persons;2023;3174;2515;27.34;3268;3223;46510;39210;7300;640;31.3;30.9;1415;1785
128;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2009;1305;927;18.48;1787;1779;24400;21440;2960;40;25.4;25.3;1155;1627
129;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2010 before change of method;1366;951;19.1;1787;1780;24420;21440;2970;40;24.9;24.8;1118;1606
130;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2010 after change of method;1370;953;19.1;1785;1778;24400;21420;2980;40;24.9;24.8;1117;1607
131;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2011;1405;971;19.26;1802;1796;24730;21630;3100;40;24.7;24.6;1119;1618
132;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2012;1409;972;19.87;1845;1838;25270;22140;3130;40;24.7;24.6;1110;1609
133;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2013;1387;958;20.46;1895;1889;26050;22750;3310;40;24.7;24.7;1108;1605
134;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2014;1352;940;20.64;1932;1927;26550;23190;3360;40;24.9;24.8;1120;1612
135;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2015;1326;927;21.34;2008;2002;27510;24090;3410;40;25.1;25.0;1126;1612
136;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2016;1314;920;21.51;2051;2044;28270;24610;3660;40;25.3;25.2;1140;1628
137;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2017;1333;922;21.74;2076;2069;28710;24910;3800;40;25.3;25.3;1142;1651
138;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2018;1366;947;22.22;2118;2111;29140;25410;3730;50;25.4;25.4;1140;1643
139;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2019;1406;978;22.62;2170;2163;29980;26040;3940;60;25.5;25.4;1148;1651
140;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2020;1442;1002;23.43;2247;2240;31160;26970;4200;60;25.5;25.5;1147;1650
141;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2021;1476;1028;23.88;2307;2300;31970;27690;4280;60;25.5;25.5;1156;1659
142;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2022;1503;1048;24.72;2390;2383;33160;28680;4480;70;25.6;25.5;1157;1660
143;Total;Total;Cao-sector: subsidised corporations ;Total employed persons;2023;1521;1064;26.27;2537;2531;35090;30450;4640;80;25.7;25.6;1156;1652
144;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2009;45;29;18.94;1650;1642;21880;19800;2080;250;22.9;22.8;1040;1640
145;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2010 before change of method;49;30;22.32;1890;1880;24940;22680;2260;340;22.4;22.3;1011;1637
146;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2010 after change of method;50;31;22.35;1890;1881;24940;22680;2260;360;22.4;22.2;1010;1639
147;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2011;46;28;23.18;1957;1949;25820;23490;2330;390;22.1;22.0;1009;1675
148;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2012;44;27;23.37;1984;1977;26050;23810;2240;370;22.4;22.3;1015;1665
149;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2013;43;26;23.61;1994;1987;26440;23930;2510;350;22.4;22.3;1010;1678
150;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2014;46;27;23.16;1951;1944;25670;23410;2260;310;22.2;22.1;1007;1701
151;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2015;51;31;28.01;2455;2449;31590;29460;2130;320;23.1;23.1;1049;1727
152;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2016;53;32;27.88;2471;2464;31850;29650;2200;320;23.3;23.2;1061;1748
153;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2017;55;34;27.91;2506;2499;32350;30070;2280;340;23.6;23.5;1074;1734
154;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2018;57;36;28.64;2597;2586;33430;31160;2280;360;24.0;23.9;1084;1731
155;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2019;58;37;29.54;2722;2712;35020;32660;2360;420;24.3;24.1;1101;1741
156;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2020;59;37;30.02;2794;2784;36040;33530;2520;450;24.5;24.4;1113;1759
157;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2021;60;39;30.17;2851;2842;36850;34210;2640;460;24.8;24.7;1130;1756
158;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2022;63;41;30.75;2925;2917;37900;35100;2800;480;24.9;24.8;1138;1755
159;Total;Total;Cao-sector: subsidised corporations ;0 to 9 employed persons;2023;63;41;33.11;3160;3153;40950;37920;3030;530;25.1;25.1;1143;1744
160;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2009;136;92;18.15;1662;1652;22530;19940;2590;100;24.1;24.0;1093;1615
161;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2010 before change of method;129;88;18.99;1741;1732;23710;20890;2830;100;24.4;24.2;1094;1603
162;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2010 after change of method;130;89;18.99;1740;1731;23720;20880;2840;110;24.4;24.2;1094;1604
163;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2011;133;90;19.11;1764;1754;24100;21170;2930;110;24.3;24.2;1101;1621
164;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2012;130;87;19.79;1799;1788;24480;21590;2890;110;24.2;24.0;1085;1614
165;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2013;122;82;20.36;1845;1836;25180;22140;3040;100;24.1;24.0;1082;1619
166;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2014;124;84;20.4;1885;1876;25660;22610;3040;100;24.5;24.4;1104;1636
167;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2015;130;87;20.79;1907;1898;25850;22880;2970;90;24.4;24.3;1095;1640
168;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2016;138;92;20.71;1920;1911;26170;23040;3130;90;24.5;24.4;1107;1660
169;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2017;142;96;21.0;1988;1979;27090;23860;3230;110;25.0;24.9;1131;1681
170;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2018;144;98;21.51;2047;2036;27830;24560;3270;130;25.3;25.1;1136;1675
171;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2019;152;104;21.95;2111;2100;28810;25330;3480;140;25.4;25.3;1148;1684
172;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2020;155;106;22.64;2177;2167;29840;26120;3720;150;25.5;25.4;1149;1683
173;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2021;163;111;23.03;2226;2217;30570;26710;3860;160;25.4;25.3;1155;1691
174;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2022;171;118;23.69;2315;2305;31880;27780;4100;160;25.7;25.6;1168;1694
175;Total;Total;Cao-sector: subsidised corporations ;10 to 99 employed persons;2023;173;120;25.35;2475;2467;34040;29700;4340;180;25.8;25.7;1167;1683
176;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2009;1125;806;18.51;1807;1800;24730;21680;3040;30;25.7;25.6;1167;1628
177;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2010 before change of method;1187;832;18.99;1788;1781;24470;21450;3020;20;25.0;25.0;1125;1605
178;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2010 after change of method;1190;833;18.99;1785;1779;24450;21430;3020;20;25.0;24.9;1124;1606
179;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2011;1226;854;19.14;1801;1794;24760;21610;3150;20;24.9;24.8;1125;1616
180;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2012;1235;858;19.77;1844;1838;25320;22130;3190;20;24.8;24.7;1116;1606
181;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2013;1221;850;20.36;1897;1891;26130;22760;3360;20;24.9;24.8;1114;1601
182;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2014;1182;829;20.57;1937;1931;26680;23240;3440;20;25.0;25.0;1127;1606
183;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2015;1146;809;21.12;1999;1994;27510;23990;3520;20;25.2;25.2;1133;1604
184;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2016;1122;796;21.33;2047;2041;28360;24560;3800;20;25.5;25.4;1148;1620
185;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2017;1135;792;21.55;2066;2060;28740;24790;3950;20;25.5;25.4;1147;1644
186;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2018;1164;814;22.01;2103;2097;29090;25230;3860;30;25.5;25.5;1143;1636
187;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2019;1196;837;22.38;2150;2145;29880;25800;4080;30;25.5;25.5;1150;1643
188;Total;Total;Cao-sector: subsidised corporations ;100 or more employed persons;2020;1228;859;23.23;2230;2223;31100;26760;4340;30;25.6;25.5;1149;1642
