ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;NoVacation_1;OneVacation_2;TwoOrThreeVacations_3;MoreThanThreeVacations_4;MemberOfASportsClub_5;MemberOfAGym_6
46;Sex: female;Reliability margin;Saba;2013;9.7;9.9;11.2;7.2;6.1;8.7
47;Sex: female;Reliability margin;Saba;2017/2018;8.7;8.1;7.7;;;
48;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2013;36.1;37.2;18.5;8.2;18.2;15.7
49;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;40.2;37.6;18.2;4.1;;
50;Age: 15 to 44 years;Percentage/average;Bonaire;2013;35.1;41.1;16.4;7.4;19.9;16.8
51;Age: 15 to 44 years;Percentage/average;Bonaire;2017/2018;38.7;41.4;15.1;4.8;;
52;Age: 15 to 44 years;Percentage/average;St. Eustatius;2013;56.3;22.3;13.8;7.7;12.7;
53;Age: 15 to 44 years;Percentage/average;St. Eustatius;2017/2018;50.2;31.7;14.0;4.2;;
54;Age: 15 to 44 years;Percentage/average;Saba;2013;12.8;34.1;39.3;13.7;15.0;32.2
55;Age: 15 to 44 years;Percentage/average;Saba;2017/2018;33.1;32.2;33.0;;;
56;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2013;4.0;4.1;3.3;2.3;3.2;3.1
57;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;3.4;3.4;2.7;1.4;;
58;Age: 15 to 44 years;Reliability margin;Bonaire;2013;4.7;4.9;3.7;2.6;4.0;3.7
59;Age: 15 to 44 years;Reliability margin;Bonaire;2017/2018;4.4;4.4;3.3;1.9;;
60;Age: 15 to 44 years;Reliability margin;St. Eustatius;2013;11.9;10.0;8.3;6.4;8.0;
61;Age: 15 to 44 years;Reliability margin;St. Eustatius;2017/2018;7.5;7.0;5.2;3.0;;
62;Age: 15 to 44 years;Reliability margin;Saba;2013;6.8;9.6;9.9;7.0;7.3;9.6
63;Age: 15 to 44 years;Reliability margin;Saba;2017/2018;7.7;7.7;7.7;;;
64;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2013;43.7;34.0;16.7;5.7;9.4;7.1
65;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;45.6;37.5;13.8;3.1;;
66;Age: 45 years or older;Percentage/average;Bonaire;2013;44.6;32.5;17.1;5.9;10.7;8.8
67;Age: 45 years or older;Percentage/average;Bonaire;2017/2018;44.9;37.7;14.2;3.2;;
68;Age: 45 years or older;Percentage/average;St. Eustatius;2013;40.5;42.7;13.2;;5.9;
69;Age: 45 years or older;Percentage/average;St. Eustatius;2017/2018;46.7;38.3;12.8;2.3;;
70;Age: 45 years or older;Percentage/average;Saba;2013;41.7;29.4;20.5;8.4;;
71;Age: 45 years or older;Percentage/average;Saba;2017/2018;47.4;35.3;13.6;3.8;;
72;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2013;4.3;4.1;3.2;2.0;2.5;2.2
73;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;3.4;3.3;2.4;1.2;;
74;Age: 45 years or older;Reliability margin;Bonaire;2013;4.9;4.6;3.7;2.3;3.1;2.8
75;Age: 45 years or older;Reliability margin;Bonaire;2017/2018;4.3;4.2;3.0;1.5;;
76;Age: 45 years or older;Reliability margin;St. Eustatius;2013;12.1;12.2;8.3;;5.7;
77;Age: 45 years or older;Reliability margin;St. Eustatius;2017/2018;7.3;7.1;4.9;2.2;;
78;Age: 45 years or older;Reliability margin;Saba;2013;13.2;12.2;10.8;7.4;;
79;Age: 45 years or older;Reliability margin;Saba;2017/2018;9.5;9.1;6.5;3.6;;
80;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2013;29.6;31.0;26.4;13.0;24.0;20.8
81;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2017/2018;38.0;37.4;17.9;6.8;;
82;Age: 15 to 24 years;Percentage/average;Bonaire;2013;32.7;37.1;22.0;8.2;23.7;19.1
83;Age: 15 to 24 years;Percentage/average;Bonaire;2017/2018;36.3;45.6;9.2;8.9;;
84;Age: 15 to 24 years;Percentage/average;St. Eustatius;2013;;;;;;
85;Age: 15 to 24 years;Percentage/average;St. Eustatius;2017/2018;;;;;;
86;Age: 15 to 24 years;Percentage/average;Saba;2013;;;;;;
87;Age: 15 to 24 years;Percentage/average;Saba;2017/2018;;;;;;
88;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2013;7.0;7.1;6.7;5.2;6.5;6.2
89;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2017/2018;6.3;6.3;5.0;3.3;;
90;Age: 15 to 24 years;Reliability margin;Bonaire;2013;8.8;9.1;7.8;5.2;8.0;7.4
91;Age: 15 to 24 years;Reliability margin;Bonaire;2017/2018;8.2;8.5;4.9;4.8;;
92;Age: 15 to 24 years;Reliability margin;St. Eustatius;2013;;;;;;
93;Age: 15 to 24 years;Reliability margin;St. Eustatius;2017/2018;;;;;;
94;Age: 15 to 24 years;Reliability margin;Saba;2013;;;;;;
95;Age: 15 to 24 years;Reliability margin;Saba;2017/2018;;;;;;
96;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2013;39.0;39.9;15.1;6.1;15.7;13.5
97;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;41.1;37.7;18.3;3.0;;
98;Age: 25 to 44 years;Percentage/average;Bonaire;2013;36.1;42.7;14.2;7.1;18.5;15.9
99;Age: 25 to 44 years;Percentage/average;Bonaire;2017/2018;39.6;39.7;17.5;3.2;;
100;Age: 25 to 44 years;Percentage/average;St. Eustatius;2013;;;;;;
101;Age: 25 to 44 years;Percentage/average;St. Eustatius;2017/2018;51.4;35.3;10.5;;;
102;Age: 25 to 44 years;Percentage/average;Saba;2013;;;;;;
103;Age: 25 to 44 years;Percentage/average;Saba;2017/2018;32.6;33.5;31.4;;;
104;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2013;4.9;4.9;3.6;2.4;3.6;3.4
105;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;4.1;4.0;3.2;1.4;;
106;Age: 25 to 44 years;Reliability margin;Bonaire;2013;5.6;5.8;4.1;3.0;4.5;4.3
107;Age: 25 to 44 years;Reliability margin;Bonaire;2017/2018;5.2;5.2;4.1;1.9;;
108;Age: 25 to 44 years;Reliability margin;St. Eustatius;2013;;;;;;
109;Age: 25 to 44 years;Reliability margin;St. Eustatius;2017/2018;8.8;8.4;5.4;;;
110;Age: 25 to 44 years;Reliability margin;Saba;2013;;;;;;
111;Age: 25 to 44 years;Reliability margin;Saba;2017/2018;9.5;9.5;9.4;;;
112;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2013;42.2;36.2;15.0;6.6;11.2;7.1
113;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2017/2018;40.7;43.2;13.1;3.0;;
114;Age: 45 to 64 years;Percentage/average;Bonaire;2013;42.9;35.0;15.3;6.8;13.4;8.8
115;Age: 45 to 64 years;Percentage/average;Bonaire;2017/2018;39.5;42.2;14.5;3.8;;
116;Age: 45 to 64 years;Percentage/average;St. Eustatius;2013;;;;;;
117;Age: 45 to 64 years;Percentage/average;St. Eustatius;2017/2018;41.3;46.2;11.1;;;
118;Age: 45 to 64 years;Percentage/average;Saba;2013;33.4;35.8;22.1;;;
119;Age: 45 to 64 years;Percentage/average;Saba;2017/2018;46.0;42.7;9.9;;;
120;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2013;4.9;4.8;3.6;2.5;3.2;2.6
121;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2017/2018;4.0;4.0;2.7;1.4;;
122;Age: 45 to 64 years;Reliability margin;Bonaire;2013;5.7;5.5;4.1;2.9;3.9;3.3
123;Age: 45 to 64 years;Reliability margin;Bonaire;2017/2018;4.9;5.0;3.5;1.9;;
124;Age: 45 to 64 years;Reliability margin;St. Eustatius;2013;;;;;;
125;Age: 45 to 64 years;Reliability margin;St. Eustatius;2017/2018;8.5;8.6;5.4;;;
126;Age: 45 to 64 years;Reliability margin;Saba;2013;15.4;15.7;13.6;;;
127;Age: 45 to 64 years;Reliability margin;Saba;2017/2018;11.5;11.4;6.9;;;
128;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2013;48.0;27.6;21.4;3.1;4.3;7.2
129;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;58.3;22.9;15.6;3.2;;
130;Age: 65 years or older;Percentage/average;Bonaire;2013;49.5;25.0;22.3;;;8.6
131;Age: 65 years or older;Percentage/average;Bonaire;2017/2018;59.2;25.8;13.6;;;
132;Age: 65 years or older;Percentage/average;St. Eustatius;2013;;;;;;
133;Age: 65 years or older;Percentage/average;St. Eustatius;2017/2018;;;;;;
134;Age: 65 years or older;Percentage/average;Saba;2013;;;;;;
135;Age: 65 years or older;Percentage/average;Saba;2017/2018;50.3;19.9;21.3;;;
136;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2013;8.5;7.6;7.0;3.0;3.4;4.4
137;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;6.4;5.5;4.7;2.3;;
138;Age: 65 years or older;Reliability margin;Bonaire;2013;9.8;8.5;8.2;;;5.5
139;Age: 65 years or older;Reliability margin;Bonaire;2017/2018;8.1;7.2;5.6;;;
140;Age: 65 years or older;Reliability margin;St. Eustatius;2013;;;;;;
141;Age: 65 years or older;Reliability margin;St. Eustatius;2017/2018;;;;;;
142;Age: 65 years or older;Reliability margin;Saba;2013;;;;;;
143;Age: 65 years or older;Reliability margin;Saba;2017/2018;16.8;13.4;13.8;;;
144;Level of education: Low;Percentage/average;Caribbean Netherlands ;2013;47.7;35.2;12.4;4.7;15.2;8.2
145;Level of education: Low;Percentage/average;Caribbean Netherlands ;2017/2018;53.3;36.3;8.5;1.9;;
146;Level of education: Low;Percentage/average;Bonaire;2013;47.7;36.1;11.6;4.6;16.6;9.9
147;Level of education: Low;Percentage/average;Bonaire;2017/2018;52.7;37.8;7.6;1.9;;
148;Level of education: Low;Percentage/average;St. Eustatius;2013;52.2;30.9;12.7;;10.0;
149;Level of education: Low;Percentage/average;St. Eustatius;2017/2018;57.2;32.5;9.0;;;
150;Level of education: Low;Percentage/average;Saba;2013;35.8;36.9;19.5;7.9;14.3;12.3
151;Level of education: Low;Percentage/average;Saba;2017/2018;48.0;37.2;11.8;;;
152;Level of education: Low;Reliability margin;Caribbean Netherlands ;2013;4.0;3.9;2.7;1.7;2.9;2.2
153;Level of education: Low;Reliability margin;Caribbean Netherlands ;2017/2018;3.3;3.2;1.8;0.9;;
154;Level of education: Low;Reliability margin;Bonaire;2013;4.7;4.5;3.0;2.0;3.5;2.8
155;Level of education: Low;Reliability margin;Bonaire;2017/2018;4.2;4.1;2.2;1.2;;
156;Level of education: Low;Reliability margin;St. Eustatius;2013;11.0;10.2;7.3;;6.5;
157;Level of education: Low;Reliability margin;St. Eustatius;2017/2018;6.4;6.1;3.7;;;
158;Level of education: Low;Reliability margin;Saba;2013;11.7;11.8;9.7;6.6;8.5;8.1
159;Level of education: Low;Reliability margin;Saba;2017/2018;9.6;9.3;6.2;;;
160;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2013;29.5;36.3;24.4;9.9;12.3;15.7
161;Level of education: Intermediate/High;Percentage/average;Caribbean Netherlands ;2017/2018;29.8;39.6;25.5;5.2;;
162;Level of education: Intermediate/High;Percentage/average;Bonaire;2013;30.2;37.5;23.1;9.3;13.6;16.4
163;Level of education: Intermediate/High;Percentage/average;Bonaire;2017/2018;28.4;41.9;23.5;6.2;;
164;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2013;;;;;;
165;Level of education: Intermediate/High;Percentage/average;St. Eustatius;2017/2018;31.6;41.1;22.6;4.7;;
166;Level of education: Intermediate/High;Percentage/average;Saba;2013;13.7;28.9;42.6;14.9;7.9;30.2
167;Level of education: Intermediate/High;Percentage/average;Saba;2017/2018;32.5;31.1;34.1;;;
168;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2013;4.2;4.4;3.9;2.7;3.0;3.3
169;Level of education: Intermediate/High;Reliability margin;Caribbean Netherlands ;2017/2018;3.4;3.6;3.2;1.6;;
170;Level of education: Intermediate/High;Reliability margin;Bonaire;2013;4.8;5.1;4.4;3.1;3.6;3.9
171;Level of education: Intermediate/High;Reliability margin;Bonaire;2017/2018;4.2;4.6;3.9;2.3;;
172;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2013;;;;;;
173;Level of education: Intermediate/High;Reliability margin;St. Eustatius;2017/2018;8.5;9.0;7.7;3.9;;
174;Level of education: Intermediate/High;Reliability margin;Saba;2013;7.4;9.8;10.7;7.7;5.8;10.0
175;Level of education: Intermediate/High;Reliability margin;Saba;2017/2018;7.6;7.5;7.7;;;
176;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2013;34.8;34.7;21.1;9.4;13.8;12.7
177;Level of education: Intermediate;Percentage/average;Caribbean Netherlands ;2017/2018;35.9;42.3;17.8;4.1;;
178;Level of education: Intermediate;Percentage/average;Bonaire;2013;35.3;33.9;21.3;9.5;15.6;14.6
179;Level of education: Intermediate;Percentage/average;Bonaire;2017/2018;32.9;44.6;17.5;5.1;;
180;Level of education: Intermediate;Percentage/average;St. Eustatius;2013;;;;;;
181;Level of education: Intermediate;Percentage/average;St. Eustatius;2017/2018;43.7;35.1;19.4;;;
182;Level of education: Intermediate;Percentage/average;Saba;2013;;;;;;
183;Level of education: Intermediate;Percentage/average;Saba;2017/2018;40.0;40.3;17.3;;;
184;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2013;5.5;5.5;4.7;3.4;4.0;3.9
185;Level of education: Intermediate;Reliability margin;Caribbean Netherlands ;2017/2018;4.7;4.8;3.7;1.9;;
186;Level of education: Intermediate;Reliability margin;Bonaire;2013;6.2;6.1;5.3;3.8;4.7;4.5
187;Level of education: Intermediate;Reliability margin;Bonaire;2017/2018;5.6;5.9;4.5;2.6;;
188;Level of education: Intermediate;Reliability margin;St. Eustatius;2013;;;;;;
189;Level of education: Intermediate;Reliability margin;St. Eustatius;2017/2018;11.8;11.3;9.4;;;
190;Level of education: Intermediate;Reliability margin;Saba;2013;;;;;;
191;Level of education: Intermediate;Reliability margin;Saba;2017/2018;12.3;12.3;9.4;;;
192;Level of education: High;Percentage/average;Caribbean Netherlands ;2013;20.8;38.9;29.7;10.7;9.9;20.6
193;Level of education: High;Percentage/average;Caribbean Netherlands ;2017/2018;21.7;35.9;35.8;6.6;;
194;Level of education: High;Percentage/average;Bonaire;2013;19.6;44.8;26.7;8.9;9.3;19.9
195;Level of education: High;Percentage/average;Bonaire;2017/2018;21.4;37.8;32.8;8.0;;
196;Level of education: High;Percentage/average;St. Eustatius;2013;;;;;;
197;Level of education: High;Percentage/average;St. Eustatius;2017/2018;13.6;50.0;27.3;9.0;;
198;Level of education: High;Percentage/average;Saba;2013;12.5;18.8;51.3;17.4;9.9;36.1
199;Level of education: High;Percentage/average;Saba;2017/2018;26.9;24.1;46.8;;;
200;Level of education: High;Reliability margin;Caribbean Netherlands ;2013;6.0;7.2;6.8;4.6;4.4;6.0
201;Level of education: High;Reliability margin;Caribbean Netherlands ;2017/2018;4.6;5.4;5.4;2.8;;
202;Level of education: High;Reliability margin;Bonaire;2013;7.4;9.2;8.2;5.3;5.4;7.4
203;Level of education: High;Reliability margin;Bonaire;2017/2018;6.1;7.2;7.0;4.0;;
204;Level of education: High;Reliability margin;St. Eustatius;2013;;;;;;
205;Level of education: High;Reliability margin;St. Eustatius;2017/2018;10.0;14.5;12.9;8.3;;
206;Level of education: High;Reliability margin;Saba;2013;8.5;10.0;12.8;9.7;7.6;12.3
207;Level of education: High;Reliability margin;Saba;2017/2018;9.6;9.2;10.8;;;
