ID;PolitieregioS;Cijfersoort;Perioden;WelEens_1;Vaak_2;WelEens_3;Vaak_4;VoeltZichSAvondsInBuurtOnveilig_5;VoeltZichSAvondsNietOpGemak_6;RondomUitgaansgelegenheden_7;RondomPlekkenWaarJongerenRondhangen_8;InHetCentrum_9;WinkelcentrumEigenBuurt_10;InHetOpenbaarVervoer_11;BijHetTreinstation_12;InEigenHuis_13;KansOpWoninginbraak_14;KansOpMishandeling_15;KansOpPortemonneediefstal_16;DoetSAvondsNietOpen_17;RijdtOfLooptOm_18;KinderenMogenErgensNietNaarToe_19;DoorOnbekendenOpStraat_20;DoorOnbekendenInOpenbaarVervoer_21;DoorPersoneelVanWinkelsEnBedrijven_22;DoorPersoneelVanOverheidsinstanties_23;DoorBekendenPartnerFamilieVriend_24
10;Groningen (PO);Waarde;2010;21.0;1.1;13.8;1.0;2.2;1.8;24.5;38.2;21.0;11.7;13.3;21.8;5.6;3.3;0.5;1.2;7.8;3.3;2.8;25.5;15.9;16.1;12.4;6.3
11;Groningen (PO);Waarde;2011;23.3;1.8;14.6;2.0;4.4;2.1;23.7;39.0;20.1;12.7;10.6;18.4;6.6;4.2;0.8;3.5;7.2;4.1;3.2;21.5;12.3;13.1;10.1;8.8
12;Groningen (PO);Betrouwbaarheidsmarge;2008;4.0;1.0;3.5;1.6;1.7;1.6;4.0;4.4;3.8;2.9;3.4;3.8;2.2;2.0;1.4;1.6;2.2;1.9;2.0;4.0;3.3;3.6;3.7;2.7
13;Groningen (PO);Betrouwbaarheidsmarge;2009;2.5;0.8;2.2;0.7;0.9;1.1;2.6;2.9;2.4;1.6;2.0;2.5;1.3;1.2;0.7;1.3;1.5;1.0;0.8;3.3;2.9;3.1;2.7;2.1
14;Groningen (PO);Betrouwbaarheidsmarge;2010;3.0;0.7;2.5;0.7;1.1;1.0;3.2;3.6;3.0;2.4;2.5;3.1;1.8;1.4;0.5;0.7;2.0;1.3;1.3;3.2;2.7;2.7;2.4;1.9
15;Groningen (PO);Betrouwbaarheidsmarge;2011;2.7;0.8;2.2;0.9;1.4;0.8;2.8;3.1;2.6;2.1;2.0;2.5;1.5;1.2;0.5;1.2;1.6;1.4;1.1;3.1;2.5;2.4;2.2;2.1
16;Friesland (PO);Waarde;2008;22.0;0.6;10.8;0.4;2.3;2.2;20.9;37.2;18.6;8.3;9.2;17.4;3.7;3.9;0.4;1.6;5.1;2.3;2.0;19.1;8.9;13.0;8.6;7.1
17;Friesland (PO);Waarde;2009;19.9;1.6;10.9;1.2;2.8;1.6;24.6;37.1;20.7;10.1;8.4;16.5;4.7;2.3;0.9;2.1;5.7;1.8;3.1;23.1;12.5;15.9;13.8;8.0
18;Friesland (PO);Waarde;2010;18.7;1.4;8.4;1.0;1.7;2.1;23.1;37.1;20.7;12.7;8.3;15.9;5.3;2.5;0.9;2.4;7.4;2.4;3.4;17.1;10.6;13.5;12.7;7.3
19;Friesland (PO);Waarde;2011;19.0;1.1;9.5;0.9;2.4;2.5;23.4;36.2;20.2;9.2;8.2;15.4;4.3;2.3;0.7;1.5;5.7;2.3;2.3;19.0;9.0;13.6;9.7;7.7
20;Friesland (PO);Betrouwbaarheidsmarge;2008;3.8;0.6;2.9;0.4;1.5;1.5;3.2;4.1;3.2;2.3;2.8;3.5;1.7;2.1;0.5;0.9;1.9;1.1;0.9;3.3;2.5;2.9;2.2;2.3
21;Friesland (PO);Betrouwbaarheidsmarge;2009;1.9;0.6;1.4;0.5;0.8;0.5;3.5;3.8;3.2;2.3;2.1;2.9;1.6;0.7;0.4;0.5;0.9;0.4;0.9;3.3;2.6;2.9;2.8;2.2
22;Friesland (PO);Betrouwbaarheidsmarge;2010;2.9;0.8;2.0;0.7;0.9;1.0;3.1;3.5;3.0;2.4;2.0;2.7;1.7;1.1;0.7;1.1;1.9;1.1;1.3;2.7;2.3;2.5;2.4;1.9
23;Friesland (PO);Betrouwbaarheidsmarge;2011;2.1;0.6;1.4;0.4;0.8;0.9;3.2;3.6;3.1;2.2;2.1;2.7;1.4;0.7;0.3;0.6;1.1;0.7;0.8;2.9;2.1;2.5;2.2;2.0
24;Drenthe (PO);Waarde;2008;18.5;0.7;9.8;1.7;3.7;2.1;16.6;35.9;15.8;13.3;9.7;15.9;5.7;1.6;0.7;2.4;6.6;3.9;2.5;18.1;8.6;14.1;11.5;7.1
25;Drenthe (PO);Waarde;2009;19.5;1.2;11.9;0.7;2.1;1.3;19.6;36.8;17.1;11.5;9.8;18.5;4.9;2.7;1.3;2.9;6.2;2.1;2.7;21.5;11.2;15.3;13.7;6.3
26;Drenthe (PO);Waarde;2010;18.0;1.3;10.4;1.5;2.7;1.3;20.3;34.1;20.1;12.7;9.9;15.5;5.7;1.9;0.7;2.9;5.1;2.3;2.5;17.6;9.8;12.7;11.2;7.1
27;Drenthe (PO);Waarde;2011;17.9;1.3;10.7;1.2;2.3;1.6;20.2;33.7;21.2;13.4;9.0;16.7;5.2;3.1;0.5;3.4;5.7;3.7;3.3;17.2;10.8;13.8;13.3;7.4
28;Drenthe (PO);Betrouwbaarheidsmarge;2008;4.4;0.7;3.6;2.0;2.3;2.1;3.9;4.7;3.5;4.1;3.6;3.9;3.0;0.9;0.6;1.1;3.1;2.8;2.1;3.7;2.2;3.1;2.5;2.6
29;Drenthe (PO);Betrouwbaarheidsmarge;2009;2.8;0.8;2.3;0.5;1.0;0.8;2.8;3.4;2.7;2.3;2.0;2.7;1.5;1.2;0.8;1.2;1.7;1.0;1.1;2.9;2.2;2.5;2.5;1.7
30;Drenthe (PO);Betrouwbaarheidsmarge;2010;2.8;0.8;2.2;0.9;1.3;0.9;2.9;3.4;2.9;2.4;2.2;2.6;1.7;1.0;0.6;1.2;1.6;1.1;1.1;2.8;2.2;2.4;2.3;1.9
31;Drenthe (PO);Betrouwbaarheidsmarge;2011;2.9;0.8;2.3;0.8;1.1;0.9;3.0;3.4;3.0;2.5;2.1;2.8;1.6;1.3;0.5;1.3;1.7;1.5;1.3;2.8;2.3;2.5;2.5;1.9
32;IJsselland (PO);Waarde;2008;20.9;0.7;11.2;0.9;1.4;0.8;23.9;39.6;24.2;12.2;9.9;19.9;2.3;1.8;0.9;3.3;4.4;3.7;1.9;21.9;12.0;15.5;10.8;8.4
33;IJsselland (PO);Waarde;2009;19.6;1.7;12.3;1.3;2.0;1.8;24.1;38.9;20.0;11.3;11.9;19.3;6.2;3.2;1.0;4.5;6.7;3.0;2.8;23.2;12.8;15.0;12.0;6.4
34;IJsselland (PO);Waarde;2010;21.5;1.1;11.3;0.9;1.9;1.5;24.1;37.2;21.1;10.8;10.5;18.2;5.0;2.7;1.7;3.1;4.9;2.4;2.5;20.8;12.5;16.3;13.7;6.5
35;IJsselland (PO);Waarde;2011;19.1;1.0;11.4;0.8;2.0;1.6;21.5;34.7;18.6;11.0;11.4;17.3;5.4;4.3;0.6;2.8;6.3;3.1;2.2;16.9;11.1;12.8;10.4;6.2
36;IJsselland (PO);Betrouwbaarheidsmarge;2008;3.8;0.7;3.3;0.8;0.9;0.8;3.8;4.4;4.0;3.3;2.3;3.9;1.1;1.1;0.7;2.0;1.6;2.5;1.0;3.8;3.2;3.7;2.8;2.8
37;IJsselland (PO);Betrouwbaarheidsmarge;2009;1.9;0.6;1.4;0.4;0.5;0.6;2.0;2.4;1.7;1.4;1.4;1.8;1.2;0.8;0.5;1.2;1.2;0.8;0.8;2.1;1.6;1.8;1.7;1.2
38;IJsselland (PO);Betrouwbaarheidsmarge;2010;3.0;0.8;2.3;0.7;1.0;0.8;3.1;3.5;2.9;2.2;2.2;2.7;1.6;1.2;1.0;1.2;1.6;1.1;1.2;3.0;2.4;2.7;2.5;1.8
39;IJsselland (PO);Betrouwbaarheidsmarge;2011;2.3;0.5;1.9;0.4;0.8;0.7;2.5;2.8;2.3;1.8;1.9;2.3;1.4;1.3;0.4;1.0;1.4;1.0;0.8;2.2;1.9;2.0;1.9;1.5
40;Twente (PO);Waarde;2008;19.7;1.4;10.4;1.0;2.5;2.2;23.8;43.5;24.9;11.7;11.7;24.5;3.2;2.4;1.2;4.8;5.0;3.2;2.7;21.8;13.7;15.5;13.7;4.5
41;Twente (PO);Waarde;2009;20.4;1.2;12.6;1.1;3.2;2.2;24.9;41.3;23.7;11.5;15.1;23.1;6.0;3.5;1.1;3.1;6.2;2.6;2.6;21.6;15.4;18.0;13.8;7.3
42;Twente (PO);Waarde;2010;19.2;0.9;11.4;0.7;2.6;1.9;20.5;36.4;19.3;10.9;12.0;22.1;5.9;3.0;0.4;3.3;9.4;3.4;3.0;18.6;12.8;13.3;11.6;5.5
43;Twente (PO);Waarde;2011;21.0;1.7;14.3;1.6;2.3;1.8;22.2;36.6;19.1;10.4;10.1;18.2;5.7;4.7;1.2;4.0;9.6;2.6;2.8;20.0;10.7;12.2;9.5;6.1
44;Twente (PO);Betrouwbaarheidsmarge;2008;4.0;1.7;3.2;1.6;1.8;1.8;4.3;5.0;4.7;3.4;3.2;4.4;2.0;1.8;1.7;2.5;1.7;2.0;2.3;4.5;3.8;3.6;3.8;2.0
45;Twente (PO);Betrouwbaarheidsmarge;2009;2.7;0.8;2.3;0.8;1.3;1.2;3.4;3.7;3.3;2.5;2.7;3.2;2.0;1.3;0.8;1.2;1.9;1.2;1.2;3.1;2.8;2.9;2.6;2.1
46;Twente (PO);Betrouwbaarheidsmarge;2010;2.8;0.7;2.3;0.6;1.1;0.9;2.9;3.4;2.8;2.3;2.4;3.0;1.7;1.3;0.4;1.3;2.1;1.3;1.2;2.8;2.4;2.5;2.4;1.7
47;Twente (PO);Betrouwbaarheidsmarge;2011;0.9;0.3;0.8;0.3;0.3;0.3;2.1;2.6;1.9;1.3;1.2;1.6;0.9;0.4;0.2;0.4;1.7;0.6;0.7;2.1;1.5;1.8;1.6;1.2
48;Noord- en Oost-Gelderland (PO);Waarde;2008;18.5;0.9;8.6;0.6;1.4;0.6;23.5;38.4;22.5;11.8;12.4;19.1;5.0;3.2;0.4;3.7;3.9;3.3;2.4;19.9;11.8;18.5;14.4;5.9
49;Noord- en Oost-Gelderland (PO);Waarde;2009;19.8;1.9;11.9;1.4;2.2;1.9;21.8;39.0;23.0;11.9;12.1;17.9;5.3;3.1;0.7;2.9;6.9;2.7;2.7;21.5;12.8;12.5;10.2;6.1
50;Noord- en Oost-Gelderland (PO);Waarde;2010;18.8;1.8;10.6;0.9;2.8;2.3;24.0;41.5;22.5;13.3;13.1;21.2;5.2;4.3;0.9;3.7;8.4;2.5;2.7;21.9;12.8;14.5;11.6;6.2
51;Noord- en Oost-Gelderland (PO);Waarde;2011;18.5;0.7;9.3;0.4;1.9;2.0;21.5;37.0;20.4;9.7;12.7;18.0;5.6;3.4;0.6;3.1;7.4;2.2;2.9;16.8;9.5;11.9;8.6;6.6
52;Noord- en Oost-Gelderland (PO);Betrouwbaarheidsmarge;2008;3.5;0.6;2.6;0.6;0.8;0.5;3.8;4.4;4.0;2.9;3.2;3.8;2.1;1.9;0.4;1.6;1.5;1.9;1.5;3.6;3.0;3.8;3.1;2.0
53;Noord- en Oost-Gelderland (PO);Betrouwbaarheidsmarge;2009;2.3;0.9;1.8;0.8;0.8;0.9;2.6;3.0;2.7;1.9;1.9;2.2;1.3;0.9;0.4;0.8;1.4;0.9;0.9;2.6;2.2;2.1;1.9;1.5
54;Noord- en Oost-Gelderland (PO);Betrouwbaarheidsmarge;2010;2.9;1.0;2.3;0.7;1.3;1.1;3.2;3.6;3.0;2.5;2.5;3.0;1.6;1.5;0.8;1.4;2.0;1.2;1.2;3.1;2.4;2.6;2.4;1.8
55;Noord- en Oost-Gelderland (PO);Betrouwbaarheidsmarge;2011;2.7;0.6;2.0;0.4;1.0;1.0;3.0;3.4;2.9;2.1;2.4;2.8;1.6;1.2;0.5;1.2;1.8;1.0;1.1;2.7;2.1;2.4;2.0;1.8
56;Gelderland-Midden (PO);Waarde;2008;27.5;1.7;12.4;1.5;1.5;1.7;24.5;44.5;22.9;13.5;19.3;28.8;3.9;3.6;0.6;3.9;5.4;3.3;2.6;25.3;18.3;18.8;14.2;7.7
57;Gelderland-Midden (PO);Waarde;2009;26.8;2.4;16.4;2.0;3.9;2.6;26.0;45.6;22.6;15.1;19.7;27.0;7.1;5.8;1.5;4.2;11.0;4.4;4.0;24.2;15.9;13.9;10.9;6.4
58;Gelderland-Midden (PO);Waarde;2010;28.0;2.6;15.4;1.9;4.0;2.1;22.9;43.3;24.3;14.5;15.4;23.4;6.8;5.9;2.3;5.3;9.2;3.0;2.5;23.4;14.9;16.6;12.0;5.8
59;Gelderland-Midden (PO);Waarde;2011;25.8;2.7;17.7;2.7;3.7;3.0;22.6;41.1;20.7;12.7;15.0;21.1;7.8;7.3;1.4;5.5;10.7;3.7;2.9;24.7;14.8;14.8;11.5;5.8
60;Gelderland-Midden (PO);Betrouwbaarheidsmarge;2008;4.1;1.0;3.0;1.3;1.3;1.3;4.1;4.4;4.1;3.3;3.8;4.1;2.1;2.0;0.6;1.8;2.0;2.0;1.8;4.2;3.8;3.7;3.6;2.8
61;Gelderland-Midden (PO);Betrouwbaarheidsmarge;2009;1.0;0.4;0.8;0.3;0.4;0.4;1.0;1.2;0.9;0.7;0.9;1.0;0.6;0.5;0.3;0.4;0.7;0.5;0.4;0.9;0.8;0.8;0.7;0.6
62;Gelderland-Midden (PO);Betrouwbaarheidsmarge;2010;3.3;1.3;2.6;1.1;1.4;1.0;3.1;3.6;3.1;2.5;2.6;3.1;1.8;1.7;1.2;1.7;2.0;1.3;1.1;3.1;2.6;2.7;2.4;1.7
63;Gelderland-Midden (PO);Betrouwbaarheidsmarge;2011;2.3;0.9;1.9;0.9;1.0;1.0;2.4;3.0;2.3;1.8;2.1;2.5;1.6;1.3;0.6;1.2;1.7;1.0;0.9;3.1;2.6;2.5;2.4;1.6
64;Gelderland-Zuid (PO);Waarde;2008;24.3;2.7;14.4;1.7;3.7;2.3;23.6;42.8;22.4;12.9;15.3;26.7;5.7;5.4;1.5;6.6;5.5;2.5;4.3;27.4;20.7;23.3;14.9;7.9
65;Gelderland-Zuid (PO);Waarde;2009;24.0;1.6;14.9;1.3;2.9;1.9;22.1;44.2;20.9;13.5;15.9;21.4;6.0;6.1;1.0;4.4;8.1;2.9;3.9;25.4;16.1;18.9;11.4;6.3
66;Gelderland-Zuid (PO);Waarde;2010;25.8;2.7;14.6;1.1;3.5;2.6;23.5;41.1;21.8;13.8;14.6;24.2;6.9;5.7;2.1;5.1;10.8;3.3;3.8;23.4;13.9;18.3;14.5;7.6
67;Gelderland-Zuid (PO);Waarde;2011;28.2;3.0;18.8;2.1;4.1;2.0;23.3;40.6;21.0;12.1;10.9;20.9;7.6;7.1;1.8;5.9;10.1;2.9;2.5;25.0;13.8;16.9;13.4;7.4
68;Gelderland-Zuid (PO);Betrouwbaarheidsmarge;2008;3.9;1.6;3.3;1.4;2.0;1.4;4.0;4.4;3.9;3.2;3.4;4.2;2.4;2.6;1.4;2.7;2.1;1.6;2.2;4.2;3.9;4.0;3.2;2.6
69;Gelderland-Zuid (PO);Betrouwbaarheidsmarge;2009;2.6;0.7;2.0;0.5;0.8;0.7;2.4;3.1;2.3;1.9;2.1;2.4;1.4;1.5;0.6;1.2;1.7;0.9;1.2;2.7;2.2;2.4;1.8;1.5
70;Gelderland-Zuid (PO);Betrouwbaarheidsmarge;2010;3.2;1.2;2.6;0.7;1.4;1.2;3.1;3.6;3.0;2.6;2.6;3.1;1.9;1.7;1.1;1.6;2.3;1.3;1.4;3.1;2.5;2.8;2.6;2.0
71;Gelderland-Zuid (PO);Betrouwbaarheidsmarge;2011;2.4;0.9;2.0;0.7;1.2;0.8;3.2;3.6;3.0;2.2;2.3;3.0;1.8;1.3;0.7;1.4;2.1;1.2;1.1;3.2;2.6;2.8;2.6;1.9
72;Utrecht (PO);Waarde;2008;29.1;2.7;18.6;2.2;5.6;2.0;22.6;46.1;25.0;16.8;15.6;25.9;5.6;7.4;1.7;6.1;7.2;4.1;4.3;29.2;19.6;22.9;17.2;7.8
73;Utrecht (PO);Waarde;2009;28.4;2.8;18.3;2.3;4.0;1.8;23.0;47.1;21.8;18.3;19.9;25.1;5.6;7.4;2.2;5.9;7.0;5.2;3.9;33.4;24.2;23.8;17.2;6.3
74;Utrecht (PO);Waarde;2010;28.0;1.2;16.9;1.1;4.3;2.2;24.8;49.9;22.8;15.5;22.5;29.4;6.2;5.3;1.1;4.6;9.3;3.9;3.5;28.2;19.1;19.7;13.0;7.8
75;Utrecht (PO);Waarde;2011;27.5;2.5;17.8;2.3;2.9;3.4;23.0;44.5;21.4;16.8;18.4;24.2;7.6;9.1;2.2;5.1;9.5;2.9;3.6;28.0;15.9;18.3;11.3;7.5
76;Utrecht (PO);Betrouwbaarheidsmarge;2008;1.3;0.5;1.1;0.4;2.0;1.1;3.5;4.2;3.8;3.3;3.1;3.8;2.0;0.8;0.4;0.7;2.2;1.7;1.7;3.9;3.4;3.6;3.3;2.3
77;Utrecht (PO);Betrouwbaarheidsmarge;2009;1.4;0.5;1.2;0.5;1.5;0.9;1.4;1.6;1.4;1.2;1.3;1.4;0.7;0.8;0.5;0.7;1.9;1.7;1.5;3.9;3.6;3.5;3.2;2.2
78;Utrecht (PO);Betrouwbaarheidsmarge;2010;3.3;0.8;2.8;0.7;1.5;1.1;3.2;3.7;3.0;2.6;3.0;3.3;1.7;1.6;0.7;1.5;2.1;1.4;1.3;3.3;2.9;2.9;2.5;1.9
79;Utrecht (PO);Betrouwbaarheidsmarge;2011;1.4;0.5;1.1;0.5;1.4;1.5;1.7;2.0;1.6;1.4;1.5;1.7;1.1;1.0;0.5;0.7;2.2;1.4;1.5;3.6;2.9;3.2;2.6;2.2
80;Noord-Holland-Noord (PO);Waarde;2008;22.4;2.3;12.2;1.5;2.9;1.9;26.7;41.5;19.3;14.1;15.4;28.6;3.6;4.3;2.0;6.5;7.4;4.0;3.2;25.6;15.4;17.3;15.5;6.6
81;Noord-Holland-Noord (PO);Waarde;2009;26.1;2.0;15.4;1.4;3.9;2.1;29.0;49.7;22.5;16.6;18.1;30.1;7.8;5.2;1.7;4.7;7.4;4.5;3.7;25.5;16.4;16.7;12.5;6.6
82;Noord-Holland-Noord (PO);Waarde;2010;24.8;1.7;12.6;1.3;4.2;2.2;26.4;42.3;19.9;15.0;15.8;25.8;6.1;5.7;1.5;4.6;8.7;3.8;2.5;26.0;18.3;16.6;11.5;8.8
83;Noord-Holland-Noord (PO);Waarde;2011;23.6;2.5;15.0;2.0;4.0;2.7;23.6;43.5;19.2;14.7;14.2;25.0;6.8;6.3;1.3;4.4;10.5;4.0;3.8;23.9;15.0;13.7;11.0;7.2
84;Noord-Holland-Noord (PO);Betrouwbaarheidsmarge;2008;3.2;1.1;2.5;1.0;1.3;1.1;3.5;4.0;3.1;2.7;2.9;3.6;1.5;1.7;1.4;2.0;2.0;1.6;1.5;3.5;2.9;2.9;2.8;2.2
85;Noord-Holland-Noord (PO);Betrouwbaarheidsmarge;2009;1.6;0.6;1.3;0.4;0.9;0.5;1.7;1.9;1.7;1.4;1.4;1.7;1.0;0.9;0.6;0.9;0.9;0.9;0.8;1.7;1.4;1.5;1.3;0.9
86;Noord-Holland-Noord (PO);Betrouwbaarheidsmarge;2010;3.2;1.0;2.4;0.9;1.5;1.1;3.2;3.6;2.9;2.6;2.7;3.2;1.8;1.7;0.9;1.5;2.1;1.4;1.1;3.2;2.8;2.7;2.3;2.1
87;Noord-Holland-Noord (PO);Betrouwbaarheidsmarge;2011;1.2;0.6;1.0;0.5;0.7;0.5;1.2;1.5;1.2;1.0;1.0;1.3;0.7;0.7;0.4;0.7;0.9;0.7;0.7;1.3;1.1;1.0;1.0;0.8
88;Zaanstreek-Waterland (PO);Waarde;2008;23.7;2.6;15.3;2.5;2.5;2.4;24.9;42.3;22.8;15.0;16.4;25.4;7.1;3.9;2.8;5.3;9.6;3.8;4.9;25.0;15.3;23.8;17.2;8.7
89;Zaanstreek-Waterland (PO);Waarde;2009;23.8;1.2;12.8;1.3;4.4;1.9;26.3;45.5;23.2;17.2;17.6;27.9;5.5;4.3;1.1;3.9;10.0;3.5;4.6;27.0;20.3;24.5;16.5;7.9
90;Zaanstreek-Waterland (PO);Waarde;2010;23.9;1.8;14.8;2.1;4.8;2.8;22.8;39.0;23.5;12.8;17.3;25.6;6.2;3.8;2.3;5.3;11.1;5.1;4.7;25.6;18.5;20.1;15.5;6.9
91;Zaanstreek-Waterland (PO);Waarde;2011;23.3;2.0;15.4;1.7;3.7;1.9;25.3;43.5;24.9;14.7;14.9;23.3;6.4;6.4;1.3;5.2;9.7;4.4;3.0;26.7;17.6;22.0;13.8;8.4
92;Zaanstreek-Waterland (PO);Betrouwbaarheidsmarge;2008;3.8;1.9;3.6;1.9;1.1;1.1;4.1;4.7;3.6;3.7;3.6;4.0;3.0;1.5;1.8;1.5;2.8;2.0;2.3;3.8;2.8;4.0;3.7;2.8
93;Zaanstreek-Waterland (PO);Betrouwbaarheidsmarge;2009;3.1;0.8;2.4;0.8;1.5;1.0;3.2;3.6;3.1;2.8;2.8;3.3;1.7;1.6;0.8;1.4;2.2;1.3;1.6;3.2;2.9;3.1;2.7;2.0
94;Zaanstreek-Waterland (PO);Betrouwbaarheidsmarge;2010;2.7;0.7;2.2;0.8;1.3;1.1;3.1;3.5;3.1;2.4;2.8;3.2;1.8;1.1;0.9;1.4;1.9;1.4;1.3;3.2;2.9;3.0;2.7;1.9
95;Zaanstreek-Waterland (PO);Betrouwbaarheidsmarge;2011;2.0;0.6;1.7;0.5;0.8;0.6;3.2;3.5;3.1;2.6;2.5;3.0;1.7;1.3;0.4;1.1;1.5;1.1;0.8;3.2;2.8;3.0;2.5;2.0
96;Kennemerland (PO);Waarde;2008;23.5;2.3;12.3;1.3;3.1;1.8;21.6;47.1;20.6;12.9;18.6;28.9;3.8;5.2;1.2;4.7;7.7;3.6;4.6;30.6;21.9;21.3;16.5;9.7
97;Kennemerland (PO);Waarde;2009;24.2;1.3;12.3;1.6;2.9;1.4;22.9;47.1;20.7;15.2;20.9;28.8;6.3;3.7;0.8;4.2;8.9;2.9;2.9;27.9;21.3;22.3;14.8;9.6
98;Kennemerland (PO);Waarde;2010;26.3;1.7;17.3;1.7;4.4;3.0;26.3;46.5;25.0;15.9;22.2;31.9;7.0;5.9;1.7;5.0;11.7;4.6;2.7;30.4;21.8;25.3;17.5;8.9
99;Kennemerland (PO);Waarde;2011;24.7;2.0;15.0;1.1;3.8;2.1;21.7;46.5;19.8;15.7;18.4;26.5;6.1;5.3;1.2;4.9;10.6;4.5;3.4;26.1;16.8;16.9;11.9;5.7
100;Kennemerland (PO);Betrouwbaarheidsmarge;2008;3.8;1.4;2.8;0.8;1.6;1.2;3.7;4.4;3.6;3.0;3.5;4.0;1.8;2.2;0.8;1.6;2.4;1.7;2.2;4.2;3.8;3.8;3.4;2.9
101;Kennemerland (PO);Betrouwbaarheidsmarge;2009;3.1;0.9;2.4;0.9;1.2;0.8;3.1;3.6;3.0;2.6;3.0;3.3;1.8;1.4;0.6;1.4;2.1;1.2;1.2;3.3;3.0;3.0;2.6;2.2
102;Kennemerland (PO);Betrouwbaarheidsmarge;2010;3.2;1.0;2.8;1.0;1.6;1.3;3.2;3.6;3.1;2.6;3.0;3.4;1.8;1.7;1.0;1.6;2.4;1.6;1.1;3.3;3.0;3.1;2.8;2.1
103;Kennemerland (PO);Betrouwbaarheidsmarge;2011;2.3;1.0;1.8;0.4;1.0;0.8;2.1;2.8;2.1;2.0;2.1;2.4;1.3;1.2;0.6;1.2;1.7;1.2;1.0;2.5;2.0;2.1;1.9;1.3
104;Amsterdam-Amstelland (PO);Waarde;2008;34.5;4.1;26.6;3.5;6.4;3.2;27.3;47.4;27.4;16.5;29.2;35.7;4.9;7.3;3.5;9.4;13.8;6.5;5.5;37.0;31.9;28.7;21.8;8.6
105;Amsterdam-Amstelland (PO);Waarde;2009;35.0;3.8;25.5;3.7;7.1;3.6;28.6;52.4;29.1;15.2;31.8;36.4;7.0;7.6;3.1;9.1;15.0;6.0;5.9;41.7;33.8;30.4;24.6;10.9
106;Amsterdam-Amstelland (PO);Waarde;2010;36.7;4.4;26.8;4.1;7.3;3.3;27.5;53.2;26.8;15.6;28.4;32.3;8.1;8.6;3.9;9.2;15.7;6.5;5.4;33.9;28.0;27.9;23.4;7.9
107;Amsterdam-Amstelland (PO);Waarde;2011;35.5;3.5;25.5;3.2;6.4;2.7;24.4;48.4;24.0;14.3;23.3;32.6;7.0;9.1;2.9;9.0;15.3;6.4;4.8;36.2;29.3;24.8;17.0;8.6
