ID;Geslacht;Leeftijd;Marges;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDatHeeftVerzuimd_2;GemiddeldeVerzuimfrequentie_3;GemiddeldeVerzuimduur_4;k_1Tot5Werkdagen_5;k_5Tot20Werkdagen_6;k_20Tot210Werkdagen_7;k_210WerkdagenOfMeer_8;JaHoofdzakelijkGevolgVanMijnWerk_9;JaVoorEenDeelGevolgVanMijnWerk_10;NeeGeenGevolgVanMijnWerk_11;WeetNiet_12
13;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2017;3.8;43.5;1.0;6.7;69.4;17.7;10.5;1.0;8.8;14.3;70.1;5.3
14;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2018;4.2;47.5;1.2;7.4;67.7;18.9;11.1;1.0;9.1;14.6;69.8;5.2
15;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2019;4.4;46.4;1.2;7.6;68.0;18.0;11.6;1.1;8.9;14.7;69.0;6.0
16;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2020;4.2;43.1;1.1;7.3;64.4;21.2;12.0;1.1;8.8;13.5;69.7;6.6
17;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2021;4.5;43.1;1.1;7.8;62.0;21.9;13.2;1.4;9.6;14.2;67.6;7.1
18;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2022;5.1;57.2;1.5;8.8;63.6;25.5;8.7;0.9;7.0;11.3;73.6;6.8
19;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2023;4.6;50.4;1.4;8.0;68.5;20.3;8.9;1.0;6.9;11.9;73.3;6.6
20;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2014;3.8;43.5;1.1;6.7;70.0;19.6;10.8;1.1;8.8;15.5;71.8;5.5
21;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2015;4.1;45.4;1.1;7.2;68.4;19.8;12.1;1.1;8.3;14.0;73.4;5.8
22;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2016;3.9;46.1;1.1;7.0;69.1;19.4;11.8;1.1;8.8;15.3;72.1;5.4
23;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2017;4.1;44.5;1.1;7.2;70.4;18.6;11.2;1.2;9.5;15.1;71.1;5.8
24;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2018;4.5;48.4;1.3;7.8;68.6;19.7;11.8;1.2;9.7;15.3;70.6;5.7
25;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2019;4.6;47.3;1.3;8.1;68.9;18.8;12.3;1.4;9.5;15.4;70.0;6.5
26;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2020;4.5;44.0;1.2;7.7;65.4;22.0;12.6;1.3;9.4;14.2;70.7;7.1
27;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2021;4.8;44.1;1.2;8.3;63.1;22.9;13.9;1.6;10.2;15.0;68.6;7.7
28;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2022;5.3;58.0;1.6;9.3;64.5;26.4;9.2;1.1;7.5;12.0;74.4;7.3
29;Totaal mannen en vrouwen;15 tot 75 jaar;Bovengrens 95%-interval;2023;4.9;51.2;1.4;8.4;69.4;21.1;9.5;1.2;7.4;12.6;74.2;7.1
30;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2014;2.0;36.9;1.0;2.2;89.0;8.0;2.8;0.2;4.5;12.0;78.0;5.5
31;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2015;1.7;36.7;0.9;2.1;88.7;8.5;2.7;0.1;3.7;10.2;79.6;6.6
32;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2016;2.0;39.4;1.0;2.4;89.0;8.7;2.1;0.1;4.5;12.5;78.2;4.8
33;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2017;1.8;38.3;0.9;2.2;89.0;7.9;3.0;0.0;4.3;11.9;78.4;5.4
34;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2018;2.2;42.6;1.2;2.6;88.1;9.3;2.6;0.0;5.4;12.3;75.6;6.8
35;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2019;2.4;42.1;1.2;3.0;88.2;8.8;2.9;0.1;5.0;11.5;75.8;7.8
36;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2020;2.4;41.6;1.1;2.8;84.0;12.7;3.2;0.1;4.7;9.4;75.9;9.9
37;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2021;2.6;43.1;1.2;3.2;82.5;14.2;3.0;0.2;4.0;11.3;74.7;9.9
38;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2022;3.0;52.2;1.5;3.7;81.2;16.8;2.0;0.1;3.5;9.6;78.7;8.2
39;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2023;2.7;48.7;1.5;3.3;86.5;10.8;2.6;0.1;3.4;9.7;79.0;7.9
40;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2014;1.7;35.3;0.9;1.9;87.5;6.9;2.1;0.0;3.7;10.7;76.1;4.4
41;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2015;1.5;35.5;0.8;1.9;87.5;7.6;2.2;0.1;3.1;9.2;78.1;5.7
42;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2016;1.8;38.2;0.9;2.1;87.9;7.8;1.7;0.1;3.8;11.4;76.7;4.0
43;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2017;1.7;37.0;0.9;2.0;87.9;7.0;2.4;0.0;3.7;10.8;76.9;4.6
44;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2018;2.1;41.5;1.1;2.4;87.1;8.5;2.2;0.0;4.7;11.4;74.3;6.0
45;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2019;2.2;41.0;1.1;2.7;87.2;8.0;2.4;0.1;4.4;10.6;74.5;7.0
46;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2020;2.2;40.5;1.1;2.6;82.8;11.7;2.7;0.1;4.1;8.6;74.6;9.0
47;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2021;2.4;41.8;1.1;2.9;81.2;13.0;2.5;0.1;3.4;10.2;73.2;8.9
48;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2022;2.8;51.0;1.5;3.5;80.0;15.8;1.6;0.0;3.0;8.8;77.6;7.5
49;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2023;2.5;47.6;1.4;3.1;85.5;10.0;2.2;0.0;2.9;8.9;77.9;7.2
50;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2014;2.2;38.4;1.2;2.6;90.3;9.2;3.8;0.7;5.4;13.5;79.8;6.9
51;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2015;1.9;38.0;0.9;2.3;89.8;9.6;3.3;0.3;4.4;11.3;80.9;7.6
52;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2016;2.2;40.7;1.1;2.7;90.1;9.8;2.7;0.3;5.3;13.7;79.6;5.7
53;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2017;2.0;39.6;1.0;2.3;90.1;8.9;3.7;0.2;5.1;13.1;79.8;6.4
54;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2018;2.4;43.6;1.2;2.8;89.0;10.2;3.1;0.1;6.1;13.3;76.8;7.6
55;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2019;2.6;43.2;1.3;3.2;89.1;9.7;3.4;0.3;5.7;12.4;77.0;8.7
56;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2020;2.5;42.8;1.2;3.0;85.1;13.8;3.8;0.3;5.4;10.3;77.3;11.0
57;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2021;2.8;44.4;1.3;3.5;83.9;15.5;3.7;0.6;4.8;12.5;76.3;11.1
58;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2022;3.2;53.3;1.6;4.0;82.2;17.9;2.4;0.2;4.0;10.4;79.8;9.0
59;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2023;2.8;49.9;1.5;3.6;87.5;11.7;3.1;0.2;4.0;10.5;80.1;8.7
60;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2014;3.0;48.1;1.1;5.4;77.1;15.0;7.3;0.6;7.8;15.3;72.6;4.3
61;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2015;3.3;49.7;1.1;5.9;77.4;14.1;8.1;0.4;7.2;14.2;74.3;4.4
62;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2016;3.2;51.5;1.3;5.8;76.7;14.8;8.1;0.5;8.2;15.9;71.6;4.3
63;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2017;3.2;48.6;1.2;5.7;78.6;13.8;7.0;0.6;8.4;16.1;70.9;4.6
64;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2018;3.8;53.4;1.4;6.9;75.9;15.4;8.1;0.6;9.2;15.9;70.0;4.9
65;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2019;3.8;53.2;1.4;7.0;76.3;14.5;8.5;0.6;9.1;16.9;68.6;5.4
66;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2020;3.7;48.6;1.3;6.7;72.3;18.4;8.7;0.6;8.7;15.8;69.3;6.2
67;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2021;4.2;50.3;1.3;7.5;69.9;19.0;10.4;0.7;10.5;16.5;66.9;6.2
68;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2022;4.7;65.2;1.7;8.4;69.9;23.2;6.4;0.5;7.1;13.2;73.6;6.1
69;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2023;4.5;58.7;1.6;8.1;75.7;17.1;6.5;0.7;7.5;13.5;73.1;6.0
70;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2014;2.7;46.8;1.0;4.8;75.9;13.9;6.6;0.4;7.0;14.2;71.2;3.7
71;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2015;3.0;48.5;1.1;5.4;76.3;13.2;7.4;0.3;6.5;13.3;73.1;3.8
72;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2016;3.0;50.2;1.2;5.3;75.4;13.9;7.1;0.3;7.5;14.8;70.3;3.7
73;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2017;2.9;47.4;1.1;5.2;77.5;12.9;6.3;0.4;7.7;15.1;69.7;4.0
74;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2018;3.6;52.4;1.4;6.5;74.9;14.6;7.5;0.4;8.6;15.1;69.0;4.4
75;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2019;3.6;52.1;1.3;6.5;75.3;13.7;7.8;0.5;8.4;16.1;67.4;4.9
76;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2020;3.5;47.6;1.2;6.2;71.2;17.4;8.0;0.4;8.0;14.9;68.2;5.6
77;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2021;3.9;49.2;1.2;6.9;68.6;18.0;9.7;0.5;9.7;15.5;65.6;5.5
78;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2022;4.4;64.2;1.7;8.0;68.9;22.2;5.9;0.4;6.6;12.4;72.7;5.6
79;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2023;4.2;57.7;1.5;7.6;74.7;16.3;6.0;0.5;6.9;12.8;72.1;5.4
80;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2014;3.3;49.4;1.2;5.9;78.4;16.1;8.2;0.9;8.7;16.4;73.9;5.0
81;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2015;3.6;50.9;1.2;6.4;78.5;15.0;8.9;0.6;7.9;15.1;75.4;5.0
82;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2016;3.5;52.7;1.3;6.2;77.9;15.8;9.1;0.7;9.0;17.1;72.9;4.9
83;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2017;3.4;49.8;1.2;6.2;79.7;14.8;7.7;0.8;9.2;17.1;72.2;5.2
84;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2018;4.1;54.4;1.5;7.4;76.9;16.3;8.8;0.8;9.9;16.7;71.1;5.4
85;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2019;4.1;54.3;1.5;7.5;77.4;15.4;9.2;0.8;9.8;17.9;69.7;6.0
86;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2020;4.0;49.7;1.3;7.2;73.4;19.3;9.4;0.8;9.4;16.7;70.4;6.8
87;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2021;4.5;51.5;1.4;8.1;71.1;20.1;11.3;0.9;11.3;17.5;68.2;6.9
88;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2022;4.9;66.1;1.8;8.9;70.9;24.1;7.0;0.7;7.7;13.9;74.6;6.6
89;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2023;4.8;59.7;1.7;8.6;76.6;18.0;7.1;0.9;8.1;14.3;74.0;6.5
90;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2014;3.8;46.2;1.0;6.7;71.0;18.7;9.3;0.9;7.7;15.2;72.7;4.3
91;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2015;3.8;48.9;1.0;6.9;71.1;18.3;9.9;0.8;7.3;13.9;73.7;5.1
92;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2016;3.6;49.1;1.1;6.4;71.7;18.0;9.5;0.7;7.8;14.0;73.7;4.4
93;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2017;3.9;46.7;1.1;6.7;73.2;16.5;9.6;0.8;8.9;13.9;72.3;4.9
94;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2018;4.2;51.1;1.3;7.5;70.1;18.0;10.9;1.0;8.6;15.3;71.4;4.7
95;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2019;4.4;49.6;1.2;7.8;70.8;16.8;11.4;1.0;8.5;14.5;71.3;5.7
96;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2020;4.4;46.5;1.1;7.9;67.7;20.1;11.2;1.0;9.3;14.3;70.1;6.2
97;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2021;4.3;45.4;1.2;7.6;65.3;21.3;12.0;1.4;9.3;14.1;70.0;6.6
98;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2022;5.5;61.5;1.5;9.7;64.4;26.2;8.5;0.9;7.3;11.5;74.6;6.5
99;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2023;4.9;54.1;1.4;8.6;70.5;20.0;8.4;1.1;6.8;12.7;74.0;6.4
100;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2014;3.5;45.0;0.9;6.2;69.8;17.7;8.6;0.7;7.0;14.3;71.5;3.8
101;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2015;3.6;47.8;1.0;6.3;69.9;17.3;9.2;0.6;6.7;13.0;72.6;4.6
102;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2016;3.3;48.0;1.1;5.9;70.5;17.1;8.8;0.6;7.1;13.2;72.6;3.9
103;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2017;3.6;45.6;1.0;6.2;72.0;15.5;8.8;0.6;8.2;13.0;71.2;4.4
104;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2018;4.0;50.1;1.2;7.0;69.1;17.2;10.2;0.8;8.0;14.5;70.4;4.2
105;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2019;4.1;48.6;1.2;7.3;69.7;15.9;10.7;0.8;7.9;13.7;70.2;5.2
106;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2020;4.1;45.5;1.1;7.4;66.6;19.2;10.4;0.8;8.7;13.5;69.1;5.7
107;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2021;4.0;44.3;1.1;7.1;64.1;20.3;11.2;1.1;8.6;13.2;68.9;6.0
108;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2022;5.2;60.5;1.5;9.2;63.3;25.3;7.9;0.8;6.8;10.9;73.7;6.0
109;Totaal mannen en vrouwen;35 tot 45 jaar;Ondergrens 95%-interval;2023;4.6;53.1;1.3;8.1;69.5;19.1;7.8;0.9;6.3;12.0;73.1;5.9
110;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2014;4.1;47.4;1.1;7.3;72.2;19.8;10.1;1.2;8.4;16.2;73.9;4.9
111;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2015;4.1;50.0;1.1;7.4;72.2;19.2;10.6;1.0;8.0;14.7;74.8;5.7
112;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2016;3.8;50.2;1.2;6.9;72.8;19.0;10.3;1.0;8.5;14.9;74.8;5.0
113;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2017;4.2;47.9;1.1;7.3;74.3;17.4;10.3;1.1;9.6;14.8;73.5;5.5
114;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2018;4.5;52.1;1.4;8.0;71.1;18.9;11.6;1.2;9.3;16.1;72.4;5.2
115;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2019;4.7;50.6;1.3;8.3;71.8;17.7;12.2;1.3;9.2;15.3;72.3;6.3
116;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2020;4.7;47.5;1.2;8.4;68.8;21.1;11.9;1.3;10.0;15.1;71.2;6.8
117;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2021;4.6;46.5;1.2;8.2;66.5;22.3;12.9;1.7;10.0;15.0;71.2;7.3
118;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2022;5.8;62.5;1.6;10.3;65.4;27.2;9.1;1.2;7.9;12.2;75.6;7.1
119;Totaal mannen en vrouwen;35 tot 45 jaar;Bovengrens 95%-interval;2023;5.2;55.1;1.5;9.1;71.5;20.8;9.0;1.4;7.4;13.4;75.0;7.0
120;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2014;4.1;41.8;0.9;7.3;63.4;23.3;12.3;1.1;9.8;15.4;69.3;5.5
121;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2015;4.7;44.3;1.0;8.6;59.9;24.1;14.4;1.5;9.4;14.3;70.7;5.6
122;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2016;4.2;45.0;1.0;7.9;62.3;22.7;13.6;1.4;9.5;15.6;69.7;5.3
123;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2017;4.5;43.0;1.0;8.2;63.7;22.0;12.9;1.4;10.5;14.8;68.8;5.9
124;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2018;4.7;46.4;1.1;8.5;62.1;23.1;13.5;1.3;10.7;14.9;68.9;5.5
125;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2019;4.8;43.8;1.0;8.9;62.0;22.0;14.2;1.9;10.4;15.3;68.2;6.0
126;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2020;4.5;40.9;1.0;8.1;59.5;24.6;14.2;1.7;9.9;13.7;70.2;6.1
127;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2021;4.9;40.3;1.1;8.9;56.3;24.9;16.7;2.0;11.1;14.8;66.8;7.3
128;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2022;5.7;55.6;1.4;10.2;58.4;29.5;10.7;1.4;8.2;11.6;73.5;6.7
129;Totaal mannen en vrouwen;45 tot 55 jaar;Waarde;2023;4.9;47.0;1.2;8.7;63.8;24.0;10.9;1.3;7.7;11.9;73.8;6.6
130;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2014;3.8;40.8;0.9;6.8;62.2;22.3;11.5;0.9;9.1;14.6;68.2;5.0
131;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2015;4.4;43.3;0.9;8.1;58.9;23.2;13.7;1.3;8.8;13.6;69.7;5.1
132;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2016;4.0;44.1;1.0;7.4;61.2;21.8;12.9;1.2;8.8;14.8;68.7;4.8
133;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2017;4.2;42.0;0.9;7.7;62.6;21.1;12.1;1.2;9.8;14.1;67.7;5.4
134;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2018;4.5;45.6;1.0;8.0;61.1;22.2;12.8;1.1;10.1;14.2;68.1;5.1
135;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2019;4.5;42.9;1.0;8.4;60.9;21.2;13.4;1.6;9.8;14.6;67.3;5.6
136;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2020;4.2;40.0;1.0;7.6;58.4;23.7;13.5;1.4;9.3;13.0;69.3;5.6
137;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2021;4.6;39.3;1.0;8.3;55.2;23.9;15.9;1.7;10.4;14.0;65.7;6.7
138;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2022;5.3;54.7;1.3;9.7;57.4;28.5;10.0;1.2;7.7;11.0;72.6;6.1
139;Totaal mannen en vrouwen;45 tot 55 jaar;Ondergrens 95%-interval;2023;4.6;46.1;1.1;8.2;62.8;23.1;10.3;1.1;7.1;11.2;72.9;6.1
140;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2014;4.3;42.8;1.0;7.8;64.5;24.3;13.1;1.4;10.5;16.3;70.4;6.1
141;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2015;5.0;45.3;1.0;9.2;61.0;25.1;15.2;1.8;10.0;15.1;71.7;6.2
142;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2016;4.5;46.0;1.1;8.3;63.3;23.6;14.4;1.7;10.1;16.4;70.7;5.8
143;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2017;4.8;44.0;1.0;8.8;64.8;22.9;13.7;1.7;11.2;15.7;69.8;6.5
144;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2018;5.0;47.3;1.1;8.9;63.1;23.9;14.2;1.6;11.3;15.6;69.8;5.9
145;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2019;5.1;44.7;1.1;9.4;63.0;22.9;14.9;2.2;11.1;16.1;69.1;6.5
146;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2020;4.8;41.8;1.1;8.6;60.5;25.6;15.0;2.0;10.5;14.5;71.2;6.7
147;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2021;5.2;41.3;1.1;9.5;57.5;25.9;17.6;2.4;11.9;15.6;67.8;8.0
148;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2022;6.0;56.6;1.4;10.8;59.5;30.4;11.3;1.7;8.8;12.3;74.4;7.2
149;Totaal mannen en vrouwen;45 tot 55 jaar;Bovengrens 95%-interval;2023;5.2;48.0;1.3;9.2;64.8;24.9;11.6;1.6;8.2;12.6;74.7;7.2
150;Totaal mannen en vrouwen;55 tot 65 jaar;Waarde;2014;5.8;42.0;1.1;10.3;54.1;26.0;17.9;2.0;11.4;16.0;65.7;7.0
151;Totaal mannen en vrouwen;55 tot 65 jaar;Waarde;2015;6.1;45.0;1.1;10.7;52.1;26.5;19.5;1.8;10.6;14.1;68.8;6.5
