ID;Persoonskenmerken;Cijfersoort;Perioden;GeweldsdelictenTotaal_1;Mishandeling_2;Bedreiging_3;GeweldMetSeksueleBedoelingen_4;VermogensdelictenTotaal_5;PogingTotInbraak_6;PogingTotInbraak_7;Inbraak_8;Fietsdiefstal_9;Autodiefstal_10;DiefstalUitOfVanafAuto_11;DiefstalAndereVoertuigen_12;PogingTotZakkenrollerijBeroving_13;ZakkenrollerijZonderGeweld_14;ZakkenrollerijMetGeweld_15;OverigeDiefstal_16;VandalismedelictenTotaal_17;VernielingenAanVoertuigen_18;OverigeVernielingen_19;SlachtofferschapTotaal_20;CybercrimeTotaal_21;Identiteitsfraude_22;KoopEnVerkoopfraude_23;Hacken_24;Cyberpesten_25
12;Leeftijd: 65 jaar of ouder;1;2012;0.9;0.2;0.5;0.0;8.4;2.4;1.3;1.0;1.3;0.3;1.7;0.4;2.2;1.6;0.0;1.9;4.8;2.6;2.2;12.3;5.1;0.8;0.7;3.0;0.9
13;Leeftijd: 65 jaar of ouder;2;2012;0.2;0.1;0.1;0.0;0.5;0.3;0.2;0.2;0.2;0.1;0.2;0.1;0.3;0.2;0.0;0.2;0.4;0.3;0.3;0.6;0.4;0.2;0.2;0.3;0.2
14;Leeftijd: 15 tot 18 jaar;1;2012;5.3;2.8;1.9;0.2;16.5;2.4;1.1;1.3;7.4;0.0;0.3;0.8;4.8;3.3;0.3;4.4;5.3;3.2;2.1;23.0;20.4;0.4;3.4;9.4;10.6
15;Leeftijd: 15 tot 18 jaar;2;2012;1.0;0.7;0.6;0.2;1.7;0.7;0.4;0.6;1.3;0.0;0.3;0.5;1.0;0.8;0.3;1.0;0.9;0.8;0.6;1.9;1.8;0.2;0.7;1.3;1.4
16;Leeftijd: 18 tot 25 jaar;1;2012;5.4;2.3;2.9;0.2;19.9;3.5;2.1;1.4;8.9;0.2;1.9;0.9;4.1;2.9;0.3;5.2;8.9;6.1;2.8;28.2;18.9;1.2;5.0;9.0;6.4
17;Leeftijd: 18 tot 25 jaar;2;2012;0.8;0.5;0.6;0.2;1.4;0.7;0.5;0.5;1.0;0.2;0.5;0.4;0.7;0.6;0.2;0.8;1.0;0.9;0.6;1.6;1.4;0.4;0.8;1.0;0.9
18;Leeftijd: 25 tot 35 jaar;1;2012;3.2;1.0;2.1;0.2;16.1;3.2;2.0;1.1;5.3;0.3;3.6;0.8;2.4;1.9;0.1;3.9;10.0;7.2;2.9;24.5;16.8;2.0;4.7;8.8;3.1
19;Leeftijd: 25 tot 35 jaar;2;2012;0.5;0.3;0.4;0.1;1.1;0.5;0.4;0.3;0.7;0.2;0.5;0.3;0.4;0.4;0.1;0.5;0.8;0.7;0.5;1.2;1.0;0.4;0.6;0.8;0.5
20;Leeftijd: 35 tot 45 jaar;1;2012;2.5;0.8;1.7;0.1;13.0;2.7;1.5;1.3;3.1;0.1;3.2;0.6;1.8;1.2;0.0;4.2;8.2;5.2;2.9;20.3;13.4;1.9;3.6;6.2;3.1
21;Leeftijd: 35 tot 45 jaar;2;2012;0.4;0.2;0.3;0.1;0.8;0.4;0.3;0.3;0.4;0.1;0.4;0.2;0.3;0.3;0.0;0.5;0.6;0.5;0.4;0.9;0.8;0.3;0.4;0.6;0.4
22;Leeftijd: 45 tot 55 jaar;1;2012;2.5;0.7;1.7;0.1;14.0;3.3;1.9;1.3;3.0;0.3;3.2;0.8;1.7;1.2;0.1;5.2;8.8;5.4;3.3;21.2;11.4;1.9;3.0;5.3;2.6
23;Leeftijd: 45 tot 55 jaar;2;2012;0.4;0.2;0.3;0.1;0.7;0.4;0.4;0.2;0.4;0.1;0.4;0.2;0.3;0.2;0.1;0.4;0.6;0.5;0.4;0.9;0.7;0.3;0.4;0.5;0.3
24;Leeftijd: 55 tot 65 jaar;1;2012;1.6;0.3;1.2;;10.5;3.1;1.8;1.3;2.0;0.1;2.4;0.5;1.5;1.1;;2.8;7.2;4.4;2.8;16.6;8.5;1.7;1.8;4.4;1.5
25;Leeftijd: 55 tot 65 jaar;2;2012;0.3;0.1;0.2;;0.6;0.4;0.3;0.3;0.3;0.1;0.3;0.2;0.2;0.2;;0.3;0.5;0.4;0.3;0.8;0.5;0.3;0.3;0.4;0.2
26;Leeftijd: 65 tot 75 jaar;1;2012;1.0;0.2;0.7;0.0;8.5;2.5;1.4;1.0;1.3;0.3;1.9;0.4;2.0;1.5;0.0;2.1;5.5;3.0;2.4;13.0;6.3;1.0;1.0;3.7;1.0
27;Leeftijd: 65 tot 75 jaar;2;2012;0.2;0.1;0.2;0.0;0.6;0.4;0.3;0.2;0.3;0.2;0.3;0.1;0.3;0.3;0.0;0.3;0.5;0.4;0.3;0.7;0.6;0.2;0.2;0.4;0.2
28;Leeftijd: 75 jaar of ouder;1;2012;0.7;0.2;0.3;;8.2;2.3;1.2;1.1;1.2;0.2;1.5;0.4;2.4;1.9;;1.7;3.5;1.8;1.7;11.0;2.9;0.5;0.2;1.8;0.7
29;Leeftijd: 75 jaar of ouder;2;2012;0.2;0.2;0.2;;0.8;0.4;0.3;0.3;0.3;0.1;0.4;0.2;0.5;0.4;;0.4;0.5;0.4;0.4;0.9;0.5;0.2;0.1;0.4;0.2
30;Burgerlijke staat: ongehuwd;1;2012;4.2;1.6;2.3;0.2;16.7;3.1;1.8;1.3;6.4;0.2;2.6;0.9;3.2;2.2;0.2;4.4;8.8;6.0;2.9;24.6;16.5;1.4;4.0;8.0;5.3
31;Burgerlijke staat: ongehuwd;2;2012;0.4;0.2;0.3;0.1;0.7;0.3;0.2;0.2;0.5;0.1;0.3;0.2;0.3;0.3;0.1;0.4;0.5;0.4;0.3;0.8;0.6;0.2;0.3;0.5;0.4
32;Burgerlijke staat: gehuwd/partnerschap;1;2012;1.6;0.4;1.1;0.0;11.2;2.8;1.6;1.2;2.0;0.2;2.5;0.5;1.6;1.2;0.0;3.7;7.0;4.2;2.7;17.2;9.8;1.7;2.5;5.0;1.6
33;Burgerlijke staat: gehuwd/partnerschap;2;2012;0.2;0.1;0.1;0.0;0.4;0.2;0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.1;0.0;0.2;0.3;0.2;0.2;0.5;0.4;0.2;0.2;0.3;0.2
34;Burgerlijke staat: verweduwd;1;2012;0.8;0.2;0.4;0.0;9.2;2.8;1.7;1.1;1.7;0.4;2.0;0.4;2.8;1.9;;1.8;5.4;2.8;2.6;13.1;3.7;0.6;0.6;1.8;0.9
35;Burgerlijke staat: verweduwd;2;2012;0.4;0.1;0.2;0.0;1.1;0.6;0.5;0.4;0.6;0.4;0.6;0.2;0.6;0.5;;0.6;0.8;0.6;0.6;1.2;0.6;0.3;0.2;0.4;0.3
36;Burgerlijke staat: gescheiden;1;2012;3.0;0.8;2.1;0.1;13.0;3.2;1.9;1.2;3.5;0.3;3.1;0.7;2.2;1.6;0.1;3.5;8.4;5.8;2.6;20.3;13.1;1.6;2.8;6.1;4.1
37;Burgerlijke staat: gescheiden;2;2012;0.6;0.3;0.5;0.1;1.1;0.7;0.6;0.4;0.7;0.2;0.6;0.3;0.5;0.5;0.1;0.6;0.9;0.8;0.5;1.3;1.1;0.4;0.5;0.9;0.7
38;Herkomst: autochtoon;1;2012;2.5;0.9;1.6;0.1;12.6;2.6;1.5;1.1;3.3;0.2;2.3;0.5;2.1;1.6;0.1;3.9;7.7;5.0;2.8;19.4;12.0;1.5;2.9;5.9;3.0
39;Herkomst: autochtoon;2;2012;0.2;0.1;0.1;0.0;0.3;0.2;0.1;0.1;0.2;0.0;0.2;0.1;0.1;0.1;0.0;0.2;0.3;0.2;0.2;0.4;0.3;0.1;0.2;0.2;0.2
40;Herkomst: westerse allochtoon;1;2012;2.5;0.6;1.8;;13.4;2.4;1.2;1.2;3.9;0.3;3.3;0.7;2.2;1.7;;3.2;6.9;4.3;2.6;19.6;12.4;1.5;3.3;6.3;3.0
41;Herkomst: westerse allochtoon;2;2012;0.5;0.2;0.5;;1.0;0.4;0.3;0.3;0.7;0.2;0.6;0.3;0.4;0.4;;0.5;0.7;0.6;0.4;1.2;1.0;0.4;0.5;0.8;0.5
42;Herkomst: niet-westerse allochtoon;1;2012;3.2;1.2;1.3;0.2;17.7;5.6;3.4;2.2;6.4;0.5;3.6;1.5;3.4;2.1;0.3;3.4;7.9;4.9;3.0;23.6;12.4;1.4;3.1;6.4;3.7
43;Herkomst: niet-westerse allochtoon;2;2012;0.7;0.5;0.4;0.2;1.6;1.0;0.8;0.6;1.0;0.3;0.7;0.5;0.8;0.6;0.2;0.7;1.1;0.8;0.7;1.7;1.3;0.4;0.7;1.0;0.7
44;Herkomst: Suriname;1;2012;4.2;1.3;2.6;;13.6;5.1;3.6;1.5;5.4;;3.0;1.4;2.6;1.5;0.6;2.2;9.0;5.5;3.5;21.4;14.4;1.6;2.5;8.0;4.7
45;Herkomst: Suriname;2;2012;1.7;1.0;1.3;;2.9;2.0;1.7;1.0;2.1;;1.2;1.3;1.5;1.3;0.5;1.1;2.4;1.9;1.5;3.4;3.1;0.8;1.4;2.6;1.9
46;Herkomst: Nederlandse Antillen of Aruba;1;2012;1.1;;;0.0;16.1;3.2;;;6.9;;3.9;0.9;2.8;1.1;0.0;3.6;11.0;7.1;4.0;24.0;19.3;2.3;5.8;8.5;5.3
47;Herkomst: Nederlandse Antillen of Aruba;2;2012;1.0;;;0.0;5.5;3.1;;;4.2;;2.7;0.8;2.0;0.7;0.0;2.4;4.9;4.1;3.1;6.4;5.6;2.1;3.1;4.0;3.3
48;Herkomst: Turkije;1;2012;2.5;1.6;0.7;;19.3;7.3;4.2;3.1;5.7;;5.8;2.0;1.7;1.1;0.1;4.0;8.3;5.2;3.1;25.1;11.5;1.2;4.1;4.9;3.2
49;Herkomst: Turkije;2;2012;1.6;1.4;0.7;;3.5;2.3;1.7;1.6;2.1;;2.2;1.3;0.9;0.7;0.1;1.7;2.5;1.9;1.6;3.9;3.0;0.9;2.0;2.3;1.5
50;Herkomst: Marokko;1;2012;5.0;1.8;;;22.1;6.2;4.6;1.6;11.3;;3.0;3.1;5.6;3.1;;6.6;8.6;4.9;3.7;26.9;9.8;;2.1;6.6;2.7
51;Herkomst: Marokko;2;2012;3.0;1.6;;;5.2;3.1;2.7;1.4;4.0;;1.7;2.3;3.0;2.1;;3.3;3.3;2.2;2.5;5.4;3.4;;1.9;3.0;2.1
52;Herkomst:niet-westers allochtoon, overig;1;2012;2.6;1.0;1.1;;17.9;5.1;2.4;2.7;5.5;;2.9;0.9;4.2;2.7;0.5;2.6;6.2;4.0;2.2;22.9;11.3;1.3;2.7;5.7;3.3
53;Herkomst:niet-westers allochtoon, overig;2;2012;1.0;0.5;0.7;;2.4;1.5;1.0;1.1;1.4;;1.1;0.5;1.4;1.1;0.5;0.9;1.4;1.2;0.8;2.6;1.9;0.7;1.1;1.3;1.0
54;Onderwijsniveau: lager onderwijs;1;2012;2.3;0.8;1.3;0.1;11.4;3.1;1.8;1.3;2.8;0.2;2.1;0.7;2.1;1.4;0.1;3.0;6.4;4.0;2.4;17.0;9.1;1.1;1.6;4.3;3.2
55;Onderwijsniveau: lager onderwijs;2;2012;0.3;0.2;0.2;0.0;0.5;0.3;0.3;0.2;0.3;0.1;0.2;0.1;0.3;0.2;0.1;0.3;0.4;0.3;0.2;0.6;0.5;0.2;0.2;0.3;0.3
56;Onderwijsniveau: middelbaar;1;2012;3.0;1.1;1.8;0.1;13.3;2.6;1.6;1.0;3.5;0.2;2.7;0.5;2.4;1.7;0.1;4.0;8.0;5.2;2.8;20.4;13.8;1.6;3.8;6.5;3.6
57;Onderwijsniveau: middelbaar;2;2012;0.3;0.2;0.2;0.1;0.6;0.3;0.2;0.2;0.3;0.1;0.3;0.1;0.3;0.2;0.1;0.3;0.5;0.4;0.3;0.7;0.6;0.2;0.3;0.4;0.3
58;Onderwijsniveau: hoog;1;2012;2.6;0.8;1.7;0.1;15.2;3.0;1.6;1.3;4.7;0.1;2.9;0.7;2.3;1.7;0.1;4.6;9.2;6.1;3.1;22.9;14.3;2.0;3.7;7.5;2.4
59;Onderwijsniveau: hoog;2;2012;0.3;0.2;0.2;0.1;0.6;0.3;0.2;0.2;0.4;0.1;0.3;0.2;0.3;0.2;0.1;0.3;0.5;0.4;0.3;0.7;0.6;0.2;0.3;0.5;0.3
60;Onderwijsniveau: basisonderwijs;1;2012;2.7;1.2;1.3;;12.5;2.9;1.9;1.0;3.9;;1.2;0.5;2.9;2.0;0.2;3.7;6.1;4.1;2.0;17.8;11.1;0.5;1.3;5.3;5.1
61;Onderwijsniveau: basisonderwijs;2;2012;0.9;0.5;0.6;;1.7;0.8;0.7;0.5;1.2;;0.4;0.3;0.8;0.7;0.2;0.9;1.1;1.0;0.6;1.9;1.6;0.3;0.6;1.1;1.2
62;Onderwijsniveau: mavo, vbo;1;2012;2.1;0.7;1.3;0.0;11.4;3.1;1.7;1.3;2.6;0.2;2.3;0.7;2.0;1.4;0.1;3.0;6.7;4.2;2.5;17.2;8.9;1.2;1.6;4.2;2.8
63;Onderwijsniveau: mavo, vbo;2;2012;0.3;0.2;0.2;0.0;0.6;0.3;0.3;0.2;0.3;0.1;0.3;0.2;0.3;0.2;0.1;0.3;0.4;0.4;0.3;0.7;0.5;0.2;0.2;0.4;0.3
64;Onderwijsniveau: havo, vwo, mbo;1;2012;3.0;1.1;1.8;0.1;13.3;2.6;1.6;1.0;3.5;0.2;2.7;0.5;2.4;1.7;0.1;4.0;8.0;5.2;2.8;20.4;13.8;1.6;3.8;6.5;3.6
65;Onderwijsniveau: havo, vwo, mbo;2;2012;0.3;0.2;0.2;0.1;0.6;0.3;0.2;0.2;0.3;0.1;0.3;0.1;0.3;0.2;0.1;0.3;0.5;0.4;0.3;0.7;0.6;0.2;0.3;0.4;0.3
66;Onderwijsniveau: hbo;1;2012;2.8;0.9;1.8;;14.7;2.9;1.6;1.3;4.5;0.2;2.7;0.5;2.4;1.8;0.1;4.4;9.1;5.8;3.2;22.5;14.5;1.9;3.9;7.5;2.6
67;Onderwijsniveau: hbo;2;2012;0.4;0.2;0.3;;0.7;0.3;0.2;0.2;0.5;0.1;0.3;0.2;0.3;0.3;0.1;0.4;0.6;0.5;0.4;0.9;0.7;0.3;0.4;0.5;0.3
68;Onderwijsniveau: wo;1;2012;2.1;0.5;1.5;0.1;16.3;3.2;1.7;1.5;5.3;;3.3;1.0;2.0;1.6;0.2;4.9;9.5;6.7;2.8;23.8;13.7;2.4;3.1;7.6;2.0
69;Onderwijsniveau: wo;2;2012;0.5;0.2;0.4;0.1;1.2;0.5;0.4;0.4;0.8;;0.6;0.4;0.4;0.4;0.2;0.7;0.9;0.8;0.5;1.4;1.1;0.5;0.6;0.8;0.5
