ID;Geslacht;Leeftijd;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDatHeeftVerzuimd_2;GemiddeldeVerzuimfrequentie_3;GemiddeldeVerzuimduur_4;k_1Tot5Werkdagen_5;k_5Tot20Werkdagen_6;k_20Tot210Werkdagen_7;k_210WerkdagenOfMeer_8;JaHoofdzakelijkGevolgVanMijnWerk_9;JaVoorEenDeelGevolgVanMijnWerk_10;NeeGeenGevolgVanMijnWerk_11;WeetNiet_12
26;Totaal mannen en vrouwen;25 tot 35 jaar;2013;3.4;53.2;1.2;6.1;73.1;18.9;7.6;0.4;7.8;14.3;73.1;4.9
27;Totaal mannen en vrouwen;35 tot 45 jaar;2005;4.8;57.1;1.2;8.7;61.3;26.9;11.1;0.8;10.8;16.1;68.0;5.0
28;Totaal mannen en vrouwen;35 tot 45 jaar;2006;4.5;53.3;1.1;8.1;65.3;21.9;11.8;0.9;10.3;17.2;68.6;3.9
29;Totaal mannen en vrouwen;35 tot 45 jaar;2007;4.1;51.5;1.1;7.4;63.9;23.2;11.8;1.1;9.1;16.6;69.4;4.9
30;Totaal mannen en vrouwen;35 tot 45 jaar;2008;4.0;53.5;1.2;7.3;65.8;22.9;10.4;0.8;8.6;15.6;71.3;4.5
31;Totaal mannen en vrouwen;35 tot 45 jaar;2009;4.0;52.2;1.0;7.4;67.2;21.9;10.2;0.7;6.8;16.5;72.3;4.3
32;Totaal mannen en vrouwen;35 tot 45 jaar;2010;4.1;52.4;1.0;7.6;66.8;21.6;10.7;0.8;8.9;15.7;71.0;4.4
33;Totaal mannen en vrouwen;35 tot 45 jaar;2011;4.3;51.1;1.1;7.7;66.2;20.6;12.3;0.9;9.2;16.5;70.6;3.7
34;Totaal mannen en vrouwen;35 tot 45 jaar;2012;4.1;49.2;1.0;7.3;66.4;22.2;10.3;1.0;8.5;16.3;70.9;4.3
35;Totaal mannen en vrouwen;35 tot 45 jaar;2013;3.9;49.9;1.0;6.9;66.3;22.0;10.9;0.8;7.8;15.0;71.8;5.4
36;Totaal mannen en vrouwen;45 tot 55 jaar;2005;5.4;50.6;1.2;10.1;53.7;29.2;15.9;1.2;12.5;18.7;64.3;4.6
37;Totaal mannen en vrouwen;45 tot 55 jaar;2006;5.0;49.0;1.1;9.2;57.9;24.7;15.9;1.5;13.2;18.0;63.5;5.3
38;Totaal mannen en vrouwen;45 tot 55 jaar;2007;4.6;48.6;1.1;8.8;56.9;25.9;15.7;1.5;12.2;17.6;65.5;4.6
39;Totaal mannen en vrouwen;45 tot 55 jaar;2008;4.5;49.6;1.1;8.2;57.3;27.6;13.9;1.2;10.6;15.6;68.7;5.0
40;Totaal mannen en vrouwen;45 tot 55 jaar;2009;4.4;49.0;1.1;8.0;58.3;26.8;14.1;0.8;10.0;16.2;68.4;5.3
41;Totaal mannen en vrouwen;45 tot 55 jaar;2010;4.6;47.4;1.0;8.5;57.7;25.5;15.6;1.1;10.9;17.7;66.7;4.6
42;Totaal mannen en vrouwen;45 tot 55 jaar;2011;4.8;47.0;1.0;8.9;59.5;25.0;14.1;1.4;11.0;17.5;66.4;5.1
43;Totaal mannen en vrouwen;45 tot 55 jaar;2012;4.5;45.0;1.0;8.3;57.8;24.9;15.8;1.4;11.1;17.6;65.6;5.6
44;Totaal mannen en vrouwen;45 tot 55 jaar;2013;4.4;46.3;1.0;7.9;57.1;25.5;16.2;1.1;10.2;15.6;68.0;6.2
45;Totaal mannen en vrouwen;55 tot 65 jaar;2005;5.5;45.4;1.1;10.5;47.7;31.4;18.3;2.6;14.6;17.2;61.8;6.5
46;Totaal mannen en vrouwen;55 tot 65 jaar;2006;5.7;42.6;1.0;10.6;46.2;30.1;20.3;3.4;12.9;18.3;64.0;4.8
47;Totaal mannen en vrouwen;55 tot 65 jaar;2007;5.4;43.8;1.1;10.0;49.4;27.9;20.4;2.3;11.8;18.6;63.3;6.2
48;Totaal mannen en vrouwen;55 tot 65 jaar;2008;5.8;46.7;1.1;10.5;49.1;30.6;17.9;2.4;12.2;16.4;65.7;5.7
49;Totaal mannen en vrouwen;55 tot 65 jaar;2009;5.4;46.3;1.0;9.9;50.0;29.1;19.5;1.4;10.7;15.9;65.9;7.4
50;Totaal mannen en vrouwen;55 tot 65 jaar;2010;5.9;45.4;1.1;11.0;50.2;28.3;19.0;2.5;10.4;16.2;67.6;5.8
51;Totaal mannen en vrouwen;55 tot 65 jaar;2011;6.0;45.5;1.1;10.9;49.9;28.5;19.2;2.3;12.0;16.7;65.8;5.6
52;Totaal mannen en vrouwen;55 tot 65 jaar;2012;5.7;43.3;1.0;10.4;48.6;28.0;21.1;2.3;11.7;16.9;64.4;7.0
53;Totaal mannen en vrouwen;55 tot 65 jaar;2013;5.8;45.8;1.2;10.7;49.2;29.1;19.4;2.3;9.8;15.9;66.9;7.4
54;Mannen;Totaal 15 tot 65 jaar;2005;4.2;51.0;1.1;8.5;58.6;28.0;12.5;0.9;13.6;16.9;63.8;5.7
55;Mannen;Totaal 15 tot 65 jaar;2006;4.1;48.6;1.0;8.2;60.0;25.8;12.8;1.4;13.2;18.1;64.1;4.7
56;Mannen;Totaal 15 tot 65 jaar;2007;3.5;46.1;1.0;7.1;60.3;26.5;12.1;1.1;11.6;17.5;66.1;4.7
57;Mannen;Totaal 15 tot 65 jaar;2008;3.5;48.0;1.0;7.0;60.9;27.4;10.7;1.0;11.3;15.9;67.5;5.2
58;Mannen;Totaal 15 tot 65 jaar;2009;3.5;48.2;1.0;6.9;62.2;26.0;11.0;0.7;9.0;16.3;69.0;5.7
59;Mannen;Totaal 15 tot 65 jaar;2010;3.7;46.8;1.0;7.4;62.4;24.6;11.8;1.1;10.1;15.7;69.5;4.7
60;Mannen;Totaal 15 tot 65 jaar;2011;3.8;45.7;1.0;7.5;62.9;24.2;11.6;1.2;11.0;15.2;68.9;5.0
61;Mannen;Totaal 15 tot 65 jaar;2012;3.6;43.8;0.9;7.1;62.6;24.5;11.6;1.3;11.2;15.8;67.6;5.5
62;Mannen;Totaal 15 tot 65 jaar;2013;3.6;45.6;0.9;6.9;61.1;25.6;12.1;1.1;9.9;14.9;68.9;6.3
63;Mannen;15 tot 25 jaar;2005;2.2;44.5;1.1;4.3;76.4;17.8;5.8;0.0;10.8;15.4;67.4;6.4
64;Mannen;15 tot 25 jaar;2006;2.4;44.4;1.0;3.8;75.4;18.3;6.3;0.0;9.2;19.1;66.1;5.7
65;Mannen;15 tot 25 jaar;2007;2.0;42.0;1.0;3.5;77.0;18.8;4.1;0.2;8.3;14.8;71.0;5.9
66;Mannen;15 tot 25 jaar;2008;1.9;40.7;0.9;3.3;73.3;21.3;5.4;0.0;8.5;15.6;71.5;4.4
67;Mannen;15 tot 25 jaar;2009;2.6;43.9;1.1;4.0;73.0;21.0;6.1;0.0;7.0;10.7;75.8;6.5
68;Mannen;15 tot 25 jaar;2010;1.9;42.0;1.0;2.9;78.7;16.4;4.9;0.0;6.4;11.9;77.4;4.3
69;Mannen;15 tot 25 jaar;2011;1.9;36.4;0.9;2.7;78.2;15.2;6.4;0.2;7.2;8.7;79.9;4.1
70;Mannen;15 tot 25 jaar;2012;2.6;39.8;0.9;3.6;78.4;16.5;4.9;0.2;6.7;11.0;75.9;6.4
71;Mannen;15 tot 25 jaar;2013;1.9;38.1;0.8;2.6;78.9;16.0;5.1;0.0;4.6;10.5;78.2;6.6
72;Mannen;25 tot 35 jaar;2005;3.5;56.0;1.3;7.1;67.6;22.8;9.6;0.0;12.0;15.0;67.6;5.4
73;Mannen;25 tot 35 jaar;2006;3.2;54.8;1.1;6.6;66.5;24.6;8.6;0.4;11.9;17.8;66.4;3.9
74;Mannen;25 tot 35 jaar;2007;2.7;48.7;1.0;5.7;69.4;23.8;6.7;0.1;9.5;16.1;70.5;3.9
75;Mannen;25 tot 35 jaar;2008;2.6;53.7;1.1;5.2;72.5;21.5;5.3;0.7;8.9;15.7;71.2;4.1
76;Mannen;25 tot 35 jaar;2009;2.5;54.9;1.1;4.9;73.3;21.2;5.4;0.1;7.3;14.3;74.1;4.3
77;Mannen;25 tot 35 jaar;2010;2.8;48.7;1.0;5.8;70.4;20.7;8.3;0.5;7.9;12.4;76.3;3.4
78;Mannen;25 tot 35 jaar;2011;2.7;50.6;1.0;5.5;72.3;20.4;7.2;0.1;9.8;13.3;71.8;5.1
79;Mannen;25 tot 35 jaar;2012;2.5;47.8;1.0;5.2;74.6;18.9;5.6;0.9;9.4;14.7;72.2;3.7
80;Mannen;25 tot 35 jaar;2013;2.4;48.7;1.0;4.8;71.3;22.9;5.5;0.3;9.1;11.8;73.1;5.9
81;Mannen;35 tot 45 jaar;2005;4.2;55.2;1.1;8.7;57.7;30.4;11.4;0.6;13.5;16.6;63.9;6.0
82;Mannen;35 tot 45 jaar;2006;4.1;50.6;1.0;8.2;61.9;25.4;11.7;1.0;13.0;17.3;65.5;4.2
83;Mannen;35 tot 45 jaar;2007;3.1;48.3;1.0;6.5;61.1;26.6;11.4;0.9;10.8;17.4;67.0;4.8
84;Mannen;35 tot 45 jaar;2008;3.3;50.3;1.1;6.8;62.4;26.9;10.3;0.4;11.5;16.1;66.7;5.6
85;Mannen;35 tot 45 jaar;2009;3.4;49.7;0.9;7.0;64.3;24.8;9.8;1.0;8.3;18.1;68.6;5.0
86;Mannen;35 tot 45 jaar;2010;3.8;51.4;1.0;7.6;64.3;24.4;10.3;1.1;11.5;17.3;66.1;5.2
87;Mannen;35 tot 45 jaar;2011;3.9;49.4;1.0;7.9;64.6;22.9;11.5;1.1;11.5;16.1;68.7;3.6
88;Mannen;35 tot 45 jaar;2012;3.3;46.7;1.0;6.7;63.5;25.9;9.3;1.3;10.8;16.4;67.8;5.0
89;Mannen;35 tot 45 jaar;2013;3.2;48.7;0.9;6.4;63.8;24.6;10.9;0.7;9.7;16.5;67.9;5.9
90;Mannen;45 tot 55 jaar;2005;4.7;47.7;1.1;9.8;51.0;31.8;15.9;1.3;14.5;20.2;60.2;5.1
91;Mannen;45 tot 55 jaar;2006;4.7;47.4;1.0;9.5;54.6;28.1;15.4;1.9;15.1;18.2;61.3;5.4
92;Mannen;45 tot 55 jaar;2007;4.2;45.9;1.0;8.7;52.1;29.7;16.7;1.6;14.3;18.4;63.2;4.1
93;Mannen;45 tot 55 jaar;2008;3.8;46.3;1.0;7.9;52.8;32.3;13.8;1.1;13.1;15.4;66.0;5.5
94;Mannen;45 tot 55 jaar;2009;3.8;45.6;1.0;7.8;53.7;31.1;14.6;0.6;11.0;18.1;65.0;5.9
95;Mannen;45 tot 55 jaar;2010;4.1;45.8;0.9;8.3;54.5;29.2;15.3;1.1;11.9;18.7;64.6;4.8
96;Mannen;45 tot 55 jaar;2011;4.2;44.8;0.9;8.6;56.7;28.9;12.7;1.8;11.6;17.4;65.5;5.5
97;Mannen;45 tot 55 jaar;2012;3.9;41.7;0.9;8.0;54.5;28.3;15.7;1.5;13.7;17.5;62.9;6.0
98;Mannen;45 tot 55 jaar;2013;3.8;45.0;0.9;7.7;53.5;28.7;16.2;1.6;12.0;17.0;64.8;6.2
99;Mannen;55 tot 65 jaar;2005;5.6;46.3;1.1;11.3;44.3;33.2;19.5;2.9;17.3;16.4;60.4;5.8
100;Mannen;55 tot 65 jaar;2006;5.8;41.7;0.9;11.7;41.9;30.9;23.3;3.9;15.5;19.4;60.2;4.8
101;Mannen;55 tot 65 jaar;2007;4.8;42.2;1.0;9.7;47.6;30.5;19.3;2.6;14.2;20.2;59.4;6.1
102;Mannen;55 tot 65 jaar;2008;5.7;45.1;1.0;11.3;45.5;33.6;18.1;2.8;13.6;16.9;63.3;6.2
103;Mannen;55 tot 65 jaar;2009;5.3;44.8;1.0;10.5;46.5;31.5;20.1;1.8;11.6;18.0;62.5;7.9
104;Mannen;55 tot 65 jaar;2010;5.9;43.4;1.0;11.6;47.3;30.0;19.6;3.1;10.9;15.9;67.3;5.9
105;Mannen;55 tot 65 jaar;2011;6.0;44.1;1.0;12.0;45.9;31.2;20.1;2.8;13.6;17.4;62.4;6.6
106;Mannen;55 tot 65 jaar;2012;5.8;41.8;0.9;11.5;43.9;30.8;22.5;2.7;13.9;17.8;61.2;7.2
107;Mannen;55 tot 65 jaar;2013;6.3;45.2;1.1;12.4;43.6;32.5;21.0;2.9;11.7;16.4;64.6;7.3
108;Vrouwen;Totaal 15 tot 65 jaar;2005;5.5;57.6;1.4;9.0;66.1;21.7;11.2;1.0;8.1;15.9;71.8;4.1
109;Vrouwen;Totaal 15 tot 65 jaar;2006;4.9;55.5;1.3;8.0;68.4;19.3;11.5;0.9;8.2;16.0;71.4;4.3
110;Vrouwen;Totaal 15 tot 65 jaar;2007;5.0;53.9;1.3;8.3;67.7;19.1;12.1;1.1;7.7;15.4;72.0;4.9
111;Vrouwen;Totaal 15 tot 65 jaar;2008;4.9;56.7;1.4;8.0;68.7;19.6;10.6;1.1;6.9;15.4;73.9;3.8
112;Vrouwen;Totaal 15 tot 65 jaar;2009;4.6;55.8;1.3;7.5;70.0;18.8;10.6;0.6;6.6;14.5;74.4;4.4
113;Vrouwen;Totaal 15 tot 65 jaar;2010;4.7;53.3;1.3;7.7;68.9;18.8;11.5;0.7;7.2;16.2;72.7;3.9
114;Vrouwen;Totaal 15 tot 65 jaar;2011;4.9;53.1;1.2;7.8;68.2;18.6;12.5;0.7;8.0;16.0;72.3;3.6
115;Vrouwen;Totaal 15 tot 65 jaar;2012;4.7;50.7;1.2;7.5;68.3;18.6;12.2;0.9;7.0;16.9;71.7;4.5
116;Vrouwen;Totaal 15 tot 65 jaar;2013;4.4;50.0;1.2;7.0;69.7;18.1;11.5;0.7;6.6;14.8;73.2;5.4
117;Vrouwen;15 tot 25 jaar;2005;3.8;55.4;1.5;5.7;79.6;14.3;5.7;0.4;5.8;15.5;75.3;3.4
118;Vrouwen;15 tot 25 jaar;2006;3.4;56.0;1.4;5.5;81.2;14.3;3.9;0.6;6.4;14.3;74.3;5.0
119;Vrouwen;15 tot 25 jaar;2007;3.3;48.0;1.2;5.4;82.0;13.9;4.1;0.0;5.6;12.8;74.8;6.7
120;Vrouwen;15 tot 25 jaar;2008;2.9;55.4;1.4;4.4;80.8;14.8;4.4;0.0;5.0;14.4;75.3;5.4
121;Vrouwen;15 tot 25 jaar;2009;2.9;53.2;1.3;3.9;85.1;10.7;4.2;0.0;5.5;11.7;77.5;5.3
122;Vrouwen;15 tot 25 jaar;2010;2.9;51.5;1.4;3.8;84.2;12.0;3.8;0.0;5.7;14.6;75.6;4.1
123;Vrouwen;15 tot 25 jaar;2011;3.0;53.8;1.3;4.0;82.3;11.8;5.8;0.1;4.5;13.3;78.3;3.9
124;Vrouwen;15 tot 25 jaar;2012;2.8;45.5;1.2;3.6;82.0;13.1;4.8;0.1;6.6;15.9;73.3;4.2
125;Vrouwen;15 tot 25 jaar;2013;2.6;44.2;1.2;3.1;88.8;7.9;3.2;0.1;4.1;14.8;75.5;5.6
126;Vrouwen;25 tot 35 jaar;2005;5.8;65.4;1.6;9.6;70.7;18.9;9.4;1.0;7.5;15.1;73.7;3.7
127;Vrouwen;25 tot 35 jaar;2006;5.2;63.2;1.5;8.5;71.3;18.7;9.6;0.5;7.5;14.5;74.2;3.9
128;Vrouwen;25 tot 35 jaar;2007;5.1;60.8;1.4;8.3;72.7;16.9;9.5;0.8;6.8;14.8;75.2;3.2
129;Vrouwen;25 tot 35 jaar;2008;5.3;64.4;1.6;9.0;73.0;17.7;8.4;0.9;6.8;15.6;75.0;2.6
130;Vrouwen;25 tot 35 jaar;2009;4.7;65.5;1.5;8.0;73.3;17.6;8.5;0.6;5.1;16.6;74.8;3.5
131;Vrouwen;25 tot 35 jaar;2010;5.1;62.0;1.5;8.5;71.9;17.7;9.9;0.5;5.8;18.8;72.6;2.8
132;Vrouwen;25 tot 35 jaar;2011;5.1;60.2;1.4;8.6;70.2;18.5;10.9;0.4;8.3;15.9;73.6;2.2
133;Vrouwen;25 tot 35 jaar;2012;4.6;58.8;1.5;7.7;72.7;16.0;10.6;0.7;5.6;17.6;73.2;3.6
134;Vrouwen;25 tot 35 jaar;2013;4.4;57.8;1.3;7.4;74.6;15.5;9.4;0.5;6.6;16.4;73.0;4.0
135;Vrouwen;35 tot 45 jaar;2005;5.4;59.3;1.3;8.8;65.3;23.0;10.8;1.0;8.0;15.6;72.5;3.9
136;Vrouwen;35 tot 45 jaar;2006;4.9;56.5;1.2;8.0;68.9;18.3;12.0;0.8;7.6;17.0;71.9;3.6
137;Vrouwen;35 tot 45 jaar;2007;5.2;55.4;1.2;8.3;66.8;19.7;12.3;1.2;7.3;15.7;71.9;5.0
138;Vrouwen;35 tot 45 jaar;2008;4.8;57.1;1.2;7.8;69.4;18.9;10.5;1.2;5.7;15.1;76.0;3.3
139;Vrouwen;35 tot 45 jaar;2009;4.7;55.0;1.2;7.8;70.1;18.8;10.7;0.4;5.4;14.8;76.1;3.7
140;Vrouwen;35 tot 45 jaar;2010;4.5;53.4;1.0;7.5;69.5;18.7;11.2;0.6;6.3;13.9;76.3;3.5
141;Vrouwen;35 tot 45 jaar;2011;4.8;53.0;1.2;7.6;68.0;18.2;13.2;0.7;6.8;16.8;72.6;3.8
142;Vrouwen;35 tot 45 jaar;2012;4.9;51.9;1.1;8.1;69.3;18.7;11.3;0.8;6.2;16.3;73.9;3.7
143;Vrouwen;35 tot 45 jaar;2013;4.6;51.1;1.1;7.4;68.8;19.4;10.9;0.9;5.8;13.5;75.7;4.9
144;Vrouwen;45 tot 55 jaar;2005;6.3;54.3;1.4;10.5;56.7;26.2;16.0;1.1;10.2;16.9;68.9;4.0
145;Vrouwen;45 tot 55 jaar;2006;5.3;51.1;1.2;8.8;61.8;20.6;16.5;1.0;11.1;17.7;65.9;5.3
146;Vrouwen;45 tot 55 jaar;2007;5.2;52.0;1.2;8.9;62.2;21.7;14.5;1.5;10.0;16.7;68.1;5.2
147;Vrouwen;45 tot 55 jaar;2008;5.3;53.6;1.2;8.6;62.0;22.7;14.0;1.3;7.9;15.9;71.7;4.6
148;Vrouwen;45 tot 55 jaar;2009;5.0;53.1;1.2;8.3;63.0;22.4;13.7;0.9;9.1;14.3;71.8;4.7
149;Vrouwen;45 tot 55 jaar;2010;5.2;49.1;1.1;8.6;61.3;21.5;16.0;1.2;9.9;16.6;69.0;4.5
150;Vrouwen;45 tot 55 jaar;2011;5.5;49.3;1.1;9.2;62.4;21.0;15.6;1.0;10.4;17.6;67.4;4.6
151;Vrouwen;45 tot 55 jaar;2012;5.2;48.7;1.2;8.7;61.1;21.6;15.9;1.4;8.7;17.8;68.3;5.2
152;Vrouwen;45 tot 55 jaar;2013;5.0;47.8;1.1;8.2;61.0;22.1;16.2;0.7;8.3;14.1;71.4;6.2
153;Vrouwen;55 tot 65 jaar;2005;5.4;43.7;1.0;9.0;54.5;27.9;15.8;1.9;9.5;18.6;64.3;7.7
154;Vrouwen;55 tot 65 jaar;2006;5.4;44.2;1.0;8.6;53.4;28.9;15.3;2.4;8.7;16.4;70.2;4.8
155;Vrouwen;55 tot 65 jaar;2007;6.3;46.4;1.3;10.6;52.2;23.8;22.2;1.8;8.1;16.2;69.3;6.4
156;Vrouwen;55 tot 65 jaar;2008;6.0;49.0;1.3;9.3;54.4;26.2;17.5;1.9;10.2;15.7;69.2;4.9
157;Vrouwen;55 tot 65 jaar;2009;5.5;48.6;1.1;8.9;55.1;25.5;18.4;0.9;9.5;12.8;71.0;6.7
158;Vrouwen;55 tot 65 jaar;2010;6.0;48.4;1.3;10.0;54.2;26.0;18.1;1.7;9.8;16.6;68.1;5.5
159;Vrouwen;55 tot 65 jaar;2011;5.9;47.4;1.1;9.3;55.4;24.9;18.1;1.6;9.7;15.8;70.2;4.3
160;Vrouwen;55 tot 65 jaar;2012;5.5;45.5;1.0;8.9;54.6;24.3;19.3;1.7;8.9;15.8;68.6;6.6
161;Vrouwen;55 tot 65 jaar;2013;5.2;46.6;1.2;8.3;56.7;24.7;17.2;1.5;7.5;15.2;69.9;7.4
