ID;Beroep;Perioden;Werknemer_1;k_25ePercentiel_2;k_50ePercentielMediaan_3;k_75ePercentiel_4
86;0115 Onderwijskundigen en overige doc...;2022;71;23.0;30.3;35.9
87;0115 Onderwijskundigen en overige doc...;2023;78;25.0;32.6;38.4
88;012 Sportinstructeurs;2013;28;;;
89;012 Sportinstructeurs;2014;26;;;
90;012 Sportinstructeurs;2015;26;;;
91;012 Sportinstructeurs;2016;32;11.2;14.4;19.9
92;012 Sportinstructeurs;2017;29;;;
93;012 Sportinstructeurs;2018;32;10.8;13.1;17.2
94;012 Sportinstructeurs;2019;36;11.5;15.0;19.2
95;012 Sportinstructeurs;2020;28;;;
96;012 Sportinstructeurs;2021;33;13.5;16.4;20.0
97;012 Sportinstructeurs;2022;33;12.5;16.3;21.7
98;012 Sportinstructeurs;2023;35;13.6;17.0;20.9
99;0121 Beroepsgroep sportinstructeurs;2013;28;;;
100;0121 Beroepsgroep sportinstructeurs;2014;26;;;
101;0121 Beroepsgroep sportinstructeurs;2015;26;;;
102;0121 Beroepsgroep sportinstructeurs;2016;32;11.2;14.4;19.9
103;0121 Beroepsgroep sportinstructeurs;2017;29;;;
104;0121 Beroepsgroep sportinstructeurs;2018;32;10.8;13.1;17.2
105;0121 Beroepsgroep sportinstructeurs;2019;36;11.5;15.0;19.2
106;0121 Beroepsgroep sportinstructeurs;2020;28;;;
107;0121 Beroepsgroep sportinstructeurs;2021;33;13.5;16.4;20.0
108;0121 Beroepsgroep sportinstructeurs;2022;33;12.5;16.3;21.7
109;0121 Beroepsgroep sportinstructeurs;2023;35;13.6;17.0;20.9
110;013 Leidsters kinderopvang en onderw...;2013;100;14.5;16.2;18.6
111;013 Leidsters kinderopvang en onderw...;2014;108;14.8;16.8;18.7
112;013 Leidsters kinderopvang en onderw...;2015;112;15.0;17.2;19.1
113;013 Leidsters kinderopvang en onderw...;2016;111;15.3;17.4;19.4
114;013 Leidsters kinderopvang en onderw...;2017;108;15.3;17.1;19.5
115;013 Leidsters kinderopvang en onderw...;2018;117;15.4;17.4;19.9
116;013 Leidsters kinderopvang en onderw...;2019;125;15.8;18.0;20.9
117;013 Leidsters kinderopvang en onderw...;2020;124;16.2;18.5;21.1
118;013 Leidsters kinderopvang en onderw...;2021;146;16.2;18.4;21.5
119;013 Leidsters kinderopvang en onderw...;2022;169;16.4;18.8;21.7
120;013 Leidsters kinderopvang en onderw...;2023;165;18.0;20.6;23.5
121;0131 Leidsters kinderopvang en onderw...;2013;100;14.5;16.2;18.6
122;0131 Leidsters kinderopvang en onderw...;2014;108;14.8;16.8;18.7
123;0131 Leidsters kinderopvang en onderw...;2015;112;15.0;17.2;19.1
124;0131 Leidsters kinderopvang en onderw...;2016;111;15.3;17.4;19.4
125;0131 Leidsters kinderopvang en onderw...;2017;108;15.3;17.1;19.5
126;0131 Leidsters kinderopvang en onderw...;2018;117;15.4;17.4;19.9
127;0131 Leidsters kinderopvang en onderw...;2019;125;15.8;18.0;20.9
128;0131 Leidsters kinderopvang en onderw...;2020;124;16.2;18.5;21.1
129;0131 Leidsters kinderopvang en onderw...;2021;146;16.2;18.4;21.5
130;0131 Leidsters kinderopvang en onderw...;2022;169;16.4;18.8;21.7
131;0131 Leidsters kinderopvang en onderw...;2023;165;18.0;20.6;23.5
132;02 Creatieve en taalkundige beroepen;2013;87;15.4;19.4;27.0
133;02 Creatieve en taalkundige beroepen;2014;89;14.9;20.6;27.8
134;02 Creatieve en taalkundige beroepen;2015;90;15.2;20.1;26.9
135;02 Creatieve en taalkundige beroepen;2016;88;15.4;20.8;27.4
136;02 Creatieve en taalkundige beroepen;2017;92;15.2;20.2;26.9
137;02 Creatieve en taalkundige beroepen;2018;102;15.6;21.1;27.6
138;02 Creatieve en taalkundige beroepen;2019;104;16.1;21.8;29.2
139;02 Creatieve en taalkundige beroepen;2020;105;16.6;22.2;29.4
140;02 Creatieve en taalkundige beroepen;2021;106;16.7;22.8;29.8
141;02 Creatieve en taalkundige beroepen;2022;113;17.7;23.8;31.3
142;02 Creatieve en taalkundige beroepen;2023;113;19.1;25.1;33.0
143;021 Auteurs en kunstenaars;2013;54;17.1;23.0;29.9
144;021 Auteurs en kunstenaars;2014;56;16.8;23.5;30.1
145;021 Auteurs en kunstenaars;2015;55;16.8;22.2;29.4
146;021 Auteurs en kunstenaars;2016;52;18.0;23.8;29.6
147;021 Auteurs en kunstenaars;2017;55;16.6;22.9;28.7
148;021 Auteurs en kunstenaars;2018;60;18.1;23.5;30.3
149;021 Auteurs en kunstenaars;2019;62;17.9;24.3;31.7
150;021 Auteurs en kunstenaars;2020;60;20.0;25.4;32.8
151;021 Auteurs en kunstenaars;2021;56;19.8;25.4;31.9
152;021 Auteurs en kunstenaars;2022;58;19.6;26.9;33.7
153;021 Auteurs en kunstenaars;2023;55;21.6;27.6;33.8
154;0211 Bibliothecarissen en conservatoren;2013;8;;;
155;0211 Bibliothecarissen en conservatoren;2014;7;;;
156;0211 Bibliothecarissen en conservatoren;2015;8;;;
157;0211 Bibliothecarissen en conservatoren;2016;6;;;
158;0211 Bibliothecarissen en conservatoren;2017;7;;;
159;0211 Bibliothecarissen en conservatoren;2018;7;;;
160;0211 Bibliothecarissen en conservatoren;2019;6;;;
161;0211 Bibliothecarissen en conservatoren;2020;8;;;
162;0211 Bibliothecarissen en conservatoren;2021;11;;;
163;0211 Bibliothecarissen en conservatoren;2022;8;;;
164;0211 Bibliothecarissen en conservatoren;2023;8;;;
165;0212 Auteurs en taalkundigen;2013;11;;;
166;0212 Auteurs en taalkundigen;2014;13;;;
167;0212 Auteurs en taalkundigen;2015;12;;;
168;0212 Auteurs en taalkundigen;2016;11;;;
169;0212 Auteurs en taalkundigen;2017;10;;;
170;0212 Auteurs en taalkundigen;2018;9;;;
171;0212 Auteurs en taalkundigen;2019;13;;;
172;0212 Auteurs en taalkundigen;2020;10;;;
173;0212 Auteurs en taalkundigen;2021;11;;;
174;0212 Auteurs en taalkundigen;2022;13;;;
175;0212 Auteurs en taalkundigen;2023;12;;;
176;0213 Journalisten;2013;20;;;
177;0213 Journalisten;2014;18;;;
178;0213 Journalisten;2015;16;;;
179;0213 Journalisten;2016;16;;;
180;0213 Journalisten;2017;17;;;
181;0213 Journalisten;2018;24;;;
182;0213 Journalisten;2019;24;;;
183;0213 Journalisten;2020;22;;;
184;0213 Journalisten;2021;20;;;
185;0213 Journalisten;2022;20;;;
186;0213 Journalisten;2023;16;;;
187;0214 Beeldend kunstenaars;2013;1;;;
188;0214 Beeldend kunstenaars;2014;1;;;
189;0214 Beeldend kunstenaars;2015;1;;;
190;0214 Beeldend kunstenaars;2016;1;;;
191;0214 Beeldend kunstenaars;2017;1;;;
192;0214 Beeldend kunstenaars;2018;1;;;
193;0214 Beeldend kunstenaars;2019;1;;;
194;0214 Beeldend kunstenaars;2020;1;;;
195;0214 Beeldend kunstenaars;2021;0;;;
196;0214 Beeldend kunstenaars;2022;1;;;
197;0214 Beeldend kunstenaars;2023;1;;;
198;0215 Uitvoerend kunstenaars;2013;14;;;
199;0215 Uitvoerend kunstenaars;2014;18;;;
200;0215 Uitvoerend kunstenaars;2015;19;;;
201;0215 Uitvoerend kunstenaars;2016;17;;;
202;0215 Uitvoerend kunstenaars;2017;20;;;
203;0215 Uitvoerend kunstenaars;2018;19;;;
204;0215 Uitvoerend kunstenaars;2019;18;;;
205;0215 Uitvoerend kunstenaars;2020;20;;;
206;0215 Uitvoerend kunstenaars;2021;14;;;
207;0215 Uitvoerend kunstenaars;2022;16;;;
208;0215 Uitvoerend kunstenaars;2023;18;;;
209;022 Vakspecialisten op artistiek en ...;2013;33;13.5;17.1;22.6
210;022 Vakspecialisten op artistiek en ...;2014;34;13.4;17.8;23.1
211;022 Vakspecialisten op artistiek en ...;2015;35;13.9;17.9;22.9
212;022 Vakspecialisten op artistiek en ...;2016;37;13.1;17.5;22.9
213;022 Vakspecialisten op artistiek en ...;2017;37;14.1;18.8;23.5
214;022 Vakspecialisten op artistiek en ...;2018;42;14.0;18.3;24.2
215;022 Vakspecialisten op artistiek en ...;2019;42;14.4;18.9;24.1
216;022 Vakspecialisten op artistiek en ...;2020;45;15.1;19.5;25.0
217;022 Vakspecialisten op artistiek en ...;2021;50;14.4;19.5;26.2
218;022 Vakspecialisten op artistiek en ...;2022;55;16.4;20.9;27.5
219;022 Vakspecialisten op artistiek en ...;2023;58;17.7;23.0;30.3
220;0221 Grafisch vormgevers en producton...;2013;24;;;
221;0221 Grafisch vormgevers en producton...;2014;26;;;
222;0221 Grafisch vormgevers en producton...;2015;26;;;
223;0221 Grafisch vormgevers en producton...;2016;27;;;
224;0221 Grafisch vormgevers en producton...;2017;27;;;
225;0221 Grafisch vormgevers en producton...;2018;33;14.9;19.6;25.1
226;0221 Grafisch vormgevers en producton...;2019;31;15.8;20.1;26.3
227;0221 Grafisch vormgevers en producton...;2020;33;16.1;20.3;26.6
228;0221 Grafisch vormgevers en producton...;2021;39;15.7;20.6;27.9
229;0221 Grafisch vormgevers en producton...;2022;43;17.0;22.3;28.6
230;0221 Grafisch vormgevers en producton...;2023;45;18.6;23.9;32.2
231;0222 Fotografen en interieurontwerpers;2013;9;;;
232;0222 Fotografen en interieurontwerpers;2014;8;;;
233;0222 Fotografen en interieurontwerpers;2015;9;;;
234;0222 Fotografen en interieurontwerpers;2016;10;;;
235;0222 Fotografen en interieurontwerpers;2017;10;;;
236;0222 Fotografen en interieurontwerpers;2018;9;;;
237;0222 Fotografen en interieurontwerpers;2019;11;;;
238;0222 Fotografen en interieurontwerpers;2020;12;;;
239;0222 Fotografen en interieurontwerpers;2021;11;;;
240;0222 Fotografen en interieurontwerpers;2022;12;;;
241;0222 Fotografen en interieurontwerpers;2023;13;;;
242;03 Commerciële beroepen;2013;849;10.4;13.5;19.7
243;03 Commerciële beroepen;2014;855;10.2;13.6;20.1
244;03 Commerciële beroepen;2015;846;10.4;13.7;20.1
245;03 Commerciële beroepen;2016;842;10.1;13.6;20.1
246;03 Commerciële beroepen;2017;853;10.6;13.9;20.5
247;03 Commerciële beroepen;2018;875;11.0;14.3;21.3
248;03 Commerciële beroepen;2019;883;11.4;14.5;22.0
249;03 Commerciële beroepen;2020;845;11.9;15.4;23.4
250;03 Commerciële beroepen;2021;911;12.1;16.3;25.2
251;03 Commerciële beroepen;2022;906;12.7;17.0;26.2
252;03 Commerciële beroepen;2023;924;14.2;18.3;27.6
253;031 Adviseurs marketing, public relat...;2013;116;17.5;23.1;29.6
254;031 Adviseurs marketing, public relat...;2014;126;18.0;23.1;30.0
255;031 Adviseurs marketing, public relat...;2015;126;17.5;23.2;31.1
256;031 Adviseurs marketing, public relat...;2016;122;18.0;23.6;31.0
257;031 Adviseurs marketing, public relat...;2017;127;18.3;24.1;30.9
258;031 Adviseurs marketing, public relat...;2018;142;18.8;24.3;32.0
259;031 Adviseurs marketing, public relat...;2019;146;18.7;24.8;31.6
260;031 Adviseurs marketing, public relat...;2020;147;19.0;25.2;33.5
261;031 Adviseurs marketing, public relat...;2021;192;19.6;27.0;34.5
262;031 Adviseurs marketing, public relat...;2022;197;20.6;28.2;36.3
263;031 Adviseurs marketing, public relat...;2023;203;22.1;29.3;38.8
264;0311 Adviseurs marketing, public rela...;2013;116;17.5;23.1;29.6
265;0311 Adviseurs marketing, public rela...;2014;126;18.0;23.1;30.0
266;0311 Adviseurs marketing, public rela...;2015;126;17.5;23.2;31.1
267;0311 Adviseurs marketing, public rela...;2016;122;18.0;23.6;31.0
268;0311 Adviseurs marketing, public rela...;2017;127;18.3;24.1;30.9
269;0311 Adviseurs marketing, public rela...;2018;142;18.8;24.3;32.0
270;0311 Adviseurs marketing, public rela...;2019;146;18.7;24.8;31.6
271;0311 Adviseurs marketing, public rela...;2020;147;19.0;25.2;33.5
272;0311 Adviseurs marketing, public rela...;2021;192;19.6;27.0;34.5
273;0311 Adviseurs marketing, public rela...;2022;197;20.6;28.2;36.3
274;0311 Adviseurs marketing, public rela...;2023;203;22.1;29.3;38.8
275;032 Vertegenwoordigers en inkopers;2013;132;16.9;22.3;29.7
276;032 Vertegenwoordigers en inkopers;2014;127;16.9;22.5;29.5
277;032 Vertegenwoordigers en inkopers;2015;116;18.1;23.4;31.1
278;032 Vertegenwoordigers en inkopers;2016;124;17.9;23.4;30.5
279;032 Vertegenwoordigers en inkopers;2017;124;17.6;23.3;30.4
280;032 Vertegenwoordigers en inkopers;2018;125;18.3;24.7;32.3
281;032 Vertegenwoordigers en inkopers;2019;135;18.4;24.5;32.2
282;032 Vertegenwoordigers en inkopers;2020;133;19.2;25.4;34.0
283;032 Vertegenwoordigers en inkopers;2021;159;20.9;26.7;35.9
284;032 Vertegenwoordigers en inkopers;2022;153;21.4;27.4;36.5
285;032 Vertegenwoordigers en inkopers;2023;159;22.6;29.0;38.4
286;0321 Vertegenwoordigers en inkopers;2013;132;16.9;22.3;29.7
287;0321 Vertegenwoordigers en inkopers;2014;127;16.9;22.5;29.5
288;0321 Vertegenwoordigers en inkopers;2015;116;18.1;23.4;31.1
289;0321 Vertegenwoordigers en inkopers;2016;124;17.9;23.4;30.5
290;0321 Vertegenwoordigers en inkopers;2017;124;17.6;23.3;30.4
291;0321 Vertegenwoordigers en inkopers;2018;125;18.3;24.7;32.3
292;0321 Vertegenwoordigers en inkopers;2019;135;18.4;24.5;32.2
293;0321 Vertegenwoordigers en inkopers;2020;133;19.2;25.4;34.0
294;0321 Vertegenwoordigers en inkopers;2021;159;20.9;26.7;35.9
295;0321 Vertegenwoordigers en inkopers;2022;153;21.4;27.4;36.5
296;0321 Vertegenwoordigers en inkopers;2023;159;22.6;29.0;38.4
297;033 Verkopers;2013;601;8.6;12.1;14.8
298;033 Verkopers;2014;601;8.1;11.8;14.7
299;033 Verkopers;2015;604;8.3;12.0;15.0
300;033 Verkopers;2016;596;7.7;11.7;14.5
301;033 Verkopers;2017;602;8.0;12.0;14.9
302;033 Verkopers;2018;609;8.3;12.3;15.1
303;033 Verkopers;2019;603;9.0;12.6;15.3
304;033 Verkopers;2020;565;9.7;13.1;16.2
305;033 Verkopers;2021;560;8.7;13.1;16.3
306;033 Verkopers;2022;556;10.2;13.8;17.1
307;033 Verkopers;2023;562;11.8;15.2;18.3
308;0331 Winkeliers en teamleiders detail...;2013;58;12.5;15.3;19.1
309;0331 Winkeliers en teamleiders detail...;2014;63;12.8;15.4;19.0
310;0331 Winkeliers en teamleiders detail...;2015;67;13.0;15.5;19.3
311;0331 Winkeliers en teamleiders detail...;2016;65;12.5;15.1;19.0
312;0331 Winkeliers en teamleiders detail...;2017;68;12.4;15.1;19.0
313;0331 Winkeliers en teamleiders detail...;2018;66;13.1;15.5;19.7
314;0331 Winkeliers en teamleiders detail...;2019;66;13.1;15.6;20.3
315;0331 Winkeliers en teamleiders detail...;2020;77;13.6;16.3;20.9
316;0331 Winkeliers en teamleiders detail...;2021;65;13.3;16.1;20.2
317;0331 Winkeliers en teamleiders detail...;2022;70;14.0;17.0;20.7
318;0331 Winkeliers en teamleiders detail...;2023;77;15.3;18.0;21.4
319;0332 Verkoopmedewerkers detailhandel;2013;323;8.1;11.6;13.7
320;0332 Verkoopmedewerkers detailhandel;2014;312;7.6;11.3;13.6
321;0332 Verkoopmedewerkers detailhandel;2015;327;7.9;11.5;13.9
322;0332 Verkoopmedewerkers detailhandel;2016;334;7.7;11.4;13.7
323;0332 Verkoopmedewerkers detailhandel;2017;323;8.0;11.6;13.9
324;0332 Verkoopmedewerkers detailhandel;2018;327;8.4;11.9;14.2
325;0332 Verkoopmedewerkers detailhandel;2019;314;9.0;12.2;14.2
326;0332 Verkoopmedewerkers detailhandel;2020;291;9.8;12.6;14.8
327;0332 Verkoopmedewerkers detailhandel;2021;304;8.4;12.6;14.8
328;0332 Verkoopmedewerkers detailhandel;2022;287;10.2;13.2;15.7
329;0332 Verkoopmedewerkers detailhandel;2023;286;12.4;14.8;16.9
330;0333 Kassamedewerkers;2013;101;6.3;9.5;13.1
331;0333 Kassamedewerkers;2014;102;6.3;8.8;13.1
332;0333 Kassamedewerkers;2015;96;6.1;8.5;12.9
333;0333 Kassamedewerkers;2016;89;5.6;7.3;11.0
334;0333 Kassamedewerkers;2017;98;5.9;7.7;11.9
335;0333 Kassamedewerkers;2018;101;6.1;7.9;12.4
336;0333 Kassamedewerkers;2019;102;6.2;8.2;12.7
337;0333 Kassamedewerkers;2020;86;6.4;8.3;12.4
338;0333 Kassamedewerkers;2021;80;6.2;8.0;13.5
339;0333 Kassamedewerkers;2022;86;6.7;9.0;13.6
340;0333 Kassamedewerkers;2023;85;7.2;10.7;15.0
341;0334 Callcentermedewerkers outbound...;2013;119;10.9;13.6;17.5
342;0334 Callcentermedewerkers outbound...;2014;125;10.8;13.2;17.4
343;0334 Callcentermedewerkers outbound...;2015;113;10.9;13.5;17.9
344;0334 Callcentermedewerkers outbound...;2016;107;10.7;13.2;17.7
345;0334 Callcentermedewerkers outbound...;2017;113;11.0;13.9;18.1
346;0334 Callcentermedewerkers outbound...;2018;115;11.7;14.5;18.9
347;0334 Callcentermedewerkers outbound...;2019;121;11.7;14.9;19.1
348;0334 Callcentermedewerkers outbound...;2020;110;12.3;15.7;20.3
349;0334 Callcentermedewerkers outbound...;2021;111;12.6;16.9;20.8
350;0334 Callcentermedewerkers outbound...;2022;113;13.2;17.2;21.8
351;0334 Callcentermedewerkers outbound...;2023;113;13.8;17.8;22.4
352;04 Bedrijfseconomische en administrat...;2013;1330;14.8;18.7;24.6
353;04 Bedrijfseconomische en administrat...;2014;1309;15.1;19.1;25.0
354;04 Bedrijfseconomische en administrat...;2015;1338;15.4;19.6;25.9
355;04 Bedrijfseconomische en administrat...;2016;1351;15.4;19.8;26.4
356;04 Bedrijfseconomische en administrat...;2017;1391;15.6;20.0;26.4
357;04 Bedrijfseconomische en administrat...;2018;1454;15.9;20.3;27.1
358;04 Bedrijfseconomische en administrat...;2019;1466;16.2;20.9;28.0
359;04 Bedrijfseconomische en administrat...;2020;1486;17.2;22.0;29.4
360;04 Bedrijfseconomische en administrat...;2021;1586;17.5;22.2;29.7
361;04 Bedrijfseconomische en administrat...;2022;1651;18.3;23.3;30.9
362;04 Bedrijfseconomische en administrat...;2023;1643;19.7;25.1;33.2
363;041 Specialisten bedrijfsbeheer en ad...;2013;290;21.0;27.2;34.5
364;041 Specialisten bedrijfsbeheer en ad...;2014;289;21.1;27.3;34.2
365;041 Specialisten bedrijfsbeheer en ad...;2015;320;21.5;28.7;36.1
366;041 Specialisten bedrijfsbeheer en ad...;2016;343;21.7;28.5;36.0
367;041 Specialisten bedrijfsbeheer en ad...;2017;353;21.7;28.3;35.9
368;041 Specialisten bedrijfsbeheer en ad...;2018;371;22.1;29.2;36.8
369;041 Specialisten bedrijfsbeheer en ad...;2019;388;22.4;29.6;37.6
370;041 Specialisten bedrijfsbeheer en ad...;2020;417;23.5;30.9;38.9
371;041 Specialisten bedrijfsbeheer en ad...;2021;476;24.1;31.0;38.9
372;041 Specialisten bedrijfsbeheer en ad...;2022;522;24.5;32.0;40.0
373;041 Specialisten bedrijfsbeheer en ad...;2023;533;26.3;34.2;42.5
374;0411 Accountants;2013;60;21.5;28.8;36.4
375;0411 Accountants;2014;65;21.3;28.3;35.9
376;0411 Accountants;2015;70;21.6;29.6;36.6
377;0411 Accountants;2016;71;21.8;29.5;37.8
378;0411 Accountants;2017;78;21.3;29.9;38.9
379;0411 Accountants;2018;78;22.1;30.3;38.4
380;0411 Accountants;2019;81;22.3;29.6;38.0
381;0411 Accountants;2020;88;23.4;30.6;39.6
382;0411 Accountants;2021;99;25.5;31.5;39.9
383;0411 Accountants;2022;103;25.1;33.1;41.6
384;0411 Accountants;2023;98;26.8;34.4;44.4
385;0412 Financieel specialisten en economen;2013;50;19.7;26.6;35.8
386;0412 Financieel specialisten en economen;2014;53;20.6;26.9;36.6
387;0412 Financieel specialisten en economen;2015;55;20.9;28.9;37.5
388;0412 Financieel specialisten en economen;2016;56;20.8;28.2;37.3
389;0412 Financieel specialisten en economen;2017;62;20.7;27.4;35.2
390;0412 Financieel specialisten en economen;2018;62;20.6;28.7;38.4
391;0412 Financieel specialisten en economen;2019;65;21.7;28.8;39.3
392;0412 Financieel specialisten en economen;2020;66;22.5;31.3;41.8
393;0412 Financieel specialisten en economen;2021;69;22.9;30.8;39.2
394;0412 Financieel specialisten en economen;2022;79;24.1;31.3;42.1
395;0412 Financieel specialisten en economen;2023;86;25.5;33.4;44.2
396;0413 Bedrijfskundigen en organisatie...;2013;69;21.4;28.2;35.7
397;0413 Bedrijfskundigen en organisatie...;2014;67;21.4;27.9;35.5
398;0413 Bedrijfskundigen en organisatie...;2015;85;21.6;28.5;37.6
399;0413 Bedrijfskundigen en organisatie...;2016;94;22.4;29.4;38.3
400;0413 Bedrijfskundigen en organisatie...;2017;88;22.6;29.5;37.8
401;0413 Bedrijfskundigen en organisatie...;2018;90;23.7;30.6;38.2
402;0413 Bedrijfskundigen en organisatie...;2019;91;24.2;31.1;40.1
403;0413 Bedrijfskundigen en organisatie...;2020;108;23.9;31.6;40.9
404;0413 Bedrijfskundigen en organisatie...;2021;140;25.6;31.8;40.8
405;0413 Bedrijfskundigen en organisatie...;2022;155;25.4;32.4;41.2
406;0413 Bedrijfskundigen en organisatie...;2023;159;27.6;35.6;43.9
407;0414 Beleidsadviseurs;2013;56;24.4;29.0;35.1
408;0414 Beleidsadviseurs;2014;52;23.0;28.5;33.9
409;0414 Beleidsadviseurs;2015;55;26.8;31.0;36.3
410;0414 Beleidsadviseurs;2016;56;25.8;30.4;36.2
411;0414 Beleidsadviseurs;2017;56;25.2;31.0;36.2
412;0414 Beleidsadviseurs;2018;66;25.8;31.8;39.0
413;0414 Beleidsadviseurs;2019;68;26.5;32.2;39.1
