ID;VissoortenSchaalEnSchelpdieren;Perioden;Prijzen_1
1300;Noordzeekrab;2000 augustus;
1301;Noordzeekrab;2000 september;
1302;Noordzeekrab;2000 oktober;
1303;Noordzeekrab;2000 november;
1304;Noordzeekrab;2000 december;
1305;Noordzeekrab;2000;
1306;Noordzeekrab;2001 januari;
1307;Noordzeekrab;2001 februari;
1308;Noordzeekrab;2001 maart;
1309;Noordzeekrab;2001 april;
1310;Noordzeekrab;2001 mei;
1311;Noordzeekrab;2001 juni;
1312;Noordzeekrab;2001 juli;
1313;Noordzeekrab;2001 augustus;
1314;Noordzeekrab;2001 september;
1315;Noordzeekrab;2001 oktober;
1316;Noordzeekrab;2001 november;
1317;Noordzeekrab;2001 december;
1318;Noordzeekrab;2001;
1319;Noordzeekrab;2002 januari;
1320;Noordzeekrab;2002 februari;
1321;Noordzeekrab;2002 maart;
1322;Noordzeekrab;2002 april;
1323;Noordzeekrab;2002 mei;
1324;Noordzeekrab;2002 juni;
1325;Noordzeekrab;2002 juli;
1326;Noordzeekrab;2002 augustus;
1327;Noordzeekrab;2002 september;
1328;Noordzeekrab;2002 oktober;
1329;Noordzeekrab;2002 november;
1330;Noordzeekrab;2002 december;
1331;Noordzeekrab;2002;
1332;Noordzeekrab;2003 januari;
1333;Noordzeekrab;2003 februari;
1334;Noordzeekrab;2003 maart;
1335;Noordzeekrab;2003 april;
1336;Noordzeekrab;2003 mei;
1337;Noordzeekrab;2003 juni;
1338;Noordzeekrab;2003 juli;
1339;Noordzeekrab;2003 augustus;
1340;Noordzeekrab;2003 september;
1341;Noordzeekrab;2003 oktober;
1342;Noordzeekrab;2003 november;
1343;Noordzeekrab;2003 december;
1344;Noordzeekrab;2003;
1345;Noordzeekrab;2004 januari;
1346;Noordzeekrab;2004 februari;
1347;Noordzeekrab;2004 maart;
1348;Noordzeekrab;2004 april;
1349;Noordzeekrab;2004 mei;
1350;Noordzeekrab;2004 juni;
1351;Noordzeekrab;2004 juli;
1352;Noordzeekrab;2004 augustus;
1353;Noordzeekrab;2004 september;
1354;Noordzeekrab;2004 oktober;
1355;Noordzeekrab;2004 november;
1356;Noordzeekrab;2004 december;
1357;Noordzeekrab;2004;
1358;Noordzeekrab;2005 januari;
1359;Noordzeekrab;2005 februari;
1360;Noordzeekrab;2005 maart;
1361;Noordzeekrab;2005 april;
1362;Noordzeekrab;2005 mei;
1363;Noordzeekrab;2005 juni;
1364;Noordzeekrab;2005 juli;
1365;Noordzeekrab;2005 augustus;
1366;Noordzeekrab;2005 september;
1367;Noordzeekrab;2005 oktober;
1368;Noordzeekrab;2005 november;
1369;Noordzeekrab;2005 december;
1370;Noordzeekrab;2005;
1371;Noordzeekrab;2006 januari;
1372;Noordzeekrab;2006 februari;
1373;Noordzeekrab;2006 maart;
1374;Noordzeekrab;2006 april;
1375;Noordzeekrab;2006 mei;
1376;Noordzeekrab;2006 juni;
1377;Noordzeekrab;2006 juli;
1378;Noordzeekrab;2006 augustus;
1379;Noordzeekrab;2006 september;
1380;Noordzeekrab;2006 oktober;
1381;Noordzeekrab;2006 november;
1382;Noordzeekrab;2006 december;
1383;Noordzeekrab;2006;
1384;Noordzeekrab;2007 januari;
1385;Noordzeekrab;2007 februari;
1386;Noordzeekrab;2007 maart;
1387;Noordzeekrab;2007 april;
1388;Noordzeekrab;2007 mei;
1389;Noordzeekrab;2007 juni;
1390;Noordzeekrab;2007 juli;
1391;Noordzeekrab;2007 augustus;
1392;Noordzeekrab;2007 september;
1393;Noordzeekrab;2007 oktober;
1394;Noordzeekrab;2007 november;
1395;Noordzeekrab;2007 december;
1396;Noordzeekrab;2007;
1397;Noordzeekrab;2008 januari;
1398;Noordzeekrab;2008 februari;
1399;Noordzeekrab;2008 maart;
1400;Noordzeekrab;2008 april;
1401;Noordzeekrab;2008 mei;
1402;Noordzeekrab;2008 juni;
1403;Noordzeekrab;2008 juli;
1404;Noordzeekrab;2008 augustus;
1405;Noordzeekrab;2008 september;
1406;Noordzeekrab;2008 oktober;
1407;Noordzeekrab;2008 november;
1408;Noordzeekrab;2008 december;
1409;Noordzeekrab;2008;
1410;Noordzeekrab;2009 januari;
1411;Noordzeekrab;2009 februari;
1412;Noordzeekrab;2009 maart;
1413;Noordzeekrab;2009 april;
1414;Noordzeekrab;2009 mei;
1415;Noordzeekrab;2009 juni;
1416;Noordzeekrab;2009 juli;
1417;Noordzeekrab;2009 augustus;
1418;Noordzeekrab;2009 september;
1419;Noordzeekrab;2009 oktober;
1420;Noordzeekrab;2009 november;
1421;Noordzeekrab;2009 december;
1422;Noordzeekrab;2009;
1423;Noordzeekrab;2010 januari;
1424;Noordzeekrab;2010 februari;
1425;Noordzeekrab;2010 maart;
1426;Noordzeekrab;2010 april;
1427;Noordzeekrab;2010 mei;
1428;Noordzeekrab;2010 juni;
1429;Noordzeekrab;2010 juli;
1430;Noordzeekrab;2010 augustus;
1431;Noordzeekrab;2010 september;
1432;Noordzeekrab;2010 oktober;
1433;Noordzeekrab;2010 november;
1434;Noordzeekrab;2010 december;
1435;Noordzeekrab;2010;
1436;Noordzeekrab;2011 januari;
1437;Noordzeekrab;2011 februari;
1438;Noordzeekrab;2011 maart;
1439;Noordzeekrab;2011 april;
1440;Noordzeekrab;2011 mei;
1441;Noordzeekrab;2011 juni;
1442;Noordzeekrab;2011 juli;
1443;Noordzeekrab;2011 augustus;
1444;Noordzeekrab;2011 september;
1445;Noordzeekrab;2011 oktober;
1446;Noordzeekrab;2011 november;
1447;Noordzeekrab;2011 december;
1448;Noordzeekrab;2011;
1449;Noordzeekrab;2012 januari;
1450;Noordzeekrab;2012 februari;
1451;Noordzeekrab;2012 maart;
1452;Noordzeekrab;2012 april;
1453;Noordzeekrab;2012 mei;
1454;Noordzeekrab;2012 juni;
1455;Noordzeekrab;2012 juli;
1456;Noordzeekrab;2012 augustus;
1457;Noordzeekrab;2012 september;
1458;Noordzeekrab;2012 oktober;
1459;Noordzeekrab;2012 november;
1460;Noordzeekrab;2012 december;
1461;Noordzeekrab;2012;
1462;Noordzeekrab;2013 januari;
1463;Noordzeekrab;2013 februari;
1464;Noordzeekrab;2013 maart;
1465;Noordzeekrab;2013 april;
1466;Noordzeekrab;2013 mei;
1467;Noordzeekrab;2013 juni;
1468;Noordzeekrab;2013 juli;
1469;Noordzeekrab;2013 augustus;
1470;Noordzeekrab;2013 september;
1471;Noordzeekrab;2013 oktober;
1472;Noordzeekrab;2013 november;
1473;Noordzeekrab;2013 december;
1474;Noordzeekrab;2013;
1475;Noordzeekrab;2014 januari;1468.0
1476;Noordzeekrab;2014 februari;1591.0
1477;Noordzeekrab;2014 maart;1720.0
1478;Noordzeekrab;2014 april;1521.0
1479;Noordzeekrab;2014 mei;1256.0
1480;Noordzeekrab;2014 juni;1387.0
1481;Noordzeekrab;2014 juli;1278.0
1482;Noordzeekrab;2014 augustus;1126.0
1483;Noordzeekrab;2014 september;1262.0
1484;Noordzeekrab;2014 oktober;1294.0
1485;Noordzeekrab;2014 november;1347.0
1486;Noordzeekrab;2014 december;1158.0
1487;Noordzeekrab;2014 ;1331.0
1488;Noordzeekrab;2015 januari;1972.0
1489;Noordzeekrab;2015 februari;1687.0
1490;Noordzeekrab;2015 maart;1773.0
1491;Noordzeekrab;2015 april;2152.0
1492;Noordzeekrab;2015 mei;1732.0
1493;Noordzeekrab;2015 juni;1596.0
1494;Noordzeekrab;2015 juli;1029.0
1495;Noordzeekrab;2015  augustus;1231.0
1496;Noordzeekrab;2015 september;1187.0
1497;Noordzeekrab;2015 oktober;998.0
1498;Noordzeekrab;2015 november;1016.0
1499;Noordzeekrab;2015 december;1812.0
1500;Noordzeekrab;2015 ;1307.0
1501;Noordzeekrab;2016  januari;2103.0
1502;Noordzeekrab;2016 februari;1933.0
1503;Noordzeekrab;2016 maart;2091.0
1504;Noordzeekrab;2016 april;1533.0
1505;Noordzeekrab;2016 mei;1812.0
1506;Noordzeekrab;2016 juni;1489.0
1507;Noordzeekrab;2016 juli;1358.0
1508;Noordzeekrab;2016 augustus;1314.0
1509;Noordzeekrab;2016 september;1112.0
1510;Noordzeekrab;2016 oktober;984.0
1511;Noordzeekrab;2016 november;1174.0
1512;Noordzeekrab;2016 december;1744.0
1513;Noordzeekrab;2016;1393.0
1514;Noordzeekrab;2017 januari;2415.0
1515;Noordzeekrab;2017 februari;2997.0
1516;Noordzeekrab;2017 maart;2589.0
1517;Noordzeekrab;2017 april;2235.0
1518;Noordzeekrab;2017 mei;1942.0
1519;Noordzeekrab;2017 juni;1676.0
1520;Noordzeekrab;2017 juli;1335.0
1521;Noordzeekrab;2017 augustus;1244.0
1522;Noordzeekrab;2017 september;1200.0
1523;Noordzeekrab;2017 oktober;948.0
1524;Noordzeekrab;2017 november;1388.0
1525;Noordzeekrab;2017 december;1597.0
1526;Noordzeekrab;2017;1482.0
1527;Noordzeekrab;2018 januari;2026.0
1528;Noordzeekrab;2018 februari;2863.0
1529;Noordzeekrab;2018 maart;3082.0
1530;Noordzeekrab;2018 april;2832.0
1531;Noordzeekrab;2018 mei;2141.0
1532;Noordzeekrab;2018 juni;1542.0
1533;Noordzeekrab;2018 juli;1350.0
1534;Noordzeekrab;2018 augustus;1067.0
1535;Noordzeekrab;2018 september;1064.0
1536;Noordzeekrab;2018 oktober;1295.0
1537;Noordzeekrab;2018 november;1491.0
1538;Noordzeekrab;2018 december;2571.0
1539;Noordzeekrab;2018;1515.0
1540;Noordzeekrab;2019 januari;2845.0
1541;Noordzeekrab;2019 februari;3399.0
1542;Noordzeekrab;2019 maart;3624.0
1543;Noordzeekrab;2019 april ;2456.0
1544;Noordzeekrab;2019 mei;1758.0
1545;Noordzeekrab;2019 juni;2318.0
1546;Noordzeekrab;2019 juli;1732.0
1547;Noordzeekrab;2019 augustus;1520.0
1548;Noordzeekrab;2019 september;1579.0
1549;Noordzeekrab;2019 oktober;1510.0
1550;Noordzeekrab;2019 november;1287.0
1551;Noordzeekrab;2019 december;1881.0
1552;Noordzeekrab;2019;1804.0
1553;Noordzeekrab;2020 januari;2485.0
1554;Noordzeekrab;2020 februari;3190.0
1555;Noordzeekrab;2020 maart;2667.0
1556;Noordzeekrab;2020 april;2095.0
1557;Noordzeekrab;2020 mei;2493.0
1558;Noordzeekrab;2020 juni;1913.0
1559;Noordzeekrab;2020 juli;1659.0
1560;Noordzeekrab;2020 augustus;1286.0
1561;Noordzeekrab;2020 september;1546.0
1562;Noordzeekrab;2020 oktober;1269.0
1563;Noordzeekrab;2020 november;1654.0
1564;Noordzeekrab;2020 december;3533.0
1565;Noordzeekrab;2020;1821.0
1566;Noordzeekrab;2021 januari;3950.0
1567;Noordzeekrab;2021 februari;4164.0
1568;Noordzeekrab;2021 maart;5179.0
1569;Noordzeekrab;2021 april;4982.0
1570;Noordzeekrab;2021 mei;3042.0
1571;Noordzeekrab;2021 juni;2232.0
1572;Noordzeekrab;2021 juli;2560.0
1573;Noordzeekrab;2021 augustus;2079.0
1574;Noordzeekrab;2021 september;2060.0
1575;Noordzeekrab;2021 oktober;2149.0
1576;Noordzeekrab;2021 november;1984.0
1577;Noordzeekrab;2021 december;3518.0
1578;Noordzeekrab;2021 ;2534.0
1579;Noordzeekrab;2022  januari;3261.0
1580;Noordzeekrab;2022 februari;5249.0
1581;Noordzeekrab;2022 maart;6126.0
1582;Noordzeekrab;2022 april;5968.0
1583;Noordzeekrab;2022 mei;4766.0
1584;Noordzeekrab;2022 juni;3998.0
1585;Noordzeekrab;2022 juli;3038.0
1586;Noordzeekrab;2022 augustus;2440.0
1587;Noordzeekrab;2022 september;2147.0
1588;Noordzeekrab;2022 oktober;1999.0
1589;Noordzeekrab;2022 november;2022.0
1590;Noordzeekrab;2022 december;3726.0
1591;Noordzeekrab;2022;3085.0
1592;Noordzeekrab;2023 januari;3082.0
1593;Noordzeekrab;2023 februari;3706.0
1594;Noordzeekrab;2023 maart;4922.0
1595;Noordzeekrab;2023 april;4991.0
1596;Noordzeekrab;2023 mei;3461.0
1597;Noordzeekrab;2023 juni;3068.0
1598;Noordzeekrab;2023 juli;2078.0
1599;Noordzeekrab;2023 augustus;1383.0
1600;Noordzeekrab;2023 september;1159.0
1601;Noordzeekrab;2023 oktober;1461.0
1602;Noordzeekrab;2023 november;2243.0
1603;Noordzeekrab;2023 december;3918.0
1604;Noordzeekrab;2023;2320.0
1605;Noordzeekrab;2024 januari;4249.0
1606;Noordzeekrab;2024 februari;5338.0
1607;Noordzeekrab;2024 maart;5672.0
1608;Noordzeekrab;2024 april;5141.0
1609;Noordzeekrab;2024 mei;3384.0
1610;Noordzeekrab;2024 juni;2538.0
1611;Noordzeekrab;2024 juli ;2016.0
1612;Noordzeekrab;2024 augustus;1811.0
1613;Noordzeekrab;2024 september;1768.0
1614;Noordzeekrab;2024 oktober;2036.0
1615;Noordzeekrab;2024 november;2238.0
1616;Noordzeekrab;2024 december;4078.0
1617;Noordzeekrab;2024 ;2121.0
1618;Noordzeekrab;2025 januari;4288.0
1619;Noordzeekrab;2025 februari;5204.0
1620;Langoustine (Noorse kreeft);1994 januari;
1621;Langoustine (Noorse kreeft);1994 februari;
1622;Langoustine (Noorse kreeft);1994 maart;
1623;Langoustine (Noorse kreeft);1994 april;
1624;Langoustine (Noorse kreeft);1994 mei;
1625;Langoustine (Noorse kreeft);1994 juni;
1626;Langoustine (Noorse kreeft);1994 juli;
1627;Langoustine (Noorse kreeft);1994 augustus;
1628;Langoustine (Noorse kreeft);1994 september;
1629;Langoustine (Noorse kreeft);1994 oktober;
1630;Langoustine (Noorse kreeft);1994 november;
1631;Langoustine (Noorse kreeft);1994 december;
1632;Langoustine (Noorse kreeft);1994;
1633;Langoustine (Noorse kreeft);1995 januari;
1634;Langoustine (Noorse kreeft);1995 februari;
1635;Langoustine (Noorse kreeft);1995 maart;
1636;Langoustine (Noorse kreeft);1995 april;
1637;Langoustine (Noorse kreeft);1995 mei;
1638;Langoustine (Noorse kreeft);1995 juni;
1639;Langoustine (Noorse kreeft);1995 juli;
1640;Langoustine (Noorse kreeft);1995 augustus;
1641;Langoustine (Noorse kreeft);1995 september;
1642;Langoustine (Noorse kreeft);1995 oktober;
1643;Langoustine (Noorse kreeft);1995 november;
1644;Langoustine (Noorse kreeft);1995 december;
1645;Langoustine (Noorse kreeft);1995;
1646;Langoustine (Noorse kreeft);1996 januari;
1647;Langoustine (Noorse kreeft);1996 februari;
1648;Langoustine (Noorse kreeft);1996 maart;
1649;Langoustine (Noorse kreeft);1996 april;
1650;Langoustine (Noorse kreeft);1996 mei;
1651;Langoustine (Noorse kreeft);1996 juni;
1652;Langoustine (Noorse kreeft);1996 juli;
1653;Langoustine (Noorse kreeft);1996 augustus;
1654;Langoustine (Noorse kreeft);1996 september;
1655;Langoustine (Noorse kreeft);1996 oktober;
1656;Langoustine (Noorse kreeft);1996 november;
1657;Langoustine (Noorse kreeft);1996 december;
1658;Langoustine (Noorse kreeft);1996;
1659;Langoustine (Noorse kreeft);1997 januari;
1660;Langoustine (Noorse kreeft);1997 februari;
1661;Langoustine (Noorse kreeft);1997 maart;
1662;Langoustine (Noorse kreeft);1997 april;
1663;Langoustine (Noorse kreeft);1997 mei;
1664;Langoustine (Noorse kreeft);1997 juni;
1665;Langoustine (Noorse kreeft);1997 juli;
1666;Langoustine (Noorse kreeft);1997 augustus;
1667;Langoustine (Noorse kreeft);1997 september;
1668;Langoustine (Noorse kreeft);1997 oktober;
1669;Langoustine (Noorse kreeft);1997 november;
1670;Langoustine (Noorse kreeft);1997 december;
1671;Langoustine (Noorse kreeft);1997;
1672;Langoustine (Noorse kreeft);1998 januari;
1673;Langoustine (Noorse kreeft);1998 februari;
1674;Langoustine (Noorse kreeft);1998 maart;
1675;Langoustine (Noorse kreeft);1998 april;
1676;Langoustine (Noorse kreeft);1998 mei;
1677;Langoustine (Noorse kreeft);1998 juni;
1678;Langoustine (Noorse kreeft);1998 juli;
1679;Langoustine (Noorse kreeft);1998 augustus;
1680;Langoustine (Noorse kreeft);1998 september;
1681;Langoustine (Noorse kreeft);1998 oktober;
1682;Langoustine (Noorse kreeft);1998 november;
1683;Langoustine (Noorse kreeft);1998 december;
1684;Langoustine (Noorse kreeft);1998;
1685;Langoustine (Noorse kreeft);1999 januari;
1686;Langoustine (Noorse kreeft);1999 februari;
1687;Langoustine (Noorse kreeft);1999 maart;
1688;Langoustine (Noorse kreeft);1999 april;
1689;Langoustine (Noorse kreeft);1999 mei;
1690;Langoustine (Noorse kreeft);1999 juni;
1691;Langoustine (Noorse kreeft);1999 juli;
1692;Langoustine (Noorse kreeft);1999 augustus;
1693;Langoustine (Noorse kreeft);1999 september;
1694;Langoustine (Noorse kreeft);1999 oktober;
1695;Langoustine (Noorse kreeft);1999 november;
1696;Langoustine (Noorse kreeft);1999 december;
1697;Langoustine (Noorse kreeft);1999;
1698;Langoustine (Noorse kreeft);2000 januari;4815.0
1699;Langoustine (Noorse kreeft);2000 februari;4579.0
1700;Langoustine (Noorse kreeft);2000 maart;
1701;Langoustine (Noorse kreeft);2000 april;
1702;Langoustine (Noorse kreeft);2000 mei;
1703;Langoustine (Noorse kreeft);2000 juni;5749.0
1704;Langoustine (Noorse kreeft);2000 juli;4270.0
1705;Langoustine (Noorse kreeft);2000 augustus;3730.0
1706;Langoustine (Noorse kreeft);2000 september;4669.0
1707;Langoustine (Noorse kreeft);2000 oktober;3884.0
1708;Langoustine (Noorse kreeft);2000 november;3744.0
1709;Langoustine (Noorse kreeft);2000 december;4161.0
1710;Langoustine (Noorse kreeft);2000;4511.0
1711;Langoustine (Noorse kreeft);2001 januari;4207.0
1712;Langoustine (Noorse kreeft);2001 februari;4406.0
1713;Langoustine (Noorse kreeft);2001 maart;4892.0
1714;Langoustine (Noorse kreeft);2001 april;6026.0
1715;Langoustine (Noorse kreeft);2001 mei;5935.0
1716;Langoustine (Noorse kreeft);2001 juni;3612.0
1717;Langoustine (Noorse kreeft);2001 juli;5758.0
1718;Langoustine (Noorse kreeft);2001 augustus;5636.0
1719;Langoustine (Noorse kreeft);2001 september;4892.0
1720;Langoustine (Noorse kreeft);2001 oktober;6076.0
1721;Langoustine (Noorse kreeft);2001 november;5749.0
1722;Langoustine (Noorse kreeft);2001 december;5736.0
1723;Langoustine (Noorse kreeft);2001;5536.0
1724;Langoustine (Noorse kreeft);2002 januari;3880.0
1725;Langoustine (Noorse kreeft);2002 februari;4690.0
1726;Langoustine (Noorse kreeft);2002 maart;5110.0
1727;Langoustine (Noorse kreeft);2002 april;5640.0
1728;Langoustine (Noorse kreeft);2002 mei;7430.0
1729;Langoustine (Noorse kreeft);2002 juni;6890.0
1730;Langoustine (Noorse kreeft);2002 juli;6180.0
1731;Langoustine (Noorse kreeft);2002 augustus;5290.0
1732;Langoustine (Noorse kreeft);2002 september;5560.0
1733;Langoustine (Noorse kreeft);2002 oktober;6640.0
1734;Langoustine (Noorse kreeft);2002 november;6030.0
1735;Langoustine (Noorse kreeft);2002 december;5760.0
1736;Langoustine (Noorse kreeft);2002;5800.0
1737;Langoustine (Noorse kreeft);2003 januari;5360.0
1738;Langoustine (Noorse kreeft);2003 februari;5120.0
1739;Langoustine (Noorse kreeft);2003 maart;4920.0
1740;Langoustine (Noorse kreeft);2003 april;5740.0
1741;Langoustine (Noorse kreeft);2003 mei;6180.0
1742;Langoustine (Noorse kreeft);2003 juni;4580.0
1743;Langoustine (Noorse kreeft);2003 juli;4210.0
1744;Langoustine (Noorse kreeft);2003 augustus;3780.0
1745;Langoustine (Noorse kreeft);2003 september;3700.0
1746;Langoustine (Noorse kreeft);2003 oktober;4200.0
1747;Langoustine (Noorse kreeft);2003 november;4680.0
1748;Langoustine (Noorse kreeft);2003 december;4670.0
1749;Langoustine (Noorse kreeft);2003;4380.0
1750;Langoustine (Noorse kreeft);2004 januari;4620.0
1751;Langoustine (Noorse kreeft);2004 februari;4640.0
1752;Langoustine (Noorse kreeft);2004 maart;5040.0
1753;Langoustine (Noorse kreeft);2004 april;5730.0
1754;Langoustine (Noorse kreeft);2004 mei;5010.0
1755;Langoustine (Noorse kreeft);2004 juni;5950.0
1756;Langoustine (Noorse kreeft);2004 juli;3850.0
1757;Langoustine (Noorse kreeft);2004 augustus;3330.0
1758;Langoustine (Noorse kreeft);2004 september;3430.0
1759;Langoustine (Noorse kreeft);2004 oktober;3780.0
1760;Langoustine (Noorse kreeft);2004 november;4370.0
1761;Langoustine (Noorse kreeft);2004 december;4400.0
1762;Langoustine (Noorse kreeft);2004;4160.0
1763;Langoustine (Noorse kreeft);2005 januari;5350.0
1764;Langoustine (Noorse kreeft);2005 februari;5190.0
1765;Langoustine (Noorse kreeft);2005 maart;5200.0
1766;Langoustine (Noorse kreeft);2005 april;5060.0
1767;Langoustine (Noorse kreeft);2005 mei;5900.0
1768;Langoustine (Noorse kreeft);2005 juni;5070.0
1769;Langoustine (Noorse kreeft);2005 juli;5040.0
1770;Langoustine (Noorse kreeft);2005 augustus;4760.0
1771;Langoustine (Noorse kreeft);2005 september;4270.0
1772;Langoustine (Noorse kreeft);2005 oktober;5030.0
1773;Langoustine (Noorse kreeft);2005 november;4820.0
1774;Langoustine (Noorse kreeft);2005 december;5040.0
1775;Langoustine (Noorse kreeft);2005;4790.0
1776;Langoustine (Noorse kreeft);2006 januari;5590.0
1777;Langoustine (Noorse kreeft);2006 februari;5580.0
1778;Langoustine (Noorse kreeft);2006 maart;5690.0
1779;Langoustine (Noorse kreeft);2006 april;5980.0
1780;Langoustine (Noorse kreeft);2006 mei;6220.0
1781;Langoustine (Noorse kreeft);2006 juni;6580.0
1782;Langoustine (Noorse kreeft);2006 juli;7010.0
1783;Langoustine (Noorse kreeft);2006 augustus;5980.0
1784;Langoustine (Noorse kreeft);2006 september;5700.0
1785;Langoustine (Noorse kreeft);2006 oktober;5970.0
1786;Langoustine (Noorse kreeft);2006 november;6470.0
1787;Langoustine (Noorse kreeft);2006 december;6810.0
1788;Langoustine (Noorse kreeft);2006;6090.0
1789;Langoustine (Noorse kreeft);2007 januari;5770.0
1790;Langoustine (Noorse kreeft);2007 februari;6590.0
1791;Langoustine (Noorse kreeft);2007 maart;6120.0
1792;Langoustine (Noorse kreeft);2007 april;6580.0
1793;Langoustine (Noorse kreeft);2007 mei;6920.0
1794;Langoustine (Noorse kreeft);2007 juni;6730.0
1795;Langoustine (Noorse kreeft);2007 juli;5880.0
1796;Langoustine (Noorse kreeft);2007 augustus;5640.0
1797;Langoustine (Noorse kreeft);2007 september;6450.0
1798;Langoustine (Noorse kreeft);2007 oktober;7000.0
1799;Langoustine (Noorse kreeft);2007 november;7090.0
1800;Langoustine (Noorse kreeft);2007 december;7140.0
1801;Langoustine (Noorse kreeft);2007;6320.0
1802;Langoustine (Noorse kreeft);2008 januari;7180.0
1803;Langoustine (Noorse kreeft);2008 februari;8270.0
1804;Langoustine (Noorse kreeft);2008 maart;6970.0
1805;Langoustine (Noorse kreeft);2008 april;7300.0
1806;Langoustine (Noorse kreeft);2008 mei;6690.0
1807;Langoustine (Noorse kreeft);2008 juni;6780.0
1808;Langoustine (Noorse kreeft);2008 juli;6690.0
1809;Langoustine (Noorse kreeft);2008 augustus;4190.0
1810;Langoustine (Noorse kreeft);2008 september;4230.0
1811;Langoustine (Noorse kreeft);2008 oktober;4700.0
1812;Langoustine (Noorse kreeft);2008 november;4820.0
1813;Langoustine (Noorse kreeft);2008 december;4170.0
1814;Langoustine (Noorse kreeft);2008;5000.0
1815;Langoustine (Noorse kreeft);2009 januari;4720.0
1816;Langoustine (Noorse kreeft);2009 februari;5190.0
1817;Langoustine (Noorse kreeft);2009 maart;4520.0
1818;Langoustine (Noorse kreeft);2009 april;4740.0
1819;Langoustine (Noorse kreeft);2009 mei;5180.0
1820;Langoustine (Noorse kreeft);2009 juni;4320.0
1821;Langoustine (Noorse kreeft);2009 juli;4160.0
1822;Langoustine (Noorse kreeft);2009 augustus;3540.0
1823;Langoustine (Noorse kreeft);2009 september;3650.0
1824;Langoustine (Noorse kreeft);2009 oktober;3960.0
1825;Langoustine (Noorse kreeft);2009 november;4500.0
1826;Langoustine (Noorse kreeft);2009 december;4810.0
1827;Langoustine (Noorse kreeft);2009;4100.0
1828;Langoustine (Noorse kreeft);2010 januari;4650.0
1829;Langoustine (Noorse kreeft);2010 februari;4530.0
1830;Langoustine (Noorse kreeft);2010 maart;4440.0
1831;Langoustine (Noorse kreeft);2010 april;4750.0
1832;Langoustine (Noorse kreeft);2010 mei;5490.0
1833;Langoustine (Noorse kreeft);2010 juni;4960.0
1834;Langoustine (Noorse kreeft);2010 juli;5750.0
1835;Langoustine (Noorse kreeft);2010 augustus;4490.0
1836;Langoustine (Noorse kreeft);2010 september;4500.0
1837;Langoustine (Noorse kreeft);2010 oktober;5050.0
1838;Langoustine (Noorse kreeft);2010 november;6740.0
1839;Langoustine (Noorse kreeft);2010 december;6930.0
1840;Langoustine (Noorse kreeft);2010;5200.0
1841;Langoustine (Noorse kreeft);2011 januari;6010.0
1842;Langoustine (Noorse kreeft);2011 februari;5970.0
1843;Langoustine (Noorse kreeft);2011 maart;6370.0
1844;Langoustine (Noorse kreeft);2011 april;6430.0
1845;Langoustine (Noorse kreeft);2011 mei;7720.0
1846;Langoustine (Noorse kreeft);2011 juni;8410.0
1847;Langoustine (Noorse kreeft);2011 juli;7500.0
1848;Langoustine (Noorse kreeft);2011 augustus;5840.0
1849;Langoustine (Noorse kreeft);2011 september;6060.0
1850;Langoustine (Noorse kreeft);2011 oktober;6620.0
1851;Langoustine (Noorse kreeft);2011 november;6590.0
1852;Langoustine (Noorse kreeft);2011 december;5570.0
1853;Langoustine (Noorse kreeft);2011;6660.0
1854;Langoustine (Noorse kreeft);2012 januari;6402.0
1855;Langoustine (Noorse kreeft);2012 februari;6073.0
1856;Langoustine (Noorse kreeft);2012 maart;5820.0
1857;Langoustine (Noorse kreeft);2012 april;6336.0
1858;Langoustine (Noorse kreeft);2012 mei;6454.0
1859;Langoustine (Noorse kreeft);2012 juni;6103.0
1860;Langoustine (Noorse kreeft);2012 juli;5983.0
1861;Langoustine (Noorse kreeft);2012 augustus;4582.0
1862;Langoustine (Noorse kreeft);2012 september;4797.0
1863;Langoustine (Noorse kreeft);2012 oktober;5901.0
1864;Langoustine (Noorse kreeft);2012 november;6130.0
1865;Langoustine (Noorse kreeft);2012 december;6432.0
1866;Langoustine (Noorse kreeft);2012;5527.0
1867;Langoustine (Noorse kreeft);2013 januari;5520.0
1868;Langoustine (Noorse kreeft);2013 februari;5707.0
1869;Langoustine (Noorse kreeft);2013 maart;6242.0
1870;Langoustine (Noorse kreeft);2013 april;6412.0
1871;Langoustine (Noorse kreeft);2013 mei;7489.0
1872;Langoustine (Noorse kreeft);2013 juni;7382.0
1873;Langoustine (Noorse kreeft);2013 juli;7587.0
1874;Langoustine (Noorse kreeft);2013 augustus;6797.0
1875;Langoustine (Noorse kreeft);2013 september;5086.0
1876;Langoustine (Noorse kreeft);2013 oktober;5348.0
1877;Langoustine (Noorse kreeft);2013 november;5756.0
1878;Langoustine (Noorse kreeft);2013 december;5813.0
1879;Langoustine (Noorse kreeft);2013;5981.0
1880;Langoustine (Noorse kreeft);2014 januari;6003.0
1881;Langoustine (Noorse kreeft);2014 februari;5829.0
1882;Langoustine (Noorse kreeft);2014 maart;6251.0
1883;Langoustine (Noorse kreeft);2014 april;6656.0
1884;Langoustine (Noorse kreeft);2014 mei;6805.0
1885;Langoustine (Noorse kreeft);2014 juni;6478.0
1886;Langoustine (Noorse kreeft);2014 juli;5646.0
1887;Langoustine (Noorse kreeft);2014 augustus;4886.0
1888;Langoustine (Noorse kreeft);2014 september;5001.0
1889;Langoustine (Noorse kreeft);2014 oktober;5606.0
