ID;Geslacht;Onderwijssoort;SoortDiploma;Studierichting;Migratieachtergrond;Perioden;Gediplomeerden_1
18;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2015/'16;123
19;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2016/'17;110
20;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2017/'18;136
21;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2018/'19;165
22;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2019/'20;187
23;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2020/'21;234
24;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2015/'16;259
25;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2016/'17;251
26;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2017/'18;347
27;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2018/'19;315
28;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2019/'20;476
29;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Niet-westerse migratieachtergrond;2020/'21;555
30;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2015/'16;31
31;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2016/'17;44
32;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2017/'18;71
33;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2018/'19;45
34;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2019/'20;91
35;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Turkije;2020/'21;106
36;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2015/'16;36
37;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2016/'17;27
38;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2017/'18;44
39;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2018/'19;46
40;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2019/'20;63
41;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Marokko;2020/'21;76
42;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2015/'16;77
43;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2016/'17;69
44;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2017/'18;89
45;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2018/'19;93
46;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2019/'20;114
47;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Suriname;2020/'21;121
48;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2015/'16;38
49;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2016/'17;33
50;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2017/'18;49
51;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2018/'19;33
52;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2019/'20;56
53;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;(voormalige) Nederlandse Antillen, Aruba;2020/'21;60
54;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2015/'16;77
55;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2016/'17;78
56;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2017/'18;94
57;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2018/'19;98
58;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2019/'20;152
59;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Overige niet-westerse migratieachterg...;2020/'21;192
60;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2015/'16;0
61;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2016/'17;0
62;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2017/'18;0
63;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2018/'19;0
64;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2019/'20;0
65;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Onbekende migratieachtergrond;2020/'21;0
66;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Totaal;2015/'16;99
67;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Totaal;2016/'17;117
68;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Totaal;2017/'18;194
69;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Totaal;2018/'19;173
70;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Totaal;2019/'20;291
71;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Totaal;2020/'21;456
72;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Nederlandse achtergrond;2015/'16;63
73;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Nederlandse achtergrond;2016/'17;88
74;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Nederlandse achtergrond;2017/'18;145
75;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Nederlandse achtergrond;2018/'19;139
76;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Nederlandse achtergrond;2019/'20;260
77;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Nederlandse achtergrond;2020/'21;380
78;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Met migratieachtergrond;2015/'16;36
79;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Met migratieachtergrond;2016/'17;29
80;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Met migratieachtergrond;2017/'18;49
81;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Met migratieachtergrond;2018/'19;34
82;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Met migratieachtergrond;2019/'20;31
83;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Met migratieachtergrond;2020/'21;76
84;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Westerse migratieachtergrond;2015/'16;7
85;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Westerse migratieachtergrond;2016/'17;7
86;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Westerse migratieachtergrond;2017/'18;6
87;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Westerse migratieachtergrond;2018/'19;8
88;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Westerse migratieachtergrond;2019/'20;11
89;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Westerse migratieachtergrond;2020/'21;21
90;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Niet-westerse migratieachtergrond;2015/'16;29
91;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Niet-westerse migratieachtergrond;2016/'17;22
92;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Niet-westerse migratieachtergrond;2017/'18;43
93;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Niet-westerse migratieachtergrond;2018/'19;26
94;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Niet-westerse migratieachtergrond;2019/'20;20
95;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Niet-westerse migratieachtergrond;2020/'21;55
96;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Turkije;2015/'16;3
97;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Turkije;2016/'17;5
98;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Turkije;2017/'18;10
99;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Turkije;2018/'19;3
100;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Turkije;2019/'20;5
101;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Turkije;2020/'21;21
102;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Marokko;2015/'16;5
103;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Marokko;2016/'17;8
104;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Marokko;2017/'18;10
105;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Marokko;2018/'19;8
106;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Marokko;2019/'20;5
107;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Marokko;2020/'21;10
108;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Suriname;2015/'16;9
109;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Suriname;2016/'17;2
110;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Suriname;2017/'18;13
111;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Suriname;2018/'19;8
112;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Suriname;2019/'20;5
113;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Suriname;2020/'21;13
114;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2015/'16;5
115;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2016/'17;4
116;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2017/'18;3
117;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2018/'19;1
118;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2019/'20;3
119;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;(voormalige) Nederlandse Antillen, Aruba;2020/'21;2
120;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Overige niet-westerse migratieachterg...;2015/'16;7
121;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Overige niet-westerse migratieachterg...;2016/'17;3
122;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Overige niet-westerse migratieachterg...;2017/'18;7
123;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Overige niet-westerse migratieachterg...;2018/'19;6
124;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Overige niet-westerse migratieachterg...;2019/'20;2
125;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Overige niet-westerse migratieachterg...;2020/'21;9
126;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Onbekende migratieachtergrond;2015/'16;0
127;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Onbekende migratieachtergrond;2016/'17;0
128;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Onbekende migratieachtergrond;2017/'18;0
129;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Onbekende migratieachtergrond;2018/'19;0
130;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Onbekende migratieachtergrond;2019/'20;0
131;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;01 Onderwijs;Onbekende migratieachtergrond;2020/'21;0
132;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Totaal;2015/'16;99
133;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Totaal;2016/'17;117
134;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Totaal;2017/'18;194
135;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Totaal;2018/'19;173
136;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Totaal;2019/'20;291
137;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Totaal;2020/'21;456
138;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Nederlandse achtergrond;2015/'16;63
139;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Nederlandse achtergrond;2016/'17;88
140;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Nederlandse achtergrond;2017/'18;145
141;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Nederlandse achtergrond;2018/'19;139
142;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Nederlandse achtergrond;2019/'20;260
143;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Nederlandse achtergrond;2020/'21;380
144;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Met migratieachtergrond;2015/'16;36
145;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Met migratieachtergrond;2016/'17;29
146;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Met migratieachtergrond;2017/'18;49
147;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Met migratieachtergrond;2018/'19;34
148;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Met migratieachtergrond;2019/'20;31
149;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Met migratieachtergrond;2020/'21;76
150;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Westerse migratieachtergrond;2015/'16;7
151;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Westerse migratieachtergrond;2016/'17;7
152;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Westerse migratieachtergrond;2017/'18;6
153;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Westerse migratieachtergrond;2018/'19;8
154;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Westerse migratieachtergrond;2019/'20;11
155;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Westerse migratieachtergrond;2020/'21;21
156;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Niet-westerse migratieachtergrond;2015/'16;29
157;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Niet-westerse migratieachtergrond;2016/'17;22
158;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Niet-westerse migratieachtergrond;2017/'18;43
159;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Niet-westerse migratieachtergrond;2018/'19;26
160;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Niet-westerse migratieachtergrond;2019/'20;20
161;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Niet-westerse migratieachtergrond;2020/'21;55
162;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Turkije;2015/'16;3
163;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Turkije;2016/'17;5
164;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Turkije;2017/'18;10
165;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Turkije;2018/'19;3
166;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Turkije;2019/'20;5
167;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Turkije;2020/'21;21
168;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Marokko;2015/'16;5
169;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Marokko;2016/'17;8
170;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Marokko;2017/'18;10
171;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Marokko;2018/'19;8
172;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Marokko;2019/'20;5
173;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Marokko;2020/'21;10
174;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Suriname;2015/'16;9
175;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Suriname;2016/'17;2
176;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Suriname;2017/'18;13
177;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Suriname;2018/'19;8
178;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Suriname;2019/'20;5
179;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Suriname;2020/'21;13
180;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;(voormalige) Nederlandse Antillen, Aruba;2015/'16;5
181;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;(voormalige) Nederlandse Antillen, Aruba;2016/'17;4
182;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;(voormalige) Nederlandse Antillen, Aruba;2017/'18;3
183;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;(voormalige) Nederlandse Antillen, Aruba;2018/'19;1
184;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;(voormalige) Nederlandse Antillen, Aruba;2019/'20;3
185;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;(voormalige) Nederlandse Antillen, Aruba;2020/'21;2
186;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Overige niet-westerse migratieachterg...;2015/'16;7
187;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Overige niet-westerse migratieachterg...;2016/'17;3
188;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Overige niet-westerse migratieachterg...;2017/'18;7
189;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Overige niet-westerse migratieachterg...;2018/'19;6
190;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Overige niet-westerse migratieachterg...;2019/'20;2
191;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Overige niet-westerse migratieachterg...;2020/'21;9
192;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Onbekende migratieachtergrond;2015/'16;0
193;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Onbekende migratieachtergrond;2016/'17;0
194;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;011 Onderwijskunde, lerarenopleiding...;Onbekende migratieachtergrond;2017/'18;0
