ID;Persoonskenmerken;Marges;Perioden;WegenPadenPleintjesGoedOnderhouden_1;PlantsoenenEnParkenGoedOnderhouden_2;BuitenGoedVerlicht_3;GoedeSpeelplekkenVoorKinderen_4;GoedeVoorzieningenVoorJongeren_5;FysiekeVoorzieningenSchaalscore_6;MensenKennenElkaarNauwelijks_7;MensenGaanPrettigMetElkaarOm_8;GezelligeBuurtMetVeelSaamhorigheid_9;VoelMijThuisBijMensenInDezeBuurt_10;VeelContactMetAndereBuurtbewoners_11;TevredenMetSamenstellingBevolking_12;SocialeCohesieSchaalscore_13;VooruitGegaan_14;AchteruitGegaan_15;GelijkGebleven_16;RapportcijferLeefbaarheidWoonbuurt_17;ZeerTevreden_18;NietTevredenNietOntevreden_19;ZeerOntevreden_20;GeenOordeel_21;HeeftAandachtVerbeterenLeefbaarheid_22;InformeertBuurtMbtAanpakLeefbaarheid_23;BetrektBuurtBijAanpakLeefbaarheid_24;EenOfMeerVormenKomenVoor_25;ErvaartEenOfMeerVormenVanOverlast_26;RommelOpStraat_27;StraatmeubilairDatVernieldIs_28;BekladdeMurenOfGebouwen_29;Hondenpoep_30;EenOfMeerVormenFysiekeVerloedering_31;RommelOpStraat_32;StraatmeubilairDatVernieldIs_33;BekladdeMurenOfGebouwen_34;Hondenpoep_35;EenOfMeerVormenFysiekeVerloedering_36;DronkenMensenOpStraat_37;DrugsgebruikOfDrugshandel_38;OverlastDoorBuurtbewoners_39;MensenWordenOpStraatLastiggevallen_40;RondhangendeJongeren_41;EenOfMeerVormenVanSocialeOverlast_42;DronkenMensenOpStraat_43;DrugsgebruikOfDrugshandel_44;OverlastDoorBuurtbewoners_45;MensenWordenOpStraatLastiggevallen_46;RondhangendeJongeren_47;EenOfMeerVormenVanSocialeOverlast_48;TeHardRijden_49;Parkeerproblemen_50;AgressiefGedragInVerkeer_51;EenOfMeerVormenVanVerkeersoverlast_52;TeHardRijden_53;Parkeerproblemen_54;AgressiefGedragInVerkeer_55;EenOfMeerVormenVanVerkeersoverlast_56;KomtWeleensVoor_57;ErvaartVeelOverlast_58
10;Totaal personen;Betrouwbaarheidsmarge;2015;0.4;0.4;0.3;0.4;0.4;0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.0;0.3;0.3;0.4;0.0;0.4;0.4;0.3;0.3;0.5;0.5;0.4;0.2;0.4;0.4;0.4;0.3;0.4;0.3;0.2;0.1;0.1;0.3;0.3;0.4;0.3;0.4;0.3;0.4;0.4;0.1;0.2;0.2;0.1;0.2;0.3;0.4;0.4;0.4;0.3;0.3;0.3;0.2;0.4;0.3;0.1
11;Totaal personen;Betrouwbaarheidsmarge;2016;0.4;0.4;0.3;0.4;0.4;0.0;0.4;0.4;0.4;0.4;0.4;0.4;0.0;0.3;0.3;0.4;0.0;0.4;0.4;0.3;0.4;0.5;0.5;0.5;0.2;0.4;0.4;0.4;0.3;0.4;0.3;0.2;0.1;0.1;0.3;0.3;0.4;0.3;0.4;0.3;0.4;0.4;0.1;0.2;0.2;0.1;0.2;0.3;0.4;0.4;0.4;0.3;0.3;0.3;0.2;0.4;0.3;0.1
12;Totaal personen;Betrouwbaarheidsmarge;2017;0.3;0.3;0.3;0.4;0.3;0.0;0.3;0.3;0.4;0.4;0.4;0.4;0.0;0.2;0.3;0.3;0.0;0.4;0.3;0.2;0.3;0.4;0.4;0.4;0.2;0.4;0.4;0.3;0.3;0.4;0.3;0.2;0.1;0.1;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.1;0.1;0.2;0.1;0.2;0.2;0.3;0.4;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.1
13;Totaal personen;Betrouwbaarheidsmarge;2019;0.3;0.3;0.3;0.4;0.3;0.0;0.3;0.3;0.4;0.4;0.4;0.3;0.0;0.2;0.2;0.3;0.0;0.4;0.3;0.2;0.3;0.4;0.4;0.4;0.2;0.4;0.4;0.3;0.3;0.4;0.3;0.2;0.1;0.1;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.4;0.1;0.1;0.2;0.1;0.2;0.2;0.3;0.4;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.1
14;Geslacht: Mannen;Waarde;2012;71.0;68.9;78.5;62.6;26.4;6.3;25.1;70.1;43.7;60.4;38.0;70.0;6.2;12.3;14.1;69.7;7.4;41.7;28.2;12.4;17.6;49.5;42.6;35.2;94.5;45.1;54.2;32.6;27.9;68.8;82.5;6.3;3.3;2.4;18.5;23.3;26.3;22.9;26.1;13.5;40.4;56.9;3.1;3.9;5.0;1.7;6.8;13.0;69.7;50.1;29.9;81.4;21.4;17.3;6.4;31.8;13.2;1.6
15;Geslacht: Mannen;Waarde;2013;69.3;67.8;79.0;62.3;26.7;6.3;25.1;69.1;43.3;60.1;37.6;68.6;6.2;10.0;14.5;71.7;7.4;39.9;28.4;13.5;18.2;47.1;41.4;34.6;94.0;45.0;54.3;31.1;27.1;68.2;82.0;6.3;3.0;2.3;19.0;23.4;26.1;23.2;27.6;13.3;39.0;56.9;3.2;3.8;5.1;1.4;6.3;12.7;70.4;49.2;30.4;81.2;21.6;17.0;6.5;31.7;13.1;1.7
16;Geslacht: Mannen;Waarde;2014;70.5;68.6;78.7;63.4;27.4;6.4;25.3;70.5;43.5;60.5;37.7;69.3;6.2;10.9;13.5;72.0;7.4;40.4;27.8;12.9;18.9;47.7;40.6;34.2;93.6;43.0;52.7;30.0;25.9;67.1;81.0;5.8;2.7;2.0;17.6;21.8;25.9;23.6;27.7;13.5;38.1;56.2;2.5;3.4;5.0;1.4;5.4;11.7;69.6;47.9;29.3;80.5;20.5;15.7;5.8;30.3;13.3;1.5
17;Geslacht: Mannen;Waarde;2015;70.2;68.8;78.1;63.3;27.5;6.4;25.5;70.1;43.0;60.0;36.6;69.0;6.2;10.6;13.2;72.4;7.4;41.2;27.2;12.8;18.8;47.4;40.1;34.2;93.4;42.5;53.0;29.4;24.5;66.5;80.5;6.2;2.5;1.6;17.2;21.7;25.8;23.5;27.2;12.9;36.9;55.5;2.6;3.8;4.7;1.3;5.4;11.5;69.7;48.0;28.5;80.5;19.9;15.8;5.8;29.6;13.1;1.6
18;Geslacht: Mannen;Waarde;2016;71.5;69.5;79.1;64.5;28.9;6.4;24.9;70.5;44.0;60.1;36.8;68.4;6.2;11.3;12.8;71.9;7.5;42.3;26.0;12.2;19.5;49.0;41.4;35.1;93.4;41.5;51.6;28.4;23.3;65.6;80.1;6.1;2.5;1.5;15.6;20.1;24.9;22.3;27.2;11.7;35.6;54.8;2.6;3.5;5.3;1.4;5.2;11.7;69.0;47.1;27.7;79.7;20.2;15.5;5.9;29.5;11.9;1.6
19;Geslacht: Mannen;Waarde;2017;70.0;68.3;78.9;63.7;27.4;6.4;25.8;70.5;43.7;60.5;36.2;68.5;6.2;11.5;13.2;71.2;7.5;42.2;25.9;11.9;19.9;48.7;41.0;34.9;92.9;41.9;52.1;26.9;22.1;64.3;79.0;6.3;2.2;1.4;15.6;20.2;24.1;22.4;26.6;11.4;34.6;53.5;2.4;3.3;4.8;1.3;4.7;10.9;69.1;48.0;28.5;80.1;20.7;16.2;6.4;30.5;12.0;1.6
20;Geslacht: Mannen;Waarde;2019;70.9;69.5;80.2;64.7;27.5;6.5;25.7;72.5;45.7;62.0;36.8;69.5;6.3;11.7;12.3;72.3;7.6;45.1;25.5;11.7;17.7;51.5;42.6;36.9;93.4;41.2;52.9;26.0;20.0;62.7;78.7;6.7;2.4;1.3;13.8;18.8;24.6;23.1;26.4;10.1;32.4;54.1;2.4;3.8;4.6;1.2;4.4;10.8;70.9;48.7;28.5;81.8;21.0;16.7;6.4;30.9;10.4;1.5
21;Geslacht: Mannen;Betrouwbaarheidsmarge;2012;0.6;0.6;0.6;0.7;0.6;0.0;0.6;0.6;0.7;0.7;0.6;0.6;0.0;0.5;0.5;0.6;0.0;0.7;0.6;0.4;0.5;0.7;0.7;0.7;0.3;0.7;0.7;0.6;0.6;0.6;0.5;0.4;0.3;0.2;0.5;0.6;0.6;0.6;0.6;0.5;0.7;0.7;0.3;0.3;0.3;0.2;0.4;0.5;0.6;0.7;0.6;0.5;0.6;0.5;0.4;0.6;0.5;0.2
22;Geslacht: Mannen;Betrouwbaarheidsmarge;2013;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.6;0.6;0.5;0.5;0.0;0.4;0.4;0.5;0.0;0.5;0.5;0.4;0.4;0.6;0.6;0.6;0.3;0.6;0.6;0.5;0.5;0.5;0.4;0.3;0.2;0.2;0.4;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.2;0.2;0.3;0.1;0.3;0.4;0.5;0.6;0.5;0.4;0.5;0.4;0.3;0.5;0.4;0.1
23;Geslacht: Mannen;Betrouwbaarheidsmarge;2014;0.5;0.6;0.5;0.6;0.5;0.0;0.5;0.6;0.6;0.6;0.6;0.6;0.0;0.4;0.4;0.6;0.0;0.6;0.5;0.4;0.5;0.7;0.7;0.6;0.3;0.6;0.6;0.6;0.5;0.6;0.5;0.3;0.2;0.2;0.5;0.5;0.5;0.5;0.5;0.4;0.6;0.6;0.2;0.2;0.3;0.1;0.3;0.4;0.6;0.6;0.5;0.5;0.5;0.5;0.3;0.6;0.4;0.1
24;Geslacht: Mannen;Betrouwbaarheidsmarge;2015;0.5;0.5;0.5;0.6;0.5;0.0;0.5;0.5;0.6;0.6;0.6;0.6;0.0;0.4;0.4;0.5;0.0;0.6;0.5;0.4;0.5;0.7;0.6;0.6;0.3;0.6;0.6;0.5;0.5;0.6;0.5;0.3;0.2;0.2;0.5;0.5;0.5;0.5;0.5;0.4;0.6;0.6;0.2;0.2;0.3;0.1;0.3;0.4;0.6;0.6;0.5;0.5;0.5;0.4;0.3;0.5;0.4;0.1
25;Geslacht: Mannen;Betrouwbaarheidsmarge;2016;0.5;0.6;0.5;0.6;0.6;0.0;0.5;0.6;0.6;0.6;0.6;0.6;0.0;0.4;0.4;0.5;0.0;0.6;0.5;0.4;0.5;0.7;0.7;0.6;0.3;0.6;0.6;0.5;0.5;0.6;0.5;0.3;0.2;0.1;0.4;0.5;0.5;0.5;0.5;0.4;0.6;0.6;0.2;0.2;0.3;0.1;0.3;0.4;0.6;0.6;0.5;0.5;0.5;0.4;0.3;0.6;0.4;0.1
26;Geslacht: Mannen;Betrouwbaarheidsmarge;2017;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.4;0.4;0.5;0.0;0.5;0.5;0.4;0.4;0.6;0.6;0.6;0.3;0.5;0.5;0.5;0.5;0.5;0.4;0.3;0.2;0.1;0.4;0.4;0.5;0.5;0.5;0.3;0.5;0.5;0.2;0.2;0.2;0.1;0.2;0.3;0.5;0.5;0.5;0.4;0.4;0.4;0.3;0.5;0.4;0.1
27;Geslacht: Mannen;Betrouwbaarheidsmarge;2019;0.5;0.5;0.4;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.4;0.3;0.5;0.0;0.5;0.5;0.3;0.4;0.6;0.6;0.6;0.3;0.5;0.5;0.5;0.4;0.5;0.4;0.3;0.2;0.1;0.4;0.4;0.5;0.4;0.5;0.3;0.5;0.5;0.2;0.2;0.2;0.1;0.2;0.3;0.5;0.5;0.5;0.4;0.4;0.4;0.3;0.5;0.3;0.1
28;Geslacht: Vrouwen;Waarde;2012;68.5;68.0;76.5;59.8;22.1;6.2;23.6;68.0;42.1;60.5;36.1;67.6;6.2;10.2;14.9;70.0;7.4;35.6;26.9;10.4;27.1;47.3;41.0;34.5;95.0;47.1;57.3;34.3;28.7;71.7;84.3;7.2;3.4;2.0;20.7;25.7;28.1;25.3;29.1;15.9;42.8;59.0;3.1;3.6;5.1;1.6;6.6;12.9;72.0;51.8;31.6;82.7;22.3;18.0;6.2;32.9;15.6;1.7
29;Geslacht: Vrouwen;Waarde;2013;67.0;66.4;76.9;59.8;22.3;6.2;23.8;67.6;42.1;59.6;36.5;66.2;6.2;8.9;14.7;71.8;7.4;34.5;27.1;11.0;27.4;46.0;40.7;33.9;94.4;46.7;56.3;31.7;26.3;71.2;83.4;6.9;2.8;1.8;20.7;25.2;27.8;24.9;29.6;15.6;40.0;57.7;3.0;3.8;5.3;1.4;6.1;12.8;72.8;50.4;31.7;82.2;22.6;16.8;6.1;32.3;15.1;1.5
30;Geslacht: Vrouwen;Waarde;2014;67.6;67.5;76.6;61.4;23.4;6.2;24.1;69.0;42.1;59.9;36.6;66.7;6.2;9.0;14.0;72.4;7.4;35.0;26.5;10.6;27.9;46.5;40.7;34.3;94.1;45.0;55.3;30.9;25.9;69.9;82.6;6.5;2.7;1.6;19.6;24.0;27.3;25.1;29.9;15.4;39.6;57.3;2.8;3.5;5.5;1.4;5.7;12.4;71.3;49.1;30.3;81.1;21.7;16.3;5.8;31.1;14.6;1.4
31;Geslacht: Vrouwen;Waarde;2015;67.9;67.8;76.1;61.0;23.0;6.2;23.6;68.7;42.0;59.9;35.8;67.0;6.2;9.2;13.7;72.4;7.4;35.7;25.6;10.5;28.2;46.4;40.1;33.6;93.9;44.9;55.7;30.6;24.8;70.0;82.6;6.6;2.8;1.5;19.4;24.1;27.2;25.4;29.6;15.5;38.9;56.9;2.7;3.4;5.3;1.3;5.2;11.8;71.4;50.0;30.2;81.3;21.5;16.4;5.4;31.0;14.8;1.5
32;Geslacht: Vrouwen;Waarde;2016;67.9;67.1;77.4;61.9;23.3;6.3;23.0;69.4;42.9;60.1;37.1;66.6;6.3;9.2;13.9;72.2;7.5;35.8;25.6;10.1;28.5;46.8;40.3;34.2;94.1;44.5;55.8;30.2;24.0;68.9;82.2;6.9;2.5;1.4;18.3;22.8;27.2;25.2;30.2;14.8;38.6;57.4;2.8;3.5;5.6;1.2;5.1;12.0;72.6;49.3;30.0;82.2;21.9;16.6;5.7;31.7;14.2;1.4
33;Geslacht: Vrouwen;Waarde;2017;66.3;66.2;76.0;61.4;22.7;6.2;24.3;69.1;42.3;59.6;35.7;66.0;6.2;9.3;14.9;70.6;7.5;35.9;24.9;10.2;29.0;46.6;39.8;34.2;93.9;45.2;56.0;29.5;23.2;68.4;81.8;7.2;2.5;1.2;18.5;23.3;27.0;25.8;29.6;14.8;37.6;56.3;2.6;3.7;5.4;1.3;5.4;12.1;71.8;51.1;30.6;81.9;22.3;17.3;6.0;32.2;14.2;1.5
34;Geslacht: Vrouwen;Waarde;2019;67.1;66.7;77.2;63.0;22.9;6.3;24.0;70.8;43.9;60.9;36.4;66.4;6.3;9.7;14.1;71.9;7.6;37.9;25.0;10.2;26.9;48.9;41.5;35.7;94.3;45.6;57.2;28.5;21.0;67.6;82.1;8.2;2.9;1.2;17.1;22.8;26.8;25.4;29.5;12.7;34.9;56.5;2.8;3.9;5.6;1.3;4.7;11.9;73.8;51.4;30.2;83.1;23.4;17.9;6.3;33.5;12.5;1.5
35;Geslacht: Vrouwen;Betrouwbaarheidsmarge;2012;0.6;0.6;0.5;0.6;0.5;0.0;0.5;0.6;0.6;0.6;0.6;0.6;0.0;0.4;0.4;0.6;0.0;0.6;0.6;0.4;0.6;0.7;0.7;0.7;0.3;0.6;0.6;0.6;0.6;0.6;0.4;0.4;0.3;0.2;0.5;0.6;0.6;0.6;0.6;0.5;0.6;0.6;0.2;0.3;0.3;0.2;0.3;0.5;0.6;0.6;0.6;0.5;0.5;0.5;0.3;0.6;0.5;0.2
36;Geslacht: Vrouwen;Betrouwbaarheidsmarge;2013;0.5;0.5;0.4;0.5;0.4;0.0;0.4;0.5;0.5;0.5;0.5;0.5;0.0;0.3;0.4;0.5;0.0;0.5;0.5;0.3;0.5;0.6;0.6;0.6;0.2;0.5;0.5;0.5;0.5;0.5;0.4;0.3;0.2;0.1;0.4;0.4;0.5;0.5;0.5;0.4;0.5;0.5;0.2;0.2;0.2;0.1;0.3;0.4;0.5;0.5;0.5;0.4;0.4;0.4;0.2;0.5;0.4;0.1
37;Geslacht: Vrouwen;Betrouwbaarheidsmarge;2014;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.6;0.6;0.5;0.5;0.0;0.3;0.4;0.5;0.0;0.5;0.5;0.3;0.5;0.7;0.6;0.6;0.3;0.6;0.6;0.5;0.5;0.5;0.4;0.3;0.2;0.1;0.4;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.2;0.2;0.3;0.1;0.3;0.4;0.5;0.6;0.5;0.4;0.5;0.4;0.3;0.5;0.4;0.1
38;Geslacht: Vrouwen;Betrouwbaarheidsmarge;2015;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.3;0.4;0.5;0.0;0.5;0.5;0.3;0.5;0.6;0.6;0.6;0.3;0.5;0.5;0.5;0.5;0.5;0.4;0.3;0.2;0.1;0.4;0.5;0.5;0.5;0.5;0.4;0.5;0.5;0.2;0.2;0.3;0.1;0.3;0.4;0.5;0.5;0.5;0.4;0.4;0.4;0.2;0.5;0.4;0.1
39;Geslacht: Vrouwen;Betrouwbaarheidsmarge;2016;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.6;0.6;0.5;0.5;0.0;0.3;0.4;0.5;0.0;0.5;0.5;0.3;0.5;0.7;0.7;0.6;0.3;0.6;0.6;0.5;0.5;0.5;0.4;0.3;0.2;0.1;0.4;0.5;0.5;0.5;0.5;0.4;0.6;0.6;0.2;0.2;0.3;0.1;0.3;0.4;0.5;0.6;0.5;0.4;0.5;0.4;0.3;0.5;0.4;0.1
40;Geslacht: Vrouwen;Betrouwbaarheidsmarge;2017;0.5;0.5;0.4;0.5;0.4;0.0;0.4;0.5;0.5;0.5;0.5;0.5;0.0;0.3;0.4;0.5;0.0;0.5;0.4;0.3;0.5;0.6;0.6;0.6;0.2;0.5;0.5;0.5;0.4;0.5;0.4;0.3;0.2;0.1;0.4;0.4;0.5;0.4;0.5;0.4;0.5;0.5;0.2;0.2;0.2;0.1;0.2;0.3;0.5;0.5;0.5;0.4;0.4;0.4;0.2;0.5;0.4;0.1
41;Geslacht: Vrouwen;Betrouwbaarheidsmarge;2019;0.5;0.5;0.4;0.5;0.4;0.0;0.4;0.5;0.5;0.5;0.5;0.5;0.0;0.3;0.4;0.5;0.0;0.5;0.4;0.3;0.5;0.6;0.6;0.6;0.2;0.5;0.5;0.5;0.4;0.5;0.4;0.3;0.2;0.1;0.4;0.4;0.5;0.4;0.5;0.3;0.5;0.5;0.2;0.2;0.2;0.1;0.2;0.3;0.5;0.5;0.5;0.4;0.4;0.4;0.2;0.5;0.3;0.1
42;Leeftijd: 15 tot 25 jaar;Waarde;2012;77.0;73.0;73.2;64.1;25.9;6.4;23.5;71.0;41.3;52.5;31.9;66.7;6.2;14.8;12.1;65.0;7.3;43.7;25.6;9.8;20.9;50.4;35.9;29.4;94.9;44.7;52.9;33.5;30.2;64.3;82.4;5.2;3.0;1.9;16.4;21.6;29.6;23.4;26.4;15.0;46.6;64.8;3.6;3.8;6.1;3.2;8.3;16.4;63.3;48.9;24.6;78.6;16.4;17.6;5.7;29.0;9.7;1.1
43;Leeftijd: 15 tot 25 jaar;Waarde;2013;75.6;72.2;73.8;62.3;24.9;6.3;24.0;70.0;41.2;52.8;30.7;65.0;6.1;12.4;11.8;69.5;7.2;43.2;24.6;10.8;21.5;49.1;38.0;31.1;94.5;45.0;54.0;31.3;29.3;64.1;82.1;4.9;2.8;2.0;16.9;21.2;30.6;24.4;26.9;15.3;45.7;65.2;4.0;4.3;5.9;3.0;8.2;16.3;65.3;49.9;25.6;79.1;16.7;17.7;5.6;29.3;9.7;1.4
44;Leeftijd: 15 tot 25 jaar;Waarde;2014;77.1;73.4;73.6;63.5;25.5;6.3;24.2;70.2;40.6;51.1;30.6;64.3;6.1;13.3;10.9;69.1;7.2;41.8;23.7;11.3;23.2;49.9;36.3;29.6;94.7;43.5;53.3;29.7;28.8;62.3;82.1;5.5;2.7;1.9;15.7;20.2;30.2;25.4;28.4;14.6;45.4;65.8;3.5;4.5;6.7;2.8;7.8;16.2;64.3;47.5;24.9;78.2;16.5;16.6;5.5;28.2;9.1;1.6
45;Leeftijd: 15 tot 25 jaar;Waarde;2015;76.8;73.8;73.3;65.3;27.4;6.4;23.9;71.8;41.5;52.5;29.7;65.4;6.2;13.0;11.1;69.8;7.3;43.1;23.3;10.5;23.1;49.5;37.5;30.4;93.9;43.3;52.5;29.4;26.5;63.0;81.1;5.0;2.6;1.6;16.9;21.4;29.5;24.4;26.6;13.6;43.7;64.5;3.3;4.0;5.8;2.5;6.6;14.4;64.3;46.1;24.5;77.5;15.7;16.2;5.0;27.4;9.0;1.5
