ID;Geslacht;Leeftijd;Marges;Perioden;RegelmatigVeelKrachtZetten_1;RegelmatigHardPraten_2;RegelmatigTeMakenMetTrillingen_3;GevaarlijkWerkTot2018_4;GevaarlijkWerkVanaf2018_5;Vallen_6;Struikelen_7;Bekneld_8;Snijden_9;Botsen_10;GevaarlijkeStoffen_11;Geweld_12;Verbranden_13;Verstikking_14;Anders_15;WaterigeOplossingen_16;StoffenOpHuid_17;AdemtStoffenIn_18;BesmettePersonen_19;WerktMetOfDichtbijOngezondeStoffen_20;Besmettingskans_21;BesmettingskansViaPatienten_22;BesmettingskansViaAndereMensen_23;BesmettingskansViaDieren_24;BesmettingskansViaWater_25;BesmettingskansViaOnderzoeksmateriaal_26;BesmettingskansViaAnderMateriaal_27;InOngemakkelijkeWerkhoudingWerken_28;TijdensWerkRepeterendeBewegingMaken_29;UurPerDagAanBeeldschermVoorWerk_30
25;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2017;21.4;7.8;9.8;4.5;;;;;;;;;;;;16.2;9.5;8.3;6.0;;;;;;;;;11.1;34.7;4.0
26;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2018;20.5;7.8;8.9;;15.8;2.1;5.9;2.0;5.4;4.7;2.3;2.7;2.7;0.5;2.7;15.9;9.3;8.4;6.5;;;;;;;;;11.0;33.5;4.0
27;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2019;20.4;8.1;8.8;;16.0;2.2;6.0;2.0;5.4;4.7;2.4;2.8;2.8;0.5;2.6;15.7;9.3;8.6;6.7;;;;;;;;;10.9;32.8;4.1
28;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2020;18.0;6.9;8.3;;13.1;1.8;4.7;1.7;4.2;3.8;1.8;2.2;2.2;0.4;2.5;13.7;8.2;7.2;10.2;;;;;;;;;9.5;30.2;4.4
29;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2021;18.6;6.9;8.5;;13.7;1.9;5.3;1.8;4.4;4.2;2.1;2.2;2.2;0.5;2.5;14.2;8.2;7.5;10.1;;;;;;;;;10.0;29.9;4.5
30;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2022;20.5;6.7;7.7;;13.8;1.8;5.1;1.6;4.5;4.1;2.1;2.2;2.3;0.5;2.4;;;;;6.6;52.6;13.8;41.7;1.6;1.9;0.9;3.0;9.6;29.1;4.4
31;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2023;19.4;6.6;7.6;;13.0;1.7;4.8;1.4;4.4;3.7;1.9;2.1;2.2;0.4;2.1;;;;;6.4;46.8;13.2;35.0;1.8;1.7;1.0;3.1;9.5;28.4;4.4
32;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2024;20.1;7.3;7.9;;13.8;1.9;5.2;1.5;4.8;4.1;2.1;2.3;2.4;0.5;2.2;;;;;6.8;45.6;13.2;33.6;1.8;1.9;1.0;3.3;9.8;28.7;4.4
33;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2014;32.0;5.9;10.0;3.5;;;;;;;;;;;;21.5;11.6;6.1;5.4;;;;;;;;;10.1;47.0;1.7
34;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2015;31.0;6.0;8.9;3.9;;;;;;;;;;;;21.5;12.2;6.1;5.4;;;;;;;;;9.5;46.5;1.9
35;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2016;31.1;6.6;9.6;3.2;;;;;;;;;;;;21.0;11.6;6.0;5.7;;;;;;;;;9.8;46.9;1.9
36;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2017;30.9;7.0;9.7;3.6;;;;;;;;;;;;21.1;11.8;6.2;6.3;;;;;;;;;9.6;46.8;2.0
37;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2018;28.9;7.1;9.3;;18.1;1.3;6.2;1.4;8.0;3.4;1.8;1.9;5.1;0.4;1.8;20.8;11.9;7.2;6.9;;;;;;;;;9.5;44.8;2.1
38;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2019;29.1;7.6;9.6;;19.1;1.3;6.7;1.6;8.1;4.1;1.8;2.1;5.3;0.3;1.9;20.1;11.6;6.8;7.0;;;;;;;;;9.2;44.2;2.1
39;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2020;26.7;6.4;9.2;;15.9;1.1;4.9;1.4;5.9;3.8;1.1;1.7;4.2;0.2;2.0;14.9;9.9;5.9;15.9;;;;;;;;;8.4;43.2;2.2
40;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2021;25.8;6.6;9.6;;16.7;1.6;5.2;1.4;6.7;4.6;1.4;1.7;4.3;0.3;1.8;16.2;9.2;5.7;11.2;;;;;;;;;8.4;40.6;2.3
41;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2022;30.1;7.4;8.6;;17.3;1.4;5.8;1.1;7.2;3.7;1.4;1.9;4.5;0.3;1.9;;;;;6.6;48.9;10.4;39.0;1.4;1.4;0.3;3.1;8.6;40.5;2.4
42;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2023;28.8;7.5;8.9;;16.8;1.4;5.6;1.3;6.6;3.6;1.6;2.1;4.5;0.3;2.0;;;;;6.1;42.2;10.1;31.2;1.9;1.1;0.7;3.6;9.4;40.8;2.3
43;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2024;29.9;8.8;9.1;;17.8;1.9;6.1;1.3;7.1;3.9;1.9;2.3;4.5;0.4;1.7;;;;;7.0;41.7;10.3;30.5;1.8;1.6;0.6;3.9;9.4;41.1;2.2
44;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2014;30.5;5.2;9.0;2.9;;;;;;;;;;;;20.2;10.6;5.3;4.7;;;;;;;;;9.1;45.3;1.6
45;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2015;29.8;5.5;8.2;3.4;;;;;;;;;;;;20.5;11.4;5.5;4.9;;;;;;;;;8.8;45.2;1.9
46;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2016;29.8;6.0;8.8;2.8;;;;;;;;;;;;19.9;10.8;5.4;5.1;;;;;;;;;9.1;45.6;1.8
47;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2017;29.7;6.3;9.0;3.1;;;;;;;;;;;;20.0;11.0;5.5;5.7;;;;;;;;;8.9;45.5;2.0
48;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2018;27.9;6.6;8.7;;17.3;1.1;5.7;1.2;7.4;3.0;1.5;1.6;4.6;0.3;1.5;19.9;11.2;6.7;6.3;;;;;;;;;8.9;43.7;2.0
49;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2019;28.1;7.0;9.0;;18.2;1.1;6.2;1.3;7.5;3.7;1.5;1.8;4.9;0.2;1.6;19.3;10.9;6.2;6.4;;;;;;;;;8.6;43.1;2.0
50;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2020;25.6;5.9;8.5;;15.1;0.8;4.4;1.1;5.4;3.4;0.9;1.4;3.8;0.1;1.6;14.0;9.2;5.3;15.0;;;;;;;;;7.8;42.0;2.1
51;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2021;24.7;5.9;8.9;;15.7;1.3;4.6;1.1;6.1;4.0;1.1;1.4;3.8;0.2;1.5;15.3;8.5;5.1;10.4;;;;;;;;;7.7;39.3;2.2
52;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2022;29.1;6.8;8.0;;16.5;1.1;5.3;0.9;6.6;3.3;1.1;1.6;4.1;0.2;1.6;;;;;6.0;47.7;9.7;37.9;1.1;1.2;0.2;2.7;8.0;39.4;2.4
53;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2023;27.7;6.9;8.2;;15.9;1.1;5.1;1.0;6.1;3.2;1.3;1.8;4.0;0.2;1.7;;;;;5.5;41.1;9.4;30.1;1.6;0.9;0.5;3.2;8.8;39.7;2.2
54;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2024;28.9;8.2;8.5;;16.9;1.6;5.5;1.1;6.6;3.5;1.6;2.0;4.0;0.3;1.4;;;;;6.4;40.6;9.6;29.5;1.5;1.3;0.4;3.5;8.8;40.0;2.2
55;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2014;33.6;6.8;11.1;4.2;;;;;;;;;;;;22.9;12.7;7.0;6.2;;;;;;;;;11.2;48.6;1.8
56;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2015;32.2;6.7;9.7;4.4;;;;;;;;;;;;22.6;13.0;6.7;6.0;;;;;;;;;10.3;47.8;2.0
57;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2016;32.3;7.3;10.5;3.7;;;;;;;;;;;;22.1;12.5;6.7;6.3;;;;;;;;;10.6;48.2;2.0
58;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2017;32.1;7.7;10.6;4.1;;;;;;;;;;;;22.1;12.7;6.9;7.0;;;;;;;;;10.5;48.1;2.1
59;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2018;29.9;7.7;10.0;;19.0;1.6;6.8;1.7;8.6;3.8;2.1;2.2;5.6;0.6;2.1;21.7;12.6;7.8;7.5;;;;;;;;;10.2;45.9;2.1
60;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2019;30.1;8.2;10.3;;20.0;1.6;7.3;1.9;8.7;4.6;2.1;2.5;5.8;0.5;2.3;21.0;12.3;7.4;7.5;;;;;;;;;9.8;45.3;2.1
61;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2020;27.7;7.1;9.9;;16.8;1.4;5.5;1.7;6.5;4.4;1.3;2.1;4.7;0.4;2.3;15.7;10.6;6.5;16.8;;;;;;;;;9.1;44.4;2.3
62;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2021;27.0;7.2;10.5;;17.7;1.9;5.8;1.8;7.4;5.2;1.7;2.0;4.9;0.4;2.2;17.2;10.0;6.4;12.0;;;;;;;;;9.1;41.9;2.4
63;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2022;31.2;8.0;9.3;;18.2;1.7;6.4;1.4;7.8;4.2;1.7;2.3;5.0;0.5;2.3;;;;;7.2;50.0;11.1;40.2;1.7;1.8;0.5;3.6;9.3;41.7;2.5
64;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2023;29.8;8.1;9.6;;17.6;1.7;6.1;1.6;7.2;4.1;1.9;2.5;5.0;0.4;2.3;;;;;6.7;43.4;10.8;32.2;2.3;1.3;0.9;4.1;10.1;41.9;2.4
65;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2024;31.0;9.5;9.8;;18.7;2.2;6.6;1.6;7.7;4.4;2.2;2.6;5.0;0.6;2.0;;;;;7.7;42.8;11.0;31.5;2.1;1.9;0.8;4.4;10.1;42.2;2.3
66;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2014;20.5;7.1;8.0;4.3;;;;;;;;;;;;15.8;9.9;8.1;6.2;;;;;;;;;10.8;32.1;4.5
67;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2015;21.1;7.5;9.4;5.1;;;;;;;;;;;;15.3;9.5;7.8;6.3;;;;;;;;;11.5;31.9;4.4
68;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2016;20.3;7.2;9.1;5.2;;;;;;;;;;;;14.6;9.3;8.3;6.7;;;;;;;;;10.7;29.9;4.5
69;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2017;21.0;7.5;9.1;5.2;;;;;;;;;;;;14.9;10.3;8.5;7.2;;;;;;;;;11.9;29.5;4.6
70;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2018;19.6;7.8;8.6;;16.2;1.9;5.7;1.9;5.7;4.4;2.8;3.4;2.5;0.6;3.5;14.4;9.7;8.9;7.7;;;;;;;;;11.3;28.5;4.7
71;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2019;19.9;7.7;8.1;;17.1;2.3;6.1;2.3;6.2;4.5;2.8;3.8;2.7;0.6;3.3;14.7;9.8;8.8;8.2;;;;;;;;;11.2;27.2;4.8
72;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2020;16.8;6.8;7.8;;13.4;1.8;4.9;2.0;4.6;3.6;2.2;2.8;2.3;0.4;2.8;12.8;8.0;8.2;10.9;;;;;;;;;9.9;24.8;5.2
73;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2021;17.6;6.7;7.4;;14.0;1.6;4.8;1.9;4.7;3.8;2.6;2.7;2.1;0.7;3.1;13.3;8.7;8.3;12.1;;;;;;;;;10.5;24.2;5.2
74;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2022;17.4;6.3;6.7;;13.4;1.5;4.6;1.6;4.3;3.6;2.5;2.7;2.1;0.4;2.8;;;;;7.2;49.6;14.8;37.9;1.6;1.8;1.3;2.5;9.5;22.8;5.2
75;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2023;16.7;6.3;6.5;;12.4;1.4;4.2;1.3;4.3;3.1;2.2;2.6;1.9;0.5;2.3;;;;;7.0;43.8;13.9;31.6;2.0;1.7;1.4;2.7;9.1;21.8;5.3
76;Totaal mannen en vrouwen;25 tot 35 jaar;Waarde;2024;16.7;6.6;6.4;;12.5;1.5;4.2;1.3;4.8;3.2;2.5;2.4;2.2;0.4;2.2;;;;;7.6;43.3;14.2;30.7;1.9;1.8;1.3;2.8;9.0;21.5;5.3
77;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2014;19.4;6.4;7.3;3.8;;;;;;;;;;;;14.8;9.2;7.3;5.6;;;;;;;;;10.0;30.8;4.4
78;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2015;20.1;6.9;8.7;4.6;;;;;;;;;;;;14.5;8.8;7.1;5.8;;;;;;;;;10.7;30.8;4.4
79;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2016;19.4;6.6;8.4;4.7;;;;;;;;;;;;13.8;8.7;7.7;6.1;;;;;;;;;10.0;28.8;4.4
80;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2017;20.0;6.9;8.4;4.7;;;;;;;;;;;;14.1;9.6;7.9;6.6;;;;;;;;;11.1;28.4;4.5
81;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2018;18.8;7.2;8.0;;15.4;1.6;5.2;1.7;5.3;3.9;2.5;3.0;2.2;0.4;3.1;13.7;9.1;8.3;7.2;;;;;;;;;10.7;27.6;4.7
82;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2019;19.0;7.2;7.5;;16.3;2.0;5.6;1.9;5.7;4.1;2.4;3.4;2.4;0.5;2.9;14.0;9.2;8.2;7.6;;;;;;;;;10.5;26.3;4.7
83;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2020;16.0;6.2;7.2;;12.6;1.5;4.4;1.7;4.1;3.2;1.9;2.4;1.9;0.3;2.4;12.0;7.4;7.6;10.3;;;;;;;;;9.3;23.9;5.1
84;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2021;16.7;6.2;6.8;;13.2;1.3;4.3;1.6;4.2;3.3;2.2;2.4;1.8;0.5;2.7;12.5;8.1;7.7;11.4;;;;;;;;;9.7;23.2;5.1
85;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2022;16.6;5.9;6.2;;12.7;1.3;4.2;1.4;3.9;3.2;2.2;2.3;1.8;0.3;2.4;;;;;6.6;48.6;14.1;36.9;1.4;1.5;1.1;2.2;8.9;21.9;5.2
86;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2023;16.0;5.8;6.0;;11.7;1.1;3.8;1.1;3.9;2.8;1.9;2.3;1.6;0.3;2.0;;;;;6.5;42.8;13.2;30.6;1.8;1.5;1.2;2.3;8.6;20.9;5.2
87;Totaal mannen en vrouwen;25 tot 35 jaar;Ondergrens 95%-interval;2024;16.0;6.1;5.9;;11.8;1.2;3.8;1.1;4.4;2.8;2.2;2.1;1.9;0.3;1.9;;;;;7.0;42.3;13.6;29.8;1.6;1.6;1.1;2.4;8.5;20.7;5.3
88;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2014;21.6;7.9;8.8;4.9;;;;;;;;;;;;16.9;10.8;8.9;6.9;;;;;;;;;11.7;33.3;4.5
89;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2015;22.1;8.2;10.1;5.7;;;;;;;;;;;;16.2;10.3;8.5;7.0;;;;;;;;;12.3;33.0;4.5
90;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2016;21.3;7.9;9.8;5.8;;;;;;;;;;;;15.5;10.1;9.0;7.3;;;;;;;;;11.5;31.1;4.6
91;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2017;22.0;8.2;9.9;5.8;;;;;;;;;;;;15.8;11.1;9.3;7.8;;;;;;;;;12.7;30.6;4.7
92;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2018;20.4;8.3;9.2;;17.0;2.2;6.2;2.2;6.2;4.8;3.2;3.8;2.9;0.8;3.9;15.2;10.3;9.5;8.3;;;;;;;;;12.0;29.4;4.8
93;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2019;20.8;8.3;8.8;;18.0;2.7;6.7;2.6;6.8;5.0;3.1;4.3;3.1;0.8;3.7;15.5;10.5;9.4;8.8;;;;;;;;;11.9;28.2;4.9
94;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2020;17.6;7.3;8.4;;14.2;2.1;5.4;2.3;5.1;4.1;2.6;3.2;2.6;0.6;3.2;13.5;8.7;8.8;11.6;;;;;;;;;10.6;25.8;5.2
95;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2021;18.6;7.4;8.1;;14.9;2.0;5.4;2.2;5.3;4.3;3.0;3.2;2.5;0.9;3.5;14.2;9.5;9.0;12.9;;;;;;;;;11.2;25.2;5.3
96;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2022;18.2;6.9;7.2;;14.2;1.8;5.0;1.9;4.7;4.0;2.8;3.0;2.4;0.6;3.1;;;;;7.8;50.6;15.5;38.9;1.9;2.1;1.6;2.9;10.1;23.6;5.3
97;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2023;17.5;6.8;7.0;;13.1;1.6;4.7;1.5;4.8;3.5;2.5;2.9;2.2;0.6;2.6;;;;;7.5;44.8;14.5;32.5;2.3;2.0;1.7;3.0;9.7;22.6;5.3
98;Totaal mannen en vrouwen;25 tot 35 jaar;Bovengrens 95%-interval;2024;17.4;7.1;6.9;;13.2;1.7;4.6;1.5;5.2;3.6;2.9;2.7;2.5;0.5;2.5;;;;;8.1;44.3;14.9;31.6;2.1;2.1;1.6;3.1;9.6;22.3;5.4
99;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2014;18.4;6.7;9.1;4.3;;;;;;;;;;;;14.4;8.3;7.6;4.9;;;;;;;;;9.5;30.4;4.5
100;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2015;17.7;7.0;8.7;4.4;;;;;;;;;;;;14.3;7.9;7.9;5.4;;;;;;;;;9.8;31.9;4.6
101;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2016;17.2;7.2;8.2;4.1;;;;;;;;;;;;13.5;8.7;8.3;5.5;;;;;;;;;9.8;30.1;4.7
102;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2017;18.2;7.5;9.3;4.5;;;;;;;;;;;;13.3;8.0;8.3;5.1;;;;;;;;;10.0;30.4;4.7
103;Totaal mannen en vrouwen;35 tot 45 jaar;Waarde;2018;18.0;7.2;8.1;;14.5;2.3;5.3;2.1;5.0;4.5;2.5;3.0;2.3;0.5;2.9;13.2;8.1;8.1;6.1;;;;;;;;;10.4;29.1;4.6
