ID;Geslacht;Leeftijd;Marges;Perioden;Ondergewicht_1;NormaalGewicht_2;Overgewicht_3;MatigOvergewicht_4;ErnstigOvergewicht_5;OpgegevenLengte20JaarOfOuder_6;OpgegevenGewicht20JaarOfOuder_7
17;Totaal mannen en vrouwen;Totaal;Waarde;1998;2.9;62.4;34.7;27.4;7.3;173.6;74.3
18;Totaal mannen en vrouwen;Totaal;Waarde;1999;2.9;60.9;36.2;28.7;7.6;173.7;75.0
19;Totaal mannen en vrouwen;Totaal;Waarde;2000;2.7;59.6;37.7;29.6;8.1;174.0;75.6
20;Totaal mannen en vrouwen;Totaal;Waarde;2001;2.6;59.0;38.4;30.1;8.2;174.0;75.9
21;Totaal mannen en vrouwen;Totaal;Waarde;2002;2.8;58.7;38.5;29.9;8.6;173.8;75.8
22;Totaal mannen en vrouwen;Totaal;Waarde;2003;2.5;58.3;39.2;29.8;9.4;174.0;76.2
23;Totaal mannen en vrouwen;Totaal;Waarde;2004;2.5;57.4;40.1;30.4;9.7;173.9;76.5
24;Totaal mannen en vrouwen;Totaal;Waarde;2005;2.5;58.6;38.9;29.5;9.3;174.0;76.2
25;Totaal mannen en vrouwen;Totaal;Waarde;2006;2.5;57.8;39.8;30.0;9.8;174.1;76.6
26;Totaal mannen en vrouwen;Totaal;Waarde;2007;2.5;58.5;39.0;29.2;9.8;174.1;76.5
27;Totaal mannen en vrouwen;Totaal;Waarde;2008;2.5;57.0;40.5;30.7;9.8;174.2;76.8
28;Totaal mannen en vrouwen;Totaal;Waarde;2009;2.4;56.7;40.8;30.6;10.2;174.1;76.9
29;Totaal mannen en vrouwen;Totaal;Waarde;2010;2.3;56.0;41.7;31.9;9.8;174.2;77.0
30;Totaal mannen en vrouwen;Totaal;Waarde;2011;2.2;56.1;41.7;31.9;9.8;174.2;77.0
31;Totaal mannen en vrouwen;Totaal;Waarde;2012;2.3;56.2;41.5;31.3;10.2;174.2;77.0
32;Totaal mannen en vrouwen;Totaal;Waarde;2013;2.5;55.9;41.6;31.5;10.1;174.1;77.0
33;Totaal mannen en vrouwen;Totaal;Waarde;2014;2.0;54.9;43.1;31.5;11.7;174.0;77.7
34;Totaal mannen en vrouwen;Totaal;Waarde;2015;2.3;54.7;43.0;31.4;11.6;174.0;77.5
35;Totaal mannen en vrouwen;Totaal;Waarde;2016;2.4;54.3;43.3;31.1;12.3;174.1;77.8
36;Totaal mannen en vrouwen;Totaal;Waarde;2017;2.3;54.7;43.1;31.0;12.1;174.1;78.0
37;Totaal mannen en vrouwen;Totaal;Waarde;2018;2.2;53.9;43.9;31.0;13.0;174.2;78.4
38;Totaal mannen en vrouwen;Totaal;Waarde;2019;2.5;53.4;44.1;31.4;12.7;174.2;78.2
39;Totaal mannen en vrouwen;Totaal;Waarde;2020;2.5;53.1;44.4;32.4;12.1;174.2;78.1
40;Totaal mannen en vrouwen;Totaal;Waarde;2021;2.1;53.3;44.5;31.9;12.6;174.2;78.3
41;Totaal mannen en vrouwen;Totaal;Waarde;2022;2.5;53.0;44.5;31.2;13.3;174.4;78.7
42;Totaal mannen en vrouwen;Totaal;Waarde;2023;2.1;53.6;44.2;30.6;13.6;174.3;78.6
43;Totaal mannen en vrouwen;Totaal;Waarde;1981/1984;3.7;69.1;27.2;22.9;4.3;171.6;70.6
44;Totaal mannen en vrouwen;Totaal;Waarde;1985/1988;3.8;68.0;28.2;23.9;4.3;172.1;71.2
45;Totaal mannen en vrouwen;Totaal;Waarde;1989/1992;3.4;66.1;30.5;25.1;5.4;172.6;72.2
46;Totaal mannen en vrouwen;Totaal;Waarde;1993/1996;3.4;63.9;32.7;26.6;6.1;173.1;73.2
47;Totaal mannen en vrouwen;Totaal;Waarde;1997/2000;2.8;61.3;35.9;28.3;7.6;173.7;74.8
48;Totaal mannen en vrouwen;Totaal;Waarde;2001/2004;2.6;58.3;39.1;30.1;9.0;173.9;76.1
49;Totaal mannen en vrouwen;Totaal;Waarde;2005/2008;2.5;58.0;39.6;29.9;9.7;174.1;76.5
50;Totaal mannen en vrouwen;Totaal;Waarde;2009/2012;2.3;56.3;41.4;31.4;10.0;174.2;77.0
51;Totaal mannen en vrouwen;Totaal;Waarde;2013/2016;2.3;54.9;42.8;31.4;11.4;174.1;77.5
52;Totaal mannen en vrouwen;Totaal;Waarde;2017/2020;2.4;53.8;43.9;31.4;12.5;174.2;78.2
53;Totaal mannen en vrouwen;Totaal;Standaardfout;1981;0.2;0.5;0.5;0.4;0.2;0.1;0.1
54;Totaal mannen en vrouwen;Totaal;Standaardfout;1982;0.2;0.5;0.5;0.4;0.2;0.1;0.1
55;Totaal mannen en vrouwen;Totaal;Standaardfout;1983;0.2;0.5;0.5;0.5;0.2;0.1;0.1
56;Totaal mannen en vrouwen;Totaal;Standaardfout;1984;0.2;0.5;0.5;0.4;0.2;0.1;0.1
57;Totaal mannen en vrouwen;Totaal;Standaardfout;1985;0.2;0.5;0.5;0.5;0.2;0.1;0.1
58;Totaal mannen en vrouwen;Totaal;Standaardfout;1986;0.2;0.5;0.5;0.5;0.2;0.1;0.1
59;Totaal mannen en vrouwen;Totaal;Standaardfout;1987;0.2;0.5;0.5;0.5;0.2;0.1;0.2
60;Totaal mannen en vrouwen;Totaal;Standaardfout;1988;0.2;0.5;0.5;0.5;0.2;0.1;0.2
61;Totaal mannen en vrouwen;Totaal;Standaardfout;1989;0.2;0.5;0.5;0.5;0.3;0.1;0.2
62;Totaal mannen en vrouwen;Totaal;Standaardfout;1990;0.2;0.6;0.5;0.5;0.3;0.1;0.2
63;Totaal mannen en vrouwen;Totaal;Standaardfout;1991;0.2;0.6;0.6;0.5;0.3;0.1;0.2
64;Totaal mannen en vrouwen;Totaal;Standaardfout;1992;0.2;0.5;0.5;0.5;0.3;0.1;0.2
65;Totaal mannen en vrouwen;Totaal;Standaardfout;1993;0.2;0.5;0.5;0.5;0.3;0.1;0.2
66;Totaal mannen en vrouwen;Totaal;Standaardfout;1994;0.2;0.5;0.5;0.5;0.3;0.1;0.2
67;Totaal mannen en vrouwen;Totaal;Standaardfout;1995;0.2;0.5;0.5;0.5;0.3;0.1;0.2
68;Totaal mannen en vrouwen;Totaal;Standaardfout;1996;0.2;0.5;0.5;0.5;0.3;0.1;0.2
69;Totaal mannen en vrouwen;Totaal;Standaardfout;1997;0.2;0.5;0.5;0.4;0.3;0.1;0.1
70;Totaal mannen en vrouwen;Totaal;Standaardfout;1998;0.2;0.5;0.5;0.5;0.3;0.1;0.2
71;Totaal mannen en vrouwen;Totaal;Standaardfout;1999;0.2;0.5;0.5;0.5;0.3;0.1;0.2
72;Totaal mannen en vrouwen;Totaal;Standaardfout;2000;0.2;0.5;0.5;0.5;0.3;0.1;0.2
73;Totaal mannen en vrouwen;Totaal;Standaardfout;2001;0.2;0.5;0.5;0.5;0.3;0.1;0.2
74;Totaal mannen en vrouwen;Totaal;Standaardfout;2002;0.2;0.5;0.5;0.5;0.3;0.1;0.2
75;Totaal mannen en vrouwen;Totaal;Standaardfout;2003;0.2;0.5;0.5;0.5;0.3;0.1;0.2
76;Totaal mannen en vrouwen;Totaal;Standaardfout;2004;0.2;0.5;0.5;0.5;0.3;0.1;0.2
77;Totaal mannen en vrouwen;Totaal;Standaardfout;2005;0.2;0.5;0.5;0.5;0.3;0.1;0.2
78;Totaal mannen en vrouwen;Totaal;Standaardfout;2006;0.2;0.5;0.5;0.5;0.3;0.1;0.2
79;Totaal mannen en vrouwen;Totaal;Standaardfout;2007;0.2;0.5;0.5;0.5;0.3;0.1;0.2
80;Totaal mannen en vrouwen;Totaal;Standaardfout;2008;0.2;0.5;0.5;0.5;0.3;0.1;0.2
81;Totaal mannen en vrouwen;Totaal;Standaardfout;2009;0.2;0.5;0.5;0.5;0.3;0.1;0.2
82;Totaal mannen en vrouwen;Totaal;Standaardfout;2010;0.1;0.4;0.4;0.4;0.2;0.1;0.1
83;Totaal mannen en vrouwen;Totaal;Standaardfout;2011;0.1;0.4;0.4;0.4;0.3;0.1;0.1
84;Totaal mannen en vrouwen;Totaal;Standaardfout;2012;0.1;0.4;0.4;0.4;0.3;0.1;0.1
85;Totaal mannen en vrouwen;Totaal;Standaardfout;2013;0.1;0.4;0.4;0.4;0.3;0.1;0.1
86;Totaal mannen en vrouwen;Totaal;Standaardfout;2014;0.1;0.5;0.5;0.5;0.3;0.1;0.2
87;Totaal mannen en vrouwen;Totaal;Standaardfout;2015;0.2;0.5;0.5;0.5;0.3;0.1;0.2
88;Totaal mannen en vrouwen;Totaal;Standaardfout;2016;0.2;0.5;0.5;0.5;0.4;0.1;0.2
89;Totaal mannen en vrouwen;Totaal;Standaardfout;2017;0.2;0.5;0.5;0.5;0.3;0.1;0.2
90;Totaal mannen en vrouwen;Totaal;Standaardfout;2018;0.1;0.5;0.5;0.5;0.3;0.1;0.2
91;Totaal mannen en vrouwen;Totaal;Standaardfout;2019;0.2;0.5;0.5;0.5;0.3;0.1;0.2
92;Totaal mannen en vrouwen;Totaal;Standaardfout;2020;0.2;0.5;0.5;0.5;0.4;0.1;0.2
93;Totaal mannen en vrouwen;Totaal;Standaardfout;2021;0.2;0.6;0.6;0.5;0.4;0.1;0.2
94;Totaal mannen en vrouwen;Totaal;Standaardfout;2022;0.2;0.5;0.5;0.5;0.4;0.1;0.2
95;Totaal mannen en vrouwen;Totaal;Standaardfout;2023;0.2;0.5;0.5;0.5;0.4;0.1;0.2
96;Totaal mannen en vrouwen;Totaal;Standaardfout;1981/1984;0.1;0.2;0.2;0.2;0.1;0.1;0.1
97;Totaal mannen en vrouwen;Totaal;Standaardfout;1985/1988;0.1;0.3;0.2;0.2;0.1;0.1;0.1
98;Totaal mannen en vrouwen;Totaal;Standaardfout;1989/1992;0.1;0.3;0.3;0.3;0.1;0.1;0.1
99;Totaal mannen en vrouwen;Totaal;Standaardfout;1993/1996;0.1;0.3;0.3;0.2;0.1;0.1;0.1
100;Totaal mannen en vrouwen;Totaal;Standaardfout;1997/2000;0.1;0.3;0.2;0.2;0.1;0.1;0.1
101;Totaal mannen en vrouwen;Totaal;Standaardfout;2001/2004;0.1;0.3;0.3;0.2;0.1;0.1;0.1
102;Totaal mannen en vrouwen;Totaal;Standaardfout;2005/2008;0.1;0.3;0.3;0.2;0.2;0.1;0.1
103;Totaal mannen en vrouwen;Totaal;Standaardfout;2009/2012;0.1;0.2;0.2;0.2;0.1;0.1;0.1
104;Totaal mannen en vrouwen;Totaal;Standaardfout;2013/2016;0.1;0.3;0.3;0.2;0.2;0.1;0.1
105;Totaal mannen en vrouwen;Totaal;Standaardfout;2017/2020;0.1;0.3;0.3;0.2;0.2;0.1;0.1
106;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1981;5.3;84.6;10.1;8.0;2.1;;
107;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1982;6.5;85.2;8.4;6.8;1.5;;
108;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1983;6.3;85.0;8.7;6.6;2.1;;
109;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1984;6.1;86.0;7.9;6.3;1.6;;
110;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1985;7.0;84.5;8.6;6.7;1.9;;
111;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1986;7.7;85.1;7.2;5.9;1.3;;
112;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1987;7.5;84.3;8.2;7.0;1.2;;
113;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1988;7.4;85.0;7.6;6.3;1.3;;
114;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1989;7.3;83.5;9.2;7.7;1.5;;
115;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1990;7.3;81.7;11.0;7.8;3.2;;
116;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1991;7.1;81.8;11.1;9.3;1.8;;
117;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1992;7.5;81.1;11.4;9.5;1.9;;
118;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1993;6.9;81.8;11.3;8.0;3.3;;
119;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1994;6.1;82.9;11.0;7.9;3.1;;
120;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1995;6.9;84.0;9.1;6.8;2.3;;
121;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1996;8.9;80.1;11.0;8.4;2.6;;
122;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1997;7.1;81.1;11.8;9.2;2.6;;
123;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1998;6.6;82.2;11.2;8.9;2.4;;
124;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1999;6.8;81.7;11.4;9.1;2.3;;
125;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2000;6.8;81.8;11.4;9.3;2.1;;
126;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2001;6.1;82.1;11.8;9.2;2.5;;
127;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2002;6.9;81.2;11.8;9.1;2.7;;
128;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2003;5.4;84.2;10.4;7.8;2.6;;
129;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2004;5.6;81.8;12.5;9.8;2.8;;
130;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2005;5.5;81.7;12.9;10.7;2.2;;
131;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2006;6.1;82.7;11.2;9.2;2.0;;
132;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2007;5.3;83.3;11.4;9.0;2.4;;
133;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2008;4.7;81.9;13.4;10.5;2.9;;
134;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2009;5.9;80.9;13.1;11.0;2.2;;
135;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2010;5.0;81.5;13.6;10.5;3.1;;
136;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2011;5.5;81.7;12.8;10.1;2.7;;
137;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2012;4.9;81.9;13.2;10.8;2.4;;
138;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2013;5.9;82.3;11.8;9.5;2.3;;
139;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2014;4.6;82.9;12.5;9.2;3.3;;
140;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2015;5.2;82.7;12.1;9.3;2.8;;
141;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2016;5.7;80.9;13.4;10.6;2.7;;
142;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2017;5.4;81.3;13.3;10.5;2.8;;
143;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2018;5.3;81.9;12.8;10.2;2.6;;
144;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2019;5.8;80.4;13.9;11.6;2.2;;
145;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2020;6.0;79.0;15.1;12.5;2.5;;
146;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2021;5.2;78.3;16.4;12.8;3.6;;
147;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2022;5.9;80.1;14.1;10.8;3.3;;
148;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2023;4.6;81.8;13.6;9.5;4.1;;
149;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1981/1984;6.0;85.2;8.8;6.9;1.8;;
150;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1985/1988;7.4;84.7;7.9;6.5;1.4;;
151;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1989/1992;7.3;82.0;10.7;8.6;2.1;;
152;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1993/1996;7.2;82.2;10.6;7.8;2.8;;
153;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;1997/2000;6.8;81.7;11.4;9.1;2.3;;
154;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2001/2004;6.0;82.3;11.6;9.0;2.6;;
155;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2005/2008;5.4;82.4;12.2;9.9;2.4;;
156;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2009/2012;5.3;81.5;13.2;10.6;2.6;;
157;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2013/2016;5.4;82.2;12.5;9.6;2.8;;
158;Totaal mannen en vrouwen;4 tot 20 jaar;Waarde;2017/2020;5.6;80.7;13.7;11.2;2.5;;
159;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1981;0.5;0.7;0.6;0.6;0.3;;
160;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1982;0.5;0.8;0.6;0.5;0.3;;
161;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1983;0.5;0.8;0.6;0.5;0.3;;
162;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1984;0.5;0.7;0.6;0.5;0.3;;
163;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1985;0.6;0.8;0.6;0.6;0.3;;
164;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1986;0.6;0.8;0.6;0.5;0.2;;
165;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1987;0.6;0.9;0.7;0.6;0.3;;
166;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1988;0.7;0.9;0.7;0.6;0.3;;
167;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1989;0.6;0.9;0.7;0.6;0.3;;
168;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1990;0.7;1.0;0.8;0.7;0.5;;
169;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1991;0.7;1.1;0.9;0.8;0.4;;
170;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1992;0.6;1.0;0.8;0.7;0.3;;
171;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1993;0.6;1.0;0.8;0.7;0.5;;
172;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1994;0.6;0.9;0.8;0.7;0.4;;
173;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1995;0.6;0.9;0.7;0.6;0.4;;
174;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1996;0.7;1.0;0.8;0.7;0.4;;
175;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1997;0.6;0.9;0.7;0.6;0.4;;
176;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1998;0.6;0.9;0.8;0.7;0.4;;
177;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1999;0.6;0.9;0.7;0.7;0.3;;
178;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2000;0.6;0.9;0.7;0.7;0.3;;
179;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2001;0.6;0.9;0.8;0.7;0.4;;
180;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2002;0.6;0.9;0.8;0.7;0.4;;
181;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2003;0.5;0.9;0.7;0.6;0.4;;
182;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2004;0.5;0.9;0.7;0.7;0.4;;
183;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2005;0.5;0.9;0.8;0.7;0.3;;
184;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2006;0.6;0.9;0.8;0.7;0.3;;
185;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2007;0.6;0.9;0.8;0.7;0.4;;
186;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2008;0.5;0.9;0.8;0.7;0.4;;
187;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2009;0.6;1.0;0.8;0.8;0.4;;
188;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2010;0.4;0.7;0.7;0.6;0.3;;
189;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2011;0.5;0.8;0.7;0.6;0.3;;
190;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2012;0.4;0.8;0.7;0.6;0.3;;
191;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2013;0.5;0.8;0.7;0.6;0.3;;
192;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2014;0.5;0.9;0.8;0.7;0.4;;
193;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2015;0.5;0.9;0.8;0.7;0.4;;
194;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2016;0.6;1.0;0.8;0.8;0.4;;
195;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2017;0.5;0.9;0.8;0.7;0.4;;
196;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2018;0.5;0.9;0.8;0.7;0.4;;
197;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2019;0.6;1.0;0.8;0.8;0.4;;
198;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2020;0.6;1.0;0.9;0.8;0.4;;
199;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2021;0.6;1.1;1.0;0.9;0.5;;
200;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2022;0.6;1.0;0.8;0.8;0.4;;
201;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2023;0.5;1.0;0.9;0.7;0.5;;
202;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1981/1984;0.3;0.4;0.3;0.3;0.1;;
203;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1985/1988;0.3;0.4;0.3;0.3;0.1;;
204;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1989/1992;0.3;0.5;0.4;0.4;0.2;;
205;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1993/1996;0.3;0.5;0.4;0.3;0.2;;
206;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;1997/2000;0.3;0.4;0.4;0.3;0.2;;
207;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2001/2004;0.3;0.4;0.4;0.3;0.2;;
208;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2005/2008;0.3;0.5;0.4;0.4;0.2;;
209;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2009/2012;0.2;0.4;0.4;0.3;0.2;;
210;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2013/2016;0.3;0.4;0.4;0.3;0.2;;
211;Totaal mannen en vrouwen;4 tot 20 jaar;Standaardfout;2017/2020;0.3;0.5;0.4;0.4;0.2;;
212;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1981;6.5;78.1;15.3;11.2;4.1;;
213;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1982;9.6;78.4;12.1;9.0;3.0;;
214;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1983;8.6;79.2;12.3;8.1;4.2;;
215;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1984;10.1;79.0;10.9;8.4;2.5;;
216;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1985;9.0;80.5;10.5;7.0;3.5;;
217;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1986;11.8;79.3;8.9;6.7;2.3;;
218;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1987;11.1;78.7;10.2;7.8;2.4;;
219;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1988;12.0;77.5;10.5;7.6;2.9;;
220;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1989;10.7;77.6;11.7;8.9;2.8;;
221;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1990;10.0;75.0;15.0;9.5;5.4;;
222;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1991;12.2;72.8;15.0;11.9;3.2;;
223;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1992;11.2;74.6;14.2;10.6;3.7;;
224;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1993;8.9;77.5;13.6;9.2;4.3;;
225;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1994;9.6;75.3;15.1;9.8;5.3;;
226;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1995;9.0;80.6;10.5;7.2;3.3;;
227;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1996;12.1;73.0;14.9;10.4;4.5;;
228;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1997;9.6;76.2;14.2;9.6;4.6;;
229;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1998;10.3;75.5;14.2;10.1;4.1;;
230;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;1999;10.7;74.8;14.5;11.0;3.5;;
231;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;2000;9.6;76.8;13.6;10.5;3.1;;
232;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;2001;9.2;76.3;14.5;10.4;4.0;;
233;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;2002;10.3;75.9;13.8;9.0;4.7;;
234;Totaal mannen en vrouwen;4 tot 12 jaar;Waarde;2003;8.1;78.4;13.5;9.4;4.1;;
