ID;Geslacht;Herkomstgroepering;Opleidingsfase;Opleidingsvorm;Perioden;TotaalGeslaagden_1;StudieduurInMaanden_2
18;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 2003;21950.0;64.0
19;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 2004;24070.0;63.0
20;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 1995;1290.0;63.0
21;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 1996;1680.0;70.0
22;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 1997;1590.0;73.0
23;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 1998;1510.0;74.0
24;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 1999;1650.0;74.0
25;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 2000;1800.0;75.0
26;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 2001;1860.0;77.0
27;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 2002;1910.0;78.0
28;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 2003;1850.0;79.0
29;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Deeltijdopleidingen;Cohort 2004;1910.0;83.0
30;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1995;;
31;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1996;;
32;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1997;;
33;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1998;;
34;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 1999;10.0;
35;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2000;110.0;35.0
36;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2001;120.0;37.0
37;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2002;2110.0;55.0
38;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2003;5700.0;51.0
39;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Totaal opleidingsvorm;Cohort 2004;12250.0;48.0
40;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1995;;
41;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1996;;
42;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1997;;
43;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1998;;
44;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 1999;10.0;
45;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2000;110.0;35.0
46;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2001;120.0;37.0
47;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2002;2070.0;54.0
48;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2003;5480.0;50.0
49;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Voltijdopleidingen;Cohort 2004;11850.0;48.0
50;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1995;;
51;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1996;;
52;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1997;;
53;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1998;;
54;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 1999;;
55;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2000;;
56;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2001;;
57;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2002;40.0;
58;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2003;220.0;76.0
59;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Bachelor;Deeltijdopleidingen;Cohort 2004;400.0;74.0
60;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1995;1780.0;92.0
61;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1996;1920.0;92.0
62;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1997;1830.0;91.0
63;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1998;2050.0;89.0
64;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1999;1900.0;87.0
65;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2000;1940.0;86.0
66;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2001;2120.0;86.0
67;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2002;2250.0;87.0
68;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2003;2320.0;87.0
69;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2004;2260.0;87.0
70;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1995;1780.0;92.0
71;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1996;1920.0;92.0
72;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1997;1830.0;91.0
73;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1998;2050.0;89.0
74;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1999;1900.0;87.0
75;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2000;1940.0;86.0
76;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2001;2120.0;86.0
77;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2002;2250.0;87.0
78;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2003;2320.0;87.0
79;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2004;2260.0;87.0
80;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1995;;
81;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1996;;
82;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1997;;
83;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1998;;
84;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1999;;
85;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2000;;
86;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2001;;
87;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2002;;
88;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2003;;
89;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2004;;
90;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1995;580.0;76.0
91;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1996;610.0;77.0
92;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1997;540.0;74.0
93;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1998;420.0;75.0
94;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1999;400.0;75.0
95;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 2000;500.0;69.0
96;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 2001;460.0;71.0
97;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 2002;440.0;74.0
98;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 2003;530.0;75.0
99;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 2004;590.0;80.0
100;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 1995;540.0;77.0
101;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 1996;570.0;78.0
102;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 1997;480.0;75.0
103;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 1998;390.0;75.0
104;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 1999;350.0;75.0
105;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 2000;430.0;70.0
106;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 2001;380.0;71.0
107;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 2002;350.0;73.0
108;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 2003;430.0;75.0
109;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Voltijdopleidingen;Cohort 2004;480.0;79.0
110;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 1995;50.0;
111;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 1996;40.0;
112;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 1997;60.0;67.0
113;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 1998;40.0;
114;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 1999;50.0;
115;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 2000;70.0;67.0
116;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 2001;90.0;69.0
117;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 2002;90.0;74.0
118;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 2003;100.0;76.0
119;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Beroepsdiploma lerarenopleiding;Deeltijdopleidingen;Cohort 2004;110.0;82.0
120;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 1995;24390.0;66.0
121;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 1996;21890.0;66.0
122;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 1997;18850.0;67.0
123;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 1998;17260.0;68.0
124;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 1999;16900.0;67.0
125;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 2000;16840.0;67.0
126;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 2001;17460.0;67.0
127;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 2002;17860.0;67.0
128;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 2003;18760.0;67.0
129;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Totaal opleidingsvorm;Cohort 2004;20160.0;66.0
130;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 1995;23350.0;66.0
131;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 1996;20460.0;66.0
132;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 1997;17530.0;66.0
133;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 1998;16040.0;67.0
134;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 1999;15570.0;67.0
135;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 2000;15410.0;66.0
136;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 2001;15990.0;66.0
137;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 2002;16360.0;66.0
138;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 2003;17250.0;66.0
139;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Voltijdopleidingen;Cohort 2004;18630.0;65.0
140;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 1995;1050.0;65.0
141;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 1996;1430.0;71.0
142;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 1997;1320.0;73.0
143;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 1998;1220.0;75.0
144;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 1999;1340.0;75.0
145;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 2000;1430.0;75.0
146;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 2001;1470.0;77.0
147;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 2002;1500.0;79.0
148;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 2003;1510.0;78.0
149;Totaal mannen en vrouwen;Autochtonen;Doctoraal;Deeltijdopleidingen;Cohort 2004;1530.0;82.0
150;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1995;;
151;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1996;;
152;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1997;;
153;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1998;;
154;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 1999;10.0;
155;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2000;70.0;36.0
156;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2001;60.0;38.0
157;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2002;1600.0;55.0
158;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2003;4520.0;51.0
159;Totaal mannen en vrouwen;Autochtonen;Bachelor;Totaal opleidingsvorm;Cohort 2004;9650.0;49.0
160;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1995;;
161;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1996;;
162;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1997;;
163;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1998;;
164;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 1999;10.0;
165;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2000;70.0;36.0
166;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2001;60.0;38.0
167;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2002;1560.0;55.0
168;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2003;4330.0;50.0
169;Totaal mannen en vrouwen;Autochtonen;Bachelor;Voltijdopleidingen;Cohort 2004;9330.0;48.0
170;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1995;;
171;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1996;;
172;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1997;;
173;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1998;;
174;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 1999;;
175;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2000;;
176;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2001;;
177;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2002;30.0;
178;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2003;180.0;76.0
179;Totaal mannen en vrouwen;Autochtonen;Bachelor;Deeltijdopleidingen;Cohort 2004;320.0;73.0
180;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1995;1410.0;93.0
181;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1996;1500.0;92.0
182;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1997;1450.0;92.0
183;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1998;1620.0;90.0
184;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 1999;1510.0;89.0
185;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2000;1510.0;87.0
186;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2001;1710.0;87.0
187;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2002;1760.0;88.0
188;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2003;1800.0;89.0
189;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Totaal opleidingsvorm;Cohort 2004;1750.0;89.0
190;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1995;1410.0;93.0
191;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1996;1500.0;92.0
192;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1997;1450.0;92.0
193;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1998;1620.0;90.0
194;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 1999;1510.0;89.0
195;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2000;1510.0;87.0
196;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2001;1710.0;87.0
197;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2002;1760.0;88.0
198;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2003;1800.0;89.0
199;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Voltijdopleidingen;Cohort 2004;1750.0;89.0
200;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1995;;
201;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1996;;
202;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1997;;
203;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1998;;
204;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 1999;;
205;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2000;;
206;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2001;;
207;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2002;;
208;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2003;;
209;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma medisch;Deeltijdopleidingen;Cohort 2004;;
210;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1995;470.0;79.0
211;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1996;500.0;80.0
212;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1997;450.0;76.0
213;Totaal mannen en vrouwen;Autochtonen;Beroepsdiploma lerarenopleiding;Totaal opleidingsvorm;Cohort 1998;350.0;78.0
