ID;Geslacht;KerkelijkeGezindte;Regio;Bewoners_1
39;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Alkemade;6040
40;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Alkmaar;28305
41;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Almelo;32422
42;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Almkerk;3705
43;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Alphen aan den Rijn;17668
44;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Alphen en Riel;2589
45;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ambij;2135
46;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ameide;1742
47;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ameland;1929
48;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Amerongen;2820
49;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Amersfoort;38549
50;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ammerstol;1011
51;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ammerzoden;2628
52;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Amstenrade;1403
53;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Amsterdam;757386
54;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Andel;1085
55;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Andijk;4181
56;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Angerlo;2617
57;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ankeveen;628
58;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Anlo;5198
59;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Anna Paulowna;5501
60;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Annaland (St.);2613
61;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Apeldoorn;60452
62;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Appeltern;3079
63;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Appingedam;6488
64;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Arcen en Velden;3352
65;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Arkel;1149
66;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Arnemuiden;2285
67;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Arnhem;78234
68;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Asperen;1678
69;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Assen;17656
70;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Assendelft;4960
71;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Asten;5677
72;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Avenhorn;1410
73;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Avereest;9582
74;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Axel;6060
75;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Baarderadeel;5161
76;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Baarland;771
77;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Baarle-Nassau;3267
78;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Baarn;12141
79;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Baexem;926
80;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Baflo;2712
81;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bakel en Milheeze;3109
82;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Barendrecht;4999
83;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Barneveld;13747
84;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Barradeel;7988
85;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Barsingerhorn;2154
86;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Barwoutswaarder;881
87;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Batenburg;503
88;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bathmen;1900
89;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bedum;5890
90;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beegden;760
91;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beek (L.);5090
92;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beek en Donk;3188
93;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beemster;5165
94;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beers;887
95;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beerta;3979
96;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beesd;2624
97;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beesel;4232
98;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beets;457
99;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beijerland (Nieuw-);1757
100;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beijerland (Oud-);6027
101;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beijerland (Zuid-);2507
102;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beilen;8119
103;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Belfeld;1897
104;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bellingwolde;6142
105;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bemelen;246
106;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bemmel;7115
107;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bennebroek;2157
108;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Benschop;1882
109;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Benthuizen;1031
110;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Berg en Terblijt;2045
111;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bergambacht;3662
112;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bergeijk;3020
113;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bergen (L.);6603
114;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bergen (NH.);5715
115;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bergen op Zoom;21652
116;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bergh;10697
117;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bergharen;1656
118;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Berghem;2575
119;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bergschenhoek;2121
120;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Berkel en Rodenrijs;4329
121;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Berkel-Enschot;2064
122;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Berkenwoude;872
123;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Berkhout;2841
124;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Berlicum;3487
125;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Best;4253
126;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beugen en Rijkevoort;2284
127;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beuningen;3306
128;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beusichem;1521
129;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Beverwijk;9961
130;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bierum;4516
131;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Biervliet;2336
132;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Biggekerke;878
133;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bildt ('t);8311
134;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bilt (de);11151
135;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bingelrade;555
136;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bladel en Netersel;2439
137;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Blankenham;527
138;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Blaricum;2831
139;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bleiswijk;2211
140;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bleskensgraaf en Hofwege;1101
141;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bloemendaal;14086
142;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Blokker;2327
143;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Blokzijl;961
144;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bocholtz;3096
145;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bodegraven;6288
146;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Boekel;3279
147;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bolsward;6866
148;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bommel (den);1884
149;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Borculo;5288
150;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Borger;9924
151;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Borgharen;1121
152;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Borkel en Schaft;766
153;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Born;2553
154;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Borne;9357
155;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Borsselen;1419
156;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Boschkapelle;1240
157;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Boskoop;7704
158;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bovenkarspel;2929
159;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Boxmeer;3591
160;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Boxtel;10944
161;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Brakel;1754
162;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Brandwijk;918
163;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Breda;44649
164;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Breskens;3003
165;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Breukelen-Nijenrode;2900
166;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Breukelen-Sint Pieters;888
167;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Brielle;3546
168;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Broek in Waterland;1650
169;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Broek op Langedijk;2408
170;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Broekhuizen;964
171;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Broeksittard;899
172;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Brouwershaven;1234
173;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bruinisse;2415
174;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Brummen;9203
175;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Brunssum;16036
176;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Budel;4857
177;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Buggenum;755
178;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bunde;1528
179;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bunnik;1684
180;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bunschoten;4911
181;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Buren;1847
182;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Burgh;625
183;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Bussum;25105
184;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Buurmalsen;1955
185;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Cadier en Keer;1102
186;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Cadzand;933
187;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Callantsoog;1036
188;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Capelle aan den IJssel;7972
189;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Castricum;5512
190;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Chaam;1983
191;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Clinge;3685
192;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Coevorden;6816
193;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Colijnsplaat;1928
194;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Cothen;914
195;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Cromvoirt;680
196;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Cuijk en Sint Agatha;4015
197;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Culemborg;9377
198;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dalen;4001
199;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dalfsen;7318
200;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dantumadeel;13209
201;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Deil;2152
202;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Delden (Ambt-);3761
203;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Delden (Stad-);2857
204;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Delft;50827
205;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Delfzijl;9666
206;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Denekamp;6355
207;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Deurne;10806
208;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Deventer;36221
209;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Didam;6140
210;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Diemen;4001
211;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Diepenheim;1777
212;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Diepenveen;6774
213;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Diessen;1416
214;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Diever;2716
215;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dinteloord en Prinsenland;4091
216;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dinther;1959
217;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dinxperlo;3525
218;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dirksland;2621
219;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dodewaard;2110
220;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Doesburg;4921
221;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Doetinchem;14329
222;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dokkum;4895
223;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Domburg;1289
224;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dommelen;640
225;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dongen;8853
226;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Doniawerstal;5622
227;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Doorn;4134
228;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Doornspijk;4319
229;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dordrecht;56156
230;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dreischor;1160
231;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dreumel;2506
232;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Driebergen;6208
233;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Driel;3862
234;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Driewegen;609
235;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Drunen;3387
236;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Druten;5890
237;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dubbeldam;4681
238;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Duiven;3795
239;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Duivendijke;543
240;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dungen (den);1897
241;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dussen;3746
242;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Dwingeloo;3016
243;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Echt;9425
244;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Echteld;3529
245;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Edam;8295
246;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ede;30688
247;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eede;1100
248;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eelde;3341
249;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eemnes;1875
250;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eenrum;2546
251;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eersel;2810
252;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eethen;2315
253;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Egmond aan Zee;2891
254;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Egmond-Binnen;2387
255;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eibergen;9135
256;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eijgelshoven;3919
257;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eijsden;3695
258;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Eindhoven;94948
259;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Elburg;2634
260;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Elkerzee;583
261;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ellemeet;514
262;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ellewoutsdijk;578
263;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Elsloo;2650
264;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Elst;8701
265;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Emmen;40961
266;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Empel en Meerwijk;730
267;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Engelen;1617
268;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Enkhuizen;9347
269;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Enschede;51805
270;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Epe;13410
271;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ermelo;14718
272;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Erp;2883
273;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Esch;680
274;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Escharen;1450
275;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Est en Opijnen;1007
276;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Etten en Leur;9583
277;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Everdingen;1038
278;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ewijk;2742
279;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ezinge;1854
280;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ferwerderadeel;8371
281;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Fijnaart en Heijningen;4646
282;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Finsterwolde;3196
283;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Franeker;8103
284;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Franekeradeel;4922
285;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gaasterland;5853
286;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gameren;1918
287;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gassel;653
288;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gasselte;3594
289;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Geertruid (St.);878
290;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Geertruidenberg;2816
291;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Geervliet;1018
292;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Geffen;1931
293;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Geldermalsen;4565
294;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Geldrop;8953
295;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Geleen;12411
296;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemert;6107
297;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gendringen;10184
298;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Genemuiden;3311
299;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gennep;3244
300;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gent;3222
301;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Geulle;1528
302;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Giessen;504
303;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Giessendam;4210
304;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Giessen-Nieuwkerk;1070
305;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gieten;3384
306;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Giethoorn;2119
307;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gilze en Rijen;7741
308;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Ginneken en Bavel;13111
309;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Goedereede;1281
310;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Goes;9124
311;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Goirle;5235
312;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Goor;3828
313;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gorinchem;14033
314;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gorssel;8214
315;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gouda;29163
316;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gouderak;2074
317;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Goudriaan;602
318;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Goudswaard;1499
319;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Graauw en Langendam;1979
320;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Grafhorst;739
321;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Graft;1174
322;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gramsbergen;4312
