ID;Geslacht;Leeftijden;SociaalEconomischeCategorie;PositieInHuishouden;Perioden;Emigranten_1
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2008;44.1
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2009;47.3
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2010;50.4
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2011;51.2
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2000;20.4
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2001;21.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2002;22.7
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2003;24.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2004;26.6
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2005;30.6
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2006;32.8
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2007;30.4
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2008;28.2
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2009;25.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2010;25.8
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Thuiswonend kind;2011;30.3
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2000;1.9
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2001;2.1
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2002;2.4
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2003;2.9
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2004;3.3
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2005;3.5
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2006;3.7
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2007;3.4
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2008;3.2
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2009;2.8
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2010;3.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ouder in eenouderhuishouden;2011;3.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2000;13.2
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2001;13.6
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2002;14.7
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2003;15.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2004;16.3
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2005;18.6
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2006;19.5
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2007;18.2
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2008;16.7
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2009;14.8
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2010;15.1
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar met kind(eren);2011;15.2
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2000;14.0
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2001;15.2
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2002;16.9
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2003;17.2
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2004;18.0
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2005;20.2
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2006;21.9
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2007;21.3
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2008;21.1
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2009;19.6
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2010;20.1
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Partner in paar, geen kind(eren);2011;20.2
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2000;7.2
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2001;7.6
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2002;8.6
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2003;11.7
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2004;10.4
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2005;9.5
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2006;10.7
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2007;11.1
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2008;11.3
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2009;11.8
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2010;12.2
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overig lid huishouden;2011;13.4
84;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2000;23.7
85;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2001;25.4
86;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2002;27.5
87;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2003;27.6
88;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2004;28.1
89;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2005;30.5
90;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2006;34.0
91;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2007;35.9
92;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2008;37.0
93;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2009;32.7
94;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2010;33.3
95;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Persoon in particulier huishouden;2011;33.8
96;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2000;8.0
97;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2001;8.0
98;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2002;8.7
99;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2003;9.0
100;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2004;9.5
101;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2005;9.8
102;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2006;11.1
103;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2007;12.3
104;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2008;13.7
105;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2009;13.3
106;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2010;13.7
107;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Alleenstaande;2011;14.2
108;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2000;2.5
109;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2001;2.6
110;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2002;2.9
111;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2003;2.8
112;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2004;2.7
113;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2005;3.1
114;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2006;3.8
115;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2007;3.9
116;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2008;3.7
117;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2009;3.1
118;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2010;2.9
119;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Thuiswonend kind;2011;2.9
120;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2000;0.4
121;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2001;0.5
122;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2002;0.5
123;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2003;0.6
124;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2004;0.7
125;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2005;0.8
126;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2006;0.9
127;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2007;0.9
128;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2008;0.9
129;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2009;0.8
130;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2010;0.8
131;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Ouder in eenouderhuishouden;2011;0.8
132;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2000;5.6
133;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2001;6.2
134;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2002;6.7
135;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2003;6.5
136;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2004;6.7
137;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2005;7.9
138;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2006;8.3
139;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2007;8.2
140;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2008;7.8
141;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2009;6.2
142;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2010;6.3
143;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar met kind(eren);2011;6.4
144;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2000;6.1
145;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2001;7.0
146;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2002;7.3
147;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2003;7.0
148;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2004;7.0
149;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2005;7.7
150;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2006;8.3
151;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2007;8.7
152;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2008;8.9
153;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2009;7.4
154;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2010;7.6
155;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Partner in paar, geen kind(eren);2011;7.5
156;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2000;1.0
157;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2001;1.2
158;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2002;1.3
159;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2003;1.7
160;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2004;1.5
161;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2005;1.3
162;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2006;1.7
163;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2007;1.9
164;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2008;2.1
165;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2009;1.8
166;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2010;1.9
167;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer en zelfstandige;Overig lid huishouden;2011;2.0
168;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2000;6.3
169;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2001;6.7
170;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2002;7.4
171;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2003;8.7
172;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2004;10.6
173;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2005;12.1
174;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2006;12.2
175;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2007;11.0
176;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2008;10.0
177;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2009;9.8
178;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2010;11.0
179;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Persoon in particulier huishouden;2011;11.0
180;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2000;2.2
181;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2001;2.2
182;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2002;2.5
183;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2003;2.9
184;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2004;3.5
185;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2005;3.9
186;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2006;4.0
187;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2007;3.6
188;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2008;3.3
189;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2009;3.4
190;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2010;3.9
191;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Alleenstaande;2011;3.9
192;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2000;0.3
193;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2001;0.2
194;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2002;0.3
195;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2003;0.3
196;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2004;0.4
197;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2005;0.5
198;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2006;0.5
199;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2007;0.4
200;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2008;0.4
201;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2009;0.4
202;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2010;0.5
203;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Thuiswonend kind;2011;0.6
204;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2000;0.6
205;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2001;0.7
206;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2002;0.7
207;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2003;0.9
208;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2004;1.2
209;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2005;1.2
210;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2006;1.2
211;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2007;1.1
212;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2008;0.8
213;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2009;0.8
214;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2010;0.9
215;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Ouder in eenouderhuishouden;2011;0.9
216;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2000;1.1
217;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2001;1.1
218;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2002;1.3
219;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2003;1.4
220;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2004;2.0
221;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2005;2.4
222;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2006;2.4
223;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2007;2.0
224;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2008;1.6
225;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2009;1.6
226;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2010;1.8
227;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar met kind(eren);2011;1.7
228;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2000;1.6
229;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2001;1.8
230;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2002;1.9
231;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2003;2.2
232;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2004;2.5
233;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2005;3.1
234;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2006;3.1
235;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2007;2.9
236;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2008;2.7
237;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2009;2.4
238;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2010;2.5
239;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Partner in paar, geen kind(eren);2011;2.5
240;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2000;0.6
241;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2001;0.7
242;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2002;0.8
243;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2003;1.0
244;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2004;1.1
245;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2005;1.1
246;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2006;1.1
247;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2007;1.1
248;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2008;1.2
249;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2009;1.2
250;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2010;1.3
251;Totaal mannen en vrouwen;Totaal leeftijd;Uitkeringsontvanger;Overig lid huishouden;2011;1.3
