ID;HouseholdCharacteristics;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2;PersonsWithPurchasingPowerIncrease_3;k_20thPercentile_4;k_40thPercentile_5;k_60thPercentile_6;k_80thPercentile_7
51;Type: Couple, total;2015;1.5;40.3;59.7;-5.9;0.0;3.5;10.6
52;Type: Couple, total;2016;3.5;31.1;68.9;-3.6;1.5;5.8;13.4
53;Type: Couple, total;2017;0.8;43.9;56.1;-5.7;-0.5;2.9;10.8
54;Type: Couple, total;2018;0.9;44.2;55.8;-5.5;-0.5;3.1;10.9
55;Type: Couple, total;2019;1.9;35.2;64.8;-4.6;0.5;3.9;11.8
56;Type: Couple, total;2020;3.0;31.6;68.4;-4.8;1.3;5.3;12.9
57;Type: Couple, total;2021;1.7;40.7;59.3;-5.2;-0.1;4.0;12.3
58;Type: Couple, total;2022;-1.3;55.6;44.4;-8.0;-3.0;1.1;8.8
59;Type: Couple, total;2023;0.3;48.3;51.7;-6.7;-1.3;2.0;8.5
60;Type: Couple, no children;2012;-1.3;63.2;36.8;-6.6;-2.2;-0.4;4.1
61;Type: Couple, no children;2013;-2.2;65.2;34.8;-7.7;-3.4;-0.8;3.9
62;Type: Couple, no children;2014;1.1;38.0;62.0;-4.1;0.2;2.3;7.4
63;Type: Couple, no children;2015;0.4;45.3;54.7;-4.3;-0.4;1.4;6.5
64;Type: Couple, no children;2016;1.4;34.8;65.2;-3.1;0.5;2.7;8.3
65;Type: Couple, no children;2017;-0.1;51.3;48.7;-4.5;-0.8;0.7;6.1
66;Type: Couple, no children;2018;-0.3;54.1;45.9;-4.3;-0.8;0.6;6.2
67;Type: Couple, no children;2019;0.9;35.0;65.0;-3.1;0.3;1.8;7.2
68;Type: Couple, no children;2020;1.4;31.5;68.5;-3.7;0.8;2.4;8.1
69;Type: Couple, no children;2021;0.1;49.4;50.6;-3.9;-0.6;1.4;7.9
70;Type: Couple, no children;2022;-2.8;65.7;34.3;-6.9;-3.5;-1.3;4.5
71;Type: Couple, no children;2023;-0.5;55.3;44.7;-5.7;-1.7;0.5;4.7
72;Type: Couple, with child(ren);2012;-0.5;52.7;47.3;-8.4;-2.4;1.4;7.8
73;Type: Couple, with child(ren);2013;0.3;48.5;51.5;-8.0;-1.6;2.3;8.9
74;Type: Couple, with child(ren);2014;3.1;35.0;65.0;-5.2;1.1;5.2;12.6
75;Type: Couple, with child(ren);2015;2.8;36.1;63.9;-5.6;0.8;5.0;12.4
76;Type: Couple, with child(ren);2016;5.3;27.3;72.7;-2.9;3.2;7.6;15.6
77;Type: Couple, with child(ren);2017;2.2;38.5;61.5;-5.3;0.3;4.5;12.9
78;Type: Couple, with child(ren);2018;2.5;37.5;62.5;-5.2;0.5;4.9;13.1
79;Type: Couple, with child(ren);2019;3.2;33.7;66.3;-4.6;1.3;5.6;13.9
80;Type: Couple, with child(ren);2020;4.8;29.9;70.1;-4.2;2.6;7.2;15.1
81;Type: Couple, with child(ren);2021;3.3;34.4;65.6;-4.9;1.2;5.7;14.3
82;Type: Couple, with child(ren);2022;0.3;48.8;51.2;-7.6;-1.9;2.7;11.0
83;Type: Couple, with child(ren);2023;1.3;43.1;56.9;-6.3;-0.6;3.5;10.3
84;Type: Multi-person household, n.e.c.;2012;-1.5;57.3;42.7;-12.3;-3.8;0.7;8.8
85;Type: Multi-person household, n.e.c.;2013;-1.1;55.1;44.9;-11.5;-3.4;1.2;9.7
86;Type: Multi-person household, n.e.c.;2014;1.9;41.0;59.0;-8.4;-0.2;4.3;13.8
87;Type: Multi-person household, n.e.c.;2015;1.6;42.5;57.5;-8.8;-0.6;4.2;13.9
88;Type: Multi-person household, n.e.c.;2016;3.6;35.2;64.8;-6.6;1.2;6.3;16.3
89;Type: Multi-person household, n.e.c.;2017;1.5;42.8;57.2;-7.7;-0.5;4.3;15.1
90;Type: Multi-person household, n.e.c.;2018;1.6;42.7;57.3;-8.0;-0.5;4.4;14.8
91;Type: Multi-person household, n.e.c.;2019;2.5;37.5;62.5;-6.9;0.5;5.2;15.4
92;Type: Multi-person household, n.e.c.;2020;3.4;35.4;64.6;-7.3;1.2;6.2;16.3
93;Type: Multi-person household, n.e.c.;2021;2.5;38.5;61.5;-7.2;0.3;5.5;16.1
94;Type: Multi-person household, n.e.c.;2022;-0.5;52.1;47.9;-10.2;-2.9;2.3;12.9
95;Type: Multi-person household, n.e.c.;2023;1.2;44.5;55.5;-8.2;-1.0;3.6;11.9
96;Main earner: to 24 years;2012;2.2;45.3;54.7;-18.5;-2.5;8.0;32.4
97;Main earner: to 24 years;2013;4.1;41.6;58.4;-16.9;-0.8;9.8;36.1
98;Main earner: to 24 years;2014;6.2;38.0;62.0;-15.5;1.1;12.5;40.0
99;Main earner: to 24 years;2015;7.1;36.1;63.9;-15.1;1.9;14.3;44.4
100;Main earner: to 24 years;2016;9.6;33.7;66.3;-14.5;3.5;17.0;48.8
101;Main earner: to 24 years;2017;8.2;35.2;64.8;-14.2;2.2;16.5;50.4
102;Main earner: to 24 years;2018;8.9;33.8;66.2;-11.4;3.0;17.4;52.2
103;Main earner: to 24 years;2019;9.2;31.9;68.1;-9.8;3.6;17.2;51.4
104;Main earner: to 24 years;2020;9.8;30.3;69.7;-9.3;4.5;17.1;50.9
105;Main earner: to 24 years;2021;10.0;30.4;69.6;-7.9;4.3;18.6;56.0
106;Main earner: to 24 years;2022;8.5;34.0;66.0;-9.8;3.0;16.8;52.6
107;Main earner: to 24 years;2023;10.0;31.3;68.7;-9.5;4.2;18.8;57.2
108;Main earner: 25 to 44 years;2012;-0.8;54.1;45.9;-10.0;-2.6;1.2;7.9
109;Main earner: 25 to 44 years;2013;0.1;49.6;50.4;-9.5;-1.8;2.0;9.0
110;Main earner: 25 to 44 years;2014;2.8;36.0;64.0;-6.5;0.9;4.9;12.6
111;Main earner: 25 to 44 years;2015;2.5;37.4;62.6;-7.0;0.5;4.6;12.8
112;Main earner: 25 to 44 years;2016;5.0;28.9;71.1;-4.3;2.8;7.3;15.7
113;Main earner: 25 to 44 years;2017;1.6;40.1;59.9;-6.8;0.0;3.8;12.7
114;Main earner: 25 to 44 years;2018;1.9;39.9;60.1;-6.6;0.0;4.2;13.1
115;Main earner: 25 to 44 years;2019;2.5;36.1;63.9;-6.2;0.7;4.8;13.4
116;Main earner: 25 to 44 years;2020;4.3;31.0;69.0;-5.4;2.1;6.6;14.9
117;Main earner: 25 to 44 years;2021;2.7;36.0;64.0;-6.0;0.8;5.0;14.1
118;Main earner: 25 to 44 years;2022;0.2;49.0;51.0;-8.5;-1.9;2.7;11.2
119;Main earner: 25 to 44 years;2023;1.2;44.0;56.0;-7.5;-0.8;3.2;10.1
120;Main earner: 45 to 64 years;2012;-1.2;56.4;43.6;-9.2;-2.8;0.8;7.8
121;Main earner: 45 to 64 years;2013;-0.4;52.3;47.7;-9.2;-2.3;1.6;9.0
122;Main earner: 45 to 64 years;2014;2.4;37.2;62.8;-6.3;0.6;4.6;12.9
123;Main earner: 45 to 64 years;2015;2.1;38.2;61.8;-6.6;0.3;4.3;12.6
124;Main earner: 45 to 64 years;2016;4.0;31.0;69.0;-4.4;1.8;6.3;15.0
125;Main earner: 45 to 64 years;2017;1.2;42.4;57.6;-6.4;-0.4;3.6;12.8
126;Main earner: 45 to 64 years;2018;1.2;42.9;57.1;-6.4;-0.4;3.7;12.7
127;Main earner: 45 to 64 years;2019;2.3;36.0;64.0;-5.3;0.6;4.7;13.7
128;Main earner: 45 to 64 years;2020;3.4;32.6;67.4;-5.6;1.6;5.8;14.5
129;Main earner: 45 to 64 years;2021;2.2;38.2;61.8;-5.8;0.3;4.7;14.3
130;Main earner: 45 to 64 years;2022;-0.3;51.4;48.6;-8.6;-2.5;2.4;10.8
131;Main earner: 45 to 64 years;2023;0.7;46.3;53.7;-7.1;-1.2;2.8;10.5
132;Main earner: 65 years or older;2012;-1.2;70.2;29.8;-4.1;-1.6;-0.7;1.5
133;Main earner: 65 years or older;2013;-2.8;78.6;21.4;-6.6;-3.7;-1.9;0.2
134;Main earner: 65 years or older;2014;0.8;37.1;62.9;-2.6;0.2;1.4;3.5
135;Main earner: 65 years or older;2015;0.1;47.8;52.2;-2.9;-0.4;0.6;2.5
136;Main earner: 65 years or older;2016;0.8;37.0;63.0;-2.4;0.2;1.4;3.3
137;Main earner: 65 years or older;2017;-0.2;53.6;46.4;-3.1;-0.7;0.3;2.2
138;Main earner: 65 years or older;2018;-0.4;61.4;38.6;-2.8;-0.7;-0.1;2.2
139;Main earner: 65 years or older;2019;0.7;31.4;68.6;-1.7;0.3;1.0;3.6
140;Main earner: 65 years or older;2020;1.1;28.8;71.2;-2.6;0.8;1.5;3.6
141;Main earner: 65 years or older;2021;-0.3;58.3;41.7;-2.8;-0.6;0.1;3.8
142;Main earner: 65 years or older;2022;-3.0;71.0;29.0;-5.7;-3.5;-2.4;2.9
143;Main earner: 65 years or older;2023;-0.5;56.8;43.2;-4.6;-1.4;0.2;2.9
144;Main earner: 25 to 34 years;2012;-0.7;53.4;46.6;-11.7;-3.0;1.5;9.0
145;Main earner: 25 to 34 years;2013;0.1;49.7;50.3;-11.0;-2.1;2.3;10.2
146;Main earner: 25 to 34 years;2014;3.0;36.7;63.3;-7.9;0.9;5.4;14.0
147;Main earner: 25 to 34 years;2015;2.5;38.7;61.3;-8.4;0.3;5.0;14.6
148;Main earner: 25 to 34 years;2016;5.3;30.6;69.4;-5.7;2.7;7.9;17.9
149;Main earner: 25 to 34 years;2017;1.9;40.1;59.9;-8.3;0.0;4.4;14.6
150;Main earner: 25 to 34 years;2018;2.2;40.0;60.0;-7.8;0.0;4.9;15.2
151;Main earner: 25 to 34 years;2019;2.8;36.7;63.3;-7.5;0.6;5.4;15.2
152;Main earner: 25 to 34 years;2020;4.5;32.2;67.8;-6.5;2.0;7.2;16.8
153;Main earner: 25 to 34 years;2021;3.1;36.4;63.6;-7.2;0.8;5.7;16.0
154;Main earner: 25 to 34 years;2022;0.7;47.0;53.0;-9.7;-1.7;3.4;13.1
155;Main earner: 25 to 34 years;2023;1.5;43.3;56.7;-9.0;-0.8;3.7;11.8
156;Main earner: 35 to 44 years;2012;-0.8;54.4;45.6;-8.9;-2.5;1.0;7.3
157;Main earner: 35 to 44 years;2013;0.1;49.5;50.5;-8.4;-1.7;1.9;8.3
158;Main earner: 35 to 44 years;2014;2.7;35.3;64.7;-5.6;1.0;4.6;11.7
159;Main earner: 35 to 44 years;2015;2.5;36.4;63.6;-6.0;0.7;4.5;11.8
160;Main earner: 35 to 44 years;2016;4.9;27.6;72.4;-3.3;2.9;6.9;14.4
161;Main earner: 35 to 44 years;2017;1.6;39.8;60.2;-5.8;0.0;3.6;11.4
162;Main earner: 35 to 44 years;2018;1.8;39.5;60.5;-5.6;0.1;3.9;11.8
163;Main earner: 35 to 44 years;2019;2.4;35.3;64.7;-5.1;0.8;4.4;12.2
164;Main earner: 35 to 44 years;2020;4.2;29.9;70.1;-4.4;2.2;6.3;13.7
165;Main earner: 35 to 44 years;2021;2.6;35.4;64.6;-5.1;0.8;4.7;12.8
166;Main earner: 35 to 44 years;2022;0.0;50.1;49.9;-7.5;-1.9;2.3;9.9
167;Main earner: 35 to 44 years;2023;1.0;44.2;55.8;-6.4;-0.8;2.9;9.1
168;Main earner: 45 to 54 years;2012;-0.7;53.4;46.6;-8.7;-2.5;1.4;8.3
169;Main earner: 45 to 54 years;2013;0.2;49.0;51.0;-8.3;-1.7;2.3;9.7
170;Main earner: 45 to 54 years;2014;2.9;35.5;64.5;-5.5;1.0;5.2;13.4
171;Main earner: 45 to 54 years;2015;2.8;36.0;64.0;-5.8;0.8;5.1;13.3
172;Main earner: 45 to 54 years;2016;4.8;28.6;71.4;-3.5;2.6;7.2;16.0
173;Main earner: 45 to 54 years;2017;2.0;39.1;60.9;-5.5;0.2;4.6;13.8
174;Main earner: 45 to 54 years;2018;2.2;39.1;60.9;-5.5;0.1;4.8;13.7
175;Main earner: 45 to 54 years;2019;3.1;33.9;66.1;-4.6;1.1;5.7;14.7
176;Main earner: 45 to 54 years;2020;4.3;30.8;69.2;-4.8;2.1;6.8;15.5
177;Main earner: 45 to 54 years;2021;3.0;35.4;64.6;-5.1;0.9;5.7;15.1
178;Main earner: 45 to 54 years;2022;0.5;47.9;52.1;-7.6;-1.8;3.3;11.9
179;Main earner: 45 to 54 years;2023;1.4;43.0;57.0;-6.3;-0.6;3.7;11.5
180;Main earner: 55 to 64 years;2012;-1.7;61.1;38.9;-9.9;-3.4;-0.2;6.7
181;Main earner: 55 to 64 years;2013;-1.4;57.8;42.2;-10.3;-3.2;0.4;7.6
182;Main earner: 55 to 64 years;2014;1.8;39.8;60.2;-7.3;0.1;3.6;11.6
183;Main earner: 55 to 64 years;2015;1.2;41.5;58.5;-7.5;-0.3;3.1;11.0
184;Main earner: 55 to 64 years;2016;2.7;34.6;65.4;-5.7;1.1;4.8;13.0
185;Main earner: 55 to 64 years;2017;0.3;47.6;52.4;-7.5;-1.1;2.0;10.6
186;Main earner: 55 to 64 years;2018;0.1;48.9;51.1;-7.5;-1.0;1.9;10.2
187;Main earner: 55 to 64 years;2019;1.3;39.2;60.8;-6.1;0.1;3.1;11.5
188;Main earner: 55 to 64 years;2020;2.4;34.8;65.2;-6.5;1.1;4.4;12.4
189;Main earner: 55 to 64 years;2021;1.2;42.0;58.0;-6.6;-0.2;3.3;12.5
190;Main earner: 55 to 64 years;2022;-1.4;56.3;43.7;-9.6;-3.1;1.0;8.8
191;Main earner: 55 to 64 years;2023;-0.1;50.8;49.2;-7.9;-2.0;1.7;8.7
192;Main earner: 65 to 74 years;2012;-1.2;68.3;31.7;-4.7;-1.8;-0.7;2.0
193;Main earner: 65 to 74 years;2013;-2.8;76.5;23.5;-7.1;-3.7;-1.9;0.7
194;Main earner: 65 to 74 years;2014;0.9;38.1;61.9;-3.2;0.2;1.5;4.3
195;Main earner: 65 to 74 years;2015;0.1;48.3;51.7;-3.8;-0.5;0.7;3.3
196;Main earner: 65 to 74 years;2016;0.8;38.1;61.9;-2.9;0.2;1.5;4.3
197;Main earner: 65 to 74 years;2017;-0.2;54.3;45.7;-4.0;-0.8;0.3;3.3
198;Main earner: 65 to 74 years;2018;-0.4;60.3;39.7;-4.0;-0.9;0.0;3.4
199;Main earner: 65 to 74 years;2019;0.7;34.7;65.3;-2.9;0.3;1.2;4.9
200;Main earner: 65 to 74 years;2020;1.1;32.6;67.4;-4.1;0.6;1.6;5.5
201;Main earner: 65 to 74 years;2021;-0.3;56.8;43.2;-4.6;-0.8;0.2;5.8
202;Main earner: 65 to 74 years;2022;-3.1;69.2;30.8;-7.6;-3.7;-2.3;3.9
203;Main earner: 65 to 74 years;2023;-0.6;56.4;43.6;-5.8;-1.6;0.3;4.5
204;Main earner: 75 to 84 years;2012;-1.1;72.5;27.5;-3.1;-1.5;-0.8;1.0
205;Main earner: 75 to 84 years;2013;-2.7;81.1;18.9;-5.8;-3.5;-1.9;-0.2
206;Main earner: 75 to 84 years;2014;0.8;34.7;65.3;-1.7;0.3;1.3;2.7
207;Main earner: 75 to 84 years;2015;0.1;47.1;52.9;-1.9;-0.3;0.6;1.8
208;Main earner: 75 to 84 years;2016;0.9;34.3;65.7;-1.6;0.4;1.3;2.4
209;Main earner: 75 to 84 years;2017;-0.1;52.2;47.8;-1.9;-0.5;0.3;1.4
210;Main earner: 75 to 84 years;2018;-0.3;63.0;37.0;-1.7;-0.6;-0.1;1.2
211;Main earner: 75 to 84 years;2019;0.7;26.5;73.5;-0.5;0.4;1.0;2.4
212;Main earner: 75 to 84 years;2020;1.2;22.9;77.1;-0.5;0.9;1.5;2.4
213;Main earner: 75 to 84 years;2021;-0.3;60.5;39.5;-1.4;-0.5;0.0;1.9
214;Main earner: 75 to 84 years;2022;-2.9;73.9;26.1;-4.4;-3.3;-2.5;1.9
215;Main earner: 75 to 84 years;2023;-0.5;57.3;42.7;-3.4;-1.2;0.2;1.9
216;Main earner: 85 years or older;2012;-1.2;72.7;27.3;-3.9;-1.6;-0.8;0.9
217;Main earner: 85 years or older;2013;-2.8;82.0;18.0;-7.2;-3.8;-1.9;-0.2
218;Main earner: 85 years or older;2014;0.7;38.2;61.8;-2.7;0.1;1.2;2.5
219;Main earner: 85 years or older;2015;0.2;46.2;53.8;-2.6;-0.3;0.6;1.6
220;Main earner: 85 years or older;2016;0.7;38.6;61.4;-2.7;0.1;1.2;2.0
221;Main earner: 85 years or older;2017;-0.1;54.1;45.9;-2.8;-0.6;0.2;1.1
222;Main earner: 85 years or older;2018;-0.3;62.9;37.1;-2.0;-0.6;-0.1;1.0
223;Main earner: 85 years or older;2019;0.7;27.3;72.7;-0.8;0.4;1.0;2.2
224;Main earner: 85 years or older;2020;1.3;24.3;75.7;-1.1;1.0;1.5;2.3
225;Main earner: 85 years or older;2021;-0.2;59.1;40.9;-1.5;-0.4;0.0;1.9
226;Main earner: 85 years or older;2022;-2.7;70.1;29.9;-4.4;-3.1;-2.2;2.6
227;Main earner: 85 years or older;2023;-0.4;55.9;44.1;-3.6;-1.2;0.2;2.1
228;Source:  Income as employee/self-employe;2012;-0.8;54.0;46.0;-9.5;-2.7;1.2;8.2
229;Source:  Income as employee/self-employe;2013;0.2;48.9;51.1;-8.9;-1.7;2.2;9.6
230;Source:  Income as employee/self-employe;2014;2.9;36.0;64.0;-6.2;0.9;5.0;13.1
231;Source:  Income as employee/self-employe;2015;2.6;37.1;62.9;-6.6;0.6;4.9;13.3
232;Source:  Income as employee/self-employe;2016;5.0;29.3;70.7;-4.1;2.9;7.3;16.1
233;Source:  Income as employee/self-employe;2017;1.7;41.4;58.6;-6.7;-0.3;4.0;13.3
234;Source:  Income as employee/self-employe;2018;1.9;40.4;59.6;-6.6;-0.1;4.4;13.5
235;Source:  Income as employee/self-employe;2019;2.7;36.2;63.8;-5.9;0.8;5.1;14.2
236;Source:  Income as employee/self-employe;2020;4.3;31.9;68.1;-5.5;2.1;6.7;15.5
237;Source:  Income as employee/self-employe;2021;2.8;36.2;63.8;-6.1;0.8;5.3;14.8
238;Source:  Income as employee/self-employe;2022;-0.4;51.9;48.1;-9.0;-2.5;2.1;11.3
239;Source:  Income as employee/self-employe;2023;0.7;46.5;53.5;-7.7;-1.3;3.0;10.6
240;Source: Income as employee;2012;-0.7;53.8;46.2;-8.1;-2.4;1.1;7.1
241;Source: Income as employee;2013;0.4;47.4;52.6;-7.1;-1.3;2.3;8.7
242;Source: Income as employee;2014;2.8;35.0;65.0;-5.1;1.1;4.7;11.2
243;Source: Income as employee;2015;2.7;35.2;64.8;-4.9;0.9;4.7;11.9
244;Source: Income as employee;2016;4.9;27.4;72.6;-2.9;3.1;7.0;14.4
245;Source: Income as employee;2017;1.5;41.1;58.9;-5.6;-0.2;3.6;11.3
246;Source: Income as employee;2018;1.9;39.5;60.5;-5.3;0.1;4.0;11.9
247;Source: Income as employee;2019;2.7;34.6;65.4;-4.6;1.0;4.8;12.5
248;Source: Income as employee;2020;4.4;29.4;70.6;-3.8;2.5;6.5;14.0
249;Source: Income as employee;2021;2.8;34.6;65.4;-4.7;1.0;5.0;13.2
250;Source: Income as employee;2022;-0.4;51.7;48.3;-7.5;-2.2;1.9;9.8
251;Source: Income as employee;2023;1.1;44.3;55.7;-6.1;-0.8;3.2;10.3
252;Source: Income as self-employed (total);2012;-1.8;54.7;45.3;-19.2;-6.0;2.4;17.2
253;Source: Income as self-employed (total);2013;-3.0;57.2;42.8;-19.6;-7.0;1.3;16.5
254;Source: Income as self-employed (total);2014;4.1;40.4;59.6;-12.2;-0.2;9.3;29.8
255;Source: Income as self-employed (total);2015;1.5;46.3;53.7;-18.0;-2.9;5.9;20.8
256;Source: Income as self-employed (total);2016;5.2;37.1;62.9;-10.0;1.2;10.0;27.0
257;Source: Income as self-employed (total);2017;3.0;42.6;57.4;-12.1;-1.0;7.8;24.5
258;Source: Income as self-employed (total);2018;2.2;44.4;55.6;-13.5;-1.6;6.8;22.0
259;Source: Income as self-employed (total);2019;2.8;42.9;57.1;-12.5;-1.1;7.4;24.0
260;Source: Income as self-employed (total);2020;3.2;42.4;57.6;-15.4;-1.1;7.9;23.5
261;Source: Income as self-employed (total);2021;2.4;43.8;56.2;-12.9;-1.4;6.9;22.5
262;Source: Income as self-employed (total);2022;-1.4;53.4;46.6;-16.5;-5.1;3.0;18.3
263;Source: Income as self-employed (total);2023;-1.8;56.4;43.6;-14.5;-4.8;1.0;10.3
264;Source: Income as self-employed ...;2012;-2.3;54.8;45.2;-20.1;-7.2;2.7;18.2
265;Source: Income as self-employed ...;2013;-2.4;54.9;45.1;-19.5;-7.1;2.7;18.7
266;Source: Income as self-employed ...;2014;3.8;42.1;57.9;-13.4;-1.0;9.1;25.8
267;Source: Income as self-employed ...;2015;3.5;42.6;57.4;-13.4;-1.2;8.6;24.8
268;Source: Income as self-employed ...;2016;5.4;38.5;61.5;-11.3;0.7;10.4;26.4
269;Source: Income as self-employed ...;2017;3.1;43.1;56.9;-12.7;-1.4;8.0;23.7
270;Source: Income as self-employed ...;2018;2.9;43.4;56.6;-12.9;-1.5;7.6;22.3
271;Source: Income as self-employed ...;2019;2.3;44.7;55.3;-13.4;-2.0;6.8;20.8
272;Source: Income as self-employed ...;2020;4.3;40.9;59.1;-13.0;-0.4;9.4;24.8
273;Source: Income as self-employed ...;2021;2.7;43.7;56.3;-12.5;-1.6;7.5;22.9
274;Source: Income as self-employed ...;2022;-1.3;52.9;47.1;-16.4;-5.5;3.4;18.1
275;Source: Income as self-employed ...;2023;-1.2;54.6;45.4;-15.5;-4.5;1.5;10.6
276;Source: Income as major shareholder;2012;-1.1;54.0;46.0;-15.3;-3.7;1.9;14.6
277;Source: Income as major shareholder;2013;-3.7;62.1;37.9;-18.4;-6.5;-0.7;10.9
278;Source: Income as major shareholder;2014;4.8;35.6;64.4;-7.6;1.3;10.5;54.1
279;Source: Income as major shareholder;2015;-1.4;54.0;46.0;-36.0;-6.4;1.6;10.7
280;Source: Income as major shareholder;2016;5.2;32.1;67.9;-5.1;2.1;9.3;28.7
281;Source: Income as major shareholder;2017;3.1;40.0;60.0;-8.5;0.0;7.6;26.7
282;Source: Income as major shareholder;2018;1.3;45.6;54.4;-13.2;-1.4;5.1;20.9
283;Source: Income as major shareholder;2019;4.4;37.3;62.7;-7.5;0.8;9.6;41.3
284;Source: Income as major shareholder;2020;1.6;44.9;55.1;-23.4;-2.2;5.1;19.0
285;Source: Income as major shareholder;2021;2.1;42.5;57.5;-11.1;-0.7;5.9;21.2
286;Source: Income as major shareholder;2022;-1.0;53.0;47.0;-13.1;-3.9;2.9;19.4
287;Source: Income as major shareholder;2023;-2.9;61.1;38.9;-11.2;-5.1;-0.3;8.3
288;Source: Income as other self-employed;2012;-1.0;54.2;45.8;-11.2;-3.2;1.7;11.1
289;Source: Income as other self-employed;2013;-2.9;60.8;39.2;-12.8;-5.2;-0.3;9.6
290;Source: Income as other self-employed;2014;2.1;41.6;58.4;-8.3;-0.4;5.0;17.3
291;Source: Income as other self-employed;2015;3.3;36.8;63.2;-7.5;0.8;6.6;19.4
