ID;KenmerkenHuishoudens;Marges;Perioden;ToegangTotInternet_1;TypeInternetverbindingBreedband_2;PersonalComputerPCOfDesktop_3;LaptopOfNetbook_4;Tablet_5;MobieleTelefoonOfSmartphone_6;Spelcomputer_7;SmartTVOfTVMetSetTopBox_8
18;Totaal huishoudens;Bovengrens 95%-interval;2014;91.1;89.8;56.3;71.9;51.8;69.2;19.7;36.9
19;Totaal huishoudens;Bovengrens 95%-interval;2015;92.5;90.1;52.1;73.9;59.9;74.6;20.7;35.4
20;Totaal huishoudens;Bovengrens 95%-interval;2016;93.0;91.2;54.5;76.3;63.5;81.6;24.2;42.2
21;Totaal huishoudens;Bovengrens 95%-interval;2017;96.3;95.1;56.3;79.2;67.8;86.3;26.4;48.9
22;Totaal huishoudens;Bovengrens 95%-interval;2018;96.0;95.3;52.0;79.6;64.9;88.5;27.3;51.0
23;Totaal huishoudens;Bovengrens 95%-interval;2019;96.3;95.5;51.4;80.6;67.5;90.3;28.8;57.2
24;Eenpersoonshuishouden;Waarde;2012;74.8;64.0;46.1;50.7;;33.2;9.2;9.6
25;Eenpersoonshuishouden;Waarde;2013;75.7;69.6;44.5;48.6;17.3;35.7;5.6;16.4
26;Eenpersoonshuishouden;Waarde;2014;79.9;78.2;41.2;55.7;29.7;53.1;8.7;25.1
27;Eenpersoonshuishouden;Waarde;2015;83.4;80.6;36.6;59.7;38.0;58.3;10.7;22.2
28;Eenpersoonshuishouden;Waarde;2016;84.7;82.5;41.0;63.1;41.3;68.1;13.9;29.6
29;Eenpersoonshuishouden;Waarde;2017;90.0;88.1;40.6;66.6;49.0;73.7;15.2;34.3
30;Eenpersoonshuishouden;Waarde;2018;91.1;90.0;39.9;69.7;46.5;79.4;16.7;38.6
31;Eenpersoonshuishouden;Waarde;2019;91.0;89.9;39.0;69.9;50.4;80.7;19.3;43.9
32;Eenpersoonshuishouden;Ondergrens 95%-interval;2012;71.4;60.0;41.8;46.4;;29.0;6.5;6.9
33;Eenpersoonshuishouden;Ondergrens 95%-interval;2013;72.5;66.0;40.3;44.3;14.0;31.4;3.3;13.1
34;Eenpersoonshuishouden;Ondergrens 95%-interval;2014;76.9;75.2;37.2;51.8;26.0;49.1;6.2;21.5
35;Eenpersoonshuishouden;Ondergrens 95%-interval;2015;80.7;77.7;33.0;56.1;34.3;54.6;8.2;19.0
36;Eenpersoonshuishouden;Ondergrens 95%-interval;2016;82.1;79.8;37.4;59.6;37.7;64.8;11.1;26.2
37;Eenpersoonshuishouden;Ondergrens 95%-interval;2017;87.8;85.7;37.1;63.3;45.5;70.5;12.6;30.9
38;Eenpersoonshuishouden;Ondergrens 95%-interval;2018;88.9;87.7;36.3;66.3;42.9;76.3;13.9;35.1
39;Eenpersoonshuishouden;Ondergrens 95%-interval;2019;89.1;87.9;35.7;66.8;47.0;78.1;16.5;40.5
40;Eenpersoonshuishouden;Bovengrens 95%-interval;2012;78.3;68.0;50.4;55.0;;37.5;12.0;12.3
41;Eenpersoonshuishouden;Bovengrens 95%-interval;2013;78.8;73.1;48.7;52.8;20.7;40.0;7.8;19.7
42;Eenpersoonshuishouden;Bovengrens 95%-interval;2014;82.8;81.3;45.2;59.7;33.4;57.1;11.1;28.6
43;Eenpersoonshuishouden;Bovengrens 95%-interval;2015;86.1;83.4;40.2;63.4;41.7;61.9;13.3;25.4
44;Eenpersoonshuishouden;Bovengrens 95%-interval;2016;87.2;85.2;44.7;66.6;44.9;71.5;16.6;33.0
45;Eenpersoonshuishouden;Bovengrens 95%-interval;2017;92.2;90.4;44.1;69.9;52.6;76.8;17.8;37.6
46;Eenpersoonshuishouden;Bovengrens 95%-interval;2018;93.3;92.4;43.5;73.1;50.2;82.4;19.5;42.2
47;Eenpersoonshuishouden;Bovengrens 95%-interval;2019;92.9;91.9;42.3;73.0;53.8;83.3;22.1;47.2
48;Eenoudergezin;Waarde;2012;93.0;85.2;67.6;76.2;;71.1;33.1;17.0
49;Eenoudergezin;Waarde;2013;100.0;98.4;63.9;82.1;40.9;68.7;26.3;46.8
50;Eenoudergezin;Waarde;2014;95.7;94.8;52.1;80.5;52.1;83.1;33.9;33.5
51;Eenoudergezin;Waarde;2015;93.4;91.5;47.8;78.9;63.8;88.2;28.8;36.8
52;Eenoudergezin;Waarde;2016;98.8;98.5;51.4;88.2;65.9;94.6;41.8;44.0
53;Eenoudergezin;Waarde;2017;99.5;99.4;59.6;87.3;73.2;96.1;42.5;59.3
54;Eenoudergezin;Waarde;2018;97.5;97.2;51.9;84.1;68.3;94.9;46.3;57.6
55;Eenoudergezin;Waarde;2019;99.3;98.8;49.7;83.1;65.2;96.5;45.3;61.9
56;Eenoudergezin;Ondergrens 95%-interval;2012;89.2;79.6;60.0;69.2;;64.2;25.8;11.2
57;Eenoudergezin;Ondergrens 95%-interval;2013;100.0;95.8;48.7;69.8;25.9;53.1;14.3;31.2
58;Eenoudergezin;Ondergrens 95%-interval;2014;92.9;91.7;44.3;74.3;44.4;77.2;26.7;26.3
59;Eenoudergezin;Ondergrens 95%-interval;2015;88.5;86.3;39.7;71.7;55.7;82.0;21.5;29.1
60;Eenoudergezin;Ondergrens 95%-interval;2016;97.6;97.2;44.8;83.7;59.7;91.9;35.4;37.4
61;Eenoudergezin;Ondergrens 95%-interval;2017;98.4;98.3;53.6;83.0;67.8;93.4;36.5;53.2
62;Eenoudergezin;Ondergrens 95%-interval;2018;95.1;94.8;45.6;78.9;62.5;91.7;40.0;51.2
63;Eenoudergezin;Ondergrens 95%-interval;2019;98.3;97.3;43.3;77.9;59.1;94.1;39.1;55.6
64;Eenoudergezin;Bovengrens 95%-interval;2012;96.9;90.8;75.2;83.2;;78.0;40.4;22.7
65;Eenoudergezin;Bovengrens 95%-interval;2013;100.0;100.0;79.2;94.4;55.8;84.2;38.3;62.5
66;Eenoudergezin;Bovengrens 95%-interval;2014;98.5;97.9;59.8;86.6;59.8;88.9;41.1;40.8
67;Eenoudergezin;Bovengrens 95%-interval;2015;98.4;96.7;55.9;86.1;71.9;94.3;36.2;44.6
68;Eenoudergezin;Bovengrens 95%-interval;2016;100.0;99.8;58.0;92.7;72.2;97.4;48.2;50.6
69;Eenoudergezin;Bovengrens 95%-interval;2017;;;65.7;91.7;78.6;98.8;48.6;65.4
70;Eenoudergezin;Bovengrens 95%-interval;2018;99.8;99.5;58.3;89.3;74.2;98.2;52.7;63.9
71;Eenoudergezin;Bovengrens 95%-interval;2019;100.0;100.0;56.0;88.3;71.3;98.9;51.6;68.2
72;Paar: zonder kind;Waarde;2012;90.0;75.2;67.2;65.5;;37.2;8.6;16.6
73;Paar: zonder kind;Waarde;2013;92.3;81.4;65.0;69.3;39.8;52.2;8.9;25.5
74;Paar: zonder kind;Waarde;2014;91.9;90.3;56.3;68.1;52.4;57.1;8.9;35.6
75;Paar: zonder kind;Waarde;2015;94.2;90.9;55.9;71.0;62.3;68.9;9.4;33.3
76;Paar: zonder kind;Waarde;2016;93.4;91.3;55.5;73.3;67.9;78.4;11.8;39.9
77;Paar: zonder kind;Waarde;2017;97.8;96.5;60.5;77.4;70.8;85.4;13.3;47.0
78;Paar: zonder kind;Waarde;2018;95.9;95.4;55.1;75.7;67.9;85.5;12.7;46.7
79;Paar: zonder kind;Waarde;2019;97.1;96.2;57.9;78.3;72.0;90.5;14.2;53.7
80;Paar: zonder kind;Ondergrens 95%-interval;2012;88.5;72.8;64.5;62.9;;34.3;6.7;14.2
81;Paar: zonder kind;Ondergrens 95%-interval;2013;91.1;79.4;62.2;66.9;37.0;49.4;7.0;22.9
82;Paar: zonder kind;Ondergrens 95%-interval;2014;90.4;88.7;53.6;65.6;49.7;54.5;6.9;32.9
83;Paar: zonder kind;Ondergrens 95%-interval;2015;93.1;89.4;53.4;68.8;59.8;66.6;7.7;30.9
84;Paar: zonder kind;Ondergrens 95%-interval;2016;92.1;89.8;53.0;71.1;65.5;76.3;10.0;37.4
85;Paar: zonder kind;Ondergrens 95%-interval;2017;97.0;95.5;58.0;75.3;68.4;83.6;11.4;44.4
86;Paar: zonder kind;Ondergrens 95%-interval;2018;94.8;94.3;52.6;73.5;65.5;83.6;10.9;44.2
87;Paar: zonder kind;Ondergrens 95%-interval;2019;96.2;95.2;55.5;76.3;69.8;89.1;12.4;51.3
88;Paar: zonder kind;Bovengrens 95%-interval;2012;91.5;77.5;69.9;68.1;;40.1;10.5;19.0
89;Paar: zonder kind;Bovengrens 95%-interval;2013;93.6;83.5;67.7;71.7;42.6;55.0;10.7;28.1
90;Paar: zonder kind;Bovengrens 95%-interval;2014;93.4;91.8;59.1;70.6;55.2;59.8;10.8;38.2
91;Paar: zonder kind;Bovengrens 95%-interval;2015;95.4;92.3;58.4;73.2;64.7;71.1;11.2;35.6
92;Paar: zonder kind;Bovengrens 95%-interval;2016;94.7;92.7;58.0;75.5;70.3;80.5;13.6;42.4
93;Paar: zonder kind;Bovengrens 95%-interval;2017;98.6;97.5;63.0;79.5;73.2;87.2;15.1;49.5
94;Paar: zonder kind;Bovengrens 95%-interval;2018;97.0;96.6;57.6;77.9;70.3;87.4;14.5;49.2
95;Paar: zonder kind;Bovengrens 95%-interval;2019;97.9;97.2;60.3;80.2;74.2;92.0;16.0;56.1
96;Paar: met kind(eren);Waarde;2012;98.9;88.7;80.3;86.2;;75.4;35.6;26.9
97;Paar: met kind(eren);Waarde;2013;99.8;91.1;74.3;87.7;62.0;89.4;36.5;37.2
98;Paar: met kind(eren);Waarde;2014;99.0;98.5;69.8;87.5;72.3;91.8;36.5;47.7
99;Paar: met kind(eren);Waarde;2015;98.8;97.3;63.6;88.9;80.0;93.5;39.0;49.1
100;Paar: met kind(eren);Waarde;2016;99.3;97.8;66.9;90.3;83.4;96.4;44.6;56.3
101;Paar: met kind(eren);Waarde;2017;99.7;99.1;67.2;92.0;84.6;98.3;48.8;63.5
102;Paar: met kind(eren);Waarde;2018;99.4;99.0;59.8;91.3;81.0;98.6;48.3;65.4
103;Paar: met kind(eren);Waarde;2019;99.6;99.1;56.4;92.8;82.7;98.5;49.3;73.3
104;Paar: met kind(eren);Ondergrens 95%-interval;2012;98.4;87.1;78.0;84.5;;73.3;33.1;24.6
105;Paar: met kind(eren);Ondergrens 95%-interval;2013;99.5;89.2;71.4;85.7;58.8;87.4;33.5;34.1
106;Paar: met kind(eren);Ondergrens 95%-interval;2014;98.3;97.8;67.2;85.6;69.8;90.3;33.9;45.0
107;Paar: met kind(eren);Ondergrens 95%-interval;2015;98.2;96.4;61.1;87.2;77.9;92.2;36.6;46.5
108;Paar: met kind(eren);Ondergrens 95%-interval;2016;98.8;96.9;64.6;88.8;81.6;95.5;42.3;54.0
109;Paar: met kind(eren);Ondergrens 95%-interval;2017;99.5;98.7;64.9;90.7;82.8;97.7;46.5;61.2
110;Paar: met kind(eren);Ondergrens 95%-interval;2018;99.0;98.4;57.4;89.9;79.1;98.1;46.0;63.2
111;Paar: met kind(eren);Ondergrens 95%-interval;2019;99.3;98.6;54.1;91.5;80.9;98.0;47.1;71.3
112;Paar: met kind(eren);Bovengrens 95%-interval;2012;99.4;90.4;82.5;88.0;;77.5;38.0;29.1
113;Paar: met kind(eren);Bovengrens 95%-interval;2013;100.0;93.1;77.2;89.8;65.2;91.3;39.5;40.4
114;Paar: met kind(eren);Bovengrens 95%-interval;2014;99.7;99.2;72.4;89.4;74.9;93.2;39.0;50.3
115;Paar: met kind(eren);Bovengrens 95%-interval;2015;99.4;98.2;66.2;90.6;82.2;94.8;41.5;51.7
116;Paar: met kind(eren);Bovengrens 95%-interval;2016;99.8;98.7;69.3;91.9;85.3;97.4;47.0;58.7
117;Paar: met kind(eren);Bovengrens 95%-interval;2017;99.9;99.5;69.5;93.4;86.3;98.9;51.2;65.8
118;Paar: met kind(eren);Bovengrens 95%-interval;2018;99.7;99.5;62.1;92.7;82.9;99.1;50.6;67.6
119;Paar: met kind(eren);Bovengrens 95%-interval;2019;99.8;99.6;58.7;94.0;84.5;99.1;51.6;75.3
120;Overige huishoudens;Waarde;2012;85.7;63.0;38.6;69.2;;63.4;;
121;Overige huishoudens;Waarde;2013;99.4;89.8;76.6;89.6;52.8;86.6;35.1;33.4
122;Overige huishoudens;Waarde;2014;91.6;84.5;45.5;73.0;38.8;75.8;15.9;30.3
123;Overige huishoudens;Waarde;2015;88.6;88.6;49.5;69.5;45.3;84.0;25.8;36.1
124;Overige huishoudens;Waarde;2016;98.6;92.8;53.7;85.2;42.2;90.0;41.7;53.3
125;Overige huishoudens;Waarde;2017;100.0;100.0;42.3;95.2;54.6;100.0;44.7;54.6
126;Overige huishoudens;Waarde;2018;88.4;88.4;54.9;83.0;59.1;76.0;40.4;50.9
127;Overige huishoudens;Waarde;2019;94.0;94.0;50.6;74.5;45.3;77.5;25.2;46.2
128;Overige huishoudens;Ondergrens 95%-interval;2012;73.2;37.4;12.7;46.2;;39.6;;
129;Overige huishoudens;Ondergrens 95%-interval;2013;98.9;87.3;71.7;87.1;47.9;83.6;30.6;28.7
130;Overige huishoudens;Ondergrens 95%-interval;2014;84.2;70.2;26.8;56.2;20.3;60.0;3.4;12.5
131;Overige huishoudens;Ondergrens 95%-interval;2015;75.3;75.3;24.8;45.9;20.7;69.1;5.0;11.1
132;Overige huishoudens;Ondergrens 95%-interval;2016;95.8;83.9;29.8;70.7;18.6;79.4;17.6;30.0
133;Overige huishoudens;Ondergrens 95%-interval;2017;;;17.0;85.8;27.5;100.0;17.7;28.2
134;Overige huishoudens;Ondergrens 95%-interval;2018;70.7;70.7;31.2;63.3;35.8;54.9;16.4;27.0
135;Overige huishoudens;Ondergrens 95%-interval;2019;82.8;82.8;30.7;57.6;25.3;60.5;5.5;26.1
136;Overige huishoudens;Bovengrens 95%-interval;2012;98.2;88.6;64.4;92.1;;87.1;;
137;Overige huishoudens;Bovengrens 95%-interval;2013;99.8;92.4;81.5;92.0;57.6;89.5;39.6;38.1
138;Overige huishoudens;Bovengrens 95%-interval;2014;99.0;98.8;64.2;89.8;57.3;91.7;28.4;48.0
139;Overige huishoudens;Bovengrens 95%-interval;2015;100.0;100.0;74.3;93.1;69.8;98.8;46.6;61.2
140;Overige huishoudens;Bovengrens 95%-interval;2016;;;77.6;99.7;65.9;;65.8;76.7
141;Overige huishoudens;Bovengrens 95%-interval;2017;100.0;100.0;67.6;;81.6;100.0;71.6;80.9
142;Overige huishoudens;Bovengrens 95%-interval;2018;100.0;100.0;78.6;100.0;82.5;97.0;64.4;74.8
143;Overige huishoudens;Bovengrens 95%-interval;2019;100.0;100.0;70.5;91.4;65.4;94.6;45.0;66.3
144;Gestandaardiseerd inkomen: 1e 20%-groep;Waarde;2012;80.2;72.2;51.5;60.0;;45.0;17.8;9.8
145;Gestandaardiseerd inkomen: 1e 20%-groep;Waarde;2013;85.1;79.4;56.9;65.4;30.9;53.1;15.4;24.9
146;Gestandaardiseerd inkomen: 1e 20%-groep;Waarde;2014;86.9;86.1;48.0;65.9;34.4;63.5;15.5;21.8
147;Gestandaardiseerd inkomen: 1e 20%-groep;Waarde;2015;90.6;87.9;41.4;75.6;45.4;70.8;21.6;25.1
148;Gestandaardiseerd inkomen: 1e 20%-groep;Waarde;2016;91.6;89.6;46.8;76.7;52.3;81.4;28.0;34.5
149;Gestandaardiseerd inkomen: 1e 20%-groep;Waarde;2017;94.7;92.9;45.5;75.8;53.4;81.9;24.7;32.3
150;Gestandaardiseerd inkomen: 1e 20%-groep;Waarde;2018;94.8;93.6;42.8;73.6;49.0;85.4;27.5;41.5
151;Gestandaardiseerd inkomen: 1e 20%-groep;Waarde;2019;92.9;91.4;43.2;74.3;52.8;83.9;26.7;46.4
152;Gestandaardiseerd inkomen: 1e 20%-groep;Ondergrens 95%-interval;2012;75.6;66.8;45.2;53.9;;38.5;12.8;6.1
153;Gestandaardiseerd inkomen: 1e 20%-groep;Ondergrens 95%-interval;2013;81.3;75.0;50.8;59.7;25.1;47.0;11.2;19.3
154;Gestandaardiseerd inkomen: 1e 20%-groep;Ondergrens 95%-interval;2014;83.2;82.4;42.3;60.5;29.1;58.1;11.7;17.1
155;Gestandaardiseerd inkomen: 1e 20%-groep;Ondergrens 95%-interval;2015;87.1;84.1;36.1;70.9;40.0;65.8;17.1;20.5
156;Gestandaardiseerd inkomen: 1e 20%-groep;Ondergrens 95%-interval;2016;88.7;86.2;41.6;72.4;47.1;77.3;23.4;29.6
157;Gestandaardiseerd inkomen: 1e 20%-groep;Ondergrens 95%-interval;2017;92.0;90.0;40.2;71.1;48.0;77.6;20.2;27.5
158;Gestandaardiseerd inkomen: 1e 20%-groep;Ondergrens 95%-interval;2018;92.2;90.8;37.5;68.8;43.5;81.5;22.6;36.1
159;Gestandaardiseerd inkomen: 1e 20%-groep;Ondergrens 95%-interval;2019;90.3;88.6;38.4;69.9;47.9;80.1;22.5;41.5
160;Gestandaardiseerd inkomen: 1e 20%-groep;Bovengrens 95%-interval;2012;84.9;77.5;57.9;66.0;;51.5;22.8;13.5
161;Gestandaardiseerd inkomen: 1e 20%-groep;Bovengrens 95%-interval;2013;88.8;83.9;63.0;71.0;36.7;59.2;19.7;30.5
162;Gestandaardiseerd inkomen: 1e 20%-groep;Bovengrens 95%-interval;2014;90.6;89.8;53.7;71.3;39.6;68.9;19.3;26.5
163;Gestandaardiseerd inkomen: 1e 20%-groep;Bovengrens 95%-interval;2015;94.2;91.8;46.7;80.3;50.9;75.8;26.2;29.7
164;Gestandaardiseerd inkomen: 1e 20%-groep;Bovengrens 95%-interval;2016;94.5;92.9;51.9;81.1;57.5;85.5;32.5;39.3
165;Gestandaardiseerd inkomen: 1e 20%-groep;Bovengrens 95%-interval;2017;97.3;95.8;50.8;80.5;58.8;86.3;29.2;37.2
166;Gestandaardiseerd inkomen: 1e 20%-groep;Bovengrens 95%-interval;2018;97.4;96.5;48.1;78.5;54.4;89.3;32.4;46.8
167;Gestandaardiseerd inkomen: 1e 20%-groep;Bovengrens 95%-interval;2019;95.6;94.3;48.0;78.7;57.7;87.7;30.9;51.2
168;Gestandaardiseerd inkomen: 2e 20%-groep;Waarde;2012;71.9;60.7;50.7;49.0;;33.7;14.4;10.1
169;Gestandaardiseerd inkomen: 2e 20%-groep;Waarde;2013;75.4;66.9;48.3;48.7;22.7;41.0;14.2;17.8
170;Gestandaardiseerd inkomen: 2e 20%-groep;Waarde;2014;78.0;76.7;46.4;53.2;36.3;50.5;14.7;26.7
171;Gestandaardiseerd inkomen: 2e 20%-groep;Waarde;2015;78.6;75.4;41.1;53.0;43.3;53.3;13.0;24.1
172;Gestandaardiseerd inkomen: 2e 20%-groep;Waarde;2016;80.3;77.2;46.3;56.7;44.5;62.1;17.7;28.5
173;Gestandaardiseerd inkomen: 2e 20%-groep;Waarde;2017;87.0;85.1;46.5;64.6;52.0;72.0;19.4;34.9
174;Gestandaardiseerd inkomen: 2e 20%-groep;Waarde;2018;89.7;88.5;45.6;67.2;50.0;73.9;20.4;38.7
175;Gestandaardiseerd inkomen: 2e 20%-groep;Waarde;2019;89.3;87.3;42.6;64.9;52.2;78.7;22.4;44.4
176;Gestandaardiseerd inkomen: 2e 20%-groep;Ondergrens 95%-interval;2012;67.6;55.9;46.0;44.3;;29.1;11.2;7.3
177;Gestandaardiseerd inkomen: 2e 20%-groep;Ondergrens 95%-interval;2013;71.5;62.5;43.6;44.0;18.7;36.2;11.0;14.1
178;Gestandaardiseerd inkomen: 2e 20%-groep;Ondergrens 95%-interval;2014;74.4;73.1;42.1;48.8;32.3;46.1;11.8;22.8
179;Gestandaardiseerd inkomen: 2e 20%-groep;Ondergrens 95%-interval;2015;74.9;71.6;36.9;48.7;39.1;49.1;10.3;20.5
180;Gestandaardiseerd inkomen: 2e 20%-groep;Ondergrens 95%-interval;2016;76.8;73.5;42.0;52.4;40.3;57.9;14.6;24.7
181;Gestandaardiseerd inkomen: 2e 20%-groep;Ondergrens 95%-interval;2017;83.7;81.7;42.3;60.4;47.7;68.0;16.3;31.0
182;Gestandaardiseerd inkomen: 2e 20%-groep;Ondergrens 95%-interval;2018;86.6;85.3;41.2;62.9;45.5;69.7;17.2;34.5
183;Gestandaardiseerd inkomen: 2e 20%-groep;Ondergrens 95%-interval;2019;86.6;84.4;38.6;61.0;48.2;75.3;19.1;40.5
184;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2012;76.3;65.4;55.5;53.8;;38.2;17.6;12.8
185;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2013;79.2;71.2;53.0;53.5;26.8;45.8;17.3;21.5
186;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2014;81.5;80.4;50.7;57.6;40.4;54.8;17.6;30.5
187;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2015;82.2;79.2;45.2;57.3;47.5;57.6;15.7;27.7
188;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2016;83.8;80.9;50.6;61.0;48.7;66.3;20.9;32.2
189;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2017;90.3;88.5;50.7;68.9;56.3;76.1;22.5;38.9
190;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2018;92.8;91.8;50.0;71.5;54.4;78.1;23.5;42.9
191;Gestandaardiseerd inkomen: 2e 20%-groep;Bovengrens 95%-interval;2019;92.0;90.2;46.5;68.8;56.2;82.1;25.7;48.4
192;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2012;87.7;75.0;60.6;68.3;;47.0;17.9;16.7
193;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2013;88.8;78.7;56.7;69.4;31.0;55.7;16.9;23.0
194;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2014;90.2;87.7;52.7;71.1;48.4;66.0;19.1;36.4
195;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2015;91.3;89.1;47.5;72.3;57.0;72.6;19.2;29.6
196;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2016;91.8;90.1;49.4;71.9;57.3;77.4;21.8;38.8
197;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2017;96.8;95.7;56.2;75.0;66.5;83.1;28.9;48.0
198;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2018;93.2;92.3;48.4;73.6;61.9;86.0;25.8;48.8
199;Gestandaardiseerd inkomen: 3e 20%-groep;Waarde;2019;95.6;95.3;48.2;78.6;65.7;88.3;28.9;54.8
200;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2012;85.1;71.6;56.5;64.6;;43.0;15.1;13.9
201;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2013;86.2;75.5;52.5;65.7;27.5;51.6;14.2;19.7
202;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2014;87.7;85.0;48.7;67.4;44.4;62.2;15.8;32.5
203;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2015;89.1;86.7;43.5;68.8;53.0;69.3;16.3;26.0
204;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2016;89.5;87.6;45.6;68.2;53.4;74.1;18.9;35.1
205;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2017;95.4;94.1;52.5;71.7;62.9;80.1;25.7;44.4
206;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2018;90.8;89.8;44.7;70.1;58.2;83.1;22.8;45.1
207;Gestandaardiseerd inkomen: 3e 20%-groep;Ondergrens 95%-interval;2019;93.9;93.5;44.6;75.6;62.1;85.8;25.8;51.2
208;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2012;90.4;78.5;64.6;72.1;;51.1;20.8;19.6
209;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2013;91.3;81.9;60.8;73.1;34.6;59.7;19.6;26.4
210;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2014;92.7;90.4;56.8;74.9;52.4;69.8;22.3;40.3
211;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2015;93.5;91.5;51.4;75.8;61.0;76.0;22.1;33.1
212;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2016;94.1;92.5;53.2;75.5;61.1;80.6;24.7;42.5
213;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2017;98.1;97.2;59.8;78.3;70.0;86.0;32.0;51.6
214;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2018;95.5;94.7;52.1;77.2;65.6;88.9;28.9;52.5
215;Gestandaardiseerd inkomen: 3e 20%-groep;Bovengrens 95%-interval;2019;97.3;97.0;51.7;81.6;69.3;90.7;32.0;58.3
216;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2012;93.7;81.9;70.6;73.0;;55.3;19.9;19.5
217;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2013;94.0;86.2;66.4;74.4;44.2;64.1;19.0;28.3
218;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2014;94.8;94.2;57.0;74.7;58.1;74.6;19.4;41.5
219;Gestandaardiseerd inkomen: 4e 20%-groep;Waarde;2015;96.7;93.9;57.2;76.7;67.0;79.4;20.8;40.0
