ID;Sex;Age;Nationality;CaribbeanNetherlands;Periods;PopulationOnJanuary1st_1
2872;Total male and female;0 to 4 years;Guyanese;Bonaire;2013;0
2873;Total male and female;0 to 4 years;Guyanese;Bonaire;2014;0
2874;Total male and female;0 to 4 years;Guyanese;Bonaire;2015;0
2875;Total male and female;0 to 4 years;Guyanese;Bonaire;2016;0
2876;Total male and female;0 to 4 years;Guyanese;Bonaire;2017;0
2877;Total male and female;0 to 4 years;Guyanese;Bonaire;2018;0
2878;Total male and female;0 to 4 years;Guyanese;Bonaire;2019;0
2879;Total male and female;0 to 4 years;Guyanese;Bonaire;2020;0
2880;Total male and female;0 to 4 years;Guyanese;Bonaire;2021;1
2881;Total male and female;0 to 4 years;Guyanese;Bonaire;2022;0
2882;Total male and female;0 to 4 years;Guyanese;Bonaire;2023;0
2883;Total male and female;0 to 4 years;Guyanese;Bonaire;2024;0
2884;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2011;0
2885;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2012;0
2886;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2013;0
2887;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2014;2
2888;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2015;2
2889;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2016;3
2890;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2017;3
2891;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2018;3
2892;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2019;2
2893;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2020;2
2894;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2021;3
2895;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2022;4
2896;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2023;6
2897;Total male and female;0 to 4 years;Guyanese;St. Eustatius;2024;5
2898;Total male and female;0 to 4 years;Guyanese;Saba;2011;0
2899;Total male and female;0 to 4 years;Guyanese;Saba;2012;0
2900;Total male and female;0 to 4 years;Guyanese;Saba;2013;0
2901;Total male and female;0 to 4 years;Guyanese;Saba;2014;0
2902;Total male and female;0 to 4 years;Guyanese;Saba;2015;0
2903;Total male and female;0 to 4 years;Guyanese;Saba;2016;0
2904;Total male and female;0 to 4 years;Guyanese;Saba;2017;0
2905;Total male and female;0 to 4 years;Guyanese;Saba;2018;0
2906;Total male and female;0 to 4 years;Guyanese;Saba;2019;0
2907;Total male and female;0 to 4 years;Guyanese;Saba;2020;0
2908;Total male and female;0 to 4 years;Guyanese;Saba;2021;0
2909;Total male and female;0 to 4 years;Guyanese;Saba;2022;1
2910;Total male and female;0 to 4 years;Guyanese;Saba;2023;1
2911;Total male and female;0 to 4 years;Guyanese;Saba;2024;1
2912;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2011;3
2913;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2012;2
2914;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2013;1
2915;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2014;0
2916;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2015;0
2917;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2016;0
2918;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2017;2
2919;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2018;3
2920;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2019;6
2921;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2020;6
2922;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2021;8
2923;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2022;8
2924;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2023;10
2925;Total male and female;0 to 4 years;Haitian;Caribbean Netherlands;2024;15
2926;Total male and female;0 to 4 years;Haitian;Bonaire;2011;1
2927;Total male and female;0 to 4 years;Haitian;Bonaire;2012;1
2928;Total male and female;0 to 4 years;Haitian;Bonaire;2013;0
2929;Total male and female;0 to 4 years;Haitian;Bonaire;2014;0
2930;Total male and female;0 to 4 years;Haitian;Bonaire;2015;0
2931;Total male and female;0 to 4 years;Haitian;Bonaire;2016;0
2932;Total male and female;0 to 4 years;Haitian;Bonaire;2017;2
2933;Total male and female;0 to 4 years;Haitian;Bonaire;2018;3
2934;Total male and female;0 to 4 years;Haitian;Bonaire;2019;6
2935;Total male and female;0 to 4 years;Haitian;Bonaire;2020;5
2936;Total male and female;0 to 4 years;Haitian;Bonaire;2021;6
2937;Total male and female;0 to 4 years;Haitian;Bonaire;2022;6
2938;Total male and female;0 to 4 years;Haitian;Bonaire;2023;8
2939;Total male and female;0 to 4 years;Haitian;Bonaire;2024;14
2940;Total male and female;0 to 4 years;Haitian;St. Eustatius;2011;0
2941;Total male and female;0 to 4 years;Haitian;St. Eustatius;2012;0
2942;Total male and female;0 to 4 years;Haitian;St. Eustatius;2013;0
2943;Total male and female;0 to 4 years;Haitian;St. Eustatius;2014;0
2944;Total male and female;0 to 4 years;Haitian;St. Eustatius;2015;0
2945;Total male and female;0 to 4 years;Haitian;St. Eustatius;2016;0
2946;Total male and female;0 to 4 years;Haitian;St. Eustatius;2017;0
2947;Total male and female;0 to 4 years;Haitian;St. Eustatius;2018;0
2948;Total male and female;0 to 4 years;Haitian;St. Eustatius;2019;0
2949;Total male and female;0 to 4 years;Haitian;St. Eustatius;2020;0
2950;Total male and female;0 to 4 years;Haitian;St. Eustatius;2021;1
2951;Total male and female;0 to 4 years;Haitian;St. Eustatius;2022;1
2952;Total male and female;0 to 4 years;Haitian;St. Eustatius;2023;1
2953;Total male and female;0 to 4 years;Haitian;St. Eustatius;2024;1
2954;Total male and female;0 to 4 years;Haitian;Saba;2011;2
2955;Total male and female;0 to 4 years;Haitian;Saba;2012;1
2956;Total male and female;0 to 4 years;Haitian;Saba;2013;1
2957;Total male and female;0 to 4 years;Haitian;Saba;2014;0
2958;Total male and female;0 to 4 years;Haitian;Saba;2015;0
2959;Total male and female;0 to 4 years;Haitian;Saba;2016;0
2960;Total male and female;0 to 4 years;Haitian;Saba;2017;0
2961;Total male and female;0 to 4 years;Haitian;Saba;2018;0
2962;Total male and female;0 to 4 years;Haitian;Saba;2019;0
2963;Total male and female;0 to 4 years;Haitian;Saba;2020;1
2964;Total male and female;0 to 4 years;Haitian;Saba;2021;1
2965;Total male and female;0 to 4 years;Haitian;Saba;2022;1
2966;Total male and female;0 to 4 years;Haitian;Saba;2023;1
2967;Total male and female;0 to 4 years;Haitian;Saba;2024;0
2968;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2011;0
2969;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2012;0
2970;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2013;1
2971;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2014;2
2972;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2015;2
2973;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2016;3
2974;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2017;2
2975;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2018;3
2976;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2019;3
2977;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2020;3
2978;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2021;3
2979;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2022;3
2980;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2023;1
2981;Total male and female;0 to 4 years;Jamaican;Caribbean Netherlands;2024;0
2982;Total male and female;0 to 4 years;Jamaican;Bonaire;2011;0
2983;Total male and female;0 to 4 years;Jamaican;Bonaire;2012;0
2984;Total male and female;0 to 4 years;Jamaican;Bonaire;2013;1
2985;Total male and female;0 to 4 years;Jamaican;Bonaire;2014;2
2986;Total male and female;0 to 4 years;Jamaican;Bonaire;2015;1
2987;Total male and female;0 to 4 years;Jamaican;Bonaire;2016;2
2988;Total male and female;0 to 4 years;Jamaican;Bonaire;2017;2
2989;Total male and female;0 to 4 years;Jamaican;Bonaire;2018;3
2990;Total male and female;0 to 4 years;Jamaican;Bonaire;2019;3
2991;Total male and female;0 to 4 years;Jamaican;Bonaire;2020;3
2992;Total male and female;0 to 4 years;Jamaican;Bonaire;2021;3
2993;Total male and female;0 to 4 years;Jamaican;Bonaire;2022;3
2994;Total male and female;0 to 4 years;Jamaican;Bonaire;2023;1
2995;Total male and female;0 to 4 years;Jamaican;Bonaire;2024;0
2996;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2011;0
2997;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2012;0
2998;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2013;0
2999;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2014;0
3000;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2015;1
3001;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2016;1
3002;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2017;0
3003;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2018;0
3004;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2019;0
3005;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2020;0
3006;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2021;0
3007;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2022;0
3008;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2023;0
3009;Total male and female;0 to 4 years;Jamaican;St. Eustatius;2024;0
3010;Total male and female;0 to 4 years;Jamaican;Saba;2011;0
3011;Total male and female;0 to 4 years;Jamaican;Saba;2012;0
3012;Total male and female;0 to 4 years;Jamaican;Saba;2013;0
3013;Total male and female;0 to 4 years;Jamaican;Saba;2014;0
3014;Total male and female;0 to 4 years;Jamaican;Saba;2015;0
3015;Total male and female;0 to 4 years;Jamaican;Saba;2016;0
3016;Total male and female;0 to 4 years;Jamaican;Saba;2017;0
3017;Total male and female;0 to 4 years;Jamaican;Saba;2018;0
3018;Total male and female;0 to 4 years;Jamaican;Saba;2019;0
3019;Total male and female;0 to 4 years;Jamaican;Saba;2020;0
3020;Total male and female;0 to 4 years;Jamaican;Saba;2021;0
3021;Total male and female;0 to 4 years;Jamaican;Saba;2022;0
3022;Total male and female;0 to 4 years;Jamaican;Saba;2023;0
3023;Total male and female;0 to 4 years;Jamaican;Saba;2024;0
3024;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2011;3
3025;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2012;2
3026;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2013;2
3027;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2014;1
3028;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2015;4
3029;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2016;4
3030;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2017;8
3031;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2018;9
3032;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2019;9
3033;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2020;11
3034;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2021;14
3035;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2022;13
3036;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2023;15
3037;Total male and female;0 to 4 years;Peruvian;Caribbean Netherlands;2024;16
3038;Total male and female;0 to 4 years;Peruvian;Bonaire;2011;3
3039;Total male and female;0 to 4 years;Peruvian;Bonaire;2012;2
3040;Total male and female;0 to 4 years;Peruvian;Bonaire;2013;2
3041;Total male and female;0 to 4 years;Peruvian;Bonaire;2014;1
3042;Total male and female;0 to 4 years;Peruvian;Bonaire;2015;4
3043;Total male and female;0 to 4 years;Peruvian;Bonaire;2016;4
3044;Total male and female;0 to 4 years;Peruvian;Bonaire;2017;8
3045;Total male and female;0 to 4 years;Peruvian;Bonaire;2018;9
3046;Total male and female;0 to 4 years;Peruvian;Bonaire;2019;9
3047;Total male and female;0 to 4 years;Peruvian;Bonaire;2020;11
3048;Total male and female;0 to 4 years;Peruvian;Bonaire;2021;14
3049;Total male and female;0 to 4 years;Peruvian;Bonaire;2022;13
3050;Total male and female;0 to 4 years;Peruvian;Bonaire;2023;15
3051;Total male and female;0 to 4 years;Peruvian;Bonaire;2024;16
3052;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2011;0
3053;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2012;0
3054;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2013;0
3055;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2014;0
3056;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2015;0
3057;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2016;0
3058;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2017;0
3059;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2018;0
3060;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2019;0
3061;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2020;0
3062;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2021;0
3063;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2022;0
3064;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2023;0
3065;Total male and female;0 to 4 years;Peruvian;St. Eustatius;2024;0
3066;Total male and female;0 to 4 years;Peruvian;Saba;2011;0
3067;Total male and female;0 to 4 years;Peruvian;Saba;2012;0
3068;Total male and female;0 to 4 years;Peruvian;Saba;2013;0
3069;Total male and female;0 to 4 years;Peruvian;Saba;2014;0
3070;Total male and female;0 to 4 years;Peruvian;Saba;2015;0
3071;Total male and female;0 to 4 years;Peruvian;Saba;2016;0
3072;Total male and female;0 to 4 years;Peruvian;Saba;2017;0
3073;Total male and female;0 to 4 years;Peruvian;Saba;2018;0
3074;Total male and female;0 to 4 years;Peruvian;Saba;2019;0
3075;Total male and female;0 to 4 years;Peruvian;Saba;2020;0
3076;Total male and female;0 to 4 years;Peruvian;Saba;2021;0
3077;Total male and female;0 to 4 years;Peruvian;Saba;2022;0
3078;Total male and female;0 to 4 years;Peruvian;Saba;2023;0
3079;Total male and female;0 to 4 years;Peruvian;Saba;2024;0
3080;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2011;2
3081;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2012;1
3082;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2013;2
3083;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2014;2
3084;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2015;2
3085;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2016;5
3086;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2017;5
3087;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2018;4
3088;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2019;2
3089;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2020;1
3090;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2021;1
3091;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2022;2
3092;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2023;4
3093;Total male and female;0 to 4 years;Surinamese;Caribbean Netherlands;2024;7
3094;Total male and female;0 to 4 years;Surinamese;Bonaire;2011;2
3095;Total male and female;0 to 4 years;Surinamese;Bonaire;2012;0
3096;Total male and female;0 to 4 years;Surinamese;Bonaire;2013;1
3097;Total male and female;0 to 4 years;Surinamese;Bonaire;2014;2
3098;Total male and female;0 to 4 years;Surinamese;Bonaire;2015;2
3099;Total male and female;0 to 4 years;Surinamese;Bonaire;2016;5
3100;Total male and female;0 to 4 years;Surinamese;Bonaire;2017;4
3101;Total male and female;0 to 4 years;Surinamese;Bonaire;2018;4
3102;Total male and female;0 to 4 years;Surinamese;Bonaire;2019;2
3103;Total male and female;0 to 4 years;Surinamese;Bonaire;2020;1
3104;Total male and female;0 to 4 years;Surinamese;Bonaire;2021;1
3105;Total male and female;0 to 4 years;Surinamese;Bonaire;2022;1
3106;Total male and female;0 to 4 years;Surinamese;Bonaire;2023;3
3107;Total male and female;0 to 4 years;Surinamese;Bonaire;2024;5
3108;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2011;0
3109;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2012;1
3110;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2013;1
3111;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2014;0
3112;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2015;0
3113;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2016;0
3114;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2017;1
3115;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2018;0
3116;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2019;0
3117;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2020;0
3118;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2021;0
3119;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2022;1
3120;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2023;1
3121;Total male and female;0 to 4 years;Surinamese;St. Eustatius;2024;2
3122;Total male and female;0 to 4 years;Surinamese;Saba;2011;0
3123;Total male and female;0 to 4 years;Surinamese;Saba;2012;0
3124;Total male and female;0 to 4 years;Surinamese;Saba;2013;0
3125;Total male and female;0 to 4 years;Surinamese;Saba;2014;0
3126;Total male and female;0 to 4 years;Surinamese;Saba;2015;0
3127;Total male and female;0 to 4 years;Surinamese;Saba;2016;0
3128;Total male and female;0 to 4 years;Surinamese;Saba;2017;0
3129;Total male and female;0 to 4 years;Surinamese;Saba;2018;0
3130;Total male and female;0 to 4 years;Surinamese;Saba;2019;0
3131;Total male and female;0 to 4 years;Surinamese;Saba;2020;0
3132;Total male and female;0 to 4 years;Surinamese;Saba;2021;0
3133;Total male and female;0 to 4 years;Surinamese;Saba;2022;0
3134;Total male and female;0 to 4 years;Surinamese;Saba;2023;0
3135;Total male and female;0 to 4 years;Surinamese;Saba;2024;0
3136;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2011;0
3137;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2012;0
3138;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2013;0
3139;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2014;0
3140;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2015;0
3141;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2016;0
3142;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2017;0
3143;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2018;0
3144;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2019;0
3145;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2020;0
3146;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2021;0
3147;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2022;0
3148;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2023;1
3149;Total male and female;0 to 4 years;Trinidad and Tobagonian;Caribbean Netherlands;2024;0
3150;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2011;0
3151;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2012;0
3152;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2013;0
3153;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2014;0
3154;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2015;0
3155;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2016;0
3156;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2017;0
3157;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2018;0
3158;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2019;0
3159;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2020;0
3160;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2021;0
3161;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2022;0
3162;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2023;0
3163;Total male and female;0 to 4 years;Trinidad and Tobagonian;Bonaire;2024;0
3164;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2011;0
3165;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2012;0
3166;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2013;0
3167;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2014;0
3168;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2015;0
3169;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2016;0
3170;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2017;0
3171;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2018;0
3172;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2019;0
3173;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2020;0
3174;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2021;0
3175;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2022;0
3176;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2023;0
3177;Total male and female;0 to 4 years;Trinidad and Tobagonian;St. Eustatius;2024;0
3178;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2011;0
3179;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2012;0
3180;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2013;0
3181;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2014;0
3182;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2015;0
3183;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2016;0
3184;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2017;0
3185;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2018;0
3186;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2019;0
3187;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2020;0
3188;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2021;0
3189;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2022;0
3190;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2023;1
3191;Total male and female;0 to 4 years;Trinidad and Tobagonian;Saba;2024;0
3192;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2011;7
3193;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2012;6
3194;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2013;9
3195;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2014;9
3196;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2015;10
3197;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2016;13
3198;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2017;16
3199;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2018;24
3200;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2019;23
3201;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2020;16
3202;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2021;12
3203;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2022;14
3204;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2023;16
3205;Total male and female;0 to 4 years;Venezuelan;Caribbean Netherlands;2024;18
3206;Total male and female;0 to 4 years;Venezuelan;Bonaire;2011;7
3207;Total male and female;0 to 4 years;Venezuelan;Bonaire;2012;6
3208;Total male and female;0 to 4 years;Venezuelan;Bonaire;2013;9
3209;Total male and female;0 to 4 years;Venezuelan;Bonaire;2014;9
3210;Total male and female;0 to 4 years;Venezuelan;Bonaire;2015;10
3211;Total male and female;0 to 4 years;Venezuelan;Bonaire;2016;13
3212;Total male and female;0 to 4 years;Venezuelan;Bonaire;2017;15
3213;Total male and female;0 to 4 years;Venezuelan;Bonaire;2018;23
3214;Total male and female;0 to 4 years;Venezuelan;Bonaire;2019;22
3215;Total male and female;0 to 4 years;Venezuelan;Bonaire;2020;15
3216;Total male and female;0 to 4 years;Venezuelan;Bonaire;2021;11
3217;Total male and female;0 to 4 years;Venezuelan;Bonaire;2022;12
3218;Total male and female;0 to 4 years;Venezuelan;Bonaire;2023;14
3219;Total male and female;0 to 4 years;Venezuelan;Bonaire;2024;16
3220;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2011;0
3221;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2012;0
3222;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2013;0
3223;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2014;0
3224;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2015;0
3225;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2016;0
3226;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2017;1
3227;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2018;1
3228;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2019;0
3229;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2020;1
3230;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2021;1
3231;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2022;2
3232;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2023;2
3233;Total male and female;0 to 4 years;Venezuelan;St. Eustatius;2024;2
3234;Total male and female;0 to 4 years;Venezuelan;Saba;2011;0
3235;Total male and female;0 to 4 years;Venezuelan;Saba;2012;0
3236;Total male and female;0 to 4 years;Venezuelan;Saba;2013;0
3237;Total male and female;0 to 4 years;Venezuelan;Saba;2014;0
3238;Total male and female;0 to 4 years;Venezuelan;Saba;2015;0
3239;Total male and female;0 to 4 years;Venezuelan;Saba;2016;0
3240;Total male and female;0 to 4 years;Venezuelan;Saba;2017;0
3241;Total male and female;0 to 4 years;Venezuelan;Saba;2018;0
3242;Total male and female;0 to 4 years;Venezuelan;Saba;2019;1
3243;Total male and female;0 to 4 years;Venezuelan;Saba;2020;0
3244;Total male and female;0 to 4 years;Venezuelan;Saba;2021;0
3245;Total male and female;0 to 4 years;Venezuelan;Saba;2022;0
3246;Total male and female;0 to 4 years;Venezuelan;Saba;2023;0
3247;Total male and female;0 to 4 years;Venezuelan;Saba;2024;0
3248;Total male and female;0 to 4 years;Other Central and South America;Caribbean Netherlands;2011;4
3249;Total male and female;0 to 4 years;Other Central and South America;Caribbean Netherlands;2012;1
3250;Total male and female;0 to 4 years;Other Central and South America;Caribbean Netherlands;2013;1
3251;Total male and female;0 to 4 years;Other Central and South America;Caribbean Netherlands;2014;3
3252;Total male and female;0 to 4 years;Other Central and South America;Caribbean Netherlands;2015;2
3253;Total male and female;0 to 4 years;Other Central and South America;Caribbean Netherlands;2016;2
3254;Total male and female;0 to 4 years;Other Central and South America;Caribbean Netherlands;2017;2
3255;Total male and female;0 to 4 years;Other Central and South America;Caribbean Netherlands;2018;2
