ID;BurgerlijkeStaat;Geslacht;Privevermogen;TotaalPrivevermogenEuroS_1;TotaalPrivevermogenAantallen_2
154;Partnerschap;Mannen en vrouwen;10 000 tot 25 000 euro;82;10
155;Partnerschap;Mannen en vrouwen;25 000 tot 50 000 euro;248;10
156;Partnerschap;Mannen en vrouwen;50 000 tot 100 000 euro;1540;20
157;Partnerschap;Mannen en vrouwen;100 000 tot 200 000 euro;1987;20
158;Partnerschap;Mannen en vrouwen;200 000 tot 500 000 euro;7286;20
159;Partnerschap;Mannen en vrouwen;500 000 euro en meer;8540;10
160;Partnerschap;Mannen;Totaal privévermogen;11826;60
161;Partnerschap;Mannen;Negatief of nul euro;-706;0
162;Partnerschap;Mannen;> 0 tot 5 000 euro;2;0
163;Partnerschap;Mannen;5 000 tot 10 000 euro;23;0
164;Partnerschap;Mannen;10 000 tot 25 000 euro;30;0
165;Partnerschap;Mannen;25 000 tot 50 000 euro;211;10
166;Partnerschap;Mannen;50 000 tot 100 000 euro;1081;10
167;Partnerschap;Mannen;100 000 tot 200 000 euro;1687;10
168;Partnerschap;Mannen;200 000 tot 500 000 euro;5284;20
169;Partnerschap;Mannen;500 000 euro en meer;4214;0
170;Partnerschap;Vrouwen;Totaal privévermogen;7107;20
171;Partnerschap;Vrouwen;Negatief of nul euro;-67;0
172;Partnerschap;Vrouwen;> 0 tot 5 000 euro;0;0
173;Partnerschap;Vrouwen;5 000 tot 10 000 euro;0;0
174;Partnerschap;Vrouwen;10 000 tot 25 000 euro;51;0
175;Partnerschap;Vrouwen;25 000 tot 50 000 euro;36;0
176;Partnerschap;Vrouwen;50 000 tot 100 000 euro;459;10
177;Partnerschap;Vrouwen;100 000 tot 200 000 euro;300;0
178;Partnerschap;Vrouwen;200 000 tot 500 000 euro;2002;10
179;Partnerschap;Vrouwen;500 000 euro en meer;4326;0
