ID;SoortInkomen;VerdachtenNaarSoortMisdrijf;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
41;Betaald werk;Verkeersmisdrijven;2000;25850;4
42;Betaald werk;Verkeersmisdrijven;2001;27810;4
43;Betaald werk;Verkeersmisdrijven;2002;29270;4
44;Betaald werk;Verkeersmisdrijven;2003;31190;4
45;Betaald werk;Verkeersmisdrijven;2004;30550;4
46;Betaald werk;Verkeersmisdrijven;2005;31180;4
47;Betaald werk;Verkeersmisdrijven;2006;33100;5
48;Betaald werk;Verkeersmisdrijven;2007;34970;5
49;Betaald werk;Verkeersmisdrijven;2008;32720;4
50;Betaald werk;Drugsmisdrijven;1999;1480;0
51;Betaald werk;Drugsmisdrijven;2000;1530;0
52;Betaald werk;Drugsmisdrijven;2001;2020;0
53;Betaald werk;Drugsmisdrijven;2002;2110;0
54;Betaald werk;Drugsmisdrijven;2003;2580;0
55;Betaald werk;Drugsmisdrijven;2004;2870;0
56;Betaald werk;Drugsmisdrijven;2005;3110;0
57;Betaald werk;Drugsmisdrijven;2006;3750;1
58;Betaald werk;Drugsmisdrijven;2007;4000;1
59;Betaald werk;Drugsmisdrijven;2008;3650;0
60;Betaald werk;Overige misdrijven;1999;4120;1
61;Betaald werk;Overige misdrijven;2000;4350;1
62;Betaald werk;Overige misdrijven;2001;4730;1
63;Betaald werk;Overige misdrijven;2002;5400;1
64;Betaald werk;Overige misdrijven;2003;6520;1
65;Betaald werk;Overige misdrijven;2004;7180;1
66;Betaald werk;Overige misdrijven;2005;6830;1
67;Betaald werk;Overige misdrijven;2006;6630;1
68;Betaald werk;Overige misdrijven;2007;6190;1
69;Betaald werk;Overige misdrijven;2008;5630;1
70;Betaald werk;Verdachten van meer soorten misdrijven;1999;7490;1
71;Betaald werk;Verdachten van meer soorten misdrijven;2000;7670;1
72;Betaald werk;Verdachten van meer soorten misdrijven;2001;8010;1
73;Betaald werk;Verdachten van meer soorten misdrijven;2002;8670;1
74;Betaald werk;Verdachten van meer soorten misdrijven;2003;9360;1
75;Betaald werk;Verdachten van meer soorten misdrijven;2004;10370;1
76;Betaald werk;Verdachten van meer soorten misdrijven;2005;11100;2
77;Betaald werk;Verdachten van meer soorten misdrijven;2006;12390;2
78;Betaald werk;Verdachten van meer soorten misdrijven;2007;13230;2
79;Betaald werk;Verdachten van meer soorten misdrijven;2008;12050;2
80;Uitkeringsontvanger;Totaal verdachten van misdrijven;1999;34120;26
81;Uitkeringsontvanger;Totaal verdachten van misdrijven;2000;31520;25
82;Uitkeringsontvanger;Totaal verdachten van misdrijven;2001;32590;26
83;Uitkeringsontvanger;Totaal verdachten van misdrijven;2002;35780;28
84;Uitkeringsontvanger;Totaal verdachten van misdrijven;2003;42500;32
85;Uitkeringsontvanger;Totaal verdachten van misdrijven;2004;46970;34
86;Uitkeringsontvanger;Totaal verdachten van misdrijven;2005;47350;35
87;Uitkeringsontvanger;Totaal verdachten van misdrijven;2006;43850;35
88;Uitkeringsontvanger;Totaal verdachten van misdrijven;2007;39640;35
89;Uitkeringsontvanger;Totaal verdachten van misdrijven;2008;37380;33
90;Uitkeringsontvanger;Vermogensmisdrijven;1999;11510;9
91;Uitkeringsontvanger;Vermogensmisdrijven;2000;10190;8
92;Uitkeringsontvanger;Vermogensmisdrijven;2001;10250;8
93;Uitkeringsontvanger;Vermogensmisdrijven;2002;10460;8
94;Uitkeringsontvanger;Vermogensmisdrijven;2003;11260;8
95;Uitkeringsontvanger;Vermogensmisdrijven;2004;11910;9
96;Uitkeringsontvanger;Vermogensmisdrijven;2005;11780;9
97;Uitkeringsontvanger;Vermogensmisdrijven;2006;11130;9
98;Uitkeringsontvanger;Vermogensmisdrijven;2007;10090;9
99;Uitkeringsontvanger;Vermogensmisdrijven;2008;10060;9
100;Uitkeringsontvanger;Vernieling en openbare orde;1999;2400;2
101;Uitkeringsontvanger;Vernieling en openbare orde;2000;2410;2
102;Uitkeringsontvanger;Vernieling en openbare orde;2001;2500;2
103;Uitkeringsontvanger;Vernieling en openbare orde;2002;2740;2
104;Uitkeringsontvanger;Vernieling en openbare orde;2003;3200;2
105;Uitkeringsontvanger;Vernieling en openbare orde;2004;3550;3
106;Uitkeringsontvanger;Vernieling en openbare orde;2005;3730;3
107;Uitkeringsontvanger;Vernieling en openbare orde;2006;3380;3
108;Uitkeringsontvanger;Vernieling en openbare orde;2007;3200;3
109;Uitkeringsontvanger;Vernieling en openbare orde;2008;2890;3
110;Uitkeringsontvanger;Geweldsmisdrijven;1999;4320;3
111;Uitkeringsontvanger;Geweldsmisdrijven;2000;4200;3
112;Uitkeringsontvanger;Geweldsmisdrijven;2001;4830;4
113;Uitkeringsontvanger;Geweldsmisdrijven;2002;5570;4
114;Uitkeringsontvanger;Geweldsmisdrijven;2003;7420;6
115;Uitkeringsontvanger;Geweldsmisdrijven;2004;8750;6
116;Uitkeringsontvanger;Geweldsmisdrijven;2005;9440;7
117;Uitkeringsontvanger;Geweldsmisdrijven;2006;9210;7
118;Uitkeringsontvanger;Geweldsmisdrijven;2007;8480;7
119;Uitkeringsontvanger;Geweldsmisdrijven;2008;8120;7
120;Uitkeringsontvanger;Verkeersmisdrijven;1999;6140;5
121;Uitkeringsontvanger;Verkeersmisdrijven;2000;5870;5
122;Uitkeringsontvanger;Verkeersmisdrijven;2001;5750;5
123;Uitkeringsontvanger;Verkeersmisdrijven;2002;6360;5
124;Uitkeringsontvanger;Verkeersmisdrijven;2003;7430;6
125;Uitkeringsontvanger;Verkeersmisdrijven;2004;7770;6
126;Uitkeringsontvanger;Verkeersmisdrijven;2005;7410;5
127;Uitkeringsontvanger;Verkeersmisdrijven;2006;6460;5
128;Uitkeringsontvanger;Verkeersmisdrijven;2007;5680;5
129;Uitkeringsontvanger;Verkeersmisdrijven;2008;5150;5
130;Uitkeringsontvanger;Drugsmisdrijven;1999;1520;1
131;Uitkeringsontvanger;Drugsmisdrijven;2000;1370;1
132;Uitkeringsontvanger;Drugsmisdrijven;2001;1580;1
133;Uitkeringsontvanger;Drugsmisdrijven;2002;1810;1
134;Uitkeringsontvanger;Drugsmisdrijven;2003;2340;2
135;Uitkeringsontvanger;Drugsmisdrijven;2004;2600;2
136;Uitkeringsontvanger;Drugsmisdrijven;2005;2650;2
137;Uitkeringsontvanger;Drugsmisdrijven;2006;2450;2
138;Uitkeringsontvanger;Drugsmisdrijven;2007;2010;2
139;Uitkeringsontvanger;Drugsmisdrijven;2008;1720;2
140;Uitkeringsontvanger;Overige misdrijven;1999;1120;1
141;Uitkeringsontvanger;Overige misdrijven;2000;1080;1
142;Uitkeringsontvanger;Overige misdrijven;2001;1120;1
143;Uitkeringsontvanger;Overige misdrijven;2002;1310;1
144;Uitkeringsontvanger;Overige misdrijven;2003;1690;1
145;Uitkeringsontvanger;Overige misdrijven;2004;1890;1
146;Uitkeringsontvanger;Overige misdrijven;2005;2110;2
147;Uitkeringsontvanger;Overige misdrijven;2006;1700;1
148;Uitkeringsontvanger;Overige misdrijven;2007;1590;1
149;Uitkeringsontvanger;Overige misdrijven;2008;1460;1
150;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;1999;7120;5
151;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2000;6410;5
152;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2001;6570;5
153;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2002;7540;6
154;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2003;9160;7
155;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2004;10490;8
156;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2005;10230;8
157;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2006;9520;8
158;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2007;8590;7
159;Uitkeringsontvanger;Verdachten van meer soorten misdrijven;2008;7980;7
160;Overige inkomens;Totaal verdachten van misdrijven;1999;39200;7
161;Overige inkomens;Totaal verdachten van misdrijven;2000;38740;7
162;Overige inkomens;Totaal verdachten van misdrijven;2001;43190;8
163;Overige inkomens;Totaal verdachten van misdrijven;2002;49890;9
164;Overige inkomens;Totaal verdachten van misdrijven;2003;56870;10
165;Overige inkomens;Totaal verdachten van misdrijven;2004;64390;12
166;Overige inkomens;Totaal verdachten van misdrijven;2005;70520;13
167;Overige inkomens;Totaal verdachten van misdrijven;2006;71700;13
168;Overige inkomens;Totaal verdachten van misdrijven;2007;72950;13
169;Overige inkomens;Totaal verdachten van misdrijven;2008;67150;12
170;Overige inkomens;Vermogensmisdrijven;1999;13850;3
171;Overige inkomens;Vermogensmisdrijven;2000;13470;2
172;Overige inkomens;Vermogensmisdrijven;2001;14910;3
173;Overige inkomens;Vermogensmisdrijven;2002;15950;3
174;Overige inkomens;Vermogensmisdrijven;2003;17120;3
175;Overige inkomens;Vermogensmisdrijven;2004;18530;3
176;Overige inkomens;Vermogensmisdrijven;2005;19540;3
177;Overige inkomens;Vermogensmisdrijven;2006;19120;3
178;Overige inkomens;Vermogensmisdrijven;2007;18790;3
179;Overige inkomens;Vermogensmisdrijven;2008;17890;3
180;Overige inkomens;Vernieling en openbare orde;1999;4710;1
181;Overige inkomens;Vernieling en openbare orde;2000;4820;1
182;Overige inkomens;Vernieling en openbare orde;2001;5430;1
183;Overige inkomens;Vernieling en openbare orde;2002;6350;1
184;Overige inkomens;Vernieling en openbare orde;2003;7780;1
185;Overige inkomens;Vernieling en openbare orde;2004;9150;2
186;Overige inkomens;Vernieling en openbare orde;2005;10590;2
187;Overige inkomens;Vernieling en openbare orde;2006;11240;2
188;Overige inkomens;Vernieling en openbare orde;2007;11640;2
189;Overige inkomens;Vernieling en openbare orde;2008;10030;2
190;Overige inkomens;Geweldsmisdrijven;1999;5560;1
191;Overige inkomens;Geweldsmisdrijven;2000;5690;1
192;Overige inkomens;Geweldsmisdrijven;2001;6740;1
193;Overige inkomens;Geweldsmisdrijven;2002;7830;1
194;Overige inkomens;Geweldsmisdrijven;2003;9170;2
195;Overige inkomens;Geweldsmisdrijven;2004;10760;2
196;Overige inkomens;Geweldsmisdrijven;2005;12380;2
197;Overige inkomens;Geweldsmisdrijven;2006;12720;2
198;Overige inkomens;Geweldsmisdrijven;2007;13190;2
199;Overige inkomens;Geweldsmisdrijven;2008;12290;2
200;Overige inkomens;Verkeersmisdrijven;1999;5210;1
201;Overige inkomens;Verkeersmisdrijven;2000;5270;1
202;Overige inkomens;Verkeersmisdrijven;2001;5540;1
203;Overige inkomens;Verkeersmisdrijven;2002;6480;1
204;Overige inkomens;Verkeersmisdrijven;2003;7450;1
205;Overige inkomens;Verkeersmisdrijven;2004;7870;1
206;Overige inkomens;Verkeersmisdrijven;2005;8630;2
207;Overige inkomens;Verkeersmisdrijven;2006;9280;2
208;Overige inkomens;Verkeersmisdrijven;2007;9580;2
209;Overige inkomens;Verkeersmisdrijven;2008;9280;2
210;Overige inkomens;Drugsmisdrijven;1999;1020;0
211;Overige inkomens;Drugsmisdrijven;2000;1050;0
212;Overige inkomens;Drugsmisdrijven;2001;1320;0
213;Overige inkomens;Drugsmisdrijven;2002;1700;0
214;Overige inkomens;Drugsmisdrijven;2003;2030;0
215;Overige inkomens;Drugsmisdrijven;2004;2350;0
216;Overige inkomens;Drugsmisdrijven;2005;2460;0
217;Overige inkomens;Drugsmisdrijven;2006;2380;0
218;Overige inkomens;Drugsmisdrijven;2007;2370;0
219;Overige inkomens;Drugsmisdrijven;2008;2210;0
220;Overige inkomens;Overige misdrijven;1999;1450;0
221;Overige inkomens;Overige misdrijven;2000;1430;0
222;Overige inkomens;Overige misdrijven;2001;1450;0
223;Overige inkomens;Overige misdrijven;2002;2050;0
224;Overige inkomens;Overige misdrijven;2003;2480;0
225;Overige inkomens;Overige misdrijven;2004;2970;1
226;Overige inkomens;Overige misdrijven;2005;3070;1
227;Overige inkomens;Overige misdrijven;2006;3140;1
228;Overige inkomens;Overige misdrijven;2007;3140;1
229;Overige inkomens;Overige misdrijven;2008;2780;0
230;Overige inkomens;Verdachten van meer soorten misdrijven;1999;7410;1
231;Overige inkomens;Verdachten van meer soorten misdrijven;2000;7000;1
232;Overige inkomens;Verdachten van meer soorten misdrijven;2001;7800;1
233;Overige inkomens;Verdachten van meer soorten misdrijven;2002;9540;2
234;Overige inkomens;Verdachten van meer soorten misdrijven;2003;10840;2
235;Overige inkomens;Verdachten van meer soorten misdrijven;2004;12770;2
236;Overige inkomens;Verdachten van meer soorten misdrijven;2005;13850;2
237;Overige inkomens;Verdachten van meer soorten misdrijven;2006;13820;2
238;Overige inkomens;Verdachten van meer soorten misdrijven;2007;14240;3
239;Overige inkomens;Verdachten van meer soorten misdrijven;2008;12660;2
