ID;RegioS;Migratieachtergrond;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
448;Haarlem;Westerse migratieachtergrond;26.1;19.4
449;Haarlem;Niet-westerse migratieachtergrond;14.5;14.2
450;Leiden;Totaal;218.2;18.5
451;Leiden;Nederlandse achtergrond;188.6;18.5
452;Leiden;Met migratieachtergrond;29.6;18.2
453;Leiden;Westerse migratieachtergrond;18.4;20.3
454;Leiden;Niet-westerse migratieachtergrond;11.2;14.6
455;'s-Gravenhage;Totaal;582.8;17.9
456;'s-Gravenhage;Nederlandse achtergrond;425.4;18.1
457;'s-Gravenhage;Met migratieachtergrond;157.3;17.1
458;'s-Gravenhage;Westerse migratieachtergrond;68.4;20.7
459;'s-Gravenhage;Niet-westerse migratieachtergrond;88.9;14.4
