ID;Geslacht;Verblijfsjaar;Onderwijssoort;Studierichting;Opleidingsfase;Perioden;TotaalIngeschrevenen_1;TotaalNietInternationaleStudenten_2;TotaalInternationaleStudenten_3
23;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2008/'09;526800;495160;31640
24;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2009/'10;550240;515590;34650
25;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2010/'11;563860;526890;36970
26;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2011/'12;573520;534870;38660
27;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2012/'13;564780;525050;39730
28;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2013/'14;585740;545340;40400
29;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2014/'15;593800;553150;40640
30;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2015/'16;590190;548070;42120
31;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2016/'17;598440;553080;45360
32;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2017/'18;613030;562150;50880
33;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2018/'19;626420;568800;57620
34;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2019/'20;642490;578370;64110
35;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2020/'21;681410;610770;70640
36;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2021/'22;689740;611260;78480
37;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2022/'23;678470;593200;85270
38;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2023/'24;664240;574000;90250
39;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2024/'25;649920;558570;91360
40;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2005/'06;44660;38910;5740
41;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2006/'07;58220;51360;6860
42;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2007/'08;68490;60080;8410
43;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2008/'09;75300;65450;9860
44;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2009/'10;83900;72300;11600
45;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2010/'11;92840;79320;13530
46;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2011/'12;93670;78670;15000
47;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2012/'13;96340;80510;15830
48;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2013/'14;102450;85310;17150
49;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2014/'15;105780;87340;18440
50;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2015/'16;110930;89970;20960
51;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2016/'17;113670;89990;23680
52;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2017/'18;117110;91120;25990
53;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2018/'19;121420;93170;28250
54;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2019/'20;125090;94970;30120
55;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2020/'21;135860;102870;32990
56;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2021/'22;142830;106260;36570
57;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2022/'23;139280;102330;36950
58;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2023/'24;137080;99410;37670
59;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Master- en vervolgopleidingen;2024/'25;138870;99220;39650
60;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2005/'06;84450;83210;1250
61;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2006/'07;85110;83960;1160
62;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2007/'08;83420;82330;1100
63;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2008/'09;81690;80570;1120
64;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2009/'10;84830;83680;1150
65;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2010/'11;86510;85330;1180
66;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2011/'12;83680;82550;1130
67;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2012/'13;78870;77870;1010
68;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2013/'14;80470;79400;1070
69;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2014/'15;80630;79640;990
70;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2015/'16;77680;76730;950
71;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2016/'17;76170;75170;1000
72;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2017/'18;74970;73850;1120
73;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2018/'19;74000;72700;1290
74;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2019/'20;74560;73040;1520
75;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2020/'21;79970;78290;1680
76;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2021/'22;81080;79240;1840
77;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2022/'23;80320;78430;1880
78;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2023/'24;78980;77110;1870
79;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Totaal opleidingsfase;2024/'25;79450;77490;1960
80;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2005/'06;72290;71270;1020
81;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2006/'07;72290;71350;950
82;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2007/'08;70700;69810;890
83;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2008/'09;69300;68420;880
84;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2009/'10;71150;70240;910
85;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2010/'11;72050;71130;920
86;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2011/'12;70430;69560;870
87;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2012/'13;66730;65960;770
88;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2013/'14;67510;66730;790
89;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2014/'15;67630;66930;700
90;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2015/'16;64800;64140;660
91;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2016/'17;63890;63190;700
92;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2017/'18;63810;63040;760
93;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2018/'19;63420;62520;900
94;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2019/'20;64340;63270;1070
95;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2020/'21;70000;68840;1160
96;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2021/'22;70690;69470;1220
97;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2022/'23;70150;68970;1180
98;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2023/'24;69290;68190;1100
99;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Bachelor- en doctoraalopleidingen;2024/'25;69740;68660;1080
100;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2005/'06;12160;11940;220
101;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2006/'07;12820;12610;210
102;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2007/'08;12720;12510;200
103;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2008/'09;12390;12150;240
104;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2009/'10;13680;13440;240
105;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2010/'11;14460;14200;260
106;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2011/'12;13250;12990;260
107;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2012/'13;12150;11910;240
108;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2013/'14;12950;12670;280
109;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2014/'15;13000;12710;290
110;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2015/'16;12880;12590;290
111;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2016/'17;12280;11980;300
112;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2017/'18;11160;10800;360
113;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2018/'19;10570;10180;390
114;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2019/'20;10230;9770;450
115;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2020/'21;9970;9440;530
116;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2021/'22;10390;9770;620
117;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2022/'23;10160;9460;700
118;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2023/'24;9690;8920;770
119;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;01 Onderwijs;Master- en vervolgopleidingen;2024/'25;9710;8830;880
120;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2005/'06;44830;39540;5290
121;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2006/'07;47200;41860;5340
122;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2007/'08;48440;43020;5420
123;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2008/'09;49890;44450;5440
124;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2009/'10;52170;46610;5560
125;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2010/'11;53000;47400;5600
126;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2011/'12;52640;46950;5690
127;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2012/'13;51010;45150;5860
128;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2013/'14;52000;45860;6130
129;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2014/'15;52220;45740;6480
130;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2015/'16;51700;44580;7120
131;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2016/'17;51810;43970;7840
132;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2017/'18;52630;43710;8920
133;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2018/'19;55660;45420;10240
134;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2019/'20;58190;46830;11360
135;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2020/'21;62750;50440;12310
136;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2021/'22;65650;52110;13540
137;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2022/'23;64850;50390;14470
138;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2023/'24;64360;49150;15210
139;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Totaal opleidingsfase;2024/'25;62930;47540;15390
140;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2005/'06;41190;37020;4170
141;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2006/'07;42340;38220;4120
142;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2007/'08;42780;38740;4040
143;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2008/'09;43560;39550;4020
144;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2009/'10;45230;41160;4080
145;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2010/'11;45450;41440;4010
146;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2011/'12;45080;41080;4000
147;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2012/'13;43360;39310;4040
148;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2013/'14;43750;39670;4080
149;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2014/'15;43610;39430;4180
150;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2015/'16;42590;37980;4610
151;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2016/'17;42350;37360;5000
152;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2017/'18;42870;37050;5820
153;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2018/'19;45750;38920;6840
154;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2019/'20;48160;40320;7830
155;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2020/'21;51890;43340;8550
156;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2021/'22;54300;44760;9540
157;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2022/'23;53860;43410;10450
158;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2023/'24;53760;42700;11050
159;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Bachelor- en doctoraalopleidingen;2024/'25;52170;41120;11050
160;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2005/'06;3630;2520;1120
161;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2006/'07;4860;3640;1220
162;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2007/'08;5650;4270;1380
163;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2008/'09;6330;4900;1430
164;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2009/'10;6940;5450;1490
165;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2010/'11;7550;5960;1590
166;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2011/'12;7560;5870;1690
167;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2012/'13;7650;5840;1810
168;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2013/'14;8250;6200;2050
169;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch...;Master- en vervolgopleidingen;2014/'15;8610;6310;2300
