ID;VormenVanJeugdzorg;Wijken;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;k_0Tot4Jaar_2;k_4Tot12Jaar_3;k_12Tot18Jaar_4;k_18Tot23Jaar_5;ThuiswonendKindInEenouderhuishouden_6;ThuiswonendKindBijEenPaar_7;AnderHuishouden_8;TotaalTrajectenInNatura_9;StabilisatieVanEenCrisissituatie_10;Diagnostiek_11;Begeleiden_12;Behandelen_13;GemeentelijkeToegang_14;Huisarts_15;Jeugdarts_16;GecertificeerdeInstelling_17;MedischSpecialist_18;RechterOfficierVanJustitie_19;GeenVerwijzer_20;VerwijzerOnbekend_21;Gemeentenaam_22;SoortRegio_23;Codering_24;IndelingswijzigingWijken_25
43;Totaal alle jeugdzorg in natura;Wijk 13 Eexterzandvoort;2e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0
44;Totaal alle jeugdzorg in natura;Wijk 13 Eexterzandvoort;2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0
45;Totaal alle jeugdzorg in natura;Wijk 14 Gasselte;1e halfjaar 2018;40.0;;15.0;20.0;;10.0;25.0;;55.0;;;;;;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0
46;Totaal alle jeugdzorg in natura;Wijk 14 Gasselte;2e halfjaar 2018;40.0;;20.0;20.0;;10.0;25.0;;55.0;;;;;10.0;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0
47;Totaal alle jeugdzorg in natura;Wijk 14 Gasselte;2018;45.0;;20.0;20.0;;10.0;30.0;;60.0;;;;;10.0;25.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0
48;Totaal alle jeugdzorg in natura;Wijk 15 Gasselternijveen;1e halfjaar 2018;50.0;;25.0;20.0;;15.0;30.0;;70.0;;;;;20.0;15.0;;10.0;;;;10.0;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0
49;Totaal alle jeugdzorg in natura;Wijk 15 Gasselternijveen;2e halfjaar 2018;50.0;;30.0;15.0;;10.0;30.0;10.0;65.0;;;;;20.0;20.0;;;;;;10.0;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0
50;Totaal alle jeugdzorg in natura;Wijk 15 Gasselternijveen;2018;60.0;;30.0;25.0;;10.0;40.0;10.0;80.0;;;;;25.0;25.0;;10.0;;;;10.0;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0
51;Totaal alle jeugdzorg in natura;Wijk 16 Gasselternijveenschemond;1e halfjaar 2018;15.0;;10.0;;;;10.0;;20.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0
52;Totaal alle jeugdzorg in natura;Wijk 16 Gasselternijveenschemond;2e halfjaar 2018;15.0;;10.0;;;;10.0;;20.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0
53;Totaal alle jeugdzorg in natura;Wijk 16 Gasselternijveenschemond;2018;20.0;;10.0;;;;15.0;;25.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0
54;Totaal alle jeugdzorg in natura;Wijk 17 Gieten;1e halfjaar 2018;100.0;;45.0;40.0;10.0;20.0;70.0;10.0;135.0;;;;;35.0;60.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168017  ;1.0
55;Totaal alle jeugdzorg in natura;Wijk 17 Gieten;2e halfjaar 2018;100.0;;45.0;40.0;10.0;25.0;65.0;10.0;135.0;;;;;35.0;60.0;;15.0;;;;;Aa en Hunze                             ;Wijk     ;WK168017  ;1.0
56;Totaal alle jeugdzorg in natura;Wijk 17 Gieten;2018;115.0;;50.0;50.0;10.0;25.0;80.0;10.0;165.0;;;;;40.0;75.0;;15.0;10.0;;;;Aa en Hunze                             ;Wijk     ;WK168017  ;1.0
57;Totaal alle jeugdzorg in natura;Wijk 18 Gieterveen;1e halfjaar 2018;35.0;;10.0;20.0;;;25.0;;45.0;;;;;;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168018  ;1.0
58;Totaal alle jeugdzorg in natura;Wijk 18 Gieterveen;2e halfjaar 2018;35.0;;10.0;20.0;;;30.0;;45.0;;;;;;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168018  ;1.0
59;Totaal alle jeugdzorg in natura;Wijk 18 Gieterveen;2018;40.0;;10.0;25.0;;;30.0;;50.0;;;;;;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168018  ;1.0
60;Totaal alle jeugdzorg in natura;Wijk 19 Rolde;1e halfjaar 2018;80.0;;20.0;45.0;;10.0;55.0;10.0;95.0;;;;;15.0;35.0;;10.0;10.0;;;;Aa en Hunze                             ;Wijk     ;WK168019  ;1.0
61;Totaal alle jeugdzorg in natura;Wijk 19 Rolde;2e halfjaar 2018;80.0;;25.0;45.0;;10.0;55.0;10.0;100.0;;;;;15.0;45.0;;15.0;10.0;;;;Aa en Hunze                             ;Wijk     ;WK168019  ;1.0
62;Totaal alle jeugdzorg in natura;Wijk 19 Rolde;2018;85.0;;25.0;50.0;;10.0;65.0;10.0;110.0;;;;;15.0;45.0;;15.0;10.0;;;;Aa en Hunze                             ;Wijk     ;WK168019  ;1.0
63;Totaal alle jeugdzorg in natura;Wijk 20 Grolloo;1e halfjaar 2018;15.0;;10.0;;;;10.0;;15.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168020  ;1.0
64;Totaal alle jeugdzorg in natura;Wijk 20 Grolloo;2e halfjaar 2018;15.0;;10.0;;;;10.0;;15.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168020  ;1.0
65;Totaal alle jeugdzorg in natura;Wijk 20 Grolloo;2018;20.0;;10.0;;;;15.0;;20.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168020  ;1.0
66;Totaal alle jeugdzorg in natura;Wijk 21 Ekehaar;1e halfjaar 2018;10.0;;;;;;;;10.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168021  ;1.0
67;Totaal alle jeugdzorg in natura;Wijk 21 Ekehaar;2e halfjaar 2018;10.0;;;;;;;;10.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168021  ;1.0
68;Totaal alle jeugdzorg in natura;Wijk 21 Ekehaar;2018;10.0;;;;;;;;10.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168021  ;1.0
69;Totaal alle jeugdzorg in natura;Aalburg;1e halfjaar 2018;275.0;10.0;165.0;95.0;;25.0;225.0;25.0;380.0;;;;;150.0;125.0;10.0;25.0;20.0;;;15.0;Aalburg                                 ;Gemeente ;GM0738    ;
70;Totaal alle jeugdzorg in natura;Aalburg;2e halfjaar 2018;300.0;10.0;190.0;100.0;;30.0;245.0;25.0;415.0;;;;;160.0;155.0;10.0;30.0;25.0;;;15.0;Aalburg                                 ;Gemeente ;GM0738    ;
71;Totaal alle jeugdzorg in natura;Aalburg;2018;330.0;10.0;205.0;110.0;;35.0;270.0;25.0;475.0;;;;;190.0;175.0;10.0;30.0;30.0;;;15.0;Aalburg                                 ;Gemeente ;GM0738    ;
72;Totaal alle jeugdzorg in natura;Wijk 00 Wijk en Aalburg;1e halfjaar 2018;125.0;;65.0;55.0;;15.0;100.0;15.0;170.0;;;;;60.0;55.0;;10.0;10.0;;;10.0;Aalburg                                 ;Wijk     ;WK073800  ;1.0
73;Totaal alle jeugdzorg in natura;Wijk 00 Wijk en Aalburg;2e halfjaar 2018;135.0;;70.0;55.0;;15.0;105.0;15.0;185.0;;;;;65.0;65.0;;10.0;15.0;;;10.0;Aalburg                                 ;Wijk     ;WK073800  ;1.0
74;Totaal alle jeugdzorg in natura;Wijk 00 Wijk en Aalburg;2018;145.0;;80.0;60.0;;15.0;115.0;15.0;210.0;;;;;80.0;75.0;;10.0;15.0;;;10.0;Aalburg                                 ;Wijk     ;WK073800  ;1.0
75;Totaal alle jeugdzorg in natura;Wijk 01 Veen;1e halfjaar 2018;50.0;;40.0;10.0;;;45.0;;65.0;;;;;30.0;25.0;;;;;;;Aalburg                                 ;Wijk     ;WK073801  ;1.0
76;Totaal alle jeugdzorg in natura;Wijk 01 Veen;2e halfjaar 2018;60.0;;45.0;10.0;;;50.0;;75.0;;;;;30.0;30.0;;;;;;;Aalburg                                 ;Wijk     ;WK073801  ;1.0
77;Totaal alle jeugdzorg in natura;Wijk 01 Veen;2018;65.0;;50.0;15.0;;;55.0;;85.0;;;;;35.0;35.0;;;;;;;Aalburg                                 ;Wijk     ;WK073801  ;1.0
78;Totaal alle jeugdzorg in natura;Wijk 02 Genderen;1e halfjaar 2018;35.0;;25.0;15.0;;10.0;30.0;;45.0;;;;;15.0;20.0;;;;;;;Aalburg                                 ;Wijk     ;WK073802  ;1.0
79;Totaal alle jeugdzorg in natura;Wijk 02 Genderen;2e halfjaar 2018;40.0;;25.0;15.0;;10.0;30.0;;50.0;;;;;15.0;25.0;;;;;;;Aalburg                                 ;Wijk     ;WK073802  ;1.0
80;Totaal alle jeugdzorg in natura;Wijk 02 Genderen;2018;45.0;;30.0;15.0;;10.0;35.0;;60.0;;;;;15.0;30.0;;;;;;;Aalburg                                 ;Wijk     ;WK073802  ;1.0
81;Totaal alle jeugdzorg in natura;Wijk 03 Eethen;1e halfjaar 2018;25.0;;20.0;;;;25.0;;35.0;;;;;20.0;10.0;;;;;;;Aalburg                                 ;Wijk     ;WK073803  ;1.0
82;Totaal alle jeugdzorg in natura;Wijk 03 Eethen;2e halfjaar 2018;30.0;;25.0;;;;25.0;;40.0;;;;;20.0;15.0;;;;;;;Aalburg                                 ;Wijk     ;WK073803  ;1.0
83;Totaal alle jeugdzorg in natura;Wijk 03 Eethen;2018;30.0;;25.0;;;;30.0;;45.0;;;;;20.0;15.0;;;;;;;Aalburg                                 ;Wijk     ;WK073803  ;1.0
84;Totaal alle jeugdzorg in natura;Wijk 04 Meeuwen;1e halfjaar 2018;10.0;;;;;;10.0;;15.0;;;;;;;;;;;;;Aalburg                                 ;Wijk     ;WK073804  ;1.0
85;Totaal alle jeugdzorg in natura;Wijk 04 Meeuwen;2e halfjaar 2018;15.0;;10.0;;;;15.0;;15.0;;;;;;10.0;;;;;;;Aalburg                                 ;Wijk     ;WK073804  ;1.0
86;Totaal alle jeugdzorg in natura;Wijk 04 Meeuwen;2018;15.0;;10.0;;;;15.0;;20.0;;;;;;10.0;;;;;;;Aalburg                                 ;Wijk     ;WK073804  ;1.0
87;Totaal alle jeugdzorg in natura;Wijk 05 Drongelen;1e halfjaar 2018;10.0;;;;;;10.0;;20.0;;;;;10.0;;;;;;;;Aalburg                                 ;Wijk     ;WK073805  ;1.0
88;Totaal alle jeugdzorg in natura;Wijk 05 Drongelen;2e halfjaar 2018;10.0;;;;;;10.0;;15.0;;;;;;;;;;;;;Aalburg                                 ;Wijk     ;WK073805  ;1.0
89;Totaal alle jeugdzorg in natura;Wijk 05 Drongelen;2018;10.0;;;;;;10.0;;20.0;;;;;10.0;;;;;;;;Aalburg                                 ;Wijk     ;WK073805  ;1.0
90;Totaal alle jeugdzorg in natura;Wijk 06 Babyloniënbroek;1e halfjaar 2018;10.0;;;;;;;;10.0;;;;;;;;;;;;;Aalburg                                 ;Wijk     ;WK073806  ;1.0
91;Totaal alle jeugdzorg in natura;Wijk 06 Babyloniënbroek;2e halfjaar 2018;;;;;;;;;10.0;;;;;;;;;;;;;Aalburg                                 ;Wijk     ;WK073806  ;1.0
92;Totaal alle jeugdzorg in natura;Wijk 06 Babyloniënbroek;2018;10.0;;;;;;10.0;;15.0;;;;;;;;;;;;;Aalburg                                 ;Wijk     ;WK073806  ;1.0
93;Totaal alle jeugdzorg in natura;Aalsmeer;1e halfjaar 2018;450.0;30.0;235.0;165.0;15.0;105.0;320.0;20.0;565.0;;;;;160.0;160.0;;35.0;15.0;;20.0;130.0;Aalsmeer                                ;Gemeente ;GM0358    ;
94;Totaal alle jeugdzorg in natura;Aalsmeer;2e halfjaar 2018;500.0;40.0;265.0;185.0;10.0;120.0;360.0;20.0;665.0;;;;;185.0;200.0;;50.0;15.0;;25.0;155.0;Aalsmeer                                ;Gemeente ;GM0358    ;
95;Totaal alle jeugdzorg in natura;Aalsmeer;2018;555.0;40.0;295.0;200.0;20.0;135.0;400.0;20.0;765.0;;;;;210.0;220.0;10.0;55.0;20.0;;30.0;175.0;Aalsmeer                                ;Gemeente ;GM0358    ;
96;Totaal alle jeugdzorg in natura;Wijk 00 Aalsmeer;1e halfjaar 2018;160.0;15.0;80.0;60.0;;40.0;110.0;10.0;200.0;;;;;55.0;55.0;;15.0;;;;55.0;Aalsmeer                                ;Wijk     ;WK035800  ;1.0
97;Totaal alle jeugdzorg in natura;Wijk 00 Aalsmeer;2e halfjaar 2018;170.0;15.0;85.0;70.0;;45.0;115.0;10.0;220.0;;;;;55.0;65.0;;20.0;;;;60.0;Aalsmeer                                ;Wijk     ;WK035800  ;1.0
98;Totaal alle jeugdzorg in natura;Wijk 00 Aalsmeer;2018;185.0;15.0;95.0;75.0;;50.0;130.0;10.0;260.0;;;;;70.0;75.0;;20.0;;;;70.0;Aalsmeer                                ;Wijk     ;WK035800  ;1.0
99;Totaal alle jeugdzorg in natura;Wijk 01 Kudelstraat en Kalslagen;1e halfjaar 2018;115.0;;65.0;35.0;;35.0;75.0;;145.0;;;;;35.0;45.0;;;;;;40.0;Aalsmeer                                ;Wijk     ;WK035801  ;1.0
100;Totaal alle jeugdzorg in natura;Wijk 01 Kudelstraat en Kalslagen;2e halfjaar 2018;135.0;10.0;75.0;40.0;;40.0;90.0;;180.0;;;;;45.0;50.0;;10.0;;;10.0;50.0;Aalsmeer                                ;Wijk     ;WK035801  ;1.0
101;Totaal alle jeugdzorg in natura;Wijk 01 Kudelstraat en Kalslagen;2018;150.0;10.0;85.0;50.0;;45.0;100.0;;205.0;;;;;45.0;60.0;;10.0;10.0;;10.0;60.0;Aalsmeer                                ;Wijk     ;WK035801  ;1.0
102;Totaal alle jeugdzorg in natura;Wijk 02 Oosteinde;1e halfjaar 2018;150.0;10.0;80.0;55.0;;30.0;115.0;10.0;180.0;;;;;50.0;50.0;;15.0;;;;40.0;Aalsmeer                                ;Wijk     ;WK035802  ;1.0
103;Totaal alle jeugdzorg in natura;Wijk 02 Oosteinde;2e halfjaar 2018;165.0;10.0;90.0;60.0;;25.0;130.0;10.0;220.0;;;;;55.0;80.0;;15.0;;;10.0;45.0;Aalsmeer                                ;Wijk     ;WK035802  ;1.0
104;Totaal alle jeugdzorg in natura;Wijk 02 Oosteinde;2018;180.0;10.0;100.0;65.0;;30.0;145.0;10.0;245.0;;;;;65.0;85.0;;15.0;;;10.0;50.0;Aalsmeer                                ;Wijk     ;WK035802  ;1.0
105;Totaal alle jeugdzorg in natura;Aalten;1e halfjaar 2018;510.0;35.0;265.0;205.0;;130.0;355.0;30.0;750.0;;;;;460.0;140.0;15.0;45.0;15.0;;30.0;;Aalten                                  ;Gemeente ;GM0197    ;
106;Totaal alle jeugdzorg in natura;Aalten;2e halfjaar 2018;550.0;45.0;290.0;210.0;;130.0;390.0;30.0;825.0;;;;;490.0;170.0;15.0;45.0;15.0;;40.0;;Aalten                                  ;Gemeente ;GM0197    ;
107;Totaal alle jeugdzorg in natura;Aalten;2018;600.0;45.0;315.0;235.0;;145.0;420.0;35.0;935.0;;;;;560.0;190.0;15.0;50.0;20.0;;45.0;;Aalten                                  ;Gemeente ;GM0197    ;
108;Totaal alle jeugdzorg in natura;Wijk 01 Buitengebied Aalten;1e halfjaar 2018;65.0;;40.0;25.0;;10.0;50.0;;85.0;;;;;50.0;15.0;;;;;;;Aalten                                  ;Wijk     ;WK019701  ;1.0
109;Totaal alle jeugdzorg in natura;Wijk 01 Buitengebied Aalten;2e halfjaar 2018;65.0;;40.0;25.0;;;50.0;;95.0;;;;;55.0;20.0;;;;;;;Aalten                                  ;Wijk     ;WK019701  ;1.0
110;Totaal alle jeugdzorg in natura;Wijk 01 Buitengebied Aalten;2018;70.0;;40.0;25.0;;;55.0;10.0;100.0;;;;;55.0;20.0;;;;;;;Aalten                                  ;Wijk     ;WK019701  ;1.0
111;Totaal alle jeugdzorg in natura;Wijk 02 Bredevoort;1e halfjaar 2018;30.0;;15.0;15.0;;;25.0;;45.0;;;;;30.0;;;;;;;;Aalten                                  ;Wijk     ;WK019702  ;1.0
112;Totaal alle jeugdzorg in natura;Wijk 02 Bredevoort;2e halfjaar 2018;30.0;;15.0;15.0;;10.0;25.0;;45.0;;;;;30.0;10.0;;;;;;;Aalten                                  ;Wijk     ;WK019702  ;1.0
113;Totaal alle jeugdzorg in natura;Wijk 02 Bredevoort;2018;35.0;;15.0;15.0;;10.0;25.0;;50.0;;;;;35.0;10.0;;;;;;;Aalten                                  ;Wijk     ;WK019702  ;1.0
114;Totaal alle jeugdzorg in natura;Wijk 03 Aalten Kern;1e halfjaar 2018;240.0;20.0;130.0;90.0;;65.0;170.0;;340.0;;;;;215.0;80.0;10.0;;;;20.0;;Aalten                                  ;Wijk     ;WK019703  ;1.0
115;Totaal alle jeugdzorg in natura;Wijk 03 Aalten Kern;2e halfjaar 2018;265.0;25.0;150.0;85.0;;60.0;200.0;;380.0;;;;;230.0;100.0;10.0;10.0;;;25.0;;Aalten                                  ;Wijk     ;WK019703  ;1.0
116;Totaal alle jeugdzorg in natura;Wijk 03 Aalten Kern;2018;290.0;25.0;160.0;105.0;;75.0;215.0;;440.0;;;;;265.0;110.0;10.0;10.0;;;30.0;;Aalten                                  ;Wijk     ;WK019703  ;1.0
117;Totaal alle jeugdzorg in natura;Wijk 04 Dinxperlo;1e halfjaar 2018;130.0;10.0;70.0;50.0;;30.0;90.0;;180.0;;;;;125.0;30.0;;;;;;;Aalten                                  ;Wijk     ;WK019704  ;1.0
