ID;Geslacht;Migratieachtergrond;Onderwijssoort;StudierichtingISCED2013;Perioden;TotaalIngeschrevenen_1;Eerstejaarsstudenten_2;Ouderejaarsstudenten_3
30;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2016/'17;76169;10817;65352
31;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2017/'18;74968;11218;63750
32;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2018/'19;73995;11704;62291
33;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2019/'20;74563;12254;62309
34;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2020/'21;79967;15026;64941
35;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;011 Onderwijskunde, lerarenopleiding...;2021/'22;81100;12954;68146
36;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2010/'11;0;0;0
37;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2011/'12;0;0;0
38;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2012/'13;0;0;0
39;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2013/'14;0;0;0
40;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2014/'15;0;0;0
41;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2015/'16;0;0;0
42;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2016/'17;0;0;0
43;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2017/'18;0;0;0
44;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2018/'19;0;0;0
45;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2019/'20;0;0;0
46;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2020/'21;0;0;0
47;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2021/'22;0;0;0
48;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2010/'11;17142;2890;14252
49;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2011/'12;17322;2814;14508
50;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2012/'13;16915;2703;14212
51;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2013/'14;17398;2917;14481
52;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2014/'15;17601;2734;14867
53;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2015/'16;17521;2374;15147
54;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2016/'17;16809;2137;14672
55;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2017/'18;16374;2072;14302
56;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2018/'19;15895;2315;13580
57;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2019/'20;16139;2578;13561
58;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2020/'21;17493;3388;14105
59;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0111 Onderwijskunde;2021/'22;18774;3253;15521
60;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2010/'11;0;0;0
61;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2011/'12;0;0;0
62;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2012/'13;0;0;0
63;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2013/'14;0;0;0
64;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2014/'15;0;0;0
65;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2015/'16;0;0;0
66;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2016/'17;0;0;0
67;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2017/'18;0;0;0
68;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2018/'19;0;0;0
69;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2019/'20;0;0;0
70;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2020/'21;0;0;0
71;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0112 Opleiding kleuterleidsters;2021/'22;0;0;0
72;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2010/'11;34556;6542;28014
73;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2011/'12;31915;5939;25976
74;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2012/'13;28906;5254;23652
75;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2013/'14;28427;5538;22889
76;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2014/'15;27979;5470;22509
77;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2015/'16;24999;3618;21381
78;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2016/'17;24133;3918;20215
79;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2017/'18;23379;4034;19345
80;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2018/'19;23360;4494;18866
81;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2019/'20;24520;4880;19640
82;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2020/'21;27803;6518;21285
83;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0113 Lerarenopleiding basisonderwijs,...;2021/'22;28330;5109;23221
84;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2010/'11;34812;5580;29232
85;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2011/'12;34441;5147;29294
86;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2012/'13;33052;4894;28158
87;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2013/'14;34643;5117;29526
88;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2014/'15;35052;4931;30121
89;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2015/'16;35157;4557;30600
90;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2016/'17;35227;4762;30465
91;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2017/'18;35215;5112;30103
92;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2018/'19;34740;4895;29845
93;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2019/'20;33904;4796;29108
94;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2020/'21;34671;5120;29551
95;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0114 Lerarenopleiding algemene en ber...;2021/'22;33996;4592;29404
96;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2010/'11;52999;9566;43433
97;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2011/'12;52641;9581;43060
98;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2012/'13;51008;9427;41581
99;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2013/'14;51995;9881;42114
100;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2014/'15;52217;9467;42750
101;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2015/'16;51695;8777;42918
102;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2016/'17;51814;9415;42399
103;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2017/'18;52632;10273;42359
104;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2018/'19;55657;12192;43465
105;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2019/'20;58190;12349;45841
106;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2020/'21;62751;13434;49317
107;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;02 Vormgeving, kunst, talen en gesch... ;2021/'22;65664;12683;52981
108;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2010/'11;0;0;0
109;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2011/'12;0;0;0
110;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2012/'13;0;0;0
111;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2013/'14;0;0;0
112;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2014/'15;0;0;0
113;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2015/'16;0;0;0
114;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2016/'17;0;0;0
115;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2017/'18;43;14;29
116;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2018/'19;71;17;54
117;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2019/'20;95;12;83
118;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2020/'21;115;9;106
119;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;020 Vormgeving, kunst, talen… z.n.d.;2021/'22;108;10;98
120;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2010/'11;0;0;0
121;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2011/'12;0;0;0
122;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2012/'13;0;0;0
123;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2013/'14;0;0;0
124;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2014/'15;0;0;0
125;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2015/'16;0;0;0
126;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2016/'17;0;0;0
127;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2017/'18;43;14;29
128;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2018/'19;71;17;54
129;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2019/'20;95;12;83
130;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2020/'21;115;9;106
131;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2021/'22;108;10;98
132;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2010/'11;30480;6494;23986
133;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2011/'12;30757;6562;24195
134;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2012/'13;30683;6561;24122
135;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2013/'14;31126;6692;24434
136;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2014/'15;31476;6601;24875
137;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2015/'16;30598;6097;24501
138;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2016/'17;30833;6517;24316
139;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2017/'18;31505;7166;24339
140;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2018/'19;34275;8972;25303
141;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2019/'20;36393;9121;27272
142;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2020/'21;39774;9870;29904
143;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;021 Kunst;2021/'22;41782;9194;32588
144;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2010/'11;0;0;0
145;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2011/'12;0;0;0
146;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2012/'13;0;0;0
147;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2013/'14;0;0;0
148;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2014/'15;0;0;0
149;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2015/'16;0;0;0
150;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2016/'17;28;10;18
151;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2017/'18;31;17;14
152;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2018/'19;47;16;31
153;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2019/'20;57;16;41
154;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2020/'21;57;21;36
155;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0210 Kunst z.n.d.;2021/'22;60;19;41
156;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2010/'11;10688;2296;8392
157;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2011/'12;11163;2324;8839
158;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2012/'13;11655;2456;9199
159;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2013/'14;12074;2464;9610
160;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2014/'15;12463;2455;10008
161;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2015/'16;12334;2225;10109
162;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2016/'17;12459;2413;10046
163;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2017/'18;12634;2611;10023
164;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2018/'19;15092;4342;10750
165;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2019/'20;17023;4599;12424
166;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2020/'21;19482;4974;14508
167;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0211 Audiovisuele techniek en mediapr...;2021/'22;20740;4330;16410
168;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2010/'11;227;110;117
169;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2011/'12;397;159;238
170;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2012/'13;528;172;356
171;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2013/'14;693;216;477
172;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2014/'15;867;239;628
173;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2015/'16;947;218;729
174;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2016/'17;987;211;776
175;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2017/'18;1027;239;788
176;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2018/'19;973;201;772
177;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2019/'20;920;186;734
178;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2020/'21;809;147;662
179;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0212 Mode-, interieur- en industriële...;2021/'22;1102;419;683
180;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2010/'11;11873;2397;9476
181;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2011/'12;11731;2475;9256
182;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2012/'13;11414;2327;9087
183;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2013/'14;11310;2373;8937
184;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2014/'15;11063;2249;8814
185;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2015/'16;10638;2203;8435
186;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2016/'17;10785;2409;8376
187;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2017/'18;10702;2431;8271
188;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2018/'19;10863;2573;8290
189;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2019/'20;11043;2515;8528
190;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2020/'21;11805;2801;9004
191;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0213 Beeldende kunst, kunstgeschiedenis;2021/'22;12195;2633;9562
192;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0214 Kunstnijverheid;2010/'11;28;8;20
193;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0214 Kunstnijverheid;2011/'12;28;9;19
194;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0214 Kunstnijverheid;2012/'13;25;8;17
195;Totaal mannen en vrouwen;Totaal migratieachtergrond;Hoger onderwijs;0214 Kunstnijverheid;2013/'14;24;6;18
