ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
255;Total health care providers;HF121b: Health Insurance Fund;2008;
256;Total health care providers;HF121b: Health Insurance Fund;2009;
257;Total health care providers;HF121b: Health Insurance Fund;2010;
258;Total health care providers;HF121b: Health Insurance Fund;2011;
259;Total health care providers;HF121b: Health Insurance Fund;2012;
260;Total health care providers;HF121b: Health Insurance Fund;2013;
261;Total health care providers;HF121b: Health Insurance Fund;2014;
262;Total health care providers;HF121b: Health Insurance Fund;2015;
263;Total health care providers;HF121b: Health Insurance Fund;2016;
264;Total health care providers;HF122: Compulsory private insurance;2005;
265;Total health care providers;HF122: Compulsory private insurance;2006;26437.0
266;Total health care providers;HF122: Compulsory private insurance;2007;27395.0
267;Total health care providers;HF122: Compulsory private insurance;2008;31306.0
268;Total health care providers;HF122: Compulsory private insurance;2009;33054.0
269;Total health care providers;HF122: Compulsory private insurance;2010;34435.0
270;Total health care providers;HF122: Compulsory private insurance;2011;35154.0
271;Total health care providers;HF122: Compulsory private insurance;2012;35473.0
272;Total health care providers;HF122: Compulsory private insurance;2013;36209.0
273;Total health care providers;HF122: Compulsory private insurance;2014;36342.0
274;Total health care providers;HF122: Compulsory private insurance;2015;37706.0
275;Total health care providers;HF122: Compulsory private insurance;2016;38726.0
276;Total health care providers;Voluntary schemes (incl. OOP);2005;16554.0
277;Total health care providers;Voluntary schemes (incl. OOP);2006;9219.0
278;Total health care providers;Voluntary schemes (incl. OOP);2007;9627.0
279;Total health care providers;Voluntary schemes (incl. OOP);2008;11131.0
280;Total health care providers;Voluntary schemes (incl. OOP);2009;11104.0
281;Total health care providers;Voluntary schemes (incl. OOP);2010;11464.0
282;Total health care providers;Voluntary schemes (incl. OOP);2011;12049.0
283;Total health care providers;Voluntary schemes (incl. OOP);2012;12683.0
284;Total health care providers;Voluntary schemes (incl. OOP);2013;13462.0
285;Total health care providers;Voluntary schemes (incl. OOP);2014;13919.0
286;Total health care providers;Voluntary schemes (incl. OOP);2015;13823.0
287;Total health care providers;Voluntary schemes (incl. OOP);2016;14049.0
288;Total health care providers;HF2: Voluntary schemes;2005;11182.0
289;Total health care providers;HF2: Voluntary schemes;2006;4334.0
290;Total health care providers;HF2: Voluntary schemes;2007;4677.0
291;Total health care providers;HF2: Voluntary schemes;2008;4603.0
292;Total health care providers;HF2: Voluntary schemes;2009;4969.0
293;Total health care providers;HF2: Voluntary schemes;2010;5015.0
294;Total health care providers;HF2: Voluntary schemes;2011;5327.0
295;Total health care providers;HF2: Voluntary schemes;2012;5377.0
296;Total health care providers;HF2: Voluntary schemes;2013;5154.0
297;Total health care providers;HF2: Voluntary schemes;2014;5132.0
298;Total health care providers;HF2: Voluntary schemes;2015;5064.0
299;Total health care providers;HF2: Voluntary schemes;2016;5313.0
300;Total health care providers;HF21: Voluntary health insurance schemes;2005;10170.0
301;Total health care providers;HF21: Voluntary health insurance schemes;2006;3411.0
302;Total health care providers;HF21: Voluntary health insurance schemes;2007;3660.0
303;Total health care providers;HF21: Voluntary health insurance schemes;2008;3660.0
304;Total health care providers;HF21: Voluntary health insurance schemes;2009;3935.0
305;Total health care providers;HF21: Voluntary health insurance schemes;2010;3978.0
306;Total health care providers;HF21: Voluntary health insurance schemes;2011;4326.0
307;Total health care providers;HF21: Voluntary health insurance schemes;2012;4440.0
308;Total health care providers;HF21: Voluntary health insurance schemes;2013;4239.0
309;Total health care providers;HF21: Voluntary health insurance schemes;2014;4292.0
310;Total health care providers;HF21: Voluntary health insurance schemes;2015;4213.0
311;Total health care providers;HF21: Voluntary health insurance schemes;2016;4455.0
312;Total health care providers;HF22: Financing schemes NPI;2005;168.0
313;Total health care providers;HF22: Financing schemes NPI;2006;159.0
314;Total health care providers;HF22: Financing schemes NPI;2007;190.0
315;Total health care providers;HF22: Financing schemes NPI;2008;161.0
316;Total health care providers;HF22: Financing schemes NPI;2009;161.0
317;Total health care providers;HF22: Financing schemes NPI;2010;172.0
318;Total health care providers;HF22: Financing schemes NPI;2011;168.0
319;Total health care providers;HF22: Financing schemes NPI;2012;175.0
320;Total health care providers;HF22: Financing schemes NPI;2013;181.0
321;Total health care providers;HF22: Financing schemes NPI;2014;175.0
322;Total health care providers;HF22: Financing schemes NPI;2015;160.0
323;Total health care providers;HF22: Financing schemes NPI;2016;162.0
324;Total health care providers;HF23: Enterprise financing schemes;2005;845.0
325;Total health care providers;HF23: Enterprise financing schemes;2006;764.0
326;Total health care providers;HF23: Enterprise financing schemes;2007;827.0
327;Total health care providers;HF23: Enterprise financing schemes;2008;781.0
328;Total health care providers;HF23: Enterprise financing schemes;2009;874.0
329;Total health care providers;HF23: Enterprise financing schemes;2010;866.0
330;Total health care providers;HF23: Enterprise financing schemes;2011;833.0
331;Total health care providers;HF23: Enterprise financing schemes;2012;761.0
332;Total health care providers;HF23: Enterprise financing schemes;2013;734.0
333;Total health care providers;HF23: Enterprise financing schemes;2014;665.0
334;Total health care providers;HF23: Enterprise financing schemes;2015;691.0
335;Total health care providers;HF23: Enterprise financing schemes;2016;697.0
336;Total health care providers;HF3: Household out-of-pocket payments;2005;5372.0
337;Total health care providers;HF3: Household out-of-pocket payments;2006;4885.0
338;Total health care providers;HF3: Household out-of-pocket payments;2007;4950.0
339;Total health care providers;HF3: Household out-of-pocket payments;2008;6528.0
340;Total health care providers;HF3: Household out-of-pocket payments;2009;6134.0
341;Total health care providers;HF3: Household out-of-pocket payments;2010;6448.0
342;Total health care providers;HF3: Household out-of-pocket payments;2011;6722.0
343;Total health care providers;HF3: Household out-of-pocket payments;2012;7306.0
344;Total health care providers;HF3: Household out-of-pocket payments;2013;8308.0
345;Total health care providers;HF3: Household out-of-pocket payments;2014;8787.0
346;Total health care providers;HF3: Household out-of-pocket payments;2015;8759.0
347;Total health care providers;HF3: Household out-of-pocket payments;2016;8736.0
348;Total health care providers;"Rest of the world; exports";2005;103.0
349;Total health care providers;"Rest of the world; exports";2006;93.0
350;Total health care providers;"Rest of the world; exports";2007;86.0
351;Total health care providers;"Rest of the world; exports";2008;90.0
352;Total health care providers;"Rest of the world; exports";2009;84.0
353;Total health care providers;"Rest of the world; exports";2010;107.0
354;Total health care providers;"Rest of the world; exports";2011;103.0
355;Total health care providers;"Rest of the world; exports";2012;103.0
356;Total health care providers;"Rest of the world; exports";2013;107.0
357;Total health care providers;"Rest of the world; exports";2014;110.0
358;Total health care providers;"Rest of the world; exports";2015;115.0
359;Total health care providers;"Rest of the world; exports";2016;115.0
360;HP1: Hospitals;Total financ schemes health,social care;2005;16665.0
361;HP1: Hospitals;Total financ schemes health,social care;2006;17438.0
362;HP1: Hospitals;Total financ schemes health,social care;2007;17851.0
363;HP1: Hospitals;Total financ schemes health,social care;2008;19521.0
364;HP1: Hospitals;Total financ schemes health,social care;2009;20701.0
365;HP1: Hospitals;Total financ schemes health,social care;2010;22248.0
366;HP1: Hospitals;Total financ schemes health,social care;2011;22639.0
367;HP1: Hospitals;Total financ schemes health,social care;2012;23600.0
368;HP1: Hospitals;Total financ schemes health,social care;2013;24708.0
369;HP1: Hospitals;Total financ schemes health,social care;2014;24770.0
370;HP1: Hospitals;Total financ schemes health,social care;2015;27289.0
371;HP1: Hospitals;Total financ schemes health,social care;2016;28141.0
372;HP1: Hospitals;Total financing of residents;2005;16629.0
373;HP1: Hospitals;Total financing of residents;2006;17402.0
374;HP1: Hospitals;Total financing of residents;2007;17816.0
375;HP1: Hospitals;Total financing of residents;2008;19483.0
376;HP1: Hospitals;Total financing of residents;2009;20665.0
377;HP1: Hospitals;Total financing of residents;2010;22201.0
378;HP1: Hospitals;Total financing of residents;2011;22594.0
379;HP1: Hospitals;Total financing of residents;2012;23555.0
380;HP1: Hospitals;Total financing of residents;2013;24662.0
381;HP1: Hospitals;Total financing of residents;2014;24723.0
382;HP1: Hospitals;Total financing of residents;2015;27241.0
383;HP1: Hospitals;Total financing of residents;2016;28093.0
384;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2005;12920.0
385;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2006;17202.0
386;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2007;17587.0
387;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2008;18757.0
388;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2009;19900.0
389;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2010;21389.0
390;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2011;21736.0
391;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2012;22453.0
392;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2013;23046.0
393;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2014;22716.0
394;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2015;25134.0
395;HP1: Hospitals;HF1: Government, comp. Contr. schemes;2016;26002.0
396;HP1: Hospitals;HF11: Government schemes;2005;375.0
397;HP1: Hospitals;HF11: Government schemes;2006;495.0
398;HP1: Hospitals;HF11: Government schemes;2007;504.0
399;HP1: Hospitals;HF11: Government schemes;2008;619.0
400;HP1: Hospitals;HF11: Government schemes;2009;571.0
401;HP1: Hospitals;HF11: Government schemes;2010;582.0
402;HP1: Hospitals;HF11: Government schemes;2011;644.0
403;HP1: Hospitals;HF11: Government schemes;2012;663.0
404;HP1: Hospitals;HF11: Government schemes;2013;776.0
405;HP1: Hospitals;HF11: Government schemes;2014;767.0
406;HP1: Hospitals;HF11: Government schemes;2015;2564.0
407;HP1: Hospitals;HF11: Government schemes;2016;2726.0
408;HP1: Hospitals;HF12: Compulsory contributory schemes;2005;12545.0
409;HP1: Hospitals;HF12: Compulsory contributory schemes;2006;16707.0
410;HP1: Hospitals;HF12: Compulsory contributory schemes;2007;17082.0
411;HP1: Hospitals;HF12: Compulsory contributory schemes;2008;18138.0
412;HP1: Hospitals;HF12: Compulsory contributory schemes;2009;19329.0
413;HP1: Hospitals;HF12: Compulsory contributory schemes;2010;20807.0
414;HP1: Hospitals;HF12: Compulsory contributory schemes;2011;21092.0
415;HP1: Hospitals;HF12: Compulsory contributory schemes;2012;21791.0
416;HP1: Hospitals;HF12: Compulsory contributory schemes;2013;22271.0
417;HP1: Hospitals;HF12: Compulsory contributory schemes;2014;21949.0
418;HP1: Hospitals;HF12: Compulsory contributory schemes;2015;22570.0
419;HP1: Hospitals;HF12: Compulsory contributory schemes;2016;23276.0
420;HP1: Hospitals;HF121a: Long-term care insurance;2005;3852.0
421;HP1: Hospitals;HF121a: Long-term care insurance;2006;3964.0
422;HP1: Hospitals;HF121a: Long-term care insurance;2007;4324.0
423;HP1: Hospitals;HF121a: Long-term care insurance;2008;1979.0
424;HP1: Hospitals;HF121a: Long-term care insurance;2009;2097.0
425;HP1: Hospitals;HF121a: Long-term care insurance;2010;2375.0
426;HP1: Hospitals;HF121a: Long-term care insurance;2011;2372.0
427;HP1: Hospitals;HF121a: Long-term care insurance;2012;2328.0
428;HP1: Hospitals;HF121a: Long-term care insurance;2013;2291.0
429;HP1: Hospitals;HF121a: Long-term care insurance;2014;2195.0
430;HP1: Hospitals;HF121a: Long-term care insurance;2015;940.0
431;HP1: Hospitals;HF121a: Long-term care insurance;2016;936.0
432;HP1: Hospitals;HF121b: Health Insurance Fund;2005;8693.0
433;HP1: Hospitals;HF121b: Health Insurance Fund;2006;
434;HP1: Hospitals;HF121b: Health Insurance Fund;2007;
435;HP1: Hospitals;HF121b: Health Insurance Fund;2008;
436;HP1: Hospitals;HF121b: Health Insurance Fund;2009;
437;HP1: Hospitals;HF121b: Health Insurance Fund;2010;
438;HP1: Hospitals;HF121b: Health Insurance Fund;2011;
