ID;MaterialLivingConditions;PersonalCharacteristics;AllPeriods;NotHappy_1;Happy_2;NotSatisfiedWithLife_3;SatisfiedWithLife_4
73;999;Origin: Native Dutch background;2006;10.0;90.0;12.0;88.0
74;999;Origin: Native Dutch background;2007;11.0;89.0;12.0;88.0
75;999;Origin: Native Dutch background;2008;10.0;90.0;11.0;89.0
76;999;Origin: Native Dutch background;2009;10.0;90.0;11.0;89.0
77;999;Origin: Native Dutch background;2010 old method;11.0;89.0;12.0;88.0
78;999;Origin: Native Dutch background;2010 new method;15.0;85.0;15.0;85.0
79;999;Origin: Native Dutch background;2012;16.0;84.0;16.0;84.0
80;999;Origin: Foreign western background;2003;17.0;83.0;16.0;84.0
81;999;Origin: Foreign western background;2004;14.0;86.0;16.0;84.0
82;999;Origin: Foreign western background;2005;17.0;83.0;15.0;85.0
83;999;Origin: Foreign western background;2006;13.0;87.0;16.0;84.0
84;999;Origin: Foreign western background;2007;15.0;85.0;16.0;84.0
85;999;Origin: Foreign western background;2008;15.0;85.0;15.0;85.0
86;999;Origin: Foreign western background;2009;12.0;88.0;17.0;83.0
87;999;Origin: Foreign western background;2010 old method;15.0;85.0;18.0;82.0
88;999;Origin: Foreign western background;2010 new method;19.0;81.0;18.0;82.0
89;999;Origin: Foreign western background;2012;19.0;81.0;21.0;79.0
90;999;Origin: Foreign non-western background;2003;28.0;72.0;25.0;75.0
91;999;Origin: Foreign non-western background;2004;28.0;72.0;27.0;73.0
92;999;Origin: Foreign non-western background;2005;28.0;72.0;27.0;73.0
93;999;Origin: Foreign non-western background;2006;22.0;78.0;28.0;72.0
94;999;Origin: Foreign non-western background;2007;25.0;75.0;19.0;81.0
95;999;Origin: Foreign non-western background;2008;23.0;77.0;19.0;81.0
96;999;Origin: Foreign non-western background;2009;22.0;78.0;24.0;76.0
97;999;Origin: Foreign non-western background;2010 old method;23.0;77.0;22.0;78.0
98;999;Origin: Foreign non-western background;2010 new method;26.0;74.0;20.0;80.0
99;999;Origin: Foreign non-western background;2012;23.0;77.0;25.0;75.0
100;Income level: 1st 25%-group;Total population;2003;22.0;78.0;22.0;78.0
101;Income level: 1st 25%-group;Total population;2004;22.0;78.0;22.0;78.0
102;Income level: 1st 25%-group;Total population;2005;23.0;77.0;24.0;76.0
103;Income level: 1st 25%-group;Total population;2006;20.0;80.0;24.0;76.0
104;Income level: 1st 25%-group;Total population;2007;22.0;78.0;22.0;78.0
105;Income level: 1st 25%-group;Total population;2008;20.0;80.0;21.0;79.0
106;Income level: 1st 25%-group;Total population;2009;20.0;80.0;23.0;77.0
107;Income level: 1st 25%-group;Total population;2010 old method;20.0;80.0;23.0;77.0
108;Income level: 1st 25%-group;Total population;2010 new method;27.0;73.0;26.0;74.0
109;Income level: 1st 25%-group;Total population;2012;25.0;75.0;26.0;74.0
110;Income level: 1st 25%-group;Gender: male;2003;22.0;78.0;20.0;80.0
111;Income level: 1st 25%-group;Gender: male;2004;20.0;80.0;23.0;77.0
112;Income level: 1st 25%-group;Gender: male;2005;23.0;77.0;25.0;75.0
113;Income level: 1st 25%-group;Gender: male;2006;17.0;83.0;24.0;76.0
114;Income level: 1st 25%-group;Gender: male;2007;22.0;78.0;23.0;77.0
115;Income level: 1st 25%-group;Gender: male;2008;21.0;79.0;21.0;79.0
116;Income level: 1st 25%-group;Gender: male;2009;19.0;81.0;24.0;76.0
117;Income level: 1st 25%-group;Gender: male;2010 old method;17.0;83.0;19.0;81.0
118;Income level: 1st 25%-group;Gender: male;2010 new method;26.0;74.0;26.0;74.0
119;Income level: 1st 25%-group;Gender: male;2012;30.0;70.0;29.0;71.0
120;Income level: 1st 25%-group;Gender: female;2003;22.0;78.0;24.0;76.0
121;Income level: 1st 25%-group;Gender: female;2004;23.0;77.0;21.0;79.0
122;Income level: 1st 25%-group;Gender: female;2005;24.0;76.0;22.0;78.0
123;Income level: 1st 25%-group;Gender: female;2006;23.0;77.0;24.0;76.0
124;Income level: 1st 25%-group;Gender: female;2007;23.0;77.0;21.0;79.0
125;Income level: 1st 25%-group;Gender: female;2008;19.0;81.0;21.0;79.0
126;Income level: 1st 25%-group;Gender: female;2009;21.0;79.0;22.0;78.0
127;Income level: 1st 25%-group;Gender: female;2010 old method;22.0;78.0;25.0;75.0
128;Income level: 1st 25%-group;Gender: female;2010 new method;27.0;73.0;25.0;75.0
129;Income level: 1st 25%-group;Gender: female;2012;22.0;78.0;23.0;77.0
130;Income level: 1st 25%-group;Age: 18 to 35 years;2003;19.0;81.0;21.0;79.0
131;Income level: 1st 25%-group;Age: 18 to 35 years;2004;16.0;84.0;19.0;81.0
132;Income level: 1st 25%-group;Age: 18 to 35 years;2005;17.0;83.0;19.0;81.0
133;Income level: 1st 25%-group;Age: 18 to 35 years;2006;13.0;87.0;19.0;81.0
134;Income level: 1st 25%-group;Age: 18 to 35 years;2007;15.0;85.0;15.0;85.0
135;Income level: 1st 25%-group;Age: 18 to 35 years;2008;11.0;89.0;15.0;85.0
136;Income level: 1st 25%-group;Age: 18 to 35 years;2009;15.0;85.0;18.0;82.0
137;Income level: 1st 25%-group;Age: 18 to 35 years;2010 old method;10.0;90.0;16.0;84.0
138;Income level: 1st 25%-group;Age: 18 to 35 years;2010 new method;23.0;77.0;22.0;78.0
139;Income level: 1st 25%-group;Age: 18 to 35 years;2012;;;;
140;Income level: 1st 25%-group;Age: 35 to 50 years;2003;25.0;75.0;27.0;73.0
141;Income level: 1st 25%-group;Age: 35 to 50 years;2004;25.0;75.0;29.0;71.0
142;Income level: 1st 25%-group;Age: 35 to 50 years;2005;26.0;74.0;26.0;74.0
143;Income level: 1st 25%-group;Age: 35 to 50 years;2006;26.0;74.0;29.0;71.0
144;Income level: 1st 25%-group;Age: 35 to 50 years;2007;27.0;73.0;30.0;70.0
145;Income level: 1st 25%-group;Age: 35 to 50 years;2008;25.0;75.0;27.0;73.0
146;Income level: 1st 25%-group;Age: 35 to 50 years;2009;22.0;78.0;28.0;72.0
147;Income level: 1st 25%-group;Age: 35 to 50 years;2010 old method;25.0;75.0;29.0;71.0
148;Income level: 1st 25%-group;Age: 35 to 50 years;2010 new method;29.0;71.0;31.0;69.0
149;Income level: 1st 25%-group;Age: 35 to 50 years;2012;;;;
150;Income level: 1st 25%-group;Age: 50 to 65 years;2003;26.0;74.0;22.0;78.0
151;Income level: 1st 25%-group;Age: 50 to 65 years;2004;28.0;72.0;25.0;75.0
152;Income level: 1st 25%-group;Age: 50 to 65 years;2005;37.0;63.0;40.0;60.0
153;Income level: 1st 25%-group;Age: 50 to 65 years;2006;31.0;69.0;36.0;64.0
154;Income level: 1st 25%-group;Age: 50 to 65 years;2007;33.0;67.0;30.0;70.0
155;Income level: 1st 25%-group;Age: 50 to 65 years;2008;30.0;70.0;31.0;69.0
156;Income level: 1st 25%-group;Age: 50 to 65 years;2009;24.0;76.0;30.0;70.0
157;Income level: 1st 25%-group;Age: 50 to 65 years;2010 old method;;;;
158;Income level: 1st 25%-group;Age: 50 to 65 years;2010 new method;30.0;70.0;29.0;71.0
159;Income level: 1st 25%-group;Age: 50 to 65 years;2012;;;;
160;Income level: 1st 25%-group;Age: 65 years or older;2003;23.0;77.0;19.0;81.0
161;Income level: 1st 25%-group;Age: 65 years or older;2004;22.0;78.0;17.0;83.0
162;Income level: 1st 25%-group;Age: 65 years or older;2005;21.0;79.0;15.0;85.0
163;Income level: 1st 25%-group;Age: 65 years or older;2006;17.0;83.0;15.0;85.0
164;Income level: 1st 25%-group;Age: 65 years or older;2007;21.0;79.0;17.0;83.0
165;Income level: 1st 25%-group;Age: 65 years or older;2008;21.0;79.0;16.0;84.0
166;Income level: 1st 25%-group;Age: 65 years or older;2009;23.0;77.0;19.0;81.0
167;Income level: 1st 25%-group;Age: 65 years or older;2010 old method;26.0;74.0;18.0;82.0
168;Income level: 1st 25%-group;Age: 65 years or older;2010 new method;26.0;74.0;21.0;79.0
169;Income level: 1st 25%-group;Age: 65 years or older;2012;;;;
170;Income level: 1st 25%-group;Origin: Native Dutch background;2003;18.0;82.0;19.0;81.0
171;Income level: 1st 25%-group;Origin: Native Dutch background;2004;17.0;83.0;19.0;81.0
172;Income level: 1st 25%-group;Origin: Native Dutch background;2005;19.0;81.0;21.0;79.0
173;Income level: 1st 25%-group;Origin: Native Dutch background;2006;17.0;83.0;20.0;80.0
174;Income level: 1st 25%-group;Origin: Native Dutch background;2007;20.0;80.0;20.0;80.0
175;Income level: 1st 25%-group;Origin: Native Dutch background;2008;18.0;82.0;19.0;81.0
176;Income level: 1st 25%-group;Origin: Native Dutch background;2009;18.0;82.0;21.0;79.0
177;Income level: 1st 25%-group;Origin: Native Dutch background;2010 old method;19.0;81.0;22.0;78.0
178;Income level: 1st 25%-group;Origin: Native Dutch background;2010 new method;26.0;74.0;27.0;73.0
179;Income level: 1st 25%-group;Origin: Native Dutch background;2012;23.0;77.0;22.0;78.0
180;Income level: 1st 25%-group;Origin: Foreign western background;2003;27.0;73.0;30.0;70.0
181;Income level: 1st 25%-group;Origin: Foreign western background;2004;20.0;80.0;24.0;76.0
182;Income level: 1st 25%-group;Origin: Foreign western background;2005;26.0;74.0;21.0;79.0
183;Income level: 1st 25%-group;Origin: Foreign western background;2006;21.0;79.0;25.0;75.0
184;Income level: 1st 25%-group;Origin: Foreign western background;2007;20.0;80.0;26.0;74.0
185;Income level: 1st 25%-group;Origin: Foreign western background;2008;20.0;80.0;26.0;74.0
186;Income level: 1st 25%-group;Origin: Foreign western background;2009;23.0;77.0;29.0;71.0
187;Income level: 1st 25%-group;Origin: Foreign western background;2010 old method;;;;
188;Income level: 1st 25%-group;Origin: Foreign western background;2010 new method;;;;
189;Income level: 1st 25%-group;Origin: Foreign western background;2012;;;;
190;Income level: 1st 25%-group;Origin: Foreign non-western background;2003;36.0;64.0;30.0;70.0
191;Income level: 1st 25%-group;Origin: Foreign non-western background;2004;39.0;61.0;36.0;64.0
192;Income level: 1st 25%-group;Origin: Foreign non-western background;2005;38.0;62.0;35.0;65.0
193;Income level: 1st 25%-group;Origin: Foreign non-western background;2006;31.0;69.0;34.0;66.0
194;Income level: 1st 25%-group;Origin: Foreign non-western background;2007;33.0;67.0;26.0;74.0
195;Income level: 1st 25%-group;Origin: Foreign non-western background;2008;30.0;70.0;26.0;74.0
196;Income level: 1st 25%-group;Origin: Foreign non-western background;2009;28.0;72.0;29.0;71.0
197;Income level: 1st 25%-group;Origin: Foreign non-western background;2010 old method;24.0;76.0;27.0;73.0
198;Income level: 1st 25%-group;Origin: Foreign non-western background;2010 new method;31.0;69.0;23.0;77.0
199;Income level: 1st 25%-group;Origin: Foreign non-western background;2012;;;;
200;Income level: 2nd 25%-group;Total population;2003;15.0;85.0;15.0;85.0
201;Income level: 2nd 25%-group;Total population;2004;14.0;86.0;15.0;85.0
202;Income level: 2nd 25%-group;Total population;2005;14.0;86.0;15.0;85.0
203;Income level: 2nd 25%-group;Total population;2006;13.0;87.0;15.0;85.0
204;Income level: 2nd 25%-group;Total population;2007;13.0;87.0;14.0;86.0
205;Income level: 2nd 25%-group;Total population;2008;14.0;86.0;14.0;86.0
206;Income level: 2nd 25%-group;Total population;2009;15.0;85.0;15.0;85.0
207;Income level: 2nd 25%-group;Total population;2010 old method;17.0;83.0;17.0;83.0
208;Income level: 2nd 25%-group;Total population;2010 new method;18.0;82.0;17.0;83.0
209;Income level: 2nd 25%-group;Total population;2012;18.0;82.0;20.0;80.0
210;Income level: 2nd 25%-group;Gender: male;2003;13.0;87.0;15.0;85.0
211;Income level: 2nd 25%-group;Gender: male;2004;12.0;88.0;14.0;86.0
212;Income level: 2nd 25%-group;Gender: male;2005;15.0;85.0;15.0;85.0
213;Income level: 2nd 25%-group;Gender: male;2006;12.0;88.0;15.0;85.0
214;Income level: 2nd 25%-group;Gender: male;2007;12.0;88.0;13.0;87.0
215;Income level: 2nd 25%-group;Gender: male;2008;14.0;86.0;15.0;85.0
216;Income level: 2nd 25%-group;Gender: male;2009;13.0;87.0;14.0;86.0
217;Income level: 2nd 25%-group;Gender: male;2010 old method;15.0;85.0;19.0;81.0
218;Income level: 2nd 25%-group;Gender: male;2010 new method;16.0;84.0;16.0;84.0
219;Income level: 2nd 25%-group;Gender: male;2012;18.0;82.0;20.0;80.0
220;Income level: 2nd 25%-group;Gender: female;2003;16.0;84.0;16.0;84.0
221;Income level: 2nd 25%-group;Gender: female;2004;15.0;85.0;16.0;84.0
222;Income level: 2nd 25%-group;Gender: female;2005;14.0;86.0;14.0;86.0
223;Income level: 2nd 25%-group;Gender: female;2006;14.0;86.0;14.0;86.0
224;Income level: 2nd 25%-group;Gender: female;2007;14.0;86.0;15.0;85.0
225;Income level: 2nd 25%-group;Gender: female;2008;13.0;87.0;13.0;87.0
226;Income level: 2nd 25%-group;Gender: female;2009;17.0;83.0;16.0;84.0
227;Income level: 2nd 25%-group;Gender: female;2010 old method;19.0;81.0;15.0;85.0
228;Income level: 2nd 25%-group;Gender: female;2010 new method;19.0;81.0;18.0;82.0
229;Income level: 2nd 25%-group;Gender: female;2012;17.0;83.0;20.0;80.0
230;Income level: 2nd 25%-group;Age: 18 to 35 years;2003;9.0;91.0;11.0;89.0
231;Income level: 2nd 25%-group;Age: 18 to 35 years;2004;10.0;90.0;12.0;88.0
232;Income level: 2nd 25%-group;Age: 18 to 35 years;2005;11.0;89.0;14.0;86.0
233;Income level: 2nd 25%-group;Age: 18 to 35 years;2006;9.0;91.0;13.0;87.0
234;Income level: 2nd 25%-group;Age: 18 to 35 years;2007;10.0;90.0;13.0;87.0
235;Income level: 2nd 25%-group;Age: 18 to 35 years;2008;7.0;93.0;9.0;91.0
236;Income level: 2nd 25%-group;Age: 18 to 35 years;2009;12.0;88.0;13.0;87.0
237;Income level: 2nd 25%-group;Age: 18 to 35 years;2010 old method;15.0;85.0;14.0;86.0
238;Income level: 2nd 25%-group;Age: 18 to 35 years;2010 new method;12.0;88.0;15.0;85.0
239;Income level: 2nd 25%-group;Age: 18 to 35 years;2012;;;;
240;Income level: 2nd 25%-group;Age: 35 to 50 years;2003;15.0;85.0;18.0;82.0
241;Income level: 2nd 25%-group;Age: 35 to 50 years;2004;12.0;88.0;16.0;84.0
242;Income level: 2nd 25%-group;Age: 35 to 50 years;2005;11.0;89.0;12.0;88.0
243;Income level: 2nd 25%-group;Age: 35 to 50 years;2006;13.0;87.0;17.0;83.0
244;Income level: 2nd 25%-group;Age: 35 to 50 years;2007;10.0;90.0;11.0;89.0
245;Income level: 2nd 25%-group;Age: 35 to 50 years;2008;16.0;84.0;17.0;83.0
246;Income level: 2nd 25%-group;Age: 35 to 50 years;2009;15.0;85.0;17.0;83.0
247;Income level: 2nd 25%-group;Age: 35 to 50 years;2010 old method;12.0;88.0;18.0;82.0
248;Income level: 2nd 25%-group;Age: 35 to 50 years;2010 new method;18.0;82.0;13.0;87.0
249;Income level: 2nd 25%-group;Age: 35 to 50 years;2012;18.0;82.0;20.0;80.0
250;Income level: 2nd 25%-group;Age: 50 to 65 years;2003;18.0;82.0;18.0;82.0
251;Income level: 2nd 25%-group;Age: 50 to 65 years;2004;17.0;83.0;19.0;81.0
252;Income level: 2nd 25%-group;Age: 50 to 65 years;2005;20.0;80.0;21.0;79.0
253;Income level: 2nd 25%-group;Age: 50 to 65 years;2006;14.0;86.0;15.0;85.0
254;Income level: 2nd 25%-group;Age: 50 to 65 years;2007;16.0;84.0;15.0;85.0
255;Income level: 2nd 25%-group;Age: 50 to 65 years;2008;13.0;87.0;14.0;86.0
256;Income level: 2nd 25%-group;Age: 50 to 65 years;2009;15.0;85.0;15.0;85.0
257;Income level: 2nd 25%-group;Age: 50 to 65 years;2010 old method;21.0;79.0;19.0;81.0
258;Income level: 2nd 25%-group;Age: 50 to 65 years;2010 new method;19.0;81.0;19.0;81.0
259;Income level: 2nd 25%-group;Age: 50 to 65 years;2012;;;;
260;Income level: 2nd 25%-group;Age: 65 years or older;2003;18.0;82.0;14.0;86.0
261;Income level: 2nd 25%-group;Age: 65 years or older;2004;18.0;82.0;13.0;87.0
262;Income level: 2nd 25%-group;Age: 65 years or older;2005;18.0;82.0;13.0;87.0
263;Income level: 2nd 25%-group;Age: 65 years or older;2006;17.0;83.0;14.0;86.0
264;Income level: 2nd 25%-group;Age: 65 years or older;2007;17.0;83.0;17.0;83.0
265;Income level: 2nd 25%-group;Age: 65 years or older;2008;16.0;84.0;14.0;86.0
266;Income level: 2nd 25%-group;Age: 65 years or older;2009;18.0;82.0;14.0;86.0
267;Income level: 2nd 25%-group;Age: 65 years or older;2010 old method;21.0;79.0;16.0;84.0
268;Income level: 2nd 25%-group;Age: 65 years or older;2010 new method;21.0;79.0;17.0;83.0
269;Income level: 2nd 25%-group;Age: 65 years or older;2012;19.0;81.0;19.0;81.0
270;Income level: 2nd 25%-group;Origin: Native Dutch background;2003;14.0;86.0;14.0;86.0
271;Income level: 2nd 25%-group;Origin: Native Dutch background;2004;13.0;87.0;13.0;86.0
272;Income level: 2nd 25%-group;Origin: Native Dutch background;2005;14.0;86.0;14.0;86.0
273;Income level: 2nd 25%-group;Origin: Native Dutch background;2006;13.0;87.0;14.0;86.0
274;Income level: 2nd 25%-group;Origin: Native Dutch background;2007;12.0;88.0;13.0;87.0
275;Income level: 2nd 25%-group;Origin: Native Dutch background;2008;12.0;88.0;13.0;87.0
276;Income level: 2nd 25%-group;Origin: Native Dutch background;2009;13.0;87.0;13.0;87.0
277;Income level: 2nd 25%-group;Origin: Native Dutch background;2010 old method;14.0;86.0;17.0;83.0
278;Income level: 2nd 25%-group;Origin: Native Dutch background;2010 new method;16.0;84.0;16.0;84.0
279;Income level: 2nd 25%-group;Origin: Native Dutch background;2012;18.0;82.0;19.0;81.0
280;Income level: 2nd 25%-group;Origin: Foreign western background;2003;17.0;83.0;16.0;84.0
281;Income level: 2nd 25%-group;Origin: Foreign western background;2004;14.0;86.0;17.0;83.0
282;Income level: 2nd 25%-group;Origin: Foreign western background;2005;15.0;85.0;14.0;86.0
283;Income level: 2nd 25%-group;Origin: Foreign western background;2006;14.0;86.0;18.0;82.0
284;Income level: 2nd 25%-group;Origin: Foreign western background;2007;15.0;85.0;13.0;87.0
285;Income level: 2nd 25%-group;Origin: Foreign western background;2008;15.0;85.0;12.0;88.0
286;Income level: 2nd 25%-group;Origin: Foreign western background;2009;17.0;83.0;19.0;81.0
287;Income level: 2nd 25%-group;Origin: Foreign western background;2010 old method;;;;
288;Income level: 2nd 25%-group;Origin: Foreign western background;2010 new method;;;;
289;Income level: 2nd 25%-group;Origin: Foreign western background;2012;;;;
290;Income level: 2nd 25%-group;Origin: Foreign non-western background;2003;24.0;76.0;23.0;77.0
291;Income level: 2nd 25%-group;Origin: Foreign non-western background;2004;27.0;73.0;26.0;74.0
292;Income level: 2nd 25%-group;Origin: Foreign non-western background;2005;21.0;79.0;21.0;79.0
293;Income level: 2nd 25%-group;Origin: Foreign non-western background;2006;16.0;84.0;22.0;78.0
294;Income level: 2nd 25%-group;Origin: Foreign non-western background;2007;27.0;73.0;21.0;79.0
295;Income level: 2nd 25%-group;Origin: Foreign non-western background;2008;24.0;76.0;22.0;78.0
296;Income level: 2nd 25%-group;Origin: Foreign non-western background;2009;26.0;74.0;29.0;71.0
297;Income level: 2nd 25%-group;Origin: Foreign non-western background;2010 old method;;;;
298;Income level: 2nd 25%-group;Origin: Foreign non-western background;2010 new method;;;;
299;Income level: 2nd 25%-group;Origin: Foreign non-western background;2012;;;;
300;Income level: 3rd 25%-group;Total population;2003;11.0;89.0;12.0;88.0
301;Income level: 3rd 25%-group;Total population;2004;11.0;89.0;12.0;88.0
302;Income level: 3rd 25%-group;Total population;2005;11.0;89.0;12.0;88.0
303;Income level: 3rd 25%-group;Total population;2006;11.0;89.0;12.0;88.0
304;Income level: 3rd 25%-group;Total population;2007;11.0;89.0;11.0;89.0
305;Income level: 3rd 25%-group;Total population;2008;10.0;90.0;10.0;90.0
306;Income level: 3rd 25%-group;Total population;2009;10.0;90.0;11.0;89.0
307;Income level: 3rd 25%-group;Total population;2010 old method;11.0;89.0;13.0;87.0
308;Income level: 3rd 25%-group;Total population;2010 new method;14.0;86.0;14.0;86.0
309;Income level: 3rd 25%-group;Total population;2012;16.0;84.0;15.0;85.0
310;Income level: 3rd 25%-group;Gender: male;2003;11.0;89.0;12.0;88.0
311;Income level: 3rd 25%-group;Gender: male;2004;11.0;89.0;12.0;88.0
312;Income level: 3rd 25%-group;Gender: male;2005;11.0;89.0;13.0;87.0
313;Income level: 3rd 25%-group;Gender: male;2006;10.0;90.0;11.0;89.0
314;Income level: 3rd 25%-group;Gender: male;2007;9.0;91.0;11.0;89.0
315;Income level: 3rd 25%-group;Gender: male;2008;10.0;90.0;9.0;91.0
316;Income level: 3rd 25%-group;Gender: male;2009;9.0;91.0;10.0;90.0
317;Income level: 3rd 25%-group;Gender: male;2010 old method;10.0;90.0;11.0;89.0
318;Income level: 3rd 25%-group;Gender: male;2010 new method;12.0;88.0;14.0;86.0
319;Income level: 3rd 25%-group;Gender: male;2012;17.0;83.0;16.0;84.0
320;Income level: 3rd 25%-group;Gender: female;2003;11.0;89.0;12.0;88.0
321;Income level: 3rd 25%-group;Gender: female;2004;11.0;89.0;12.0;88.0
322;Income level: 3rd 25%-group;Gender: female;2005;11.0;89.0;12.0;88.0
323;Income level: 3rd 25%-group;Gender: female;2006;12.0;88.0;13.0;87.0
324;Income level: 3rd 25%-group;Gender: female;2007;12.0;88.0;12.0;88.0
325;Income level: 3rd 25%-group;Gender: female;2008;10.0;90.0;11.0;89.0
326;Income level: 3rd 25%-group;Gender: female;2009;10.0;90.0;12.0;88.0
327;Income level: 3rd 25%-group;Gender: female;2010 old method;12.0;88.0;15.0;85.0
328;Income level: 3rd 25%-group;Gender: female;2010 new method;16.0;84.0;14.0;86.0
329;Income level: 3rd 25%-group;Gender: female;2012;14.0;86.0;14.0;86.0
330;Income level: 3rd 25%-group;Age: 18 to 35 years;2003;7.0;93.0;9.0;91.0
331;Income level: 3rd 25%-group;Age: 18 to 35 years;2004;8.0;92.0;10.0;90.0
332;Income level: 3rd 25%-group;Age: 18 to 35 years;2005;9.0;91.0;13.0;87.0
333;Income level: 3rd 25%-group;Age: 18 to 35 years;2006;6.0;94.0;10.0;90.0
334;Income level: 3rd 25%-group;Age: 18 to 35 years;2007;8.0;92.0;8.0;92.0
335;Income level: 3rd 25%-group;Age: 18 to 35 years;2008;7.0;93.0;8.0;92.0
336;Income level: 3rd 25%-group;Age: 18 to 35 years;2009;8.0;92.0;11.0;89.0
337;Income level: 3rd 25%-group;Age: 18 to 35 years;2010 old method;7.0;93.0;8.0;92.0
338;Income level: 3rd 25%-group;Age: 18 to 35 years;2010 new method;11.0;89.0;12.0;88.0
339;Income level: 3rd 25%-group;Age: 18 to 35 years;2012;11.0;89.0;12.0;88.0
