ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheid_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidOpleidingskansen_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenheidDagelijkseBezigheden_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;ScoreTevredenheidFinancieleSituatie_17;Ontevreden_18;NietTevredenNietOntevreden_19;Tevreden_20
13;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;0.1;0.6;1.4;1.5;0.1;0.6;1.5;1.6;0.1;1.0;2.0;2.1;0.1;0.9;1.7;1.9;0.1;1.3;2.1;2.3
14;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2021;0.1;0.6;1.3;1.5;0.1;0.6;1.5;1.6;0.1;1.1;2.1;2.3;0.1;0.8;1.6;1.7;0.1;1.2;2.1;2.3
15;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2013;0.1;1.0;2.2;2.4;0.1;1.4;2.5;2.8;;;;;;;;;;;;
16;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2017/2018;0.1;0.7;1.8;1.9;0.1;0.8;1.9;2.0;0.1;1.1;2.5;2.6;0.1;1.0;2.1;2.3;0.1;1.5;2.7;2.9
17;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2021;0.1;0.8;1.9;2.0;0.1;0.8;2.2;2.4;0.1;1.5;3.0;3.2;0.1;1.0;2.2;2.4;0.1;1.5;2.9;3.1
18;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2013;0.3;4.0;4.8;6.0;0.3;3.8;5.2;6.2;;;;;;;;;;;;
19;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;0.2;1.3;2.8;3.1;0.2;;3.4;3.6;0.2;2.0;4.5;4.7;0.2;2.3;3.9;4.3;0.2;2.7;4.6;4.9
20;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2021;0.1;1.0;2.3;2.5;0.1;1.0;2.1;2.3;0.2;1.8;3.8;4.0;0.1;1.3;2.6;2.8;0.2;2.1;4.0;4.3
21;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2013;0.2;;5.5;5.5;0.3;2.8;5.7;6.2;;;;;;;;;;;;
22;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2017/2018;0.2;1.5;3.1;3.4;0.2;1.9;3.3;3.7;0.3;3.3;4.4;5.2;0.2;2.6;3.8;4.4;0.3;4.3;5.5;6.1
23;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2021;0.2;1.6;3.1;3.5;0.2;2.0;3.4;3.8;0.3;3.2;4.8;5.4;0.2;2.7;3.9;4.5;0.2;3.7;5.2;5.7
24;Geslacht: mannen;Percentage;Caribisch Nederland;2013;8.0;2.9;11.4;85.7;7.7;5.5;14.5;80.0;;;;;;;;;;;;
25;Geslacht: mannen;Percentage;Caribisch Nederland;2017/2018;8.1;1.6;10.0;88.4;8.0;1.6;11.9;86.5;7.5;4.4;22.8;72.8;7.7;3.7;15.2;81.1;7.0;8.4;26.4;65.2
26;Geslacht: mannen;Percentage;Caribisch Nederland;2021;8.1;1.5;9.0;89.5;8.1;1.8;9.0;89.2;7.4;3.7;23.5;72.9;7.9;2.6;10.9;86.5;7.2;6.3;21.4;72.2
27;Geslacht: mannen;Percentage;Bonaire;2013;8.0;2.0;11.9;86.1;7.7;5.3;15.1;79.6;;;;;;;;;;;;
28;Geslacht: mannen;Percentage;Bonaire;2017/2018;8.1;1.7;10.5;87.8;8.0;1.9;12.0;86.2;7.4;3.6;23.0;73.4;7.8;3.3;14.1;82.7;7.1;7.1;25.8;67.1
29;Geslacht: mannen;Percentage;Bonaire;2021;8.1;1.4;8.9;89.7;7.9;1.5;10.6;87.9;7.4;3.4;23.2;73.4;7.8;2.2;12.7;85.1;7.3;5.5;20.3;74.3
30;Geslacht: mannen;Percentage;Sint-Eustatius;2013;7.7;8.0;8.4;83.7;7.7;6.9;11.1;82.0;;;;;;;;;;;;
31;Geslacht: mannen;Percentage;Sint-Eustatius;2017/2018;8.0;;10.8;87.9;7.9;;15.8;83.3;7.4;3.2;26.9;69.9;7.5;4.2;18.7;77.1;7.0;8.1;29.0;62.9
32;Geslacht: mannen;Percentage;Sint-Eustatius;2021;8.3;;7.8;90.9;8.3;1.5;5.5;93.1;7.6;2.2;22.2;75.6;8.0;2.4;8.2;89.4;7.2;6.0;24.3;69.7
33;Geslacht: mannen;Percentage;Saba;2013;7.9;;13.0;87.0;7.8;;16.1;79.2;;;;;;;;;;;;
34;Geslacht: mannen;Percentage;Saba;2017/2018;8.3;;6.6;91.9;8.2;;5.4;93.0;7.6;9.8;15.2;75.0;7.8;4.6;13.9;81.5;6.7;14.1;24.9;61.0
35;Geslacht: mannen;Percentage;Saba;2021;8.2;;8.9;89.4;8.1;3.6;6.9;89.5;7.4;7.0;26.4;66.6;8.2;4.0;10.3;85.8;7.2;9.4;20.1;70.6
36;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;0.1;1.4;2.6;2.9;0.2;1.9;2.9;3.3;;;;;;;;;;;;
37;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;0.1;0.8;2.0;2.2;0.1;0.8;2.2;2.3;0.1;1.4;2.9;3.0;0.1;1.3;2.5;2.7;0.1;1.9;3.0;3.2
38;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;0.1;0.9;2.1;2.2;0.1;1.0;2.1;2.3;0.1;1.3;3.0;3.2;0.1;1.1;2.2;2.4;0.1;1.7;2.9;3.2
39;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2013;0.2;1.4;3.1;3.4;0.2;2.2;3.4;3.9;;;;;;;;;;;;
40;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2017/2018;0.1;1.1;2.6;2.8;0.1;1.2;2.8;3.0;0.2;1.6;3.7;3.9;0.1;1.5;3.0;3.3;0.2;2.2;3.8;4.1
41;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2021;0.1;1.2;2.8;3.0;0.1;1.2;3.0;3.2;0.2;1.8;4.2;4.4;0.2;1.5;3.3;3.5;0.2;2.3;4.0;4.3
42;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;0.5;6.2;6.4;8.5;0.5;5.8;7.3;8.9;;;;;;;;;;;;
43;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;0.2;;4.4;4.6;0.2;;5.1;5.2;0.2;2.5;6.2;6.4;0.2;2.8;5.4;5.9;0.2;3.8;6.4;6.8
44;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;0.2;;3.4;3.7;0.2;1.5;2.9;3.3;0.2;1.9;5.4;5.5;0.2;2.0;3.5;4.0;0.2;3.1;5.6;6.0
45;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2013;0.3;;7.7;7.7;0.4;;8.4;9.3;;;;;;;;;;;;
46;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2017/2018;0.3;;4.3;4.8;0.2;;3.9;4.5;0.4;5.2;6.3;7.6;0.3;3.7;6.1;6.8;0.4;6.1;7.6;8.5
47;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2021;0.3;;4.8;5.2;0.3;3.2;4.3;5.2;0.4;4.3;7.5;8.0;0.3;3.3;5.1;5.9;0.3;4.9;6.7;7.7
48;Geslacht: vrouwen;Percentage;Caribisch Nederland;2013;8.1;2.0;10.1;87.9;7.8;2.8;14.7;82.5;;;;;;;;;;;;
49;Geslacht: vrouwen;Percentage;Caribisch Nederland;2017/2018;8.2;1.5;7.4;91.1;8.1;1.6;8.7;89.7;7.6;3.9;17.9;78.2;7.8;3.4;13.1;83.5;7.1;6.8;26.0;67.2
50;Geslacht: vrouwen;Percentage;Caribisch Nederland;2021;8.3;1.4;6.2;92.4;8.0;1.4;9.7;88.9;7.5;6.5;19.1;74.5;7.9;2.8;10.2;87.0;7.2;5.7;24.3;70.0
51;Geslacht: vrouwen;Percentage;Bonaire;2013;8.1;2.0;9.8;88.2;7.7;2.7;16.3;81.0;;;;;;;;;;;;
52;Geslacht: vrouwen;Percentage;Bonaire;2017/2018;8.1;1.2;7.8;91.0;8.1;1.2;7.5;91.3;7.7;3.1;15.7;81.2;7.9;1.7;12.3;86.0;7.2;5.0;23.2;71.8
53;Geslacht: vrouwen;Percentage;Bonaire;2021;8.1;1.3;6.0;92.7;7.9;1.2;11.8;87.0;7.4;5.9;20.3;73.8;7.9;2.1;9.3;88.5;7.4;3.1;20.6;76.3
54;Geslacht: vrouwen;Percentage;Sint-Eustatius;2013;8.3;;8.8;88.2;8.0;;8.7;87.9;;;;;;;;;;;;
55;Geslacht: vrouwen;Percentage;Sint-Eustatius;2017/2018;8.0;;6.5;91.2;7.9;;11.0;87.2;7.2;5.4;26.2;68.4;7.4;6.6;19.4;74.0;6.9;7.2;31.8;61.0
56;Geslacht: vrouwen;Percentage;Sint-Eustatius;2021;8.5;;5.9;92.9;8.3;;6.0;93.0;7.6;5.9;20.0;74.1;8.0;;9.0;89.5;7.2;5.4;25.3;69.3
57;Geslacht: vrouwen;Percentage;Saba;2013;8.0;;14.5;85.5;8.0;;12.7;85.5;;;;;;;;;;;;
58;Geslacht: vrouwen;Percentage;Saba;2017/2018;8.4;;6.9;91.5;8.2;3.2;9.7;87.2;7.8;5.0;14.0;81.0;8.0;4.8;7.1;88.1;6.8;13.1;28.3;58.6
59;Geslacht: vrouwen;Percentage;Saba;2021;8.1;;6.2;91.8;8.0;;10.6;87.4;7.6;9.0;14.0;77.0;7.7;6.7;14.4;78.9;6.6;13.2;32.6;54.3
60;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;0.1;1.2;2.6;2.9;0.2;1.4;3.1;3.3;;;;;;;;;;;;
61;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;0.1;0.8;1.8;2.0;0.1;0.9;2.0;2.1;0.1;1.4;2.7;2.9;0.1;1.3;2.4;2.6;0.1;1.8;3.1;3.3
62;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;0.1;0.8;1.7;1.9;0.1;0.8;2.1;2.2;0.1;1.8;2.9;3.2;0.1;1.2;2.2;2.5;0.1;1.7;3.1;3.3
63;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2013;0.2;1.4;3.0;3.3;0.2;1.7;3.8;4.0;;;;;;;;;;;;
64;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2017/2018;0.1;1.0;2.4;2.6;0.1;1.0;2.4;2.5;0.2;1.5;3.3;3.5;0.1;1.2;3.0;3.2;0.2;2.0;3.8;4.0
65;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2021;0.1;1.2;2.4;2.7;0.1;1.1;3.3;3.4;0.2;2.4;4.1;4.5;0.2;1.5;3.0;3.3;0.2;1.8;4.1;4.4
66;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;0.5;;7.3;8.3;0.5;;7.3;8.4;;;;;;;;;;;;
67;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;0.2;;3.6;4.1;0.2;;4.5;4.9;0.2;3.3;6.4;6.8;0.3;3.6;5.7;6.4;0.3;3.7;6.7;7.1
68;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;0.2;;3.1;3.4;0.2;;3.1;3.3;0.2;3.1;5.3;5.8;0.2;;3.8;4.0;0.2;3.0;5.7;6.1
69;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2013;0.3;;8.0;8.0;0.4;;7.6;8.0;;;;;;;;;;;;
70;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2017/2018;0.3;;4.5;4.9;0.3;3.1;5.2;5.9;0.4;3.8;6.1;6.9;0.3;3.7;4.5;5.7;0.4;5.9;7.9;8.6
71;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2021;0.3;;4.0;4.6;0.3;;5.2;5.6;0.4;4.8;5.9;7.1;0.3;4.2;5.9;6.8;0.4;5.7;7.9;8.4
72;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2013;7.9;2.3;10.5;87.2;7.7;3.3;14.9;81.8;;;;;;;;;;;;
73;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2017/2018;8.1;1.0;8.1;90.9;8.0;1.2;10.8;88.0;7.5;4.1;17.7;78.2;7.7;3.1;14.4;82.5;7.1;7.5;26.6;65.9
74;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2021;8.2;1.5;6.1;92.4;8.0;1.5;8.8;89.7;7.5;4.9;19.4;75.7;7.9;2.4;11.2;86.4;7.3;5.2;21.3;73.6
75;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2013;8.0;1.9;9.5;88.6;7.7;3.1;15.8;81.1;;;;;;;;;;;;
76;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2017/2018;8.2;1.2;7.8;91.0;8.0;1.6;10.0;88.5;7.6;3.6;17.0;79.4;7.9;1.5;14.5;84.0;7.2;5.1;25.5;69.4
77;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2021;8.1;1.7;5.4;92.9;7.9;1.1;10.0;88.9;7.3;4.5;22.4;73.1;7.8;;10.6;88.4;7.5;3.1;16.2;80.7
78;Leeftijd: 15 tot 45 jaar;Percentage;Sint-Eustatius;2013;7.7;5.3;13.9;80.9;7.8;;9.5;86.1;;;;;;;;;;;;
79;Leeftijd: 15 tot 45 jaar;Percentage;Sint-Eustatius;2017/2018;7.9;;11.8;88.3;7.9;;14.4;85.6;7.3;5.3;21.0;73.7;7.4;5.4;16.8;77.8;6.9;8.3;29.2;62.6
80;Leeftijd: 15 tot 45 jaar;Percentage;Sint-Eustatius;2021;8.4;;7.0;92.1;8.2;;6.1;92.8;7.8;3.1;14.4;82.5;8.0;1.9;11.7;86.5;7.1;5.7;28.6;65.7
81;Leeftijd: 15 tot 45 jaar;Percentage;Saba;2013;7.9;;12.1;87.9;7.9;;17.1;80.0;;;;;;;;;;;;
82;Leeftijd: 15 tot 45 jaar;Percentage;Saba;2017/2018;8.2;;4.6;94.0;8.0;;9.2;89.5;7.7;4.4;15.7;79.9;7.7;5.1;11.0;84.0;6.7;14.2;27.2;58.6
83;Leeftijd: 15 tot 45 jaar;Percentage;Saba;2021;8.0;;7.3;90.7;7.9;3.1;11.4;85.6;7.4;9.1;19.5;71.4;7.9;6.5;12.1;81.4;7.0;9.8;22.9;67.3
84;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2013;0.1;1.3;2.6;2.8;0.1;1.5;3.0;3.3;;;;;;;;;;;;
85;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;0.1;0.7;1.9;2.0;0.1;0.7;2.2;2.3;0.1;1.4;2.7;2.9;0.1;1.2;2.5;2.6;0.1;1.8;3.1;3.3
86;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2021;0.1;0.9;1.8;2.0;0.1;0.9;2.2;2.3;0.1;1.6;2.9;3.2;0.1;1.1;2.3;2.5;0.1;1.6;3.0;3.3
87;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Bonaire;2013;0.1;1.4;2.9;3.2;0.2;1.7;3.6;3.9;;;;;;;;;;;;
88;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Bonaire;2017/2018;0.1;1.0;2.4;2.6;0.1;1.1;2.7;2.9;0.2;1.7;3.4;3.7;0.1;1.1;3.2;3.4;0.2;2.0;3.9;4.2
89;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Bonaire;2021;0.1;1.3;2.4;2.7;0.1;1.1;3.1;3.3;0.2;2.2;4.3;4.6;0.2;;3.2;3.3;0.2;1.8;3.8;4.1
90;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2013;0.4;5.3;8.3;9.4;0.4;;7.0;8.3;;;;;;;;;;;;
91;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;0.2;;4.7;4.7;0.2;;5.1;5.1;0.2;3.3;5.9;6.4;0.2;3.3;5.4;6.1;0.3;4.0;6.7;7.1
92;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2021;0.2;;3.4;3.6;0.2;;3.2;3.4;0.2;2.3;4.7;5.1;0.2;1.8;4.3;4.6;0.2;3.1;6.1;6.4
93;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Saba;2013;0.3;;6.6;6.6;0.4;;7.6;8.1;;;;;;;;;;;;
94;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Saba;2017/2018;0.2;;3.4;3.9;0.2;;4.7;5.0;0.3;3.4;6.0;6.6;0.3;3.6;5.1;6.0;0.4;5.7;7.3;8.1
95;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Saba;2021;0.3;;4.4;4.9;0.3;2.9;5.3;5.9;0.4;4.8;6.7;7.6;0.3;4.1;5.5;6.5;0.3;5.0;7.1;7.9
96;Leeftijd: 45 jaar of ouder;Percentage;Caribisch Nederland;2013;8.1;2.7;11.1;86.3;7.8;5.2;14.3;80.6;;;;;;;;;;;;
97;Leeftijd: 45 jaar of ouder;Percentage;Caribisch Nederland;2017/2018;8.1;2.1;9.3;88.6;8.0;2.1;9.9;88.1;7.5;4.3;23.1;72.7;7.8;4.0;14.0;82.0;7.0;7.8;25.7;66.5
98;Leeftijd: 45 jaar of ouder;Percentage;Caribisch Nederland;2021;8.2;1.4;8.7;89.8;8.1;1.7;9.8;88.5;7.4;5.1;23.0;71.9;8.0;3.0;9.9;87.1;7.1;6.8;24.3;68.9
99;Leeftijd: 45 jaar of ouder;Percentage;Bonaire;2013;8.1;2.1;12.4;85.5;7.7;5.0;15.5;79.5;;;;;;;;;;;;
100;Leeftijd: 45 jaar of ouder;Percentage;Bonaire;2017/2018;8.0;1.7;10.6;87.8;8.0;1.5;9.7;88.8;7.5;3.1;21.8;75.1;7.9;3.5;12.1;84.5;7.1;7.0;23.5;69.6
101;Leeftijd: 45 jaar of ouder;Percentage;Bonaire;2021;8.1;1.0;9.4;89.6;7.9;1.6;12.2;86.2;7.4;4.7;21.3;74.1;7.8;3.2;11.5;85.3;7.2;5.5;24.1;70.4
102;Leeftijd: 45 jaar of ouder;Percentage;Sint-Eustatius;2013;8.2;6.3;;90.9;7.8;6.3;10.6;83.1;;;;;;;;;;;;
103;Leeftijd: 45 jaar of ouder;Percentage;Sint-Eustatius;2017/2018;8.1;3.4;6.0;90.6;7.9;2.6;12.6;84.8;7.3;3.3;31.9;64.8;7.5;5.3;21.1;73.6;7.0;7.1;31.5;61.4
104;Leeftijd: 45 jaar of ouder;Percentage;Sint-Eustatius;2021;8.4;1.7;6.7;91.7;8.3;;5.4;93.3;7.3;4.8;27.2;68.0;8.1;2.0;5.9;92.1;7.3;5.7;21.3;72.9
105;Leeftijd: 45 jaar of ouder;Percentage;Saba;2013;8.1;;16.6;83.4;8.0;;9.8;86.5;;;;;;;;;;;;
106;Leeftijd: 45 jaar of ouder;Percentage;Saba;2017/2018;8.5;;9.6;88.6;8.4;3.9;5.2;90.8;7.7;11.5;13.0;75.5;8.3;4.2;9.9;85.9;6.9;12.8;25.8;61.4
107;Leeftijd: 45 jaar of ouder;Percentage;Saba;2021;8.3;;7.8;90.5;8.2;2.6;6.1;91.3;7.6;7.0;20.8;72.2;8.0;4.2;12.6;83.2;6.8;12.7;29.7;57.6
108;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Caribisch Nederland;2013;0.2;1.4;2.7;3.0;0.2;1.9;3.0;3.4;;;;;;;;;;;;
109;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;0.1;1.0;2.0;2.2;0.1;1.0;2.0;2.2;0.1;1.4;2.9;3.1;0.1;1.4;2.4;2.6;0.1;1.8;3.0;3.2
110;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Caribisch Nederland;2021;0.1;0.8;1.9;2.0;0.1;0.9;2.0;2.2;0.1;1.5;3.0;3.2;0.1;1.2;2.1;2.4;0.1;1.8;3.0;3.3
111;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Bonaire;2013;0.2;1.4;3.3;3.5;0.2;2.2;3.6;4.0;;;;;;;;;;;;
112;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Bonaire;2017/2018;0.1;1.1;2.6;2.8;0.1;1.0;2.5;2.7;0.2;1.5;3.6;3.8;0.1;1.6;2.8;3.1;0.2;2.2;3.7;4.0
113;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Bonaire;2021;0.1;1.0;2.8;3.0;0.1;1.2;3.2;3.4;0.2;2.1;4.0;4.3;0.2;1.7;3.1;3.5;0.2;2.2;4.2;4.4
114;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Sint-Eustatius;2013;0.5;6.0;;7.1;0.5;6.0;7.6;9.2;;;;;;;;;;;;
115;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;0.2;2.5;3.3;4.1;0.2;2.2;4.6;5.0;0.2;2.5;6.6;6.7;0.3;3.1;5.7;6.1;0.3;3.6;6.5;6.8
116;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Sint-Eustatius;2021;0.2;1.6;3.2;3.5;0.2;;2.9;3.2;0.2;2.7;5.6;5.9;0.2;1.8;3.0;3.4;0.2;3.0;5.2;5.7
117;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Saba;2013;0.4;;10.0;10.0;0.5;;8.0;9.2;;;;;;;;;;;;
118;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Saba;2017/2018;0.3;;5.6;6.0;0.3;3.7;4.2;5.5;0.5;6.1;6.4;8.2;0.4;3.8;5.7;6.6;0.4;6.3;8.3;9.2
119;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Saba;2021;0.3;;4.5;4.9;0.3;2.6;4.0;4.7;0.4;4.3;6.9;7.6;0.3;3.4;5.6;6.3;0.4;5.5;7.6;8.3
120;Leeftijd: 15 tot 25 jaar;Percentage;Caribisch Nederland;2013;7.9;2.5;10.2;87.3;7.8;;19.6;79.3;;;;;;;;;;;;
121;Leeftijd: 15 tot 25 jaar;Percentage;Caribisch Nederland;2017/2018;8.2;;7.8;91.3;8.1;;8.2;90.6;7.5;4.4;17.7;77.8;7.8;2.4;11.0;86.7;7.5;4.6;22.9;72.4
122;Leeftijd: 15 tot 25 jaar;Percentage;Caribisch Nederland;2021;8.2;;10.4;88.4;8.1;;12.2;86.6;7.6;5.4;18.6;76.0;8.0;;10.1;88.7;7.7;3.5;16.7;79.8
123;Leeftijd: 15 tot 25 jaar;Percentage;Bonaire;2013;8.0;;7.6;89.8;7.8;;18.9;80.4;;;;;;;;;;;;
124;Leeftijd: 15 tot 25 jaar;Percentage;Bonaire;2017/2018;8.3;;6.2;93.8;8.2;;6.4;92.8;7.4;4.8;17.8;77.4;7.9;;11.4;86.9;7.7;3.7;18.1;78.1
125;Leeftijd: 15 tot 25 jaar;Percentage;Bonaire;2021;8.0;;10.5;86.8;8.0;;16.3;82.2;7.2;10.7;17.8;71.6;7.9;;9.7;89.1;7.9;;10.3;86.3
126;Leeftijd: 15 tot 25 jaar;Percentage;Sint-Eustatius;2013;;;;;;;;;;;;;;;;;;;;
127;Leeftijd: 15 tot 25 jaar;Percentage;Sint-Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;
128;Leeftijd: 15 tot 25 jaar;Percentage;Sint-Eustatius;2021;8.5;;10.3;89.7;8.6;;;94.9;8.0;0.0;15.7;84.3;8.1;;9.0;89.1;7.2;;29.7;66.6
129;Leeftijd: 15 tot 25 jaar;Percentage;Saba;2013;;;;;;;;;;;;;;;;;;;;
130;Leeftijd: 15 tot 25 jaar;Percentage;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;
