ID;Functions;Providers;Periods;HealthCareExpenditure_1
193;HC11: In-patient curative care;HP13: Specialised hospitals;2022;261
194;HC11: In-patient curative care;HP13: Specialised hospitals;2023;280
195;HC11: In-patient curative care;HP2: Nursing and residential care facil.;2021;238
196;HC11: In-patient curative care;HP2: Nursing and residential care facil.;2022;241
197;HC11: In-patient curative care;HP2: Nursing and residential care facil.;2023;258
198;HC11: In-patient curative care;HP21: Nursing care facilities;2021;185
199;HC11: In-patient curative care;HP21: Nursing care facilities;2022;189
200;HC11: In-patient curative care;HP21: Nursing care facilities;2023;202
201;HC11: In-patient curative care;HP22-29: Facilities for the disabled;2021;53
202;HC11: In-patient curative care;HP22-29: Facilities for the disabled;2022;52
203;HC11: In-patient curative care;HP22-29: Facilities for the disabled;2023;56
204;HC11: In-patient curative care;HP3: Providers of ambulatory health care;2021;264
205;HC11: In-patient curative care;HP3: Providers of ambulatory health care;2022;285
206;HC11: In-patient curative care;HP3: Providers of ambulatory health care;2023;309
207;HC11: In-patient curative care;HP31: Medical practices;2021;0
208;HC11: In-patient curative care;HP31: Medical practices;2022;0
209;HC11: In-patient curative care;HP31: Medical practices;2023;0
210;HC11: In-patient curative care;HP32: Dental practices;2021;0
211;HC11: In-patient curative care;HP32: Dental practices;2022;0
212;HC11: In-patient curative care;HP32: Dental practices;2023;0
213;HC11: In-patient curative care;HP33 : Other health care practitioners;2021;2
214;HC11: In-patient curative care;HP33 : Other health care practitioners;2022;2
215;HC11: In-patient curative care;HP33 : Other health care practitioners;2023;3
216;HC11: In-patient curative care;HP34: Ambulatory health care centres;2021;256
217;HC11: In-patient curative care;HP34: Ambulatory health care centres;2022;283
218;HC11: In-patient curative care;HP34: Ambulatory health care centres;2023;306
219;HC11: In-patient curative care;HP35: Providers home healthcare services;2021;6
220;HC11: In-patient curative care;HP35: Providers home healthcare services;2022;0
221;HC11: In-patient curative care;HP35: Providers home healthcare services;2023;0
222;HC11: In-patient curative care;HP4: Providers of ancillary services;2021;0
223;HC11: In-patient curative care;HP4: Providers of ancillary services;2022;0
224;HC11: In-patient curative care;HP4: Providers of ancillary services;2023;0
225;HC11: In-patient curative care;HP41: Patient transportation, emergency;2021;0
226;HC11: In-patient curative care;HP41: Patient transportation, emergency;2022;0
227;HC11: In-patient curative care;HP41: Patient transportation, emergency;2023;0
228;HC11: In-patient curative care;HP42-49: Laboratories, other anc. serv.;2021;0
229;HC11: In-patient curative care;HP42-49: Laboratories, other anc. serv.;2022;0
230;HC11: In-patient curative care;HP42-49: Laboratories, other anc. serv.;2023;0
231;HC11: In-patient curative care;HP5: Retailers of medical goods;2021;0
232;HC11: In-patient curative care;HP5: Retailers of medical goods;2022;0
233;HC11: In-patient curative care;HP5: Retailers of medical goods;2023;0
234;HC11: In-patient curative care;HP51: Pharmacies;2021;0
235;HC11: In-patient curative care;HP51: Pharmacies;2022;0
236;HC11: In-patient curative care;HP51: Pharmacies;2023;0
237;HC11: In-patient curative care;HP52-59 : Suppl. med. appliances, other;2021;0
238;HC11: In-patient curative care;HP52-59 : Suppl. med. appliances, other;2022;0
239;HC11: In-patient curative care;HP52-59 : Suppl. med. appliances, other;2023;0
240;HC11: In-patient curative care;HP6: Providers of preventive care;2021;21
241;HC11: In-patient curative care;HP6: Providers of preventive care;2022;27
242;HC11: In-patient curative care;HP6: Providers of preventive care;2023;29
243;HC11: In-patient curative care;HP7: Healthcare adm. and financ.;2021;1
244;HC11: In-patient curative care;HP7: Healthcare adm. and financ.;2022;0
245;HC11: In-patient curative care;HP7: Healthcare adm. and financ.;2023;0
246;HC11: In-patient curative care;HP71: Government health administration;2021;0
247;HC11: In-patient curative care;HP71: Government health administration;2022;0
248;HC11: In-patient curative care;HP71: Government health administration;2023;0
249;HC11: In-patient curative care;HP72: Social health insurance agencies;2021;0
250;HC11: In-patient curative care;HP72: Social health insurance agencies;2022;0
251;HC11: In-patient curative care;HP72: Social health insurance agencies;2023;0
252;HC11: In-patient curative care;HP73: Providers of health insurance;2021;0
253;HC11: In-patient curative care;HP73: Providers of health insurance;2022;0
254;HC11: In-patient curative care;HP73: Providers of health insurance;2023;0
255;HC11: In-patient curative care;HP79: Other administration agencies;2021;1
256;HC11: In-patient curative care;HP79: Other administration agencies;2022;0
257;HC11: In-patient curative care;HP79: Other administration agencies;2023;0
258;HC11: In-patient curative care;HP8: Rest of economy;2021;157
259;HC11: In-patient curative care;HP8: Rest of economy;2022;160
260;HC11: In-patient curative care;HP8: Rest of economy;2023;164
261;HC11: In-patient curative care;HP81: Households prov. home health care;2021;0
262;HC11: In-patient curative care;HP81: Households prov. home health care;2022;0
263;HC11: In-patient curative care;HP81: Households prov. home health care;2023;0
264;HC11: In-patient curative care;HP82: Secondary providers of health care;2021;157
265;HC11: In-patient curative care;HP82: Secondary providers of health care;2022;160
266;HC11: In-patient curative care;HP82: Secondary providers of health care;2023;164
267;HC11: In-patient curative care;HP9: Rest of the world;2021;155
268;HC11: In-patient curative care;HP9: Rest of the world;2022;256
269;HC11: In-patient curative care;HP9: Rest of the world;2023;263
270;HC12: Day cases of curative care;Total health care providers;2021;2685
271;HC12: Day cases of curative care;Total health care providers;2022;2911
272;HC12: Day cases of curative care;Total health care providers;2023;3161
273;HC12: Day cases of curative care;HP1: Hospitals;2021;2505
274;HC12: Day cases of curative care;HP1: Hospitals;2022;2711
275;HC12: Day cases of curative care;HP1: Hospitals;2023;2939
276;HC12: Day cases of curative care;HP11: General and university hospitals;2021;2407
277;HC12: Day cases of curative care;HP11: General and university hospitals;2022;2609
278;HC12: Day cases of curative care;HP11: General and university hospitals;2023;2829
279;HC12: Day cases of curative care;HP12: Mental health institutions,;2021;0
280;HC12: Day cases of curative care;HP12: Mental health institutions,;2022;0
281;HC12: Day cases of curative care;HP12: Mental health institutions,;2023;0
282;HC12: Day cases of curative care;HP13: Specialised hospitals;2021;98
283;HC12: Day cases of curative care;HP13: Specialised hospitals;2022;102
284;HC12: Day cases of curative care;HP13: Specialised hospitals;2023;110
285;HC12: Day cases of curative care;HP2: Nursing and residential care facil.;2021;38
286;HC12: Day cases of curative care;HP2: Nursing and residential care facil.;2022;40
287;HC12: Day cases of curative care;HP2: Nursing and residential care facil.;2023;44
288;HC12: Day cases of curative care;HP21: Nursing care facilities;2021;38
289;HC12: Day cases of curative care;HP21: Nursing care facilities;2022;40
290;HC12: Day cases of curative care;HP21: Nursing care facilities;2023;44
291;HC12: Day cases of curative care;HP22-29: Facilities for the disabled;2021;0
292;HC12: Day cases of curative care;HP22-29: Facilities for the disabled;2022;0
293;HC12: Day cases of curative care;HP22-29: Facilities for the disabled;2023;0
294;HC12: Day cases of curative care;HP3: Providers of ambulatory health care;2021;140
295;HC12: Day cases of curative care;HP3: Providers of ambulatory health care;2022;154
296;HC12: Day cases of curative care;HP3: Providers of ambulatory health care;2023;173
297;HC12: Day cases of curative care;HP31: Medical practices;2021;0
298;HC12: Day cases of curative care;HP31: Medical practices;2022;0
299;HC12: Day cases of curative care;HP31: Medical practices;2023;0
300;HC12: Day cases of curative care;HP32: Dental practices;2021;0
301;HC12: Day cases of curative care;HP32: Dental practices;2022;0
302;HC12: Day cases of curative care;HP32: Dental practices;2023;0
303;HC12: Day cases of curative care;HP33 : Other health care practitioners;2021;0
304;HC12: Day cases of curative care;HP33 : Other health care practitioners;2022;0
305;HC12: Day cases of curative care;HP33 : Other health care practitioners;2023;0
306;HC12: Day cases of curative care;HP34: Ambulatory health care centres;2021;140
307;HC12: Day cases of curative care;HP34: Ambulatory health care centres;2022;154
308;HC12: Day cases of curative care;HP34: Ambulatory health care centres;2023;173
309;HC12: Day cases of curative care;HP35: Providers home healthcare services;2021;0
310;HC12: Day cases of curative care;HP35: Providers home healthcare services;2022;0
311;HC12: Day cases of curative care;HP35: Providers home healthcare services;2023;0
312;HC12: Day cases of curative care;HP4: Providers of ancillary services;2021;0
313;HC12: Day cases of curative care;HP4: Providers of ancillary services;2022;0
314;HC12: Day cases of curative care;HP4: Providers of ancillary services;2023;0
315;HC12: Day cases of curative care;HP41: Patient transportation, emergency;2021;0
316;HC12: Day cases of curative care;HP41: Patient transportation, emergency;2022;0
317;HC12: Day cases of curative care;HP41: Patient transportation, emergency;2023;0
318;HC12: Day cases of curative care;HP42-49: Laboratories, other anc. serv.;2021;0
319;HC12: Day cases of curative care;HP42-49: Laboratories, other anc. serv.;2022;0
320;HC12: Day cases of curative care;HP42-49: Laboratories, other anc. serv.;2023;0
321;HC12: Day cases of curative care;HP5: Retailers of medical goods;2021;0
322;HC12: Day cases of curative care;HP5: Retailers of medical goods;2022;0
323;HC12: Day cases of curative care;HP5: Retailers of medical goods;2023;0
324;HC12: Day cases of curative care;HP51: Pharmacies;2021;0
325;HC12: Day cases of curative care;HP51: Pharmacies;2022;0
326;HC12: Day cases of curative care;HP51: Pharmacies;2023;0
327;HC12: Day cases of curative care;HP52-59 : Suppl. med. appliances, other;2021;0
328;HC12: Day cases of curative care;HP52-59 : Suppl. med. appliances, other;2022;0
329;HC12: Day cases of curative care;HP52-59 : Suppl. med. appliances, other;2023;0
330;HC12: Day cases of curative care;HP6: Providers of preventive care;2021;0
331;HC12: Day cases of curative care;HP6: Providers of preventive care;2022;3
332;HC12: Day cases of curative care;HP6: Providers of preventive care;2023;3
333;HC12: Day cases of curative care;HP7: Healthcare adm. and financ.;2021;0
334;HC12: Day cases of curative care;HP7: Healthcare adm. and financ.;2022;0
335;HC12: Day cases of curative care;HP7: Healthcare adm. and financ.;2023;0
336;HC12: Day cases of curative care;HP71: Government health administration;2021;0
337;HC12: Day cases of curative care;HP71: Government health administration;2022;0
338;HC12: Day cases of curative care;HP71: Government health administration;2023;0
339;HC12: Day cases of curative care;HP72: Social health insurance agencies;2021;0
340;HC12: Day cases of curative care;HP72: Social health insurance agencies;2022;0
341;HC12: Day cases of curative care;HP72: Social health insurance agencies;2023;0
342;HC12: Day cases of curative care;HP73: Providers of health insurance;2021;0
343;HC12: Day cases of curative care;HP73: Providers of health insurance;2022;0
344;HC12: Day cases of curative care;HP73: Providers of health insurance;2023;0
345;HC12: Day cases of curative care;HP79: Other administration agencies;2021;0
346;HC12: Day cases of curative care;HP79: Other administration agencies;2022;0
347;HC12: Day cases of curative care;HP79: Other administration agencies;2023;0
348;HC12: Day cases of curative care;HP8: Rest of economy;2021;1
349;HC12: Day cases of curative care;HP8: Rest of economy;2022;2
350;HC12: Day cases of curative care;HP8: Rest of economy;2023;3
351;HC12: Day cases of curative care;HP81: Households prov. home health care;2021;0
352;HC12: Day cases of curative care;HP81: Households prov. home health care;2022;0
353;HC12: Day cases of curative care;HP81: Households prov. home health care;2023;0
354;HC12: Day cases of curative care;HP82: Secondary providers of health care;2021;1
355;HC12: Day cases of curative care;HP82: Secondary providers of health care;2022;2
356;HC12: Day cases of curative care;HP82: Secondary providers of health care;2023;3
357;HC12: Day cases of curative care;HP9: Rest of the world;2021;0
358;HC12: Day cases of curative care;HP9: Rest of the world;2022;0
359;HC12: Day cases of curative care;HP9: Rest of the world;2023;0
360;HC13: Outpatient curative care;Total health care providers;2021;25901
361;HC13: Outpatient curative care;Total health care providers;2022;27224
362;HC13: Outpatient curative care;Total health care providers;2023;29717
363;HC13: Outpatient curative care;HP1: Hospitals;2021;13746
364;HC13: Outpatient curative care;HP1: Hospitals;2022;14079
365;HC13: Outpatient curative care;HP1: Hospitals;2023;15138
366;HC13: Outpatient curative care;HP11: General and university hospitals;2021;11337
367;HC13: Outpatient curative care;HP11: General and university hospitals;2022;11505
368;HC13: Outpatient curative care;HP11: General and university hospitals;2023;12354
369;HC13: Outpatient curative care;HP12: Mental health institutions,;2021;2020
370;HC13: Outpatient curative care;HP12: Mental health institutions,;2022;2198
371;HC13: Outpatient curative care;HP12: Mental health institutions,;2023;2382
372;HC13: Outpatient curative care;HP13: Specialised hospitals;2021;389
373;HC13: Outpatient curative care;HP13: Specialised hospitals;2022;375
374;HC13: Outpatient curative care;HP13: Specialised hospitals;2023;402
375;HC13: Outpatient curative care;HP2: Nursing and residential care facil.;2021;296
376;HC13: Outpatient curative care;HP2: Nursing and residential care facil.;2022;308
377;HC13: Outpatient curative care;HP2: Nursing and residential care facil.;2023;335
378;HC13: Outpatient curative care;HP21: Nursing care facilities;2021;234
379;HC13: Outpatient curative care;HP21: Nursing care facilities;2022;249
380;HC13: Outpatient curative care;HP21: Nursing care facilities;2023;270
381;HC13: Outpatient curative care;HP22-29: Facilities for the disabled;2021;63
382;HC13: Outpatient curative care;HP22-29: Facilities for the disabled;2022;59
383;HC13: Outpatient curative care;HP22-29: Facilities for the disabled;2023;64
384;HC13: Outpatient curative care;HP3: Providers of ambulatory health care;2021;11068
385;HC13: Outpatient curative care;HP3: Providers of ambulatory health care;2022;11974
386;HC13: Outpatient curative care;HP3: Providers of ambulatory health care;2023;13284
387;HC13: Outpatient curative care;HP31: Medical practices;2021;3523
388;HC13: Outpatient curative care;HP31: Medical practices;2022;3501
389;HC13: Outpatient curative care;HP31: Medical practices;2023;3893
390;HC13: Outpatient curative care;HP32: Dental practices;2021;1914
391;HC13: Outpatient curative care;HP32: Dental practices;2022;1931
392;HC13: Outpatient curative care;HP32: Dental practices;2023;2102
393;HC13: Outpatient curative care;HP33 : Other health care practitioners;2021;2791
394;HC13: Outpatient curative care;HP33 : Other health care practitioners;2022;3145
395;HC13: Outpatient curative care;HP33 : Other health care practitioners;2023;3449
396;HC13: Outpatient curative care;HP34: Ambulatory health care centres;2021;2831
397;HC13: Outpatient curative care;HP34: Ambulatory health care centres;2022;3392
398;HC13: Outpatient curative care;HP34: Ambulatory health care centres;2023;3834
399;HC13: Outpatient curative care;HP35: Providers home healthcare services;2021;9
400;HC13: Outpatient curative care;HP35: Providers home healthcare services;2022;5
401;HC13: Outpatient curative care;HP35: Providers home healthcare services;2023;6
402;HC13: Outpatient curative care;HP4: Providers of ancillary services;2021;187
403;HC13: Outpatient curative care;HP4: Providers of ancillary services;2022;195
404;HC13: Outpatient curative care;HP4: Providers of ancillary services;2023;211
405;HC13: Outpatient curative care;HP41: Patient transportation, emergency;2021;0
406;HC13: Outpatient curative care;HP41: Patient transportation, emergency;2022;0
407;HC13: Outpatient curative care;HP41: Patient transportation, emergency;2023;0
408;HC13: Outpatient curative care;HP42-49: Laboratories, other anc. serv.;2021;187
409;HC13: Outpatient curative care;HP42-49: Laboratories, other anc. serv.;2022;195
410;HC13: Outpatient curative care;HP42-49: Laboratories, other anc. serv.;2023;211
411;HC13: Outpatient curative care;HP5: Retailers of medical goods;2021;8
412;HC13: Outpatient curative care;HP5: Retailers of medical goods;2022;8
413;HC13: Outpatient curative care;HP5: Retailers of medical goods;2023;9
414;HC13: Outpatient curative care;HP51: Pharmacies;2021;5
415;HC13: Outpatient curative care;HP51: Pharmacies;2022;5
416;HC13: Outpatient curative care;HP51: Pharmacies;2023;6
417;HC13: Outpatient curative care;HP52-59 : Suppl. med. appliances, other;2021;3
418;HC13: Outpatient curative care;HP52-59 : Suppl. med. appliances, other;2022;3
419;HC13: Outpatient curative care;HP52-59 : Suppl. med. appliances, other;2023;3
420;HC13: Outpatient curative care;HP6: Providers of preventive care;2021;62
421;HC13: Outpatient curative care;HP6: Providers of preventive care;2022;61
422;HC13: Outpatient curative care;HP6: Providers of preventive care;2023;64
423;HC13: Outpatient curative care;HP7: Healthcare adm. and financ.;2021;3
424;HC13: Outpatient curative care;HP7: Healthcare adm. and financ.;2022;3
425;HC13: Outpatient curative care;HP7: Healthcare adm. and financ.;2023;3
426;HC13: Outpatient curative care;HP71: Government health administration;2021;0
427;HC13: Outpatient curative care;HP71: Government health administration;2022;0
428;HC13: Outpatient curative care;HP71: Government health administration;2023;0
