ID;Sex;Characteristics;CaribbeanNetherlands;Periods;Persons_1;PersonalGrossIncomeMean_2;PersonalGrossIncomeMedian_3;PersonalIncomeMean_4;PersonalIncomeMedian_5
29;Total male and female;Total persons;St. Eustatius;2016;1800.0;36.5;25.0;33.7;23.7
30;Total male and female;Total persons;St. Eustatius;2017;1900.0;38.5;26.5;35.6;25.4
31;Total male and female;Total persons;St. Eustatius;2018;1950.0;38.0;25.4;34.9;24.6
32;Total male and female;Total persons;St. Eustatius;2019;2000.0;38.0;25.2;35.0;24.2
33;Total male and female;Total persons;St. Eustatius;2020;2000.0;37.3;24.7;33.9;23.9
34;Total male and female;Total persons;St. Eustatius;2021;2050.0;36.2;24.5;33.4;23.8
35;Total male and female;Total persons;St. Eustatius;2022;2100.0;37.4;26.0;34.5;25.3
36;Total male and female;Total persons;Saba;2011;900.0;27.1;20.0;25.1;19.0
37;Total male and female;Total persons;Saba;2012;900.0;29.3;21.7;27.2;20.7
38;Total male and female;Total persons;Saba;2013;950.0;29.0;21.3;26.9;20.4
39;Total male and female;Total persons;Saba;2014;1000.0;30.5;22.8;28.2;21.7
40;Total male and female;Total persons;Saba;2015;1050.0;30.4;21.6;27.9;20.7
41;Total male and female;Total persons;Saba;2016;1100.0;30.8;22.2;28.1;21.1
42;Total male and female;Total persons;Saba;2017;1100.0;31.7;22.6;28.9;21.4
43;Total male and female;Total persons;Saba;2018;1150.0;33.0;24.5;30.2;23.6
44;Total male and female;Total persons;Saba;2019;1150.0;33.7;24.5;30.8;23.6
45;Total male and female;Total persons;Saba;2020;1150.0;34.8;25.6;31.9;24.8
46;Total male and female;Total persons;Saba;2021;1150.0;34.9;25.8;32.3;25.3
47;Total male and female;Total persons;Saba;2022;1250.0;36.0;27.5;33.3;26.1
48;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2011;7250.0;31.3;23.1;29.1;22.0
49;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2012;7600.0;32.1;23.5;29.9;22.5
50;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2013;8150.0;32.8;24.2;30.5;23.3
51;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2014;8500.0;33.5;24.6;31.0;23.7
52;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2015;8750.0;34.2;25.1;31.6;24.1
53;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2016;9150.0;36.1;25.7;32.2;24.8
54;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2017;9650.0;37.2;26.5;33.1;25.3
55;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2018;10050.0;37.2;26.5;33.2;25.4
56;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2019;10500.0;37.1;25.9;33.0;24.9
57;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2020;10850.0;37.2;25.8;33.2;25.0
58;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2021;11200.0;37.5;26.4;33.6;25.4
59;Total male and female;Pos. in hh.: Main earner;Caribbean Netherlands;2022;11850.0;38.7;27.8;34.5;26.5
60;Total male and female;Pos. in hh.: Main earner;Bonaire;2011;5750.0;30.1;22.2;28.0;21.4
61;Total male and female;Pos. in hh.: Main earner;Bonaire;2012;6050.0;30.7;22.5;28.7;21.6
62;Total male and female;Pos. in hh.: Main earner;Bonaire;2013;6450.0;31.4;23.5;29.2;22.6
63;Total male and female;Pos. in hh.: Main earner;Bonaire;2014;6800.0;32.0;23.7;29.8;22.9
64;Total male and female;Pos. in hh.: Main earner;Bonaire;2015;6950.0;32.5;24.3;30.0;23.5
65;Total male and female;Pos. in hh.: Main earner;Bonaire;2016;7250.0;34.9;25.1;30.9;24.2
66;Total male and female;Pos. in hh.: Main earner;Bonaire;2017;7650.0;35.7;25.5;31.4;24.6
67;Total male and female;Pos. in hh.: Main earner;Bonaire;2018;8050.0;35.6;25.4;31.5;24.5
68;Total male and female;Pos. in hh.: Main earner;Bonaire;2019;8450.0;35.6;25.0;31.4;24.2
69;Total male and female;Pos. in hh.: Main earner;Bonaire;2020;8800.0;35.7;24.8;31.7;24.2
70;Total male and female;Pos. in hh.: Main earner;Bonaire;2021;9100.0;36.4;25.5;32.4;24.5
71;Total male and female;Pos. in hh.: Main earner;Bonaire;2022;9650.0;37.5;26.7;33.1;25.5
72;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2011;950.0;38.3;28.5;35.2;26.9
73;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2012;950.0;39.9;30.6;36.8;28.5
74;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2013;1050.0;40.2;30.5;37.1;28.6
75;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2014;1050.0;41.6;33.0;38.2;30.9
76;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2015;1150.0;43.8;33.3;40.5;31.1
77;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2016;1200.0;42.7;30.8;39.5;28.7
78;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2017;1300.0;45.6;35.4;42.2;33.2
79;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2018;1300.0;45.6;32.7;41.9;31.4
80;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2019;1300.0;45.1;31.1;41.4;29.9
81;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2020;1300.0;44.7;31.6;40.6;29.8
82;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2021;1350.0;42.7;30.5;39.2;29.3
83;Total male and female;Pos. in hh.: Main earner;St. Eustatius;2022;1400.0;44.1;31.6;40.6;30.5
84;Total male and female;Pos. in hh.: Main earner;Saba;2011;550.0;32.5;24.3;30.1;22.8
85;Total male and female;Pos. in hh.: Main earner;Saba;2012;600.0;34.3;26.0;31.8;24.1
86;Total male and female;Pos. in hh.: Main earner;Saba;2013;600.0;34.7;26.5;32.1;25.0
87;Total male and female;Pos. in hh.: Main earner;Saba;2014;650.0;35.3;26.5;32.5;24.6
88;Total male and female;Pos. in hh.: Main earner;Saba;2015;700.0;36.3;26.5;33.3;25.1
89;Total male and female;Pos. in hh.: Main earner;Saba;2016;700.0;37.2;28.4;33.9;26.5
90;Total male and female;Pos. in hh.: Main earner;Saba;2017;700.0;37.9;28.0;34.6;26.6
91;Total male and female;Pos. in hh.: Main earner;Saba;2018;750.0;39.8;29.5;36.5;28.0
92;Total male and female;Pos. in hh.: Main earner;Saba;2019;750.0;39.9;28.9;36.5;27.5
93;Total male and female;Pos. in hh.: Main earner;Saba;2020;750.0;41.5;30.8;38.0;28.9
94;Total male and female;Pos. in hh.: Main earner;Saba;2021;750.0;41.5;31.8;38.5;30.5
95;Total male and female;Pos. in hh.: Main earner;Saba;2022;800.0;44.2;33.6;40.9;31.8
96;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2011;3900.0;25.4;18.0;23.7;17.4
97;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2012;4100.0;26.4;18.7;24.7;18.1
98;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2013;4400.0;27.2;19.8;25.4;19.1
99;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2014;4550.0;28.0;20.0;26.1;19.4
100;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2015;4750.0;28.6;20.6;26.6;19.9
101;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2016;4950.0;30.1;21.7;27.2;20.9
102;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2017;5300.0;31.0;22.3;28.0;21.5
103;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2018;5500.0;30.2;21.7;27.3;21.1
104;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2019;5900.0;30.2;21.4;27.4;20.7
105;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2020;6250.0;30.8;21.5;27.8;21.0
106;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2021;6500.0;31.1;21.6;28.3;20.9
107;Total male and female;Pos. in hh.: Main earner without partner;Caribbean Netherlands;2022;7050.0;32.7;23.1;29.7;22.3
108;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2011;3050.0;24.3;17.5;22.7;16.8
109;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2012;3250.0;24.9;17.8;23.3;17.4
110;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2013;3450.0;25.8;18.8;24.1;18.3
111;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2014;3600.0;26.6;19.1;24.8;18.7
112;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2015;3700.0;26.9;19.7;25.0;19.1
113;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2016;3800.0;28.6;20.9;25.7;20.2
114;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2017;4050.0;29.1;21.0;26.1;20.3
115;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2018;4250.0;28.3;20.5;25.4;19.8
116;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2019;4550.0;28.5;20.4;25.7;19.9
117;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2020;4900.0;29.3;20.5;26.4;20.0
118;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2021;5150.0;29.6;20.4;26.8;19.8
119;Total male and female;Pos. in hh.: Main earner without partner;Bonaire;2022;5600.0;31.2;22.0;28.1;21.2
120;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2011;550.0;31.3;22.7;28.9;21.8
121;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2012;550.0;33.6;23.9;31.1;22.8
122;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2013;650.0;33.3;24.1;30.8;22.7
123;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2014;600.0;35.2;27.4;32.5;26.2
124;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2015;700.0;36.3;28.1;33.7;26.2
125;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2016;750.0;35.7;25.8;33.2;24.5
126;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2017;850.0;39.0;29.0;36.1;28.0
127;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2018;850.0;38.0;26.0;35.1;25.1
128;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2019;900.0;37.0;25.2;34.1;24.3
129;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2020;850.0;36.0;24.9;32.9;24.0
130;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2021;950.0;36.6;25.5;33.5;24.8
131;Total male and female;Pos. in hh.: Main earner without partner;St. Eustatius;2022;950.0;38.4;27.5;35.5;26.7
132;Total male and female;Pos. in hh.: Main earner without partner;Saba;2011;300.0;26.0;18.9;24.3;18.0
133;Total male and female;Pos. in hh.: Main earner without partner;Saba;2012;350.0;29.1;22.8;27.1;21.6
134;Total male and female;Pos. in hh.: Main earner without partner;Saba;2013;350.0;30.1;22.9;27.9;21.9
135;Total male and female;Pos. in hh.: Main earner without partner;Saba;2014;350.0;30.3;22.8;28.1;21.8
136;Total male and female;Pos. in hh.: Main earner without partner;Saba;2015;350.0;30.5;21.7;28.1;20.9
137;Total male and female;Pos. in hh.: Main earner without partner;Saba;2016;350.0;33.4;24.5;30.3;23.5
138;Total male and female;Pos. in hh.: Main earner without partner;Saba;2017;400.0;33.5;24.5;30.5;23.1
139;Total male and female;Pos. in hh.: Main earner without partner;Saba;2018;400.0;33.9;25.8;31.2;24.6
140;Total male and female;Pos. in hh.: Main earner without partner;Saba;2019;450.0;34.2;25.2;31.2;23.9
141;Total male and female;Pos. in hh.: Main earner without partner;Saba;2020;450.0;36.8;26.6;33.7;25.1
142;Total male and female;Pos. in hh.: Main earner without partner;Saba;2021;450.0;37.5;27.0;34.9;25.5
143;Total male and female;Pos. in hh.: Main earner without partner;Saba;2022;500.0;39.1;29.4;36.2;28.1
144;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2011;2950.0;25.8;17.7;24.2;17.3
145;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2012;3150.0;26.7;18.3;25.0;17.9
146;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2013;3400.0;27.4;19.6;25.7;19.0
147;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2014;3500.0;28.1;19.7;26.2;19.2
148;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2015;3600.0;28.6;20.0;26.7;19.3
149;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2016;3700.0;30.5;21.5;27.5;20.7
150;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2017;3950.0;31.1;22.0;28.1;21.2
151;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2018;4100.0;30.3;21.3;27.3;20.6
152;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2019;4400.0;29.9;20.4;27.1;19.9
153;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2020;4700.0;30.3;20.7;27.3;20.1
154;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2021;4850.0;30.7;20.7;27.9;20.0
155;Total male and female;Pos. in hh.: Main earner, single person;Caribbean Netherlands;2022;5200.0;32.2;22.0;29.1;21.2
156;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2011;2300.0;24.5;17.1;23.0;16.7
157;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2012;2500.0;25.0;17.6;23.5;17.2
158;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2013;2700.0;25.8;18.5;24.2;18.1
159;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2014;2750.0;26.5;18.9;24.8;18.4
160;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2015;2800.0;26.7;19.2;24.9;18.7
161;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2016;2900.0;28.8;20.7;25.7;19.8
162;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2017;3100.0;28.8;20.7;25.8;20.0
163;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2018;3200.0;28.1;20.1;25.1;19.6
164;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2019;3450.0;28.0;19.9;25.2;19.2
165;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2020;3750.0;28.6;19.9;25.7;19.3
166;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2021;3850.0;28.9;19.8;26.1;19.1
167;Total male and female;Pos. in hh.: Main earner, single person;Bonaire;2022;4150.0;30.3;20.8;27.2;20.1
168;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2011;400.0;33.1;23.2;30.7;22.2
169;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2012;400.0;35.5;25.5;32.9;23.8
170;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2013;450.0;35.0;25.4;32.4;24.7
171;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2014;450.0;36.9;27.8;34.1;26.3
172;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2015;500.0;38.2;28.4;35.6;27.2
173;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2016;550.0;38.4;26.8;35.6;25.4
174;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2017;600.0;41.5;32.1;38.4;30.0
175;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2018;600.0;40.0;26.9;36.8;25.4
176;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2019;600.0;38.4;24.7;35.6;24.0
177;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2020;600.0;36.7;24.5;33.7;23.7
178;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2021;650.0;37.1;24.0;34.1;23.4
179;Total male and female;Pos. in hh.: Main earner, single person;St. Eustatius;2022;650.0;39.6;26.0;36.3;25.1
180;Total male and female;Pos. in hh.: Main earner, single person;Saba;2011;250.0;26.7;17.2;25.1;17.0
181;Total male and female;Pos. in hh.: Main earner, single person;Saba;2012;250.0;29.1;21.4;27.3;20.8
182;Total male and female;Pos. in hh.: Main earner, single person;Saba;2013;250.0;30.6;22.1;28.4;21.3
183;Total male and female;Pos. in hh.: Main earner, single person;Saba;2014;300.0;30.1;21.3;28.1;21.0
184;Total male and female;Pos. in hh.: Main earner, single person;Saba;2015;300.0;30.3;20.4;28.1;19.7
185;Total male and female;Pos. in hh.: Main earner, single person;Saba;2016;300.0;32.6;23.2;29.8;21.8
186;Total male and female;Pos. in hh.: Main earner, single person;Saba;2017;300.0;33.9;24.0;31.0;22.4
187;Total male and female;Pos. in hh.: Main earner, single person;Saba;2018;300.0;34.3;24.7;31.6;23.4
188;Total male and female;Pos. in hh.: Main earner, single person;Saba;2019;350.0;33.9;23.8;31.0;22.5
189;Total male and female;Pos. in hh.: Main earner, single person;Saba;2020;350.0;37.3;25.0;34.3;24.7
190;Total male and female;Pos. in hh.: Main earner, single person;Saba;2021;350.0;39.1;27.4;36.4;25.6
191;Total male and female;Pos. in hh.: Main earner, single person;Saba;2022;400.0;40.4;29.6;37.4;28.0
192;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2011;950.0;24.1;18.7;22.2;17.9
193;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2012;950.0;25.6;19.9;23.7;19.1
194;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2013;1000.0;26.5;20.1;24.5;19.3
195;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2014;1050.0;27.6;20.9;25.4;20.1
196;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2015;1150.0;28.6;22.3;26.2;21.4
197;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2016;1250.0;28.8;22.4;26.4;21.9
198;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2017;1350.0;30.8;23.1;27.8;22.4
199;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2018;1400.0;30.2;23.1;27.6;22.3
200;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2019;1500.0;31.2;23.7;28.4;23.0
201;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2020;1550.0;32.2;24.1;29.3;23.7
202;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2021;1700.0;32.3;24.3;29.7;23.6
203;Total male and female;Pos. in hh.: Main earner, single parent;Caribbean Netherlands;2022;1850.0;34.1;26.1;31.3;25.7
204;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2011;750.0;23.5;18.4;21.7;17.4
205;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2012;750.0;24.6;19.1;22.9;18.3
206;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2013;750.0;25.9;20.0;24.0;19.1
207;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2014;850.0;26.7;20.0;24.7;19.0
208;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2015;900.0;27.7;21.6;25.4;20.9
209;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2016;950.0;27.9;21.8;25.6;21.4
210;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2017;1000.0;30.1;22.0;27.0;21.5
211;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2018;1050.0;29.1;21.7;26.6;21.1
212;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2019;1100.0;30.0;22.9;27.4;22.4
213;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2020;1150.0;31.4;23.2;28.5;22.7
214;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2021;1250.0;31.5;22.9;29.0;22.4
215;Total male and female;Pos. in hh.: Main earner, single parent;Bonaire;2022;1400.0;33.7;25.2;30.7;24.7
216;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2011;150.0;26.8;22.3;24.5;20.5
217;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2012;150.0;28.5;21.3;26.1;20.3
218;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2013;150.0;28.3;18.0;26.1;17.8
219;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2014;150.0;30.4;26.3;28.1;24.8
220;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2015;200.0;31.3;25.4;28.7;24.1
221;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2016;250.0;29.8;23.2;27.6;21.7
222;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2017;250.0;33.0;25.7;30.7;24.9
223;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2018;250.0;33.3;25.3;30.9;24.6
224;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2019;300.0;34.2;25.4;31.0;24.3
225;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2020;300.0;34.6;25.8;31.5;24.5
226;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2021;300.0;35.5;27.5;32.4;27.5
227;Total male and female;Pos. in hh.: Main earner, single parent;St. Eustatius;2022;300.0;36.0;29.2;33.6;28.7
228;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2011;50.0;;;;
229;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2012;100.0;;;;
230;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2013;100.0;;;;
231;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2014;100.0;;;;
232;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2015;100.0;;;;
233;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2016;100.0;;;;
234;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2017;100.0;;;;
235;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2018;100.0;;;;
236;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2019;100.0;;;;
237;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2020;100.0;34.9;27.9;31.9;26.8
238;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2021;100.0;32.2;26.2;30.0;25.1
239;Total male and female;Pos. in hh.: Main earner, single parent;Saba;2022;100.0;34.9;28.9;32.2;28.3
240;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2011;3350.0;38.2;28.8;35.4;27.1
241;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2012;3500.0;38.8;29.6;36.1;28.1
242;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2013;3750.0;39.3;30.3;36.5;28.8
243;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2014;3950.0;39.8;31.0;36.8;29.5
244;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2015;4000.0;40.9;31.9;37.6;30.1
245;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2016;4200.0;43.2;32.4;38.1;30.5
246;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2017;4350.0;44.6;32.9;39.3;31.3
247;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2018;4550.0;45.6;33.8;40.3;32.3
248;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2019;4600.0;45.9;33.4;40.2;31.6
249;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2020;4600.0;45.9;33.9;40.5;32.3
250;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2021;4700.0;46.3;34.5;41.0;32.5
251;Total male and female;Pos. in hh.: Main earner with partner;Caribbean Netherlands;2022;4800.0;47.6;35.7;41.7;33.6
252;Total male and female;Pos. in hh.: Main earner with partner;Bonaire;2011;2700.0;36.7;27.7;34.0;26.3
253;Total male and female;Pos. in hh.: Main earner with partner;Bonaire;2012;2850.0;37.2;28.5;34.7;27.1
254;Total male and female;Pos. in hh.: Main earner with partner;Bonaire;2013;3000.0;37.7;29.3;35.0;27.8
255;Total male and female;Pos. in hh.: Main earner with partner;Bonaire;2014;3200.0;38.2;29.6;35.4;27.9
256;Total male and female;Pos. in hh.: Main earner with partner;Bonaire;2015;3250.0;38.7;30.3;35.6;28.8
257;Total male and female;Pos. in hh.: Main earner with partner;Bonaire;2016;3450.0;41.9;31.3;36.6;29.5
258;Total male and female;Pos. in hh.: Main earner with partner;Bonaire;2017;3600.0;43.1;31.8;37.5;29.9
259;Total male and female;Pos. in hh.: Main earner with partner;Bonaire;2018;3800.0;43.8;32.6;38.3;31.1
