ID;SectorBranches;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1;BusinessAgeInEventOfBankruptcy_2;EmployeesInEventOfBankruptcy_3
20;A-U All economic activities;Total entities with/without legal pers.;2019 1st quarter;930;9.1;8899.0
21;A-U All economic activities;Total entities with/without legal pers.;2019 2nd quarter;946;8.8;5686.0
22;A-U All economic activities;Total entities with/without legal pers.;2019 3rd quarter;942;9.3;5498.0
23;A-U All economic activities;Total entities with/without legal pers.;2019 4th quarter;975;9.2;7755.0
24;A-U All economic activities;Total entities with/without legal pers.;2019;3793;9.1;27838.0
25;A-U All economic activities;Total entities with/without legal pers.;2020 1st quarter;947;9.8;5497.0
26;A-U All economic activities;Total entities with/without legal pers.;2020 2nd quarter;980;9.8;6056.0
27;A-U All economic activities;Total entities with/without legal pers.;2020 3rd quarter;662;9.5;4293.0
28;A-U All economic activities;Total entities with/without legal pers.;2020 4th quarter;588;9.7;2326.0
29;A-U All economic activities;Total entities with/without legal pers.;2020;3177;9.7;18172.0
30;A-U All economic activities;Total entities with/without legal pers.;2021 1st quarter;490;9.0;1325.0
31;A-U All economic activities;Total entities with/without legal pers.;2021 2nd quarter;461;8.5;2533.0
32;A-U All economic activities;Total entities with/without legal pers.;2021 3rd quarter;381;8.5;1177.0
33;A-U All economic activities;Total entities with/without legal pers.;2021 4th quarter;486;7.7;1932.0
34;A-U All economic activities;Total entities with/without legal pers.;2021;1818;8.4;6966.0
35;A-U All economic activities;Total entities with/without legal pers.;2022 1st quarter;488;8.1;2283.0
36;A-U All economic activities;Total entities with/without legal pers.;2022 2nd quarter;473;7.9;2490.0
37;A-U All economic activities;Total entities with/without legal pers.;2022 3rd quarter;475;8.8;2230.0
38;A-U All economic activities;Total entities with/without legal pers.;2022 4th quarter;708;8.7;3933.0
39;A-U All economic activities;Total entities with/without legal pers.;2022;2144;8.4;10936.0
40;A-U All economic activities;Companies and institutions;2015 1st quarter;1602;11.2;8888.0
41;A-U All economic activities;Companies and institutions;2015 2nd quarter;1311;11.0;7244.0
42;A-U All economic activities;Companies and institutions;2015 3rd quarter;1121;11.3;7731.0
43;A-U All economic activities;Companies and institutions;2015 4th quarter;1237;11.3;11668.0
44;A-U All economic activities;Companies and institutions;2015;5271;11.2;35531.0
45;A-U All economic activities;Companies and institutions;2016 1st quarter;1273;11.1;14808.0
46;A-U All economic activities;Companies and institutions;2016 2nd quarter;1110;11.3;7269.0
47;A-U All economic activities;Companies and institutions;2016 3rd quarter;950;10.8;5172.0
48;A-U All economic activities;Companies and institutions;2016 4th quarter;1066;9.9;4935.0
49;A-U All economic activities;Companies and institutions;2016;4399;10.8;32184.0
50;A-U All economic activities;Companies and institutions;2017 1st quarter;950;10.9;6373.0
51;A-U All economic activities;Companies and institutions;2017 2nd quarter;850;10.1;3928.0
52;A-U All economic activities;Companies and institutions;2017 3rd quarter;738;9.5;3542.0
53;A-U All economic activities;Companies and institutions;2017 4th quarter;753;10.8;4083.0
54;A-U All economic activities;Companies and institutions;2017;3291;10.3;17926.0
55;A-U All economic activities;Companies and institutions;2018 1st quarter;786;10.7;4055.0
56;A-U All economic activities;Companies and institutions;2018 2nd quarter;786;10.0;4643.0
57;A-U All economic activities;Companies and institutions;2018 3rd quarter;747;9.0;3675.0
58;A-U All economic activities;Companies and institutions;2018 4th quarter;826;9.6;6512.0
59;A-U All economic activities;Companies and institutions;2018;3145;9.8;18885.0
60;A-U All economic activities;Companies and institutions;2019 1st quarter;767;9.4;8549.0
61;A-U All economic activities;Companies and institutions;2019 2nd quarter;818;9.2;5461.0
62;A-U All economic activities;Companies and institutions;2019 3rd quarter;796;9.6;5227.0
63;A-U All economic activities;Companies and institutions;2019 4th quarter;828;9.5;7433.0
64;A-U All economic activities;Companies and institutions;2019;3209;9.4;26670.0
65;A-U All economic activities;Companies and institutions;2020 1st quarter;801;10.1;5200.0
66;A-U All economic activities;Companies and institutions;2020 2nd quarter;847;9.8;5799.0
67;A-U All economic activities;Companies and institutions;2020 3rd quarter;572;9.8;4120.0
68;A-U All economic activities;Companies and institutions;2020 4th quarter;483;9.8;2149.0
69;A-U All economic activities;Companies and institutions;2020;2703;9.9;17267.0
70;A-U All economic activities;Companies and institutions;2021 1st quarter;407;9.7;1191.0
71;A-U All economic activities;Companies and institutions;2021 2nd quarter;381;8.7;2390.0
72;A-U All economic activities;Companies and institutions;2021 3rd quarter;326;9.0;1065.0
73;A-U All economic activities;Companies and institutions;2021 4th quarter;423;8.0;1846.0
74;A-U All economic activities;Companies and institutions;2021;1537;8.8;6491.0
75;A-U All economic activities;Companies and institutions;2022 1st quarter;429;8.6;2207.0
76;A-U All economic activities;Companies and institutions;2022 2nd quarter;393;8.4;2363.0
77;A-U All economic activities;Companies and institutions;2022 3rd quarter;411;9.2;2125.0
78;A-U All economic activities;Companies and institutions;2022 4th quarter;622;9.0;3783.0
79;A-U All economic activities;Companies and institutions;2022;1855;8.8;10479.0
80;A-U All economic activities;Natural persons with sole proprietorship;2015 1st quarter;200;9.0;398.0
81;A-U All economic activities;Natural persons with sole proprietorship;2015 2nd quarter;178;10.9;371.0
82;A-U All economic activities;Natural persons with sole proprietorship;2015 3rd quarter;177;11.2;441.0
83;A-U All economic activities;Natural persons with sole proprietorship;2015 4th quarter;180;9.5;366.0
84;A-U All economic activities;Natural persons with sole proprietorship;2015;735;10.1;1575.0
85;A-U All economic activities;Natural persons with sole proprietorship;2016 1st quarter;172;10.0;345.0
86;A-U All economic activities;Natural persons with sole proprietorship;2016 2nd quarter;159;8.6;284.0
87;A-U All economic activities;Natural persons with sole proprietorship;2016 3rd quarter;155;9.1;272.0
88;A-U All economic activities;Natural persons with sole proprietorship;2016 4th quarter;127;8.2;267.0
89;A-U All economic activities;Natural persons with sole proprietorship;2016;613;9.0;1168.0
90;A-U All economic activities;Natural persons with sole proprietorship;2017 1st quarter;170;8.2;360.0
91;A-U All economic activities;Natural persons with sole proprietorship;2017 2nd quarter;144;7.3;302.0
92;A-U All economic activities;Natural persons with sole proprietorship;2017 3rd quarter;137;8.8;253.0
93;A-U All economic activities;Natural persons with sole proprietorship;2017 4th quarter;125;8.7;227.0
94;A-U All economic activities;Natural persons with sole proprietorship;2017;576;8.2;1142.0
95;A-U All economic activities;Natural persons with sole proprietorship;2018 1st quarter;145;7.7;265.0
96;A-U All economic activities;Natural persons with sole proprietorship;2018 2nd quarter;116;8.9;195.0
97;A-U All economic activities;Natural persons with sole proprietorship;2018 3rd quarter;132;8.7;233.0
98;A-U All economic activities;Natural persons with sole proprietorship;2018 4th quarter;95;9.1;187.0
99;A-U All economic activities;Natural persons with sole proprietorship;2018;488;8.6;880.0
100;A-U All economic activities;Natural persons with sole proprietorship;2019 1st quarter;163;7.8;350.0
101;A-U All economic activities;Natural persons with sole proprietorship;2019 2nd quarter;128;6.1;225.0
102;A-U All economic activities;Natural persons with sole proprietorship;2019 3rd quarter;146;7.9;271.0
103;A-U All economic activities;Natural persons with sole proprietorship;2019 4th quarter;147;7.5;322.0
104;A-U All economic activities;Natural persons with sole proprietorship;2019;584;7.4;1168.0
105;A-U All economic activities;Natural persons with sole proprietorship;2020 1st quarter;146;7.9;297.0
106;A-U All economic activities;Natural persons with sole proprietorship;2020 2nd quarter;133;9.9;258.0
107;A-U All economic activities;Natural persons with sole proprietorship;2020 3rd quarter;90;7.6;174.0
108;A-U All economic activities;Natural persons with sole proprietorship;2020 4th quarter;105;9.0;177.0
109;A-U All economic activities;Natural persons with sole proprietorship;2020;474;8.6;905.0
110;A-U All economic activities;Natural persons with sole proprietorship;2021 1st quarter;83;5.3;134.0
111;A-U All economic activities;Natural persons with sole proprietorship;2021 2nd quarter;80;7.9;143.0
112;A-U All economic activities;Natural persons with sole proprietorship;2021 3rd quarter;55;5.9;112.0
113;A-U All economic activities;Natural persons with sole proprietorship;2021 4th quarter;63;5.3;86.0
114;A-U All economic activities;Natural persons with sole proprietorship;2021;281;6.1;475.0
115;A-U All economic activities;Natural persons with sole proprietorship;2022 1st quarter;59;4.5;76.0
116;A-U All economic activities;Natural persons with sole proprietorship;2022 2nd quarter;80;5.5;127.0
117;A-U All economic activities;Natural persons with sole proprietorship;2022 3rd quarter;64;6.2;105.0
118;A-U All economic activities;Natural persons with sole proprietorship;2022 4th quarter;86;6.5;150.0
119;A-U All economic activities;Natural persons with sole proprietorship;2022;289;5.8;457.0
120;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2015 1st quarter;19;8.7;31.0
121;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2015 2nd quarter;22;11.1;104.0
122;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2015 3rd quarter;19;12.5;74.0
123;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2015 4th quarter;14;12.7;73.0
124;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2015;74;11.1;282.0
125;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2016 1st quarter;21;12.5;70.0
126;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2016 2nd quarter;9;13.2;17.0
127;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2016 3rd quarter;9;16.2;20.0
128;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2016 4th quarter;8;5.8;30.0
129;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2016;47;12.2;137.0
130;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2017 1st quarter;13;13.2;55.0
131;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2017 2nd quarter;7;11.6;21.0
132;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2017 3rd quarter;4;4.0;10.0
133;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2017 4th quarter;7;14.9;15.0
134;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2017;31;12.0;100.0
135;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2018 1st quarter;10;5.4;89.0
136;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2018 2nd quarter;9;11.0;30.0
137;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2018 3rd quarter;8;11.7;26.0
138;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2018 4th quarter;10;15.1;36.0
139;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2018;37;10.7;181.0
140;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2019 1st quarter;7;8.8;15.0
141;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2019 2nd quarter;6;11.1;31.0
142;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2019 3rd quarter;5;9.8;16.0
143;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2019 4th quarter;13;13.9;211.0
144;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2019;31;11.6;272.0
145;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2020 1st quarter;4;28.0;42.0
146;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2020 2nd quarter;7;7.6;38.0
147;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2020 3rd quarter;4;17.0;5.0
148;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2020 4th quarter;5;8.5;9.0
149;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2020;20;13.8;94.0
150;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2021 1st quarter;4;6.8;4.0
151;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2021 2nd quarter;5;10.4;8.0
152;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2021 3rd quarter;3;30.2;7.0
153;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2021 4th quarter;4;15.8;8.0
154;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2021;16;14.6;26.0
155;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2022 1st quarter;5;8.6;45.0
156;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2022 2nd quarter;3;6.5;4.0
157;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2022 3rd quarter;4;10.0;53.0
158;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2022 4th quarter;19;10.5;73.0
159;A Agriculture, forestry and fishing;Total entities with/without legal pers.;2022;31;9.7;175.0
160;A Agriculture, forestry and fishing;Companies and institutions;2015 1st quarter;16;9.1;27.0
161;A Agriculture, forestry and fishing;Companies and institutions;2015 2nd quarter;18;9.5;96.0
162;A Agriculture, forestry and fishing;Companies and institutions;2015 3rd quarter;15;12.1;64.0
163;A Agriculture, forestry and fishing;Companies and institutions;2015 4th quarter;11;10.6;46.0
164;A Agriculture, forestry and fishing;Companies and institutions;2015;60;10.2;232.0
165;A Agriculture, forestry and fishing;Companies and institutions;2016 1st quarter;14;11.0;56.0
166;A Agriculture, forestry and fishing;Companies and institutions;2016 2nd quarter;6;12.9;11.0
167;A Agriculture, forestry and fishing;Companies and institutions;2016 3rd quarter;6;21.1;17.0
168;A Agriculture, forestry and fishing;Companies and institutions;2016 4th quarter;5;6.0;23.0
169;A Agriculture, forestry and fishing;Companies and institutions;2016;31;12.5;107.0
170;A Agriculture, forestry and fishing;Companies and institutions;2017 1st quarter;10;16.5;48.0
171;A Agriculture, forestry and fishing;Companies and institutions;2017 2nd quarter;5;14.4;18.0
172;A Agriculture, forestry and fishing;Companies and institutions;2017 3rd quarter;3;4.2;9.0
173;A Agriculture, forestry and fishing;Companies and institutions;2017 4th quarter;5;10.0;10.0
174;A Agriculture, forestry and fishing;Companies and institutions;2017;23;13.0;84.0
175;A Agriculture, forestry and fishing;Companies and institutions;2018 1st quarter;8;5.9;87.0
176;A Agriculture, forestry and fishing;Companies and institutions;2018 2nd quarter;6;9.5;20.0
177;A Agriculture, forestry and fishing;Companies and institutions;2018 3rd quarter;4;9.1;6.0
178;A Agriculture, forestry and fishing;Companies and institutions;2018 4th quarter;9;13.3;35.0
179;A Agriculture, forestry and fishing;Companies and institutions;2018;27;9.7;147.0
180;A Agriculture, forestry and fishing;Companies and institutions;2019 1st quarter;4;11.5;12.0
181;A Agriculture, forestry and fishing;Companies and institutions;2019 2nd quarter;6;11.1;31.0
182;A Agriculture, forestry and fishing;Companies and institutions;2019 3rd quarter;2;6.6;6.0
183;A Agriculture, forestry and fishing;Companies and institutions;2019 4th quarter;11;13.8;207.0
184;A Agriculture, forestry and fishing;Companies and institutions;2019;23;12.1;255.0
185;A Agriculture, forestry and fishing;Companies and institutions;2020 1st quarter;3;12.1;41.0
186;A Agriculture, forestry and fishing;Companies and institutions;2020 2nd quarter;7;7.6;38.0
187;A Agriculture, forestry and fishing;Companies and institutions;2020 3rd quarter;3;18.3;4.0
188;A Agriculture, forestry and fishing;Companies and institutions;2020 4th quarter;4;8.3;8.0
189;A Agriculture, forestry and fishing;Companies and institutions;2020;17;10.4;91.0
190;A Agriculture, forestry and fishing;Companies and institutions;2021 1st quarter;3;6.2;3.0
191;A Agriculture, forestry and fishing;Companies and institutions;2021 2nd quarter;3;8.2;5.0
192;A Agriculture, forestry and fishing;Companies and institutions;2021 3rd quarter;2;23.7;3.0
193;A Agriculture, forestry and fishing;Companies and institutions;2021 4th quarter;4;15.8;8.0
194;A Agriculture, forestry and fishing;Companies and institutions;2021;12;12.8;19.0
195;A Agriculture, forestry and fishing;Companies and institutions;2022 1st quarter;5;8.6;45.0
196;A Agriculture, forestry and fishing;Companies and institutions;2022 2nd quarter;2;7.6;4.0
197;A Agriculture, forestry and fishing;Companies and institutions;2022 3rd quarter;3;12.8;52.0
198;A Agriculture, forestry and fishing;Companies and institutions;2022 4th quarter;17;10.2;71.0
199;A Agriculture, forestry and fishing;Companies and institutions;2022;27;10.0;171.0
200;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2015 1st quarter;3;6.5;4.0
201;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2015 2nd quarter;4;21.1;9.0
202;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2015 3rd quarter;4;13.9;10.0
203;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2015 4th quarter;3;20.2;27.0
204;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2015;14;15.3;50.0
205;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2016 1st quarter;7;15.4;14.0
206;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2016 2nd quarter;3;13.9;6.0
207;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2016 3rd quarter;3;6.4;3.0
208;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2016 4th quarter;3;5.5;6.0
209;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2016;16;11.6;30.0
210;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2017 1st quarter;3;2.3;7.0
211;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2017 2nd quarter;2;4.5;3.0
212;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2017 3rd quarter;1;3.4;1.0
213;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2017 4th quarter;2;26.9;5.0
214;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2017;8;9.1;16.0
215;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2018 1st quarter;2;3.4;2.0
216;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2018 2nd quarter;3;15.3;10.0
217;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2018 3rd quarter;4;14.4;21.0
218;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2018 4th quarter;1;30.7;1.0
219;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2018;10;14.0;34.0
220;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2019 1st quarter;3;6.2;3.0
221;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2019 2nd quarter;0;;
222;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2019 3rd quarter;3;11.8;10.0
223;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2019 4th quarter;2;14.2;4.0
224;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2019;8;10.3;17.0
225;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2020 1st quarter;1;75.7;1.0
226;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2020 2nd quarter;0;;
227;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2020 3rd quarter;1;13.1;1.0
228;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2020 4th quarter;1;9.3;1.0
229;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2020;3;32.7;3.0
230;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2021 1st quarter;1;8.5;1.0
231;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2021 2nd quarter;2;13.8;3.0
232;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2021 3rd quarter;1;43.4;4.0
233;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2021 4th quarter;0;;
234;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2021;4;19.9;8.0
235;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2022 1st quarter;0;;
236;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2022 2nd quarter;1;4.4;1.0
237;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2022 3rd quarter;1;1.5;1.0
238;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2022 4th quarter;2;13.3;2.0
239;A Agriculture, forestry and fishing;Natural persons with sole proprietorship;2022;4;8.1;4.0
240;B Mining and quarrying;Total entities with/without legal pers.;2015 1st quarter;0;;
241;B Mining and quarrying;Total entities with/without legal pers.;2015 2nd quarter;1;4.0;0.0
242;B Mining and quarrying;Total entities with/without legal pers.;2015 3rd quarter;0;;
243;B Mining and quarrying;Total entities with/without legal pers.;2015 4th quarter;1;11.6;28.0
244;B Mining and quarrying;Total entities with/without legal pers.;2015;2;7.8;28.0
245;B Mining and quarrying;Total entities with/without legal pers.;2016 1st quarter;0;;
246;B Mining and quarrying;Total entities with/without legal pers.;2016 2nd quarter;0;;
247;B Mining and quarrying;Total entities with/without legal pers.;2016 3rd quarter;0;;
248;B Mining and quarrying;Total entities with/without legal pers.;2016 4th quarter;0;;
249;B Mining and quarrying;Total entities with/without legal pers.;2016;0;;
250;B Mining and quarrying;Total entities with/without legal pers.;2017 1st quarter;0;;
251;B Mining and quarrying;Total entities with/without legal pers.;2017 2nd quarter;0;;
252;B Mining and quarrying;Total entities with/without legal pers.;2017 3rd quarter;1;3.0;2.0
253;B Mining and quarrying;Total entities with/without legal pers.;2017 4th quarter;0;;
254;B Mining and quarrying;Total entities with/without legal pers.;2017;1;3.0;2.0
255;B Mining and quarrying;Total entities with/without legal pers.;2018 1st quarter;0;;
256;B Mining and quarrying;Total entities with/without legal pers.;2018 2nd quarter;0;;
257;B Mining and quarrying;Total entities with/without legal pers.;2018 3rd quarter;1;2.4;1.0
258;B Mining and quarrying;Total entities with/without legal pers.;2018 4th quarter;0;;
259;B Mining and quarrying;Total entities with/without legal pers.;2018;1;2.4;1.0
260;B Mining and quarrying;Total entities with/without legal pers.;2019 1st quarter;1;5.6;0.0
261;B Mining and quarrying;Total entities with/without legal pers.;2019 2nd quarter;0;;
262;B Mining and quarrying;Total entities with/without legal pers.;2019 3rd quarter;1;8.5;4.0
263;B Mining and quarrying;Total entities with/without legal pers.;2019 4th quarter;0;;
264;B Mining and quarrying;Total entities with/without legal pers.;2019;2;7.0;4.0
265;B Mining and quarrying;Total entities with/without legal pers.;2020 1st quarter;0;;
266;B Mining and quarrying;Total entities with/without legal pers.;2020 2nd quarter;0;;
267;B Mining and quarrying;Total entities with/without legal pers.;2020 3rd quarter;0;;
268;B Mining and quarrying;Total entities with/without legal pers.;2020 4th quarter;0;;
269;B Mining and quarrying;Total entities with/without legal pers.;2020;0;;
270;B Mining and quarrying;Total entities with/without legal pers.;2021 1st quarter;0;;
271;B Mining and quarrying;Total entities with/without legal pers.;2021 2nd quarter;0;;
272;B Mining and quarrying;Total entities with/without legal pers.;2021 3rd quarter;0;;
273;B Mining and quarrying;Total entities with/without legal pers.;2021 4th quarter;0;;
274;B Mining and quarrying;Total entities with/without legal pers.;2021;0;;
275;B Mining and quarrying;Total entities with/without legal pers.;2022 1st quarter;0;;
276;B Mining and quarrying;Total entities with/without legal pers.;2022 2nd quarter;0;;
277;B Mining and quarrying;Total entities with/without legal pers.;2022 3rd quarter;0;;
278;B Mining and quarrying;Total entities with/without legal pers.;2022 4th quarter;0;;
279;B Mining and quarrying;Total entities with/without legal pers.;2022;0;;
280;B Mining and quarrying;Companies and institutions;2015 1st quarter;0;;
281;B Mining and quarrying;Companies and institutions;2015 2nd quarter;1;4.0;0.0
282;B Mining and quarrying;Companies and institutions;2015 3rd quarter;0;;
283;B Mining and quarrying;Companies and institutions;2015 4th quarter;1;11.6;28.0
284;B Mining and quarrying;Companies and institutions;2015;2;7.8;28.0
285;B Mining and quarrying;Companies and institutions;2016 1st quarter;0;;
286;B Mining and quarrying;Companies and institutions;2016 2nd quarter;0;;
287;B Mining and quarrying;Companies and institutions;2016 3rd quarter;0;;
288;B Mining and quarrying;Companies and institutions;2016 4th quarter;0;;
289;B Mining and quarrying;Companies and institutions;2016;0;;
290;B Mining and quarrying;Companies and institutions;2017 1st quarter;0;;
291;B Mining and quarrying;Companies and institutions;2017 2nd quarter;0;;
292;B Mining and quarrying;Companies and institutions;2017 3rd quarter;1;3.0;2.0
293;B Mining and quarrying;Companies and institutions;2017 4th quarter;0;;
294;B Mining and quarrying;Companies and institutions;2017;1;3.0;2.0
295;B Mining and quarrying;Companies and institutions;2018 1st quarter;0;;
296;B Mining and quarrying;Companies and institutions;2018 2nd quarter;0;;
297;B Mining and quarrying;Companies and institutions;2018 3rd quarter;1;2.4;1.0
298;B Mining and quarrying;Companies and institutions;2018 4th quarter;0;;
299;B Mining and quarrying;Companies and institutions;2018;1;2.4;1.0
300;B Mining and quarrying;Companies and institutions;2019 1st quarter;1;5.6;0.0
301;B Mining and quarrying;Companies and institutions;2019 2nd quarter;0;;
302;B Mining and quarrying;Companies and institutions;2019 3rd quarter;1;8.5;4.0
303;B Mining and quarrying;Companies and institutions;2019 4th quarter;0;;
304;B Mining and quarrying;Companies and institutions;2019;2;7.0;4.0
305;B Mining and quarrying;Companies and institutions;2020 1st quarter;0;;
306;B Mining and quarrying;Companies and institutions;2020 2nd quarter;0;;
307;B Mining and quarrying;Companies and institutions;2020 3rd quarter;0;;
308;B Mining and quarrying;Companies and institutions;2020 4th quarter;0;;
309;B Mining and quarrying;Companies and institutions;2020;0;;
310;B Mining and quarrying;Companies and institutions;2021 1st quarter;0;;
311;B Mining and quarrying;Companies and institutions;2021 2nd quarter;0;;
312;B Mining and quarrying;Companies and institutions;2021 3rd quarter;0;;
313;B Mining and quarrying;Companies and institutions;2021 4th quarter;0;;
314;B Mining and quarrying;Companies and institutions;2021;0;;
315;B Mining and quarrying;Companies and institutions;2022 1st quarter;0;;
316;B Mining and quarrying;Companies and institutions;2022 2nd quarter;0;;
317;B Mining and quarrying;Companies and institutions;2022 3rd quarter;0;;
318;B Mining and quarrying;Companies and institutions;2022 4th quarter;0;;
319;B Mining and quarrying;Companies and institutions;2022;0;;
320;B Mining and quarrying;Natural persons with sole proprietorship;2015 1st quarter;0;;
321;B Mining and quarrying;Natural persons with sole proprietorship;2015 2nd quarter;0;;
322;B Mining and quarrying;Natural persons with sole proprietorship;2015 3rd quarter;0;;
323;B Mining and quarrying;Natural persons with sole proprietorship;2015 4th quarter;0;;
324;B Mining and quarrying;Natural persons with sole proprietorship;2015;0;;
325;B Mining and quarrying;Natural persons with sole proprietorship;2016 1st quarter;0;;
326;B Mining and quarrying;Natural persons with sole proprietorship;2016 2nd quarter;0;;
327;B Mining and quarrying;Natural persons with sole proprietorship;2016 3rd quarter;0;;
