ID;EmploymentType;Sex;Periods;EmployedPersons_1;Jobs_2;HoursWorked_3;HoursWorkedPerEmployedPerson_4;HoursWorkedPerJob_5;EmployedPersons_6;Jobs_7;HoursWorked_8;HoursWorkedPerEmployedPerson_9;HoursWorkedPerJob_10
73;Total;Total male and female;2024 4th quarter;10397;11714;3894;375;332;10376.0;11695.0;3739.0;360.0;320.0
74;Total;Total male and female;2024;10339;11645;14902;1441;1280;;;;;
75;Total;Male;2010 1st quarter;4600;5101;1974;429;387;4641.0;5139.0;1943.0;419.0;378.0
76;Total;Male;2010 2nd quarter;4671;5195;1847;395;355;4656.0;5170.0;1960.0;421.0;379.0
77;Total;Male;2010 3rd quarter;4679;5192;1888;403;364;4655.0;5169.0;1983.0;426.0;384.0
78;Total;Male;2010 4th quarter;4656;5164;2107;453;408;4659.0;5173.0;1969.0;423.0;381.0
79;Total;Male;2010;4652;5163;7816;1680;1514;;;;;
80;Total;Male;2011 1st quarter;4639;5173;2015;434;390;4668.0;5199.0;1973.0;423.0;379.0
81;Total;Male;2011 2nd quarter;4688;5237;1880;401;359;4683.0;5222.0;1953.0;417.0;374.0
82;Total;Male;2011 3rd quarter;4716;5252;1896;402;361;4687.0;5226.0;1982.0;423.0;379.0
83;Total;Male;2011 4th quarter;4688;5223;2071;442;397;4683.0;5220.0;1981.0;423.0;380.0
84;Total;Male;2011;4683;5222;7863;1679;1506;;;;;
85;Total;Male;2012 1st quarter;4635;5161;2020;436;391;4680.0;5213.0;1964.0;420.0;377.0
86;Total;Male;2012 2nd quarter;4683;5231;1880;401;359;4667.0;5198.0;1963.0;421.0;378.0
87;Total;Male;2012 3rd quarter;4661;5186;1843;395;355;4643.0;5172.0;1942.0;418.0;375.0
88;Total;Male;2012 4th quarter;4631;5156;2006;433;389;4616.0;5139.0;1925.0;417.0;375.0
89;Total;Male;2012;4652;5184;7749;1666;1495;;;;;
90;Total;Male;2013 1st quarter;4540;5050;1936;426;383;4586.0;5101.0;1921.0;419.0;377.0
91;Total;Male;2013 2nd quarter;4586;5106;1856;405;364;4575.0;5086.0;1932.0;422.0;380.0
92;Total;Male;2013 3rd quarter;4608;5116;1850;401;362;4574.0;5084.0;1931.0;422.0;380.0
93;Total;Male;2013 4th quarter;4568;5074;2011;440;396;4573.0;5080.0;1933.0;423.0;380.0
94;Total;Male;2013;4576;5087;7653;1673;1504;;;;;
95;Total;Male;2014 1st quarter;4515;5026;1952;432;388;4561.0;5074.0;1939.0;425.0;382.0
96;Total;Male;2014 2nd quarter;4583;5111;1865;407;365;4567.0;5081.0;1915.0;419.0;377.0
97;Total;Male;2014 3rd quarter;4584;5092;1863;406;366;4570.0;5087.0;1946.0;426.0;383.0
98;Total;Male;2014 4th quarter;4592;5117;2024;441;396;4577.0;5105.0;1946.0;425.0;381.0
99;Total;Male;2014;4569;5087;7704;1686;1514;;;;;
100;Total;Male;2015 1st quarter;4547;5071;1952;429;385;4592.0;5121.0;1942.0;423.0;379.0
101;Total;Male;2015 2nd quarter;4615;5159;1860;403;360;4605.0;5139.0;1942.0;422.0;378.0
102;Total;Male;2015 3rd quarter;4653;5188;1876;403;362;4624.0;5158.0;1961.0;424.0;380.0
103;Total;Male;2015 4th quarter;4641;5172;2072;447;401;4641.0;5179.0;1973.0;425.0;381.0
104;Total;Male;2015;4614;5148;7759;1682;1507;;;;;
105;Total;Male;2016 1st quarter;4608;5147;1983;430;385;4651.0;5186.0;1977.0;425.0;381.0
106;Total;Male;2016 2nd quarter;4693;5242;1953;416;373;4677.0;5215.0;1996.0;427.0;383.0
107;Total;Male;2016 3rd quarter;4716;5250;1895;402;361;4698.0;5237.0;1983.0;422.0;379.0
108;Total;Male;2016 4th quarter;4729;5269;2087;441;396;4719.0;5259.0;2008.0;426.0;382.0
109;Total;Male;2016;4687;5227;7919;1690;1515;;;;;
110;Total;Male;2017 1st quarter;4701;5246;2057;438;392;4743.0;5288.0;2012.0;424.0;381.0
111;Total;Male;2017 2nd quarter;4792;5355;1984;414;370;4773.0;5322.0;2043.0;428.0;384.0
112;Total;Male;2017 3rd quarter;4825;5369;1937;401;361;4807.0;5364.0;2045.0;425.0;381.0
113;Total;Male;2017 4th quarter;4842;5408;2102;434;389;4839.0;5404.0;2045.0;422.0;378.0
114;Total;Male;2017;4790;5345;8079;1687;1512;;;;;
115;Total;Male;2018 1st quarter;4841;5408;2090;432;387;4872.0;5441.0;2064.0;424.0;379.0
116;Total;Male;2018 2nd quarter;4904;5474;2010;410;367;4899.0;5467.0;2069.0;422.0;378.0
117;Total;Male;2018 3rd quarter;4954;5518;1981;400;359;4929.0;5498.0;2092.0;424.0;381.0
118;Total;Male;2018 4th quarter;4954;5523;2177;439;394;4962.0;5528.0;2101.0;423.0;380.0
119;Total;Male;2018;4913;5481;8258;1681;1507;;;;;
120;Total;Male;2019 1st quarter;4964;5528;2129;429;385;4988.0;5558.0;2119.0;425.0;381.0
121;Total;Male;2019 2nd quarter;5021;5594;2073;413;371;5006.0;5573.0;2112.0;422.0;379.0
122;Total;Male;2019 3rd quarter;5024;5588;2017;401;361;5019.0;5587.0;2110.0;420.0;378.0
123;Total;Male;2019 4th quarter;5047;5622;2196;435;391;5029.0;5601.0;2123.0;422.0;379.0
124;Total;Male;2019;5014;5583;8414;1678;1507;;;;;
125;Total;Male;2020 1st quarter;4990;5549;2050;411;369;5025.0;5592.0;2020.0;402.0;361.0
126;Total;Male;2020 2nd quarter;4929;5466;1951;396;357;4911.0;5435.0;2024.0;412.0;372.0
127;Total;Male;2020 3rd quarter;4973;5506;1879;378;341;4973.0;5509.0;2015.0;405.0;366.0
128;Total;Male;2020 4th quarter;4977;5519;2143;431;388;4977.0;5511.0;2035.0;409.0;369.0
129;Total;Male;2020;4967;5510;8023;1615;1456;;;;;
130;Total;Male;2021 1st quarter;4972;5518;2130;428;386;4988.0;5527.0;2101.0;421.0;380.0
131;Total;Male;2021 2nd quarter;5045;5612;2075;411;370;5030.0;5583.0;2117.0;421.0;379.0
132;Total;Male;2021 3rd quarter;5079;5636;1920;378;341;5084.0;5651.0;2055.0;404.0;364.0
133;Total;Male;2021 4th quarter;5123;5695;2218;433;389;5113.0;5685.0;2088.0;408.0;367.0
134;Total;Male;2021;5055;5616;8342;1650;1486;;;;;
135;Total;Male;2022 1st quarter;5154;5723;2184;424;382;5176.0;5752.0;2136.0;413.0;371.0
136;Total;Male;2022 2nd quarter;5240;5832;2102;401;360;5230.0;5814.0;2148.0;411.0;369.0
137;Total;Male;2022 3rd quarter;5273;5860;2061;391;352;5271.0;5858.0;2196.0;417.0;375.0
138;Total;Male;2022 4th quarter;5307;5900;2276;429;386;5289.0;5880.0;2185.0;413.0;372.0
139;Total;Male;2022;5244;5829;8623;1644;1479;;;;;
140;Total;Male;2023 1st quarter;5263;5851;2251;428;385;5295.0;5892.0;2184.0;412.0;371.0
141;Total;Male;2023 2nd quarter;5315;5925;2131;401;360;5305.0;5910.0;2182.0;411.0;369.0
142;Total;Male;2023 3rd quarter;5341;5945;2068;387;348;5337.0;5943.0;2216.0;415.0;373.0
143;Total;Male;2023 4th quarter;5382;5998;2274;422;379;5362.0;5967.0;2205.0;411.0;369.0
144;Total;Male;2023;5326;5930;8724;1638;1471;;;;;
145;Total;Male;2024 1st quarter;5357;5940;2251;420;379;5380.0;5985.0;2207.0;410.0;369.0
146;Total;Male;2024 2nd quarter;5393;6018;2182;405;363;5385.0;5995.0;2216.0;411.0;370.0
147;Total;Male;2024 3rd quarter;5395;6013;2093;388;348;5392.0;6011.0;2218.0;411.0;369.0
148;Total;Male;2024 4th quarter;5432;6061;2303;424;380;5419.0;6046.0;2213.0;408.0;366.0
149;Total;Male;2024;5394;6008;8830;1637;1470;;;;;
150;Total;Female;2010 1st quarter;4089;4626;1206;295;261;4105.0;4641.0;1180.0;287.0;254.0
151;Total;Female;2010 2nd quarter;4129;4681;1106;268;236;4122.0;4667.0;1181.0;287.0;253.0
152;Total;Female;2010 3rd quarter;4142;4683;1140;275;243;4134.0;4677.0;1196.0;289.0;256.0
153;Total;Female;2010 4th quarter;4148;4686;1289;311;275;4144.0;4688.0;1207.0;291.0;257.0
154;Total;Female;2010;4127;4669;4740;1148;1015;;;;;
155;Total;Female;2011 1st quarter;4140;4702;1231;297;262;4152.0;4716.0;1196.0;288.0;254.0
156;Total;Female;2011 2nd quarter;4170;4752;1138;273;239;4166.0;4737.0;1190.0;286.0;251.0
157;Total;Female;2011 3rd quarter;4181;4750;1155;276;243;4171.0;4746.0;1211.0;290.0;255.0
158;Total;Female;2011 4th quarter;4176;4753;1276;306;268;4172.0;4750.0;1220.0;293.0;257.0
159;Total;Female;2011;4167;4740;4799;1152;1013;;;;;
160;Total;Female;2012 1st quarter;4156;4724;1261;303;267;4176.0;4751.0;1215.0;291.0;256.0
161;Total;Female;2012 2nd quarter;4179;4761;1150;275;241;4176.0;4746.0;1210.0;290.0;255.0
162;Total;Female;2012 3rd quarter;4182;4745;1135;271;239;4171.0;4738.0;1203.0;288.0;254.0
163;Total;Female;2012 4th quarter;4182;4744;1255;300;265;4167.0;4731.0;1203.0;289.0;254.0
164;Total;Female;2012;4175;4743;4800;1150;1012;;;;;
165;Total;Female;2013 1st quarter;4130;4680;1221;296;261;4158.0;4716.0;1200.0;289.0;255.0
166;Total;Female;2013 2nd quarter;4153;4726;1159;279;245;4149.0;4709.0;1215.0;293.0;258.0
167;Total;Female;2013 3rd quarter;4148;4705;1147;276;244;4140.0;4698.0;1206.0;291.0;257.0
168;Total;Female;2013 4th quarter;4141;4691;1260;304;269;4133.0;4689.0;1208.0;292.0;258.0
169;Total;Female;2013;4143;4700;4786;1155;1018;;;;;
170;Total;Female;2014 1st quarter;4095;4640;1230;300;265;4129.0;4680.0;1211.0;293.0;259.0
171;Total;Female;2014 2nd quarter;4142;4712;1160;280;246;4133.0;4688.0;1199.0;290.0;256.0
172;Total;Female;2014 3rd quarter;4147;4702;1158;279;246;4140.0;4701.0;1219.0;294.0;259.0
173;Total;Female;2014 4th quarter;4163;4729;1273;306;269;4145.0;4711.0;1219.0;294.0;259.0
174;Total;Female;2014;4137;4696;4820;1165;1026;;;;;
175;Total;Female;2015 1st quarter;4106;4674;1228;299;263;4146.0;4723.0;1212.0;292.0;257.0
176;Total;Female;2015 2nd quarter;4169;4764;1160;278;243;4156.0;4738.0;1219.0;293.0;257.0
177;Total;Female;2015 3rd quarter;4178;4756;1165;279;245;4168.0;4753.0;1229.0;295.0;259.0
178;Total;Female;2015 4th quarter;4192;4778;1312;313;275;4183.0;4772.0;1244.0;297.0;261.0
179;Total;Female;2015;4161;4743;4864;1169;1025;;;;;
180;Total;Female;2016 1st quarter;4164;4750;1261;303;266;4187.0;4778.0;1248.0;298.0;261.0
181;Total;Female;2016 2nd quarter;4215;4818;1228;291;255;4209.0;4800.0;1261.0;300.0;263.0
182;Total;Female;2016 3rd quarter;4238;4823;1188;280;246;4232.0;4821.0;1253.0;296.0;260.0
183;Total;Female;2016 4th quarter;4271;4861;1333;312;274;4259.0;4853.0;1277.0;300.0;263.0
184;Total;Female;2016;4222;4813;5009;1186;1041;;;;;
185;Total;Female;2017 1st quarter;4257;4848;1319;310;272;4286.0;4885.0;1281.0;299.0;262.0
186;Total;Female;2017 2nd quarter;4320;4934;1255;290;254;4312.0;4915.0;1299.0;301.0;264.0
187;Total;Female;2017 3rd quarter;4348;4953;1227;282;248;4339.0;4948.0;1307.0;301.0;264.0
188;Total;Female;2017 4th quarter;4376;4987;1348;308;270;4369.0;4979.0;1308.0;299.0;263.0
189;Total;Female;2017;4326;4931;5149;1190;1044;;;;;
190;Total;Female;2018 1st quarter;4374;4979;1349;308;271;4405.0;5019.0;1323.0;300.0;264.0
191;Total;Female;2018 2nd quarter;4446;5077;1288;290;254;4437.0;5056.0;1331.0;300.0;263.0
192;Total;Female;2018 3rd quarter;4477;5097;1274;285;250;4467.0;5088.0;1355.0;303.0;266.0
193;Total;Female;2018 4th quarter;4493;5113;1414;315;277;4492.0;5113.0;1364.0;304.0;267.0
194;Total;Female;2018;4448;5067;5325;1197;1051;;;;;
195;Total;Female;2019 1st quarter;4499;5110;1392;309;272;4521.0;5142.0;1378.0;305.0;268.0
196;Total;Female;2019 2nd quarter;4559;5186;1355;297;261;4546.0;5161.0;1384.0;304.0;268.0
197;Total;Female;2019 3rd quarter;4564;5180;1327;291;256;4565.0;5183.0;1395.0;305.0;269.0
198;Total;Female;2019 4th quarter;4611;5244;1455;316;278;4588.0;5213.0;1408.0;307.0;270.0
199;Total;Female;2019;4558;5180;5529;1213;1067;;;;;
200;Total;Female;2020 1st quarter;4568;5179;1361;298;263;4597.0;5220.0;1336.0;291.0;256.0
201;Total;Female;2020 2nd quarter;4506;5088;1285;285;253;4500.0;5067.0;1340.0;298.0;264.0
202;Total;Female;2020 3rd quarter;4575;5167;1251;273;242;4570.0;5164.0;1358.0;297.0;263.0
203;Total;Female;2020 4th quarter;4577;5169;1434;313;277;4564.0;5157.0;1359.0;298.0;264.0
204;Total;Female;2020;4557;5151;5331;1170;1035;;;;;
205;Total;Female;2021 1st quarter;4496;5099;1407;313;276;4532.0;5153.0;1378.0;304.0;267.0
206;Total;Female;2021 2nd quarter;4615;5263;1396;302;265;4603.0;5240.0;1425.0;310.0;272.0
207;Total;Female;2021 3rd quarter;4689;5348;1304;278;244;4691.0;5343.0;1408.0;300.0;264.0
208;Total;Female;2021 4th quarter;4737;5391;1526;322;283;4722.0;5375.0;1433.0;303.0;267.0
209;Total;Female;2021;4635;5276;5633;1215;1068;;;;;
210;Total;Female;2022 1st quarter;4756;5398;1493;314;277;4773.0;5426.0;1451.0;304.0;267.0
211;Total;Female;2022 2nd quarter;4820;5497;1432;297;260;4808.0;5474.0;1466.0;305.0;268.0
212;Total;Female;2022 3rd quarter;4825;5504;1407;292;256;4837.0;5512.0;1511.0;312.0;274.0
213;Total;Female;2022 4th quarter;4897;5579;1571;321;282;4882.0;5563.0;1505.0;308.0;271.0
214;Total;Female;2022;4825;5495;5903;1223;1074;;;;;
215;Total;Female;2023 1st quarter;4891;5563;1557;318;280;4905.0;5590.0;1502.0;306.0;269.0
216;Total;Female;2023 2nd quarter;4920;5617;1471;299;262;4905.0;5593.0;1510.0;308.0;270.0
217;Total;Female;2023 3rd quarter;4890;5588;1410;288;252;4905.0;5598.0;1522.0;310.0;272.0
218;Total;Female;2023 4th quarter;4928;5621;1561;317;278;4916.0;5611.0;1511.0;307.0;269.0
219;Total;Female;2023;4907;5597;5999;1222;1072;;;;;
220;Total;Female;2024 1st quarter;4923;5598;1557;316;278;4934.0;5627.0;1518.0;308.0;270.0
221;Total;Female;2024 2nd quarter;4959;5665;1497;302;264;4943.0;5637.0;1523.0;308.0;270.0
222;Total;Female;2024 3rd quarter;4930;5632;1426;289;253;4949.0;5644.0;1520.0;307.0;269.0
223;Total;Female;2024 4th quarter;4965;5653;1591;320;281;4957.0;5650.0;1527.0;308.0;270.0
224;Total;Female;2024;4944;5637;6072;1228;1077;;;;;
225;Employees;Total male and female;2010 1st quarter;7296;7764;2560;351;330;7352.0;7830.0;2491.0;339.0;318.0
226;Employees;Total male and female;2010 2nd quarter;7404;7914;2308;312;292;7386.0;7882.0;2511.0;340.0;319.0
227;Employees;Total male and female;2010 3rd quarter;7439;7932;2421;325;305;7403.0;7897.0;2546.0;344.0;322.0
228;Employees;Total male and female;2010 4th quarter;7423;7909;2743;370;347;7417.0;7908.0;2549.0;344.0;322.0
229;Employees;Total male and female;2010;7391;7880;10032;1357;1273;;;;;
230;Employees;Total male and female;2011 1st quarter;7364;7871;2622;356;333;7426.0;7944.0;2530.0;341.0;318.0
231;Employees;Total male and female;2011 2nd quarter;7467;8005;2370;317;296;7447.0;7967.0;2509.0;337.0;315.0
232;Employees;Total male and female;2011 3rd quarter;7481;7990;2443;327;306;7444.0;7957.0;2558.0;344.0;321.0
233;Employees;Total male and female;2011 4th quarter;7437;7941;2669;359;336;7427.0;7938.0;2552.0;344.0;322.0
234;Employees;Total male and female;2011;7437;7952;10104;1359;1271;;;;;
235;Employees;Total male and female;2012 1st quarter;7354;7851;2651;361;338;7420.0;7928.0;2533.0;341.0;319.0
236;Employees;Total male and female;2012 2nd quarter;7428;7956;2368;319;298;7407.0;7914.0;2525.0;341.0;319.0
237;Employees;Total male and female;2012 3rd quarter;7418;7919;2369;319;299;7383.0;7889.0;2509.0;340.0;318.0
238;Employees;Total male and female;2012 4th quarter;7368;7862;2582;350;328;7356.0;7856.0;2479.0;337.0;316.0
239;Employees;Total male and female;2012;7392;7897;9970;1349;1262;;;;;
240;Employees;Total male and female;2013 1st quarter;7249;7727;2548;351;330;7317.0;7805.0;2495.0;341.0;320.0
241;Employees;Total male and female;2013 2nd quarter;7307;7811;2361;323;302;7285.0;7768.0;2505.0;344.0;322.0
242;Employees;Total male and female;2013 3rd quarter;7292;7762;2360;324;304;7259.0;7735.0;2474.0;341.0;320.0
243;Employees;Total male and female;2013 4th quarter;7258;7726;2579;355;334;7243.0;7717.0;2481.0;342.0;321.0
244;Employees;Total male and female;2013;7277;7757;9847;1353;1270;;;;;
245;Employees;Total male and female;2014 1st quarter;7151;7620;2545;356;334;7221.0;7699.0;2494.0;345.0;324.0
246;Employees;Total male and female;2014 2nd quarter;7250;7751;2341;323;302;7228.0;7708.0;2444.0;338.0;317.0
247;Employees;Total male and female;2014 3rd quarter;7269;7745;2390;329;309;7237.0;7719.0;2511.0;347.0;325.0
248;Employees;Total male and female;2014 4th quarter;7264;7744;2584;356;334;7247.0;7732.0;2485.0;343.0;321.0
249;Employees;Total male and female;2014;7234;7715;9859;1363;1278;;;;;
250;Employees;Total male and female;2015 1st quarter;7188;7664;2535;353;331;7260.0;7746.0;2489.0;343.0;321.0
251;Employees;Total male and female;2015 2nd quarter;7304;7812;2330;319;298;7281.0;7768.0;2483.0;341.0;320.0
252;Employees;Total male and female;2015 3rd quarter;7337;7818;2371;323;303;7306.0;7793.0;2497.0;342.0;320.0
253;Employees;Total male and female;2015 4th quarter;7353;7842;2661;362;339;7335.0;7827.0;2525.0;344.0;323.0
254;Employees;Total male and female;2015;7296;7784;9896;1356;1271;;;;;
255;Employees;Total male and female;2016 1st quarter;7272;7748;2562;352;331;7345.0;7831.0;2524.0;344.0;322.0
256;Employees;Total male and female;2016 2nd quarter;7413;7923;2472;333;312;7389.0;7878.0;2560.0;346.0;325.0
257;Employees;Total male and female;2016 3rd quarter;7458;7943;2411;323;303;7428.0;7920.0;2540.0;342.0;321.0
258;Employees;Total male and female;2016 4th quarter;7489;7981;2678;358;335;7470.0;7965.0;2575.0;345.0;323.0
259;Employees;Total male and female;2016;7408;7899;10122;1366;1281;;;;;
260;Employees;Total male and female;2017 1st quarter;7443;7932;2692;362;339;7516.0;8015.0;2590.0;345.0;323.0
261;Employees;Total male and female;2017 2nd quarter;7592;8113;2503;330;308;7568.0;8069.0;2619.0;346.0;325.0
262;Employees;Total male and female;2017 3rd quarter;7650;8152;2471;323;303;7623.0;8131.0;2634.0;346.0;324.0
263;Employees;Total male and female;2017 4th quarter;7698;8211;2701;351;329;7677.0;8192.0;2636.0;343.0;322.0
264;Employees;Total male and female;2017;7597;8103;10367;1365;1279;;;;;
265;Employees;Total male and female;2018 1st quarter;7668;8175;2735;357;335;7740.0;8258.0;2664.0;344.0;323.0
266;Employees;Total male and female;2018 2nd quarter;7812;8347;2566;329;307;7789.0;8303.0;2682.0;344.0;323.0
267;Employees;Total male and female;2018 3rd quarter;7865;8373;2541;323;303;7840.0;8355.0;2704.0;345.0;324.0
268;Employees;Total male and female;2018 4th quarter;7915;8430;2822;357;335;7892.0;8409.0;2729.0;346.0;325.0
269;Employees;Total male and female;2018;7816;8332;10665;1364;1280;;;;;
270;Employees;Total male and female;2019 1st quarter;7871;8383;2787;354;332;7941.0;8467.0;2746.0;346.0;324.0
