ID;Bedrijfskenmerken;Perioden;AandeelWerknemersDatHeeftVerzuimd_1;GemiddeldeVerzuimfrequentie_2;GemiddeldeVerzuimduur_3;k_1Tot5Werkdagen_4;k_5Tot20Werkdagen_5;k_20Tot210Werkdagen_6;k_210WerkdagenOfMeer_7;JaHoofdzakelijkGevolgVanMijnWerk_8;JaVoorEenDeelGevolgVanMijnWerk_9;NeeGeenGevolgVanMijnWerk_10;WeetNiet_11
38;Q Gezondheids- en welzijnszorg;2013;52.1;1.1;7.6;68.7;19.1;11.5;0.7;7.6;15.0;71.7;5.7
39;R-U Cultuur, recreatie, overige diensten;2011;46.8;1.0;6.7;66.4;21.5;11.3;0.8;6.4;14.0;76.0;3.6
40;R-U Cultuur, recreatie, overige diensten;2012;44.3;1.1;6.7;66.6;19.8;12.7;0.9;10.4;15.8;68.3;5.4
41;R-U Cultuur, recreatie, overige diensten;2013;40.2;1.0;5.4;66.1;17.5;15.7;0.6;5.3;14.1;75.8;4.8
42;B-F Nijverheid en energie;2011;47.3;1.0;9.4;55.4;28.1;15.3;1.1;11.8;16.6;65.4;6.2
43;B-F Nijverheid en energie;2012;46.3;1.0;8.9;55.0;28.1;15.1;1.8;13.5;15.7;63.7;7.1
44;B-F Nijverheid en energie;2013;45.6;0.9;8.0;54.5;29.5;14.7;1.3;10.5;16.0;67.3;6.1
45;G-I Handel, vervoer en horeca;2011;45.2;1.0;6.8;66.0;20.9;11.9;1.2;10.4;15.5;70.2;3.9
46;G-I Handel, vervoer en horeca;2012;43.9;1.0;6.9;65.9;20.6;12.6;0.8;9.4;15.6;70.4;4.6
47;G-I Handel, vervoer en horeca;2013;44.4;1.0;6.2;66.2;21.2;11.7;0.9;7.5;14.6;70.4;7.4
48;O-Q Overheid en zorg;2011;54.1;1.2;8.5;66.7;19.7;12.8;0.9;8.3;16.9;70.8;4.0
49;O-Q Overheid en zorg;2012;51.4;1.2;7.5;67.4;20.1;11.4;1.1;7.7;18.6;69.4;4.3
50;O-Q Overheid en zorg;2013;52.5;1.2;7.9;66.8;20.5;11.8;0.8;7.5;15.2;72.0;5.3
51;A-F Landbouw en nijverheid;2011;46.2;1.0;9.0;55.8;27.9;15.2;1.1;11.5;16.6;65.9;6.1
52;A-F Landbouw en nijverheid;2012;45.3;0.9;8.7;55.9;27.5;14.9;1.8;13.4;15.6;63.9;7.1
53;A-F Landbouw en nijverheid;2013;45.6;0.9;7.7;55.4;29.2;14.2;1.2;10.6;15.7;67.2;6.5
54;G-N Commerciële dienstverlening;2011;47.4;1.1;6.7;68.0;20.4;10.6;1.0;9.8;14.5;71.8;3.9
55;G-N Commerciële dienstverlening;2012;45.2;1.0;6.7;67.3;20.5;11.3;0.9;8.4;15.0;71.9;4.6
56;G-N Commerciële dienstverlening;2013;46.0;1.0;6.3;67.7;20.7;10.7;0.9;8.2;14.3;71.4;6.1
57;O-U Niet-commerciële dienstverlening;2011;53.3;1.2;8.3;66.7;19.9;12.6;0.9;8.1;16.7;71.3;4.0
58;O-U Niet-commerciële dienstverlening;2012;50.6;1.2;7.4;67.4;20.1;11.5;1.1;8.0;18.3;69.3;4.4
59;O-U Niet-commerciële dienstverlening;2013;51.3;1.2;7.7;66.7;20.3;12.1;0.8;7.4;15.1;72.3;5.3
60;20040;2011;40.3;0.8;5.5;69.4;17.8;12.1;0.7;10.2;14.0;71.6;4.2
61;20040;2012;40.4;1.0;6.6;66.4;19.1;12.8;1.7;8.0;16.0;71.4;4.6
62;20040;2013;38.5;0.9;5.3;67.2;20.1;11.9;0.8;7.4;16.3;70.0;6.3
63;20030;2011;37.1;0.8;5.6;69.3;16.2;13.9;0.5;9.1;15.5;72.2;3.2
64;20030;2012;35.8;0.9;6.5;64.3;19.2;13.7;2.8;10.3;17.4;67.7;4.7
65;20030;2013;33.2;0.7;4.0;65.4;20.2;13.6;0.8;7.8;13.1;72.9;6.2
66;10200;2011;42.0;0.9;5.5;69.4;18.6;11.2;0.8;10.7;13.3;71.3;4.6
67;10200;2012;42.8;1.0;6.6;67.3;19.1;12.4;1.3;6.9;15.4;73.1;4.6
68;10200;2013;41.5;0.9;6.0;68.0;20.0;11.2;0.8;7.3;17.8;68.7;6.3
69;20240;2011;49.2;1.1;7.2;65.5;21.9;12.0;0.6;9.2;17.1;69.5;4.2
70;20240;2012;46.5;1.1;6.9;66.4;21.3;11.3;1.1;9.8;16.2;69.1;4.9
71;20240;2013;47.1;1.1;6.6;66.3;21.3;11.4;0.9;8.3;14.9;70.7;6.2
72;20260;2011;48.5;1.2;7.1;65.5;22.2;11.6;0.7;8.6;18.4;68.7;4.3
73;20260;2012;45.5;1.0;6.8;66.3;21.0;11.8;1.0;9.2;16.1;69.9;4.8
74;20260;2013;45.7;1.1;6.2;66.9;21.1;11.1;0.8;8.3;14.5;71.3;5.9
75;10400;2011;50.6;1.1;7.3;65.6;21.3;12.6;0.5;10.2;14.7;71.1;4.0
76;10400;2012;48.4;1.1;7.2;66.7;21.9;10.3;1.2;10.8;16.3;67.7;5.2
77;10400;2013;49.6;1.1;7.5;65.3;21.6;12.0;1.1;8.2;15.6;69.5;6.7
78;20360;2011;52.4;1.1;8.9;64.6;22.0;12.2;1.3;9.5;14.7;71.4;4.3
79;20360;2012;50.2;1.1;7.9;64.7;22.2;12.1;1.0;8.7;16.5;69.8;5.0
80;20360;2013;51.6;1.1;7.9;64.3;22.8;12.0;0.9;8.4;14.4;71.9;5.3
81;20420;2011;52.6;1.2;8.9;64.7;21.8;12.2;1.3;9.9;14.3;71.4;4.4
82;20420;2012;49.5;1.1;7.5;64.3;22.2;12.7;0.8;8.9;17.1;69.3;4.8
83;20420;2013;50.0;1.1;7.4;65.1;22.0;11.6;1.2;8.5;15.4;70.8;5.3
84;20520;2011;54.7;1.1;9.3;63.9;22.9;12.1;1.1;9.3;12.9;72.7;5.1
85;20520;2012;52.1;1.1;7.9;64.2;22.7;11.9;1.2;8.3;16.1;70.5;5.1
86;20520;2013;54.3;1.1;9.1;62.4;24.0;12.9;0.7;8.7;14.7;71.4;5.2
87;20540;2011;51.1;1.1;8.6;64.8;21.8;12.1;1.2;9.0;16.3;70.9;3.8
88;20540;2012;50.3;1.1;8.4;65.4;21.9;11.3;1.3;8.6;16.0;70.2;5.2
89;20540;2013;52.7;1.1;8.1;64.1;23.3;12.0;0.7;8.0;13.0;73.7;5.3
