ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
14;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2003;3498.0;1719.0;1579.0;140.0;1779.0;49.1;45.1;8.1
15;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2004;3409.0;1678.0;1516.0;162.0;1731.0;49.2;44.5;9.7
16;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2005;3317.0;1618.0;1459.0;159.0;1699.0;48.8;44.0;9.9
17;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2006;3237.0;1566.0;1428.0;139.0;1670.0;48.4;44.1;8.8
18;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2007;3193.0;1587.0;1469.0;118.0;1606.0;49.7;46.0;7.4
19;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2008;3170.0;1609.0;1506.0;103.0;1561.0;50.8;47.5;6.4
20;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2009;3111.0;1578.0;1457.0;121.0;1533.0;50.7;46.8;7.6
21;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2010;3150.0;1562.0;1431.0;131.0;1587.0;49.6;45.4;8.4
22;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2011;3284.0;1662.0;1532.0;130.0;1622.0;50.6;46.7;7.8
23;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;2;2012;;;;;;;;
24;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2001;443.0;327.0;318.0;8.0;116.0;73.9;71.9;2.6
25;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2002;460.0;349.0;340.0;9.0;111.0;75.9;74.0;2.5
26;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2003;476.0;358.0;350.0;8.0;117.0;75.3;73.5;2.3
27;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2004;488.0;363.0;351.0;12.0;125.0;74.4;71.9;3.3
28;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2005;493.0;373.0;359.0;14.0;120.0;75.7;72.9;3.7
29;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2006;495.0;384.0;372.0;12.0;111.0;77.6;75.2;3.0
30;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2007;501.0;396.0;386.0;10.0;105.0;79.1;77.1;2.5
31;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2008;496.0;393.0;385.0;8.0;103.0;79.3;77.7;2.0
32;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2009;501.0;396.0;384.0;12.0;106.0;78.9;76.5;3.1
33;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2010;509.0;401.0;388.0;14.0;107.0;78.9;76.2;3.5
34;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2011;482.0;387.0;374.0;13.0;95.0;80.3;77.6;3.4
35;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;3;2012;;;;;;;;
36;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2001;450.0;362.0;346.0;16.0;88.0;80.5;76.8;4.5
37;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2002;472.0;375.0;357.0;18.0;97.0;79.4;75.6;4.7
38;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2003;507.0;400.0;373.0;27.0;107.0;79.0;73.7;6.7
39;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2004;525.0;415.0;387.0;28.0;110.0;79.1;73.7;6.8
40;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2005;551.0;429.0;397.0;32.0;122.0;77.9;72.0;7.5
41;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2006;570.0;438.0;413.0;25.0;132.0;76.9;72.5;5.8
42;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2007;603.0;470.0;449.0;22.0;133.0;78.0;74.4;4.6
43;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2008;669.0;532.0;506.0;26.0;137.0;79.5;75.6;4.9
44;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2009;693.0;552.0;523.0;29.0;141.0;79.7;75.5;5.2
45;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2010;685.0;547.0;516.0;31.0;139.0;79.8;75.2;5.7
46;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2011;682.0;544.0;514.0;31.0;138.0;79.8;75.3;5.6
47;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;4;2012;;;;;;;;
48;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2001;1485.0;1158.0;1127.0;31.0;327.0;78.0;75.9;2.7
49;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2002;1528.0;1193.0;1147.0;46.0;336.0;78.0;75.1;3.8
50;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2003;1555.0;1227.0;1166.0;61.0;328.0;78.9;75.0;5.0
51;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2004;1494.0;1185.0;1115.0;70.0;309.0;79.3;74.6;5.9
52;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2005;1465.0;1161.0;1094.0;67.0;304.0;79.2;74.7;5.8
53;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2006;1496.0;1194.0;1138.0;56.0;302.0;79.8;76.0;4.7
54;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2007;1536.0;1247.0;1195.0;52.0;289.0;81.2;77.8;4.2
55;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2008;1607.0;1313.0;1267.0;46.0;294.0;81.7;78.8;3.5
56;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2009;1649.0;1349.0;1283.0;66.0;300.0;81.8;77.8;4.9
57;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2010;1613.0;1328.0;1258.0;70.0;285.0;82.3;78.0;5.3
58;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2011;1593.0;1311.0;1239.0;72.0;282.0;82.3;77.7;5.5
59;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;5;2012;;;;;;;;
60;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2001;247.0;212.0;207.0;4.0;35.0;85.7;84.0;2.1
61;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2002;259.0;222.0;216.0;6.0;37.0;85.7;83.5;2.6
62;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2003;265.0;230.0;222.0;8.0;35.0;86.7;83.7;3.4
63;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2004;261.0;225.0;218.0;7.0;36.0;86.3;83.4;3.3
64;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2005;269.0;228.0;218.0;10.0;41.0;84.8;81.1;4.4
65;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2006;280.0;240.0;232.0;8.0;40.0;85.6;82.8;3.3
66;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2007;287.0;247.0;240.0;7.0;40.0;86.0;83.7;2.7
67;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2008;288.0;246.0;240.0;7.0;42.0;85.4;83.0;2.8
68;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2009;312.0;267.0;258.0;10.0;45.0;85.6;82.5;3.6
69;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2010;316.0;272.0;259.0;12.0;44.0;86.0;82.1;4.5
70;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2011;297.0;254.0;243.0;11.0;42.0;85.7;81.9;4.5
71;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;6;2012;;;;;;;;
72;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2001;221.0;187.0;181.0;5.0;34.0;84.4;81.9;2.9
73;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2002;214.0;179.0;172.0;7.0;35.0;83.8;80.3;4.1
74;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2003;222.0;186.0;175.0;11.0;36.0;83.8;78.9;5.8
75;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2004;228.0;186.0;175.0;11.0;42.0;81.4;76.6;5.9
76;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2005;238.0;194.0;181.0;12.0;44.0;81.4;76.3;6.3
77;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2006;242.0;201.0;191.0;9.0;41.0;83.0;79.1;4.6
78;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2007;228.0;189.0;181.0;8.0;39.0;82.8;79.5;4.0
79;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2008;245.0;209.0;202.0;7.0;36.0;85.2;82.5;3.2
80;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2009;257.0;217.0;209.0;9.0;40.0;84.6;81.1;4.1
81;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2010;262.0;222.0;212.0;10.0;40.0;84.6;80.8;4.4
82;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2011;257.0;216.0;206.0;10.0;40.0;84.2;80.3;4.7
83;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;7;2012;;;;;;;;
84;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2001;1763.0;1463.0;1435.0;28.0;300.0;83.0;81.4;1.9
85;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2002;1786.0;1492.0;1455.0;37.0;293.0;83.6;81.5;2.5
86;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2003;1778.0;1474.0;1417.0;57.0;304.0;82.9;79.7;3.9
87;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2004;1734.0;1423.0;1355.0;68.0;311.0;82.1;78.1;4.8
88;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2005;1707.0;1412.0;1349.0;63.0;296.0;82.7;79.0;4.4
89;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2006;1673.0;1395.0;1348.0;46.0;279.0;83.3;80.6;3.3
90;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2007;1666.0;1401.0;1368.0;33.0;265.0;84.1;82.1;2.4
91;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2008;1710.0;1450.0;1420.0;30.0;260.0;84.8;83.0;2.1
92;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2009;1720.0;1451.0;1400.0;51.0;269.0;84.4;81.4;3.5
93;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2010;1682.0;1410.0;1349.0;61.0;273.0;83.8;80.2;4.3
94;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2011;1650.0;1387.0;1327.0;60.0;263.0;84.0;80.4;4.3
95;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;8;2012;;;;;;;;
96;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2001;276.0;234.0;230.0;5.0;42.0;84.9;83.3;2.0
97;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2002;285.0;238.0;234.0;4.0;47.0;83.7;82.1;1.9
98;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2003;282.0;238.0;232.0;6.0;44.0;84.4;82.3;2.5
99;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2004;281.0;238.0;229.0;9.0;43.0;84.6;81.5;3.8
100;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2005;288.0;244.0;236.0;8.0;44.0;84.8;82.2;3.1
101;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2006;286.0;242.0;235.0;7.0;45.0;84.3;81.9;2.9
102;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2007;286.0;245.0;240.0;5.0;41.0;85.7;84.0;2.0
103;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2008;282.0;243.0;238.0;5.0;39.0;86.1;84.3;2.1
104;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2009;283.0;244.0;238.0;5.0;39.0;86.3;84.4;2.2
105;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2010;287.0;245.0;237.0;8.0;42.0;85.5;82.8;3.2
106;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2011;281.0;241.0;232.0;8.0;41.0;85.5;82.7;3.4
107;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;9;2012;;;;;;;;
108;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2001;1737.0;1054.0;1012.0;41.0;683.0;60.7;58.3;3.9
109;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2002;1777.0;1104.0;1059.0;45.0;674.0;62.1;59.6;4.1
110;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2003;1784.0;1121.0;1069.0;52.0;663.0;62.8;59.9;4.6
111;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2004;1752.0;1138.0;1077.0;61.0;614.0;65.0;61.5;5.4
112;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2005;1767.0;1149.0;1086.0;63.0;617.0;65.1;61.5;5.5
113;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2006;1819.0;1194.0;1134.0;60.0;625.0;65.7;62.3;5.0
114;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2007;1829.0;1227.0;1177.0;51.0;602.0;67.1;64.3;4.1
115;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2008;1868.0;1282.0;1238.0;44.0;586.0;68.6;66.3;3.4
116;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2009;1913.0;1331.0;1283.0;47.0;582.0;69.6;67.1;3.5
117;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2010;1894.0;1338.0;1280.0;57.0;556.0;70.6;67.6;4.3
118;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2011;1831.0;1301.0;1247.0;54.0;530.0;71.0;68.1;4.1
119;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Health and welfare;2012;;;;;;;;
120;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2001;289.0;241.0;235.0;6.0;49.0;83.1;81.1;2.4
121;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2002;308.0;256.0;246.0;9.0;52.0;83.1;80.1;3.6
122;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2003;334.0;271.0;256.0;14.0;63.0;81.1;76.8;5.3
123;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2004;350.0;288.0;272.0;16.0;62.0;82.3;77.6;5.6
124;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2005;374.0;311.0;293.0;18.0;63.0;83.2;78.5;5.7
125;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2006;371.0;309.0;295.0;14.0;62.0;83.3;79.6;4.4
126;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2007;363.0;303.0;292.0;11.0;59.0;83.6;80.7;3.6
127;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2008;378.0;314.0;302.0;12.0;64.0;83.2;80.1;3.8
128;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2009;384.0;323.0;307.0;17.0;61.0;84.0;79.7;5.1
129;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2010;400.0;335.0;315.0;19.0;66.0;83.6;78.8;5.8
130;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2011;404.0;333.0;316.0;17.0;71.0;82.4;78.2;5.2
131;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Personal, transport services, logistics;2012;;;;;;;;
132;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2001;187.0;125.0;119.0;6.0;62.0;66.9;63.5;5.1
133;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2002;193.0;137.0;130.0;7.0;56.0;70.8;67.1;5.2
134;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2003;204.0;142.0;129.0;13.0;63.0;69.4;63.2;8.9
135;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2004;402.0;278.0;247.0;30.0;124.0;69.1;61.5;11.0
136;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2005;473.0;337.0;300.0;36.0;136.0;71.2;63.5;10.8
137;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2006;483.0;346.0;312.0;34.0;137.0;71.6;64.5;9.8
138;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2007;478.0;342.0;313.0;28.0;136.0;71.5;65.6;8.3
139;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2008;283.0;209.0;197.0;12.0;75.0;73.7;69.4;5.8
140;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2009;191.0;139.0;128.0;12.0;51.0;73.1;67.0;8.4
141;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2010;219.0;159.0;145.0;13.0;61.0;72.4;66.3;8.3
142;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2011;234.0;176.0;162.0;13.0;58.0;75.2;69.4;7.7
143;Total men and women;Total aged 15 to 65 years;Total ethnic background;Total level of education;Unknown field of education;2012;;;;;;;;
144;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2001;1345.0;530.0;496.0;34.0;815.0;39.4;36.8;6.4
145;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2002;1291.0;516.0;477.0;39.0;775.0;40.0;36.9;7.6
146;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2003;1216.0;474.0;426.0;48.0;743.0;39.0;35.0;10.2
147;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2004;1075.0;426.0;371.0;55.0;649.0;39.6;34.5;12.8
148;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2005;992.0;389.0;340.0;49.0;602.0;39.3;34.3;12.6
149;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2006;954.0;377.0;331.0;46.0;577.0;39.5;34.7;12.2
150;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2007;914.0;369.0;336.0;34.0;544.0;40.4;36.8;9.1
151;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2008;919.0;385.0;352.0;33.0;534.0;41.9;38.3;8.7
152;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2009;912.0;384.0;347.0;37.0;527.0;42.1;38.1;9.7
153;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2010;905.0;379.0;337.0;42.0;526.0;41.9;37.3;11.0
154;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2011;925.0;401.0;361.0;40.0;524.0;43.4;39.0;10.0
155;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;1;2012;890.0;382.0;336.0;46.0;508.0;42.9;37.8;12.0
156;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2001;1345.0;530.0;496.0;34.0;815.0;39.4;36.8;6.4
157;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2002;1291.0;516.0;477.0;39.0;775.0;40.0;36.9;7.6
158;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2003;1216.0;474.0;426.0;48.0;743.0;39.0;35.0;10.2
159;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2004;1075.0;426.0;371.0;55.0;649.0;39.6;34.5;12.8
160;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2005;992.0;389.0;340.0;49.0;602.0;39.3;34.3;12.6
161;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2006;954.0;377.0;331.0;46.0;577.0;39.5;34.7;12.2
162;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2007;914.0;369.0;336.0;34.0;544.0;40.4;36.8;9.1
163;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2008;919.0;385.0;352.0;33.0;534.0;41.9;38.3;8.7
164;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2009;912.0;384.0;347.0;37.0;527.0;42.1;38.1;9.7
165;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2010;905.0;379.0;337.0;42.0;526.0;41.9;37.3;11.0
166;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2011;925.0;401.0;361.0;40.0;524.0;43.4;39.0;10.0
167;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;2;2012;;;;;;;;
168;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2001;;;;;;;;
169;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2002;;;;;;;;
170;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2003;;;;;;;;
171;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2004;;;;;;;;
172;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2005;;;;;;;;
173;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2006;;;;;;;;
174;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2007;;;;;;;;
175;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2008;;;;;;;;
176;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2009;;;;;;;;
177;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2010;;;;;;;;
178;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2011;;;;;;;;
179;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;3;2012;;;;;;;;
180;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2001;;;;;;;;
181;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2002;;;;;;;;
182;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2003;;;;;;;;
183;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2004;;;;;;;;
184;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2005;;;;;;;;
185;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2006;;;;;;;;
186;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2007;;;;;;;;
187;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2008;;;;;;;;
188;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2009;;;;;;;;
189;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2010;;;;;;;;
190;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2011;;;;;;;;
191;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;4;2012;;;;;;;;
192;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2001;;;;;;;;
193;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2002;;;;;;;;
194;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2003;;;;;;;;
195;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2004;;;;;;;;
196;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2005;;;;;;;;
197;Total men and women;Total aged 15 to 65 years;Total ethnic background;Primary education;5;2006;;;;;;;;
