ID;CountryUCI;SIC2008;CompanySize;Periods;Applicants_1;Applications_2;ApplicantsWithForeignCooperation_3;ApplicationsWithForeignCooperation_4;PatentApplicants_5;PatentApplications_6;ApplicantsWithForeignCooperation_7;ApplicationsWithForeignCooperation_8
21;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2016;155.0;370.0;5.0;10.0;150.0;250.0;0.0;0.0
22;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2017;130.0;415.0;5.0;80.0;145.0;215.0;0.0;0.0
23;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2018;140.0;485.0;10.0;60.0;135.0;220.0;0.0;0.0
24;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2019;155.0;470.0;10.0;115.0;135.0;230.0;0.0;0.0
25;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2020;160.0;485.0;10.0;140.0;145.0;235.0;0.0;0.0
26;Total domestic and foreign;A-U All economic activities;50 to 249 employed persons;2021;125.0;385.0;5.0;100.0;135.0;250.0;0.0;0.0
27;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2013;135.0;2810.0;25.0;465.0;95.0;235.0;0.0;0.0
28;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2014;145.0;3040.0;35.0;375.0;95.0;370.0;5.0;0.0
29;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2015;140.0;3175.0;25.0;340.0;105.0;450.0;5.0;5.0
30;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2016;145.0;2985.0;30.0;385.0;105.0;375.0;0.0;0.0
31;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2017;165.0;2860.0;25.0;135.0;115.0;465.0;0.0;0.0
32;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2018;140.0;2640.0;30.0;120.0;100.0;440.0;5.0;10.0
33;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2019;160.0;2700.0;40.0;70.0;115.0;510.0;5.0;5.0
34;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2020;170.0;2695.0;40.0;90.0;115.0;410.0;5.0;5.0
35;Total domestic and foreign;A-U All economic activities;250 and more employed persons;2021;160.0;2315.0;30.0;220.0;120.0;355.0;5.0;5.0
36;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2013;345.0;480.0;25.0;25.0;385.0;345.0;0.0;0.0
37;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2014;275.0;440.0;20.0;20.0;385.0;390.0;5.0;0.0
38;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2015;300.0;465.0;20.0;60.0;330.0;325.0;5.0;5.0
39;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2016;235.0;290.0;10.0;35.0;290.0;295.0;0.0;0.0
40;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2017;245.0;370.0;15.0;130.0;345.0;350.0;5.0;5.0
41;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2018;265.0;590.0;25.0;165.0;365.0;355.0;5.0;5.0
42;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2019;220.0;500.0;10.0;160.0;300.0;290.0;5.0;5.0
43;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2020;240.0;485.0;20.0;230.0;295.0;315.0;5.0;5.0
44;Total domestic and foreign;A-U All economic activities;Employed persons unknown;2021;150.0;250.0;10.0;40.0;255.0;255.0;5.0;5.0
45;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2013;;;;;;;;
46;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2014;;;;;;;;
47;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2015;;;;;;;;
48;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2016;;;;;;;;
49;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2017;;;;;;;;
50;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2018;;;;;;;;
51;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2019;;;;;;;;
52;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2020;;;;;;;;
53;Total domestic and foreign;All enterprises (no finance and utilitie;Total employed persons;2021;;;;;;;;
54;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2013;;;;;;;;
55;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2014;;;;;;;;
56;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2015;;;;;;;;
57;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2016;;;;;;;;
58;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2017;;;;;;;;
59;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2018;;;;;;;;
60;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2019;;;;;;;;
61;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2020;;;;;;;;
62;Total domestic and foreign;All enterprises (no finance and utilitie;0 to 49 employed persons;2021;;;;;;;;
63;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2013;;;;;;;;
64;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2014;;;;;;;;
65;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2015;;;;;;;;
66;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2016;;;;;;;;
67;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2017;;;;;;;;
68;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2018;;;;;;;;
69;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2019;;;;;;;;
70;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2020;;;;;;;;
71;Total domestic and foreign;All enterprises (no finance and utilitie;50 to 249 employed persons;2021;;;;;;;;
72;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2013;;;;;;;;
73;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2014;;;;;;;;
74;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2015;;;;;;;;
75;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2016;;;;;;;;
76;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2017;;;;;;;;
77;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2018;;;;;;;;
78;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2019;;;;;;;;
79;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2020;;;;;;;;
80;Total domestic and foreign;All enterprises (no finance and utilitie;250 and more employed persons;2021;;;;;;;;
81;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2013;;;;;;;;
82;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2014;;;;;;;;
83;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2015;;;;;;;;
84;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2016;;;;;;;;
85;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2017;;;;;;;;
86;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2018;;;;;;;;
87;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2019;;;;;;;;
88;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2020;;;;;;;;
89;Total domestic and foreign;All enterprises (no finance and utilitie;Employed persons unknown;2021;;;;;;;;
90;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2013;525.0;3400.0;40.0;360.0;745.0;1065.0;0.0;0.0
91;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2014;590.0;3845.0;40.0;400.0;760.0;1200.0;10.0;15.0
92;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2015;595.0;4030.0;45.0;380.0;785.0;1335.0;5.0;5.0
93;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2016;635.0;3805.0;45.0;405.0;795.0;1245.0;10.0;10.0
94;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2017;625.0;3805.0;30.0;225.0;725.0;1245.0;5.0;5.0
95;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2018;605.0;3485.0;45.0;180.0;680.0;1185.0;5.0;5.0
96;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2019;680.0;3650.0;50.0;195.0;735.0;1325.0;5.0;10.0
97;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2020;695.0;3610.0;55.0;230.0;770.0;1215.0;10.0;10.0
98;Total domestic and foreign;A-N Business economy and agriculture;Total employed persons;2021;645.0;3115.0;40.0;315.0;810.0;1255.0;10.0;5.0
99;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2013;290.0;530.0;15.0;50.0;555.0;665.0;0.0;0.0
100;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2014;335.0;580.0;15.0;40.0;560.0;655.0;10.0;10.0
101;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2015;335.0;525.0;15.0;30.0;565.0;660.0;5.0;5.0
102;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2016;355.0;520.0;15.0;20.0;550.0;640.0;5.0;5.0
103;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2017;355.0;605.0;5.0;20.0;475.0;590.0;5.0;5.0
104;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2018;350.0;465.0;15.0;25.0;460.0;570.0;5.0;0.0
105;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2019;385.0;570.0;15.0;30.0;505.0;650.0;5.0;5.0
106;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2020;390.0;545.0;20.0;20.0;525.0;615.0;5.0;5.0
107;Total domestic and foreign;A-N Business economy and agriculture;0 to 49 employed persons;2021;385.0;485.0;15.0;15.0;575.0;700.0;5.0;5.0
108;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2013;120.0;280.0;5.0;10.0;110.0;185.0;0.0;0.0
109;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2014;125.0;285.0;0.0;0.0;120.0;190.0;0.0;0.0
110;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2015;135.0;405.0;10.0;15.0;120.0;235.0;0.0;0.0
111;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2016;155.0;370.0;5.0;10.0;145.0;245.0;0.0;0.0
112;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2017;130.0;410.0;5.0;80.0;140.0;215.0;0.0;0.0
113;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2018;135.0;485.0;10.0;60.0;130.0;215.0;0.0;0.0
114;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2019;155.0;470.0;10.0;115.0;135.0;225.0;0.0;0.0
115;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2020;155.0;480.0;10.0;140.0;140.0;230.0;0.0;0.0
116;Total domestic and foreign;A-N Business economy and agriculture;50 to 249 employed persons;2021;120.0;385.0;5.0;100.0;135.0;250.0;0.0;0.0
117;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2013;120.0;2590.0;20.0;300.0;80.0;215.0;0.0;0.0
118;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2014;130.0;2975.0;25.0;360.0;85.0;355.0;0.0;0.0
119;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2015;125.0;3100.0;20.0;335.0;95.0;440.0;5.0;5.0
120;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2016;130.0;2920.0;20.0;375.0;95.0;360.0;0.0;0.0
121;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2017;140.0;2785.0;20.0;125.0;105.0;440.0;0.0;0.0
122;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2018;120.0;2540.0;20.0;95.0;90.0;395.0;5.0;5.0
123;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2019;140.0;2610.0;25.0;55.0;95.0;445.0;5.0;5.0
124;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2020;150.0;2585.0;25.0;70.0;100.0;365.0;5.0;5.0
125;Total domestic and foreign;A-N Business economy and agriculture;250 and more employed persons;2021;140.0;2245.0;20.0;205.0;100.0;305.0;0.0;0.0
126;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2013;;;;;;;;
127;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2014;;;;;;;;
128;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2015;;;;;;;;
129;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2016;;;;;;;;
130;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2017;;;;;;;;
131;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2018;;;;;;;;
132;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2019;;;;;;;;
133;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2020;;;;;;;;
134;Total domestic and foreign;A-N Business economy and agriculture;Employed persons unknown;2021;;;;;;;;
135;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2013;;;;;;;;
136;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2014;10.0;20.0;0.0;0.0;25.0;25.0;0.0;0.0
137;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2015;10.0;30.0;0.0;0.0;20.0;30.0;0.0;0.0
138;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2016;10.0;30.0;0.0;0.0;15.0;20.0;0.0;0.0
139;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2017;5.0;10.0;0.0;0.0;10.0;15.0;0.0;0.0
140;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2018;5.0;10.0;0.0;0.0;10.0;10.0;0.0;0.0
141;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2019;5.0;10.0;0.0;0.0;15.0;15.0;0.0;0.0
142;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2020;5.0;10.0;0.0;0.0;15.0;15.0;0.0;0.0
143;Total domestic and foreign;A Agriculture, forestry and fishing;Total employed persons;2021;10.0;15.0;0.0;0.0;20.0;25.0;0.0;0.0
144;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2013;;;;;;;;
145;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2014;5.0;5.0;0.0;0.0;20.0;20.0;0.0;0.0
146;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2015;5.0;5.0;0.0;0.0;15.0;15.0;0.0;0.0
147;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2016;5.0;5.0;0.0;0.0;10.0;10.0;0.0;0.0
148;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2017;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0
149;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2018;0.0;0.0;0.0;0.0;10.0;5.0;0.0;0.0
150;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2019;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0
151;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2020;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0
152;Total domestic and foreign;A Agriculture, forestry and fishing;0 to 49 employed persons;2021;5.0;5.0;0.0;0.0;15.0;20.0;0.0;0.0
153;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2013;;;;;;;;
154;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2014;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
155;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2015;5.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
156;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2016;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
157;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2017;;;;;0.0;0.0;0.0;0.0
158;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
159;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2019;;;;;0.0;5.0;0.0;0.0
160;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2020;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
161;Total domestic and foreign;A Agriculture, forestry and fishing;50 to 249 employed persons;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
162;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2013;;;;;;;;
163;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2014;5.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
164;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2015;0.0;15.0;0.0;0.0;0.0;5.0;0.0;0.0
165;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2016;5.0;20.0;0.0;0.0;5.0;5.0;0.0;0.0
166;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2017;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
167;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2018;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
168;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2019;5.0;10.0;0.0;0.0;0.0;5.0;0.0;0.0
169;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2020;0.0;5.0;0.0;0.0;;;;
170;Total domestic and foreign;A Agriculture, forestry and fishing;250 and more employed persons;2021;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
171;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2013;;;;;;;;
172;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2014;;;;;;;;
173;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2015;;;;;;;;
174;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2016;;;;;;;;
175;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2017;;;;;;;;
176;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2018;;;;;;;;
177;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2019;;;;;;;;
178;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2020;;;;;;;;
179;Total domestic and foreign;A Agriculture, forestry and fishing;Employed persons unknown;2021;;;;;;;;
180;Total domestic and foreign;01 Agriculture;Total employed persons;2013;;;;;;;;
181;Total domestic and foreign;01 Agriculture;Total employed persons;2014;10.0;20.0;0.0;0.0;25.0;25.0;0.0;0.0
182;Total domestic and foreign;01 Agriculture;Total employed persons;2015;10.0;30.0;0.0;0.0;15.0;30.0;0.0;0.0
183;Total domestic and foreign;01 Agriculture;Total employed persons;2016;10.0;30.0;0.0;0.0;15.0;20.0;0.0;0.0
184;Total domestic and foreign;01 Agriculture;Total employed persons;2017;5.0;10.0;0.0;0.0;10.0;15.0;0.0;0.0
185;Total domestic and foreign;01 Agriculture;Total employed persons;2018;5.0;10.0;0.0;0.0;10.0;10.0;0.0;0.0
186;Total domestic and foreign;01 Agriculture;Total employed persons;2019;5.0;10.0;0.0;0.0;15.0;15.0;0.0;0.0
187;Total domestic and foreign;01 Agriculture;Total employed persons;2020;5.0;10.0;0.0;0.0;15.0;15.0;0.0;0.0
188;Total domestic and foreign;01 Agriculture;Total employed persons;2021;10.0;15.0;0.0;0.0;20.0;25.0;0.0;0.0
189;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2013;;;;;;;;
190;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2014;5.0;5.0;0.0;0.0;20.0;15.0;0.0;0.0
191;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2015;5.0;5.0;0.0;0.0;15.0;15.0;0.0;0.0
192;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2016;5.0;5.0;0.0;0.0;10.0;10.0;0.0;0.0
193;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2017;0.0;0.0;0.0;0.0;5.0;10.0;0.0;0.0
194;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2018;0.0;0.0;0.0;0.0;10.0;5.0;0.0;0.0
195;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2019;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0
196;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2020;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0
197;Total domestic and foreign;01 Agriculture;0 to 49 employed persons;2021;5.0;5.0;0.0;0.0;15.0;20.0;0.0;0.0
198;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2013;;;;;;;;
199;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2014;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
200;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2015;5.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
201;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2016;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
202;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2017;;;;;0.0;0.0;0.0;0.0
203;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
204;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2019;;;;;0.0;5.0;0.0;0.0
205;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2020;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0
206;Total domestic and foreign;01 Agriculture;50 to 249 employed persons;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
207;Total domestic and foreign;01 Agriculture;250 and more employed persons;2013;;;;;;;;
208;Total domestic and foreign;01 Agriculture;250 and more employed persons;2014;5.0;10.0;0.0;0.0;5.0;5.0;0.0;0.0
209;Total domestic and foreign;01 Agriculture;250 and more employed persons;2015;0.0;15.0;0.0;0.0;0.0;5.0;0.0;0.0
210;Total domestic and foreign;01 Agriculture;250 and more employed persons;2016;5.0;20.0;0.0;0.0;5.0;5.0;0.0;0.0
211;Total domestic and foreign;01 Agriculture;250 and more employed persons;2017;5.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0
212;Total domestic and foreign;01 Agriculture;250 and more employed persons;2018;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
213;Total domestic and foreign;01 Agriculture;250 and more employed persons;2019;5.0;10.0;0.0;0.0;0.0;5.0;0.0;0.0
214;Total domestic and foreign;01 Agriculture;250 and more employed persons;2020;0.0;5.0;0.0;0.0;;;;
215;Total domestic and foreign;01 Agriculture;250 and more employed persons;2021;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
216;Total domestic and foreign;01 Agriculture;Employed persons unknown;2013;;;;;;;;
217;Total domestic and foreign;01 Agriculture;Employed persons unknown;2014;;;;;;;;
218;Total domestic and foreign;01 Agriculture;Employed persons unknown;2015;;;;;;;;
219;Total domestic and foreign;01 Agriculture;Employed persons unknown;2016;;;;;;;;
220;Total domestic and foreign;01 Agriculture;Employed persons unknown;2017;;;;;;;;
221;Total domestic and foreign;01 Agriculture;Employed persons unknown;2018;;;;;;;;
222;Total domestic and foreign;01 Agriculture;Employed persons unknown;2019;;;;;;;;
223;Total domestic and foreign;01 Agriculture;Employed persons unknown;2020;;;;;;;;
224;Total domestic and foreign;01 Agriculture;Employed persons unknown;2021;;;;;;;;
225;Total domestic and foreign;02 Forestry and logging;Total employed persons;2013;;;;;;;;
226;Total domestic and foreign;02 Forestry and logging;Total employed persons;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
227;Total domestic and foreign;02 Forestry and logging;Total employed persons;2015;;;;;0.0;0.0;0.0;0.0
228;Total domestic and foreign;02 Forestry and logging;Total employed persons;2016;;;;;;;;
229;Total domestic and foreign;02 Forestry and logging;Total employed persons;2017;;;;;;;;
230;Total domestic and foreign;02 Forestry and logging;Total employed persons;2018;;;;;;;;
