ID;Beroep;Geslacht;Leeftijd;BurgerlijkeStaat;Personen_1
19;De geheele bevolking;Totaal mannen en vrouwen;25-29 jaar;Ongehuwd;283955.0
20;De geheele bevolking;Totaal mannen en vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;367643.0
21;De geheele bevolking;Totaal mannen en vrouwen;30-39 jaar;Totaal alle burgerlijke staten;1093233.0
22;De geheele bevolking;Totaal mannen en vrouwen;30-39 jaar;Ongehuwd;202317.0
23;De geheele bevolking;Totaal mannen en vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;890916.0
24;De geheele bevolking;Totaal mannen en vrouwen;40-49 jaar;Totaal alle burgerlijke staten;867228.0
25;De geheele bevolking;Totaal mannen en vrouwen;40-49 jaar;Ongehuwd;116981.0
26;De geheele bevolking;Totaal mannen en vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;750247.0
27;De geheele bevolking;Totaal mannen en vrouwen;50-59 jaar;Totaal alle burgerlijke staten;689287.0
28;De geheele bevolking;Totaal mannen en vrouwen;50-59 jaar;Ongehuwd;86294.0
29;De geheele bevolking;Totaal mannen en vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;602993.0
30;De geheele bevolking;Totaal mannen en vrouwen;60-64 jaar;Totaal alle burgerlijke staten;257186.0
31;De geheele bevolking;Totaal mannen en vrouwen;60-64 jaar;Ongehuwd;31385.0
32;De geheele bevolking;Totaal mannen en vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;225801.0
33;De geheele bevolking;Totaal mannen en vrouwen;65-69 jaar;Totaal alle burgerlijke staten;206016.0
34;De geheele bevolking;Totaal mannen en vrouwen;65-69 jaar;Ongehuwd;25088.0
35;De geheele bevolking;Totaal mannen en vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;180928.0
36;De geheele bevolking;Totaal mannen en vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;285888.0
37;De geheele bevolking;Totaal mannen en vrouwen;70 jaar en ouder;Ongehuwd;32518.0
38;De geheele bevolking;Totaal mannen en vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;253370.0
39;De geheele bevolking;Totaal mannen en vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;35.0
40;De geheele bevolking;Totaal mannen en vrouwen;Leeftijd onbekend;Ongehuwd;10.0
41;De geheele bevolking;Totaal mannen en vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;25.0
42;De geheele bevolking;Mannen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;3942639.0
43;De geheele bevolking;Mannen;Totaal van alle leeftijden;Ongehuwd;2295230.0
44;De geheele bevolking;Mannen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;1647409.0
45;De geheele bevolking;Mannen;Beneden 14 jaar;Totaal alle burgerlijke staten;1162570.0
46;De geheele bevolking;Mannen;Beneden 14 jaar;Ongehuwd;1162570.0
47;De geheele bevolking;Mannen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
48;De geheele bevolking;Mannen;14-17 jaar;Totaal alle burgerlijke staten;303441.0
49;De geheele bevolking;Mannen;14-17 jaar;Ongehuwd;303362.0
50;De geheele bevolking;Mannen;14-17 jaar;Gehuwd of gehuwd geweest;79.0
51;De geheele bevolking;Mannen;18 en 19 jaar;Totaal alle burgerlijke staten;145924.0
52;De geheele bevolking;Mannen;18 en 19 jaar;Ongehuwd;145211.0
53;De geheele bevolking;Mannen;18 en 19 jaar;Gehuwd of gehuwd geweest;713.0
54;De geheele bevolking;Mannen;20 jaar;Totaal alle burgerlijke staten;71549.0
55;De geheele bevolking;Mannen;20 jaar;Ongehuwd;70285.0
56;De geheele bevolking;Mannen;20 jaar;Gehuwd of gehuwd geweest;1264.0
57;De geheele bevolking;Mannen;21-24 jaar;Totaal alle burgerlijke staten;278967.0
58;De geheele bevolking;Mannen;21-24 jaar;Ongehuwd;243856.0
59;De geheele bevolking;Mannen;21-24 jaar;Gehuwd of gehuwd geweest;35111.0
60;De geheele bevolking;Mannen;25-29 jaar;Totaal alle burgerlijke staten;320232.0
61;De geheele bevolking;Mannen;25-29 jaar;Ongehuwd;158023.0
62;De geheele bevolking;Mannen;25-29 jaar;Gehuwd of gehuwd geweest;162209.0
63;De geheele bevolking;Mannen;30-39 jaar;Totaal alle burgerlijke staten;535342.0
64;De geheele bevolking;Mannen;30-39 jaar;Ongehuwd;92730.0
65;De geheele bevolking;Mannen;30-39 jaar;Gehuwd of gehuwd geweest;442612.0
66;De geheele bevolking;Mannen;40-49 jaar;Totaal alle burgerlijke staten;426540.0
67;De geheele bevolking;Mannen;40-49 jaar;Ongehuwd;47540.0
68;De geheele bevolking;Mannen;40-49 jaar;Gehuwd of gehuwd geweest;379000.0
69;De geheele bevolking;Mannen;50-59 jaar;Totaal alle burgerlijke staten;338262.0
70;De geheele bevolking;Mannen;50-59 jaar;Ongehuwd;35828.0
71;De geheele bevolking;Mannen;50-59 jaar;Gehuwd of gehuwd geweest;302434.0
72;De geheele bevolking;Mannen;60-64 jaar;Totaal alle burgerlijke staten;125520.0
73;De geheele bevolking;Mannen;60-64 jaar;Ongehuwd;12813.0
74;De geheele bevolking;Mannen;60-64 jaar;Gehuwd of gehuwd geweest;112707.0
75;De geheele bevolking;Mannen;65-69 jaar;Totaal alle burgerlijke staten;99754.0
76;De geheele bevolking;Mannen;65-69 jaar;Ongehuwd;10264.0
77;De geheele bevolking;Mannen;65-69 jaar;Gehuwd of gehuwd geweest;89490.0
78;De geheele bevolking;Mannen;70 jaar en ouder;Totaal alle burgerlijke staten;134523.0
79;De geheele bevolking;Mannen;70 jaar en ouder;Ongehuwd;12742.0
80;De geheele bevolking;Mannen;70 jaar en ouder;Gehuwd of gehuwd geweest;121781.0
81;De geheele bevolking;Mannen;Leeftijd onbekend;Totaal alle burgerlijke staten;15.0
82;De geheele bevolking;Mannen;Leeftijd onbekend;Ongehuwd;6.0
83;De geheele bevolking;Mannen;Leeftijd onbekend;Gehuwd of gehuwd geweest;9.0
84;De geheele bevolking;Vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;3992880.0
85;De geheele bevolking;Vrouwen;Totaal van alle leeftijden;Ongehuwd;2237004.0
86;De geheele bevolking;Vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;1755876.0
87;De geheele bevolking;Vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;1120668.0
88;De geheele bevolking;Vrouwen;Beneden 14 jaar;Ongehuwd;1120668.0
89;De geheele bevolking;Vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
90;De geheele bevolking;Vrouwen;14-17 jaar;Totaal alle burgerlijke staten;296831.0
91;De geheele bevolking;Vrouwen;14-17 jaar;Ongehuwd;295996.0
92;De geheele bevolking;Vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;835.0
93;De geheele bevolking;Vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;146323.0
94;De geheele bevolking;Vrouwen;18 en 19 jaar;Ongehuwd;141059.0
95;De geheele bevolking;Vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;5264.0
96;De geheele bevolking;Vrouwen;20 jaar;Totaal alle burgerlijke staten;72039.0
97;De geheele bevolking;Vrouwen;20 jaar;Ongehuwd;65181.0
98;De geheele bevolking;Vrouwen;20 jaar;Gehuwd of gehuwd geweest;6858.0
99;De geheele bevolking;Vrouwen;21-24 jaar;Totaal alle burgerlijke staten;286736.0
100;De geheele bevolking;Vrouwen;21-24 jaar;Ongehuwd;205498.0
101;De geheele bevolking;Vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;81238.0
102;De geheele bevolking;Vrouwen;25-29 jaar;Totaal alle burgerlijke staten;331366.0
103;De geheele bevolking;Vrouwen;25-29 jaar;Ongehuwd;125932.0
104;De geheele bevolking;Vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;205434.0
105;De geheele bevolking;Vrouwen;30-39 jaar;Totaal alle burgerlijke staten;557891.0
106;De geheele bevolking;Vrouwen;30-39 jaar;Ongehuwd;109587.0
107;De geheele bevolking;Vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;448304.0
108;De geheele bevolking;Vrouwen;40-49 jaar;Totaal alle burgerlijke staten;440688.0
109;De geheele bevolking;Vrouwen;40-49 jaar;Ongehuwd;69441.0
110;De geheele bevolking;Vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;371247.0
111;De geheele bevolking;Vrouwen;50-59 jaar;Totaal alle burgerlijke staten;351025.0
112;De geheele bevolking;Vrouwen;50-59 jaar;Ongehuwd;50466.0
113;De geheele bevolking;Vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;300559.0
114;De geheele bevolking;Vrouwen;60-64 jaar;Totaal alle burgerlijke staten;131666.0
115;De geheele bevolking;Vrouwen;60-64 jaar;Ongehuwd;18572.0
116;De geheele bevolking;Vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;113094.0
117;De geheele bevolking;Vrouwen;65-69 jaar;Totaal alle burgerlijke staten;106262.0
118;De geheele bevolking;Vrouwen;65-69 jaar;Ongehuwd;14824.0
119;De geheele bevolking;Vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;91438.0
120;De geheele bevolking;Vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;151365.0
121;De geheele bevolking;Vrouwen;70 jaar en ouder;Ongehuwd;19776.0
122;De geheele bevolking;Vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;131589.0
123;De geheele bevolking;Vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;20.0
124;De geheele bevolking;Vrouwen;Leeftijd onbekend;Ongehuwd;4.0
125;De geheele bevolking;Vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;16.0
126;Beroepsloozen;Totaal mannen en vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;4749703.0
127;Beroepsloozen;Totaal mannen en vrouwen;Totaal van alle leeftijden;Ongehuwd;2965282.0
128;Beroepsloozen;Totaal mannen en vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;1784421.0
129;Beroepsloozen;Totaal mannen en vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;2281376.0
130;Beroepsloozen;Totaal mannen en vrouwen;Beneden 14 jaar;Ongehuwd;2281376.0
131;Beroepsloozen;Totaal mannen en vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
132;Beroepsloozen;Totaal mannen en vrouwen;14-17 jaar;Totaal alle burgerlijke staten;273340.0
133;Beroepsloozen;Totaal mannen en vrouwen;14-17 jaar;Ongehuwd;272567.0
134;Beroepsloozen;Totaal mannen en vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;773.0
135;Beroepsloozen;Totaal mannen en vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;77291.0
136;Beroepsloozen;Totaal mannen en vrouwen;18 en 19 jaar;Ongehuwd;72248.0
137;Beroepsloozen;Totaal mannen en vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;5043.0
138;Beroepsloozen;Totaal mannen en vrouwen;20 jaar;Totaal alle burgerlijke staten;36455.0
139;Beroepsloozen;Totaal mannen en vrouwen;20 jaar;Ongehuwd;29989.0
140;Beroepsloozen;Totaal mannen en vrouwen;20 jaar;Gehuwd of gehuwd geweest;6466.0
141;Beroepsloozen;Totaal mannen en vrouwen;21-24 jaar;Totaal alle burgerlijke staten;163956.0
142;Beroepsloozen;Totaal mannen en vrouwen;21-24 jaar;Ongehuwd;87380.0
143;Beroepsloozen;Totaal mannen en vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;76576.0
144;Beroepsloozen;Totaal mannen en vrouwen;25-29 jaar;Totaal alle burgerlijke staten;242635.0
145;Beroepsloozen;Totaal mannen en vrouwen;25-29 jaar;Ongehuwd;51041.0
146;Beroepsloozen;Totaal mannen en vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;191594.0
147;Beroepsloozen;Totaal mannen en vrouwen;30-39 jaar;Totaal alle burgerlijke staten;461168.0
148;Beroepsloozen;Totaal mannen en vrouwen;30-39 jaar;Ongehuwd;46608.0
149;Beroepsloozen;Totaal mannen en vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;414560.0
150;Beroepsloozen;Totaal mannen en vrouwen;40-49 jaar;Totaal alle burgerlijke staten;377944.0
151;Beroepsloozen;Totaal mannen en vrouwen;40-49 jaar;Ongehuwd;34749.0
152;Beroepsloozen;Totaal mannen en vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;343195.0
153;Beroepsloozen;Totaal mannen en vrouwen;50-59 jaar;Totaal alle burgerlijke staten;322793.0
154;Beroepsloozen;Totaal mannen en vrouwen;50-59 jaar;Ongehuwd;31917.0
155;Beroepsloozen;Totaal mannen en vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;290876.0
156;Beroepsloozen;Totaal mannen en vrouwen;60-64 jaar;Totaal alle burgerlijke staten;140145.0
157;Beroepsloozen;Totaal mannen en vrouwen;60-64 jaar;Ongehuwd;15636.0
158;Beroepsloozen;Totaal mannen en vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;124509.0
159;Beroepsloozen;Totaal mannen en vrouwen;65-69 jaar;Totaal alle burgerlijke staten;136060.0
160;Beroepsloozen;Totaal mannen en vrouwen;65-69 jaar;Ongehuwd;15842.0
161;Beroepsloozen;Totaal mannen en vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;120218.0
162;Beroepsloozen;Totaal mannen en vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;236524.0
163;Beroepsloozen;Totaal mannen en vrouwen;70 jaar en ouder;Ongehuwd;25929.0
164;Beroepsloozen;Totaal mannen en vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;210595.0
165;Beroepsloozen;Totaal mannen en vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;16.0
166;Beroepsloozen;Totaal mannen en vrouwen;Leeftijd onbekend;Ongehuwd;0.0
167;Beroepsloozen;Totaal mannen en vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;16.0
168;Beroepsloozen;Mannen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;1524402.0
169;Beroepsloozen;Mannen;Totaal van alle leeftijden;Ongehuwd;1350645.0
170;Beroepsloozen;Mannen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;173757.0
171;Beroepsloozen;Mannen;Beneden 14 jaar;Totaal alle burgerlijke staten;1161477.0
172;Beroepsloozen;Mannen;Beneden 14 jaar;Ongehuwd;1161477.0
173;Beroepsloozen;Mannen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
174;Beroepsloozen;Mannen;14-17 jaar;Totaal alle burgerlijke staten;106015.0
175;Beroepsloozen;Mannen;14-17 jaar;Ongehuwd;106012.0
176;Beroepsloozen;Mannen;14-17 jaar;Gehuwd of gehuwd geweest;3.0
177;Beroepsloozen;Mannen;18 en 19 jaar;Totaal alle burgerlijke staten;17602.0
178;Beroepsloozen;Mannen;18 en 19 jaar;Ongehuwd;17553.0
179;Beroepsloozen;Mannen;18 en 19 jaar;Gehuwd of gehuwd geweest;49.0
180;Beroepsloozen;Mannen;20 jaar;Totaal alle burgerlijke staten;6614.0
181;Beroepsloozen;Mannen;20 jaar;Ongehuwd;6604.0
182;Beroepsloozen;Mannen;20 jaar;Gehuwd of gehuwd geweest;10.0
183;Beroepsloozen;Mannen;21-24 jaar;Totaal alle burgerlijke staten;15837.0
184;Beroepsloozen;Mannen;21-24 jaar;Ongehuwd;15522.0
185;Beroepsloozen;Mannen;21-24 jaar;Gehuwd of gehuwd geweest;315.0
186;Beroepsloozen;Mannen;25-29 jaar;Totaal alle burgerlijke staten;7251.0
187;Beroepsloozen;Mannen;25-29 jaar;Ongehuwd;6845.0
188;Beroepsloozen;Mannen;25-29 jaar;Gehuwd of gehuwd geweest;406.0
189;Beroepsloozen;Mannen;30-39 jaar;Totaal alle burgerlijke staten;8812.0
190;Beroepsloozen;Mannen;30-39 jaar;Ongehuwd;6279.0
191;Beroepsloozen;Mannen;30-39 jaar;Gehuwd of gehuwd geweest;2533.0
192;Beroepsloozen;Mannen;40-49 jaar;Totaal alle burgerlijke staten;12496.0
193;Beroepsloozen;Mannen;40-49 jaar;Ongehuwd;5726.0
194;Beroepsloozen;Mannen;40-49 jaar;Gehuwd of gehuwd geweest;6770.0
195;Beroepsloozen;Mannen;50-59 jaar;Totaal alle burgerlijke staten;27582.0
196;Beroepsloozen;Mannen;50-59 jaar;Ongehuwd;6825.0
197;Beroepsloozen;Mannen;50-59 jaar;Gehuwd of gehuwd geweest;20757.0
198;Beroepsloozen;Mannen;60-64 jaar;Totaal alle burgerlijke staten;26315.0
199;Beroepsloozen;Mannen;60-64 jaar;Ongehuwd;4073.0
200;Beroepsloozen;Mannen;60-64 jaar;Gehuwd of gehuwd geweest;22242.0
201;Beroepsloozen;Mannen;65-69 jaar;Totaal alle burgerlijke staten;40362.0
202;Beroepsloozen;Mannen;65-69 jaar;Ongehuwd;4820.0
203;Beroepsloozen;Mannen;65-69 jaar;Gehuwd of gehuwd geweest;35542.0
204;Beroepsloozen;Mannen;70 jaar en ouder;Totaal alle burgerlijke staten;94034.0
205;Beroepsloozen;Mannen;70 jaar en ouder;Ongehuwd;8909.0
206;Beroepsloozen;Mannen;70 jaar en ouder;Gehuwd of gehuwd geweest;85125.0
207;Beroepsloozen;Mannen;Leeftijd onbekend;Totaal alle burgerlijke staten;5.0
208;Beroepsloozen;Mannen;Leeftijd onbekend;Ongehuwd;0.0
209;Beroepsloozen;Mannen;Leeftijd onbekend;Gehuwd of gehuwd geweest;5.0
210;Beroepsloozen;Vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;3225301.0
211;Beroepsloozen;Vrouwen;Totaal van alle leeftijden;Ongehuwd;1614637.0
212;Beroepsloozen;Vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;1610664.0
213;Beroepsloozen;Vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;1119899.0
214;Beroepsloozen;Vrouwen;Beneden 14 jaar;Ongehuwd;1119899.0
215;Beroepsloozen;Vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
216;Beroepsloozen;Vrouwen;14-17 jaar;Totaal alle burgerlijke staten;167325.0
217;Beroepsloozen;Vrouwen;14-17 jaar;Ongehuwd;166555.0
218;Beroepsloozen;Vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;770.0
219;Beroepsloozen;Vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;59689.0
220;Beroepsloozen;Vrouwen;18 en 19 jaar;Ongehuwd;54695.0
221;Beroepsloozen;Vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;4994.0
222;Beroepsloozen;Vrouwen;20 jaar;Totaal alle burgerlijke staten;29841.0
223;Beroepsloozen;Vrouwen;20 jaar;Ongehuwd;23385.0
224;Beroepsloozen;Vrouwen;20 jaar;Gehuwd of gehuwd geweest;6456.0
225;Beroepsloozen;Vrouwen;21-24 jaar;Totaal alle burgerlijke staten;148119.0
226;Beroepsloozen;Vrouwen;21-24 jaar;Ongehuwd;71858.0
227;Beroepsloozen;Vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;76261.0
228;Beroepsloozen;Vrouwen;25-29 jaar;Totaal alle burgerlijke staten;235384.0
229;Beroepsloozen;Vrouwen;25-29 jaar;Ongehuwd;44196.0
230;Beroepsloozen;Vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;191188.0
231;Beroepsloozen;Vrouwen;30-39 jaar;Totaal alle burgerlijke staten;452356.0
232;Beroepsloozen;Vrouwen;30-39 jaar;Ongehuwd;40329.0
233;Beroepsloozen;Vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;412027.0
234;Beroepsloozen;Vrouwen;40-49 jaar;Totaal alle burgerlijke staten;365448.0
235;Beroepsloozen;Vrouwen;40-49 jaar;Ongehuwd;29023.0
236;Beroepsloozen;Vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;336425.0
237;Beroepsloozen;Vrouwen;50-59 jaar;Totaal alle burgerlijke staten;295211.0
238;Beroepsloozen;Vrouwen;50-59 jaar;Ongehuwd;25092.0
239;Beroepsloozen;Vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;270119.0
240;Beroepsloozen;Vrouwen;60-64 jaar;Totaal alle burgerlijke staten;113830.0
241;Beroepsloozen;Vrouwen;60-64 jaar;Ongehuwd;11563.0
242;Beroepsloozen;Vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;102267.0
243;Beroepsloozen;Vrouwen;65-69 jaar;Totaal alle burgerlijke staten;95698.0
244;Beroepsloozen;Vrouwen;65-69 jaar;Ongehuwd;11022.0
245;Beroepsloozen;Vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;84676.0
246;Beroepsloozen;Vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;142490.0
247;Beroepsloozen;Vrouwen;70 jaar en ouder;Ongehuwd;17020.0
248;Beroepsloozen;Vrouwen;70 jaar en ouder;Gehuwd of gehuwd geweest;125470.0
249;Beroepsloozen;Vrouwen;Leeftijd onbekend;Totaal alle burgerlijke staten;11.0
250;Beroepsloozen;Vrouwen;Leeftijd onbekend;Ongehuwd;0.0
251;Beroepsloozen;Vrouwen;Leeftijd onbekend;Gehuwd of gehuwd geweest;11.0
252;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;Totaal van alle leeftijden;Totaal alle burgerlijke staten;3185816.0
253;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;Totaal van alle leeftijden;Ongehuwd;1566952.0
254;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;Totaal van alle leeftijden;Gehuwd of gehuwd geweest;1618864.0
255;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;Beneden 14 jaar;Totaal alle burgerlijke staten;1862.0
256;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;Beneden 14 jaar;Ongehuwd;1862.0
257;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;Beneden 14 jaar;Gehuwd of gehuwd geweest;
258;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;14-17 jaar;Totaal alle burgerlijke staten;326932.0
259;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;14-17 jaar;Ongehuwd;326791.0
260;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;14-17 jaar;Gehuwd of gehuwd geweest;141.0
261;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;18 en 19 jaar;Totaal alle burgerlijke staten;214956.0
262;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;18 en 19 jaar;Ongehuwd;214022.0
263;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;18 en 19 jaar;Gehuwd of gehuwd geweest;934.0
264;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;20 jaar;Totaal alle burgerlijke staten;107133.0
265;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;20 jaar;Ongehuwd;105477.0
266;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;20 jaar;Gehuwd of gehuwd geweest;1656.0
267;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;21-24 jaar;Totaal alle burgerlijke staten;401747.0
268;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;21-24 jaar;Ongehuwd;361974.0
269;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;21-24 jaar;Gehuwd of gehuwd geweest;39773.0
270;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;25-29 jaar;Totaal alle burgerlijke staten;408963.0
271;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;25-29 jaar;Ongehuwd;232914.0
272;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;25-29 jaar;Gehuwd of gehuwd geweest;176049.0
273;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;30-39 jaar;Totaal alle burgerlijke staten;632065.0
274;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;30-39 jaar;Ongehuwd;155709.0
275;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;30-39 jaar;Gehuwd of gehuwd geweest;476356.0
276;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;40-49 jaar;Totaal alle burgerlijke staten;489284.0
277;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;40-49 jaar;Ongehuwd;82232.0
278;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;40-49 jaar;Gehuwd of gehuwd geweest;407052.0
279;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;50-59 jaar;Totaal alle burgerlijke staten;366494.0
280;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;50-59 jaar;Ongehuwd;54377.0
281;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;50-59 jaar;Gehuwd of gehuwd geweest;312117.0
282;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;60-64 jaar;Totaal alle burgerlijke staten;117041.0
283;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;60-64 jaar;Ongehuwd;15749.0
284;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;60-64 jaar;Gehuwd of gehuwd geweest;101292.0
285;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;65-69 jaar;Totaal alle burgerlijke staten;69956.0
286;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;65-69 jaar;Ongehuwd;9246.0
287;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;65-69 jaar;Gehuwd of gehuwd geweest;60710.0
288;Totaal van Staat 1A en 1B;Totaal mannen en vrouwen;70 jaar en ouder;Totaal alle burgerlijke staten;49364.0
