ID;RegioS;Perioden;AantalPersonen_1;GemiddeldBesteedbaarInkomen_2;RangnummerBesteedbaarInkomen_3;GemiddeldGestandaardiseerdInkomen_4;RangnummerGestandaardiseerdInkomen_5;AantalPersonen_6;InVanPersonenMetEnZonderInkomen_7;GemiddeldPersoonlijkInkomen_8;RangnummerPersoonlijkInkomen_9;GemiddeldBesteedbaarInkomen_10;RangnummerBesteedbaarInkomen_11
18;Noord-Nederland (LD);2011;1718.9;13.8;4.0;22.2;4.0;1242.9;72.0;27.1;4.0;18.8;4.0
19;Noord-Nederland (LD);2012;1718.5;13.9;4.0;22.3;4.0;1241.4;72.0;27.3;4.0;18.9;4.0
20;Noord-Nederland (LD);2013;1718.0;;;22.4;4.0;1237.8;72.0;27.7;4.0;;
21;Noord-Nederland (LD);2014;1718.8;;;23.3;4.0;1235.8;72.0;28.3;4.0;;
22;Oost-Nederland (LD);2005;3459.9;12.0;3.0;20.1;3.0;2298.2;66.0;25.0;3.0;17.4;3.0
23;Oost-Nederland (LD);2006;3469.9;12.7;3.0;21.2;3.0;2403.2;69.0;25.6;3.0;18.0;3.0
24;Oost-Nederland (LD);2007;3482.6;13.6;3.0;22.8;3.0;2428.2;70.0;26.8;3.0;19.2;3.0
25;Oost-Nederland (LD);2008;3499.9;14.0;3.0;23.4;3.0;2484.2;71.0;27.7;3.0;19.4;3.0
26;Oost-Nederland (LD);2009 voor methodewijziging;3517.2;14.1;3.0;23.4;3.0;2504.3;71.0;28.2;3.0;19.5;3.0
27;Oost-Nederland (LD);2009 na methodewijziging;3517.2;14.1;3.0;23.4;3.0;2503.8;71.0;28.1;3.0;19.5;3.0
28;Oost-Nederland (LD);2010;3531.1;14.1;3.0;23.4;3.0;2519.5;71.0;28.5;3.0;19.5;3.0
29;Oost-Nederland (LD);2011;3543.9;14.2;3.0;23.5;3.0;2542.9;72.0;28.9;3.0;19.5;3.0
30;Oost-Nederland (LD);2012;3553.6;14.4;3.0;23.7;3.0;2550.2;72.0;29.1;3.0;19.7;3.0
31;Oost-Nederland (LD);2013;3559.3;;;23.9;3.0;2551.0;72.0;29.5;3.0;;
32;Oost-Nederland (LD);2014;3569.0;;;24.9;3.0;2549.1;71.0;30.1;3.0;;
33;West-Nederland (LD);2005;7625.7;13.3;1.0;21.3;1.0;5108.9;67.0;27.7;1.0;19.0;1.0
34;West-Nederland (LD);2006;7639.3;14.0;1.0;22.5;1.0;5341.2;70.0;28.5;1.0;19.6;1.0
35;West-Nederland (LD);2007;7669.5;15.1;1.0;24.3;1.0;5402.6;70.0;29.8;1.0;21.0;1.0
36;West-Nederland (LD);2008;7719.9;15.4;1.0;24.8;1.0;5501.1;71.0;30.9;1.0;21.2;1.0
37;West-Nederland (LD);2009 voor methodewijziging;7777.0;15.5;1.0;24.9;1.0;5555.6;71.0;31.4;1.0;21.3;1.0
38;West-Nederland (LD);2009 na methodewijziging;7777.0;15.5;1.0;24.9;1.0;5558.4;71.0;31.4;1.0;21.4;1.0
39;West-Nederland (LD);2010;7830.1;15.5;1.0;24.9;1.0;5594.9;71.0;31.7;1.0;21.3;1.0
40;West-Nederland (LD);2011;7880.8;15.5;1.0;24.8;1.0;5638.7;72.0;32.2;1.0;21.3;1.0
41;West-Nederland (LD);2012;7914.6;15.7;1.0;25.1;1.0;5650.6;71.0;32.5;1.0;21.6;1.0
42;West-Nederland (LD);2013;7952.7;;;25.3;1.0;5658.1;71.0;33.1;1.0;;
43;West-Nederland (LD);2014;8006.2;;;26.5;1.0;5677.2;71.0;33.7;1.0;;
44;West-Nederland, exclusief G4 (LD);2005;;;;;;;;;;;
45;West-Nederland, exclusief G4 (LD);2006;;;;;;;;;;;
46;West-Nederland, exclusief G4 (LD);2007;;;;;;;;;;;
47;West-Nederland, exclusief G4 (LD);2008;;;;;;;;;;;
48;West-Nederland, exclusief G4 (LD);2009 voor methodewijziging;;;;;;;;;;;
49;West-Nederland, exclusief G4 (LD);2009 na methodewijziging;;;;;;;;;;;
50;West-Nederland, exclusief G4 (LD);2010;;;;;;;;;;;
51;West-Nederland, exclusief G4 (LD);2011;;;;;;;;;;;
52;West-Nederland, exclusief G4 (LD);2012;;;;;;;;;;;
53;West-Nederland, exclusief G4 (LD);2013;;;;;;;;;;;
54;West-Nederland, exclusief G4 (LD);2014;;;;;;;;;;;
55;Zuid-Nederland (LD);2005;3547.9;12.6;2.0;20.6;2.0;2428.3;68.0;25.2;2.0;17.6;2.0
56;Zuid-Nederland (LD);2006;3546.8;13.2;2.0;21.7;2.0;2526.3;71.0;25.9;2.0;18.2;2.0
57;Zuid-Nederland (LD);2007;3548.5;14.2;2.0;23.3;2.0;2544.7;72.0;27.0;2.0;19.4;2.0
58;Zuid-Nederland (LD);2008;3557.2;14.6;2.0;23.9;2.0;2592.8;73.0;28.0;2.0;19.6;2.0
59;Zuid-Nederland (LD);2009 voor methodewijziging;3566.9;14.7;2.0;23.9;2.0;2608.1;73.0;28.5;2.0;19.7;2.0
60;Zuid-Nederland (LD);2009 na methodewijziging;3566.9;14.7;2.0;24.0;2.0;2607.8;73.0;28.5;2.0;19.8;2.0
61;Zuid-Nederland (LD);2010;3576.8;14.7;2.0;24.0;2.0;2621.7;73.0;28.8;2.0;19.8;2.0
62;Zuid-Nederland (LD);2011;3586.8;14.8;2.0;24.1;2.0;2644.4;74.0;29.2;2.0;19.8;2.0
63;Zuid-Nederland (LD);2012;3592.9;15.0;2.0;24.4;2.0;2647.3;74.0;29.6;2.0;20.1;2.0
64;Zuid-Nederland (LD);2013;3599.3;;;24.5;2.0;2650.4;74.0;30.0;2.0;;
65;Zuid-Nederland (LD);2014;3606.7;;;25.6;2.0;2650.1;73.0;30.6;2.0;;
66;Groningen (PV);2005;574.0;11.5;11.0;18.2;12.0;384.2;67.0;23.2;12.0;16.4;12.0
67;Groningen (PV);2006;573.6;12.2;12.0;19.3;12.0;401.5;70.0;23.7;12.0;16.9;12.0
68;Groningen (PV);2007;573.5;12.9;12.0;20.5;12.0;406.3;71.0;24.5;12.0;17.8;12.0
69;Groningen (PV);2008;574.1;13.4;12.0;21.2;12.0;413.1;72.0;25.5;12.0;18.2;12.0
70;Groningen (PV);2009 voor methodewijziging;576.7;13.6;11.0;21.3;12.0;415.0;72.0;26.2;11.0;18.4;12.0
71;Groningen (PV);2009 na methodewijziging;576.7;13.5;11.0;21.2;12.0;414.5;72.0;26.1;12.0;18.4;12.0
72;Groningen (PV);2010;579.0;13.5;11.0;21.2;12.0;415.3;72.0;26.4;11.0;18.4;12.0
73;Groningen (PV);2011;580.9;13.6;12.0;21.4;12.0;418.2;72.0;26.8;11.0;18.5;12.0
74;Groningen (PV);2012;581.7;13.6;12.0;21.3;12.0;417.4;72.0;27.0;11.0;18.6;12.0
75;Groningen (PV);2013;582.7;;;21.5;12.0;415.2;71.0;27.5;11.0;;
76;Groningen (PV);2014;583.9;;;22.3;12.0;414.4;71.0;28.0;11.0;;
77;Friesland (PV);2005;642.2;11.5;12.0;18.8;11.0;427.7;67.0;23.2;11.0;16.5;11.0
78;Friesland (PV);2006;642.2;12.2;11.0;20.0;11.0;445.3;69.0;24.0;11.0;17.3;11.0
79;Friesland (PV);2007;643.2;13.0;11.0;21.3;11.0;448.8;70.0;24.9;11.0;18.3;11.0
80;Friesland (PV);2008;644.8;13.6;11.0;22.2;11.0;459.2;71.0;25.8;11.0;18.7;10.0
81;Friesland (PV);2009 voor methodewijziging;646.3;13.5;12.0;22.0;11.0;461.4;71.0;26.2;12.0;18.6;11.0
82;Friesland (PV);2009 na methodewijziging;646.3;13.4;12.0;21.9;11.0;460.4;71.0;26.1;11.0;18.6;11.0
83;Friesland (PV);2010;647.3;13.5;12.0;22.0;11.0;462.2;71.0;26.3;12.0;18.6;11.0
84;Friesland (PV);2011;647.2;13.6;11.0;22.2;11.0;465.4;72.0;26.8;12.0;18.7;11.0
85;Friesland (PV);2012;646.9;13.8;11.0;22.3;11.0;464.1;72.0;26.9;12.0;18.9;11.0
86;Friesland (PV);2013;646.3;;;22.5;11.0;463.6;72.0;27.3;12.0;;
87;Friesland (PV);2014;646.3;;;23.5;11.0;463.0;72.0;28.0;12.0;;
88;Drenthe (PV);2005;484.5;11.9;8.0;19.5;10.0;330.2;68.0;24.0;8.0;16.9;10.0
89;Drenthe (PV);2006;486.2;12.6;8.0;20.6;9.0;343.4;71.0;24.7;8.0;17.5;8.0
90;Drenthe (PV);2007;488.1;13.4;8.0;22.0;10.0;346.6;71.0;25.7;8.0;18.6;8.0
91;Drenthe (PV);2008;489.9;13.9;8.0;22.7;8.0;353.3;72.0;26.7;8.0;19.0;8.0
92;Drenthe (PV);2009 voor methodewijziging;491.0;14.0;8.0;22.8;9.0;355.9;72.0;27.2;8.0;19.0;8.0
93;Drenthe (PV);2009 na methodewijziging;491.0;14.0;8.0;22.8;9.0;356.1;73.0;27.2;8.0;19.1;8.0
94;Drenthe (PV);2010;491.4;14.0;8.0;22.9;9.0;357.1;73.0;27.5;8.0;19.0;8.0
95;Drenthe (PV);2011;490.8;14.1;8.0;23.0;9.0;359.3;73.0;27.9;8.0;19.1;8.0
96;Drenthe (PV);2012;489.9;14.3;8.0;23.3;9.0;359.9;73.0;28.1;8.0;19.3;9.0
97;Drenthe (PV);2013;489.0;;;23.4;9.0;359.1;73.0;28.5;8.0;;
98;Drenthe (PV);2014;488.6;;;24.4;9.0;358.3;73.0;29.1;8.0;;
99;Overijssel (PV);2005;1113.5;11.7;9.0;19.6;9.0;739.9;66.0;23.8;10.0;16.9;9.0
100;Overijssel (PV);2006;1116.4;12.3;10.0;20.6;10.0;775.5;69.0;24.4;10.0;17.4;10.0
101;Overijssel (PV);2007;1120.0;13.2;10.0;22.1;9.0;782.5;70.0;25.4;9.0;18.5;9.0
102;Overijssel (PV);2008;1125.4;13.6;10.0;22.7;10.0;801.6;71.0;26.3;9.0;18.8;9.0
103;Overijssel (PV);2009 voor methodewijziging;1130.3;13.6;10.0;22.7;10.0;807.1;71.0;26.9;9.0;18.8;10.0
104;Overijssel (PV);2009 na methodewijziging;1130.3;13.6;10.0;22.7;10.0;807.1;71.0;26.8;10.0;18.8;10.0
105;Overijssel (PV);2010;1134.5;13.7;10.0;22.7;10.0;811.2;72.0;27.2;10.0;18.9;10.0
106;Overijssel (PV);2011;1137.7;13.8;10.0;22.9;10.0;818.6;72.0;27.6;10.0;18.9;10.0
107;Overijssel (PV);2012;1139.4;13.9;9.0;23.1;10.0;819.6;72.0;27.9;10.0;19.1;10.0
108;Overijssel (PV);2013;1139.7;;;23.3;10.0;819.1;72.0;28.3;10.0;;
109;Overijssel (PV);2014;1140.7;;;24.3;10.0;816.1;72.0;28.8;10.0;;
110;Flevoland (PV);2005;370.7;11.6;10.0;19.7;8.0;231.6;62.0;26.4;4.0;17.7;5.0
111;Flevoland (PV);2006;374.4;12.3;9.0;21.0;7.0;246.7;66.0;27.1;4.0;18.3;5.0
112;Flevoland (PV);2007;378.7;13.3;9.0;22.6;7.0;251.5;66.0;28.5;4.0;19.6;5.0
113;Flevoland (PV);2008;383.4;13.6;9.0;23.2;7.0;259.0;68.0;29.5;4.0;19.8;5.0
114;Flevoland (PV);2009 voor methodewijziging;387.9;13.7;9.0;23.2;7.0;262.6;68.0;30.0;4.0;20.0;5.0
115;Flevoland (PV);2009 na methodewijziging;387.9;13.7;9.0;23.1;7.0;261.8;68.0;29.8;4.0;19.9;5.0
116;Flevoland (PV);2010;392.0;13.7;9.0;23.3;7.0;265.1;68.0;30.2;4.0;20.0;5.0
117;Flevoland (PV);2011;395.5;13.9;9.0;23.4;7.0;268.9;68.0;30.6;4.0;20.1;5.0
118;Flevoland (PV);2012;398.4;13.9;10.0;23.3;8.0;270.2;68.0;30.7;4.0;20.1;5.0
119;Flevoland (PV);2013;399.9;;;23.6;7.0;271.0;68.0;31.2;4.0;;
120;Flevoland (PV);2014;401.8;;;24.5;7.0;270.8;67.0;31.8;4.0;;
121;Gelderland (PV);2005;1975.7;12.3;6.0;20.5;5.0;1326.6;67.0;25.3;6.0;17.7;6.0
122;Gelderland (PV);2006;1979.1;13.0;6.0;21.6;5.0;1381.0;70.0;26.0;6.0;18.2;6.0
123;Gelderland (PV);2007;1983.9;14.0;6.0;23.2;5.0;1394.2;70.0;27.2;6.0;19.5;6.0
124;Gelderland (PV);2008;1991.1;14.3;6.0;23.8;5.0;1423.6;72.0;28.1;6.0;19.7;6.0
125;Gelderland (PV);2009 voor methodewijziging;1998.9;14.4;6.0;23.8;5.0;1434.6;72.0;28.6;6.0;19.8;6.0
126;Gelderland (PV);2009 na methodewijziging;1999.0;14.4;6.0;23.8;5.0;1434.8;72.0;28.6;6.0;19.8;6.0
127;Gelderland (PV);2010;2004.7;14.4;6.0;23.9;5.0;1443.2;72.0;28.9;6.0;19.8;6.0
128;Gelderland (PV);2011;2010.7;14.5;7.0;23.9;5.0;1455.4;72.0;29.3;6.0;19.8;6.0
129;Gelderland (PV);2012;2015.8;14.7;6.0;24.1;5.0;1460.3;72.0;29.6;6.0;20.0;7.0
130;Gelderland (PV);2013;2019.7;;;24.2;6.0;1460.9;72.0;30.0;6.0;;
131;Gelderland (PV);2014;2026.6;;;25.3;5.0;1462.2;72.0;30.5;6.0;;
132;Utrecht (PV);2005;1180.0;13.6;1.0;22.3;1.0;792.0;67.0;28.9;1.0;19.5;1.0
133;Utrecht (PV);2006;1190.6;14.4;1.0;23.5;1.0;831.9;70.0;29.7;1.0;20.2;1.0
134;Utrecht (PV);2007;1201.3;15.5;1.0;25.5;1.0;847.6;71.0;31.1;1.0;21.6;1.0
135;Utrecht (PV);2008;1210.9;15.9;1.0;26.0;1.0;863.3;71.0;32.3;1.0;21.9;1.0
136;Utrecht (PV);2009 voor methodewijziging;1220.9;16.0;1.0;26.1;1.0;871.7;71.0;32.8;1.0;22.0;1.0
137;Utrecht (PV);2009 na methodewijziging;1220.9;16.0;1.0;26.1;1.0;872.3;71.0;32.8;1.0;22.1;1.0
138;Utrecht (PV);2010;1228.8;15.9;1.0;26.1;1.0;876.9;71.0;33.1;1.0;22.0;1.0
139;Utrecht (PV);2011;1237.1;15.9;1.0;26.1;1.0;885.0;72.0;33.6;1.0;22.0;1.0
140;Utrecht (PV);2012;1245.3;16.1;1.0;26.3;1.0;888.6;71.0;34.0;1.0;22.3;1.0
141;Utrecht (PV);2013;1253.7;;;26.5;1.0;890.3;71.0;34.6;1.0;;
142;Utrecht (PV);2014;1263.6;;;27.8;1.0;893.6;71.0;35.3;1.0;;
143;Noord-Holland (PV);2005;2606.6;13.6;2.0;21.5;2.0;1763.0;68.0;28.1;2.0;19.3;2.0
144;Noord-Holland (PV);2006;2613.1;14.3;2.0;22.7;2.0;1844.9;71.0;29.0;2.0;19.9;2.0
145;Noord-Holland (PV);2007;2626.2;15.4;2.0;24.5;2.0;1867.5;71.0;30.4;2.0;21.3;2.0
146;Noord-Holland (PV);2008;2646.4;15.8;2.0;25.1;2.0;1902.5;72.0;31.5;2.0;21.6;2.0
147;Noord-Holland (PV);2009 voor methodewijziging;2669.1;15.8;2.0;25.1;2.0;1922.2;72.0;31.9;2.0;21.6;2.0
148;Noord-Holland (PV);2009 na methodewijziging;2669.1;15.8;2.0;25.1;2.0;1923.6;72.0;31.8;2.0;21.6;2.0
149;Noord-Holland (PV);2010;2691.5;15.8;2.0;25.1;2.0;1939.2;72.0;32.1;2.0;21.6;2.0
150;Noord-Holland (PV);2011;2709.8;15.8;2.0;25.1;2.0;1959.2;72.0;32.7;2.0;21.6;2.0
151;Noord-Holland (PV);2012;2724.3;16.0;2.0;25.4;2.0;1965.9;72.0;33.0;2.0;21.9;2.0
152;Noord-Holland (PV);2013;2741.4;;;25.6;2.0;1973.5;72.0;33.5;2.0;;
153;Noord-Holland (PV);2014;2761.9;;;26.9;2.0;1982.7;72.0;34.3;2.0;;
154;Zuid-Holland (PV);2005;3458.9;13.0;3.0;20.9;4.0;2297.1;66.0;27.3;3.0;18.7;3.0
155;Zuid-Holland (PV);2006;3455.1;13.7;3.0;22.1;4.0;2397.7;69.0;28.0;3.0;19.3;3.0
156;Zuid-Holland (PV);2007;3461.4;14.7;3.0;23.8;4.0;2418.7;70.0;29.3;3.0;20.7;3.0
157;Zuid-Holland (PV);2008;3481.6;15.1;3.0;24.3;4.0;2462.3;71.0;30.4;3.0;20.9;3.0
158;Zuid-Holland (PV);2009 voor methodewijziging;3505.6;15.2;3.0;24.4;3.0;2486.3;71.0;30.9;3.0;21.0;3.0
159;Zuid-Holland (PV);2009 na methodewijziging;3505.6;15.2;3.0;24.5;3.0;2487.3;71.0;30.9;3.0;21.1;3.0
160;Zuid-Holland (PV);2010;3528.3;15.2;3.0;24.4;4.0;2502.0;71.0;31.2;3.0;21.1;3.0
161;Zuid-Holland (PV);2011;3552.4;15.2;3.0;24.3;4.0;2516.5;71.0;31.7;3.0;21.0;3.0
162;Zuid-Holland (PV);2012;3563.9;15.3;3.0;24.6;4.0;2518.0;71.0;32.0;3.0;21.3;3.0
163;Zuid-Holland (PV);2013;3577.0;;;24.7;4.0;2516.6;70.0;32.5;3.0;;
164;Zuid-Holland (PV);2014;3600.0;;;25.8;4.0;2523.3;70.0;33.1;3.0;;
165;Zeeland (PV);2005;380.2;12.4;5.0;20.2;6.0;256.9;68.0;24.7;7.0;17.5;7.0
166;Zeeland (PV);2006;380.5;13.0;5.0;21.2;6.0;266.8;70.0;25.4;7.0;18.1;7.0
167;Zeeland (PV);2007;380.6;14.1;5.0;22.9;6.0;268.8;71.0;26.5;7.0;19.4;7.0
168;Zeeland (PV);2008;381.0;14.5;5.0;23.4;6.0;273.0;72.0;27.5;7.0;19.7;7.0
169;Zeeland (PV);2009 voor methodewijziging;381.4;14.6;5.0;23.6;6.0;275.4;72.0;27.9;7.0;19.7;7.0
170;Zeeland (PV);2009 na methodewijziging;381.4;14.6;5.0;23.5;6.0;275.2;72.0;27.9;7.0;19.7;7.0
171;Zeeland (PV);2010;381.5;14.6;5.0;23.6;6.0;276.7;73.0;28.2;7.0;19.7;7.0
172;Zeeland (PV);2011;381.4;14.7;5.0;23.8;6.0;278.0;73.0;28.7;7.0;19.7;7.0
173;Zeeland (PV);2012;381.1;15.0;5.0;24.1;6.0;278.1;73.0;29.0;7.0;20.0;6.0
174;Zeeland (PV);2013;380.6;;;24.3;5.0;277.7;73.0;29.6;7.0;;
175;Zeeland (PV);2014;380.7;;;25.3;6.0;277.6;73.0;30.0;7.0;;
176;Noord-Brabant (PV);2005;2415.9;12.7;4.0;21.0;3.0;1651.1;68.0;25.8;5.0;17.9;4.0
177;Noord-Brabant (PV);2006;2419.0;13.4;4.0;22.1;3.0;1717.8;71.0;26.5;5.0;18.5;4.0
178;Noord-Brabant (PV);2007;2424.8;14.5;4.0;23.9;3.0;1733.2;71.0;27.8;5.0;19.9;4.0
179;Noord-Brabant (PV);2008;2434.6;14.8;4.0;24.4;3.0;1766.0;73.0;28.8;5.0;20.1;4.0
180;Noord-Brabant (PV);2009 voor methodewijziging;2444.2;14.9;4.0;24.4;4.0;1779.4;73.0;29.3;5.0;20.1;4.0
181;Noord-Brabant (PV);2009 na methodewijziging;2444.2;14.9;4.0;24.4;4.0;1779.7;73.0;29.2;5.0;20.2;4.0
182;Noord-Brabant (PV);2010;2454.2;14.9;4.0;24.4;3.0;1791.6;73.0;29.5;5.0;20.1;4.0
183;Noord-Brabant (PV);2011;2463.7;15.0;4.0;24.5;3.0;1809.2;73.0;30.0;5.0;20.1;4.0
184;Noord-Brabant (PV);2012;2471.0;15.2;4.0;24.8;3.0;1814.9;73.0;30.3;5.0;20.4;4.0
185;Noord-Brabant (PV);2013;2479.3;;;25.0;3.0;1817.9;73.0;30.8;5.0;;
186;Noord-Brabant (PV);2014;2488.8;;;26.1;3.0;1819.3;73.0;31.3;5.0;;
187;Limburg (PV);2005;1131.9;12.2;7.0;19.8;7.0;777.2;69.0;24.0;9.0;16.9;8.0
188;Limburg (PV);2006;1127.8;12.9;7.0;20.8;8.0;808.5;72.0;24.5;9.0;17.4;9.0
189;Limburg (PV);2007;1123.7;13.7;7.0;22.1;8.0;811.4;72.0;25.4;10.0;18.4;10.0
190;Limburg (PV);2008;1122.6;14.1;7.0;22.7;9.0;826.8;74.0;26.3;10.0;18.7;11.0
191;Limburg (PV);2009 voor methodewijziging;1122.7;14.3;7.0;22.9;8.0;828.7;74.0;26.9;10.0;18.9;9.0
192;Limburg (PV);2009 na methodewijziging;1122.7;14.3;7.0;22.9;8.0;828.1;74.0;26.9;9.0;18.9;9.0
193;Limburg (PV);2010;1122.6;14.4;7.0;23.0;8.0;830.0;74.0;27.2;9.0;18.9;9.0
194;Limburg (PV);2011;1123.1;14.5;6.0;23.1;8.0;835.2;74.0;27.7;9.0;19.0;9.0
195;Limburg (PV);2012;1121.9;14.7;7.0;23.3;7.0;832.5;74.0;28.0;9.0;19.3;8.0
196;Limburg (PV);2013;1120.0;;;23.5;8.0;832.5;74.0;28.4;9.0;;
197;Limburg (PV);2014;1117.9;;;24.4;8.0;830.8;74.0;28.9;9.0;;
198;Oost-Groningen (CR);2005;154.3;11.0;40.0;17.9;40.0;102.7;67.0;22.1;40.0;15.7;40.0
199;Oost-Groningen (CR);2006;153.8;11.7;40.0;18.9;40.0;108.3;70.0;22.4;40.0;16.2;40.0
200;Oost-Groningen (CR);2007;153.1;12.4;40.0;20.2;40.0;109.1;71.0;23.3;40.0;17.1;40.0
201;Oost-Groningen (CR);2008;152.2;12.9;40.0;20.8;40.0;110.5;73.0;24.2;40.0;17.5;40.0
202;Oost-Groningen (CR);2009 voor methodewijziging;152.0;13.1;40.0;21.1;40.0;110.7;73.0;25.0;40.0;17.7;40.0
203;Oost-Groningen (CR);2009 na methodewijziging;152.0;13.0;40.0;21.0;40.0;110.2;73.0;24.8;40.0;17.7;40.0
204;Oost-Groningen (CR);2010;151.5;13.0;40.0;21.0;40.0;110.0;73.0;25.0;40.0;17.7;40.0
205;Oost-Groningen (CR);2011;150.8;13.1;40.0;21.1;40.0;110.2;73.0;25.4;40.0;17.8;40.0
206;Oost-Groningen (CR);2012;149.8;13.3;40.0;21.3;40.0;110.0;73.0;25.6;40.0;17.9;40.0
207;Oost-Groningen (CR);2013;148.9;;;21.3;40.0;109.2;73.0;25.9;40.0;;
208;Oost-Groningen (CR);2014;149.0;;;22.1;40.0;108.8;73.0;26.2;40.0;;
209;Delfzijl en omgeving (CR);2005;51.2;11.4;37.0;18.4;38.0;34.4;67.0;22.9;37.0;16.3;37.0
210;Delfzijl en omgeving (CR);2006;50.6;12.1;37.0;19.6;38.0;35.1;69.0;23.7;37.0;17.0;37.0
211;Delfzijl en omgeving (CR);2007;50.1;13.0;37.0;20.9;38.0;35.7;71.0;24.6;37.0;18.0;38.0
212;Delfzijl en omgeving (CR);2008;49.4;13.6;35.0;21.8;36.0;35.8;72.0;25.6;37.0;18.5;37.0
213;Delfzijl en omgeving (CR);2009 voor methodewijziging;49.1;13.7;32.0;21.8;36.0;35.9;73.0;26.0;37.0;18.5;37.0
214;Delfzijl en omgeving (CR);2009 na methodewijziging;49.1;13.4;37.0;21.5;37.0;35.6;73.0;25.7;38.0;18.3;38.0
215;Delfzijl en omgeving (CR);2010;49.1;13.6;36.0;21.7;37.0;35.7;73.0;26.2;37.0;18.5;37.0
216;Delfzijl en omgeving (CR);2011;48.7;13.8;36.0;22.0;37.0;35.6;73.0;26.6;37.0;18.6;37.0
217;Delfzijl en omgeving (CR);2012;48.4;13.8;36.0;21.9;37.0;35.4;73.0;26.7;37.0;18.6;37.0
218;Delfzijl en omgeving (CR);2013;48.0;;;22.1;37.0;35.0;73.0;27.3;37.0;;
219;Delfzijl en omgeving (CR);2014;47.6;;;22.8;37.0;34.8;73.0;27.5;37.0;;
220;Overig Groningen (CR);2005;368.5;11.8;31.0;18.3;39.0;247.1;67.0;23.7;33.0;16.7;36.0
221;Overig Groningen (CR);2006;369.2;12.4;32.0;19.3;39.0;258.0;70.0;24.2;34.0;17.2;35.0
222;Overig Groningen (CR);2007;370.2;13.2;34.0;20.6;39.0;261.5;71.0;25.1;35.0;18.1;36.0
223;Overig Groningen (CR);2008;372.5;13.6;36.0;21.2;39.0;266.8;72.0;26.0;34.0;18.5;36.0
224;Overig Groningen (CR);2009 voor methodewijziging;375.5;13.7;33.0;21.3;39.0;268.4;71.0;26.8;30.0;18.7;34.0
225;Overig Groningen (CR);2009 na methodewijziging;375.5;13.7;31.0;21.3;39.0;268.6;72.0;26.6;31.0;18.7;34.0
226;Overig Groningen (CR);2010;378.4;13.7;34.0;21.3;39.0;269.7;71.0;27.0;31.0;18.7;35.0
227;Overig Groningen (CR);2011;381.4;13.8;35.0;21.4;39.0;272.4;71.0;27.4;31.0;18.8;33.0
228;Overig Groningen (CR);2012;383.5;13.7;37.0;21.3;39.0;272.1;71.0;27.6;32.0;18.9;35.0
229;Overig Groningen (CR);2013;385.8;;;21.5;39.0;271.0;70.0;28.2;31.0;;
230;Overig Groningen (CR);2014;387.4;;;22.3;39.0;270.9;70.0;28.8;31.0;;
231;Noord-Friesland (CR);2005;331.1;11.3;39.0;18.4;37.0;219.6;66.0;22.8;38.0;16.3;38.0
232;Noord-Friesland (CR);2006;330.8;12.0;38.0;19.7;37.0;229.1;69.0;23.6;38.0;17.0;38.0
233;Noord-Friesland (CR);2007;330.8;12.8;39.0;20.9;37.0;230.6;70.0;24.5;38.0;18.0;37.0
